সিটিজেন	سویلین
অন্তর্মুখী	آمد
অন্তর্মুখী	جانشین
অন্তর্মুখী	آمدنی.
পুনরাবৃত্ত	ڈیزائن.
পুনরাবৃত্ত	دہرانا
পুনরাবৃত্ত	دہراون
ঝড়ো	جھکڑیلی
ঝড়ো	سٹپٹایا.
ঝড়ো	ہوائی.
ঝড়ো	کھوکھلی
ঝড়ো	جھکڑیلی
ঝড়ো	سٹپٹایا.
ঝড়ো	ہوائی.
ঝড়ো	بادی
ঝড়ো	کھوکھلی
বহির্গামী	ملنسار
বহির্গামী	روانگی
বহির্গামী	دوستانہ
বহির্গামী	رخصت
গালিচা	دھمکانا
গালিচা	ڈانٹنا
গালিচা	قالین
গালিচা	دھمکانا
গালিচা	ڈانٹنا
আত্মবিশ্বাসী	قدیم
আত্মবিশ্বাসী	نڈر
তালাকের	علاحدگی
তালাকের	ناموافقت
কোলাহল	ناگوار.
কোলাহল	اونچی
কোলাহল	اُچھالنا
কোলাহল	صوت
কোলাহল	غوغا.
কোলাহল	ناگوار.
কোলাহল	اونچی
কোলাহল	اُچھالنا
কোলাহল	آواز
কোলাহল	صوت
কোলাহল	غوغا.
কোলাহল	شور
লড়াকু	لڑاکا
লিরিক	سُریلا
নিম্ফ	حسینہ
নিম্ফ	پہاڑ
ডোজ	سزا
সাইবেরিয়ান	سائبیریائی.
ঐশ্বর্য	امیری
নৈকট্য	قربت
নাব্য	سکّانی.
নাব্য	پتواردار
ঘনঘন	کثیر
ঘনঘন	تیز
ঘনঘন	عادی
ঘনঘন	کثیرالوقوع.
কুইজ	سوالنامہ.
কুইজ	خبطی
কুইজ	ڈھونگ
কুইজ	پرکھنا.
বোলতা	بِھڑ.
আইডল	آسیب.
আইডল	دیوتا
সুপারমডেল	خاکہ
সুপারমডেল	کردار.
ভেলভেট	مخملی
ভেলভেট	مخمل
ভেলভেট	مخملی
শরীক	دوست.
শরীক	ملانا
শরীক	ہمدم
শরীক	ساجھی
শরীক	صحبت
শরীক	جوڑنا.
বৃশ্চিক	بچھو
ডায়ালগ	مکالمہ
দানশীল	خیراتی
দানশীল	سخی
ক্যালোরি	حرارہ
বক্সাইট	باکسائٹ
ওয়াকিবহাল	ذہین.
রিজার্ভের	گورنری
ফ্লেয়ার	بھڑکنا
ফ্লেয়ার	بپھرنا
দীপ	چمکنا.
দীপ	دیکھنا.
মুলতুবি	مستعدی
জাহান্নামের	تماشا
জাহান্নামের	دارالمحن
জাহান্নামের	جہنم.
জাহান্নামের	تماشا
জাহান্নামের	دارالمحن
জাহান্নামের	دوزخ
জাহান্নামের	جہنم.
স্টেম	دھاتو
স্টেম	نکلنا
স্টেম	تنکا
স্টেম	(بعدہ
স্টেম	مادّہ
স্টেম	روکنا
কম্বিনেশন	ملانے
কম্বিনেশন	اتّصال
কম্বিনেশন	ترکیب
কম্বিনেশন	یکجائی
কম্বিনেশন	اتحاد
কম্বিনেশন	میل
কম্বিনেশন	مرکب
কনফিগারেশন	نفسیات
রেখাংশ	قطعہ.
এসএম	sadomasochism
গার	معنی۲.
নাস্তা	ناشتہ
অপরিমেয়	زبردست
অপরিমেয়	عظیم
অপরিমেয়	لامحدود.
পছন্দনীয়	پسندیدہ
খাম	غلاف
খাম	لفافہ
খাম	پوشش
পর্ন	فحاشی
পর্ন	فحش
পর্ন	عریاں
পর্ন	ہزلیہ.
উল্লাস	داد
উল্লাস	شادمانی
উল্লাস	خوشی
লাইটওয়েট	جانور
অবনত	بھچنا
অবনত	چاپلوسی.
অবনত	لجاجت
অবনত	سکڑنا
উপভোগ্য	مزیدار.
উপভোগ্য	خوشگوار
উপভোগ্য	پُرلطف
চখা	چمکیلی
খড়ের	حقیر
খড়ের	پھونس
খড়ের	تنکا.
মাচ	ممتاز.
মাচ	اتنا
মাচ	how
জাদুকরী	لبھالینا.
জাদুকরী	ڈھڈو.
আরেকজনের	مماثل
আরেকজনের	دوسرا
আরেকজনের	اشارہ
আরেকজনের	مختلف
আরেকজনের	کوئی
কাত	اطمینان
কাত	جھنجوڑنا
কাত	رعشہ.
কাত	کپکپی
কাত	جھٹکا
কাত	صدمہ.
কাত	لرزنا.
কাত	اطمینان
কাত	جھنجوڑنا
কাত	رعشہ.
কাত	کپکپانا
কাত	کپکپی
কাত	جھٹکا
কাত	صدمہ.
কাত	لرزنا.
পূর্বশর্ত	لازمی.
ইওসিন	چمگادڑ
ফ্লোরে	میدان
ফ্লোরে	غار
শেফ	باورچی
স্টোনি	پتھریلا
জিরা	کمون
একনায়কতন্ত্রের	آمریت
নম্র	فروتنی
নম্র	رتبہ
নম্র	معمولی
নম্র	وقعت
নম্র	گرانا
নম্র	حقیر
নম্র	کِہین
নম্র	عاجزی
নম্র	تحقیر
চ্যাম্পিয়ান	بہترین
চ্যাম্পিয়ান	شاندار
চাইনা	چینی
ইসরাইলি	اسرائیلی.
অশ্লীলতার	فحاشی.
রেশমী	اطوار
রেশমী	نفیس
রেশমী	ریشمی.
রেশমী	عمدہ
রেশমী	انداز)
ছল	دھوکا
ছল	بیکار
ছল	لٹک
ছল	چکرانا
ছল	فریب
ছল	ناقص
ছল	بھونڈا
ছল	بٹھانا
ছল	اتارنا
ছল	جمانا.
ফিফটি	مجموعہ
ফিফটি	50)
ফিফটি	1
পিঙ্ক	سجانا.
পিঙ্ক	سنوارنا
পিঙ্ক	گلابی
পিঙ্ক	سرخا.
সদস্যতা	for
সদস্যতা	رکنیت.
সদস্যতা	ممبری
সরলতা	سادگی
ফ্লো	لوٹنا
ফ্লো	چڑھائو
ফ্লো	جوار
ফ্লো	(گفتگو
ফ্লো	دلدل
ফ্লো	گلابہ.
ফ্লো	رقم
ফ্লো	بہتات
ফ্লো	(بالوں
ফ্লো	لہرانا.
ফ্লো	(خون
ফ্লো	مد
ফ্লো	مائع
ফ্লো	لوٹنا
ফ্লো	چڑھائو
ফ্লো	جوار
ফ্লো	(گفتگو
ফ্লো	دلدل
ফ্লো	بہنا
ফ্লো	گلابہ.
ফ্লো	رقم
ফ্লো	بہتات
ফ্লো	(بالوں
ফ্লো	لہرانا.
ফ্লো	(خون
ফ্লো	مد
ফ্লো	مائع
সার্টিফিকেশন	توثیق
সার্টিফিকেশন	توثیق
সার্টিফিকেশন	تصدیق
বিচক্ষণতা	ہوشمند
বিচক্ষণতা	تدبرّ
বিচক্ষণতা	صوابدید
বিচক্ষণতা	ہوشمند
বিচক্ষণতা	تدبرّ
কমিউনিজম	اشتراکیت
সিরাম	خوناب
বাঘিনী	غصیل
বাঘিনী	شیرنی.
ফ্রেন্ড	کویکر.
ফ্রেন্ড	مُربّی
ফ্রেন্ড	حامی
ফ্রেন্ড	مددگار
ফ্রেন্ড	دوست
ফ্রেন্ড	کویکر.
ফ্রেন্ড	مُربّی
ফ্রেন্ড	اپنا
ফ্রেন্ড	حامی
ফ্রেন্ড	مددگار
ফ্রেন্ড	رفیق
বিসর্জনের	غرقابی.
বিসর্জনের	ڈبونے
বিসর্জনের	ڈبکی
কনটেস্ট	نزاع
লোকো	باؤلا.
বউয়ের	زوجہ
বউয়ের	پتنی.
বউয়ের	جورو
বউয়ের	بیوی
বউয়ের	زوجہ
বউয়ের	پتنی.
বউয়ের	جورو
বউয়ের	بیگم
বউয়ের	بیوی
ড্রাই	سادہ
ড্রাই	اڑنے
ড্রাই	یبوس
ড্রাই	(ملک
ড্রাই	خشک
ড্রাই	سوکھی.
ড্রাই	رُوکھا
ড্রাই	سادہ
ড্রাই	سُوکھا
ড্রাই	اڑنے
ড্রাই	یبوس
ড্রাই	(ملک
ড্রাই	خشک
ড্রাই	سوکھی.
বলদ	ناسمجھ
বলদ	اصم
বলদ	عمل)
বলদ	جاہل.
বলদ	گپت
বলদ	بدھیا
হর্ষ	ناملائم
হর্ষ	ناخوشگوار.
হর্ষ	ظالمانہ.
হর্ষ	درشت
হর্ষ	ناملائم
হর্ষ	ناخوشگوار.
হর্ষ	ظالمانہ.
হর্ষ	سخت
হর্ষ	درشت
মসৃন	(نقشے
মসৃন	over
মসৃন	متوازن.
মসৃন	یکساں
মসৃন	یکسار
মসৃন	جھرّیوں
মসৃন	معتدل
মসৃন	down
মসৃন	دھچکے
মসৃন	چکنا.
মসৃন	مؤدب
মসৃন	(نقشے
মসৃন	over
মসৃন	متوازن.
মসৃন	یکساں
মসৃন	یکسار
মসৃন	جھرّیوں
মসৃন	معتدل
মসৃন	down
মসৃন	ہموار
মসৃন	دھچکے
মসৃন	چکنا.
মসৃন	مؤدب
কনিক	مخروطی.
পরিপক্কতা	پختگی
পরিপক্কতা	بلوغ
পরিপক্কতা	پختگی
পরিপক্কতা	بلوغ
পরিপক্কতা	رسیدگی
সাদামাটা	انداز
সাদামাটা	معمولی
সাদামাটা	صاف
সাদামাটা	محض
সাদামাটা	واضح
সাদামাটা	کھرا.
সাদামাটা	سلائی
সাদামাটা	گھریلو
ল্যাভেন্ডার	خزامی.
স্ট্রিম	لہرانا.
পজিট্রন	پازیٹرون
পজিট্রন	مثبتیہ.
টিউশন	معلّمی
ইটা	ŋ)
ওয়াগন	چھکڑا
ওয়াগন	ارابہ
ক্যাঙ্গারু	کنگرو
স্ল্যাশ	چاقو
স্ল্যাশ	چرکا
স্ল্যাশ	(قیمتیں)گھٹانا.
স্ল্যাশ	تلوار
স্ল্যাশ	بدھی.
ভূমিধ্বস	ڈہاکا.
আহ	حیرت
আহ	ہاں.
আহ	اچھا
আহ	مترادف:اوہ
আহ	استعجاب
ট্রাইডেন্ট	ترشول
স্ট্রিক	دھاری
মানসমূহ	اطراف
মানসমূহ	درستگی.
মানসমূহ	موقع
মানসমূহ	محل
মানসমূহ	ماحول
সরস	بھرپور
সরস	لہلہاتا
সরস	الکحل
সরস	شراب.
সরস	فراواں.
সরস	پھبکتا
সরস	مخمور
সরস	گھاس)
সরস	شرابی.
রংধনু	نارنجی
রংধনু	نیلا
রংধনু	زرد
রংধনু	سبز
রংধনু	نارنجی
রংধনু	دھنک
রংধনু	نیلا
রংধনু	زرد
রংধনু	سبز
ভ্রম	بُھول.
ভ্রম	نگہداری.
ভ্রম	نگرانی
ভ্রম	فروگزاشت.
ভ্রম	بُھول.
ভ্রম	نگہداری.
ভ্রম	نگرانی
ভ্রম	سہو
ভ্রম	فروگزاشت.
পোল্ট্রি	پیلو
পোল্ট্রি	بطخیں
অদলবদল	تکمہ
অদলবদল	بند
বাউন্স	ارتجاع
বাউন্স	جہندگی
বাউন্স	ہنکارنا
পুজার	پوجا
অব্যক্ত	قیمتوں
স্পিচ	گویائی
স্পিচ	خطاب.
স্পিচ	چھیڑنا.
স্পিচ	فقرہ
স্পিচ	گویائی
স্পিচ	خطاب.
স্পিচ	تقریر
স্পিচ	چھیڑنا.
স্পিচ	فقرہ
পলক	جھلملانا
পুনর্বিবেচনা	اعادہ
মিথ্যাবাদী	کذّاب.
মিথ্যাবাদী	جھوٹا
লোভনীয়	لذیذ
ফ্যাসিবাদ	فسطائیت
ভাঁড়	بدّھو
ভাঁড়	دیہاتی
ভাঁড়	گنوار.
জিনিষ	نمونہ
জিনিষ	شے
জিনিষ	بعدہ
জিনিষ	اثاثہ.
জিনিষ	بات
জিনিষ	قول
জিনিষ	خصوصیت.
জিনিষ	طریقہ.
জিনিষ	کوائف.
জিনিষ	مثل.
জিনিষ	حرکت.
জিনিষ	into
জিনিষ	بعدہ
জিনিষ	معلومات
জিনিষ	گھسانا
জিনিষ	(بعدہ
চিরুনি	اون
চিরুনি	کنگھی
চিরুনি	شانہ
চিরুনি	کنگھا
চিরুনি	اون
চিরুনি	کنگھی
এরিনা	اکھاڑا.
এস্কিমো	الاسکا
আশ্রয়স্থল	تحفظ
আশ্রয়স্থল	خطرے
আশ্রয়স্থল	آڑ
আশ্রয়স্থল	بچاؤ
আশ্রয়স্থল	پناہ
আশ্রয়স্থল	تحفظ
আশ্রয়স্থল	خطرے
আশ্রয়স্থল	آڑ
আশ্রয়স্থল	بچاؤ
আশ্রয়স্থল	پرندوں
আশ্রয়স্থল	ملجا
আশ্রয়স্থল	ماویٰ.
সোলো	تنہا.
নালি	نلکی
নালি	انبوب.
নালি	نالی
দাদু	جد.
ভেল	الوداعیہ.
ভেল	الوداع.
ভেল	الوداعیہ.
ভেল	وادی
ভেল	الوداع.
জিং	قوت.
জিং	توانائی
জিং	چُستی
জিং	جان
অডিট	پڑتال.
অডিট	محاسبہ
অডিট	تنقیح
শৃঙ্গার	تحرک
শৃঙ্গার	اُکساہٹ
পরিত্রাণ	عافیت.
পরিত্রাণ	تحفظ
পরিত্রাণ	بچاؤ
পরিত্রাণ	عافیت.
পরিত্রাণ	تحفظ
পরিত্রাণ	نجات
পরিত্রাণ	بچاؤ
হাইড্রোলিক	آبی
এজেন্টের	گماشتہ
ব্রাদারহুডের	رفاقت.
ফ্লিপ	تڑاقا
ফ্লিপ	پھٹکارنا.
ফ্লিপ	چٹکی
ফ্লিপ	چٹاخا.
ফ্লিপ	الٹاکرنا.
উঠান	باڑا
উঠান	گز
উঠান	احاطہ
অপরাধীর	قبیح.
অপরাধীর	مذموم
অপরাধীর	مجرم
নির্দয়	جابر
নির্দয়	متّشدد
নিগ্রো	کالیا
নিগ্রো	کالٹین.
শিরক	محترز
শিরক	احترازکرنا
গুঞ্জন	گنگنانا.
টেম্পো	چال.
টেম্পো	حرکت
টেম্পো	رفتارعمل
ফিঙে	ہندوستان
ফিঙে	افریقہ
রেজল্যুশন	تحلیل
রেজল্যুশন	(بعدہ
রেজল্যুশন	عزم.
শয্যাশায়ী	ضعیف
শয্যাশায়ী	نڈھال
রিস্ক	خطرہ
ব্যভিচার	بدکاری.
ব্যভিচার	زناکاری
ইনজেকশন	تزریق.
অজ্ঞ	اُجڈ.
অজ্ঞ	ناواقف.
সহানুভূতিশীল	ہمدردانہ.
সহানুভূতিশীল	(بعدہ
সহানুভূতিশীল	حامی.
সহানুভূতিশীল	ہمدردانہ.
সহানুভূতিশীল	ہمدرد
সহানুভূতিশীল	(بعدہ
সহানুভূতিশীল	حامی.
সার্ফ	کف.
পতিতা	صلاحیت
পতিতা	صلاحیت
পতিতা	طوائف
পতিতা	رنڈی
স্বাস্থ্যবান	ہمدردانہ.
স্বাস্থ্যবান	مددگار
বেণী	چٹائی
বেণী	پٹّی
পোর্টফোলিও	خریطہ
সনিক	صوت
সনিক	صدا
সনিক	صوتی.
এস্কেপ	(گیس
এস্কেপ	(وعدے
এস্কেপ	(خطرے
এস্কেপ	بچاؤ
নূপুর	خلخال.
নূপুর	پازیب
নূপুর	پائل
নূপুর	خلخال.
কস্ট	قیمت
কস্ট	نقصان
কস্ট	قربانی
কস্ট	دام
কস্ট	قیمت
কস্ট	نقصان
কস্ট	قربانی
লাঠির	چھڑی
লাঠির	into
লাঠির	مجہول
লাঠির	باقی
লাঠির	گھونپنا
লাঠির	چھیدنا
লাঠির	مذمت
লাঠির	جھیلنا.
লাঠির	تیلی
লাঠির	سہنا
চাষি	کاشتکار
মুঠো	لکھائی
মুঠো	مکّا.
মুঠো	مدد
মুঠো	مٹھی
কল্পলৌকিক	یوٹوپیائی
পুনরাবৃত্তির	تکرار
পুনরাবৃত্তির	اعادہ
ভোঁতা	کھڑتل
ভোঁতা	ُکند
ভোঁতা	گھسنا
ভোঁতা	کھونڈا
জালিয়াতি	مکاّری
জালিয়াতি	نقلی
জালিয়াতি	جھوٹا
বাবল	قعر
বাবল	کہفہ
বাবল	خیالی
হেক্স	طلسم.
হেক্স	جادو
হেক্স	چڑیل.
হেক্স	سحر
ব্যায়ামাগার	جیمنازیم.
কসমেটিক	مصنوعی
কসমেটিক	اوپری
কসমেটিক	(جراحی
বিভ্রম	توہمات.
বিভ্রম	التباس
বিভ্রম	اشتباہ
রাবারের	رفالہ.
রাবারের	برج
রাবারের	وسٹ
রাবারের	کریکٹ
অপবাদ	بہتان
এমু	ایمو
বিদ্বেষী	متنفر
বিদ্বেষী	نفور
ফার্ন	سرخس
বোরাক	بنانا
স্পার্ক	شرارہ
স্পার্ক	اخگر
স্পার্ক	چنگاری
স্পার্ক	بانکا.
স্পার্ক	بہادر
স্পার্ক	شرارہ
স্পার্ক	اخگر
স্পার্ক	چنگاری
স্পার্ক	بانکا.
স্পার্ক	بہادر
স্পার্ক	پتنگا
বেক	ندی
হিসাবরক্ষণ	محاسبی.
উদ্দিষ্ট	مدّعا-
উদ্দিষ্ট	نشانہ
উদ্দিষ্ট	مقصود
উদ্দিষ্ট	مدّعا-
উদ্দিষ্ট	ہدف
উদ্দিষ্ট	نشانہ
উদ্দিষ্ট	مقصود
বীট	beetroot)
পছন্দসই	گاہک
পছন্দসই	رسوم
পছন্দসই	رواج
পছন্দসই	گاہک
পছন্দসই	رسوم
পছন্দসই	چلن
পছন্দসই	رواج
পছন্দসই	رسم
নিকোটিন	زہریلا
টাটকা	باسی
টাটকা	خالص
টাটকা	ستھرا
টাটকা	مستعد
লিথুয়ানিয়ান	لتھوانی.
প্যারাডাইস	جنت
সহযাত্রী	ساتھی
সহযাত্রী	ساجھا
সহযাত্রী	ساتھی
সহযাত্রী	ساجھی
সহযাত্রী	ساجھا
হিদার	اریکا.
দুর্ভাগ্য	بدقسمتی
ধৈর্য	استقلال
ধৈর্য	ہمت
ধৈর্য	دلآزاری
ধৈর্য	قدرت.
ধৈর্য	رواداری.
ধৈর্য	تکلیف
ধৈর্য	درگزر
ধৈর্য	ضبط
ধৈর্য	تحمل
ধৈর্য	استقلال
ধৈর্য	صبر
ধৈর্য	ہمت
ধৈর্য	دلآزاری
ধৈর্য	قدرت.
ধৈর্য	رواداری.
ধৈর্য	تکلیف
ধৈর্য	درگزر
ধৈর্য	ضبط
ধৈর্য	تحمل
স্লট	درز
স্লট	چھیدنا
স্লট	پیڑا
স্লট	دراڑ
স্লট	جگہ
স্লট	کھوج.
স্লট	نلکی
স্লট	گوشہ
স্লট	نالی
স্লট	بیٹھنا
কপ	بھگتنا
কপ	کرنا
কপ	سہنا.
দাদি	جدّہ
নাকে	شراب
নাকে	چونچ.
নাকে	بینی
নাকে	ناک
শসা	کھیرا
শসা	خِیار.
মিনিয়ন	غلام
মিনিয়ন	فدوی.
বাঁধাকপি	کاہل
ক্রনিকল	وقائع
ক্রনিকল	بیان
আরাধ্য	مستحسن.
আরাধ্য	پسندیدہ.
আরাধ্য	بمرغوب
রেপ্লিকা	نقل.
উপসংহার	تصفیہ
উপসংহার	ماحصل.
উপসংহার	اختتام.
উপবৃত্ত	ترخیم
আগামীকাল	آئندہ
আগামীকাল	آئندہ
আগামীকাল	فردا
টেরেস্ট্রিয়াল	دنیوی.
টেরেস্ট্রিয়াল	ارضی.
গূঢ়	خفیہ.
গূঢ়	باطنی
গূঢ়	سرّی
স্লিম	چھوٹا
স্লিম	وزن
স্লিম	تیز
স্লিম	عّیار.
স্লিম	مختصر
হ্যামস্ট্রিং	کونچ.
পেশির	عاصرہ
ব্রে	رَینک
যত্নবান	ہمدرد
যত্নবান	شفیق
পিওর	طاہر
পিওর	پاکیزہ.
পিওর	معصوم.
পিওর	خالص
পিওর	اکہرا
পিওর	آواز)
পিওর	کھرا
পিওর	فقط.
পিওর	طاہر
পিওর	پاکیزہ.
পিওর	معصوم.
পিওর	صاف
পিওর	خالص
পিওর	محض
পিওর	اکہرا
পিওর	آواز)
পিওর	کھرا
পিওর	سچّا
পিওর	پاک
পিওর	فقط.
যন্ত্রণাদায়ক	نالاں.
যন্ত্রণাদায়ক	پریشان
যন্ত্রণাদায়ক	اشد
যন্ত্রণাদায়ক	شدید.
যন্ত্রণাদায়ক	سخت.
নাজ	ٹھیلنا.
নাজ	ٹہوکا
নাজ	ٹھیلنا.
কেকের	انڈا
কেকের	مکھن
পড়বেন	پانا-
পড়বেন	aloud
পড়বেন	جانچنا
পড়বেন	out
পড়বেন	بھانپنا
উৎসুক	نادر.
উৎসুক	متجسس
উৎসুক	فحش
উৎসুক	نادر.
উৎসুক	انوکھا
উৎসুক	متجسس
উৎসুক	فحش
উৎসুক	عجیب
অনুভুতি	جذباتی
অনুভুতি	حسّاس
অনুভুতি	ہمدرد.
স্যালুট	سلام
বিটল	موگرا
বিটল	ہتھوڑا
বিটল	کچلنا
বিটল	درمٹ
বিটল	گھن
বিটল	توڑنا
বিটল	ڈراؤنی.
অন্তরকলন	تفریق
অন্তরকলন	امتیاز
অপ্রতিরোধ্য	حاوی
অপ্রতিরোধ্য	غالب.
স্বস্তি	نچنت
স্বস্তি	مطمئن
বৈশিষ্ট্যাবলী	سائز
বৈশিষ্ট্যাবলী	ضخامت.
এক্সপার্ট	استاد.
এক্সপার্ট	متخصص.
গাভীর	ہدایت
গাভীর	واقف
আড়ম্বরপূর্ণ	نفیس.
আড়ম্বরপূর্ণ	فیاض
আড়ম্বরপূর্ণ	فضول
আড়ম্বরপূর্ণ	بھرپور
আড়ম্বরপূর্ণ	وافر
আড়ম্বরপূর্ণ	زائد
টাও	)
খাই	قلیل
খাই	at
খাই	رگڑ
খাই	ستانا
খাই	نگلنا
খাই	چبانا
মাইগ্রেশন	مہاجرت
ভেনম	احساس
ভেনম	خباثت
ট্রেস	through
কৌশলী	مشکل
কৌশলী	پیچیدہ
টোকা	کھٹاکا
টোকা	تھپکنا
টোকা	ف
টোকা	بھرنا.
টোকা	دستک
টোকা	کھٹاکا
টোকা	تھپکنا
টোকা	ف
টোকা	بھرنا.
টোকা	نل
টোকা	دستک
লোমশ	ڈراؤنا
বিশ্বস্ততার	خلوص
বিশ্বস্ততার	وفاکشی
তথ্যবহুল	معلوماتی
নিরাশ	چھوڑنا
দিশা	ہدایت
ম্যাসেজ	اعصاب
অশালীন	نازیبا
অশালীন	مبتذل
অশালীন	ناپسندیدہ.
অশালীন	نازیبا
অশালীন	مبتذل
অশালীন	ناپسندیدہ.
অশালীন	ناشائستہ
অনিষ্ট	برائی
অনিষ্ট	ناخوشگوار
অনিষ্ট	بد.
অনিষ্ট	ناپسندیدہ
অনিষ্ট	منحوس
অনিষ্ট	ضرر.
অনিষ্ট	قبح.
অনিষ্ট	برائی
অনিষ্ট	ناخوشگوار
অনিষ্ট	بد.
অনিষ্ট	ناپسندیدہ
অনিষ্ট	منحوس
অনিষ্ট	بدی
অনিষ্ট	ضرر.
অনিষ্ট	قبح.
ড্র্যাগ	سفارش.
ড্র্যাগ	دباؤ
ড্র্যাগ	کِھسکنا.
ড্র্যাগ	ٹٹولنا.
ড্র্যাগ	اثر
ড্র্যাগ	چھاننا
ড্র্যাগ	جال
ড্র্যাগ	drag-net.
ড্র্যাগ	کھینچنے
নিঃস্বার্থ	مخلص.
ফেনা	چھلکنا.
ফেনা	کف.
ফেনা	جھاگ
ফেনা	چھلکنا.
ফেনা	کف.
ফেনা	پھین
প্লাস্টার	چونے
প্লাস্টার	دیواروں
প্লাস্টার	ضماد.
ডাইজেস্ট	انتخاب
ডাইজেস্ট	مختصر
আর্কেড	چھتّا
সেলটিক	ویلز
সেলটিক	کیلٹی
ওরিয়েন্ট	الشرق.
ওরিয়েন্ট	آبدار
কবচ	تنتر.
কবচ	تنتر.
কবচ	تعویذ
ভুতুড়ে	ڈرپوک
খুর	موس.
খুর	مونڈنا
খুর	استرا
মর্মর	تتلانا.
মর্মর	تُتُلاہٹ
স্বত্বাধিকার	موجد
স্বত্বাধিকার	چھاپنے
পরিহাস	طنز
বাইন্ডিং	عائد.
বাইন্ডিং	لازمی
বাইন্ডিং	ناگزیر
নিঃস্ব	کنگال
নিঃস্ব	عسیر
নিঃস্ব	مفلس
নিঃস্ব	عاری
বাড়াবাড়ি	بیش
বাড়াবাড়ি	تجاوز
বাড়াবাড়ি	افزوں
স্বৈরতন্ত্র	شخصی
শিলিং	تنزانیہ
শিলিং	کینیا
লেভার	پتلے
ফর্ক	پھاڑنا
নর্ডিক	ناردی.
ধ্বংসস্তুপ	(امید
ধ্বংসস্তুপ	روڑی
ধ্বংসস্তুপ	روڑے.
সেন্সরশিপ	احتساب
চিৎ	ادنیٰ.
চিৎ	غیرسنجیدہ
চিৎ	غیراہم
চিৎ	معمولی
চুমু	بوسہ.
জগ	دھچکا
জগ	دھکّا
জগ	اُکسانا
জগ	گھسٹنا.
জগ	ٹہوکنا.
জগ	دُلکی.
জগ	ٹہوکا.
ফসফরিক	تابندہ
ফসফরিক	روشن.
ফ্লাক্স	پنیانا
ফ্লাক্স	نزف
ফ্লাক্স	سیلان
ফ্লাক্স	اخراج
ফ্লাক্স	نکاس.
ফ্লাক্স	سیلان.
ফ্লাক্স	پگھلانا
ফ্লাক্স	بہاؤ.
জিগ	اچھلنا
জিগ	گرفتہ
জিগ	چمٹا
জিগ	چٹکی
খসখসে	اُجڈ
খসখসে	(سمندر
খসখসে	اکھڑ
খসখসে	نادرست
খসখসে	گنجان
খসখসে	گھنا
খসখসে	(زمین
খসখসে	تتربتر
খসখসে	خاکہ.
খসখসে	ادھورا.
খসখসে	نڈھال
খসখসে	تلخ.
খসখসে	تند
খসখসে	(بعدہ
খসখসে	طوفانی
খসখসে	پھلانا
খসখসে	سخت
খসখসে	پست.
খসখসে	غف
টিউন	آہنگ
টিউন	سُر
সাইফার	جوڑنا
এনক্রিপশন	رمزنگاری
ক্যাশে	دولت
ধনে	کشنیز
ধনে	دھنیا
ক্রীম	جھاگ.
ক্রীম	ست
ক্রীম	پھین
মনস্টার	عفریت
মনস্টার	راکشس.
নেকলেস	مالا
সঞ্চালনা	فرض
সঞ্চালনা	حکم
ইন্টারেক্টিভ	متعامل
বৃথা	خالی
বৃথা	خودبیں.
বৃথা	گھمنڈی
বৃথা	متکبر
বৃথা	کھوکھلا.
বিম	شہتیر
বিম	بَلّی
গ্যাপ	درّہ.
গ্যাপ	خلا
গ্যাপ	مذاق
গ্যাপ	شگاف.
গ্যাপ	گھاٹی
গ্যাপ	فصل
গ্যাপ	اختلاف.
গ্যাপ	ریخ
গ্যাপ	درّہ.
গ্যাপ	خلا
গ্যাপ	رخنہ
গ্যাপ	مذاق
গ্যাপ	شگاف.
গ্যাপ	گھاٹی
গ্যাপ	فصل
গ্যাপ	اختلاف.
গ্যাপ	ریخ
প্রস্রাবের	بول
প্রস্রাবের	(پیشاب
প্রস্রাবের	پیشاب.
ফাজ	بکواس.
ডোমেন	عملداری
ডোমেন	قلمرو.
ক্যাপচার	گرفتہ
ক্যাপচার	تسخیر
ক্যাপচার	پکڑا
ক্যাপচার	قبضے
গ্যারিসন	قلعہ
প্রশান্তি	سکون
প্রশান্তি	شانتی
প্রশান্তি	سکون
প্রশান্তি	شانتی.
প্রশান্তি	خموشی
মালী	مالی.
মালী	مالی.
মালী	باغبان
ভগ্নাংশের	قلیل
ভগ্নাংশের	جزوی
ভগ্নাংশের	کسری.
ভগ্নাংশের	نامکمل.
ভগ্নাংশের	ناقص
ডিরেক্ট	to
ডিরেক্ট	اصلی
ডিরেক্ট	مستقیم
ডিরেক্ট	اشارے
ডিরেক্ট	انتظام
ডিরেক্ট	واضح
ডিরেক্ট	انصرام
স্ক্রোল	دستاویز
স্ক্রোল	طومار.
স্ক্রোল	پارچہ
উজি	اوزی
পেয়াজ	پیاز
পেয়াজ	بصلہ.
চেম্বারলেইন	بادشاہ
চেম্বারলেইন	محلدار
ওয়াহাবী	وہابی
লাক্ষা	ہرانا
লাক্ষা	چمکانا.
রিল	جھومنا
রিল	up
রিল	اٹیرنا.
রিল	(بعدہ
রিল	ڈگمگانا.
রিল	ناہموار
রিল	ڈولنا
রিল	سوت
মুদি	کریانہ.
মুদি	پنسارا
বেয়নেট	گھوپننا.
গুটিবসন্ত	سیتلا
গুটিবসন্ত	سیتلا
গুটিবসন্ত	چیچک
প্ররোচনা	عقیدہ
প্ররোচনা	ایمان
প্ররোচনা	گروہ
প্ররোচনা	تشویق
প্ররোচনা	عقیدہ
প্ররোচনা	ایمان
