submarins	подморници
antàrtida	антарктикот
intèrprets	преведувачи
intèrprets	преведувачите
intèrprets	изведувачи
pioners	пионери
eddie	еди
sentits	сетилата
sentits	сетила
calent	згодна
calent	жешка
calent	жешко
calent	жешки
calent	топла
bateries	акумулатори
bateries	батерии
bateries	батериите
montgomery	монтгомери
trencat	скршен
trencat	скршена
trencat	прекршени
trencat	скршено
trencat	скршени
aleix	алексиј
coronada	крунисан
comunisme	комунизам
comunisme	комунизмот
irene	ајрин
irene	ирина
irene	ирена
satisfer	задоволат
satisfer	задоволи
positius	позитивен
positius	позитивна
positius	позитивно
positius	позитивни
positius	позитив
núñez	нуњез
strauss	штраус
cerro	керо
fabricat	произведена
fabricat	произведен
rècords	рекорди
rècords	евиденција
rècords	записи
ecologia	екологија
baltimore	балтимор
nantes	нант
plomes	пердуви
sistemàtica	систематски
sistemàtica	систематско
tit	тит
brabant	brabant
combinacions	комбинации
colin	колин
llemosí	лимузен
estructurals	структурните
estructurals	структурни
lliura	вага
lliura	фунта
rita	рита
cries	потомство
cries	подмладок
diocesà	епархиски
finalitats	намени
romanen	остануваат
romanen	останат
transformada	преобрази
transformada	трансформираат
transformada	трансформација
transformada	трансформира
transformada	трансформирање
simètrica	симетрично
wellington	велингтон
frescos	свеж
frescos	свежи
frescos	свежа
frescos	тазе
frescos	свежо
admetre	признаам
significatives	значајни
significatives	значителна
significatives	значајно
significatives	значајна
significatives	значителен
significatives	значаен
bush	грмушка
bush	грмушки
bush	буш
defensiu	одбрамбена
defensiu	одбранбен
defensiu	одбранбена
recompensa	награда
romàntica	романтична
romàntica	романтика
romàntica	романтичен
romàntica	романтично
cavitat	шуплина
exactes	точна
exactes	точната
pardo	пардо
fontaine	фонтен
balduí	болдвин
salsa	сос
nielsen	nielsen
mostrava	покажа
mostrava	покажала
granit	гранит
corredors	тркачи
negro	црнец
vinci	винчи
franca	franca
iris	ајрис
iris	ирис
harrison	харисон
nicholas	николас
sastre	кројач
retard	одложи
retard	доцнење
retard	одложување
pascal	паскал
salzburg	салзбург
brooklyn	бруклин
superioritat	супериорност
repeteix	повтори
repeteix	повторувам
repeteix	повторување
repeteix	јамка
eusebi	евсебиј
valeri	валери
valeri	валери
acceleració	забрзување
antíoc	антиох
continents	континенти
cohen	коен
embarcacions	бродови
embarcacions	чамци
enciclopedia	enciclopedia
ravenna	равена
degà	дин
degà	dean
glasgow	глазгов
disposades	договорен
vancouver	ванкувер
conquerit	освоени
conquerit	освоен
mixt	мешани
mixt	мешано
mixt	мешан
mixt	мешана
mixt	помешани
abel	абел
mod	мо
copiar	копирање
formals	формално
formals	формални
formals	формална
formals	формален
caracas	каракас
pelegrinatge	аџилак
convocatòria	повик
convocatòria	повикај
bombai	бомбај
bombai	мумбаи
anglo	англо
direccions	упатство
direccions	насоки
cher	шер
escàndol	скандал
proveir	обезбеди
làmines	постелнина
làmines	листови
làmines	чаршафи
protagonitzar	глумеше
bucarest	букурешт
concursos	натпреварувања
concursos	натпревари
concursos	натпревари
ling	линг
blaus	блуз
polinomi	полином
espases	мечови
espases	мечеви
espases	сабји
reg	наводнување
serbis	срби
serbis	србите
regal	дар
regal	поклон
regal	подарок
seleccionat	избрани
seleccionat	избрано
seleccionat	избрана
seleccionat	одбрано
seleccionat	избран
num	num
croat	хрватски
croat	хрватскиот
yahya	јахја
diploma	диплома
diploma	дипломата
metz	мец
ntupdate	ntupdate
wikidata	википодатоци
matt	мет
matt	мат
batejat	крстен
abi	abi
sortides	излези
supervisió	надзор
progressiu	прогресивна
progressiu	напредна
progressiu	напредно
progressiu	прогресивно
bots	ботови
poderosos	моќен
poderosos	моќна
poderosos	моќно
poderosos	моќни
deep	deep
deep	длабок
deep	длабока
deep	длабоко
deep	длабоки
reflex	рефлекс
botó	копче
extret	вадат
extret	извлечени
plens	полни
plens	целосна
plens	полна
plens	полн
ulster	алстер
calvo	ќелави
calvo	ќелав
armand	арманд
hampshire	хемпшир
seques	исушена
seques	исушени
facultats	факултети
facultats	факултетите
veterans	ветерани
veterans	ветераните
julián	џулиан
julián	џулијан
julián	хулијан
guàrdies	чувари
guàrdies	стражари
bridge	мост
vuitena	осмиот
vuitena	осма
vuitena	осми
dijous	четврток
baby	бебе
baby	орце
baby	душичка
baby	срце
reyes	рејес
assignar	додели
assignar	доделиме
mercader	трговец
invasions	инвазии
vestíbul	лоби
vestíbul	лобираат
nomenats	назначени
nomenats	назначена
nomenats	наименуван
nomenats	назначен
gala	гала
gala	свеченост
cabana	колибата
cabana	колиба
cabana	кабина
cabana	куќарка
johns	џонс
extensions	продолжетоци
darmstadt	дармштат
integrats	интегриран
integrats	интегрирано
integrats	интегрирани
integrats	интегрирана
cilindre	цилиндар
pesos	тегови
inquisició	инквизиција
ref	судија
celler	подрум
celler	визба
celler	винаријата
constança	констанца
ploma	пенкало
ploma	пен
ploma	пердув
ploma	перо
angular	аголна
oman	оман
innovacions	иновации
nits	ноќи
pendents	обетки
donades	дадена
donades	дадени
donades	дадено
donades	даден
joão	жоао
mani	мани
express	express
express	експрес
convencionals	конвенционалните
carnaval	карневал
yang	јанг
desfer	врати
cartells	постери
cartells	плакати
dominada	доминираше
dominada	доминираа
ametlla	бадем
resurrecció	воскресение
resurrecció	воскреснување
denunciar	осудат
consultat	консултирани
domèstic	домашно
domèstic	домашен
domèstic	домашна
domèstic	домашни
domèstic	домашните
teclats	клавијатури
mill	мелница
llavor	семе
armstrong	армстронг
sky	sky
sky	небо
reconstruït	обновена
esborrany	нацртот
esborrany	нацрт
tesis	тезата
tesis	теза
tesis	тези
tor	тор
evitant	избегнување
evitant	избегнувајќи
notari	нотарот
notari	нотар
politècnica	политехничкиот
grams	грама
schneider	шнајдер
responsabilitats	одговорности
responsabilitats	обврски
plantacions	плантажи
subdivisió	огранок
subdivisió	гранче
subdivisió	гранка
subdivisió	филијала
meyer	мајер
desde	desde
facilita	олеснува
localment	локално
incidents	инциденти
incidents	инцидентите
lents	леќи
lents	леќите
valent	храбра
valent	храбар
valent	храбри
valent	храбро
convençut	убедена
convençut	убедени
convençut	убеден
feixista	фашист
feixista	фашистички
feixista	фашистичка
nòmades	номади
escalada	качување
atributs	атрибути
farmàcies	аптеки
farmàcies	аптеките
eugène	ежен
berg	берг
resistents	отпорни
resistents	отпорна
banks	бенкс
banks	банките
banks	банки
pensant	размислување
entorns	средини
mauritània	мавританија
convocat	повикан
convocat	повикани
superant	надминувајќи
discografia	дискографија
òptic	оптички
òptic	оптичка
òptic	оптичар
ressonància	резонанца
embaràs	бременост
embaràs	бременоста
alegria	радост
mineria	рударска
mineria	рударство
mineria	рударството
mineria	рударски
siena	сиена
cromosomes	хромозоми
horts	овоштарниците
guerrero	гереро
hegemonia	хегемонија
demandes	барања
cadascú	секоја
divinitat	божествен
judicis	судења
alcaldes	градоначалниците
alcaldes	градоначалници
grove	гроув
apollo	аполон
apollo	аполо
plànol	авионски
plànol	авион
patates	компири
metabolisme	метаболизмот
caos	хаос
hunter	ловец
hunter	хантер
jefferson	џеферсон
obligacions	обврски
cecília	сесилија
polo	polo
polo	поло
yes	да
trento	тренто
floyd	флојд
seients	места
seients	седишта
frau	измама
frau	измами
cantonades	ќошиња
cantonades	агли
viquipedista	wikipedian
llimona	лимон
sentia	почувствува
sentia	почуствував
nervis	нервите
nervis	нерви
tolerància	толеранција
phoenix	феникс
diables	ѓаволи
abandonament	напуштање
suecs	швеѓани
autoria	авторските
born	родено
born	роди
born	роден
born	родени
born	раѓа
amenaçat	загрозени
amenaçat	загрозено
amenaçat	загрозена
amenaçat	загрозен
definicions	дефиниции
directori	именик
directori	папка
neutrons	неутрони
funeral	погреб
funeral	погребот
felicitat	среќа
rares	ретки
rares	реткост
rares	ретко
rares	редок
rares	ретка
jura	jura
subgrup	subgroup
bonn	бон
plegat	склопување
tallat	рез
tallat	исечи
tallat	сечи
pronunciació	изговор
pronunciació	изговорот
intencions	намери
intencions	намерите
porxo	тераса
estrets	теснец
conill	зајак
navegador	прегледувач
navegador	прелистувач
tia	женска
tia	чик
tia	стрина
tia	тетка
tia	тета
tia	вујна
tia	тиа
banco	банко
sedis	sedis
textura	текстура
ismail	исмаил
belgues	белгијци
fortificada	утврдуваат
successius	последователните
trobant	наоѓање
trobant	пронаоѓање
júlia	јулија
júlia	џулија
júlia	julia
yves	ив
violació	силување
violació	силувања
heavy	тешка
heavy	тежок
heavy	тешки
heavy	тешкото
destituït	отповикан
fantasma	дух
impedeix	спречува
after	откако
after	по
after	после
judaisme	јудаизмот
cuir	кожни
cuir	кожа
posseir	поседувањето
posseir	поседуваат
vegas	вегас
peticions	барања
exacte	точна
exacte	точната
maximilià	максимилијан
senadors	сенатори
senadors	сенаторите
àlies	псевдоним
àlies	алијас
àlies	ака
huelva	хуелва
mites	митови
dotat	надарен
influents	влијателниот
influents	влијателен
influents	влијателна
influents	влијателни
localitza	лоцирањето
localitza	лоцираат
localitza	лоцирање
localitza	лоцира
cometa	комета
nervi	нервен
nervi	нерв
nervi	нервни
conservats	зачувана
conservats	сочувана
conservats	сочувани
detroit	детроит
detroit	дистрикт
legítim	легитимна
legítim	легитимни
legítim	легитимно
legítim	легитимен
legítim	законско
santi	санти
perdó	простување
perdó	прошка
cruïlla	раскрсница
serguei	сергеј
determinant	детерминанта
harvey	харви
julian	џулиан
julian	џулијан
batallons	армии
batallons	војски
théâtre	théâtre
icona	икона
electró	електронски
electró	електронска
disputada	спорни
disputada	спорен
combinada	комбинација
combinada	комбиниран
combinada	здружени
combinada	комбинирано
combinada	комбинирана
arkansas	арканзас
mirador	мирадор
horitzó	хоризонт
horitzó	хоризонтот
assetjada	опколено
assetjada	опколена
racional	рационално
racional	рационални
obligatori	задолжително
autobús	автобус
congost	клисура
congost	клисурата
fàrmacs	дрога
fàrmacs	дроги
dimoni	ѓавол
dimoni	ѓаволот
dimoni	демон
brava	брава
criticar	критикување
philadelphia	филаделфија
creadors	креатори
creadors	креаторите
fòssil	фосилни
lucre	заработка
lucre	профит
académie	académie
sintaxi	синтакса
mandíbula	вилица
mandíbula	вилицата
soto	сото
autèntica	автентична
autèntica	автентично
autèntica	автентичен
terços	третини
leningrad	ленинград
ombres	сенки
ombres	сенките
constitucions	уставите
entusiasme	ентузијазам
assumeix	претпоставува
físicament	физички
terrible	ужас
terrible	ужасни
terrible	ужасна
terrible	ужасно
atletes	спортисти
atletes	атлетичари
atletes	спортистите
emocions	емоции
pobladors	доселеници
pib	бдп
hubert	ибер
veterinari	ветеринар
veterinari	ветеринар
finalitza	завршува
finalitza	заврши
finalitza	финиш
gabon	габон
orella	уво
orella	увото
chan	чан
chan	чен
mason	мејсон
benín	бенин
championship	шампионат
championship	првенство
championship	шампионски
amagat	скриен
amagat	скриена
amagat	скриени
amagat	скриено
amagat	сокриено
amagat	сокриена
suaus	меко
suaus	меки
suaus	soft
suaus	мека
subtropicals	суптропска
rex	рекс
vita	vita
teràpia	терапија
compilació	компилација
nòrdic	нордиски
stade	стад
yale	јејл
yale	јеил
boris	boris
boris	борис
bahadur	бахадур
bey	бег
boles	топки
boles	јајца
boles	топчиња
decisiu	решителен
decisiu	решавачки
decisiu	одлучувачки
decisiu	одлучна
hotels	хотели
príncipe	принсипе
custòdia	старателство
custòdia	притвор
calàbria	калабрија
société	société
ensenyaments	поука
ensenyaments	лекции
jordània	jordan
jordània	јордан
jordània	џордан
puebla	пуебла
introduïda	воведена
introduïda	воведен
introduïda	воведе
introduïda	воведени
organitzen	организирање
bravo	браво
bravo	bravo
dante	данте
creien	верувал
creien	веруваше
creien	верувале
prohibida	забрането
prohibida	забрани
prohibida	забранета
prohibida	забранети
ballarina	балерина
ballarina	танчер
dedicació	посветеност
dedicació	посвета
automàtic	автоматски
automàtic	автоматска
automàtic	автоматско
loire	лоара
suggerit	предложена
suggerit	предложени
suggerit	навести
suggerit	предложено
suggerit	предложи
genoma	геном
evidentment	очигледно
evidentment	очигледно
condemnar	осудување
condemnar	осуди
condemnar	осудуваат
hàbits	навики
volts	волти
neil	нил
tradueix	преведување
tradueix	преведува
tradueix	преведи
tradueix	преведе
magnífic	величенствен
magnífic	величествена
magnífic	величествено
magnífic	величествен
obstacles	препреки
obstacles	пречки
platí	платинум
resideix	престојува
ven	продава
trípoli	триполи
lliçons	поука
lliçons	лекции
datació	запознавање
vincenzo	винченцо
pells	бушава
pells	кожи
olimpíades	олимпијадата
olimpíades	олимпијада
viatja	патувања
domèstics	домашно
domèstics	домашен
domèstics	домашна
domèstics	домашни
domèstics	домашните
transformat	претворен
transformat	трансформирана
xeic	шеик
xeic	шеикот
terminals	терминали
dames	дама
constituent	конститутивна
australiana	австралијанецот
hard	тешко
hard	тврд
hard	силно
hard	јако
mayer	мејер
mayer	мајер
danny	дени
danny	дани
reformar	реформа
gimnàstica	гимнастика
let	нека
let	пушти
granges	фарми
rumors	гласини
clorur	хлорид
node	јазол
elegant	елегантно
elegant	елегантен
elegant	елегантни
elegant	елегантна
aïllats	изолирана
aïllats	изолирано
aïllats	изолирани
aïllats	изолиран
inversions	инвестиции
inversions	вложувања
madonna	мадона
heli	хелиум
caçador	ловец
caçador	хантер
educat	образован
educat	образовани
educat	образованите
educat	образована
educat	културен
educat	културно
educat	љубезен
educat	учтиво
educat	учтив
perillós	опасен
perillós	опасно
perillós	опасни
perillós	опасна
llicències	лиценци
millorat	подобрен
millorat	подобрена
millorat	подобрени
millorat	подобрено
millorat	подобрен
millorat	подобрена
millorat	зајакната
millorat	засилен
pròxima	следниот
pròxima	следна
pròxima	следно
pròxima	следни
pròxima	следен
leon	лион
leon	леон
distintiu	карактеристични
distintiu	значка
distintiu	беџ
debats	дискусии
debats	дебати
debats	дебатите
ferrari	ферари
keith	кит
repetició	повтори
repetició	повторувам
repetició	повторување
repetició	повторување
salvació	спас
salvació	спасението
salvació	спасение
diàlegs	дијалози
diàlegs	дијалози
confiar	верувајте
confiar	веруваат
confiar	верувај
confiar	доверба
restant	преостанати
restant	преостанат
restant	преостанатите
contractes	договори
pantalons	гаќи
pantalons	пантолони
pantalons	панталони
tinta	мастило
lingüista	лингвист
tibet	тибет
hassan	хасан
plànols	рамен
plànols	рамно
plànols	дур
plànols	рамни
plànols	рамна
plànols	нацрти
dot	мираз
dot	точка
culpable	крив
culpable	виновни
culpable	виновно
culpable	виновна
culpable	виновен
incidència	случка
aisne	ена
federacions	федерации
defensava	признава
mares	мајките
mares	мајки
bilingüe	двојазични
bilingüe	двојазичност
greix	дебела
greix	дебели
greix	масти
greix	сало
greix	дебел
jin	џин
saqueig	грабежи
saqueig	пљачкосување
saqueig	тавче
saqueig	вреќа
anunciat	најави
anunciat	најавена
lloguer	кирија
lloguer	изнајмување
lloguer	наем
compensació	компензација
compensació	надоместок
simbolitza	симболизира
jeanne	жан
tel	тел
projectar	проектира
ampliada	проширен
ampliada	проширена
ampliada	проширената
congressos	конгреси
incertae	incertae
apèndix	додатокот
detectiu	детектив
detectiu	детективот
mitgeres	пл
trompeta	труба
corint	коринт
organitzador	организатор
organitzador	организаторот
comunicat	пријавена
comunicat	пријавени
rates	стаорци
rates	глувци
rates	стаорците
ruth	рут
loir	лоар
five	пет
five	петмина
five	five
funcionalitat	функционалност
funcionalitat	функционалноста
roi	рои
enter	integer
fractura	скршеница
fractura	фрактура
chopin	шопен
implicats	вклучен
implicats	инволвирани
sean	шон
entreteniment	забава
entreteniment	забавни
constava	состоеше
eritrea	еритреја
patins	ролери
ran	водеше
ran	трчаше
mateo	матео
ritu	ритуал
ritu	обред
agulles	игли
inscrits	регистриран
inscrits	регистрирана
inscrits	регистрирано
inscrits	регистрирани
llicenciatura	ерген
tutela	старателство
treballador	работник
treballador	работникот
treballador	работничка
plaer	задоволство
gene	џин
gene	ген
navegant	едрење
navegant	пловидба
navegant	пловење
amnistia	амнестија
antilles	антили
aritmètica	аритметика
planteja	позира
planteja	претставува
planteja	покренува
monopoli	монопол
jay	џеј
zinc	цинк
guies	водичи
perfecció	совршенство
perfecció	совршеност
antònia	антонија
acosta	wham
acosta	бам
lituà	литванскиот
bei	кај
indians	индијци
indians	индијанците
indians	индијанци
electric	електричен
electric	електрицитет
electric	електрично
clade	клад
stefan	stefan
stefan	стефан
stefan	штефан
instituts	институти
elefant	слон
fuentes	фуентес
absent	отсутен
absent	отсутна
absent	отсутни
hostal	гостилница
hostal	ин
powell	пауел
zimbabwe	зимбабве
atzar	случаен
atzar	случајно
atzar	случајни
atzar	рандом
atzar	случајна
mitchell	мичел
palla	слама
palla	сламка
guardiola	гвардиола
intel	интел
olis	масла
mobiliari	гарнитура
mobiliari	мебел
orientat	ориентираните
orientat	ориентирана
orientat	ориентирани
orientat	ориентиран
constructor	градител
atmosfèrica	атмосферска
convenient	погодни
convenient	згодно
convenient	поволна
obertament	отворено
sicílies	sicilies
dean	дин
dean	dean
terry	тери
agricultors	земјоделци
agricultors	фармери
agricultors	земјоделците
pub	паб
aprova	одобрува
aprova	одобрува
aprova	одобри
mausoleu	мавзолеј
