nazisti	나치즘
difetti	결함
identica	동일한
identica	동일
identica	동일함
canone	요금
canone	수수료
canone	캐논
symphony	교향곡
tendenze	경향
tendenze	트렌드
campus	캠퍼스
alive	alive
prevenzione	방지
prevenzione	예방
preziosi	소중한
perfect	완벽
perfect	완벽한
superiorità	우월한
superiorità	우월
risonanza	mri
somiglianza	닮음
segnalazioni	알림
esonerato	면제
capitali	캐피털
capitali	자본
capitali	수도
capitali	캐피탈
capitali	자본주의
capitali	캐피털
veneziani	베네치아
moschea	모스크
solidarietà	연대
equipaggiamento	장비
concept	concept
concept	컨셉
concept	개념
inside	인사이드
inside	내부
perfezione	완벽
espressi	익스프레스
espressi	표명
melodia	melody
melodia	멜로디
pagano	이교도
giornalismo	저널리즘
casella	box
casella	상자
casella	박스
miele	여보
miele	허니
cime	봉우리
serba	세르비아
serba	세르비아인
serba	세르비아어
nothing	아무것도
pierce	피어스
osservatori	관측자
osservatori	관찰자
osservatori	옵서버
osservatori	옵저버
osservatori	관찰자
osservatori	옵서버
ovvio	명백하다
maledizione	저주
protettore	보호자
midnight	자정
midnight	midnight
midnight	미드나이트
midnight	미드나잇
floyd	플로이드
metropolitan	메트로폴리탄
atlante	아틀라스
atlante	atlas
progressiva	진보주의
progressiva	프로그레시브
appendice	부록
tracy	트레이시
filtro	필터링
filtro	필터
raffreddamento	냉각
raffreddamento	냉방
prestigiosa	명문
mhz	mhz
ebraismo	유대인
ebraismo	유대교
ebraismo	유대교
creta	크레타
individuato	감지
individuato	발견됨
around	주위
around	주변
formaggio	치즈
conservatore	보수주의
conservatore	보수
ultra	울트라
mouse	생쥐
mouse	마우스
povera	불쌍한
catalogna	카탈루냐
drew	드류
drew	드루
lotus	로터스
positive	긍정
positive	양수
positive	긍정적
positive	긍정적인
solitario	외로워
solitario	외로운
solitario	외로움
cicli	사이클
leggendario	전설
rodrigo	로드리고
veneziana	베네치아
antenati	조상
antenati	조상
inserendo	삽입
riviera	리비에라
fresco	신선
fresco	신선한
batteri	세균
batteri	박테리아
padroni	마스터즈
padroni	마스터스
fast	빠르다
fast	빨라
fast	빠름
biologico	생물학
biologico	유기적
snow	스노우
confluenza	합류
alexandra	알렉산드라
rifornimenti	용품
rifornimenti	공급
vegetale	채소
vegetale	야채
distrutti	파괴됨
sts	sts
pianificazione	플래닝
pianificazione	계획
pianificazione	기획
lynch	린치
brand	브랜드
vanessa	바네사
miglioramenti	향상
miglioramenti	개선
miglioramenti	향상
miglioramenti	개선
official	공식
official	official
esposizioni	박람회
esposizioni	전시회
esposizioni	노출
giungla	정글
astronauta	우주비행사
astronauta	우주인
ammissione	입장료
ammissione	입학
patrizia	파트리크
patrizia	패트릭
patrizia	패트리샤
adamo	아담
adamo	애덤
xls	xls
pascoli	목장
valenza	발렌시아
buco	구멍
buco	구멍이
kai	카이
persiani	페르시아
persiani	페르시아인
persiani	페르시안
persiani	페르시아어
persiani	페르시아인
raid	raid
raid	습격
kathy	캐시
asiatici	아시아
asiatici	아시아인
sciopero	파업
sciopero	스트라이크
accelerazione	가속도
accelerazione	가속
accelerazione	가속화
dito	핑거
dito	손가락
unit	유닛
unit	unit
unit	단위
conrad	콘라트
conrad	콘라드
conrad	콘래드
martha	마사
attivazione	활성화
attivazione	활성화
attivazione	활성화하기
attivazione	활성화
pinne	지느러미
pinne	지느러미
benvenuto	환영
benvenuto	환영합니다
geni	천재
geni	유전자
omosessuale	동성애자
nascondere	숨기기
continuazione	계속
dmitrij	드미트리
misericordia	자비
ampiezza	너비
garanzia	보증
garanzia	보증
molise	몰리세
vincenti	우승자
vincenti	수상자
vincenti	승자
barba	수염
abitudini	습관
discusso	논의
bastone	지팡이
bastone	사탕수수
bastone	막대기
bastone	스틱
nassau	나사우
attestato	증명
attestato	인증서
attestato	증명서
attestato	자격증
caraibi	캐리비안
caraibi	카리브
davies	데이비스
davies	davies
unificazione	통일
analogamente	마찬가지로
analogamente	비슷함
analogamente	비슷하게
cpu	cpu
silent	침묵
collettiva	집단
postumo	부관
dama	숙녀
dama	레이디
dama	아줌마
klein	클라인
rush	러쉬
paragrafi	단락
appunti	노트
marmi	대리석
marmi	대리석
detenuti	억류
detenuti	죄수
pranzo	도시락
pranzo	점심
dakota	다코타
sarda	사르데냐
assassini	킬러
assassini	킬러스
assassini	살인범
assassini	암살자
assassini	암살단
assassini	암살
assassini	살인자
beyond	비욘드
filosofi	철학자
filosofi	철학자들
segreteria	비서
segreteria	사무국
dimenticare	망각
dimenticare	잊어
protestanti	개신교
protestanti	개신교
archeologica	고고학
insurrezione	반란
stimata	추정
reggenza	리젠시
inquinamento	오염
mission	미션
mission	선교
mattia	마티아스
iniezione	주사
iniezione	주입
iniezione	분사
capra	염소자리
capra	염소
compatibile	호환
veleno	독도
christie	크리스티
adriana	아드리아나
artificiali	인조
artificiali	인공
marce	썩어
marce	기어
louisiana	루이지애나
mode	모드
crotone	크로토네
omero	호머
nebbia	안개
nebbia	안개
trevor	트레버
venus	금성
venus	비너스
razzo	로켓
lesioni	부상
lesioni	부상
gratuito	free
gratuito	무료
gratuito	자유
elencati	나열
banks	뱅크
banks	은행
banks	뱅크스
erzegovina	헤르체고비나
caricare	로드
caricare	로딩
caricare	업로드
pattinaggio	스케이팅
pattinaggio	스케이트
elfi	elf
elfi	엘프
elfi	엘프
preliminari	예비
billie	빌리
billie	billie
siciliani	시칠리아
confuso	혼란
panico	패닉
panico	공황
penna	pen
guatemala	과테말라
guatemala	과테말라
rubato	도난
rubato	훔쳤다
sedia	의자
giusti	정의로운
approssimativamente	대략
portieri	골키퍼
designazione	명명법
designazione	명명
alleata	앨리
guardiano	수호
guardiano	보호자
guardiano	가디언
monster	괴물
monster	몬스터
monster	괴물이
grafiche	그래픽
grafiche	그래픽스
repubblicani	공화당
repubblicani	공화당
rocky	록키
rocky	로키
mcdonald	맥도널드
mcdonald	맥도날드
comporre	작성
comporre	쓰기
comporre	작성하기
preferenze	환경설정
wii	wii
nielsen	닐슨
nielsen	nielsen
nielsen	닐센
twilight	트와일라잇
twilight	황혼
wing	날개
geologo	지질학
geologo	지질학자
travis	트레비스
travis	트래비스
unitario	단일
arrestare	체포
aspetta	기다린다
aspetta	기다림
aspetta	기다렸다
lily	릴리
strauss	스트라우스
strauss	슈트라우스
imposte	세금
vittore	빅토르
vittore	빅터
essenza	본질
griffin	그리핀
razionale	합리적
morali	도덕
morali	도덕
energie	에너지
energie	에너지
low	낮은
low	낮음
low	low
documentari	다큐멘터리
documentari	다큐멘터리
andre	앙드레
andre	안드레
raggiunti	도달
baritono	바리톤
consapevolezza	의식
consapevolezza	인식
consapevolezza	인지도
julio	훌리오
burns	번스
burns	화상
passante	방관자
sintassi	구문
sintassi	문법
jun	jun
pratt	프랫
robbie	로비
emissioni	배기가스
emissioni	배출권
emissioni	배출량
emissioni	배출
emissioni	방출
emissioni	배출
api	벌벌
api	api
api	api
api	apis
gioielli	보석
gioielli	보석
gioielli	쥬얼리
sega	쏘우
sega	세가
revolution	레볼루션
revolution	레벌루션
revolution	혁명
psicologo	심리학자
proporzionale	비례
messicana	멕시코인
messicana	멕시코
álvarez	알바레스
padiglione	파빌리온
remo	rsa
indigeni	원주민
indigeni	토착
elevazione	고도
maxwell	맥스웰
eterno	영원
eterno	영원한
gone	gone
attive	활성화
attive	활동
attive	액티브
attive	활성
stress	스트레스
rivoluzionaria	혁명
abbreviazione	약어
abbreviazione	약자
abbreviazione	단축
reati	범죄
reati	범죄
confessione	고백
confessione	신앙고백
curioso	궁금해
doni	선물
organica	유기적
piramide	피라미드
distintivo	위젯
distintivo	배지
distintivo	뱃지
distintivo	명함
ace	에이스
ace	ace
soliti	평상시
soliti	평소
alieno	에이리언
alieno	외계인
montreal	몬트리올
arno	아르노
neonato	신생아
neonato	영아
freedom	자유
freedom	프리덤
quarterback	쿼터백
dubbia	의심스럽다
dubbia	의심
bandito	outlaw
pearl	진주
turn	턴제
tropicali	열대
pallamano	핸드볼
solomon	솔로몬
benessere	웰빙
benessere	웰빙
seme	정액
seme	시드
seme	seed
seme	씨앗
patrizio	파트리크
patrizio	패트릭
vivace	활기찬
pugilato	복싱
valide	유효합니다
valide	유효
valide	유효한
spettatore	시청자
spettatore	뷰어
evidenziato	하이라이트
sedere	엉덩이
ripetizione	반복
ripetizione	반복한다
ripetizione	반복합니다
ripetizione	반복
pronti	준비
hitchcock	히치콕
schemi	패턴
schemi	레이아웃
schemi	스킴
target	타깃
target	대상
target	타겟
avanzate	고급
parto	출산
parto	출생
parto	탄생
parto	출산
arteria	동맥
erezione	발기
includere	포함
terminal	터미널
asilo	망명
asilo	어사일럼
semplicità	단순
rendimento	수익
heat	더위
heat	히트
leghe	합금
leghe	리그
leghe	합금
detenuto	포로
milton	밀튼
milton	밀턴
furia	퓨리
schiavo	노예
schiavo	노예제
thriller	thriller
thriller	스릴러
pastori	양치기
retto	직장
crystal	크리스털
crystal	크리스탈
fantasmi	귀신
fantasmi	유령
fantasmi	고스트
fantasmi	귀신
rivoluzionari	혁명
gate	대문
gate	게이트
ambasciata	대사관
range	범위
pollici	엄지손가락
pollici	엄지
pollici	인치
newman	뉴먼
elettronici	전자
elettronici	일렉트로닉
portland	포틀랜드
shock	충격
shock	쇼크
agnese	아그네스
samurai	사무라이
eterna	영원
eterna	영원한
woody	우디
casey	케이시
sostituto	교체
ubicazione	위치
cuori	하트
wave	파도
wave	웨이브
wave	물결
wave	파동
finanziamento	금융
finanziamento	자금
segmenti	세그먼트
segmenti	세그먼트
leggo	읽음
leggo	읽어보기
leggo	읽기
leggo	읽는다
leggo	읽고
assorbimento	흡수
facce	얼굴
facce	얼굴들
artico	북극
limited	한정
limited	제한된
orfana	고아
orfana	고립
joachim	요아킴
progressive	진보주의
progressive	프로그레시브
aeroporti	공항
lionel	라이오넬
lionel	리오넬
pescatori	어부
pescatori	어부
accademica	학문
accademica	학업
accademica	학술
solitudine	외로움
solitudine	외로워
solitudine	외로운
solitudine	외로움
sperimentali	실험
adorazione	예배
adorazione	예배
adorazione	숭배
adorazione	경배
cry	울음
voice	목소리
voice	음성
arsenal	아스널
arsenal	아스날
arsenal	arsenal
sanitario	위생
oracolo	오라클
decadenza	붕괴
attrezzature	장비
scarpe	신발
scarpe	구두
scarpe	신발
festeggiamenti	축하
mickey	미키
homer	호머
minime	최소
thor	토르
promo	프로모션
ulisse	율리시스
calais	칼레
canyon	협곡
canyon	캐니언
intermedio	중간
palestra	헬스
palestra	체육관
palestra	김나지움
palestra	체육관
olivia	olivia
olivia	올리비아
assenti	결석
biologo	생물학자
tagliare	잘라
egidio	자일스
melissa	멜리사
allenato	훈련
sottomissione	제출
terrorismo	테러리즘
terrorismo	테러
amelia	아멜리아
cincinnati	신시내티
rilevare	탐지
rilevare	감지
emerson	에머슨
rappresentativa	대표자
rappresentativa	대표
something	무엇인가
something	something
something	뭔가
something	무언가
estinto	사멸
estinto	멸종
nube	클라우드
nube	구름
associate	연관
churchill	처칠
danneggiata	손상
danneggiata	손상된
branca	지점
branca	분기
nastri	테이프
svizzeri	스위스
realismo	현실주의
beth	베스
pericolosi	위험한
pericolosi	위험하다
pericolosi	위험
acquisire	습득
acquisire	확보
acquisire	획득
angola	앙골라
angola	앙골라
freni	브레이크
freni	브레이크
accessori	악세사리
accessori	액세서리
accessori	악세사리
accessori	액세서리
clinton	클린턴
differenziale	미분
troll	트롤
ontario	온타리오
canadian	캐나디안
canadian	캐나다인
scozzesi	스코트어
scozzesi	스코틀랜드
scozzesi	스코틀랜드인
scozzesi	스코틀랜드
scozzesi	스코틀랜드인
urbane	도시
convertito	변환
convertito	전환
biglietto	티켓
biglietto	항공권
abbondanza	풍성한
rapimento	납치
rapimento	납치
rapimento	납치
brevetto	특허
squadrone	분대
squadrone	스쿼드
tours	투르
tours	투어
breda	브레다
fury	퓨리
palcoscenico	스테이지
palcoscenico	무대
tabelle	테이블
dale	데일
officina	워크샵
officina	워크숍
cosmo	코스모
cosmo	코스모스
sposi	결혼
mazza	bat
mazza	박쥐
spike	스파이크
asteroidi	소행성
asteroidi	소행성
ego	ego
ego	자아
theodore	시어도어
globo	글로브
key	키키
eppure	아직
clay	클레이
milizia	민병대
fiba	fiba
impronta	발자국
invasioni	침공
invasioni	침략
invasioni	침공
fondamentalmente	기본적으로
fondamentalmente	근본적으로
fondamentalmente	근본적
omosessuali	동성애자
nuvole	구름
nuvole	클라우드
nuvole	구름
etichette	레이블
etichette	라벨
etichette	레이블
etichette	라벨
etichette	태그
drop	방울
drop	drop
drop	떨어뜨리기
drop	드롭
ispirati	영감
previsione	예측
nettuno	해왕성
nettuno	넵튠
tregua	휴전
storiografia	역사학
camion	트럭
camion	트럭
camion	트럭
airways	항공
telecomunicazioni	텔레콤
telecomunicazioni	통신
telecomunicazioni	통신
telecomunicazioni	통신
espulsione	퇴장
espulsione	꺼내기
curatore	큐레이터
quaderni	공책
quaderni	노트북
norimberga	뉘른베르크
primitivo	프라이멀
primitivo	원시
spiagge	바닷가
spiagge	해변
spiagge	비치
spiagge	바닷가
spiagge	해변
salomone	솔로몬
independent	독립
independent	독립적
client	클라이언트
glory	영광
glory	글로리
algebra	대수
algebra	대수학
lena	리나
avvocati	변호사
avvocati	변호사
penny	페니
tranquillo	조용히
tranquillo	조용한
siluri	어뢰
siluri	어뢰
segnala	신고
segnala	보고서
segnala	보고
trail	흔적
trail	트레일
andrews	앤드루스
scherzo	농담
scherzo	농담
scherzo	농담
scherzo	장난
arrestati	체포
galaxy	은하
galaxy	갤럭시
blair	블레어
blair	blair
pellegrinaggio	순례
pellegrinaggio	순례지
borgia	보르자
immigrazione	이민
immigrazione	이민호
pepe	후추
pepe	고추
pepe	페퍼
ripetere	반복한다
ripetere	반복합니다
ripetere	반복
piazze	제곱수
coma	혼수
ballata	발라드
cornelio	코르넬리우스
cornelio	코넬리우스
berry	베리베리
berry	베리
bellissima	아름다운
bellissima	아름다워
bellissima	아름답다
bellissima	화려하다
bellissima	이쁜
bellissima	화려한
clarinetto	클라리넷
fili	와이어
fili	철사
fili	와이어
dittatore	독재자
african	아프리카
shane	셰인
eden	이든
eden	에덴
jensen	jensen
romance	연애
romance	로맨스
kirk	커크
riflessi	반사
ammette	인정
ammette	인정
fogli	시트
fogli	시트
aumentando	증가
kerry	케리
running	달리기
running	런닝
weekend	주말
weekend	주말
weekend	주말에
fornitura	공급
sandbox	샌드박스
capsula	캡슐
violenti	폭력적인
violenti	폭력적
diamanti	다이아몬드
diamanti	다이아몬드
diamanti	diamonds
pagato	유료
obbligatorio	필요함
obbligatorio	필수
obbligatorio	필수
elliott	엘리엇
pitture	페인트
innovazioni	혁신
innovazioni	혁신
carenza	부족
carenza	부족
plasma	플라스마
plasma	플라즈마
trombone	트롬본
undicesimo	열한번째
itinerario	노선
itinerario	경로
inclinazione	틸트
inclinazione	기울기
inclinazione	기울여
andersen	안데르센
alexis	알렉시스
alexis	알렉세이
fegato	간간
fegato	간디
annullato	취소됨
annullato	취소
annullato	취소됨
canonica	표준
difetto	결함
difetto	결함
felici	해피
felici	행복
felici	행복해
felici	행복하다
felici	행복한
ironia	아이러니
felipe	펠리페
lacrime	눈물이
lacrime	눈물
resurrezione	부활
hammond	하몬드
hammond	해먼드
sailor	세일러
psi	psi
equatore	적도
rapina	강도
marconi	마르코니
nadia	나디아
attentati	공격
triplo	트리플
triplo	삼중
siberia	시베리아
quantistica	양자
falsi	거짓
falsi	가짜
falsi	허위
falsi	가짜
giulietta	줄리엣
mela	사과
mela	애플
malati	아파
malati	아픈
malati	아프다
ardenne	아르덴
falls	폭포
allarme	알람
allarme	경보
allarme	알림
allarme	경고
contadino	농민
contadino	농부
giudizi	판단
gerarchia	계층
riflessioni	반사
riflessioni	반영
riflessioni	반사
pale	창백한
decollo	이륙
conservatori	보수주의
conservatori	보수당
conservatori	보수주의
conservatori	보수
barre	바레
rotterdam	로테르담
gabinetto	변기
gabinetto	화장실
gabinetto	내각
alimenti	음식
alimenti	식품
predatori	프레데터
brett	브렛
ida	ida
april	에이프릴
april	사월
didattica	교육
didattica	교사
didattica	가르침
circostanza	상황
mega	메가
futsal	풋살
solida	단색
solida	고체
solida	입체
solida	솔리드
sfide	도전
sfide	챌린지
commissioni	위원회
ripetuti	반복
retorica	수사학
riley	라일리
zara	자라
spp	spp
trade	무역
trade	트레이드
milanesi	밀라노
rotonda	회전교차로
ladri	도둑들
ladri	도둑놈
ladri	도둑
maggie	매기
attualità	뉴스
attualità	소식
mongolia	몽골어
mongolia	몽골
mongolia	몽골
connecticut	코네티컷
illegale	불법
pay	지불
pay	결제
