terrestri	terrestre
diamond	diamant
mappe	correspondències
mappe	maps
mappe	mapes
soccer	soccer
chang	chang
miniera	mina
umanista	humanista
battute	acudits
determina	determina
determina	determinar
determina	determinen
determina	determini
onorario	honorari
trovate	troba
trovate	trobi
trovate	trobeu
selezionato	seleccionat
selezionato	seleccionats
nido	niu
pubblicamente	públicament
ordinaria	ordinari
ordinaria	ordinària
belli	belli
bundesliga	bundesliga
riso	arròs
player	reproductor
player	jugador
volpe	fox
volpe	guineu
poker	poker
poker	pòquer
oscura	obscur
mortale	mortal
mortale	mortal
opzione	opció
strana	estranya
strana	strange
strana	estrany
interviste	entrevistes
celebrare	celebrar
giovinezza	juvenil
giovinezza	jovent
giovinezza	joventut
guitar	guitarra
vinti	guanyat
some	alguns
some	algunes
sommergibile	submarí
sommergibile	submergible
cantoni	cantons
denver	denver
costruttore	constructor
costruttore	fabricant
pci	pci
württemberg	württemberg
baptiste	baptiste
vicente	vicente
preparare	prepari
preparare	preparar
preparare	prepareu
intel	intel
elettrici	elèctrics
cicero	ciceró
batte	batecs
batte	batega
bonifacio	bonifaci
loira	loira
loira	loire
madison	madison
lupi	llops
lupi	llop
lupi	wolf
abuso	maltractament
abuso	abús
moretti	moretti
spiriti	esperits
sosta	baixador
gesuita	jesuïta
linguista	lingüista
lang	lang
restaurato	repassat
restaurato	restaurada
restaurato	restaurat
tunisia	tunísia
sconfiggendo	vèncer
joey	joey
sophie	sophie
povero	pobre
povero	pobres
turistico	turista
rivelazione	revelació
impegnata	ocupat
meyer	meyer
sottili	fina
spia	espia
becco	bec
combustibile	combustible
viso	facial
viso	cara
viso	face
fischer	fischer
schiena	esquena
fiamma	flama
risparmio	estalvis
risparmio	desant
risparmio	estalvi
brooks	brooks
dorothy	dorothy
facebook	facebook
byron	byron
gómez	gomez
gómez	gómez
gómez	gómez
dotazione	dotació
annie	annie
fianchi	hip
fianchi	maluc
bull	bull
finanza	finances
pressioni	pressió
pressioni	pressions
deboli	dèbil
deboli	feble
metalli	metall
metalli	metal
metalli	metalls
mit	mit
mit	mlt
chirurgia	cirurgia
chirurgia	quirúrgic
diminuzione	disminuït
diminuzione	disminució
conferenze	conferències
andrés	andrés
seguiti	seguí
seguiti	seguit
loc	loc
vulcano	volcà
vulcano	vulcan
sonoro	so
dialoghi	diàleg
dialoghi	diàlegs
radiale	radial
concludere	conclouen
concludere	concloure
schmidt	schmidt
ice	gel
molecolare	molecular
sepoltura	enterrament
cohen	cohen
tumore	tumor
tumore	càncer
cliente	client
biografico	biogràfic
rovina	ruïna
brevemente	breument
break	break
break	descans
scade	caduca
scade	caduquen
scade	expira
harvard	harvard
incoronazione	coronació
mantello	cape
mantello	mantell
angoli	cantonades
angoli	racons
angoli	angles
edge	vora
edge	edge
duchi	ducs
duchi	duke
duchi	duc
sospetti	sospitós
sospetti	sospitosos
sospetti	sospita
sospetti	sospites
sanità	sanitat
sanità	salut
contribuisce	contribueix
contribuisce	contribueixen
contribuisce	contribuir
tributo	homenatge
approfondimento	aprofundiment
imposta	estableix
imposta	conjunt
imposta	impost
zhang	zhang
estone	estonià
split	divideix
split	split
control	control
miti	mites
tigre	tiger
tigre	tigre
portico	porxada
portico	porxo
portico	pòrtic
spiegazioni	explicació
spiegazioni	explicacions
hudson	hudson
subsp	subsp
bordeaux	bordeus
biblioteche	biblioteques
biblioteche	biblioteca
amiche	amics
amiche	amistats
corolla	corolla
tales	tales
tales	contes
emiliano	emiliano
piazzale	piazzale
mercurio	mercuri
mercurio	mercury
martirio	martiri
piattaforme	plataformes
piattaforme	plataforma
fascio	feix
fascio	embalum
consisteva	constava
montenegro	montenegro
aiuti	ajuts
vasco	vasco
damiano	damien
damiano	damià
damiano	damian
damiano	damiano
remake	remake
disturbo	trastorn
burton	burton
birmingham	birmingham
fleming	fleming
determinazione	determinació
cfr	cfr
berlina	sedan
cold	fred
creek	creek
emerge	emergir
emerge	emergeix
suprema	suprem
suprema	suprema
marchesi	marchesi
metallica	metallica
tradotta	traduït
ruth	ruth
dee	dee
scartamento	gàlib
amministrazioni	administracions
tip	punta
tip	propina
kane	kane
occasionalmente	ocasional
occasionalmente	ocasionalment
orléans	orleans
orléans	orleans
complessità	complexitat
complessità	complexes
complessità	complex
cliff	cliff
adventure	aventura
cum	cum
rifiutato	rebutjat
rifiutato	rebutjat
rifiutato	disminuït
chirurgo	cirurgià
celebrazione	celebració
voluta	volia
voluta	volien
resistere	resistir
ecuador	equador
ecuador	ecuador
sainte	sainte
fiandre	flandes
circondata	rodejats
circondata	envoltades
circondata	rodejat
viceré	virrei
koch	koch
cox	cox
repubblicana	republicà
numerazione	numeració
viterbo	viterbo
montevideo	montevideo
soddisfare	satisfer
cantieri	iardes
paulo	paulo
segmento	segment
teodoro	theodore
teodoro	teodor
chiusi	tancat
ginocchio	genoll
sullivan	sullivan
consultato	consultats
consultato	consultat
wind	vent
jackie	jackie
turisti	turistes
mancini	mancini
duetto	duet
duetto	duets
lara	lara
early	primerenc
ellis	ellis
conquistata	conquerit
consorte	cònjuge
consorte	consort
chiavi	claus
chiavi	tecles
chiavi	tecla
chiavi	clau
difensiva	defensiva
difensiva	defensiu
celle	celle
parente	relatiu
magnetico	magnètic
vivi	viure
vivi	live
contribuendo	contribuint
contribuendo	contribuir
vandalismo	vandalisme
nativo	nadiu
nativo	natiu
punizione	càstig
punizione	detenció
martello	martell
rangers	rangers
kingdom	regne
atomi	àtom
atomi	àtoms
spa	spa
templi	temples
avvisi	alertes
avvisi	avisos
muoversi	mou
pittsburgh	pittsburgh
ein	ein
caserma	caserna
caserma	barracons
elicottero	helicòpter
escluso	excloent
escluso	exclosos
escluso	exclòs
geografico	geogràfic
affluente	afluent
offerte	ofertes
offerte	ofereix
rain	pluja
montgomery	montbui
montgomery	montgomery
trailer	remolc
trailer	tràiler
marcelo	marcelo
accento	accent
cbs	cbs
helsinki	hèlsinki
helsinki	helsinki
mother	mare
caserta	caserta
progettista	dissenyador
lecco	lecco
mista	mixta
mista	mixt
mista	mesclat
brandon	brandon
medina	medina
islanda	islàndia
compositori	compositors
donazione	donació
sentieri	camins
sentieri	senders
podestà	podestat
periodico	periòdica
alleate	alió
dose	dosi
restaurata	restaurada
restaurata	restaurat
sequenze	seqüències
orto	orto
hardcore	hardcore
helena	helena
pinacoteca	pinacoteca
gil	gil
ladro	lladre
streghe	seduït
streghe	bruixa
streghe	bruixes
alias	àlies
alias	àlies
alias	àlies
equazioni	equació
equazioni	equacions
decisiva	decisiu
percy	percy
electric	elèctric
electric	electric
falsa	fals
falsa	false
falsa	falses
falsa	fals
falsa	fake
sottolineare	subratllat
sottolineare	subratlla
superficiale	superficial
kill	kill
kill	mata
papà	papi
complimenti	enhorabona
complimenti	complerts
complimenti	enhorabona
faenza	faenza
fazione	facció
sovranità	sobirania
nucleari	nuclear
presunta	presumpta
presunta	presumeix
sergej	serguei
bottiglia	ampolla
eliminati	esborrat
eliminati	eliminat
muscolare	múscul
preferisce	prefereix
senior	sènior
genesi	gènesi
genesi	genesis
log	bitàcola
pereira	pereira
seduta	assegut
altari	altars
pellegrino	pelegrí
pellegrino	pellegrino
discendenza	nissaga
hero	heroi
frammento	fragment
frammento	retall
assistito	assistits
assistito	assistida
assistito	assistit
combattenti	combatents
combattenti	lluitadors
alieni	alien
alieni	aliens
alieni	estrangeria
vini	vi
vini	vins
difficilmente	difícilment
difensivo	defensiva
difensivo	defensiu
vinile	vinil
avenue	avinguda
incursioni	raids
jenny	jenny
minoranze	minoria
minoranze	minories
definite	definides
definite	definit
definite	definits
distacco	destacament
distacco	despreniment
mancata	enyorat
prefisso	prefix
cometa	cometa
aquitania	aquitània
comunicato	comunicada
kit	kit
vampiri	vampirs
vampiri	vampir
dichiarazioni	declaracions
accessibile	accessible
colombiano	colombiana
ragusa	ragusa
separato	separat
separato	separats
sparare	disparar
correggere	corregeix
correggere	corregir
correggere	correctes
rispettive	respectives
rispettive	respectius
rispettive	respectiva
rispettive	respectiu
imminente	imminent
imminente	pròximes
imminente	propers
imminente	properes
esclusione	exclusió
duke	duke
duke	duc
virtuale	virtuals
virtuale	virtual
midi	midi
danilo	danilo
generato	generada
generato	generades
generato	generat
capua	càpua
funzionari	funcionaris
fighter	lluitador
wonder	pregunto
wonder	meravella
wade	wade
gravidanza	embaràs
variare	varien
mercante	mercader
negativi	negatiu
negativi	negatius
battere	beat
battere	batecs
grassetto	negreta
algoritmo	algorisme
algoritmo	algoritme
riscatto	redempció
calda	warm
calda	càlid
brien	brien
marion	marion
ferreira	ferreira
consulente	assessor
consulente	consultor
edmund	edmund
fitzgerald	fitzgerald
abu	abu
holland	holanda
holland	holland
tastierista	teclista
versailles	versalles
osserva	observar
cicerone	ciceró
slovacco	eslovac
malato	malalts
malato	malalt
pagani	pagan
pagani	pagans
registra	rècord
sandy	sandy
libano	libanesos
libano	líban
isolamento	aïllant
isolamento	aïllament
consegnato	entregat
consegnato	lliurat
jana	jana
schieramento	desplegament
sostituiti	substituït
martedì	dimarts
harper	harper
galeazzo	galeàs
campane	campanes
chieti	chieti
heinz	heinz
automobili	cars
automobili	cotxes
automobili	automòbils
elettroni	electró
elettroni	electrons
compromesso	avinença
compromesso	compromés
compromesso	compromesa
march	març
march	march
lynn	lynn
césar	césar
fisicamente	físicament
interrotto	interromput
interrotto	interromput
lunare	lunar
ufc	ufc
ufc	cfu
hearts	hearts
hearts	cors
animo	animo
dichiarata	declarat
dichiarata	declarada
squadriglia	esquadró
pozzi	pous
discorsi	discursos
dipendenza	dependència
dipendenza	addiccions
dipendenza	addicció
bolivia	bolivià
bolivia	bolívia
insegnare	ensenyament
insegnare	docència
stretti	estrets
levante	llevant
levante	levante
mezzanotte	midnight
mezzanotte	mitjanit
centenario	centenari
yang	yang
risiede	resideix
pia	pia
salvataggio	desant
salvataggio	estalvi
salvataggio	rescat
salvataggio	salvament
raggruppamento	agrupació
raggruppamento	agrupament
distinto	diferenciades
distinto	distingit
rieti	rieti
osso	os
chen	chen
pippo	goofy
etnia	etnicitat
bristol	bristol
rich	ric
rich	rich
rich	rics
rappresentate	representada
rappresentate	representats
rappresentate	representades
rappresentate	representat
anatomia	anatomia
compressione	compressió
stampato	imprès
conan	conan
beverly	beverly
trecento	trecento
accompagna	acompanya
stabilimenti	fàbriques
stabilimenti	establiments
sposta	mou
armonia	harmony
armonia	harmonia
decorata	decorats
decorata	decorat
edison	edison
esposte	exposat
esposte	exposats
viareggio	viareggio
ripetutamente	repetidament
patty	patty
ain	ain
devozione	devoció
pronta	preparats
pronta	preparat
pronta	preparades
meeting	sessió
meeting	reunió
meeting	trobada
parlata	parlat
bestia	bèstia
tattica	tàctiques
tattica	tàctica
tattica	tàctic
gioacchino	joachim
ibge	ibge
maine	maine
fermato	aturat
spam	brossa
possedere	posseir
circle	circumferència
circle	cercle
draghi	dracs
draghi	dragons
circuiti	circuits
circuiti	circuit
eye	ull
contratti	contractes
coupé	coupé
landkreis	landkreis
buffalo	buffalo
pam	pam
suddivisi	dividits
suddivisi	dividit
sasso	sasso
sasso	roca
sasso	rock
lituania	lituània
facilità	facilitat
facilità	fàcil
datazione	datació
furto	robatori
furto	robatori
furto	furt
furto	robar
furto	robant
coordinamento	coordinació
mediterranea	mediterrània
mediterranea	mediterrani
cabina	taxi
cabina	cabina
cabina	cabana
bennett	bennett
pensieri	pensaments
circo	circ
