цинка	جست
несчастный	واہیات
несчастный	مہمل
несчастный	ناگوار
несчастный	ناشاد.
несчастный	منحوس
радикальные	بڑھیا
радикальные	اساس
радикальные	اساسی-
радикальные	جڑ
радикальные	عمیق
алмазов	لوز
алмазов	ہیرا
алмазов	لوز
алмазов	ہیرا
алмазов	الماس
незначительное	کمزور
незначительное	نحیف.
незначительное	بودا
незначительное	خردسال
свежий	باسی
свежий	خالص
свежий	ستھرا
свежий	مستعد
храбрый	للکارنا
храбрый	جری
храбрый	بہادر
храбрый	للکارنا
молочный	شیر
молочный	دودھ
молочный	شیر
молочный	دودھ
молочный	لبن
контингент	سپاہیوں
контингент	ناگہانی
контингент	مربوط
контингент	منسلک.
контингент	اچانک.
контингент	اتفاقی.
рекомендуют	(بعدہ
доярка	گوالن.
делайте	did
делайте	تحویل
делайте	مناسب
делайте	دیکھنا
делайте	can
делайте	may
делайте	واقعہ
делайте	بچارنا
делайте	ought
делайте	فریب.
делайте	پکانا
делайте	تبدیل
делайте	بخشنا
делайте	دھوکا
делайте	ماضی
делайте	مشغول
делайте	سنوارنا
делайте	shall
делайте	کارروائی.
делайте	ماضیہ
делайте	did
делайте	تحویل
делайте	مناسب
делайте	دیکھنا
делайте	can
делайте	may
делайте	واقعہ
делайте	بچارنا
делайте	ought
делайте	فریب.
делайте	پکانا
делайте	تبدیل
делайте	بخشنا
делайте	کرنا
делайте	دھوکا
делайте	ماضی
делайте	مشغول
делайте	سنوارنا
делайте	shall
делайте	کارروائی.
делайте	ماضیہ
торговец	تاجر
торговец	تاجر
торговец	تجارتی
торговец	کاروباری.
рекомендовать	کیفیت
рекомендовать	منصوبہ
рекомендовать	(بعدہ
ясности	صاف
подальше	الگ
подальше	متواتر
подальше	مسلسل
подальше	التزاماً
подальше	دور
романтическая	غیرحقیقی
романтическая	تخیئلی
романтическая	رومانی
шея	آبنائے
шея	درّہ
шея	گستاخی
шея	چیرنی
повезло	چست
повезло	مناسب
повезло	درست
повезло	سعد
повезло	موافق.
повезло	بھاگوان
повезло	چست
повезло	مناسب
повезло	درست
повезло	سعد
повезло	موافق.
кандидатура	(برط)
рычаг	بیرم.
рычаг	out
рычаг	جرثقیل.
редкая	خوشگوار-
редкая	طُرفہ.
редкая	لطیف
редкая	غیرمعمولی
редкая	خوشگوار-
редкая	طُرفہ.
редкая	نایاب
редкая	لطیف
редкая	غیرمعمولی
скромный	شائستہ
скромный	معتدل
скромный	جھینپو
скромный	مہذب.
скромный	شائستہ
скромный	معتدل
скромный	شرمیلا
скромный	جھینپو
скромный	مہذب.
скромный	فروتنی
скромный	رتبہ
скромный	معمولی
скромный	وقعت
скромный	گرانا
скромный	حقیر
скромный	کِہین
скромный	عاجزی
скромный	تحقیر
задержать	سمجھنا
задержать	پکڑنا
задержать	کھوکھا
задержать	جامد
задержать	روکنے
задержать	موقوف
благоприятные	موزوں
благоприятные	منظوری
благоприятные	موافق
благоприятные	مثبت
благоприятные	مبارک
благоприятные	متفق
благоприятные	اقراری
соперничество	ہمسری
соперничество	ٹکّر.
частичное	متعصب
частичное	جزوی.
частичное	نامکمل
частичное	جانبدار
частичное	دلدادہ.
дорогая	حیرت
дорогая	خوف
дорогая	پیارا
дорогая	حیرت
дорогая	خوف
дорогая	دلبر.
дорогая	انگبینی.
дорогая	عسّل.
дорогая	شہد
дорогая	دلبر.
дорогая	انگبینی.
дорогая	عسّل.
дорогая	دلدار.
дорогая	محبوب
дорогая	دلارا
дорогая	پسندیدہ
дорогая	چہیتا
дорогая	حسین
дорогая	دلکش.
дорогая	مرغوب.
дорогая	خوبصورت
дорогая	دلدار.
дорогая	محبوب
дорогая	دلارا
дорогая	پسندیدہ
дорогая	چہیتا
дорогая	حسین
дорогая	دلکش.
дорогая	پیارا
дорогая	مرغوب.
дорогая	خوبصورت
вечное	غیرمبدّل
вечное	مسلسل
мелодию	آہنگ
мелодию	سُر
интервенции	ثالثی.
интервенции	مداخلت.
морфология	صرفیات
морфология	شکلیات.
морфология	صرفیات
морфология	شکلیات.
морфология	شکلیات
тактических	(اسلحہ
скептически	لاادری.
довод	بحث.
подиум	چبوترہ
корт	پرچانا
корт	(داد
шестеро	vi)
шестеро	vi
шестеро	vi)
шестеро	چھکّا
шестеро	vi
извлечь	اکھاڑنا
извлечь	جوہر
извлечь	ملخص
извлечь	(رقم
извлечь	اقتباس.
извлечь	لطف
извлечь	نقل
извлечь	اکھاڑنا
извлечь	جوہر
извлечь	ملخص
извлечь	(رقم
извлечь	ست
извлечь	اقتباس.
извлечь	لطف
извлечь	نقل
генетических	ابتدا
конфигурация	نفسیات
производная	مشتق
производная	ماخوذ
фильтрации	تقطیر
фильтрации	پالائش
фильтрации	تقطیر
идентичны	بعینہٖ
стабильной	اصطبل.
стабильной	چوٹ
стабильной	مستحکم
стабильной	استوار
стабильной	پکاّ
стабильной	فہمیدہ.
стабильной	مضبوط
ежемесячный	حیض.
ежемесячный	حیض.
ежемесячный	ماہوار
трубку	نلکی
трубку	نلکی
трубку	نالی
монитор	منذر.
монитор	مخدّر
верующие	صحیح
верующие	درست
верующие	استوار
вкратце	مختصراً
прощай	رخصت
прощай	الوداع.
прощай	رخصت
прощай	الوداع
поперечной	آرپار
поперечной	قاطع
видное	اُبھرواں
видное	اہم
видное	امتیازی.
видное	نمایاں
покровительство	امداد
покровительство	امداد
покровительство	سرپرستی
мочи	بول
мочи	قارورہ.
мочи	بول
мочи	قارورہ.
мочи	شاش
мочи	پیشاب
разведения	تولید
разведения	چلن
разведения	(حیوانات
разведения	رویہ
демократическое	جمہوری
глобальные	عالمگیر
клад	دفینہ.
ходатайство	حرکت
преданность	وفاداری
перпендикулярно	استادہ
перпендикулярно	کھڑا.
перпендикулярно	سُتواں
перпендикулярно	استادہ
перпендикулярно	کھڑا.
перпендикулярно	کھڑا
перпендикулярно	عمود
перпендикулярно	سُتواں
аранжировщик	منتظم
аранжировщик	مرتّب
генетические	ابتدا
бросили	انداز
бросили	نظر
бросили	وضع
бросили	آمیزش.
бросили	سایہ
бросили	(قبلinto
бросили	روشنی
бросили	(حساب
бросили	جال
бросили	قسم
бросили	ترچھاپن.
бросили	تہمت
бросили	نکالنا
бросили	شکل
здорового	ہمدردانہ.
здорового	مددگار
клапан	صمامہ
записка	پیغام
записка	پرزہ.
записка	نوعیت
записка	رقعہ
записка	مشاہدہ
записка	لہجہ
ведущее	خاص.
ведущее	رہنمائی
ведущее	ہدایت
ведущее	نمایاں
бык	بدھیا
охранник	خبرداری.
охранник	نگرانی
охранник	چوکسی
охранник	محافظ
охранник	گارڈ.
охранник	ہوشیاری
охранник	نگہبانی
охранник	پتّے
человеческая	بَشری
человеческая	انسان.
человеческая	آدمی
суффикс	-ing
суффикс	-fy
хранилища	برتن.
хранилища	ظرف
хранилища	برتن.
хранилища	مخزن
хранилища	ظرف
коммерции	کاروبار
коммерции	مباشرت.
коммерции	مجامعت
ограбление	لُوٹنا.
ограбление	ڈاکا.
вульф	گرگ
коля	اَنجن
коля	کحل
достаточный	کافی
святое	مقدس
святое	متبرک
святое	باحرمت
уникальность	ندرت
уникальность	یکتائی
гибрид	پیوندی.
гибрид	انمل
гибрид	دونسلا.
гибрид	داغول
гибрид	پیوندی.
гибрид	انمل
гибрид	دونسلا.
гибрид	داغول
гибрид	دوغلا
регистра	اموات
регистра	فرد
регистра	رفتار
регистра	فہرست
регистра	انطباق.
регистра	سجل
регистра	اموات
регистра	فرد
регистра	رفتار
регистра	دفتر
регистра	فہرست
регистра	انطباق.
регистра	سجل
обязательство	تمسک.
обязательство	اصول
обязательство	قانون
обязательство	تمسک.
обязательство	فرض
обязательство	اصول
обязательство	قانون
обязательство	عہد
обязательство	اقرار.
прокомментировать	توضیح
прокомментировать	تصویر
прокомментировать	مثال
дискриминация	تفریق
дискриминация	شناخت
дискриминация	تمیز
ездить	by
ездить	in
ездить	چھیڑنا.
ездить	on
ездить	(بعدہ
ездить	میلے
ездить	بیٹھنا
бытие	کائنات.
бытие	موجودات
бытие	طور
бытие	ہستی.
бытие	پیدا
бытие	وجود
бытие	بننے
бытие	پیدائش
бытие	بننے
бытие	پیدائش
бытие	تکوین
хищных	ظالم
благосостояния	بہبود
страдают	بھگتنا
страдают	(بعدہ
страдают	تبدیلی
страдают	تکلیف
страдают	رنج
диктатора	زبردست
мелкая	محدود
мелкая	اوچھا
мелкая	معمولی.
мелкая	گھٹیا
мелкая	خورد
мелкая	کمتر
мелкая	کوچک
мелкая	کمینہ
мелкая	چھوٹا
мелкая	محدود
мелкая	ادنیٰ
мелкая	اوچھا
мелкая	معمولی.
мелкая	گھٹیا
мелкая	خورد
мелкая	کمتر
мелкая	کوچک
мелкая	کمینہ
слышу	ماننا
слышу	سُنایا
ковчег	پیٹی.
ковчег	صندوق
инерции	سکون
инерции	کاہلی
инерции	جمود
масштабы	چاندنا.
масштабы	چھلکا.
масштабы	ورقہ
масштабы	پر
масштабы	ترازو
масштабы	تلاراس.
масштабы	(کھال
масштабы	مانجھنا.
пробуждение	جاگتا-
пробуждение	بیدار
инженерии	انجینئری
действительность	معقولیت
датчик	محاس
жестокого	ایذارساں
жестокого	(‎crueler
застрелен	توپ
застрелен	ہموار.
такер	خوراک.
такер	کھانا
законных	درست
законных	قانونی
законных	درست.
забастовка	پانا
забастовка	(بعدہ
забастовка	سوجھنا-
забастовка	ٹکرانا
раздражение	اشتعال
экономия	بچت
экономия	بجز
экономия	سوائے
экономия	کفایت
динамические	زوردار.
динамические	فعال
индикатор	نمائندہ
молчание	معلومات
молчание	خاموش
молчание	معلومات
молчание	رازداری
молчание	بھول.
молчание	نسیان
молчание	سنّاٹا.
молчание	رازداری
молчание	بھول.
молчание	خاموشی
молчание	نسیان
молчание	سنّاٹا.
семнадцать	17
семнадцать	xvii
семнадцать	xvii)
нация	قوم
неполной	نامکمل
неполной	ادھورا.
жертвоприношения	نیاز.
жертвоприношения	وارنا.
жертвоприношения	بلیدان
жертвоприношения	نیاز.
жертвоприношения	وارنا.
умеренной	درمیانہ.
умеренной	محترز
лягушка	غوک.
лягушка	پرتلا.
множественные	مخلوط
множественные	متنوع.
множественные	ملاجلا.
множественные	۱ضعاف
множественные	مضاعف
множественные	مرکب
чип	چھپٹی
чип	تڑقنے
чип	ٹکڑا
аммиака	ایمونیا
систематические	عادی
систематические	باقاعدہ
исламское	اسلامی
флэш	شوخ
флэш	جھپکی
флэш	نقلی
флэш	بہنا.
флэш	بھڑکیلا
флэш	یکسار
флэш	اُڑانا
флэш	چھلکتا
флэш	تازگی
флэш	توانائی
флэш	لبریز
флэш	فلاش.
живу	جینا
свиньи	بدنیت
свиньи	خنزیر
свиньи	بینڈا
свиньи	اڑیل
свиньи	جھمیلا.
свиньи	گندہ
свиньи	خوک
свиньи	ضدی
баш	دعوت
баш	تقریب
баш	کوشش
баш	داؤ
дозу	سزا
фехтование	احاطہ
фехтование	تلوارچلانا
фактическое	موجود
фактическое	اصلی
фактическое	حاضر
фактическое	موجود
фактическое	حقیقی
фактическое	اصلی
фактическое	حاضر
исключительной	(خبریہ
исключительной	مختص.
исключительной	امتیازی
исключительной	منتخب
исключительной	چیندہ.
исключительной	مخصوص
ландшафта	پھیلواں
бедра	ران.
розыск	تعاقب
шина	تھکانا.
шина	تھکنا
шина	تھکانا.
отключить	بندشہ
отключить	بندشہ
отключить	خاموش
спирали	چکّردار
спирали	مرغولہ
разъяснение	توضیح
разъяснение	تشریح.
разъяснение	جوابدہی.
разъяснение	وضاحت
разъяснение	توضیح
разъяснение	تشریح.
разъяснение	جوابدہی.
осуждение	مذمت
осуждение	ملامت
осуждение	ایمان
осуждение	عقیدہ
гребень	اون
гребень	کنگھی
гребень	شانہ
гребень	کنگھا
гребень	اون
гребень	کنگھی
избрать	ممتاز
избрать	چنیدہ
избрать	منتخب
глобальная	عالمگیر
лак	وارنش
лак	لکڑی
лак	پتھر
лак	دھات
благородный	عمدہ
благородный	عظیم
благородный	خوب
воспаление	تپک
воспаление	سوجن
неприязнь	تنفّر
слабости	نقص.
слабости	ضعف.
слабости	(بعدہ
слабости	ہوکا-
слабости	لاغری
слабости	نقص.
слабости	ضعف.
слабости	ناتوانی
слабости	(بعدہ
слабости	ہوکا-
карусель	چکر.
карусель	چکر.
карусель	چرخ
повесить	موقوف
повесить	گرنے
повесить	on
повесить	دروازے
повесить	ہبوط.
повесить	جھکانا
ужин	گھریلو
смелый	للکارنا
смелый	جری
смелый	بہادر
смелый	للکارنا
смелый	واضح
смелый	جلی
смелый	بہادر.
смелый	گستاخ.
смелый	نمایاں
бедный	معمولی
бедный	کچا
бедный	گھٹیا
бедный	مفلس
бедный	نادار
бедный	معمولی
бедный	کچا
бедный	گھٹیا
бедный	مفلس
бедный	غریب
молодежь	نوجوانی
молодежь	جوش
молодежь	لڑکپن
молодежь	توانائی
молодежь	عنفوان
украшение	تزئین.
украшение	آرائش
украшение	تزئین.
украшение	سجانا.
лёгкое	شش.
лёгкое	پھیپھڑا
пальцем	انگشت
пальцем	انگلی
квалифицированных	طاق.
удовольствия	تفریح
удовольствия	اطمینان
удовольствия	عشرت
удовольствия	عیش
удовольствия	مزیداری.
удовольствия	مدّعا
удовольствия	ارادہ
удовольствия	تفریح
удовольствия	اطمینان
удовольствия	عشرت
удовольствия	مرضی
удовольствия	عیش
удовольствия	مزیداری.
удовольствия	مدّعا
удовольствия	ارادہ
колонка	دھویں
колонка	ستون
колонка	تھم
колонка	دھویں
колонка	ستون
стаи	بھرتی
стаи	خصوصاً
стаи	(تھئیٹر
стаи	گلّہ
стаи	لپیٹنا.
стаи	بنڈل
стаи	مٹّھا
стаи	ٹکڑی
стаи	غول
стаи	ٹولا
стаи	گروہ.
стаи	پیکٹ
конверт	غلاف
конверт	لفافہ
конверт	پوشش
лечебных	مصلح
лечебных	نافع.
батэ	برہمی
батэ	طیش
ложное	موہوم
ложное	غیرقانونی
ложное	باطل
ложное	جعلی
ложное	ناجائز
ложное	غلط
ложное	نادرست
ложное	موہوم
ложное	غیرقانونی
ложное	باطل
ложное	نقلی
ложное	جعلی
ложное	ناجائز
директивы	ہدایتی
говорящие	گفتگو
говорящие	تقریر
говорящие	ناطق
муха	کتا.
муха	پرواز
муха	گھڑی
муха	سیانا
муха	ہشیار
муха	اڑنا
муха	لانگنا.
муха	مکھی
муха	طیران
муха	کتا.
муха	مگس
муха	پرواز
муха	گھڑی
муха	سیانا
муха	ہشیار
муха	اڑنا
муха	لانگنا.
муха	مکھی
муха	طیران
голая	تبصرے
голая	کھلا
голая	مبرّا.
голая	سادہ
голая	پتّیوں
голая	(چراغ
голая	آشکارا
голая	بالوں
голая	کھلا.
голая	عریاں.
голая	تبصرے
голая	کھلا
голая	مبرّا.
голая	سادہ
голая	پتّیوں
голая	ننگا
голая	عاری
голая	برہنہ
голая	(چراغ
голая	آشکارا
голая	بالوں
голая	کھلا.
голая	عریاں.
дублирование	دہرانے
дублирование	دہراون
дублирование	چھانا
примесей	کثافت.
примесей	ناصاف
примесей	ناصافی
примесей	ناپاک
примесей	غلیظ
примесей	آلودگی
примесей	کثافت.
примесей	ناصاف
примесей	ناصافی
примесей	ناپاک
примесей	غلیظ
ежедневная	مستقل
ежедневная	متواتر
ежедневная	باقاعدہ.
ежедневная	مسلسل.
провозглашение	اعلان
заключительный	اخیر
заключительный	حتمی
носом	شراب
носом	چونچ.
носом	بینی
носом	ناک
снос	انہدام
экологический	ماحولیاتی
гранит	ابرک
гранит	راسخ
гранит	پکّا
гранит	مضبوط
гранит	ارادہ
регулировать	اصول
преобладание	فوقیت
преобладание	غلبہ
преобладание	غلبہ
плащ	خاکناے.
плащ	خاکناے.
плащ	راس
плащ	چھپانا
плащ	غلاف
плащ	خول
плащ	ڈھانپنا
продление	بڑھانے
продление	اضافہ
продление	حدود.
продление	وسعت
продление	توسیع
продление	طوالت.
продление	پھیلاؤ
продление	پہنائی
первоначальные	ابتدائی.
овцы	میش.
овцы	بھیڑ
овцы	میش.
револьвер	ریوالور
украшают	سجانا
намёк	ایما
намёк	شائبہ
намёк	احتمال
черновик	ٹکڑی
любимое	پسندیدہ
налоговых	مکلف
налоговых	دباؤ.
налоговых	ٹیکس
налоговых	مکلف
налоговых	دباؤ.
налоговых	کر
налоговых	محصول
налоговых	ٹیکس
пожелание	تمنا
пожелание	(بعدہ
пожелание	on
мыслитель	مفکّر
бегун	وصولی
сова	چغد
сова	الّو
кооператив	کاروبار
галактике	ستاروں
галактике	گیسوں
галактике	سدیم
линк	to
линк	بندھنا
линк	واسطہ
линк	cuff-link
линк	ٹکڑا.
жестокие	ایذارساں
жестокие	(‎crueler
жестокие	ظالم
жестокие	درشت
жестокие	وحشی.
джиро	بینکوں
закат	بڑھاپا.
накопление	افزائش
накопление	اجماع
накопление	اضافہ
подписывайтесь	for
предотвращение	تدارک
воспоминание	حافظہ
воспоминание	نشانی.
воспоминание	حافظہ
воспоминание	یادگار
воспоминание	نشانی.
воспоминание	حافظہ
частичная	متعصب
частичная	جزوی.
частичная	نامکمل
частичная	جانبدار
частичная	دلدادہ.
ледникового	برفانی
верующим	ماننے
отдохнуть	ساکت
отдохнуть	تعطل
отдохнуть	کام
отдохнуть	on
отдохнуть	upon
отдохнуть	(بعدہ
отдохнуть	منحصر
отдохнуть	نیند
отдохнуть	محنت
посторонних	ذیلی
посторонних	ناجنس
посторонних	غیر.
приверженность	عہد
приверженность	اقرار.
хорош	مناسب
хорош	اچھا
хорош	مفید
хорош	موافق
хорош	معقول
хорош	خوبی
хорош	دلچسپ
хорош	باادب
хорош	اثاثہ
хорош	پُرکشش
хорош	کافی.
хорош	مدّعا
идентификация	پہچان.
идентификация	پہچان.
идентификация	شناخت
идентификация	پہچان
идентификация	مماثلہ.
холеры	ہیضہ
холеры	تخمہ
рекомендацию	سفارش
чума	بلا
чума	آفت.
чума	کوسنا
чума	بلا
чума	آفت.
чума	کوسنا
чума	وبال
всадник	فارِس.
феодальной	قدیم
феодальной	دقیانوسی
неспособность	معذوری
сетку	بجلی
сетку	جنگلہ
сетку	جالی.
сатира	طنزیہ
сатира	ہجو
сатира	طنزیہ
микробиологии	جراثیم
исламская	اسلامی
иди	جوش
иди	چست
иди	حوصلہ
иди	احوال
иди	کامیابی
иди	جذبہ
иди	باری
иди	on
иди	شعر
иди	روا
иди	وار
иди	داؤ
иди	گزرنا
иди	معاملہ
иди	چالو
иди	توانائی
иди	جائز
иди	کیفیت
иди	سرگرمی
спокойствие	سکون
спокойствие	شانتی
спокойствие	پُراعتماد
спокойствие	آسودہ
спокойствие	پُرسکون
спокойствие	سکون
спокойствие	شانتی.
спокойствие	خموشی
сырой	کچا
сырой	ناشائستہ
сырой	بونگا
сырой	بھّدا
сырой	اصلی
сырой	سرد
сырой	خالص
сырой	نفاست
сырой	کچّا
сырой	بھّدا
сырой	اصلی
сырой	سرد
сырой	خالص
сырой	نفاست
скандинавских	سویڈن
скандинавских	ناروے
универсальные	جامع
универсальные	جامع
универсальные	آفاقی
универсальные	عمیم
глубокую	جکڑا
глубокую	گھنّا
глубокую	قلبی
глубокую	چالاک
глубокую	اونچا
глубокую	شدید
глубокую	انتہائی
глубокую	صریح
глубокую	جوف.
глубокую	گھاٹی
глубокую	غار
глубокую	دلی
глубокую	دھیما
глубокую	گڑھا
глубокую	جکڑا
глубокую	گھنّا
глубокую	قلبی
глубокую	چالاک
глубокую	اونچا
глубокую	شدید
глубокую	انتہائی
глубокую	صریح
глубокую	جوف.
глубокую	گھاٹی
глубокую	غار
глубокую	گہرا
глубокую	دلی
глубокую	دھیما
глубокую	گڑھا
глубокую	مزمن
глубокую	مزمن
глубокую	عمیق
коррозии	گھسنے
коррозии	گھٹنے
коррозии	گھلنے
коррозии	جزو.
соседка	ملحق
соседка	پڑوسی
соседка	ملحق
соседка	ہمسایہ
майдан	میدان
скопировать	مثل
скопировать	مثنّیٰ
скопировать	نسخہ
скопировать	نقّالی
скопировать	چربہ
скопировать	نقل
скопировать	مثل
скопировать	مثنّیٰ
скопировать	نسخہ
скопировать	نقّالی
дюк	مکّا
социологических	عمرانیاتی
изображают	بتانا
изображают	تصویر
изображают	نقشہ
неправильный	انداز
неправильный	(وضع
неправильный	معیوب.
неправильный	انداز
неправильный	(وضع
неправильный	غلط
неправильный	معیوب.
неправильный	ناروا.
неправильный	نامناسب
неправильный	ظلم.
неправильный	خراب
неправильный	ناراست.
неправильный	زیادتی
неправильный	ناروا.
неправильный	غلط
неправильный	نامناسب
неправильный	نادرست
неправильный	ظلم.
неправильный	خراب
неправильный	ناراست.
неправильный	زیادتی
рокки	چٹانی
рокки	ڈگمگاتا
клоун	بدّھو
клоун	دیہاتی
клоун	گنوار.
компиляция	فراہم
компиляция	جدول
компиляция	مدون
компиляция	مجموعہ
компиляция	دفتر
компиляция	کتاب
компиляция	مجموعہ
компиляция	دفتر
компиляция	ترتیب
компиляция	کتاب
компиляция	تالیف
крайние	جابرانہ
крайние	انتہائی
крайние	ازحد
крайние	آخری
крайние	اختتامی.
крайние	سخت
найдите	خزانے
найдите	لانا
найдите	کان
предполагая	مغرور.
тори	خصوصاً
фэй	اپسرا.
фэй	پری
пересмотр	اعادہ
консультанта	مشیر
легкий	جانور
относительное	اضافی
относительное	(بعدہ
относительное	بمطابق
относительное	متعلقہ
относительное	اضافی
относительное	عزیز
относительное	(بعدہ
относительное	بمطابق
относительное	متعلقہ
богат	متمول.
богат	(رنگ
богат	قیمتی-
богат	in
богат	وافر
богат	دعویٰ
богат	دولتمند
богат	بھرپور-
богат	پھکّڑ.
богат	رئیسانہ
видимых	واضح
видимых	ظاہری
видимых	آشکار-
продовольствие	خوراک
продовольствие	آہار.
продовольствие	غذا
шествие	روانی.
шествие	جلوس
шествие	حرکت
препятствовать	پچھلا
препятствовать	عقبی
препятствовать	روکنا.
головка	کس
головка	مختار
головка	بڑا
головка	فرد
головка	صدر
головка	سیش.
головка	صلاحیت.
головка	اسم
головка	کلاں.
головка	مہا
головка	زندگانی.
головка	لیڈری.
головка	راس
головка	انتہا
головка	سربراہ
головка	کس
головка	مختار
головка	بڑا
головка	فرد
головка	صدر
головка	سیش.
головка	صلاحیت.
головка	اسم
головка	کلاں.
головка	مہا
головка	زندگانی.
головка	لیڈری.
головка	راس
головка	انتہا
бандит	ڈاکو
бандит	قزاق.
бандит	قزاق.
бандит	ٹھگ
иду	رائج
иду	مہیا
иду	دستیاب
иду	موجود
иду	رائج
иду	رواں
иду	مہیا
иду	دستیاب
иду	موجود
иду	رسیدگی.
иду	آمد
иду	پہنچ
иду	اگلا
иду	رسیدگی.
иду	آمد
иду	پہنچ
летучих	عبوری.
летучих	عارضی
летучих	اڑنہار
выдержка	اکھاڑنا
выдержка	جوہر
выдержка	ملخص
выдержка	(رقم
выдержка	اقتباس.
выдержка	لطف
выдержка	نقل
выдержка	اکھاڑنا
выдержка	جوہر
выдержка	ملخص
выдержка	(رقم
выдержка	ست
выдержка	اقتباس.
выдержка	لطف
выдержка	نقل
оправдать	درست
знаменитости	شہرت
знаменитости	دھوم.
саммит	قمّہ.
саммит	مذاکرات
кулак	لکھائی
кулак	مکّا.
кулак	مدد
кулак	مٹھی
сексуальная	جنسی
сексуальная	شہوانی.
порно	فحاشی
порно	فحش
порно	عریاں
порно	ہزلیہ.
уважать	نسبت.
уважать	تعلق
уважать	for
уважать	قدر.
уважать	نسبت.
уважать	تعلق
уважать	for
уважать	قدر.
уважать	تکریم
гала	جشن
гала	کھیلوں
гала	تہوار.
зуб	اثر
зуб	سن
зуб	دنداں
зуб	اثر
зуб	سن
зуб	دنداں
зуб	دانت
неизвестная	مجہول
шлюз	ڈیوڑھی.
шлюз	باب.
аномалии	شے
кайзер	قیصر
одинокий	مہجور
одинокий	سونی
одинокий	غمگین.
одинокий	مہجور
одинокий	اکیلا
одинокий	سونی
одинокий	غمگین.
дублировать	مثنیٰ
дублировать	مشابہ
дублировать	مثنیٰ
дублировать	مشابہ
дублировать	نقل
конструктивный	متبادر
конструктивный	مفید
конструктивный	مثبت
конструктивный	ماخوذ
конструктивный	ترکیب
конструктивный	معاون
ответственные	مکلف.
ответственные	for
фиолетовый	ارغوانی
сопровождать	موجود
сопровождать	ہمراہ
дтп	اتفاق
дтп	حادثہ
обязательные	عائد.
обязательные	لازمی
обязательные	ناگزیر
обязательные	ناگزیر.
обязательные	لازمی
обязательные	ضروری
пучок	شہتیر
пучок	بَلّی
грим	ناشاد
грим	اُداس
грим	خشمگیں
грим	ڈراؤنا
грим	شدید.
грим	درشت
найт	گھوڑا.
бесплатные	خالی
бесплатные	ملاوٹ
бесплатные	چھڑانا.
бесплатные	گستاخ
упаковки	باندھنے
упаковки	لپیٹنے
фея	امرد
фея	نازک
фея	اپسرا.
фея	امرد
фея	نازک
фея	اپسرا.
фея	پری
фея	پرستان
крокодил	مگرمچھ
прервать	ٹھٹھرانا.
прервать	محدود
тасмании	تسمانوی.
тасмании	تسمانیائی
тонко	ہلکا
тонко	عیارانہ
тонко	مکّار.
тонко	چالاک
тонко	ہلکا
тонко	نازک
тонко	عیارانہ
тонко	مکّار.
тонко	چالاک
пила	کہاوت
пила	مقولہ
пила	کہاوت
пила	مثل
пила	مقولہ
разумное	مناسب
разумное	متوازن
разумное	بامعنی.
разумное	غنیمت
разумное	فہمیدہ.
разумное	مناسب
разумное	معقول
разумное	متوازن
разумное	بامعنی.
разумное	غنیمت
разумное	فہمیدہ.
розовая	سجانا.
розовая	سنوارنا
розовая	گلابی
розовая	سرخا.
угрожать	دھمکی
угрожать	(بعدہ
угрожать	دھمکی
угрожать	(بعدہ
угрожать	دھمکانا
сломал	مفلس
гигантская	دیو
гигантская	جن.
гигантская	جنّاتی.
гигантская	زبردست.
гигантская	دیوسمان
гигантская	جنّاتی.
гигантская	زبردست.
гигантская	دیوسمان
гигантская	دیوپیکر
дорого	گراں.
дорого	گراں.
дорого	مہنگا
троица	تگڈّم
троица	بیٹا
сжечь	داغ
сжечь	سگریٹ.
сжечь	بھڑکنا
сжечь	چرکا
сжечь	گلانا.
сжечь	جْھلسا-
недоверие	شبہہ.
недоверие	شک
недоверие	اعتبار
недоверие	شبہ
недоверие	دُبدھا.
недоверие	شک
консоль	پردے
понижение	تنزلی
пресечения	(خبر
трубопроводов	کریم
преемственности	تسلسل
палестинских	فلسطینی
уверена	مطمئن.
уверена	آگاہ.
уверена	یقیناً
уверена	مطمئن.
уверена	آگاہ.
уверена	یقیناً
уверена	یقینی
оздоровительный	سلامتی
оздоровительный	عافیت
оздоровительный	صحت
грязь	آلودگی.
грязь	گلابہ.
грязь	کیچڑ
грязь	بگاڑنا.
грязь	کالک
грязь	فحاشی
грязь	غلاظت
грязь	فحاشی
грязь	گندگی
грязь	غلاظت
грязь	خاک
грязь	آلودگی
грязь	فضلہ
грязь	صلواتیں
грязь	ناکارہ
грязь	دھول
грязь	گندگی
грязь	گرد
смолы	رال
злодей	گنوار
злодей	اجڈ.
злодей	پینڈو.
злодей	ہونق
злодей	خبیث
злодей	شریر.
свифт	پھرتیلا
свифт	سمامہ.
строгое	کامل-
горячая	مشتاقانہ.
горячая	برانگیختہ
горячая	ُپرجوش
горячая	ضرب
горячая	جذباتی.
горячая	سرگرم
горячая	درشتی
горячая	گرمانا.
горячая	سختی
кровати	کیاری
кровати	بٹھانا.
еле	صرف
еле	قلیل
еле	محض
еле	بمشکل
омега	ω)
перечислить	گننا
тирана	ظالم
строгие	کامل-
топор	کلھاڑا
топор	اخراجات
топор	کلھاڑی
топор	تیشہ.
топор	تبر
топор	کلھاڑا
топор	اخراجات
топор	کلھاڑی
топор	تیشہ.
манхэттен	ورمتھ
роса	شادابی
роса	تازگی
роса	شبنم
роса	اوس
роса	شادابی
роса	تازگی
вольт	پھرکنت
вольт	وولٹ
