ইউরেনিয়াম	ураниум
গ্লাসগো	глазгов
ফোটন	фотон
নির্ভুল	совршена
নির্ভুল	совршени
নির্ভুল	совршен
নির্ভুল	перфектно
নির্ভুল	совршено
ম্যানগ্রোভ	мангрови
লক্ষণীয়	забележлива
ইসিবি	ецб
গিল	гил
গিল	гил
সজীব	борбеност
সজীব	свеж
সজীব	свежи
সজীব	свежа
সজীব	тазе
সজীব	свежо
প্রাইম	прајм
রোপণ	садење
রোপণ	подметнат
উত্তরপশ্চিম	северозападна
উত্তরপশ্চিম	северозападно
উত্তরপশ্চিম	северозапад
শহরতলি	предградието
কেনেথ	кенет
অ্যালগোরিদম	алгоритам
হোমো	хомо
সন্নিবেশিত	вградена
প্যাকেট	пакети
কাছিম	желката
কাছিম	желка
জিৎ	jeet
আল্প	алпи
আল্প	алп
বর্গাকার	квадратен
বর্গাকার	плоштад
বর্গাকার	квадрат
কাঁচা	raw
কাঁচা	сурова
জিব্রাল্টার	гибралтар
নিরো	неро
নিরো	нерон
নিরো	ниро
রাসূল	гласник
রাসূল	курир
রাসূল	messenger
রাসূল	апостол
অস্থির	немирни
উড়োজাহাজ	авионски
উড়োজাহাজ	авион
কালেক্টর	колекционер
অবকাঠামোগত	инфраструктурни
অবকাঠামোগত	инфраструктурните
অবকাঠামোগত	инфраструктурен
নবাগত	новајлија
সংক্রামক	заразни
সংক্রামক	заразна
গণ্ডার	носорог
বর্ম	оклоп
ব্যস্ততম	најпрометните
ফ্লোরেন্স	флоренс
ফ্লোরেন্স	фиренца
সরিষা	сенф
ভোরের	зората
ভোরের	зори
ভোরের	зора
স্লোভেনিয়া	словенија
চিতা	чита
চিতা	леопард
সমৃদ্ধির	благосостојба
সমৃদ্ধির	просперитет
প্লেটো	платон
বরো	секторот
খোসা	лупи
মালি	мали
মালি	mali
ডাকাত	разбојници
ডাকাত	ограбувачи
ডাকাত	ограбувачите
ডাকাত	бандити
ঘুষি	боксерска
ঘুষি	удирање
গ্রামার	граматика
ফ্রান্সিস্কো	франциско
অন্যান্যরা	друѓи
অন্যান্যরা	други
বিচ	плажа
বিচ	бич
ফেলিক্স	феликс
ভ্রমন	патување
ভ্রমন	трип
ওবামা	обама
জাগ্রত	буден
জাগ্রত	будни
জাগ্রত	будна
বান্ধবী	девојка
ক্রেওল	креолски
ইসলামাবাদ	исламабад
ছোটখাটো	минијатурна
ধারালো	остро
ধারালো	шарп
ধারালো	остра
ধারালো	остар
ধারালো	остри
ভিটা	vita
পেঁয়াজ	кромид
পেঁয়াজ	кромид
সুসজ্জিত	наместен
সুসজ্জিত	наместено
অসহায়	сиромашен
অসহায়	сиромашните
অসহায়	сиромашни
অসহায়	сиромав
অসহায়	беспомошни
অসহায়	беспомошно
অসহায়	беспомошен
অসহায়	беспомошна
অসহায়	жална
হসপিটাল	болница
হিরোশিমা	хирошима
হর	именител
ট্রি	дрво
ট্রি	стебло
কানের	уво
কানের	увото
রোদ	сонце
দুস	зла
দেখলাম	марсовски
দেখলাম	пила
দেখলাম	видов
দেখলাম	виде
প্রামাণ্যচিত্র	документарец
ফরওয়ার্ড	нанапред
ফরওয়ার্ড	напред
রেবেকা	ребека
হিপ	хип
হিপ	колк
চাও	сакаат
ম্যাথিউ	матеј
ম্যাথিউ	метју
ম্যাথিউ	матје
পাম্প	пумпа
পাম্প	пумпи
নিষ্পত্তি	решиме
এভিয়েশন	воздухопловство
এভিয়েশন	авијација
কাস্পিয়ান	каспиското
নিকোলা	николас
নিকোলা	никола
নিকোলা	никола
নিকোলা	nikola
নিন	земи
নিন	земете
পদকপ্রাপ্ত	медалист
মিং	минг
দৈত্য	џин
দৈত্য	гигант
দৈত্য	џиновска
দৈত্য	џиновски
পোর্টল্যান্ড	портланд
এক্সপ্লোরার	истражувач
ঝর্ণা	пролет
ঝর্ণা	пролетни
ঝর্ণা	водопад
ঝর্ণা	фонтана
ঝর্ণা	водопади
প্রদাহ	воспаление
অনুভূমিক	хоризонтални
অনুভূমিক	хоризонтално
স্বশাসিত	автономни
স্বশাসিত	автономен
স্বশাসিত	автономна
ব্যাধি	растројство
ব্যাধি	нереди
ব্যাধি	пореметување
দামি	скапо
দামি	скап
দামি	скапи
টেকসই	одржливи
টেকসই	одржлива
টেকসই	одржливо
টেকসই	одржлив
টেকসই	траен
টেকসই	издржлив
ইন্টেলিজেন্স	разузнавање
ইন্টেলিজেন্স	интелегенција
ইন্টেলিজেন্স	интелигенција
নিশ্চয়	навистина
নিশ্চয়	сигурно
সালাউদ্দিন	салахудин
মিনেসোটা	минесота
হাডসন	хадсон
স্পট	место
গোলাবর্ষণ	бомбардирање
গোলাবর্ষণ	бомбардирањето
গোলাবর্ষণ	бомбардирање
গোলাবর্ষণ	бомбардирањето
ব্যর্থতা	неуспех
ব্যর্থতা	неуспехот
সমাধিস্থ	кремиран
রিকো	рико
নাক্ষত্রিক	ѕвездена
জোরালো	гласна
জোরালো	гласно
জোরালো	гласен
আবশ্যক	потребна
আবশ্যক	потребно
আবশ্যক	потребни
আবশ্যক	задолжително
হোবার্ট	хобарт
আপেল	епл
আপেল	јаболко
আপেল	apple
আপেল	јаболка
আপেল	јаболки
বারান্দা	тераса
বারান্দা	балкон
বন্ধুরা	пријатели
নিরীহ	глупаво
নিরীহ	невино
নিরীহ	невин
নিরীহ	невини
নিরীহ	невина
দুনিয়া	ворлд
দুনিয়া	world
দুনিয়া	свет
দুনিয়া	светот
দুনিয়া	свету
স্বেচ্ছাসেবী	волонтери
স্বেচ্ছাসেবী	доброволци
স্বেচ্ছাসেবী	волонтер
স্বেচ্ছাসেবী	доброволец
স্বেচ্ছাসেবী	волонтерска
স্বেচ্ছাসেবী	доброволни
স্বেচ্ছাসেবী	волонтерски
ভেড়ার	јагне
ভেড়ার	јагнешко
সুস্বাদু	вкусен
সুস্বাদু	вкусно
সুস্বাদু	вкусна
সুস্বাদু	вкусни
সুস্বাদু	вкусен
সুস্বাদু	вкусно
সুস্বাদু	вкусна
সুস্বাদু	вкусни
ইরাকী	ирачките
ইরাকী	ирачки
ইরাকী	ирачка
ইরাকী	ирачани
ইরাকী	ирачаните
মোবারক	мубарак
তুর্কমেনিস্তান	туркменистан
শিকল	окови
শিকল	ланец
শিকল	ланци
শিকল	окови
শিকল	синџири
শারীরিকভাবে	физички
বোল	садот
বোল	bol
বিভ্রান্তি	забуни
বিভ্রান্তি	конфузија
বিভ্রান্তি	збунетост
বিশ্লেষন	аналитички
এক্সিকিউটিভ	извршно
এক্সিকিউটিভ	извршен
এক্সিকিউটিভ	извршна
ভিউ	поглед
বানু	бану
আর্ক	арка
আর্ক	арката
আর্ক	лак
পোকার	покер
হুইল	тркало
হুইল	тркалото
হুইল	воланот
হুইল	тркала
লাগবে	треба
লাগবে	потреба
দেখেছেন	видена
দেখেছেন	видено
দেখেছেন	видени
দেখেছেন	видел
দেখেছেন	виден
দেখেছেন	гледал
দেখেছেন	гледаа
দেখেছেন	следена
দেখেছেন	гледаше
বাড়ে	расне
বাড়ে	расте
ঈমান	верувајте
ঈমান	верувам
ঈমান	поверувале
ঈমান	веруваат
ঈমান	верувај
খুচরা	малопродажба
খুচরা	продажната
উইলি	вили
উইলি	вили
গণি	гани
ব্রীজ	мост
প্রিজম	призма
ডালে	дејл
মেগা	мега
মেগা	mega
প্রান্তবিন্দু	теме
জুয়েল	џул
উদ্বেগ	грижи
উদ্বেগ	загриженост
উদ্বেগ	возбуда
উদ্বেগ	вознемиреност
উদ্বেগ	немир
উদ্বেগ	загриженост
সমাজকে	општество
নিঃশ্বাস	здивот
নিঃশ্বাস	здив
গালে	образот
গালে	образ
মানমন্দির	опсерваторијата
মানমন্দির	опсерваторија
সন্ধ্যার	вечер
হেনরিক	хенрик
প্যারাগুয়ে	парагвај
রামোন	рамон
বৈধতা	валидноста
কার্টুনিস্ট	карикатурист
দক্ষিণাঞ্চলীয়	јужен
দক্ষিণাঞ্চলীয়	јужна
দক্ষিণাঞ্চলীয়	јужни
রাজকন্যা	принцезата
রাজকন্যা	принцеза
হান্টার	ловец
হান্টার	хантер
হ্যাকার	хакер
চক্ষু	окото
চক্ষু	око
লজিক	логика
হার্ভে	харви
বহুবচন	множина
লক	заклучи
লক	заклучување
লক	брава
পাসওয়ার্ড	лозинка
পাসওয়ার্ড	лозинката
পাসওয়ার্ড	лозинки
চুন	чун
নার্সিং	пензионерски
হাইব্রিড	хибрид
বার্ন	берн
নটর	notre
তাইপেই	тајпеј
নাগাল্যান্ড	нагаланд
নর্তকী	танчер
নর্তকী	танчери
ছোপ	нијанса
আলোকচিত্রী	фотограф
মাল্টা	малта
শপিং	шопинг
শপিং	купување
মিথেন	метан
সংযুক্তি	прилог
সংযুক্তি	прилози
টিস্যু	ткиво
অরোরা	аурора
পাওলো	пауло
আলেপ্পো	алепо
সন্ন্যাসীদের	монаси
সন্ন্যাসীদের	монасите
গতানুগতিক	типично
গতানুগতিক	типичен
গতানুগতিক	типична
গতানুগতিক	типични
শক	шок
বোধগম্য	разбрав
বোধগম্য	разбираше
বোধগম্য	разбра
বোধগম্য	сфати
বোধগম্য	разбирливо
বোধগম্য	разбирлив
ফ্লাইং	летање
জামাইকার	јамајканскиот
জোনস	јонс
জোনস	џонс
ফ্লেচার	флечер
চশমা	чаши
চশমা	наочари
চশমা	очила
ভোল্টেজ	напон
উন্মোচিত	изложена
উন্মোচিত	изложено
উন্মোচিত	изложен
এডগার	едгар
এলিয়ট	елиот
এলিয়ট	елиот
এলিয়ট	елиот
সমকক্ষ	врсници
সত্তর	седумдесет
সামি	sami
সামি	сами
সাদিক	садик
চামচ	лажица
চামচ	tsp
ইসরাইল	израел
দেখেছি	видена
দেখেছি	видено
দেখেছি	видени
দেখেছি	видел
দেখেছি	виден
তিমি	китови
তিমি	кит
অ্যালকোহল	алкохол
অবরুদ্ধ	блокиран
অবরুদ্ধ	блокирано
অবরুদ্ধ	блокирани
অবরুদ্ধ	блокирана
তত্ত্বাবধান	надзор
বুকার	букер
কট	kot
ফিতা	лента
ফ্যাক্টরি	фабрика
ফ্যাক্টরি	фабрички
চকচকে	сјајна
বিস্ময়	изненадување
বিস্ময়	чудата
বিস্ময়	чуда
বাধার	препреки
বাধার	пречки
লেস	лес
মেটে	џигер
বাতিঘর	светилникот
বাতিঘর	светилник
জারণ	корозија
মিষ্টান্ন	десерти
মিষ্টান্ন	десерт
কান্দাহার	кандахар
নিক্ষিপ্ত	гипс
রেস্টুরেন্ট	ресторан
মুষ্টিযোদ্ধা	боксери
হল্যান্ড	холандија
বেলুন	балон
বেলুন	балони
নাস	nas
পরিসর	опсег
রিডার	читатели
রিডার	читателите
রিডার	читател
রিডার	читач
ট্যাক্সি	такси
সেবন	уживајќи
সেবন	ужива
সেবন	уживање
গিলবার্ট	гилберт
অধ্যয়নরত	проучување
অধ্যয়নরত	учење
অধ্যয়নরত	студирање
অধ্যয়নরত	учењето
লাফিয়ে	скокни
লাফিয়ে	скок
লাফিয়ে	скокај
ছুড়ে	фрли
ছুড়ে	фрлање
অ্যাটলেটিকো	атлетико
সাদ্দাম	садам
গাড়ী	автомобил
গাড়ী	кола
জ্বলে	свети
জ্বলে	блеска
নাইরোবি	најроби
ডিসকভারি	откритие
ডিসকভারি	откривање
হীরা	дијамант
হীরা	дајмонд
অপব্যবহার	злоставување
অপব্যবহার	злоупотреби
অপব্যবহার	злоупотреба
নিকারাগুয়া	никарагва
নিকারাগুয়া	русија
আপিল	жалбите
আপিল	жалби
জাজিরা	џезира
লোকে	народ
লোকে	луѓе
প্যালেস্টাইন	палестина
কেনো	зошто
কেনো	зашто
গুলিবর্ষণ	пукање
গুলিবর্ষণ	отпуштање
সুখের	среќа
আর্দ্রতা	влага
আর্দ্রতা	влага
আর্দ্রতা	влажност
নির্জন	осамена
নির্জন	осамени
নির্জন	осамен
নির্জন	осамено
সোমালিয়া	сомалија
বিক্ষিপ্ত	раштркани
মহৎ	моќен
মহৎ	величенствен
মহৎ	величествена
মহৎ	величествено
মহৎ	величествен
ধারণকারী	контејнер
তীরন্দাজ	стрелци
মজা	забавен
মজা	забава
মজা	забавна
মজা	забавно
পশম	крзно
সতর্কতা	предупредување
সতর্কতা	претпазливост
সতর্কতা	предупредувања
সতর্কতা	тревога
আনু	ану
কেক	колач
কেক	торта
কেক	торти
কেক	колачи
সাফারি	сафари
ক্রোমোজোম	хромозом
কোরে	кори
মনোবল	издржливост
মনোবল	кондиција
অবিস্মরণীয়	незаборавен
অবিস্মরণীয়	незаборавно
অবিস্মরণীয়	незаборавни
অবিস্মরণীয়	незаборавна
নরম্যান	норман
কনরাড	конрад
কনরাড	конрад
নিকোলাই	николај
জয়েন্ট	заедничка
জয়েন্ট	заеднички
জয়েন্ট	џоинт
জয়েন্ট	здружени
বহিষ্কৃত	избркан
বহিষ্কৃত	исфрлен
বহিষ্কৃত	протерани
বহিষ্কৃত	истерани
বহিষ্কৃত	исфрлен
বহিষ্কৃত	исфрлени
বহিষ্কৃত	исфрлена
বহিষ্কৃত	изваден
কলি	кали
কলি	бад
রেজিস্টার	регистри
রেজিস্টার	регистрираат
রেজিস্টার	регистар
ফিদেল	фидел
স্ট্রোক	удар
ব্যাথা	болката
ব্যাথা	болки
ব্যাথা	болка
ব্যাথা	боли
ফ্রাই	пржење
ফ্রাই	пржи
ফ্রাই	помфрит
ফ্রাই	компирчиња
কীটনাশক	пестициди
কীটনাশক	пестициди
বক্ররেখা	крива
বক্ররেখা	криви
গেটস	порти
গেটস	гејтс
এক্সটেনশন	продолжетоци
এক্সটেনশন	наставка
এক্সটেনশন	продолжение
এক্সটেনশন	продолжување
ব্রাউনের	кафеава
ব্রাউনের	браун
ব্রাউনের	кафеав
ব্রাউনের	кафена
সুজা	соуза
ক্রাইস্টচার্চ	christchurch
ধূমপান	пушење
ধূমপান	пушењето
ধূমপান	пуши
লুইজ	луиз
ধ্বংসাত্মক	деструктивни
সমানভাবে	еднакво
সমানভাবে	подеднакво
ভূগোলবিদ	географ
সেটার	сетер
গোবর	измет
মেহতা	мехта
ইয়োহানেস	јоханес
প্রমিত	стандард
প্রমিত	стандардна
প্রমিত	стандардни
প্রমিত	стандарден
প্রমিত	стандардно
দই	јогурт
দই	кајмак
লিওনার্ড	ленард
লিওনার্ড	леонард
অপমান	понижување
অপমান	навредливи
অপমান	навреда
অপমান	навредување
অপমান	навредливо
অপমান	навреда
নেত্রী	лидер
নেত্রী	водач
চেখভ	чехов
বিচলিত	нервозно
বিচলিত	нервоза
বিচলিত	нервозен
বিচলিত	нервозни
বিচলিত	нервозна
বিচলিত	вознемирена
বিচলিত	вознемирени
বিচলিত	вознемирен
রাইডার	raider
রাইডার	рајдер
রাইডার	јавач
প্রশিক্ষিত	обучен
প্রশিক্ষিত	обучени
প্রশিক্ষিত	тренираше
প্রশিক্ষিত	тренирана
পূর্বাভাস	прогнози
পূর্বাভাস	прогноза
পূর্বাভাস	предвиде
ল্যান্স	ленс
সোয়ান	лебед
নানক	nanak
কুকুরের	куче
ফতেহ	фатех
মেয়ার	мајер
কুসংস্কার	предрасуди
কুসংস্কার	предрасуда
দাসী	слугинка
দাসী	собарка
রাশেদ	рашед
সূচী	содржина
সূচী	содржини
টিনের	tin
টিনের	конзерва
বাব	баб
ম্যাট্রিক্স	матрица
ম্যাট্রিক্স	матрикс
নির্যাতিত	злоупотребувани
পেয়ারা	гуава
এফবিআই	fbi
এফবিআই	фби
ড্রামার	тапанарот
ড্রামার	тапанар
তিল	сусам
ম্যাডিসন	медисон
প্রাপ্তবয়স্কদের	возрасни
প্রাপ্তবয়স্কদের	возрасните
টমেটো	домати
টমেটো	домат
টমেটো	патлиџан
প্রতিলিপি	копии
অং	онг
ক্লায়েন্ট	клиентот
ক্লায়েন্ট	клиент
হাঁটা	одење
হাঁটা	шетање
হাঁটা	прошетка
হাঁটা	пешачење
টানেল	тунел
পটাশিয়াম	калиум
পরামর্শক	советник
পরামর্শক	консултант
অনুন্নত	неразвиени
জিনিসপত্র	работи
জিনিসপত্র	нешта
পুরুষেরা	мажи
পুরুষেরা	мажите
পুরুষেরা	луѓе
পুরুষেরা	машки
এক্সবক্স	иксбокс
পাড়ার	кварт
পাড়ার	соседство
পাড়ার	маало
ম্যানিলা	манила
জ্যামাইকা	јамајка
রুনা	руна
মুরগির	пилешко
মুরগির	кокошка
মুরগির	пиле
ভিশন	визија
শিরা	вена
সংবেদনশীল	чувствителен
সংবেদনশীল	осетливо
সংবেদনশীল	чувствителни
সংবেদনশীল	осетлив
সংবেদনশীল	осетлива
ফারাও	фараон
ফারাও	фараонот
আন্তরিক	искрено
আন্তরিক	искрени
আন্তরিক	искрена
আন্তরিক	обилно
আন্তরিক	срдечно
কূটনীতিক	дипломат
ট্রান্সপোর্ট	транспортер
আর্টিলারি	артилериски
আর্টিলারি	артилерија
মার্স	марс
এডিটর	уредници
এডিটর	уредниците
তরুন	младите
তরুন	млад
তরুন	јанг
তরুন	young
তরুন	млади
তরুন	млада
ভালুক	мече
ভালুক	мечка
পৌঁছাতে	достигнат
পৌঁছাতে	опсег
পৌঁছাতে	достигне
পৌঁছাতে	досег
প্রিন্সিপাল	директорот
প্রিন্সিপাল	директорката
প্রিন্সিপাল	директор
সুজি	сузи
লেবাননের	либанскиот
লেবাননের	либански
পোলক	полок
প্রস্থান	отказ
প্রস্থান	напушти
প্রস্থান	излези
প্রস্থান	егзит
প্রস্থান	излез
নখ	канџа
নখ	шајки
নখ	клинци
নখ	нокти
টস	фрлање
চেজ	чејс
পাইরেটস	пиратите
পাইরেটস	пирати
হায়দরাবাদ	хајдерабад
গন্তব্য	одредиште
গন্তব্য	дестинација
গন্তব্য	дестинации
টেলার	телер
পেইন্টিং	сликарство
পেইন্টিং	сликање
পেইন্টিং	слика
শুন্য	нула
হিলস	ридови
হিলস	ридовите
হিলস	хилс
ভজন	пеј
অসন্তুষ্ট	незадоволни
অসন্তুষ্ট	незадоволна
চায়ের	чај
ড্যানিশ	дански
ড্যানিশ	данскиот
তর্ক	расправаат
তর্ক	тврдејќи
তর্ক	расправаше
তর্ক	тврдат
অর্ডোভিশিয়ান	ordovician
আগ্রাসী	агресивни
আগ্রাসী	агресивна
আগ্রাসী	агресивно
আগ্রাসী	агресивен
ফিউশন	фузија
প্রজ্ঞা	мудрост
গেটের	капија
গেটের	гејт
গেটের	порта
মাংসাশী	месојади
সুইং	замав
মাতৃ	мајчинска
তাহার	ја
তাহার	нејзината
তাহার	неа
তাহার	нејзе
রন্ধনপ্রণালী	кујна
রন্ধনপ্রণালী	кујни
অভিনেতাদের	глумци
অভিনেতাদের	актери
আইজ্যাক	ајзак
আইজ্যাক	ајзек
আইজ্যাক	исак
শাস্তির	казни
শাস্তির	казнување
শাস্তির	казна
লী	лее
লী	ли
লী	lee
এস্তোনিয়া	естонија
দুর্বলতা	слабоста
দুর্বলতা	слабост
রিয়া	реа
রিয়া	риа
ব্যুৎপত্তি	успешност
ব্যুৎপত্তি	етимологијата
কাউন্টার	контра
কাউন্টার	бројач
কাউন্টার	каса
দেখছি	гледав
দেখছি	гледање
দেখছি	гледајќи
দেখছি	гледа
দেখছি	гледањето
প্রসব	породување
প্রসব	породувањето
বাধ্যবাধকতা	обврски
বাধ্যবাধকতা	обврската
বাধ্যবাধকতা	обврска
পেদ্রো	педро
জাক	жак
অলঙ্কার	накит
কাজাখস্তান	казахстан
সহচর	сопатник
সহচর	придружник
লেন্সের	леќи
লেন্সের	леќите
অস্থিরতা	немири
অস্থিরতা	нереди
অস্থিরতা	нестабилност
বহুবিধ	повеќекратни
বহুবিধ	повеќекратна
বহুবিধ	повеќекратен
ক্যারোলিনা	каролина
পেশোয়ার	пешавар
লন	тревникот
লন	тревник
ছদ্ম	псевдо
আড্ডা	локал
আড্ডা	муабет
আড্ডা	разговор
আড্ডা	чат
ডিস্ট্রিক্ট	реон
ডিস্ট্রিক্ট	округ
বসতে	седи
তিউনিসিয়া	тунис
ডানায়	крила
ডানায়	крилја
ডানায়	крилца
ক্লিনটন	клинтон
মন্ত্রীদের	министри
মন্ত্রীদের	министрите
সহোদর	близнак
সাজা	осудени
সাজা	осуден
সাজা	осуди
সাজা	осудена
গাজা	газа
আদার	ѓумбир
আদার	џинџер
বীচ	плажа
বীচ	бич
একতা	единство
একতা	сингуларитет
অ্যান্টেনা	антена
বোতাম	копчиња
বোতাম	копче
ব্রি	бри
ব্রি	брај
পূর্ণতা	исполнетост
মশলা	зачини
প্রত্যাশিত	очекувано
প্রত্যাশিত	очекуван
প্রত্যাশিত	очекува
প্রত্যাশিত	очекувана
শরণার্থীদের	бегалци
স্থানীয়দের	мештаните
নিরুৎসাহিত	обесхрабри
অংশগ্রহণকারীদের	учеснички
অংশগ্রহণকারীদের	учесници
অংশগ্রহণকারীদের	присутни
অংশগ্রহণকারীদের	присутните
চাদর	постелнина
চাদর	листови
চাদর	чаршафи
স্বাভাবিকভাবে	природно
ইংরাজি	англиски
ফ্লয়েড	флојд
বহিরাগত	надворешен
বহিরাগত	надворешно
বহিরাগত	надворешни
বহিরাগত	надворешна
ম্যাপ	мап
ম্যাপ	карта
ম্যাপ	мапа
ম্যাপ	мапата
ট্রয়	трој
ট্রয়	троја
বিভ্রান্ত	збунети
বিভ্রান্ত	збунета
বিভ্রান্ত	збунет
বিভ্রান্ত	збунето
স্পাই	шпион
স্পাই	шпиун
ফাঁক	празнини
ব্যাচ	тура
কপালে	чело
কপালে	челото
অ্যাডমিরাল	адмирал
হরর	хорор
হরর	ужас
মহাকাব্যিক	епски
প্যাট	пат
কাট	кратења
কাট	резови
কাট	исекотини
সাংবাদিকদের	новинари
মার্কাস	маркус
ইন্ডিপেন্ডেন্ট	независни
ইন্ডিপেন্ডেন্ট	независна
ইন্ডিপেন্ডেন্ট	независен
ইন্ডিপেন্ডেন্ট	независно
আইনগতভাবে	правно
আইনগতভাবে	законски
আইনগতভাবে	легално
অ্যারিজোনা	аризона
জর্দান	jordan
জর্দান	јордан
জর্দান	џордан
পার্ট	дел
টেপ	касета
টেপ	лента
সুইচ	смени
সুইচ	прекинувач
হাঁটু	коленото
হাঁটু	колено
হাঁটু	колената
হাঁটু	колена
হাঁটু	коленици
নার্গিস	наргис
বেচে	жива
বেচে	живи
বেচে	жив
ধর্ষণের	силувања
ধর্ষণের	силување
ধর্ষণের	силувања
আলজেরীয়	алжирски
বিকেলে	попладне
এনজাইম	ензими
এনজাইম	ензим
সম্পূরক	додаток
সম্পূরক	надополнување
সম্পূরক	дополни
সম্পূরক	дополнување
সম্পূরক	додатоци
কং	конг
রুবেল	рубљи
বসন্তের	пролет
শব্দসমষ্টি	фраза
মনিটর	монитор
মনিটর	набљудувачите
মনিটর	монитори
মনিটর	набљудувачи
খেলছেন	свирење
খেলছেন	играње
খেলছেন	свири
গম্ভীর	сериозен
গম্ভীর	сериозна
গম্ভীর	озбилно
হার্জেগোভিনা	херцеговина
এমআইটি	мит
আমেরিকানদের	американците
আমেরিকানদের	американци
মর্যাদাপূর্ণ	престижни
মর্যাদাপূর্ণ	престижниот
মর্যাদাপূর্ণ	престижна
মর্যাদাপূর্ণ	престижната
কোট	палто
কোট	капут
কোট	мантил
কোট	kot
কোট	цитат
নগ্নতা	голотија
আকাশচুম্বী	облакодер
পূর্বপুরুষদের	претци
পূর্বপুরুষদের	предци
টেড	тед
কুং	кунг
উপকণ্ঠে	предградијата
উপকণ্ঠে	периферијата
অবহেলিত	запоставени
ফো	фо
লিডার	лидер
লিডার	водач
হামবুর্গ	хамбург
হামবুর্গ	hamburg
অ্যাডোবি	adobe
বাসিন্দারা	жителите
বাসিন্দারা	жители
মোটরগাড়ি	автомобилски
মোটরগাড়ি	автомобилска
প্লেবয়	плејбој
কনকাকাফ	concacaf
সাম্রাজ্যবাদ	империјализам
নির্দোষ	невино
নির্দোষ	невин
নির্দোষ	невини
নির্দোষ	невина
দারিদ্র	сиромаштија
লিটার	литри
লিটার	литар
জানুন	дознај
জানুন	учи
জানুন	научи
জানুন	научете
জানুন	дознајте
দাড়িয়ে	стои
দাড়িয়ে	стоечки
দাড়িয়ে	стојам
দাড়িয়ে	стоејќи
দাড়িয়ে	стоење
ব্রুকলিন	бруклин
ব্যাটারী	акумулатор
ব্যাটারী	батерија
ডেন	дане
ডেন	den
ব্র্যাক	брач
মাহফুজ	махфуз
চুম্বন	бакнување
চুম্বন	бакнежи
চুম্বন	кис
চুম্বন	бакнеж
চুম্বন	kiss
চুম্বন	бакни
সান্টা	санта
সমেত	inclusive
বোমাবর্ষণ	бомбардираа
বোমাবর্ষণ	бомбардирање
ইভান্স	еванс
জ্ঞাত	позната
জ্ঞাত	познати
জ্ঞাত	познат
সংহতি	солидарност
সেরে	заздравување
সেরে	закрепнување
টেসলা	тесла
উত্তল	конвексен
দুঃখিত	извини
দুঃখিত	извинете
ভোল্ট	волти
ভোল্ট	волти
অভিনন্দন	честито
অভিনন্দন	честитки
অভিনন্দন	честитам
অভিনন্দন	честитам
ফোটে	блум
ফোটে	цвета
সেনেগাল	сенегал
মুনি	муни
বাঁচার	опстанок
বাঁচার	преживување
চার্চিল	черчил
উপকার	заработка
উপকার	профит
উপকার	корист
উপকার	придобивки
উপকার	бенефиции
উপকার	поволности
উপকার	придобивките
লেবু	лимон
সুখী	среќни
সুখী	среќна
সুখী	среќен
গীর্জা	црква
হান্ট	ловат
হান্ট	лови
হান্ট	лов
হান্ট	хант
অস্থিতিশীল	непостојано
বাসস্থানের	живеалиште
বাসস্থানের	живеалишта
ঘটনাসমূহ	настани
কদাচিৎ	ретко
ঐশ্বরিক	божествен
ঐশ্বরিক	божествена
ঐশ্বরিক	божествено
পোর্তো	порто
ফিঞ্চ	финч
শোভাযাত্রা	поворка
শ্রবণ	слух
শ্রবণ	сослушување
ছেলেরা	дечки
ছেলেরা	момци
ছেলেরা	момчиња
ছেলেরা	машки
ছেলেরা	синови
ছেলেরা	синовите
ছেলেরা	момци
ছেলেরা	дечки
সস্তা	евтино
সস্তা	евтин
সস্তা	евтини
সস্তা	поевтин
সস্তা	поефтин
সস্তা	поефтино
সস্তা	поефтини
সস্তা	поевтино
সস্তা	поевтини
পরিবাহী	диригент
মানসিকতা	менталитет
মানসিকতা	менталитетот
হাটে	прошетки
খাত্তাব	катаб
ঘুঘু	гулаб
ওরিয়েন্টাল	ориентални
বোল্ট	болт
বোল্ট	гром
আঙ্গুল	прстите
আঙ্গুল	прсти
আঙ্গুল	прст
আঙ্গুল	прстот
ডক	докот
ডক	пристаниште
শিখে	научена
অসলো	осло
খাঁটি	автентична
খাঁটি	автентично
খাঁটি	автентичен
খাঁটি	чисто
খাঁটি	чист
খাঁটি	чиста
গোলাবারুদ	муниција
কিংডম	кралство
কিংডম	царство
সরবরাহকারী	провајдер
সরবরাহকারী	доставувач
কার্নেল	кернелот
অ্যালাস্টেয়ার	аластер
রেমন্ড	рајмонд
রেমন্ড	рејмонд
কাশ্মীরি	кашмирски
বিষয়াবলী	теми
বিষয়াবলী	темите
সনাক্তকরণ	детекција
সনাক্তকরণ	откривање
টিউমার	тумор
টিউমার	тумори
আভা	ева
আস্তানা	таван
আস্তানা	таванот
আস্তানা	астана
হত্যাকান্ড	убиство
পাঠায়	праќа
পাঠায়	испраќа
পরিচালকদের	директори
পরিচালকদের	режисери
পরিচালকদের	раководители
পরিচালকদের	менаџери
লেনন	ленон
ময়লা	нечиста
ময়লা	валкан
ময়লা	валкани
ময়লা	нечист
ময়লা	валкана
ময়লা	нечистотија
বার্নস	барнс
টেলিকম	телеком
বর্ন	родено
বর্ন	роди
বর্ন	роден
বর্ন	родени
বর্ন	раѓа
কাঠামোগত	структурните
কাঠামোগত	структурни
ঝিনুক	остриги
ঝিনুক	школки
ঝিনুক	ојстер
সরলীকৃত	поедноставен
