در	врата
تنش	извонредна
تورم	оток
تورم	инфлацијата
تورم	инфлација
کانتی	жупанија
کانتی	округот
کانتی	округ
بنیانگذاران	основачи
بنیانگذاران	основачите
روشهای	начини
روشهای	методи
نگار	нагар
کلارک	кларк
شوهر	маж
شوهر	сопруг
شوهر	мажот
اجتماع	општество
اجتماع	заедница
اجتماع	рели
اجتماع	собир
اجتماع	митинг
ترسیم	привлече
ترسیم	нацртај
ترسیم	цртеж
ترسیم	цртање
ترسیم	ждрепката
مثلث	триаголник
بهروز	ажурирање
روحانیون	свештенство
روحانیون	свештенството
دانه	семе
دانه	зрна
دانه	зрно
دانه	житарици
دانه	жито
دانه	семиња
بیانیه	манифест
بیانیه	изјава
بیانیه	соопштение
ناظر	набљудувач
ناظر	сведок
تخلیه	евакуација
تخلیه	евакуацијата
شورا	шура
شورا	совет
ماهنامه	месечни
ماهنامه	месечно
ماهنامه	месечен
مارول	марвел
اعطای	подари
اعطای	грент
اعطای	грант
احسان	љубезност
احسان	добрина
استراتژی	стратегија
لذت	локум
لذت	задоволство
لذت	задоволства
رطوبت	влага
رطوبت	влага
رطوبت	влажност
انگشت	гради
انگشت	прст
انگشت	прстот
انگشت	прсти
انگشت	прстите
انگشت	прсти
کبوتر	гулаб
کبوتر	гулаб
احساسات	емоции
احساسات	емоција
احساسات	емоции
احساسات	чувства
احساسات	чуства
دنده	ребра
دنده	ребрата
دنده	ребро
دنده	опрема
پیکسل	пиксел
پیکسل	пиксели
بنویسید	напишам
بنویسید	пишувајте
بنویسید	пиши
بنویسید	напиши
بنویسید	запиши
بنویسید	пишувај
شمشیر	мач
شمشیر	мечот
شمشیر	меч
فرانکفورت	франкфурт
جونیور	јуниор
جونیور	џуниор
جونیور	junior
دروس	поука
دروس	лекции
قفل	заклучи
قفل	заклучување
قفل	брава
قفل	заклучено
قفل	заклучен
قفل	заклучена
قفل	заклучени
قفل	брави
کیک	колач
کیک	торта
کیک	торти
کیک	колачи
تفنگ	пушка
تفنگ	пиштол
تفنگ	пушка
سانتی	санти
ستایش	слава
ستایش	пофалби
ستایش	пофалба
درمیان	меѓу
درمیان	низ
تخصص	стручност
تخصص	експертиза
تخصص	специјализирана
تخصص	специјалитет
تخصص	специјалност
اتومبیل	автомобил
نژادی	расна
نژادی	етничка
نژادی	етнички
نژادی	етничко
سول	душа
اموال	имот
اموال	сопственост
اموال	супстанца
اموال	супстанции
اموال	супстанција
کمیک	стрип
کمیک	графичко
کمیک	стрипови
کمیک	стриповите
کمیک	стрип
رقیب	ривали
رقیب	противникот
رقیب	противкандидат
رقیب	противник
رقیب	конкурент
رقیب	натпреварувач
رقیب	конкурент
رقیب	ривал
یعقوب	jacob
یعقوب	јакоб
یعقوب	џејкоб
یکپارچه	обединето
یکپارچه	обединет
یکپارچه	обединета
یکپارچه	интегриран
یکپارچه	интегрирано
یکپارچه	интегрирани
یکپارچه	интегрирана
زیستگاه	живеалиште
زیستگاه	живеалишта
کارمندان	вработени
کارمندان	вработените
کارمندان	персонал
کارمندان	кадар
پارچه	текстилна
پارچه	текстил
پارچه	ткаенина
پارچه	крпа
پارچه	ткаенина
خاتمه	затворање
لهستانی	полски
لهستانی	полска
لهستانی	полирање
لهستانی	полско
نامهای	имиња
نامهای	писмо
نامهای	буква
فیل	слонови
فیل	слоновите
فیل	слон
تیپ	typ
تیپ	тип
تیپ	бригада
جنگنده	борец
جنگنده	борач
عاشقانه	романтика
عاشقانه	романса
عاشقانه	романтична
عاشقانه	романтика
عاشقانه	романтичен
عاشقانه	романтично
دمشق	дамаск
خیابانی	улични
خیابانی	улица
خیابانی	уличен
کش	кеш
کش	кеш
کش	кеш
کش	готовина
ابو	абу
گواهی	сертификат
گواهی	сертификат
پوسته	школка
پوسته	корка
پوسته	кора
کانتری	земја
کانتری	држава
کانتری	кантри
سرهنگ	полковник
الفبا	азбука
تشکیلات	бригада
اسرائیلی	израелска
اسرائیلی	израелските
اسرائیلی	израелскиот
اسرائیلی	израелски
ژنتیک	генетски
ژنتیک	генетска
ژنتیک	генетиката
ژنتیک	генетика
تعلیم	обука
تعلیم	тренинг
ارگ	орган
ارگ	органи
ارگ	тврдина
ارگ	тврдината
پویا	динамична
پویا	динамика
پویا	динамичен
تابعیت	националност
تابعیت	верноста
تابعیت	државјанство
پوشاک	облека
تالش	талишки
مسئولان	властите
مسئولان	власти
بانوی	мадам
بانوی	госпоѓа
بانوی	дама
بانوی	лејди
دیزنی	дизни
شاگرد	студентски
شاگرد	ученик
شاگرد	ученичка
شاگرد	студент
شاگرد	чирак
شاگرد	ученик
قدرتمند	моќен
قدرتمند	моќна
قدرتمند	моќно
قدرتمند	моќни
بوستان	градини
تقاضا	барања
تقاضا	побарувачка
تقاضا	барање
مساوی	еднакво
مساوی	еднаков
مساوی	еднакви
مساوی	еднаквите
خسته	исцрпена
خسته	исцрпен
خسته	исцрпени
خسته	уморни
خسته	уморен
خسته	уморно
خسته	уморна
خسته	изморена
املاک	имот
نامناسب	несоодветна
نامناسب	склопат
نامناسب	несоодветен
نامناسب	несоодветно
نامناسب	несоодветна
نامناسب	несоодветни
نداشتن	недостиг
نداشتن	немање
نداشتن	недостаток
نداشتن	недостатокот
گوی	гои
گوی	сферата
اختلافات	несогласувања
اختلافات	несогласувањата
اختلافات	спорови
اختلافات	расправии
لیزر	ласерски
لیزر	ласер
قایق	брод
قایق	чамец
گچ	креда
گچ	гипс
خدمه	екипаж
خدمه	екипа
یان	јан
یان	јанг
یان	јан
سوراخ	дупка
مراد	мурат
مراد	мурат
مراد	мурад
هندسی	геометриски
هندسی	локус
پروس	прусија
پروس	берлинско
اسپرانتو	есперанто
تضمین	загарантиран
تضمین	загарантирана
تضمین	гарантирано
تضمین	гарантирани
تضمین	загарантирано
تضمین	гаранции
تضمین	гаранција
رسد	допре
رسد	допира
رسد	штрајкови
تانک	тенк
تانک	резервоари
تانک	тенкови
فروشگاه	шоп
فروشگاه	продавница
فروشگاه	mall
فروشگاه	корзо
فروشگاه	продавница
آرای	ара
آدولف	адолф
حصار	живеалиште
حصار	ограда
حصار	оградата
ریتم	ритамот
ریتم	ритам
حامل	носење
حامل	носејќи
حامل	носач
حامل	носител
حامل	превозник
غیرقانونی	незаконски
غیرقانونی	нелегална
غیرقانونی	незаконска
غیرقانونی	нелегално
غیرقانونی	илегална
غیرقانونی	нелегален
غیرقانونی	незаконски
غیرقانونی	нелегално
مشتریان	клиенти
مشتریان	муштерии
شی	ши
شی	шеј
شی	шеј
محتوا	содржина
محتوا	содржини
امن	безбедни
امن	безбедно
امن	безбедна
امن	безбеден
امن	сигурност
امن	безбедност
امن	обезбедено
امن	обезбедете
امن	обезбеден
امن	безбедна
ولادیمیر	владимир
ولادیمیر	vladimir
قرقیزستان	киргистан
منشأ	потекло
آنزیم	ензими
آنزیم	ензим
آدام	адам
وضوح	бистрината
وضوح	јасност
وضوح	резолуција
وضوح	јасно
وضوح	очигледно
فروپاشی	судар
فروپاشی	краш
فروپاشی	падот
فروپاشی	уривање
فروپاشی	колапс
کناره	повлечен
کناره	повлечена
کناره	повлечени
جانشینی	наследник
طرفدار	фан
طرفدار	вентилатор
طرفدار	обожавател
طرفدار	навивач
حماسی	епски
داعش	исил
طوفان	ураган
طوفان	ураганот
طوفان	сторм
طوفان	бура
طوفان	олуја
طوفان	невреме
اسیر	затвореник
اسیر	затвореничка
اسیر	заробеник
اسیر	заробеник
اسیر	фатено
اسیر	фатен
اسیر	фатени
اهورا	ахура
خنک	cool
خنک	кул
بلندی	подигнување
بلندی	висина
نیکی	ники
هاوارد	хауард
هاوارد	ховард
انجیل	евангелие
انجیل	библија
مبدل	converter
سفارش	ред
سفارش	наредба
سفارش	нарачка
سفارش	редослед
کنفدراسیون	конфедерација
شتاب	забрзување
بردار	вектор
توطئه	заговор
توطئه	завера
کلود	клод
دوری	дори
پمپ	пумпа
پمپ	пумпи
فلزات	метали
تولیدکنندگان	производители
ماتریس	матрица
ماتریس	матрикс
ثانویه	средно
ماکس	max
ماکس	макс
رویال	кралско
رویال	кралска
رویال	ројал
رویال	royal
رویال	кралски
تله	замка
تله	стапица
تله	стапици
غیرنظامی	цивил
غیرنظامی	цивилен
معتدل	умерените
معتدل	умерена
یون	јон
یون	јонска
یون	јун
ترافیک	сообраќај
کنی	кени
قمر	месечина
قمر	месечева
قمر	месечината
عناوین	титули
عناوین	наслови
آپولو	аполон
آپولو	аполо
سازماندهی	организација
سازماندهی	организација
سازماندهی	организирање
سازماندهی	организирање
تقدیم	понудата
تقدیم	понуда
تقدیم	понуди
طنابداران	хордови
سرو	служи
سرو	служат
سرو	сервира
سرو	послужи
سرو	керо
کاتالوگ	каталог
تعبیر	интерпретација
تعبیر	толкување
تعبیر	толкува
تعبیر	толкување
ایرلندی	ирско
ایرلندی	ирци
ایرلندی	ирски
ایرلندی	ирец
مرسوم	конвенционалните
جنرال	општи
جنرال	општа
جنرال	општо
جنرال	генерал
گزینه	опција
برخط	онлајн
برخط	online
جنیفر	џенифер
ران	бут
ران	бутот
ران	рон
سرا	sara
سرا	сара
سرا	сера
راحت	лесни
راحت	лесен
راحت	лесно
راحت	лесна
راحت	удобно
راحت	комотно
راحت	удобни
راحت	пријатно
راحت	удобна
وفات	усвојувањето
وفات	поминување
وفات	минување
گستره	опсег
بارش	врнежи
میامی	мајами
بلو	плава
بلو	сина
بلو	сини
بلو	блу
بلو	сино
بلو	синко
تند	брзо
تند	бргу
تند	брз
تند	брзи
شکسپیر	шекспир
افزود	зголемени
افزود	зголемена
افزود	зголемено
افزود	зголемен
هیوستون	хјустон
ساختاری	структурните
ساختاری	структурни
شکر	шеќер
مذاکره	преговори
مذاکره	преговара
مذاکره	преговори
مذاکره	преговарачки
مذاکره	преговори
مذاکره	преговарање
اشرف	ашраф
روده	црева
روده	колон
روده	црево
روده	цревата
روده	црева
باکتری	бактерии
باکتری	бактерија
باکتری	бактериите
انبوه	масовен
انبوه	групни
ویرایشگر	уредник
ویرایشگر	уредувач
متنوع	варира
متنوع	разновидни
فیزیولوژی	физиологија
اینتر	интер
شکم	желудник
شکم	стомак
شکم	стомакот
شکم	стомак
شکم	стомакот
مغولستان	монголија
نسبیت	релативност
سیزده	тринаесет
دهمین	десеттина
دهمین	десетти
دنی	дени
دنی	дани
رخداد	настан
رخداد	настанот
رخداد	појавување
رخداد	појава
توقیف	апсење
دالاس	далас
آئین	процедуралните
آئین	процедурална
آئین	процедурални
روشنایی	светлината
روشنایی	светол
روشنایی	светло
روشنایی	светлина
روشنایی	светлост
روشنایی	осветлување
روشنایی	леснотија
روشنایی	осветленост
لیلی	лили
قند	шеќер
استوارت	стјуарт
وام	позајмица
وام	заем
وزرای	министри
وزرای	министрите
ناگهانی	ненадејно
ناگهانی	одеднаш
ناگهانی	изненадно
تعامل	ангажман
تعامل	интеракција
تعامل	ангажираност
تعامل	веридба
تعامل	интеракција
پسوند	наставка
پسوند	наставка
پسوند	продолжение
پسوند	продолжување
آتشفشان	вулкан
آتشفشان	вулканот
پارامونت	најважна
آناتولی	анадолија
آناتولی	анатоли
آناتولی	анатолиј
آناتولی	анатолиј
گناه	крив
گناه	виновни
گناه	виновно
گناه	виновна
گناه	виновен
گناه	вина
گناه	вината
گناه	грев
گناه	sin
گناه	гревот
دهکده	село
دهکده	селски
بیگانه	вонземско
بیگانه	вонземјанин
بیگانه	вонземјани
بیگانه	вонземски
آتشفشانی	вулкански
آتشفشانی	вулканска
عروسی	венчавки
عروسی	свадби
عروسی	венчавка
عروسی	свадба
بانوان	дами
بانوان	дамите
برابری	еднаквост
برابری	рамноправност
طبقات	ката
طبقات	катови
کری	кери
اتوبوس	автобус
باتری	акумулатор
باتری	батерија
باتری	акумулатори
باتری	батерии
باتری	батериите
فلات	плато
سوزان	сузан
اصیل	благородник
اصیل	благородни
اصیل	благородно
اصیل	благородна
اصیل	благороден
اصیل	оригинал
مؤلف	композитор
مؤلف	автор
نقدی	кеш
نقدی	готовина
سانتوس	сантос
جلسات	состаноци
جلسات	седници
جلسات	сеанси
جلسات	сесии
جوش	вриење
جوش	врие
جوش	зоврие
جوش	осип
جوش	црвенило
مزایای	предности
مزایای	предности
علل	предизвикува
کوره	печка
رضایت	задоволство
رضایت	сатисфакција
رضایت	согласност
رضایت	согласноста
رضایت	задоволително
رضایت	задоволувачки
رضایت	задоволителен
رضایت	задоволителна
رضایت	содржина
رضایت	содржини
رضایت	задоволни
رضایت	задоволна
رضایت	задоволен
رضایت	задоволно
اوباما	обама
گرانش	гравитација
آیرس	ајрис
آیرس	ирис
آیرس	аирес
محروم	лишен
محروم	лишени
محروم	одземајќи
رساندن	пренесете
نشانگر	маркер
چراغ	светла
چراغ	ламба
چراغ	лампа
چراغ	ламбата
دومی	второ
دومی	втор
دومی	втори
دومی	втората
دومی	втора
بسیج	мобилизира
بسیج	мобилизирање
بسیج	мобилизираат
بسیج	мобилизација
چربی	дебела
چربی	дебели
چربی	масти
چربی	сало
چربی	дебел
مقاوم	отпорни
تزئینی	декоративни
خلیل	халил
خلیل	халил
ارتقاء	модернизација
ارتقاء	надградба
ارتقاء	надградба
ارتقاء	промовирањето
ارتقاء	промовирајќи
ارتقاء	промовирање
ارتقاء	промоцијата
ارتقاء	промоција
ارتقاء	промовирање
سندرم	синдром
پال	пол
پال	паул
پال	павле
برهان	расправање
برهان	аргумент
برهان	доказ
رفتاری	однесување
رفتاری	однесување
آمستردام	амстердам
سیمون	simon
سیمون	сајмон
سیمون	симон
میدهد	дава
کاپ	кап
کاپ	капа
کاپ	чашка
کاپ	куп
کاپ	шолја
کاپ	пехар
نکات	совети
ناوهای	носачи
ناوهای	превозници
ناوهای	носители
جملات	казни
جملات	реченици
جملات	пресуди
مسافران	патници
مسافران	патници
مسافران	патници
میلر	милер
لیلا	лајла
لیلا	лила
کارکرد	функција
حریف	душман
حریف	противник
حریف	противникот
حریف	противкандидат
حریف	противник
مردگان	мртво
مردگان	мртов
مردگان	мртви
مردگان	мртва
بوئنوس	буенос
تروریستی	терорист
تروریستی	терористички
تروریستی	терористот
تروریستی	терористичка
تروریستی	терористичко
کبد	џигер
متناسب	пристапни
متناسب	пропорционална
متناسب	пропорционален
متناسب	достојно
متناسب	водичка
متناسب	fit
شخصیتی	карактер
شخصیتی	личност
بمباران	бомбардирање
بمباران	бомбардирањето
بمباران	бомбардираа
بمباران	бомбардирање
ژانر	жанр
مشکوک	сомничав
مشکوک	сомнително
مشکوک	сомнителен
مشکوک	сомнителни
آلت	пенис
آلت	алт
اتریشی	австрискиот
اتریشی	австриски
اتریشی	австриска
اتریشی	австриско
کربلا	карбала
یوونتوس	јувентус
تنفسی	респираторни
سرقت	крадење
سرقت	кражба
سرقت	кражби
سرقت	грабежи
سرقت	грабеж
انحلال	распуштање
آفرینش	создавање
آفرینش	креирање
آفرینش	креација
مرمت	реставрацијата
مرمت	реставрација
وزیری	министер
وزیری	министерката
وزیری	министерка
تویوتا	тојота
پوستی	кожа
آجر	тули
آجر	цигли
آجر	тули
آجر	цигла
آجر	брик
آجر	тула
فانتزی	фантазија
رأس	теме
امضاء	потпишете
امضاء	знак
ناوگان	армада
ناوگان	флота
جبران	реституција
نوبت	сврти
پیچیدگی	комплексност
پیچیدگی	комплексноста
پیچیدگی	компликации
پیچیدگی	компликација
له	лех
له	лес
له	лах
تونل	тунел
افزون	вишок
کین	кејн
کلسیم	калциум
مهار	контрола
مهار	ctrl
نحو	синтакса
لژیون	легија
لژیون	легијата
وحشت	хорор
وحشت	ужас
شادی	радост
شادی	среќа
نت	нат
نت	нет
چهارده	четиринаесет
اعتباری	кредит
اعتباری	заслуга
برکلی	беркли
برکلی	беркли
ناپلئون	наполеон
عسل	мила
عسل	мед
عسل	душо
قید	ограничување
کیلو	килограм
کیلو	кило
رفاه	благосостојба
رفاه	просперитет
رفاه	благосостојба
همکاران	колегите
همکاران	колеги
پناهگاه	засолниште
پناهگاه	прибежиште
پناهگاه	засолниште
پناهگاه	светилиште
صفت	придавка
صفت	атрибут
صفت	важи
اوستا	авеста
مضمون	чита
جنین	ембрион
جنین	џанин
جنین	фетусот
جنین	фетус
دنیل	даниел
نازک	тенко
نازک	тенок
نازک	тенки
نازک	тенка
رفسنجانی	рафсанџани
بیابان	пустинска
بیابان	пустински
بیابان	пуст
بیابان	пустина
بیابان	пустината
فرانس	франс
فرانس	франс
فرانس	франција
حفاری	дупчење
حفاری	вежба
حفاری	ископување
حفاری	копање
کناری	странична
ارزشمند	вредно
ارزشمند	вредни
هدیه	подароци
هدیه	сегашност
هدیه	сегашна
هدیه	поклон
هدیه	присутни
هدیه	претстави
هدیه	подарок
هدیه	дар
هدیه	поклон
هدیه	подарок
اندروید	android
اندروید	андроид
آلبرتا	алберта
تاکستان	лозје
تاکستان	лозја
ذره	бит
ذره	честички
ذره	честичка
شوالیه	најт
شوالیه	витез
رویه	процедура
رویه	постапка
کانن	топ
کانن	топот
کانن	canon
کانن	топот
قصه	расказ
قصه	сторија
قصه	приказна
فلوید	флојд
مخاطب	публика
حکایت	басна
قورباغه	жаба
قورباغه	жабата
بومیان	абориџинска
اجسام	објекти
اجسام	предмети
ساوت	југ
ساوت	јужно
ساوت	јужна
صاف	мазна
صاف	мазно
مرطوب	влажна
مرطوب	влажно
مرطوب	мокра
مرطوب	влажна
مرطوب	влажни
مرطوب	влажен
پردازنده	процесор
ادرار	урина
ادرار	урината
ادرار	мочање
فقر	сиромаштија
رزیدنت	жител
بیروت	бејрут
ابهام	двосмисленост
دری	капија
دری	гејт
دری	порта
دری	дре
مهمان	посетител
مهمان	посетители
مهمان	гостинка
مهمان	гостински
مهمان	гостин
فارست	форест
فارست	шума
فارست	шумски
خالد	калед
خالد	калид
استعفا	отказ
استعفا	напушти
استعفا	оставка
استعفا	оставка
استعفا	оставка
شراب	вино
مناطقی	основ
مناطقی	основа
دراماتیک	драматичен
دراماتیک	драматично
دراماتیک	драматична
دراماتیک	драматични
گفتگوی	разговор
گفتگوی	конверзација
کاروان	караван
کاروان	конвој
کاروان	конвојот
نفوس	души
نفوس	душите
تکه	делче
تکه	парче
شهاب	метеор
شهاب	метеорски
امپراطوری	царство
امپراطوری	империја
امپراطوری	кралско
بادن	баден
شهروند	граѓанин
تثبیت	стабилизирање
تثبیت	стабилизација
تثبیت	стабилизираат
تثبیت	стабилизира
پاناما	панама
حیاتی	витална
حیاتی	витални
حیاتی	витално
حیاتی	критичен
حیاتی	критично
حیاتی	критична
حیاتی	критични
جری	џери
آرامی	арамејски
پترزبورگ	петербург
پترزبورگ	петерсбург
سلمان	салман
آنی	ани
آنی	ени
صادقی	чесен
صادقی	чесни
صادقی	искрени
صادقی	искрен
چالش	предизвици
چالش	предизвик
چالش	предизвикувачки
جاوا	јава
جاوا	java
تازگی	неодамна
فان	van
فان	комби
فان	ван
فان	комбе
الیاف	влакна
الیاف	влакно
الیاف	влакна
الیاف	влакна
فضانورد	астронаут
فضانورد	астронаути
جرمی	џереми
عضوی	членка
عضوی	член
دائم	постојано
دائم	константно
دائم	константна
دائم	константа
دائم	траен
دائم	трајна
دائم	трајно
دائم	постојана
دائم	постојан
مکرر	истраги
مکرر	чести
ریخته	пролеана
ریخته	истури
مرورگر	прегледувач
مرورگر	прелистувач
گرمای	топлина
گرمای	жештина
لوئی	луј
لوئی	луис
لوئی	луи
ابراهیمی	брахими
پرتغالی	португалски
کروز	круз
کروز	крстарење
سرب	води
سرب	трага
سرب	олово
سرب	водечки
سرب	водство
تعمیر	поправање
تعمیر	поправка
تعمیر	поправени
گنجایش	капацитет
فتحعلی	фатали
حدس	погодување
قریب	неизбежна
کویر	пустинска
کویر	пустински
کویر	пуст
کویر	пустина
کویر	пустината
ژرژ	жорж
پیست	реквизити
دهلی	делхи
تحسین	воодушевување
تحسین	восхит
رپ	рап
رپ	рапот
اردوگاه	камп
اردوگاه	кампот
اردوگاه	логор
اردوگاه	логори
اردوگاه	кампови
موبایل	мобилен
موبایل	мобилни
موبایل	мобиле
امان	безбедни
امان	безбедно
امان	безбедна
امان	безбеден
امان	аман
دوشنبه	душанбе
دوشنبه	понеделник
متوالی	последователни
متوالی	сериски
گالری	галерија
معنایی	семантичка
مسلم	муслимански
مسلم	муслиманско
مسلم	муслиманска
مسلم	муслиман
داماد	младоженец
داماد	младоженец
داماد	зетот
معده	желудник
معده	стомак
زنجیره	синџир
زنجیره	ланец
روحی	дух
دقیقا	точно
اخیراً	неодамна
خوشنویسی	цртањето
تالیف	компилација
جنایت	злосторство
جنایت	криминал
تشدید	резонанца
موثر	ефикасно
موثر	ефективно
موثر	импресивни
موثر	импресивна
موثر	впечатливо
موثر	импресивен
موثر	импресивно
موثر	ефективна
موثر	ефикасно
موثر	ефикасен
موثر	ефикасна
موثر	ефикасни
کودتا	удар
هلال	хилал
تلسکوپ	телескоп
گران	скапи
گران	скапо
گران	скап
گران	скапи
فرمانروایان	империи
فرمانروایان	владетели
هیپ	хип
هیپ	колк
غرق	дави
غرق	давење
غرق	удави
التهاب	воспаление
جنسیت	полови
جنسیت	пол
جنسیت	полот
جنسیت	секс
فرانسوا	франсоа
کارمند	вработен
کارمند	вработена
کارمند	службеничка
کارمند	службеник
کارمند	вработени
کارمند	вработените
کاشی	плочки
کاشی	плочка
جون	џоан
مدیا	медеја
طناب	јаже
دکترا	доктори
دکترا	лекари
بتا	бета
شانس	шанси
شانس	шанса
زغال	јаглен
زغال	јаглен
فرانکلین	франклин
فرانکلین	френклин
فرانکلین	franklin
لوک	лук
نامدار	именуван
نامدار	именувана
نامدار	именувани
نثر	проза
کارگری	труд
کارگری	работник
کارگری	работникот
کارگری	работничка
کارگری	труд
کارگری	работнички
کارگری	трудот
همشهری	граѓанин
پرادش	прадеш
سومالی	сомалија
عزل	разрешен
اسحاق	ајзак
اسحاق	ајзек
اسحاق	исак
کریسمس	божиќ
کریسمس	божик
کریسمس	крисмас
صدام	садам
دوستانه	пријателски
دوستانه	пријателска
نصف	пола
نصف	половина
نصف	половината
زین	зин
زین	седло
استعداد	таленти
استعداد	талент
استعداد	талентиран
استعداد	талентирани
استعداد	талентирана
شکارچی	ловец
شکارچی	хантер
مولکول	молекул
مولکول	молекули
ساکنین	жителите
ساکنین	жители
موضع	позиција
موضع	положба
ناگهان	ненадејно
ناگهان	одеднаш
ناگهان	наеднаш
آبشارهای	водопади
سیروس	кир
سیروس	сајрус
بامداد	сабајле
بامداد	утро
بامداد	утринска
بامداد	утринско
بامداد	утрински
ونکوور	ванкувер
تشریح	анатомија
سحابی	маглина
رانش	дрифт
رانش	колкови
رانش	колковите
هجدهم	eighteenth
شنیدن	слушне
شنیدن	слушнат
شنیدن	слушнете
شنیدن	слушам
شنیدن	слушнам
دلخواه	желби
دلخواه	произволни
هندو	хинду
نشسته	сат
نشسته	седна
نشسته	седел
نشسته	седеше
نشسته	седи
نشسته	седење
نشسته	седејќи
ایستاده	стои
ایستاده	стоечки
ایستاده	стојам
ایستاده	стоејќи
ایستاده	стоење
نبردهای	борби
نبردهای	битки
نبردهای	битките
درهم	хашиш
نادیده	игнорирајќи
نادیده	игнорирање
نوا	нева
نوا	ноа
نوا	ное
همکار	колега
همکار	партнер
همکار	партнерка
یونیکس	unix
سمفونی	симфонија
پرش	snap
پرش	скокни
پرش	скок
پرش	скокај
آکادمیک	академик
آکادمیک	академски
آکادمیک	академска
پکن	пекинг
چکسلواکی	чехословачка
کادر	кадар
کادر	кадер
زرشک	лажен
زرشک	фалсификат
زرشک	лажна
زرشک	лажни
زرشک	лажно
سیال	течност
نظرسنجی	анкета
نظرسنجی	истражување
نظرسنجی	анкета
ثبات	стабилност
ثبات	регистрираат
ثبات	регистар
ثبات	регистри
نظریات	теории
کول	кол
کول	кол
احیا	оживување
آدامز	адамс
لانگ	лонг
لانگ	долги
لانگ	долго
لانگ	долга
اژدها	змеј
مکس	max
مکس	макс
کریستال	кристална
کریستال	кристал
کریستال	кристален
یاران	жителите
یاران	жители
یاران	придружници
یاران	сопатници
اله	але
رنسانس	ренесанса
پتاسیم	калиум
متقابل	взаемна
متقابل	заеднички
متقابل	взаемно
محرک	стимул
محرک	провокативни
محرک	провокативна
جبر	алгебра
پودر	пудра
پودر	прав
پودر	прашок
پودر	барут
بحرانی	критичен
بحرانی	критично
بحرانی	критична
بحرانی	критични
بحرانی	криза
حمزه	хамза
ایدز	сида
ایدز	хив
سنا	сенат
سنا	сенатот
سنا	сена
سنا	сена
پراگ	прага
خوراک	храна
خوراک	јадење
سوسیال	социјална
سوسیال	социјално
سوسیال	општествени
نگران	загрижен
نگران	загрижена
نگران	засегнати
نگران	загрижени
نگران	загрижено
نگران	загрижен
نگران	загрижена
نگران	загрижени
جامائیکا	јамајка
جامائیکا	јамајканскиот
طاها	таха
گمشده	исчезнати
گمشده	исчезнато
گمشده	исчезната
گمشده	недостасува
گمشده	фали
گمشده	исчезнат
بانو	мадам
بانو	госпоѓа
بانو	дама
بانو	лејди
بانو	ца
بانو	госпоѓица
بانو	miss
بانو	мис
مطلع	информирани
مطلع	информиран
والت	волт
فیزیکدان	физичар
چهارشنبه	среда
اندی	енди
اندی	анди
سنجاب	верверица
سنجاب	верверичка
نمایان	видливо
نمایان	видлива
نمایان	видлив
نمایان	видливи
کنستانتین	константин
برداشتن	одбери
لوگو	лого
لوگو	логото
لوگو	луго
کشیش	свештеник
کشیش	свештеникот
آرایش	шминка
پانک	панк
استراتژیک	стратешко
استراتژیک	стратешка
استراتژیک	стратешки
استراتژیک	стратегиски
لودویگ	лудвиг
تای	тајландски
تای	тајландска
تای	таи
تای	тај
برآورده	исполнувањето
برآورده	исполнува
برآورده	исполнувајќи
هریک	секоја
تعطیلات	одмор
تعطیلات	одмори
تعطیلات	празници
لیبرال	либерална
لیبرال	либерални
لیبرال	либерален
لیبرال	либерално
سلامتی	здравје
تصویربرداری	имиџинг
انتقادی	критичен
انتقادی	критично
انتقادی	критична
انتقادی	критични
مالت	малтешки
مالت	малта
فیلادلفیا	филаделфија
فیلادلفیا	фили
فیلادلفیا	филаделфија
طالبان	талибанците
خیانت	предавството
خیانت	предавство
خیانت	предавство
کلان	клан
کر	кер
کر	kor
کر	глув
کر	глува
کر	глуви
کر	кар
لبه	раб
لبه	edge
لبه	острина
لبه	граница
نامشخص	нејасно
نامشخص	неименувани
نامشخص	неопределен
نامشخص	фази
نامشخص	неопределено
کوسه	ајкула
اقلیت	малцински
اقلیت	малцинство
تلخ	горка
تلخ	горки
تلخ	горчлив
تلخ	жестоки
رنو	рено
رنو	рино
رنو	рено
سیل	поплави
سیل	поплава
سیل	изливот
سیل	sil
آموخت	научено
آموخت	учени
آموخت	научени
آموخت	учеше
بان	забрани
بان	забрана
بان	бан
تأسیسات	објекти
تأسیسات	капацитети
تأسیسات	установи
آزمایشگاهی	лабораторија
نگاری	новинарство
استکهلم	стокхолм
فوقانی	горна
فوقانی	горен
پله	скалите
پله	скали
پله	скалила
فریاد	извикуваат
فریاد	викај
جلوه	ефект
سکس	секс
وورتمبرگ	виртемберг
پاشا	паша
نوزاد	новороденче
نوزاد	новороденчињата
ولف	волф
ولف	волк
شفافیت	фолија
شفافیت	транспарентноста
شفافیت	транспарентност
انار	калинка
سرای	saray
گابریل	габриел
گابریل	гаврил
گابریل	габриел
گابریل	габриела
کلر	клер
کلر	клер
امری	емери
مذاهب	религии
مذاهب	религиите
مذاهب	назив
شکوه	слава
رسوم	бонтон
رسوم	традиции
رسوم	традициите
هردو	двајцата
عرفانی	мистичен
بز	коза
بز	козата
بز	кози
بز	козите
سفرهای	патувања
مشاوره	советување
مشاوره	консалтинг
مشاوره	консултации
مشاوره	консултација
مشاوره	консултации
مشاوره	консултираат
مشاوره	консултира
منحنی	крива
تئودور	теодор
اولویت	приоритетни
اولویت	приоритет
