gloria	gloria
kasvatatud	crescut
bluetooth	bluetooth
järsk	abrupte
järsk	abrupta
järsk	abrupt
pomm	bomba
pomm	bomba
automaatne	auto
automaatne	automata
automaatne	automatic
automaatne	automate
automaatne	automat
vaene	saracul
vaene	saraci
vaene	saraca
pseudonüüm	pseudonim
loomaarst	veterinar
loomaarst	veterinar
pidamine	pastrarea
parandamine	imbunatatirea
parandamine	reparatii
parandamine	reparare
parandamine	repara
parandamine	repararea
parandamine	reparatii
parandamine	corectie
parandamine	corectarea
parandamine	corectare
parandamine	rectificare
parandamine	imbunatatiri
parandamine	ameliorare
parandamine	imbunatatire
eile	ieri
popper	popper
hella	hella
volta	volta
polüneesia	polinezian
polüneesia	polinezia
tagumine	spate
rikkumine	incalcare
rikkumine	incalcare
rikkumine	incalcarea
rikkumine	violare
enrique	enrique
tamara	tamara
rob	rob
tln	tln
basel	basel
lamp	lampa
lamp	lampa
seisu	clasament
seisu	clasamentul
võistleja	concurent
võistleja	concurenta
võistleja	concurentul
betty	betty
kullast	auriu
kullast	aur
kullast	gold
kullast	aurul
ellis	ellis
institutsioon	institutie
institutsioon	institutie
lint	banda
lint	banda
lint	caseta
sissepääs	intrarea
sissepääs	intrare
sõrmuse	ring
sõrmuse	inelul
sõrmuse	inel
pilvede	nori
pilvede	norilor
pilvede	norii
hurda	greyhound
vilistlased	alumni
philips	philips
preestrid	preoti
preestrid	popii
preestrid	preotii
jälgimine	urmarire
jälgimine	urmarire
jälgimine	urmarirea
jälgimine	monitorizarea
jälgimine	monitorizare
väärtuslik	valoroase
väärtuslik	valoroasa
väärtuslik	valoroasa
väärtuslik	valoros
ebaselge	neclare
ebaselge	neclar
ebaselge	neclara
teaduslikud	stiintifica
teaduslikud	stiintific
teaduslikud	stiintific
aruba	aruba
argumendi	argumentul
argumendi	argument
konkurents	competitie
konkurents	concurs
konkurents	concurenta
konkurents	concurenta
kurjategija	infractor
kurjategija	infractor
kurjategija	criminala
kurjategija	criminal
kurjategija	penal
kurjategija	infractor
teemant	diamond
teemant	diamantul
teemant	diamant
laava	lava
laava	lava
kaitsjad	aparatori
kaitsjad	aparatorii
kaitsjad	aparatorilor
kaitsjad	protectorii
kaitsjad	gardienii
kaitsjad	gardieni
argumendid	argumentele
argumendid	certuri
argumendid	argumente
asjaolud	imprejurari
asjaolud	circumstantele
asjaolud	circumstante
regioonide	cor
nordisk	nordisk
türklased	turcii
türklased	turci
türklased	turcilor
vask	cupru
theodore	theodore
theodore	teodor
theodore	theodor
alpes	alpes
unistus	visul
unistus	vis
unistus	viseaza
unistus	viseaza
järeldus	concluzii
järeldus	concluzia
järeldus	concluzie
kvartalis	trimestriale
kvartalis	trimestrial
konsultant	consultant
konsultant	consultantul
konstruktsioon	constructii
konstruktsioon	constructie
konstruktsioon	constructie
konstruktsioon	constructii
ilona	ilona
kattub	suprapuneri
kattub	suprapunere
soovitab	recomanda
soovitab	sugereaza
platoo	platou
platoo	platoul
córdoba	córdoba
malmö	malmö
chuck	chuck
lambert	lambert
silvio	silvio
dialoogi	dialogul
dialoogi	dialog
dialoogi	dialoguri
dialoogi	dialog
süüdistuse	acuzare
süüdistuse	acuzarea
vaz	vaz
kristian	kristian
ramón	ramon
seinad	pereti
seinad	pereti
seinad	ziduri
uss	viermele
uss	vierme
ümmargune	rotund
ümmargune	rotunde
ümmargune	runda
ümmargune	rotunda
ümmargune	runda
next	urmatorul
next	urmatorul
next	urmator
next	urmatoarea
ravida	vindeca
ravida	vindeca
katki	stricat
katki	rupt
katki	spart
katki	rupte
taktika	tactica
taktika	tactica
taktika	tactici
taktika	tactica
taktika	tactica
takistuse	obstacole
takistuse	obstacol
skandaali	scandalul
skandaali	scandal
amadeus	amadeus
teenus	serviciu
teenus	serviciul
teenus	service
teenus	servicii
vedel	lichide
vedel	lichid
vedel	lichida
partner	partenere
partner	partenera
partner	partenerul
partner	partener
partner	asociat
partner	asociaza
partner	asociata
alalise	permanente
alalise	permanent
alalise	permanenta
alalise	permanenta
namiibia	namibia
lõhn	miros
lõhn	miroase
lõhn	parfum
zeit	zeit
seadusandlik	legislativ
seadusandlik	legislative
seadusandlik	legislativa
seadusandlik	legislatura
pruunid	caprui
pruunid	brown
pruunid	maro
pruunid	browns
etnoloog	etnolog
allutatud	subordonat
allutatud	subordonate
allutatud	subordonata
allutatud	subordonat
allutatud	subordonata
allutatud	subordonate
cia	cia
cia	cia
cia	cla
saarlased	insulari
algebra	algebra
algebra	algebra
vastastikune	mutual
vastastikune	reciproc
vastastikune	reciproca
vastastikune	reciproce
vastastikune	reciproce
armand	armand
bakuu	baku
läbiviidud	efectuat
tag	eticheta
tag	eticheta
tag	eticheteaza
tag	tag
tag	marcaj
ostsid	cumparat
ostsid	cumparata
ostsid	cumparat
ostsid	cumparate
vabanenud	lansat
vabanenud	eliberat
vabanenud	eliberata
nupp	nasture
nupp	buton
nupp	button
nupp	butonul
annie	annie
kotzebue	kotzebue
reich	reich
sisend	intrare
tadžikistani	tadjikistan
hillary	hillary
harvard	harvard
jyväskylä	jyväskylä
dong	dong
luige	lebada
luige	swan
luige	lebada
neljakordne	cvadruplu
areneda	evolueze
areneda	evolueaza
istanbuli	istanbul
kalevala	kalevala
kübar	palarie
kübar	hat
kübar	palarie
kübar	palaria
peatub	opreste
lao	lao
plaane	planurile
plaane	planuri
libeeria	liberia
libeeria	liberian
lõigu	segmentul
lõigu	segment
monarh	monarh
palka	angajeaza
palka	angajeaza
palka	angaja
palka	angajez
palka	inchiriere
puutumata	neatins
puutumata	neatinsa
luna	luna
ehitaja	constructorul
ehitaja	constructor
heidelbergi	heidelberg
hollywoodi	hollywood
lilla	purpuriu
lilla	mov
lilla	violet
publik	audienta
publik	audienta
publik	multimea
publik	multime
publik	multime
kaovad	dispar
laupäeval	sambata
laupäeval	sambata
laupäeval	sambata
laupäeval	sambata
lahendamine	rezolutia
lahendamine	rezolutie
fin	fin
kaevatud	sapat
acer	acer
lööb	hituri
lööb	loveste
lööb	bate
vastavusse	aliniaza
vastavusse	alinia
vastavusse	aliniere
rubens	rubens
tugevdada	consolida
tugevdada	consolideaza
algoritm	algoritmul
algoritm	algoritm
populatsioon	populatia
populatsioon	populatie
populatsioon	populatia
alias	alias
identne	identice
identne	identic
identne	identica
hero	erou
hero	hero
hero	eroul
grupis	grupa
grupis	grup
grupis	grupul
grupis	grupa
indutseeritud	indusa
indutseeritud	indus
indutseeritud	induse
baikali	baikal
kepler	kepler
mõrv	omucideri
mõrv	omucidere
mõrv	crima
mõrv	crima
ahvenamaa	åland
filtri	filtru
filtri	filtrare
filtri	filtreaza
filtri	filtrul
esivanemad	stramosii
vahendatud	intermediat
veenis	convins
pass	pasaport
õuna	mar
õuna	mere
õuna	mar
õuna	apple
jenny	jenny
umberto	umberto
henryk	henryk
kentucky	kentucky
pilved	nori
pilved	norilor
pilved	norii
pilved	cloud
pilved	nor
mer	mer
lipnik	sublocotenent
lipnik	ensign
padova	padova
franki	frank
tähendusi	sensuri
osaleja	participantul
osaleja	participant
õlu	bere
õlu	berea
paratamatu	inevitabile
paratamatu	inevitabila
paratamatu	inevitabilul
paratamatu	inevitabil
reklaam	comerciale
reklaam	comercial
reklaam	reclama
reklaam	comerciala
reklaam	publicitatea
reklaam	reclama
reklaam	publicitate
selma	selma
adelaide	adelaide
romana	romana
kogemused	experiente
kogemused	experiente
kogemused	experienta
kogemused	experienta
kogemused	experienta
tagurpidi	invers
tagurpidi	inversa
tagurpidi	inversa
tagurpidi	invers
tagurpidi	inverseaza
tagurpidi	reverse
ümar	rotunjite
ümar	rotunjit
ümar	rotund
ümar	rotunde
ümar	runda
ümar	rotunda
ümar	runda
genfis	geneva
kuulas	ascultat
vaatluse	observare
vaatluse	observatie
aspekti	aspect
sünagoog	sinagoga
kolmnurk	triunghi
kolmnurk	triunghiul
lõksu	capcana
lõksu	trap
lõksu	capcana
regulaarne	regulata
regulaarne	regulate
regulaarne	regulat
regulaarne	obisnuit
sümmeetria	simetrie
paleontoloog	paleontolog
teadust	stiinte
teadust	stiinta
teadust	stiinta
stig	stig
edith	edith
aspektid	aspecte
hahn	hahn
organisatsioone	organizatii
organisatsioone	organizatii
organisatsioone	organizatiile
organisatsioone	organizatii
positiivsed	pozitiv
positiivsed	pozitiva
positiivsed	pozitive
dostojevski	dostoievski
valgevenelased	belarusi
tsitaat	cita
tsitaat	citez
tsitaat	citat
tsitaat	citatul
liepāja	liepāja
valdkonnad	arii
valdkonnad	domenii
valdkonnad	zonele
valdkonnad	zone
pearl	pearl
pearl	perla
pearl	perla
viasat	viasat
joonas	iona
joonas	jonah
silmapaistev	restante
silmapaistev	remarcabil
liitumine	fuziune
liitumine	fuziunea
ohutu	inofensiva
ohutu	inofensiv
ohutu	inofensive
iraak	irak
iraak	iraq
iraak	irakul
györgy	györgy
bissau	bissau
janet	janet
viktoria	viktoria
legendaarne	legendar
legendaarne	legendara
legendaarne	legendara
legendaarne	legendarul
rudolph	rudolph
rudolph	rudolf
petra	petra
motors	motors
motors	motoare
brad	brad
kubrick	kubrick
ühendused	legaturi
ühendused	conexiuni
ühendused	asociatii
ühendused	asocieri
ühendused	asociatii
ühendused	interconexiuni
kaksikud	gemini
kaksikud	gemene
kaksikud	gemenele
kaksikud	gemenii
kaksikud	gemeni
mängitud	jucate
mängitud	jucat
seisnes	constat
monroe	monroe
tuuled	vanturi
tuuled	vanturile
kitsad	inguste
kitsad	ingusta
kitsad	restrange
kitsad	ingust
eeliseid	avantajele
eeliseid	avantaje
selgitab	explica
omanduses	detinuta
häiritud	perturbat
häiritud	deranjat
nathan	nathan
liiklus	trafic
liiklus	traficul
nicola	nicola
müüt	mituri
müüt	mitul
müüt	mit
leben	leben
rääkinud	vorbit
rääkinud	vorbite
rääkinud	vorbita
mosambiigi	mozambic
mõõdukas	moderate
mõõdukas	moderata
mõõdukas	moderat
renate	renate
sforza	sforza
konteksti	context
konteksti	contextul
kihid	straturi
pühakute	sfinti
pühakute	sfinti
pühakute	sfintii
kama	kama
toledo	toledo
plii	plumbul
plii	plumb
tais	tailanda
tais	thailanda
liivakivi	gresie
laused	frazele
laused	fraze
laused	expresii
sarnasus	asemanare
sarnasus	asemanare
sarnasus	similitudine
palavik	febra
palavik	febra
sanders	sanders
vallandati	concediata
vallandati	concediat
hääldatakse	pronuntat
hääldatakse	pronuntat
patareid	bateriile
patareid	baterii
ohver	victima
ohver	victima
tycho	tycho
kiirabi	ambulanta
raúl	raúl
hääletus	vot
hääletus	votez
hääletus	voteaza
hääletus	votati
hääletus	votez
hääletus	votare
hääletus	votul
hääletus	votarea
marcello	marcello
vastupidav	durabile
vastupidav	durabila
vastupidav	durabil
vastupidav	rezistent
tähevärav	stargate
pereira	pereira
säde	scanteia
säde	scanteie
toni	toni
varade	active
varade	activele
reuters	reuters
aianduse	horticultura
tantsud	dansuri
cannes	cannes
dieter	dieter
larissa	larisa
larissa	larissa
pane	pune
pane	pus
isiksus	personalitate
isiksus	personalitatea
olendid	fiinte
olendid	fiinte
olendid	creaturile
olendid	creaturi
kanalid	canalele
kanalid	canale
kanalid	canal
kanalid	canalul
kanalid	channel
põletatud	arse
põletatud	ars
põletatud	arsa
põletatud	arse
põletatud	ars
põletatud	arsa
smirnov	smirnov
kontaktid	contacte
kontaktid	contactele
korteris	apartamentul
korteris	apartament
suremus	mortalitate
suremus	mortalitatea
juhend	ghid
juhend	ghidul
juhend	instructiunile
juhend	instructiuni
juhend	instructiuni
moe	moe
usbekistani	uzbekistan
osce	osce
pankur	bancher
pankur	bancherul
claire	claire
stefano	stefano
kana	gaina
kana	pui
kana	gaina
kana	gaina
kana	gaina
täitmine	executarea
täitmine	executare
täitmine	umplutura
täitmine	umplere
täitmine	executie
täitmine	executare
täitmine	executie
täitmine	executarea
koopad	pesteri
nebraska	nebraska
keeld	ban
keeld	interzicere
keeld	interdictie
keeld	interdictia
keeld	interzicerea
keeld	interdictie
täiendavad	suplimentare
täiendavad	suplimentar
hart	hart
komplekt	setata
komplekt	stabileste
komplekt	set
komplekt	seteaza
komplekt	setat
komplekt	kit
alfons	alfons
qui	qui
kolju	craniu
kolju	skull
kolju	craniul
pms	pms
kadusid	disparut
abdul	abdul
winston	winston
alabama	alabama
arendaja	dezvoltator
mõneti	oarecum
löök	sufla
löök	sufla
löök	percutie
löök	strike
löök	greva
löök	greva
tundsid	simtit
tundsid	simtit
fbi	fbi
pzkpfw	panzer
bismarck	bismarck
uks	usa
uks	usa
uks	usa
uks	usa
wells	fantani
wells	wells
athena	athena
leiutatud	inventate
leiutatud	inventat
kõrva	urechea
kõrva	ureche
pippin	pippin
liikumised	miscari
liikumised	miscari
vietnam	vietnam
vietnam	vietnamul
veronica	veronica
rahaühik	valuta
rahaühik	moneda
rahaühik	moneda
greg	greg
auru	aburi
auru	abur
auru	vapori
alto	alto
que	que
houston	houston
kukub	cade
kukub	falls
pannoonia	panonica
ibrahim	ibrahim
küpros	ciprul
küpros	cipru
galaktikate	galaxiile
galaktikate	galaxii
pealkirjad	titluri
pealkirjad	titluri
pealkirjad	titlurile
illüüria	ilire
kõrvad	urechi
kõrvad	urechile
luisa	luisa
atlantis	atlantida
atlantis	atlantis
louisiana	louisiana
fauna	fauna
göteborgis	göteborg
laos	laos
vabrik	fabrica
vabrik	fabrica
kloostrid	manastiri
mathias	mathias
sõiduki	vehiculul
sõiduki	vehicul
mehhanismid	mecanismele
mehhanismid	mecanisme
kehti	aplica
kehti	aplica
paaris	perechi
ash	ash
ash	cenusa
mauritiuse	mauritius
raport	raport
raport	raportul
raport	raporteaza
süüdistatud	acuzat
süüdistatud	acuzata
pavia	pavia
vie	vie
nõudlus	cererea
nõudlus	cerere
erapooletu	neutru
erapooletu	neutre
erapooletu	neutra
balthasar	balthasar
gotha	gotha
duke	duce
duke	ducele
duke	duke
juut	evreica
juut	evreu
juut	evreiesc
juut	evreu
lahendused	solutii
lahendused	solutii
laulda	canta
laulda	canta
laulda	canta
planeerimine	planificare
planeerimine	planificarea
cesare	cesare
ameeriklased	americanilor
ameeriklased	americanii
ameeriklased	americani
tehnoloogiad	tehnologiile
tehnoloogiad	tehnologii
diktatuuri	dictatura
diktatuuri	dictatura
mercia	mercia
okt	oct
louvre	luvru
kuude	lunile
kuude	luni
ministrid	ministri
ministrid	ministrii
kümned	zeci
kümned	zeci
kümned	duzini
racing	curse
solanum	solanum
kent	kent
tudengid	studenti
tudengid	elevi
tudengid	studenti
tudengid	elevii
quintus	quintus
karvane	paroasa
karvane	paros
ülevõtmine	transpunere
ülevõtmine	transpunerea
ülevõtmine	preluare
ülevõtmine	preluarea
piirkondlikud	regional
piirkondlikud	regionala
piirkondlikud	regionale
kristo	kristo
windsor	windsor
ari	ari
hondurase	honduras
sõnastik	glosar
sõnastik	dictionar
teravilja	cereale
hädavajalik	indispensabil
hädavajalik	indispensabila
hädavajalik	indispensabile
hädavajalik	esentiala
hädavajalik	esentiale
hädavajalik	esential
hädavajalik	esential
kristin	kristin
martino	martino
keerukas	complexe
keerukas	complex
keerukas	complexul
keerukas	complexa
põrgu	iadul
põrgu	iad
lucca	lucca
laboratooriumi	laboratorul
laboratooriumi	laborator
eranditult	exclusiv
hms	hms
kollektsioon	colectie
kollektsioon	colectie
kollektsioon	colectia
kollektsioon	colectie
kollektsioon	colectare
kollektsioon	colectia
spordiala	sport
spordiala	sportul
toetaja	contribuitor
toetaja	colaborator
toetaja	suporter
moto	motto
moto	moto
bradley	bradley
dünamo	dinamo
porta	porta
hamiltoni	hamilton
lõpetamine	completarea
lõpetamine	finalizarea
lõpetamine	finalizare
lõpetamine	completare
lõpetamine	inchidere
lõpetamine	incheiere
lõpetamine	inchiderea
lõpetamine	absolvirea
lõpetamine	absolvire
lõpetamine	incetarea
como	como
potentsiaal	potential
potentsiaal	potentialul
potentsiaal	potential
faso	faso
klient	clientul
klient	client
klient	clientul
klient	client
edastamine	transmitere
edastamine	transmisie
edastamine	transmiterea
edastamine	transmisiune
skt	pib
gibson	gibson
fanny	fanny
webber	webber
sajad	sute
pakistan	pakistan
pakistan	pakistanul
dis	dis
clement	clement
amor	amor
ühtlane	uniforma
ühtlane	uniforma
ühtlane	uniforme
ühtlane	uniform
poodi	shop
poodi	magazin
poodi	cumparaturi
poodi	shopping
poodi	cumparaturile
poodi	magazin
poodi	magazinul
poodi	store
poodi	stocheaza
lazio	lazio
lazio	lazlo
birger	birger
seks	sexul
seks	sex
renoveeritud	renovat
renoveeritud	renovat
lausanne	lausanne
stabiilsus	stabilitate
stabiilsus	stabilitatea
tausta	fundal
tausta	fundalul
reaalsus	realitate
reaalsus	realitatea
evolutsioon	evolutia
evolutsioon	evolutie
evolutsioon	evolutia
evolutsioon	evolutia
metaani	metan
tõmbas	tras
konfliktid	conflictele
konfliktid	conflicte
konfliktid	conflictul
konfliktid	conflicte
konfliktid	conflict
signaalid	semnale
signaalid	semnalele
julien	julien
phelps	phelps
junior	junior
junior	juniori
phd	doctorat
sõjalised	militari
sõjalised	armata
sõjalised	militara
sõjalised	militar
salvatore	salvatore
süüdistus	acuzare
airbus	airbus
setted	sedimente
uraan	uraniu
uraan	uranus
bussi	bus
bussi	autocar
bussi	autobuz
bussi	autobuzul
süstemaatiliselt	sistematic
maadlus	wrestling
maadlus	lupte
karol	karol
piibel	biblia
piibel	biblie
bryan	bryan
borussia	borussia
dee	dee
palk	salariu
palk	salariul
palk	salar
palk	salariile
palk	salarii
kosmonaut	cosmonaut
graf	graf
riba	benzi
sojuz	soyuz
õlut	bere
õlut	berea
hüljatud	abandonat
hüljatud	abandonata
hüljatud	abandonate
hüljatud	abandonata
kavatsusest	intentie
kavatsusest	intentia
kavatsusest	intentie
beyond	dincolo
levin	levin
pingeid	tensiuni
pingeid	tensiune
pingeid	tensiunea
pingeid	tensiuni
pingeid	tensiunile
nacional	nacional
vahekord	coitus
tolly	tolly
warner	warner
failid	fisiere
failid	fisiere
failid	dosare
tõlgendus	interpretarea
tõlgendus	interpretare
proosa	proza
mõistmine	intelegerea
mõistmine	intelegere
mõistmine	intelegere
gustave	gustave
kuraator	curator
viiulit	vioara
viiulit	vioara
metsik	wild
metsik	salbatic
metsik	salbatica
metsik	salbatic
metsik	salbatice
aacheni	aachen
streik	strike
streik	greva
streik	greva
karistada	pedepsi
kalli	imbratisare
vangid	prizonierii
vangid	prizonieri
sami	sami
määratleb	defineste
vaatlused	anchete
vaatlused	observatii
tunnustus	recunoasterea
tunnustus	recunoastere
tunnustus	recunoastere
martha	martha
kara	kara
diagnostika	diagnosticare
diagnostika	diagnostic
diagnostika	diagnosticare
diagnostika	diagnostice
cpu	procesor
cpu	cpu
füüsilised	fizice
füüsilised	fizica
füüsilised	fizic
efektiivselt	efectiv
peer	peer
meeleavaldajate	protestatarii
meeleavaldajate	protestatari
crystal	cristalul
crystal	cristal
crystal	cristale
crystal	crystal
ustav	loiala
ustav	loial
ustav	loiali
ustav	loiale
madalmaad	olanda
münsteri	münster
kubernerkond	guvernoratul
lahutatud	deconectat
lahutatud	divortat
lahutatud	divortat
vanuatu	vanuatu
hollywood	hollywood
sobilik	adecvata
sobilik	corespunzatoare
sobilik	corespunzator
sobilik	adecvat
sobilik	adecvata
sobilik	adecvate
sobilik	adecvat
neeru	renale
neeru	renala
neeru	renal
neeru	rinichiul
neeru	rinichi
lilian	lillian
lilian	lilian
mendelssohn	mendelssohn
falcon	falcon
kremli	kremlin
ühinevad	aderente
gmbh	gmbh
alkohol	alcool
alkohol	alcoolul
kristen	kristen
holokausti	holocaustului
holokausti	holocaust
hinged	balamale
hinged	sufletele
hinged	suflete
hinged	spirite
hinged	spiritele
hinged	spiritelor
paigutus	plasare
paigutus	plasarea
paigutus	layout
paigutus	aranjament
paigutus	aranjamentul
paigutus	aranjament
kinnitamine	confirmand
kinnitamine	validarea
kinnitamine	validare
veinid	vinuri
veinid	vinurile
veinid	vinul
veinid	vin
botswana	botswana
temperatuurid	temperaturi
temperatuurid	temperaturile
günter	günter
jumalik	divine
jumalik	divina
jumalik	divin
jumalik	divina
relvastuse	armamentul
relvastuse	armament
relvastuse	armamentul
relvastuse	armament
aneemia	anemie
aneemia	anemia
aneemia	anemie
arch	arch
suurendamine	creste
suurendamine	crestere
suurendamine	augmentare
freeman	freeman
jõude	inactiv
uni	dormi
uni	somn
uni	uni
alfredo	alfredo
vältimatu	inevitabile
vältimatu	inevitabil
vältimatu	inevitabile
vältimatu	inevitabila
vältimatu	inevitabilul
vältimatu	inevitabil
kehad	organisme
kehad	corpuri
kehad	trupuri
kehad	cadavre
sol	sol
monica	monica
str	str
armastan	iubire
armastan	iubesc
armastan	iubirea
armastan	dragoste
armastan	dragostea
kartaago	cartagina
alta	alta
epideemia	epidemii
epideemia	epidemie
epideemia	epidemia
epideemia	epidemii
telekommunikatsiooni	telecomunicatii
telekommunikatsiooni	telecomunicatii
kink	cadou
kink	cadoul
tooli	fotoliu
tooli	scaun
pood	shop
pood	magazin
pood	magazin
pood	magazinul
pood	store
pood	stocheaza
subjektiivne	subiectiv
sonja	sonja
kahjustused	leziuni
kahjustused	daune
kahjustused	pagube
kahjustused	avarii
kahjustused	stricaciuni
soojus	caldura
soojus	heat
soojus	caldura
soojus	caldura
soojus	caldura
soojus	caldura
soojus	caldura
grove	grove
hara	hara
marche	marche
sark	sark
trumm	toba
trumm	toba
trumm	tambur
juhatab	piste
sõdu	razboaiele
sõdu	razboaie
sõdu	razboaie
puudega	dezactivate
puudega	dezactivata
puudega	dezactivat
puudega	handicapat
tamili	tamil
ruttu	repede
ruttu	rapid
ruttu	repede
registreerida	registru
registreerida	inregistreaza
registreerida	inregistrare
sõrme	deget
sõrme	degetul
gertrude	gertrude
tagasihoidlik	modesta
tagasihoidlik	modest
tagasihoidlik	modesta
tagasihoidlik	modeste
tagasihoidlik	modest
tagasihoidlik	umila
tagasihoidlik	umil
tagasihoidlik	umila
lena	lena
lena	lenei
järjekindlalt	consistent
järjekindlalt	consecvent
nano	nano
mitteametlikult	neoficial
mitteametlikult	informal
nhl	nhl
toetamine	sprijinirea
toetamine	suport
toetamine	sprijin
toetamine	sprijinul
intensiivne	intensive
intensiivne	intensiv
intensiivne	intensa
intensiivne	intens
intensiivne	intense
intensiivne	intensa
lahustub	solubil
pankrotti	falimentat
pankrotti	faliment
avignon	avignon
ergo	ergo
helid	sunetele
helid	sunete
šiauliai	šiauliai
täiskogu	plen
täiskogu	plenara
teadaolevad	cunoscut
teadaolevad	cunoscuta
teadaolevad	cunoscute
ettepoole	inainte
ettepoole	inainte
cash	cash
cash	numerar
jose	jose
peavalu	cefalee
jerome	jerome
beatrice	beatrice
bogdan	bogdan
sülearvuti	laptop
sülearvuti	laptopul
teatanud	raportat
teatanud	raportata
teatanud	raportate
vastuseid	raspunsuri
vastuseid	raspunsuri
vastuseid	raspunsurile
renessanss	renascentist
saag	vazut
saag	fierastrau
saag	ferastrau
kael	gat
kael	gat
kael	gatul
progress	progresul
progress	progres
progress	progresele
progress	progress
progress	progrese
richter	richter
sooritatud	efectuat
uskuma	crede
mitmuses	plural
tolmu	praful
tolmu	praf
ettevalmistamine	pregatiri
ettevalmistamine	preparat
ettevalmistamine	pregatire
ettevalmistamine	pregatire
ettevalmistamine	pregatirea
ettevalmistamine	pregatirea
spetsiifilised	specific
spetsiifilised	specifica
spetsiifilised	specifice
steiner	steiner
marius	marius
eksperimentaalne	experimentala
eksperimentaalne	experimentale
eksperimentaalne	experimental
fsb	fsb
sokid	ciorapi
jupiter	jupiter
earl	earl
tööandja	angajator
tööandja	angajatorului
tööandja	angajatorul
kahjulik	nocive
kahjulik	nociv
kahjulik	daunatoare
kahjulik	daunator
kahjulik	daunatoare
hjalmar	hjalmar
allikat	sursa
allikat	sursa
hiline	tarziu
hiline	intarziat
hiline	tarziu
vaidluse	disputa
vaidluse	contesta
vaidluse	disputa
vaidluse	litigiu
lou	lou
foster	foster
hiroshima	hiroshima
dokumenteeritud	documentate
dokumenteeritud	documentata
dokumenteeritud	documentat
beiträge	beiträge
toro	toro
üritused	evenimentele
üritused	evenimente
gemini	gemini
kohtunikud	judecatorilor
kohtunikud	judecatorii
kohtunikud	judecatori
paralleelne	paralel
paralleelne	paralela
paralleelne	paralele
paralleelne	paralela
pauline	pauline
alpha	alpha
alpha	alfa
teraapia	terapie
teraapia	terapia
tiberius	tiberius
fraas	fraza
fraas	fraza
jamie	jamie
autobiograafia	autobiografia
lauter	lauter
antropoloogia	antropologie
bailey	bailey
tadžiki	tadjic
siluri	depanator
sébastien	sébastien
katherine	katherine
machiavelli	machiavelli
sylvia	sylvia
sylvia	silvia
vologda	vologda
kirjeldused	descrierile
kirjeldused	descrieri
kits	capra
kits	capra
tuberkuloos	tuberculoza
tuberkuloos	tuberculoza
prunus	prunus
staadium	etapa
staadium	etapa
staadium	stadiul
jeltsin	eltin
juliana	juliana
proov	esantionul
proov	mostra
proov	proba
proov	esantion
proov	proba
roosevelt	roosevelt
lionel	lionel
terminal	terminal
terminal	terminalul
terminal	terminale
väljakutse	provocare
väljakutse	provocarea
väljakutse	provocator
väljakutse	provocatoare
eisen	eisen
palace	palatul
palace	palat
palace	palace
bernd	bernd
vall	vall
üleandmine	transfer
üleandmine	transferul
üleandmine	transfera
mia	mia
hindu	hindus
ace	ace
ace	asul
eritrea	eritreea
kirjalik	scrisa
kirjalik	scris
kirjalik	scrise
kirjalik	scrisa
gertrud	gertrud
tuhk	cenusa
tuhk	cenusa
tuhk	ash
tuhk	cenusa
pühapäev	duminica
pühapäev	duminica
täpsust	precizie
täpsust	precizia
täpsust	precizie
täpsust	precizia
fidži	fiji
lääs	west
lääs	vest
lääs	occident
lääs	vestul
cola	cola
lämmastik	azot
lämmastik	nitrogen
strateegiline	strategica
strateegiline	strategice
strateegiline	strategic
detektiiv	detective
detektiiv	detectiv
vastuvõtt	primire
vastuvõtt	receptie
vastuvõtt	receptie
märkused	remarci
märkused	observatii
märkused	note
märkused	comentarii
märkused	comentariile
märkused	observatii
liitlane	aliat
liitlane	ally
liitlane	aliatul
gaz	gaz
magus	sweet
magus	dulce
magus	dulci
rongid	trenurile
rongid	trenuri
irving	irving
rebecca	rebeca
rebecca	rebecca
aruanne	raport
aruanne	raportul
aruanne	raporteaza
borgia	borgia
liinid	liniile
liinid	linii
liinid	replici
manustamine	administratia
manustamine	administrarea
manustamine	administrare
manustamine	administratie
eksperiment	experimentul
eksperiment	experiment
eksperiment	experimenteaza
akustiline	acustica
akustiline	acustice
akustiline	acustic
dagmar	dagmar
elekter	electricitatea
elekter	electricitate
elekter	electrice
elekter	electric
elekter	electrica
varastatud	furate
varastatud	furat
varastatud	furata
karlsson	karlsson
gibraltari	gibraltar
pat	pat
amplituud	amplitudine
dominique	dominique
üksikult	individual
territoriaalse	teritoriala
territoriaalse	teritoriale
territoriaalse	teritorial
ultra	ultra
ward	ward
positsioonid	pozitii
positsioonid	pozitii
positsioonid	pozitiile
bennett	bennett
petit	petit
primaarne	primare
primaarne	primara
primaarne	primar
testid	incercari
testid	teste
testid	testele
tsoon	zona
tsoon	zona
täiuslik	perfect
täiuslik	perfecte
täiuslik	perfecta
täiuslik	perfecta
aserbaidžaan	azerbaidjan
maxwell	maxwell
tööline	lucrator
tööline	muncitor
nähtused	fenomen
nähtused	fenomenele
nähtused	fenomene
kasahstan	kazahstan
churchill	churchill
diplom	diploma
diplom	diploma
mikael	mikael
dag	dag
kopsu	pulmonara
kopsu	pulmonare
kopsu	pulmonar
kopsu	lung
kopsu	plaman
puruks	zdrobit
puruks	smash
aken	fereastra
aken	fereastra
aken	geam
hills	dealurile
hills	hills
hills	coline
hills	dealuri
isabelle	isabelle
passiivne	pasiv
passiivne	pasiva
passiivne	pasive
eno	eno
antonov	antonov
