ফ্রেডরিক	فردریک
ডিসকভারি	کشف
হীরা	الماس
হীরা	دیاموند
হীরা	الماسی
হীরা	دایموند
অপব্যবহার	سوءاستفاده
নিকারাগুয়া	نیکاراگوئه
নিকারাগুয়া	روسیه
আপিল	خودبینی
আপিল	استیناف
চিয়াং	چیانگ
লোকে	افراد
লোকে	مردمان
লোকে	آدمها
লোকে	مردم
প্যালেস্টাইন	فلسطین
প্যালেস্টাইন	فلسطینی
কেনো	چرا
হাজি	حاجی
উপকারী	مفید
উপকারী	سودمند
উপকারী	مفید
গুলিবর্ষণ	گلنگدن
সুখের	خوشبختی
সুখের	شادی
সুখের	خوشی
চলন	چالان
আর্দ্রতা	رطوبت
আর্দ্রতা	رطوبت
নির্জন	تنهایی
নির্জন	تنها
নির্জন	تنهای
দৌলত	ولسوالی
সোমালিয়া	سومالی
বিক্ষিপ্ত	پراکنده
মহৎ	توانمند
মহৎ	مقتدر
মহৎ	باشکوه
ধারণকারী	حاوی
ধারণকারী	کانتینر
ধারণকারী	محتوی
পশম	خز
সতর্কতা	اخطار
সতর্কতা	هشدار
সতর্কতা	احتیاط
সতর্কতা	هشدارهای
সতর্কতা	هشدار
আনু	آنو
কেক	cake
কেক	کیکه
কেক	کیک
কেক	کیک
পুরী	پوری
পান্না	زمرد
পান্না	زمردی
সাফারি	صفری
সাফারি	سافاری
সাফারি	safari
ক্রোমোজোম	کروموزوم
মনোবল	بنیه
নরম্যান	نورمن
কনরাড	کنراد
নিকোলাই	نیکلای
নিকোলাই	نیکولای
জয়েন্ট	مفصل
শামস	شمس
কলি	کالی
কলি	باد
কলি	غنچه
রেজিস্টার	ثبات
রেজিস্টার	ثبات
ফিদেল	فیدل
স্ট্রোক	نوازش
স্ট্রোক	سکته
ব্যাথা	درد
ব্যাথা	دردی
ব্যাথা	درده
ব্যাথা	دردم
অজন্তা	آجانتا
ফ্রাই	مدنظر
ফ্রাই	فرای
বক্ররেখা	منحنی
গেটস	گیت
গেটস	گیتس
এক্সটেনশন	پسوندهای
এক্সটেনশন	افزونه
এক্সটেনশন	پسوند
ব্রাউনের	قهوهای
ব্রাউনের	براون
ব্রাউনের	براون
শশী	شاشی
সুজা	سوزا
লুইজ	لوئیز
ধ্বংসাত্মক	مخرب
ভূগোলবিদ	جغرافیدان
সেটার	ستر
গোবর	سرگین
মেহতা	مهتا
ইয়োহানেস	یوهانس
প্রমিত	استاندارد
ডেয়ারডেভিলস	داوید
তুসো	tussauds
দই	ماست
দই	کشک
লিওনার্ড	لئونارد
অপমান	رسوایی
অপমান	رسوا
অপমান	تحقیر
অপমান	حقارت
অপমান	خواری
অপমান	توهین
অপমান	توهین
নেত্রী	لیدر
নেত্রী	رهبر
চেখভ	چخوف
বিচলিত	مضطرب
বিচলিত	عصبی
বিচলিত	ناراحت
বিচলিত	آشفته
রাইডার	رایدر
রাইডার	سوارکار
রাইডার	موتورسواری
রাইডার	سوار
ল্যান্স	لنس
সোয়ান	قویی
সোয়ান	قو
সোয়ান	سوان
কুকুরের	سگ
কুকুরের	سگی
ফতেহ	فاتح
মেয়ার	مایر
মেয়ার	میر
কুসংস্কার	تعصب
দাসী	خدمتکاری
রাশেদ	راشد
সূচী	محتویات
টিনের	حلبی
টিনের	تین
টিনের	قلع
পুরি	پوری
পদ্মার	padma
বাব	باب
শফিক	شفیق
ম্যাট্রিক্স	ماتریکس
ম্যাট্রিক্স	ماتریس
বিন্যাসে	شکل
ড্রামার	درامر
তিল	کنجد
ম্যাডিসন	مدیسون
প্রাপ্তবয়স্কদের	بزرگسال
প্রাপ্তবয়স্কদের	بزرگسالان
প্রাপ্তবয়স্কদের	بزرگترها
টমেটো	گوجه
গৌরী	گواری
অং	آونگ
ক্লায়েন্ট	مشتری
ক্লায়েন্ট	کارخواه
ক্লায়েন্ট	موکل
টানেল	تونلی
টানেল	تونل
পটাশিয়াম	پتاسیم
পিয়ার	اسکله
পরামর্শক	مشاور
জিনিসপত্র	مادۀ
পুরুষেরা	مردانی
পুরুষেরা	مردها
পুরুষেরা	مردان
এক্সবক্স	xbox
পাড়ার	همسایه
পাড়ার	همسایگی
পাড়ার	محله
ম্যানিলা	مانیل
জ্যামাইকা	جامائیکا
মুরগির	مرغی
মুরগির	مرغ
মুরগির	جوجه
ভিশন	بصیرت
ভিশন	دید
ভিশন	ویژن
ভিশন	بینایی
শিরা	سیاهرگ
শিরা	رگ
সংবেদনশীল	حساس
সংবেদনশীল	حساسی
ফারাও	فرعون
আন্তরিক	اخلاص
আন্তরিক	خالص
আন্তরিক	خالصانه
আন্তরিক	اخلاص
আন্তরিক	خالص
আন্তরিক	مخلص
আন্তরিক	خواهانم
আন্তরিক	دلچسب
আন্তরিক	صمیمی
কূটনীতিক	دیپلمات
ট্রান্সপোর্ট	ترانسپورتر
আর্টিলারি	توپخانه
মার্স	مریخ
মার্স	مارس
এডিটর	تدوینگران
তরুন	جوان
তরুন	یانگ
তরুন	جوون
তরুন	یونگ
ভালুক	خرس
ভালুক	بیر
ভালুক	خرسی
প্রিন্সিপাল	مدیر
লেবাননের	لبنان
লেবাননের	لبنانی
পোলক	پالک
পোলক	پولاک
প্রস্থান	استعفا
প্রস্থান	انصراف
প্রস্থান	ترک
প্রস্থান	خروج
নখ	پنجه
নখ	ناخن
নখ	میخ
চেজ	چیس
সেলুলার	سلولی
হায়দরাবাদ	حیدرآباد
গন্তব্য	مقصد
গন্তব্য	مقاصد
টেলার	تلر
পেইন্টিং	نقاشی
শুন্য	صفر
শুন্য	زیرو
শুন্য	zero
হিলস	هیلز
গুলশান	گلشن
অসন্তুষ্ট	ناراضی
চায়ের	چای
চায়ের	چایی
ড্যানিশ	دانمارکی
ড্যানিশ	دانمارک
দাম্পত্য	طیب
তর্ক	بحث
অর্ডোভিশিয়ান	اردویسین
প্রিয়াঙ্কা	پریانکا
আগ্রাসী	پرخاشگرانه
আগ্রাসী	پرخاشگری
আগ্রাসী	پرخاشگر
আগ্রাসী	تهاجمی
কদর	قدرش
ফিউশন	همجوشی
প্রজ্ঞা	حکمت
প্রজ্ঞা	حکمتی
গেটের	دروازه
গেটের	گیت
গেটের	دری
মাংসাশী	گوشتخواران
সুইং	تاب
সুইং	نوسان
মাতৃ	مادرانه
তাহার	او
রন্ধনপ্রণালী	آشپزی
অভিনেতাদের	بازیگران
আইজ্যাক	ایزاک
আইজ্যাক	اسحاق
আইজ্যাক	اسحق
আইজ্যাক	آیزاک
শাস্তির	مجازات
শাস্তির	تنبیه
লী	لی
এস্তোনিয়া	استونی
দুর্বলতা	ضعف
রিয়া	ریا
রিয়া	ria
কাউন্টার	شمارشگر
দেখছি	نظاره
দেখছি	مراقبه
দেখছি	تماشای
প্রসব	زاییدن
প্রসব	زایمان
বাধ্যবাধকতা	التزام
পেদ্রো	پدرو
জাক	ژاک
অলঙ্কার	زیورآلات
অলঙ্কার	جواهرات
ইউরোপা	اروپا
কাজাখস্তান	قزاقستان
সহচর	همنشین
সহচর	همدم
সহচর	همنشینی
অস্থিরতা	ناآرامی
অস্থিরতা	ناپایداری
গিলমোর	گیلمور
বহুবিধ	چندگانه
বহুবিধ	چندین
ফালকে	پالکی
ক্যারোলিনা	شمالی
ক্যারোলিনা	کارولینا
পেশোয়ার	پیشاور
লন	چمن
ছদ্ম	شبه
আড্ডা	میعادگاه
আড্ডা	پاتوق
আড্ডা	گپ
আড্ডা	گپی
ডিস্ট্রিক্ট	منطقه
ডিস্ট্রিক্ট	ناحیه
ডিস্ট্রিক্ট	بخش
বসতে	بنشینم
তিউনিসিয়া	تونس
ক্লিনটন	کلینتون
মন্ত্রীদের	وزرا
মন্ত্রীদের	وزیران
মন্ত্রীদের	وزرای
গাজা	غزه
আদার	آذار
আদার	زنجبیل
বীচ	بیچ
বীচ	ساحل
শর্মিলা	شارمیلا
একতা	همبستگی
একতা	وحدت
একতা	اتحاد
একতা	تکینگی
সিসি	سیسی
মাং	مانگ
অ্যান্টেনা	انتن
অ্যান্টেনা	آنتن
বোতাম	دکمه
বোতাম	دکمه
মশলা	ادویه
মশলা	چاشنی
মশলা	مصالح
মশলা	ادویه
মুখার্জি	موکرجی
ঢেলে	بریزید
ঢেলে	محبّت
শরণার্থীদের	مهاجر
শরণার্থীদের	پناهنده
শরণার্থীদের	پناهندگان
শরণার্থীদের	پناهجویان
শরণার্থীদের	مهاجرین
চাদর	ملافه
স্বাভাবিকভাবে	طبیعتا
ইংরাজি	انگلیسی
ইংরাজি	english
ফ্লয়েড	فلوید
বহিরাগত	خارجی
ম্যাপ	نگاشت
ম্যাপ	نقشه
ট্রয়	تروا
ট্রয়	تروی
বিভ্রান্ত	پریشان
বিভ্রান্ত	گیج
বিভ্রান্ত	سردرگم
বিভ্রান্ত	آشفته
স্পাই	جاسوسی
স্পাই	جاسوس
হানিফ	حنیف
ফাঁক	شکاف
ফাঁক	شکافها
ব্যাচ	دسته
কপালে	پیشانی
কপালে	پیشونی
কপালে	پیشانیش
অ্যাডমিরাল	آدمیرال
অ্যাডমিরাল	دریاسالار
হরর	ترسناک
হরর	وحشت
গফ	گاف
মহাকাব্যিক	حماسی
মহাকাব্যিক	حماسه
প্যাট	پت
কাট	بریدگی
সাংবাদিকদের	خبرنگاران
মার্কাস	مارکوس
ইন্ডিপেন্ডেন্ট	مستقل
আইনগতভাবে	قانونا
অ্যারিজোনা	آریزونا
জর্দান	جوردن
জর্দান	جردن
জর্দান	اردن
পার্ট	جزء
পার্ট	قسمت
পার্ট	پارت
টেপ	نوار
সুইচ	تعویض
সুইচ	سوئیچ
সুইচ	سویچ
হাঁটু	زانو
হাঁটু	زانو
হাঁটু	زانوها
নার্গিস	نرگس
বেচে	زنده
ধর্ষণের	تجاوز
আলজেরীয়	الجزایر
বিকেলে	عصر
এনজাইম	آنزیم
এনজাইম	آنزیم
সম্পূরক	مکمل
সম্পূরক	متمم
সম্পূরক	مکمل
কং	کانگ
কং	کنگ
কং	انتر
কং	کونگ
রুবেল	روبل
শব্দসমষ্টি	عبارت
মনিটর	نظارت
মনিটর	نمایشگر
মনিটর	مانیتور
মনিটর	بزمجه
খেলছেন	پخش
গম্ভীর	جدی
হার্জেগোভিনা	هرزگوین
এমআইটি	mit
নিম্নভূমি	falkirk
আমেরিকানদের	آمریکاییها
কোট	کت
কোট	پالتو
কোট	نقل
নগ্নতা	برهنگی
আকাশচুম্বী	آسمانخراش
পূর্বপুরুষদের	پدرانشان
পূর্বপুরুষদের	اجداد
পূর্বপুরুষদের	پدران
পূর্বপুরুষদের	نیاکان
টেড	تد
অবহেলিত	قصور
লিডার	لیدر
লিডার	رهبر
হামবুর্গ	هامبورگ
সোবহান	سبحان
অ্যাডোবি	خشت
অ্যাডোবি	ادوبی
রাওয়ালপিন্ডি	راولپندی
বাসিন্দারা	ساکنین
বাসিন্দারা	یاران
মোটরগাড়ি	خودرو
মোটরগাড়ি	خودروسازی
কনকাকাফ	کونکاکاف
সাম্রাজ্যবাদ	امپریالیسم
নির্দোষ	بیگناهی
নির্দোষ	بیگناه
নির্দোষ	معصوم
দারিদ্র	فقر
লিটার	لیتر
লিটার	لیتر
জানুন	یادگیری
দাড়িয়ে	قیام
দাড়িয়ে	ایستاده
দাড়িয়ে	ایستادن
ব্রুকলিন	بروکلین
ব্যাটারী	باطری
ব্যাটারী	باتری
ডেন	لانه
ডেন	den
চুম্বন	بوسیدن
চুম্বন	بوس
চুম্বন	بوسه
চুম্বন	بوس
চুম্বন	بوسه
চুম্বন	ماچ
চুম্বন	kiss
চুম্বন	ببوس
সান্টা	سانتا
সান্টা	بابانوئل
সান্টা	santa
সমেত	دربرگیرنده
বোমাবর্ষণ	بمباران
বোমাবর্ষণ	بمبگذاری
বোমাবর্ষণ	بمباران
ইভান্স	ایوانز
ইভান্স	اونس
ইভান্স	اوانس
ইভান্স	اونز
ইভান্স	اوانز
জ্ঞাত	دانسته
জ্ঞাত	معلوم
সংহতি	همبستگی
সংহতি	اتحاد
সেরে	ترمیمی
সেরে	ریکاوری
সেরে	بازیابی
সেরে	بهبودی
টেসলা	تسلا
উত্তল	محدب
দুঃখিত	متاسفم
ভোল্ট	ولت
অভিনন্দন	تبریک
অভিনন্দন	تبریک
ফোটে	شکوفایی
ফোটে	بلوم
ফোটে	شکوفه
সেনেগাল	سنگال
বাঁচার	بقا
বাঁচার	بقای
বাঁচার	بقاء
চার্চিল	چرچیل
উপকার	سودش
উপকার	منفعت
উপকার	سودی
উপকার	سود
উপকার	منفعت
উপকার	نفع
উপকার	سودی
উপকার	سود
উপকার	فواید
উপকার	منافع
লেবু	لیمویی
লেবু	لمون
লেবু	لیمو
লেবু	لیمون
লেবু	لیموترش
সুখী	خوشبخت
সুখী	خوش
সুখী	شاد
সুখী	خوشحال
সুখী	مبارک
গীর্জা	کلیسا
গীর্জা	چرچ
গীর্জা	کلیسای
বাসস্থানের	زیستگاه
ঘটনাসমূহ	رویدادهای
ঘটনাসমূহ	رویدادها
ঘটনাসমূহ	حوادث
ঘটনাসমূহ	اتفاقات
কদাচিৎ	ندرت
কদাচিৎ	بندرت
ঐশ্বরিক	الهی
ফিঞ্চ	سهره
ফিঞ্চ	فینچ
ফিঞ্চ	فنچ
শ্রবণ	شنوایی
ছেলেরা	پسران
ছেলেরা	پسرها
ছেলেরা	پسرا
ছেলেরা	پسران
ছেলেরা	فرزندان
সস্তা	ارزان
সস্তা	ارزون
পরিবাহী	رسانا
পরিবাহী	راهبر
মানসিকতা	ذهنیت
হাটে	میرود
পরিদর্শনে	دیدن
পরিদর্শনে	بازدید
খাত্তাব	خطاب
ঘুঘু	داو
ঘুঘু	فاخته
ঘুঘু	کبوتر
ওরিয়েন্টাল	خاوری
ওরিয়েন্টাল	شرقی
বোল্ট	بولت
বোল্ট	آذرخش
আঙ্গুল	انگشتان
আঙ্গুল	انگشت
আঙ্গুল	انگشتش
আঙ্গুল	انگشت
আঙ্গুল	فینگر
ডক	لنگرگاه
অসলো	اسلو
খাঁটি	اصلن
খাঁটি	خالص
খাঁটি	ناب
খাঁটি	پاک
গোলাবারুদ	مهمات
অমূল্য	گرانبها
অমূল্য	قیمتی
অমূল্য	باارزش
কিংডম	فرمانروایی
কিংডম	پادشاهی
কার্নেল	هسته
রেমন্ড	ریموند
কাশ্মীরি	کشمیری
বিষয়াবলী	موضوعات
বিষয়াবলী	موضوعاتی
সনাক্তকরণ	آشکارسازی
সনাক্তকরণ	تشخیص
টিউমার	تومور
টিউমার	غده
আভা	آوا
আস্তানা	شیروانی
আস্তানা	آستانه
হত্যাকান্ড	قتل
পাঠায়	میفرستد
পরিচালকদের	مربیان
লেনন	لنون
ময়লা	کثیف
ময়লা	کثیفی
ময়লা	خاکه
ময়লা	خاکی
ময়লা	خاک
বার্নস	بارنس
বার্নস	بارنز
টেলিকম	تلکام
বর্ন	متولد
বর্ন	زاده
কাঠামোগত	ساختاری
কাঠামোগত	سازهای
ঝিনুক	صدف
ইদ্রিস	ادریس
এইচআইভি	ایدز
এইচআইভি	hiv
লিথুয়ানিয়া	لیتوانی
কানপুর	کانپور
বাত	آرتروز
বাত	مفصلی
স্ত্রীদের	همسران
দারা	دارا
জেনারেটর	مولد
জেনারেটর	زا
জেনারেটর	ژنراتور
শান্তনু	شانتانو
যুগোস্লাভিয়া	یوگسلاوی
সিগারেট	سیگار
সিগারেট	سیگار
সিগারেট	سیگارها
সাবধান	حذر
সাবধান	احتیاط
কেনসিংটন	کنزینگتون
নিবদ্ধ	متمرکز
নিবদ্ধ	تمرکز
বান্টু	بانتو
উদিত	خیزش
ইতিমধ্যেই	قبلا
জা	jaa
লুমিয়া	لومیا
দাতা	اهدا
দাতা	اهدای
দাতা	اهداکننده
কার্গো	محموله
সাই	psy
সাই	سای
সাই	سای
পাউডার	باروت
পাউডার	پودر
অ্যাকিলিস	آشیل
বিশৃঙ্খলা	اختلال
বিশৃঙ্খলা	خودشیفته
বিশৃঙ্খলা	اختلالات
বিশৃঙ্খলা	آشفتگی
বিশৃঙ্খলা	آشوب
অন্যভাবে	وگرنه
মরিসন	موریسون
ভাঁজ	گاه
ফ্ল্যাগ	پرچم
ফ্ল্যাগ	پرچمها
ফ্ল্যাগ	پرچمهای
যোনি	مهبل
যোনি	واژن
অনুরাগী	بادبزن
অনুরাগী	طرفدار
অনুরাগী	پنکه
অনুরাগী	فن
ফ্যান	بادبزن
ফ্যান	طرفدار
ফ্যান	پنکه
ফ্যান	فن
প্রসেসিং	پردازش
প্রসেসিং	پردازی
অসুখ	بیماری
স্তবক	خوشه
টমি	تامی
অনাথ	یتیم
অনাথ	یتیمان
অনাথ	یتیم
অনাথ	یتیمی
আবর্জনা	زباله
দেওল	دیول
শাশ্বত	ابدی
শাশ্বত	جاودانی
শাশ্বত	پاینده
পর্ণমোচী	برگریز
ঝুলে	آویزان
শূণ্য	هیچکدام
পেটে	شکم
পেটে	معده
বন্ধনী	پرانتز
ক্রিসমাস	کریسمس
আরিফ	عارف
ডোমিনিকান	دومینیکن
ক্যাফে	کافه
আমস্টারডাম	آمستردام
আমস্টারডাম	امستردام
ডাকোটা	داکوتای
ডাকোটা	داکوتا
লবন	سالت
লবন	نمکی
লবন	نمک
মনু	مانو
কাতালোনিয়া	کاتالونیا
খচিত	زربافت
হিউজ	هیوز
ঝাং	ژانگ
ঝাং	شانگ
জন্তু	جانور
জন্তু	دلبر
জন্তু	حیوان
তাজিক	تاجیکی
তাজিক	تاجیک
ওয়াং	وونگ
ওয়াং	ونگ
ওয়াং	وانگ
ওয়াং	ونگ
অথরিটি	تسلط
অথরিটি	سلطه
সংবাদদাতা	خبرنگار
ইসাবেল	ایزابل
ইসাবেল	ایزابل
মর্গান	مورگان
মর্গান	مرگان
মর্গান	مورگن
লিসা	لیسا
লিসা	لیزا
উৎকর্ষ	برتری
দোষারোপ	سرزنش
দোষারোপ	ملامت
দোষারোপ	مقصر
ফিন	فین
কল্কি	کالکی
সহপাঠী	همکلاسی
গুণের	حسنات
ফসিল	فسیلی
ফসিল	فسیل
প্রাচুর্য	فراوان
প্রাচুর্য	وفور
প্রাচুর্য	فراوانی
জলি	جالی
ফেরদৌসী	فردوسی
অ্যাকাডেমিক	دانشگاهی
অ্যাকাডেমিক	آکادمیک
অ্যাকাডেমিক	تحصیلی
চকোলেট	شکلاتی
চকোলেট	کاکائو
চকোলেট	شکلات
সিগন্যাল	انتن
সিগন্যাল	سیگنال
সিগন্যাল	علامت
ইন্দ্রিয়	حسی
বহুভাষী	multilingual
দ্রবণ	توپر
দ্রবণ	یکدست
দ্রবণ	جامد
দ্রবণ	سیلیکون
দ্রবণ	چاره
দ্রবণ	محلول
মিট	میت
শেখানো	آموخت
শেখানো	آموخته
সহজতর	راحتتر
সহজতর	آسانتر
অধিবিদ্যা	متافیزیک
ট্রেডিং	تجارت
এন্টারপ্রাইজ	انترپرایز
এন্টারপ্রাইজ	سازمانی
বিলাল	بلال
স্তূপ	کپه
হোলি	هولی
অ্যারন	آرون
ভুবনেশ্বর	بوبانسور
নাড়ু	نادو
রক্তাক্ত	خونین
ডাকাতি	سرقت
ডাকাতি	دزدی
পরিচ্ছন্ন	تفحص
পরিচ্ছন্ন	شسته
পরিচ্ছন্ন	تمیزی
সক	جوراب
স্ফটিক	بلور
স্ফটিক	کریستال
স্ফটিক	آبگینه
স্ফটিক	بلوری
টাস্ক	عاج
টাস্ক	تاسک
পরিসীমা	گستره
পরিসীমা	گسترۀ
ফার্মেসি	داروخانه
ফার্মেসি	داروسازی
ফার্মেসি	داروئی
ফাঁপা	هالو
ফাঁপা	توخالی
দুষ্প্রাপ্য	نادره
দুষ্প্রাপ্য	کمیاب
দুষ্প্রাপ্য	نادر
দুষ্প্রাপ্য	نادری
সিনেটর	سناتور
আইফেল	ایفل
চো	چو
ঘুরি	رویت
ঘুরি	نوبت
ইয়ন	یئون
ইয়ন	یون
মেয়েটি	دختری
মেয়েটি	دختر
মেয়েটি	girl
বিশ্বাসঘাতকতা	خیانت
বিশ্বাসঘাতকতা	خیانت
মশা	پشه
জিয়ান	شیان
হাসির	لبخند
হাসির	تبسم
হাসির	بخند
হাসির	خنده
হাসির	لبخند
হাসির	لبخندهای
বেকারত্ব	بیکاری
যৌতুক	جهیزیه
যৌতুক	جهاز
যৌতুক	مهریه
নজির	سابقه
হালদার	هالدر
মরিয়ম	ماری
মরিয়ম	مریم
মরিয়ম	مری
মরিয়ম	مریم
মরিয়ম	maryam
তালা	طلا
তালা	قفل
ক্রাউন	کرون
ক্রাউন	کراون
ক্রাউন	تاج
প্লট	رسم
প্লট	نیرنگ
নাজির	نظیر
রণবীর	رانبیر
লেভি	لوی
লেভি	لوی
বিশ্লেষক	تحلیلگر
সামোয়া	ساموآ
টাইটানিক	تایتانیک
বিপর্যস্ত	ناراحت
বিপর্যস্ত	آشفته
শেঠ	سث
শেঠ	سِت
তানজানিয়া	تانزانیا
গুয়াতেমালা	گواتمالا
গুয়াতেমালা	گواتمالا
কসোভো	کوزوو
ডু	doo
ভাস্কো	واسکو
দারুচিনি	دارچینی
দারুচিনি	دارچین
বিবেক	وجدان
বিবেক	ویوک
হাস্যরসাত্মক	فکاهی
উইকিমিডিয়ার	ویکیمدیا
এঞ্জেলস	آنجلس
নিরপেক্ষতা	بیطرفی
প্রতিরোধী	مقاوم
কুয়াশা	مه
কুয়াশা	مه
কুয়াশা	بتون
কুয়াশা	بتن
খমের	خمر
ফটোশপ	فتوشاپ
ফটোশপ	فوتوشاپ
অ্যাস্টন	اشتون
কর্মক্ষমতা	عملکرد
কর্মক্ষমতা	اجرا
কর্মক্ষমতা	کارایی
রোম্যান্টিক	رمانتیکی
রোম্যান্টিক	رومانتیک
রোম্যান্টিক	رمانتیک
রোম্যান্টিক	عاشقانه
মামার	mama
মামার	ماما
নিশাচর	شبانه
স্যুট	سوئیت
স্যুট	برازنده
কোহেন	کوهن
কোহেন	کوئن
মৎস	شیلات
গাজি	غازی
ছুরি	چاقوها
ছুরি	چاقوی
ছুরি	چاقو
ছুরি	کارد
ছুরি	چاقویی
বিদ্রোহীরা	شورشی
বিদ্রোহীরা	یاغی
ধমনী	شریان
ধমনী	سرخرگ
পলিসি	سیاست
বরিস	بوریس
হেসে	هسه
হেসে	هسن
মমি	مومیایی
দিমিত্রি	دمیتری
মরা	مرده
মরা	مردن
মরা	مُرده
মরা	مردگان
পরিচর্যা	سالمندان
পরিচর্যা	پرستاری
পরিচর্যা	nursing
পরিচর্যা	مراقبت
বর্মা	وارما
ঝাঁপ	جهش
ঝাঁপ	پرش
ঝাঁপ	پرشی
নিপীড়ন	فتنه
নিপীড়ন	ظلم
জামাই	داماد
ভোপাল	بوپال
নাসিম	نسیم
অভিবাসীদের	مهاجران
অভিবাসীদের	مهاجرین
অভিবাসীদের	مهاجر
ইকো	اکو
ইকো	پژواک
ইকো	اکو
কংক্রিট	بتون
কংক্রিট	بتن
কাঞ্জি	کانجی
বপন	بکارید
শখের	آماتور
ক্লদ	کلود
ক্লদ	کلاد
মিশা	میشا
সুইট	شیرین
সন্মান	شرافتی
সন্মান	عزت
সন্মান	گرامی
আবেগের	اشتیاق
আবেগের	مصائب
আবেগের	شهوت
গোলাগুলি	فیلمبرداری
গোলাগুলি	تیراندازی
গ্রাহকদের	مشتریان
গ্রাহকদের	مشتری
দোস্ত	رفیق
দোস্ত	dost
ইনজুরি	جراحت
ইনজুরি	آزاری
ইনজুরি	زخم
রাখাল	کابوی
আজকে	امروز
রক্তপাত	خونریزی
রক্তপাত	خونریزی
সম্ভাব্যতা	احتمالات
লুপ	حلقه
গাউস	گاوس
গাউস	گوس
ওমেগা	امگا
ফুয়াদ	فواد
ফুয়াদ	فؤاد
সোহাগ	سوهاج
শেফার্ড	چوپانی
শেফার্ড	شبان
শেফার্ড	چوپان
শহিদ	shahid
শহিদ	شهید
জানত	دانستم
গ্যাব্রিয়েল	گابریل
গ্যাব্রিয়েল	جبرئیل
ধোঁয়া	دودی
ধোঁয়া	دود
ধোঁয়া	دوده
পুষ্প	شکوفه
আইনত	قانونا
দারিদ্র্য	فقر
সংশয়	شک
কোণায়	گوشه
খাদিজা	خدیجه
সেকশন	بخش
ট্রেভর	تروور
ট্রেভর	ترور
অংশগ্রহনের	مشارکت
নরওয়েজিয়ান	نروژی
নরওয়েজিয়ান	نروژ
বিলম্ব	تأخیر
বিলম্ব	تاخیر
বিলম্ব	تأخیری
ক্লেয়ার	کلیر
ক্লেয়ার	کلر
নার্স	پرستاران
নার্স	nurse
নার্স	پرستار
সস	سس
হ্যাট	hat
হ্যাট	کلاه
করিডোর	راهروی
করিডোর	دالان
ওনার	او
কারিগর	صنعتگران
কারিগর	مکانیک
মাখন	کره
সোডা	سودا
মুসলমানের	مسلمان
মুসলমানের	مسلم
মুসলমানের	مسلمانان
পেঁচা	بوف
পেঁচা	جغد
ময়দা	آرد
শুয়ে	لای
হিলারি	هیلاری
হিলারি	هیلاری
আটলান্টা	آتلانتا
আইসল্যান্ডীয়	ایسلندی
কিউব	مکعب
পুকুরে	تالاب
পুকুরে	برکه
স্থূলতা	چاقی
বন্ধুত্বের	دوستی
বন্ধুত্বের	رفاقت
শিশ্ন	آلت
নির্গমন	انتشار
রসুল	رسول
চাওলা	چاولا
সামুরাই	سامورایی
মগ	لیوان
ভদ্র	نجیب
ভদ্র	مودب
ভদ্র	مودبانه
ভদ্র	مؤدب
ভদ্র	مؤدبانه
ভদ্র	ملایم
ভদ্র	نرم
অনির্দিষ্ট	هر
অনির্দিষ্ট	هیچ
লুডভিগ	لودویگ
সহকর্মীদের	همکاران
আহাদ	احد
জোসে	جوز
জোসে	خوزه
দুল	آویز
কর্নেলিয়াস	کورنلیوس
বিশেষজ্ঞরা	متخصصین
বিশেষজ্ঞরা	متخصصان
বিশেষজ্ঞরা	متخصصین
বিশেষজ্ঞরা	کارشناسان
দায়িত্বের	مسولیت
দায়িত্বের	مسئولیتی
দায়িত্বের	مسئولیت
দায়িত্বের	مسولیت
দায়িত্বের	مسئولیتی
দায়িত্বের	مسئولیت
উমা	uma
এলটন	التون
এলটন	آلتون
নিশ্চিতভাবে	قطعاً
নিশ্চিতভাবে	قطعا
জারা	zara
জারা	زارا
আবিদ	عبید
আবিদ	عبد
আবিদ	عابد
ইতালিয়	ایتالیایی
ইতালিয়	ایتالیا
দীপক	دیپاک
হাওয়াইয়ান	هاوایی
যোদ্ধারা	مبارزان
রেন	الیکایی
রেন	رن
ইয়াসিন	یاسین
ইয়াসিন	یاسین
লঘু	کاسته
কপাল	پیشانی
কপাল	پیشونی
কপাল	پیشانیش
কেও	همچنین
কেও	همچنین
ব্যাগ	ساک
ব্যাগ	کیسه
ব্যাগ	کیف
ব্যাগ	کیسه
মরে	بمیرم
মরে	بمیرد
মরে	بمیر
আশ্বাস	تضمین
আশ্বাস	اطمینانی
মুরগি	مرغی
মুরগি	مرغ
মুরগি	جوجه
মুরগি	مرغها
পরিসমাপ্তি	پایان
পরিসমাপ্তি	اختتامیه
পরিসমাপ্তি	پایانی
সুপারনোভা	ابرنواختر
রোমা	roma
রোমা	روما
কোয়ালিশন	ائتلاف
অ্যালিস	آلیس
চিনা	چینی
সন্নিহিত	مجاور
কাশ্মীরে	کشمیر
যন্ত্রণা	درد
যন্ত্রণা	دردی
যন্ত্রণা	درده
যন্ত্রণা	دردم
এন্টি	ضد
সিরামিক	سرامیک
হন্ডুরাস	هندوراس
স্লোভাক	اسلواکی
সাইফ	سیف
ভূতের	ترسناک
ভূতের	وحشت
ডুমুর	انجیر
যাচাইকরণ	وارسی
যাচাইকরণ	تصدیق
সোফি	سوفی
প্রিমেরা	پریمرا
তালিবান	طالبان
নিম	نیم
শকুন	کرکس
শকুন	لاشخور
কীটপতঙ্গ	آفت
কাক	کلاغ
কাক	کرو
