vodík	hydrogen
reštaurácia	restaurant
brad	brad
doplnené	supplemented
doplnené	complemented
calgary	calgary
endate	endate
kostra	skeleton
zastávky	stops
ukončiť	exit
ukončiť	end
ukončiť	quit
udelené	granted
udelené	awarded
gregory	gregory
predpisy	regulations
predpisy	rules
predpisy	prescriptions
lars	lars
pokrok	progress
ostrý	sharp
laureát	laureate
diaľky	afar
ohrozených	endangered
marko	marko
ponuky	bid
ponuky	bids
ponuky	tenders
ponuky	offers
univerzít	universities
stade	stade
obytné	residential
vlaku	train
susedné	neighbours
susedné	adjacent
budúce	future
plemien	breeds
poskytol	provided
dean	dean
zabitý	killed
nepriateľom	enemy
nepriateľom	enemies
výnimky	exceptions
výnimky	exception
výnimky	exclusions
výnimky	exemptions
bin	bin
expozície	exposure
ruka	arm
ruka	hand
bohužiaľ	sadly
bohužiaľ	unfortunately
drevených	wooden
nemec	nemec
strieborný	silver
kapacity	capacities
kapacity	capacity
luigi	luigi
android	android
rozprávanie	talking
rozprávanie	speaking
voličov	voters
lom	refraction
lov	hunt
lov	lov
lov	hunting
sady	orchards
sady	sets
kanála	canal
kanála	channel
jeruzalema	jerusalem
prevrat	coup
červenú	red
piano	piano
hrobka	tomb
china	china
flash	flash
pacific	pacific
prítomný	present
tón	tone
povrchové	superficial
pomocné	auxiliary
rozhoduje	decides
pracujúcich	workers
pláne	plan
ouest	ouest
uplatňuje	applies
víťazný	victorious
nissan	nissan
kanálov	channels
dres	jersey
baník	miner
cassini	cassini
vysielať	broadcast
vysielať	broadcasting
kutná	kutná
une	une
vodnár	aquarius
lietadlom	plane
lietadlom	airplane
churchill	churchill
kenneth	kenneth
larry	larry
mitchell	mitchell
viet	viet
viet	sentences
gibson	gibson
veselý	cheerful
absolútna	absolute
lyžiar	skier
ball	ball
ann	ann
siedmy	seventh
občianskych	civil
tepelná	thermal
patent	patent
odpovede	responses
odpovede	answers
odpovede	replies
dievčatá	girls
prijíma	accepts
prijíma	receives
prijíma	accepting
prijíma	adopts
ahl	ahl
bielkovín	protein
kat	executioner
kat	hangman
kat	kat
novinárov	journalists
ukázala	showed
pokusov	trials
pokusov	attempts
rieši	solves
rieši	tackles
čaká	waiting
čaká	waits
čaká	pending
písomné	written
chemici	chemists
huby	mushrooms
huby	fungus
huby	mushroom
huby	fungi
iveta	iveta
pomohli	helped
orbiter	orbiter
role	role
role	roles
prispeli	contributed
prispeli	donated
automatické	auto
automatické	automatic
volal	called
asistenti	assistants
detský	child
vystavené	exposed
čestné	honorable
čestné	honest
upravil	edited
čínskych	chinese
zranenia	injuries
popularita	popularity
zvony	bells
čelo	forehead
čelo	brow
čelo	cello
dverí	door
dverí	doors
zlý	bad
zahynuli	perished
ovplyvnili	influenced
kusy	pieces
kusy	cuts
strela	shot
strela	bullet
strela	missile
podzemných	underground
podzemných	groundwater
norma	norma
norma	norm
norma	standard
početných	numerous
alpy	alps
paolo	paolo
aer	aer
rosa	rosa
rosa	dew
zvuky	sounds
zvuky	noises
canaveral	canaveral
uznané	recognised
uznané	acknowledged
uznané	recognized
recenzie	reviews
valcov	cylinders
chvíle	moments
bankovky	banknotes
eugene	eugene
úpadok	decay
úpadok	bankruptcy
palestíny	palestine
najmenší	littlest
minimum	minimum
zmenený	altered
zmenený	modified
zmiešané	mixed
julia	julia
laboratórium	laboratory
laboratórium	lab
cover	cover
dospelosti	adulthood
miguel	miguel
limit	limit
che	che
obnova	renewal
obnova	restoration
míľ	miles
base	jail
fyzicky	physically
misií	missions
guvernér	governor
kolá	laps
kolá	rounds
vnímanie	perception
vnímanie	perceptions
full	full
námorná	maritime
plášť	cape
plášť	cloak
stewart	stewart
clark	clarke
clark	clark
lane	lane
fyzické	physical
harrison	harrison
turíne	turin
laura	laura
fauny	fauna
priečku	crossbar
morských	marine
čitateľov	readers
autobusov	buses
pascal	pascal
baran	baran
baran	aries
znamenie	sign
copa	copa
wagner	wagner
javu	phenomenon
vzorky	sample
vzorky	samples
meraní	measurements
poradca	consultant
poradca	counselor
poradca	advisor
poradca	counsellor
poradca	adviser
dobrovoľne	willingly
dobrovoľne	voluntarily
činy	actions
rozpočtu	budget
katastrofy	catastrophes
katastrofy	disasters
zločiny	crimes
koncentrácia	concentrations
koncentrácia	concentration
čiernu	black
koleso	wheel
kant	kant
aus	aus
masaryk	masaryk
pohlavné	venereal
diera	hole
porušenie	infringement
porušenie	violation
porušenie	infringements
porušenie	breach
elektronika	electronics
jedlo	food
jedlo	meal
infekcie	infections
infekcie	infection
félix	félix
optické	optical
optické	optic
summer	summer
edmonton	edmonton
spomenúť	mention
nižší	inferior
potvrdené	confirmed
komerčné	commerce
komerčné	commercial
ohlas	resonance
techno	techno
spôsobov	ways
obnovený	resumed
obnovený	renewed
obnovený	restored
vietnam	vietnam
dodatočne	additionally
fasáda	facade
fasáda	façade
cudzie	foreign
stratégie	strategies
stratégie	strategy
výrobné	manufacturing
jednotlivca	individual
gravitácia	gravity
hotela	hotel
jazykovej	linguistic
lexikón	lexicon
zátvorkách	parentheses
zátvorkách	brackets
tag	tag
bella	bella
gen	gen
konflikty	conflicts
konflikty	conflict
oto	otto
oto	oto
joachim	joachim
pokračovalo	resumed
pokračovalo	continued
stretla	met
ukážka	sample
ukážka	preview
ukážka	demonstration
fasády	facades
zla	evil
tatiana	tatiana
švédske	swedish
hnedý	brown
vedený	guided
emeritný	emeritus
stôl	table
stôl	desk
príspevkov	contributions
príspevkov	posts
ring	ring
ron	ron
taiwan	taiwan
nacisti	nazis
sfarbenie	staining
sfarbenie	colouring
spravodlivosť	justice
spravodlivosť	righteousness
spravodlivosť	fairness
naživo	live
nájdený	found
miro	miro
cpu	cpu
sprievodné	accompanying
regionálna	regional
gule	balls
svätec	saint
lenka	lenka
slobodná	single
stoviek	hundred
stoviek	hundreds
osvetlenie	illumination
osvetlenie	illuminate
osvetlenie	lighting
ein	ein
vyvinutá	developed
alpách	alps
odstúpil	resigned
fish	fish
štandardné	default
štandardné	defaults
štandardné	standard
sobáš	marriage
sobáš	wedding
tance	dances
johanna	johanna
abraham	abraham
temple	temple
objaviť	discover
oslo	oslo
užívateľov	users
mladšieho	younger
got	got
budhizmus	buddhism
reggae	reggae
greg	greg
pasažierov	passengers
