பிராட்வே	broadway
தடயவியல்	forensic
துனீசியா	tunisia
ஆழமற்ற	cạn
கன்னம்	má
கரக்பூர்	kharagpur
திலிப்	dilip
ஏடிஎம்	atm
லியோனி	leoni
கராச்சியில்	karachi
அன்பை	love
அன்பை	yêu
தோடு	earring
கியர்	gear
கியர்	ten
மங்கிய	fade
மங்கிய	phai
குணா	guna
மார்பகம்	vú
மார்பகம்	ngực
மார்பகம்	breast
கருத்தரங்கு	thảo
கைப்பாவை	rối
ஆர்க்கிமிடீஸ்	archimedes
ரூம்	phòng
பாரோ	barrow
ஹட்ஜன்ஸ்	hudgens
ரெக்ஸ்	rex
ஜூல்ஸ்	jules
கழிவறை	toilet
கரப்பான்	gián
மாசற்ற	immaculate
ஆய்வகங்கள்	laboratories
விலாஸ்	vilas
வாலின்	valin
மோனோ	mono
வைராக்கியம்	bigot
கடாரம்	kedah
எடின்பர்க்	edinburgh
பியரி	pierre
க்யூ	cue
அருவியில்	ngã
அருவியில்	falls
அருவியில்	thác
அருவியில்	rơi
அருவியில்	sút
ரால்ப்	ralph
குண்டலினி	kundalini
சாலி	sally
வெர்னர்	werner
சயீத்	sayed
சயீத்	saeed
சுடு	bắn
வனுவாட்டு	vanuatu
கும்பம்	aquarius
சிபிஎம்	cbm
ஆண்ட்ரியா	andrea
கேமரூன்	cameroon
கோல்ப்	golf
கோல்ப்	gôn
கோல்ப்	golfer
வேட்டைக்காரன்	hunter
வேட்டைக்காரன்	nimrod
சேஸ்	đuổi
சேஸ்	tẩu
சேஸ்	chase
ஸ்கோர்	điểm
சுவா	sua
சாவர்க்கர்	savarkar
கலோரி	calorie
கலோரி	calo
டிரேக்	drake
அடுப்பில்	lò
மினசோட்டா	minnesota
அய்யன்	ayaan
மிஸ்ரா	mishra
பிளாக்பர்ன்	blackburn
அருணன்	aruna
சிக்ஃபிரைட்	siegfried
யோனா	jonah
செலினியம்	selen
புரூக்ளின்	brooklyn
கூடாரம்	lều
தூதர்கள்	messengers
கான்கிரீட்	tông
புதுப்பிப்பு	update
அழ	khốc
அழ	cry
அழ	khóc
சலவை	rửa
சலவை	giặt
பெப்சி	pepsi
டைட்டானியம்	titanium
டைட்டானியம்	titan
ஹம்மர்	hummer
டேராடூன்	dehradun
ஐவி	ivy
சோபா	sofa
ஒற்றைப்படை	lẻ
தாவூத்	dawood
அண்டார்க்டிக்	antarctic
ஓட்டல்	hotel
லூசி	lucy
கோஸ்டா	costa
வளங்களும்	hoài
சீசெல்சு	xê
சீசெல்சு	seychelles
விசேஷ	cống
லஷ்கர்	lashkar
விரல்களை	ngón
எரேமியா	jeremiah
செலஸ்தீன்	celestine
பிர்	pir
பிர்	bir
உதிரி	chừa
பத்தனம்திட்டா	pathanamthitta
பைலோரி	pylori
மரவள்ளி	sắn
துவாலு	tuvalu
பெருவிரல்	thumb
மிர்	mir
நெட்வொர்க்குகள்	mạng
அலெக்	alec
கலே	calais
செஸ்	cess
சிர்சா	sirsa
விரிசல்	cracking
ஓஹியோ	ohio
முந்தையது	trước
முந்தையது	trước
நவக்கிரகம்	navagraha
காளான்கள்	nấm
பைத்தியம்	khùng
பைத்தியம்	điên
பைத்தியம்	giận
யாரால்	ai
யாரால்	who
அக்ரம்	akram
ஜெபர்சன்	jefferson
கொக்கி	hook
கொக்கி	móc
டயமண்ட்	zô
டயமண்ட்	diamond
மென்டிஸ்	mendis
சித்திக்	siddiqui
நானோகுழாய்	nanotube
கம்பீரமாக	sublime
சார்ஜ்	sạc
சார்ஜ்	sạc
திவாரி	tiwari
கொதிக்கும்	sôi
மாவீரர்கள்	kị
வேடிக்கையான	hài
வேடிக்கையான	vui
சேற்றில்	bùn
வற்றாத	perennial
ஔரங்கசீப்	aurangzeb
கிஸ்	hôn
கிஸ்	kiss
மூடு	close
மூடு	đóng
மூடு	gần
மூடு	kín
மனி	manny
ஈதர்நெட்	ethernet
பாடலைக்	song
பெருமம்	maxima
பிரசாதம்	prasad
பெனசீர்	benazir
முளைத்தல்	germination
மதுபானம்	rượu
மதுபானம்	cồn
மைன்புரி	mainpuri
லாயிட்	lloyd
மார்க்கோனி	marconi
பிளாத்	plath
பிரீட்ரிக்	friedrich
பன்னா	banna
வெஸ்லி	wesley
அஞ்சு	anju
#திரு	#ông
லாவோ	lào
லாவோ	lao
குளிக்க	tắm
நிலத்திலும்	amphibious
கிரில்ஸ்	grylls
நாசரேத்து	nazareth
டெலிகாம்	telecom
நண்பர்களே	guys
நண்பர்களே	bè
ஈஷா	isha
சிருங்கேரி	sringeri
மிசோ	mizo
ஓசுமியம்	osmi
யூனுஸ்	yunus
மரகதம்	chlorostilbon
மரகதம்	emerald
எல்லையற்ற	infinite
எல்லையற்ற	vá
ஃபக்ட்புக்	factbook
டேனியல்ஸ்	daniels
அன்சாரி	ansari
ஆலோ	aloe
ரெஜினால்ட்	reginald
கொய்ராலா	koirala
ஆயிஷா	aisha
ஆயிஷா	ayesha
சொன்னான்	nói
சொன்னான்	bảo
சொன்னான்	said
வலைப்பூக்கள்	blogger
குடும்பத்தார்	đình
உரி	uri
ஹாப்கின்ஸ்	hopkins
மல்டி	đa
மல்டி	multi
உருவவியல்	morphology
குரோமேட்டு	cromat
இலந்தனம்	lantan
கருத்துக்களில்	comments
இரட்டிப்பு	double
இரட்டிப்பு	đôi
சுவான்	chuan
நெகாரா	negara
தூர்தர்ஷன்	doordarshan
உடைப்பு	phá
உடைப்பு	breaking
மனதைக்	phiền
மூச்சை	thở
பேய்கள்	ghosts
பேய்கள்	ma
பேய்கள்	quỷ
ஏனாம்	yanam
சோகை	anemia
ரென்	ren
ரென்	nhâm
ஹார்மோன்கள்	hormone
ஹார்மோன்கள்	hormon
ஹார்மோன்கள்	hormones
பெய்ன்	payne
கணையம்	tụy
லயனல்	lionel
சியால்கோட்	sialkot
மறுபிறப்பு	rebirth
அயூப்	ayub
ப்ரீ	bree
ரிப்பன்	ripon
ரிப்பன்	ribbon
விருந்தினர்கள்	khách
ரைடர்	ryder
ரைடர்	rider
பிரி	tách
பிரி	chia
டைரக்ட்	direct
டைரக்ட்	trực
சிசு	fetal
சாபு	sabu
இயலாதது	gear
ஜுவான்	juan
கரண்டி	muỗng
கரண்டி	thìa
கரண்டி	spoon
கரண்டி	muỗng
கரண்டி	thìa
வேட்	wade
சுத்தி	búa
அலங்காரங்கள்	lọc
பெரிங்	bering
அமைக்கிறது	dong
நடத்துகிறார்	hosting
பெண்மை	feminine
கையெழுத்திட்ட	ký
லோடி	lodi
மார்கஸ்	marcus
சபாஷ்	bravo
முண்டா	munda
புஸ்ஸிகேட்	pussycat
மோனா	mona
வினைல்	vinyl
ஹோகன்	hogan
வாங்கவும்	mua
ஜியா	gia
ஜியா	zia
கசப்பான	đắng
மைல்கல்	mốc
மின்னஞ்சல்கள்	email
கருத்துக்கணிப்பு	survey
ஜூரோங்	jurong
கானான்	canaan
ஊடு	zigzag
கொடுங்கள்	đưa
கொடுங்கள்	tặng
கொடுங்கள்	cho
தடிமனான	thick
தடிமனான	dầy
தடிமனான	dày
லென்ஸ்	lens
எக்ஸ்போ	expo
கவுரி	gauri
கோட்சே	godse
ஹூட்	mui
ஹூட்	hood
சாகசங்கள்	adventures
கரடு	rough
சுவடு	vết
சுவடு	trace
அங்காரா	ankara
இன்னிங்ஸ்	innings
லட்சக்கணக்கான	triệu
ஒலிபெருக்கி	loa
முயன்றால்	unsigned
மார்ஷ்	marsh
ஆலைடு	halide
பெட்டகம்	container
சூடாக	hot
சூடாக	nóng
அருகிவரும்	endangered
மன்னா	manna
கண்களும்	mắt
இவா	eva
செயல்படுத்தப்பட்டது	bật
கைவினை	craft
ஓரினச்சேர்க்கை	gay
மடிக்கணினி	laptop
ஆபிரகாமிய	abrahamic
சீட்டுகள்	nhãn
புரோ	pro
ஹமீது	hamid
குழப்ப	confuse
ஏர்டெல்	airtel
கொசோவோ	kosovo
மில்ஸ்	mills
விற்கவும்	bán
அவா	ava
விநாடிகள்	giây
பொடா	boda
தாய்நாடு	homeland
நண்பரே	bạn
நண்பரே	hiền
கில்ஜி	khilji
டிரக்	trailer
அழுது	khóc
கூந்தலில்	tóc
ருசி	ngon
குறுக்கீடுகள்	ngắt
குறுக்கீடுகள்	gián
ஜீன்ஸ்	jeans
சாகி	saki
ஏமி	amy
டால்பின்	dolphin
சலாகுத்தீன்	salahuddin
#நான்	#tôi
கமில்	kamil
அசிட்டோன்	axeton
நோர்டிக்	nordic
சௌ	châu
சௌ	chow
ரஹீம்	rahim
ரஹீம்	raheem
பியாஸ்	beas
போர்ட்டர்	toang
போர்ட்டர்	porter
மூக்கில்	mũi
காப்பர்	đồng
நீந்தி	bơi
வலிகள்	đau
கேக்	bánh
நிற்கிறார்	đứng
ஹரே	lepus
ஹரே	hare
யூதேயா	judea
சுயவிவரம்	sơ
ஸ்விஸ்	swiss
ஆட்டோகேட்	autocad
பாங்	bàng
பாங்	bong
ஆமிர்	aamir
போர்ச்சுகல்	portugal
சாப	dont
மார்லன்	marlon
ரமலான்	ramadan
கிரெய்க்	craig
தோடா	toda
சிறந்தவை	nhất
லிஞ்ச்	lynch
உடையை	outfit
ஒழுகும்	đổ
டிரம்மர்	drummer
மண்டையோடு	sọ
அச்சுகள்	trục
பழச்சாறு	juice
சரம்	lọc
சரம்	chuỗi
கார்சன்	carson
பகடி	parody
அலங்காரத்	ornamental
பிரண்டன்	brendon
சின்ஹா	sinha
சீப்பு	lược
சீப்பு	comb
முடக்கு	tắt
முடக்கு	off
முடக்கு	tắt
முடக்கு	câm
முடக்கு	tắt
பொருத்துதல்	khớp
சலங்கை	sagara
இசுடோன்	histone
ஸ்பைக்	spike
ராஜமுந்திரி	rajahmundry
எசேக்கியேல்	ezekiel
குதிக்கும்	nhảy
குதிக்கும்	nảy
குதிக்கும்	bounce
உதடுகள்	môi
குளோரியா	gloria
கனல்	kanal
பூட்	boot
ரீஸ்	reese
ஆய்வறிக்கை	thesis
பெய்ரூட்	beirut
குளியலறை	do
குளியலறை	wc
குளியலறை	tắm
மியா	mia
நீல்ஸ்	niles
பாட்டீல்	patil
பாவா	bhava
ஸ்மிருதி	smriti
நிலவே	chand
உருண்டையான	globular
பரேலி	bareilly
கீறல்	gãi
கீறல்	scratch
மெத்தை	nệm
லியு	liu
லியு	lưu
லியு	lêu
லியு	leu
வறுத்த	chiên
அழுக்கு	bẩn
அழுக்கு	hủ
அழுக்கு	dơ
ஊமை	trẩu
ஊமை	câm
ரிஷிகேஷ்	rishikesh
சாய்ந்து	gầy
சாய்ந்து	nghiêng
சாய்ந்து	incline
தொண்ணூறு	ninety
செவ்வி	chevy
நமஹ	namah
பந்த்	pant
இத்தாலியா	italia
பேதை	cỏ
பேதை	weed
முட்டி	gối
முட்டி	cưỡng
மேலோடு	vỏ
படிப்பினை	đạo
மகலன்	magellan
அழைத்தல்	gọi
டெங்கு	dengue
ஹக்கீம்	hakeem
லுமும்பா	lumumba
தோவாப்	doab
கிளியோபாட்ரா	cleopatra
சீஸ்	cheese
லூதரனியம்	lutheranism
உள்ளமை	nội
இசுப்புட்னிக்	sputnik
நிக்கோலா	nicola
சக்ரா	luân
வில்லியம்சன்	williamson
சிட்டகாங்	chittagong
செங்கற்கள்	gạch
பிக்சர்	pixar
ஏர்ல்	earl
ஏர்ல்	lô
மார்க்கெட்டிங்	marketing
பொழில்	rainforest
ராண்டி	randy
ராண்டி	randi
மொட்டை	silky
ஒஸ்லோ	oslo
தியோ	theo
அடங்காத	briones
ஃபிஷர்	fisher
நீர்க்காகம்	phalacrocorax
சிக்ரி	sikri
கவனி	xem
கவனி	pass
சேம்பர்	vẹn
மாரா	mara
உள்ளங்கை	palm
உள்ளங்கை	sên
உள்ளங்கை	cọ
கவிஞன்	thơ
கோமா	mê
விபத்துக்குள்ளானது	okinawa
கோமாளி	hề
கோமாளி	dị
கிர்கிஸ்தான்	kyrgyzstan
துணையை	mate
கீரி	mongoose
அழுத்தவும்	nhấn
அழுத்தவும்	bào
அழுத்தவும்	ấn
அழுத்தவும்	bấm
வாளி	xô
பியா	pia
பியா	biya
கொழுந்து	blaze
ஃபால்	sáp
ஃபால்	rơi
ஃபால்	sút
ஃபால்	ngã
அடோல்ஃப்	adolphe
ஜேமி	jamie
அர்ஜுனா	arjuna
சிரி	cười
மொசில்லா	mozilla
சுகர்	đường
சுகர்	sugar
வருண	varuna
பூத்து	booth
கிமி	kimi
தலைப்பாகை	sikh
பீக்	peek
ஜாவேத்	javed
சுவரொட்டிகள்	poster
லாண்டன்	landon
பிசுமில்	bismil
பலாவு	palau
விட்டும்	khỏi
விட்டும்	từ
டையர்	dyer
மாயம்	thuật
மாயம்	magic
கிரெடிட்	credit
கிரெடிட்	gmail
பியூரின்	purine
கோயா	goya
பூப்	bụp
ஷெட்டி	shetty
துரு	rust
துரு	gỉ
ரேணுகா	renuka
லாப்ரடோர்	labrador
வால்கிரி	valkyrie
லத்தீப்	latif
மின்ஸ்க்	minsk
இல்லுமினாட்டி	illuminati
பூம்	hụt
பூம்	bùm
பூம்	boom
பெலருசிய	belarus
கெர்	kerr
நங்கூரம்	neo
நங்கூரம்	anchor
கனெடிகட்	connecticut
ஜித்தா	jeddah
மஸ்கட்	muscat
ஜெசிக்கா	jessica
உத்தமன்	utama
கிர்	gir
மிட்டாய்	kẹo
மிட்டாய்	candy
டாக்சி	taxi
பரிதாபாத்	faridabad
நியூமன்	newman
கடித்து	bit
கடித்து	đớp
கடித்து	táp
கடித்து	cắn
இதமான	crete
ஏக்கம்	buon
முளை	mầm
சவுல்	saul
ஜான்ஸ்டன்	johnston
சரியானதாக	hảo
அரப்பா	harappa
அய்சால்	aizawl
ஆரோக்கியமாக	healthy
தீத்து	titus
படகோட்டம்	buồm
கேலக்ஸி	galaxy
ரங்	rang
ரங்	reo
தளவாடங்களை	logistics
மெழுகுவர்த்தி	candle
மெழுகுவர்த்தி	nến
ஹோமோ	homo
கம்மம்	khammam
வெய்ன்	wayne
டேவிட்சன்	davidson
ஹைட்ரோ	hydro
லூசோன்	luzon
கிண்ணத்தில்	bát
பால்மர்	palmer
லெஸ்டர்	lester
பேகூசராய்	begusarai
ராக்ஸ்டார்	rockstar
ரேடான்	radon
ஜமைக்கா	jamaica
ஷெரீப்	sharif
வேகா	vega
அதிகாரங்களைக்	militarism
ரோனி	roni
ரோனி	ronnie
புயல்கள்	nhào
ஸ்டில்	côn
ஸ்டில்	vẫn
இண்டர்	inter
சூதாட்டம்	casino
திமீத்ரி	dmitri
நாபொலி	naples
நாபொலி	napoli
சீழ்	mủ
சிம்சன்	simpsons
சிம்சன்	simpson
அதுல்	atul
பவேரியா	bayern
பவேரியா	bavaria
பிரா	bh
டென்வர்	denver
சேறு	bùn
லியோனார்டோ	leonardo
ரேவா	rewa
கான்பரா	canberra
டன்கிர்க்	dunkirk
டன்கிர்க்	dunkerque
சர்வே	survey
விரிகோண	lụt
சான்சி	chauncey
சோகம்	buồn
சோகம்	sadness
சோகம்	sầu
சோகம்	buồn
இயக்கவும்	play
இயக்கவும்	chơi
இயக்கவும்	at
ஆர்கானிக்	organic
நிமி	phút
நிமி	min
புகலிடமாக	haven
குவா	kua
யூரோப்பியம்	europi
தெகிவளை	dehiwala
சர்க்கஸ்	xiếc
சர்க்கஸ்	circus
அன்பளிப்பு	tặng
சூயஸ்	suess
ஹீரா	hera
மார்கோ	marco
செக்கரியா	zechariah
மோரி	mori
ஏரியல்	ariel
ரிச்சர்ட்ஸ்	richards
அல்ட்ரா	ultra
அழுகிய	thúi
கொய்யா	ổi
கொய்யா	oi
டோரதி	dorothy
குளவி	wasp
கூல்	ngầu
கூல்	tuyệt
கூல்	mát
கூல்	cool
பவுண்டேஷன்	quỹ
பவுண்டேஷன்	foundation
பவுண்டேஷன்	nọc
தினார்	dinar
குரியன்	gurion
பீல்	peel
சுசி	sushi
சுசி	suzy
ஜூலியட்	juliet
லேகர்ஸ்	lakers
குலுக்கல்	shuffle
செபாஸ்டியன்	sebastian
பழக்கமான	quen
லெக்	lek
குர்	gur
ஓத	tidal
சிறுநீரகங்கள்	thận
சிறுநீரகங்கள்	cật
பொருத்தது	tùy
பீமா	bhima
ஜாம்	jam
ஜாம்	mứt
ஸ்டோர்	tùng
ரேங்கின்	rankine
ஹேஸ்	haze
செம்பருத்தி	hibiscus
வறட்சியான	thyme
பிஜ்னோர்	bijnor
முள்ளெலி	nhím
சூனியம்	thuật
சூனியம்	magic
தேடுவது	tìm
பந்தி	bandi
டால்ஸ்டாய்	tolstoy
லினோலெனிக்	linolenic
உஸ்மான்	usman
மோகன்தாஸ்	mohandas
தேள்	scorpio
தேள்	cạp
தேள்	scorpion
ஃபில்	phil
ஃபில்	phill
சிமோகா	shimoga
புத்ரா	putra
பனம்	palmyra
பிஸ்மார்க்	bismarck
உத்தரகண்ட்	uttarakhand
விளையாட்டைப்	play
விளையாட்டைப்	chơi
விளையாட்டைப்	at
டிரினிட்டி	trinity
கேனரி	serinus
கேனரி	canary
