퍼텐셜	posibleng
피보나치	fibonacci
에두아르도	eduardo
코브라	cobra
플라톤	plato
항생제	antibiotic
항생제	antibyotiko
그리피스	griffith
그리피스	griffiths
정서	emotion
정서	damdamin
현미경	mikroskopyo
현미경	microscopy
민트	mint
트로이아	troy
육체	laman
칩셋	chipset
아이튠즈	itunes
컨셉	konsepto
컨셉	konsepto
트레이딩	trading
중요성	kahalagahan
제우스	zeus
전화번호	phone
전화번호	telepono
긴장	tension
긴장	igting
워털루	waterloo
지다	jeddah
노구치	noguchi
질투	selos
질투	inggit
질투	nagseselos
질투	selos
안젤로	angelo
안젤로	angela
지부티	djibouti
스탠포드	stanford
마이코	maiko
개선하기	pagpapabuti
개선하기	pagpapahusay
개선하기	mapabuti
개선하기	pagbutihin
플라스마	plasma
몽골족	mongol
프라이스	presyo
불규칙	lubak
불규칙	irregular
사자자리	leo
스테파니	stephanie
킬로그램	kilogramo
두부	tokwa
타당성	validity
타당성	bisa
쿠르드	kurdistan
복장	kasuotan
차분한	mahinahon
차분한	kalmado
바니	barney
아순시온	asuncion
기사도	chivalry
디아스	díaz
디아스	diaz
볼리바르	bolívar
엘렌	ellen
천하무적	invincible
모방	pekeng
랜드마크	palatandaan
탈레반	taliban
파르티아	parthia
그놈	gnome
약사	parmasyutiko
용접	weld
용접	hinang
수프	sopas
수프	sabaw
측도	sukatin
측도	masukat
사쿠라다	sakurada
리라	lira
트와일라잇	twilight
나탈리	natalie
대문자	uppercase
대문자	capitalization
에밀리오	emilio
악용	abuso
악용	aabuso
콕스	cox
초보자	beginners
남동	southeast
남동	southeastern
바부다	barbuda
카슈미르	kashmiri
카슈미르	kashmir
블리치	bleach
수수	batad
마크업	markup
히타이트	hitita
히타이트	hittite
버니	bernie
토레스	torres
아스투리아스	asturian
에리트레아	eritrea
명목	nominal
엘비스	elvis
텔레노벨라	telenovela
귀한	bihirang
귀한	bihira
대리인	guardians
대리인	guardian
대리인	ahente
대리인	agent
대리인	pampagtatalik
리베라	rivera
성기	titi
성기	genitalia
양수	positive
양수	positibong
양수	positibo
어색한	alanganin
어색한	awkward
어색한	nakakahiya
미즈사와	mizusawa
피카츄	pikachu
바바라	barbara
콤보	combo
레아	rhea
레아	lea
아톰	atom
마시기	inuman
마시기	inom
위생	sanitary
위생	kalinisan
위생	kalinisan
팩터	zin
팩터	factor
팩터	kadahilanan
올라프	olaf
멸치	dilis
노예제	alipin
노예제	slavery
아쉬운	madali
아쉬운	madaling
아쉬운	easy
유미코	yumiko
인류학	antropolohiyang
레이어	layers
레이어	patong
음주	inuman
음주	inom
가입자	subscriber
가입자	subscriber
아이누	ainu
스프린트	sprint
호프만	hoffmann
호프만	hoffman
팍스	pax
불만	reklamo
불만	reklamo
패티	patti
패티	patty
하룻밤	magdamag
보일러	kaldero
신선	fresh
신선	sariwa
광둥어	kanton
조차도	kahit
가루	pulbos
구출	pagsagip
구출	pagligtas
구출	rescue
명소	attractions
명소	palatandaan
세슘	sesyo
리히터	richter
아르곤	argon
웨슬리	wesley
니제르	niger
퀸시	quincy
숭배	kargo
숭배	kulto
숭배	pagsamba
독성	toxic
트릭	trick
코멘트	comment
영사	consul
루안다	luanda
휘슬러	whistler
도난	ninakaw
도난	pagnanakaw
유명인	famous
유명인	sikat
웨어	ware
웨어	paninda
그라츠	graz
치사	homicide
탬파	tampa
팔라우	palau
마찰음	fricative
카리스마	charismatic
주스	katas
주스	juice
자치령	dominion
매니토바	manitoba
헤이	oy
매점	canteen
펌웨어	firmware
준수	pagsunod
준수	sumunod
중서부	midwest
티나	tina
마스터링	mastering
펀드	fund
펀드	pondong
펀드	pondo
종속	dependent
종속	nakasalalay
종속	dependensiya
종속	dependensiya
볼드윈	baldwin
명품	luho
명품	marangyang
명품	luxury
크레인	crane
소주	soju
젖은	basa
설문	botohan
설문	botohan
설문	poll
행크	hank
싸인	autograph
규소	silicon
태평	taiping
위임	delegasyon
슈나이더	schneider
요시카즈	yoshikazu
걸음	stride
걸음	hakbang
걸음	step
걸음	hakbang
걸음	steps
세븐틴	seventeen
할렐루야	aleluya
주머니	bulsa
덮개	cover
덮개	pabalat
덮개	takpan
스펀지	sponge
노키아	nokia
클리프	bangin
클리프	cliff
톰프슨	thompson
파푸아	papua
파푸아	papuan
록펠러	rockefeller
우치	łódź
이고르	igor
맑음	burahin
맑음	malinaw
맑음	maaraw
맑음	sunny
직사각형	parihaba
재미	masaya
재미	katuwaan
산화물	oxide
히스	heath
미치	mitch
와카마쓰	wakamatsu
드라큘라	dracula
악화	sinamantala
악화	malala
커크	kirk
경매	subasta
경매	auction
테오도시우스	theodosius
콘티넨탈	kalapagang
브릿지	tulay
머무르고	mananatiling
머무르고	manatili
머무르고	manatiling
머무르고	stay
도표	diagram
동남아	southeast
생산성	produktibo
프리웨어	freeware
카트만두	kathmandu
프라이	fry
스팀	singaw
스팀	steam
아사카	asaka
유리카	erica
대백과사전	encyclopedia
하우	howe
언더우드	underwood
네이티브	katutubo
네이티브	katutubong
손잡이	hawakan
코코넛	buko
고릴라	gorilla
하마	hippo
하마	hippopotamus
당뇨병	diabetes
당뇨병	diabetes
유방	dibdib
유방	suso
비테르보	viterbo
좋아요	okay
웃음	tatawa
웃음	laughs
웃음	tawa
웃음	tumatawa
웃음	tawa
웃음	tumawa
웃음	pagtawa
웃음	tawa
루가	luke
루가	lucas
여관	inn
여관	otel
콜론	colón
콜론	colon
아이유	anak
아이유	bata
피에몬테	piemonte
피에몬테	piedmont
먹어	kumain
브랜던	brandon
리아	lea
리아	leah
리아	lia
밀어	push
품격	sosyal
프롬	prom
부호화	encode
부호화	encoding
부호화	coding
트랜잭션	transaksiyon
트랜잭션	transaksyon
우려	aalala
우려	malasakit
우려	alalahanin
우려	concern
루즈벨트	roosevelt
입국	pagdating
입국	arrival
칠리	chilli
칠리	sili
냠냠	yum
가방	supot
가방	bag
가방	bag
소크라테스	socrates
조선소	pagawaan
나가기	umalis
나가기	lumabas
몬테	monte
네기시	negishi
출판됨	inilathala
출판됨	publish
변종	variant
리프트	rift
리프트	angat
현대그룹	hyundai
도시락	lunch
도시락	pananghalian
도시락	tanghalian
목적지	pupuntahan
목적지	destinasyon
목적지	patutunguhan
목적지	destinasyon
보정	pagandahin
보정	pagbutihin
보정	pagpapaganda
보정	calibration
사랑스러운	lovely
데일	dale
미스틱	mystic
모리슨	morrison
표시하기	ipakita
표시하기	ipapakita
표시하기	display
벨리즈	belize
만족	satisfaction
만족	kasiyahan
만족	nasiyahan
만족	kuntento
만족	kontento
만족	nasisiyahan
등기	nakarehistro
코모로	comoros
안젤라	angela
연주회	konsiyerto
연주회	konsiyerto
연주회	concert
팽창	expansion
좌표계	coordinate
활성	active
활성	aktibong
활성	aktibo
섹시	sexy
까마귀	uwak
까마귀	uwak
까마귀	uwak
까마귀	raven
나이프	kutsilyo
라일리	riley
라일리	reilly
측량	surveyor
훔쳐	nakawin
훔쳐	magnakaw
캐런	karen
일러스트레이터	drawing
북동	isan
히라이	hirai
조개	clam
지오	gio
지오	geo
바베이도스	barbados
카라치	karachi
채팅	chat
아디다스	adidas
가속기	accelerator
테라	terra
계산기	calculator
에디터	editor
에디터	editor
부끄러운	hiya
부끄러운	kahihiyan
부끄러운	nahihiya
부끄러운	mahiyain
시키	shiki
오마하	omaha
엔트로피	entropy
바덴	baden
하루코	haruko
성교	pakikipagtalik
성교	pakikipagtalik
성교	sex
테디	teddy
버크	burke
클린트	clint
스푸트니크	sputnik
골짜기	lambak
골짜기	valley
연구자	researcher
연구자	nananaliksik
연구자	mananaliksik
공작부인	dukesa
소프트볼	softball
커브	curve
커브	liko
브르타뉴	brittany
브르타뉴	breton
엘람	elam
아바	ava
모터스포츠	motorsports
펄스	pulso
펄스	tibok
오라클	oracle
오라클	dakila
베로니카	veronica
갈매기	bako
크리드	creed
탄산	carbonate
사파리	safari
스탭	kawani
스탭	staff
우울증	depression
우울증	depresyon
키워드	keyword
접미사	hulapi
콜라보레이션	collaboration
콜라보레이션	pakikipagtulungan
콜라보레이션	kolaborasyon
자제	pagpipigil
룰라	lula
애플렉	affleck
캘빈	calvin
다이어트	pagdidiyeta
다이어트	diyeta
다이어트	diet
주간고속도로	interstate
라이트닝	kidlat
라이트닝	lightning
자연주의	naturalismo
고다마	kodama
투명	malabong
투명	transparent
투명	transparency
석기	bato
영감	inspired
영감	madamdamin
영감	inspirasyon
영감	inspirasyon
영감	inspiration
그렉	greg
애비	abby
두려움	takot
보좌	auxiliary
도시바	toshiba
코코아	tsokolate
대시	dash
대시	gitling
진술	pahayag
미스테리	misteryo
보디가드	bodyguard
반란군	rebel
반란군	rebelde
반란군	rebelde
프레데터	predator
영장류	primate
다이고	daigo
플래그	bandila
플래그	watawat
마시	marsh
미카미	micah
채무	utang
리턴	pagbabalik
리턴	returns
리턴	bumalik
리턴	pagbabalik
하이웨이	highway
동창	classmates
모욕을	lait
요구사항	kinakailangan
요구사항	requirement
요구사항	kinakailangan
요구사항	requirements
캐롤라인	caroline
클랜	angkan
클랜	clan
클랜	kapisanan
푸른색	blue
푸른색	bughaw
푸른색	asul
생생한	maliwanag
제이드	jade
모기	lamok
페이퍼	papel
페이퍼	papeles
페이퍼	papers
음식점	restawran
음식점	kainan
음식점	restaurant
음식점	places
음식점	restawran
음식점	restoran
형이상학	metapisika
피츠제럴드	fitzgerald
깡패	gangster
애국	patriotic
시프트	shift
잊혀진	nakalimutang
잊혀진	nakalimutan
디펜스	depensa
디펜스	defense
디펜스	pagtatanggol
디펜스	ipagtanggol
조언	advice
조언	payo
조언	sabihan
계기	pinapalo
계기	instrumento
해머	martilyo
편집하기	edit
익명	anonymous
씨앗	seed
씨앗	buto
씨앗	binhi
모세	moises
스토커	stalker
라우팅	routing
채플린	chaplin
주먹	kamao
프로덕션스	productions
미르	mir
수박	pakwan
록키	mabato
록키	batuhan
파운데이션	pundasyong
파운데이션	foundation
파운데이션	pundasyon
사라왁	sarawak
마릴린	marilyn
침례교	baptist
카타니아	catania
단발	lang
단발	lamang
디바	divas
디바	diva
매카시	mccarthy
메디나	medina
몽펠리에	montpellier
거절	tanggihan
거절	pagtanggi
거절	tumanggi
거절	tinanggihan
나타납니다	lumalabas
나타납니다	lilitaw
나타납니다	lalabas
나타납니다	lumabas
항문	anus
롤리팝	lollipop
홀리데이	holliday
홀리데이	pista
홀리데이	holiday
미들즈브러	middlesbrough
사탕수수	tubo
사탕수수	cane
후식	panghimagas
후식	dessert
토륨	thorium
니키타	nikita
아흐마드	ahmad
햇빛	sunshine
햇빛	sunlight
도나	donna
플러그인	plug
플러그인	plugin
알레한드로	alejandro
부룬디	burundi
호스	hose
닭고기	chicken
닭고기	manok
침투	baon
아흐메드	ahmed
아흐메드	ahmad
로렌츠	lorenz
카스피	caspian
에드워즈	edwards
스칼렛	scarlet
스칼렛	scarlett
암초	bahura
송신	papalabas
마사무네	masamune
어벤져스	avengers
오드리	audrey
지팡이	cane
지팡이	rod
지팡이	wand
정상회담	summit
정상회담	tuktok
사육	breeding
사육	aanak
제니스	taluktok
구슬	kuwintas
옥션	subasta
옥션	auction
문어	pugita
문어	octopus
해커	hacker
아민	amin
숙박	mananatiling
숙박	manatili
숙박	manatiling
숙박	stay
숙박	tirahan
숙박	accommodation
통증이	sakit
통증이	kirot
배수	drain
배수	kanal
세례	binyagan
세례	binyag
세례	bautismo
세례	christening
스피커	nagsasalita
스피커	speaker
스피커	nagsasalita
스피커	tagapagsalita
애틀란타	atlanta
애틀란타	atl
샐러드	salad
밸런스	balanse
끓는	boiling
현실적	makatotohanan
코스프레	cosplay
싸우기	lumaban
픽업	pickup
픽업	pagkuha
협동조합	matulungin
협동조합	kooperatiba
말레이어	malay
바륨	barium
더스틴	dustin
프로방스	provence
보나	bona
경호원	bodyguard
오푸스	opus
나열	nakalista
나열	inilista
블랙베리	blackberry
양심적	budhi
드롭	drop
교훈	lesson
교훈	aral
할로윈	undas
할로윈	halloween
추상	abstract
억만장자	billionaire
악어	aligeytor
악어	buwaya
악어	buwaya
정오	tanghali
정오	noon
안정성	katatagan
손목	pulso
샬롯	charlotte
교통사고	aksidente
부적절	improper
헝가리어	hungarian
결투	duel
짐승	beast
태즈메이니아	tasmania
ㅋㅋ	lol
벌레	uod
벌레	bug
운석	meteorita
스토리지	imbakan
스토리지	storage
카피	kopya
카피	copy
카피	kopyahin
가오	gao
세르지오	sergio
자니	johnny
아르헨티나인	argentina
아르헨티나인	argentinian
아르헨티나인	argentine
소품	prop
소품	props
애버딘	aberdeen
차베스	chávez
차베스	chavez
