ривалство	rivalry
гог	gogh
девијација	lệch
рушење	wrecking
труди	trudy
татарстан	tatarstan
лени	leni
лени	lennie
лени	lenore
лени	lenny
коридор	lang
дијаспората	diaspora
бени	beni
бени	benny
елени	hươu
јудеја	judea
скриена	phone
скриена	ẩn
јоханесбург	johannesburg
фоки	cẩu
поату	poitou
босфор	bosphorus
босфор	bosporus
обувки	giày
обувки	giầy
обувки	móng
симпсон	simpsons
симпсон	simpson
рударство	mỏ
наградена	thưởng
резиме	recap
комптон	compton
варен	warren
диода	diode
диода	điốt
микрософт	microsoft
натали	natalie
натали	nathalie
флечер	fletcher
појадок	sáng
џошуа	joshua
коњски	ngựa
престон	preston
допре	touch
допре	ống
допре	sờ
допре	chạm
одбира	picks
колиби	khoang
жаби	ếch
саундтрак	soundtrack
земјоделците	nông
пантеон	pantheon
колонијална	colonial
графичка	graphic
меко	soft
меко	mềm
нота	note
макао	macao
макао	macau
ербас	airbus
оклопни	armoured
мандарински	mandarin
мандарински	quýt
ѓавол	devil
ѓавол	quỷ
лапонија	lapland
константно	hằng
хобс	hobbs
хобс	hobbes
бејзбол	chày
банда	manh
банда	đảng
банда	đám
банда	lũ
хајде	heide
пореметувања	xáo
ерупција	eruption
алтај	altai
алтај	altay
мулде	mulde
цитат	quote
јуда	judas
јуда	judah
праќање	gửi
праќање	phái
помлада	younger
кампусот	trượng
посилен	mạnh
титов	titov
костуми	costumes
костуми	costume
прогресивна	progressive
зимзелени	fir
зелка	bắp
свештенство	clergy
петмина	năm
мега	mega
здружени	tham
целзиусови	celsius
кајман	caiman
хиерархиски	hierarchical
следно	kế
следно	tiếp
следно	kit
куршум	viên
мекдоналд	mcdonald
мекдоналд	mcdonalds
собите	phòng
гел	gel
перл	pearl
перл	trân
детекција	detection
пиринеи	pyrénées
пиринеи	pyrenees
видал	vidal
топчиња	balls
топчиња	bi
фихте	fichte
реџеп	rajab
реџеп	recep
хармоника	harmonica
хармоника	accordion
јејтс	yates
фреско	fresco
дионисиј	dionysius
барови	thanh
алпско	alpine
војникот	lính
шлезија	silesia
тревор	trevor
универзални	universal
универзални	chung
хатавеј	hathaway
измами	scam
јунаци	heroes
соколи	falcons
соколи	hawks
шара	shara
претставништва	representations
претставништва	cành
адел	adel
адел	adele
диоген	diogenes
обликување	shaping
ребра	sườn
кромвел	cromwell
биолог	biologist
роботи	robot
роботи	robots
темза	thames
перез	perez
везер	weser
макроекономија	macroeconomics
алати	cụ
улични	phố
улични	street
чекање	đợi
чекање	chờ
прелистувач	duyệt
цилиндар	trụ
хеликоптер	helicopter
хеликоптер	thăng
хеликоптер	chopper
доброволни	nguyện
рецепт	prescription
рецепт	thức
рецепт	recipe
дагестан	dagestan
столба	đương
алтона	altona
хорхе	jorge
милутин	milutin
путер	bơ
скромен	nhục
хера	hera
мокра	trơn
мокра	vat
мокра	ướt
атлетичари	vđv
интернационале	internazionale
кентаки	kentucky
ајова	iowa
бојл	boyle
лимфни	lymphoma
лимфни	lympho
младенчиња	cubs
анатолиј	anatoly
страмер	strummer
тивко	silent
тивко	thoả
сигеберт	sigebert
храбар	đậm
храбар	bold
бенгал	bengal
силвестер	sylvester
прометеј	prometheus
техеран	tehran
питсбург	pittsburgh
креда	chalk
креда	phấn
реч	rec
робер	robert
артерии	arteries
брунеј	brunei
симболично	symbolic
доминик	dominick
доминик	dominik
доминик	dominique
доминик	dominic
архимед	archimedes
џиновски	giant
џиновски	toshiba
фереро	ferrero
забот	răng
ној	neu
виножито	rainbow
перење	giặt
перење	rửa
лика	lika
едит	edith
застрелан	phát
застрелан	bắn
перспективи	perspective
стела	stella
фризиски	frisia
беки	becky
прада	prada
тодоров	todorov
отело	othello
минаре	minaret
чудовиште	monster
портокалово	cam
испити	thi
протекува	leaks
празнење	tit
поместува	shift
поместува	ca
поместува	moves
плочка	lát
плочка	ngói
плочка	đĩa
плочка	dĩa
потпишано	ký
продадена	bán
флојд	floyd
јака	mạnh
јака	strong
запирка	phết
запирка	phẩy
лифт	kháng
краина	krajina
фогт	voigt
вечна	mải
вечна	timeless
преживеан	survivor
бург	burg
шишиња	lọ
шишиња	chai
коза	dê
коза	goat
вртат	spinner
вртат	spinning
кафка	kafka
дебела	thick
дебела	dầy
дебела	dày
дебела	béo
дебела	mập
дебела	fat
бафи	buffy
штрајк	strike
штрајк	đâm
штрајк	slr
кокошки	hens
кокошки	gà
мартинез	martinez
мартинез	martínez
тај	thái
тај	tai
аљаска	alaska
герхард	gerhard
продажна	bán
продажна	lô
ричардс	richards
арка	hòm
арка	ark
арка	tờ
арка	mẩu
