сопот	sopot
алма	อัลม่า
кокс	cox
холден	โฮลเด้น
гуми	ยาง
гуми	ยาง
луд	วิกลจริต
луд	บ้า
луд	เพี้ยน
платинум	แพลทินัม
ѓубре	ขยะ
ѓубре	ขยะ
скорешни	ล่าสุด
магазини	นิตยสาร
спрат	พื้น
јукатан	yucatan
тајпеј	ไทเป
розета	rosetta
портокал	ส้ม
рекламирањето	โฆษณา
египќани	อียิปต์
вештерка	แม่มด
борбен	ประจัญบาน
борбен	เรือรบ
пократок	สั้น
искусни	ประสบ
ѕвоно	ระฆัง
ѕвоно	กระดิ่ง
ѕвоно	เบลล์
униформи	ยูนิฟอร์ม
расположени	อารมณ์
погубување	ประหาร
славонија	slavonia
палка	ค้างคาว
подиум	แท่น
сегашна	ปัจจุบัน
сегашна	ปัจจุบัน
фрлени	โยน
горки	ขื่นขม
горки	ขม
горки	ขมขื่น
вудсток	woodstock
нејасна	คลุมเครือ
пополни	กรอก
пополни	เติม
поларис	polaris
контроверзно	แย้ง
премина	ข้าม
сенката	shadow
сенката	เงา
поправки	ซ่อม
поправки	ซ่อมแซม
роднините	ญาติๆ
роднините	ญาติ
светилникот	ประภาคาร
помегу	ระหว่าง
чесен	ซื่อสัตย์
таблети	แท็บเล็ต
турбина	กังหัน
интензивни	intensive
хамбургер	burger
хамбургер	แฮมเบอร์เกอร์
кингстон	คิงสตัน
вотфорд	watford
археолошко	โบราณคดี
деценијата	ทศวรรษ
стапица	ดัก
бесконечност	infinity
бесконечност	อนันต์
послаб	ด้อย
подземен	ใต้ดิน
николаос	nikolaos
наметка	แหลม
наметка	เคป
пророци	ศาสดา
круни	มงกุฎ
бариера	กั้น
хантер	hunter
гал	กอล
корекција	แก้
сено	ฟาง
сено	hay
венчавка	แต่งงาน
венчавка	แต่ง
имплицира	นัย
опкружени	ล้อม
опкружени	ล้อม
топењето	ละลาย
страдање	ทรมาน
кор	คอร์ป
холивудски	ฮอลลีวู้ด
нудејќи	เสนอ
хрв	hrw
генерирање	รุ่น
генерирање	ยุค
командувал	บัญชา
следени	ตาม
сонува	ฝัน
кривична	อาชญากร
кривична	อาชญากรรม
драга	ถึง
драга	ที่รัก
јапонско	ญี่ปุ่น
атрибут	คุณลักษณะ
дијагностички	วินิจฉัย
градинка	อนุบาล
градинка	อนุบาล
лауе	laue
плакат	โปสเตอร์
храброста	กล้า
интелектуален	ปัญญา
пунктови	นิคม
истрели	นัด
извини	เสียใจ
извини	ขออภัย
извини	ขอโทษ
вин	vin
торба	ถุง
торба	กระเป๋า
торба	แบ็ค
бактерија	แบคทีเรีย
стареење	ริ้ว
блант	ทื่อๆ
изолирана	แยก
страшно	สยอง
блокиран	บล็อก
блокиран	บล็อค
ура	เร่
синдикат	สหพันธ์
синдикат	สหภาพแรงงาน
синдикат	สหภาพ
рождество	ประสูติ
гронинген	groningen
сопруги	ภริยา
комуницирање	สื่อสาร
овес	โอ๊ต
школка	เปลือก
школка	เชลล์
курдски	เคิร์ด
заспаната	นอน
алберти	alberti
легална	กฎหมาย
стварност	เรียลลิตี้
плаче	ร้องไห้
плаче	ร้องไห้
субјектите	วิชา
неутрон	นิวตรอน
ќерките	ลูกสาว
ќерките	ธิดา
тиса	tisza
претрпе	ทรมาน
претрпе	ประสบ
ласерски	เลเซอร์
далечинско	รีโมท
манила	มะนิลา
говорник	ลำโพง
чекајќи	รอ
изработено	หัตถกรรม
самодоверба	มั่นใจ
ветеран	ทหารผ่านศึก
пот	เหงื่อ
архитектонско	สถาปัตยกรรม
кома	โคม่า
даска	กระดาน
даска	บอร์ด
верди	verdi
валентина	วาเลนไทน์
бавен	ชะลอ
бавен	ช้า
бавен	ช้าๆ
акри	เอเคอร์
тактички	ยุทธวิธี
донација	บริจาค
рајнер	rainer
двобој	ดวล
контроверзен	แย้ง
влегоа	ป้อน
бизмут	bismuth
агресивни	ก้าวร้าว
агресивни	ดุดัน
бубрег	ไต
журнал	วารสาร
увото	หู
кул	เท่ห์
кул	เท่
кул	เจ๋ง
кул	เย็น
возењето	ขับ
возењето	ขับขี่
зомби	ซอมบี้
зомби	ผีดิบ
арома	หอม
дојка	อก
жесток	ดุร้าย
жесток	ดุดัน
жесток	พอง
стриповите	การ์ตูน
маслиново	มะกอก
амадеус	amadeus
искусен	ประสบ
конзола	คอนโซล
монтажа	แก้ไข
познањ	poznań
вакцина	วัคซีน
оплодување	ผสมเทียม
скапо	แพงๆ
скапо	แพง
вир	vir
колумни	คอลัมน์
праг	เกณฑ์
успешните	สำเร็จ
бернхард	bernhardt
запознаен	คุ้นๆ
запознаен	คุ้น
спремен	พร้อม
псв	psv
сиро	siro
тркачки	แข่ง
расправаат	เถียง
суша	แล้ง
применет	ประยุกต์
најавува	แถลง
мило	milo
мило	ไมโล
мило	ดีใจ
безбедни	เซฟ
безбедни	ปลอดภัย
мапата	แผนที่
заведени	ล่อลวง
напнатост	ตึงเครียด
напнатост	ตึง
томо	toma
симулација	จำลอง
ватсон	วัต
хируршка	ผ่าตัด
ару	aru
фармери	เกษตรกร
фармери	กสิกร
фармери	ชาวไร่
вудс	ป่า
свежо	สด
свежо	สดๆ
свежо	สดชื่น
слушнат	ได้ยิน
слушнат	ยิน
чао	บาย
јак	จามรี
минерална	แร่
маријана	มาเรียนา
џанг	จาง
насилен	รุนแรง
насилен	ทารุณ
санс	sans
легендарен	ตำนาน
шпион	สปาย
барут	ดินปืน
барут	แป้ง
барут	ผง
момци	หนุ่มๆ
момци	พวก
бангкок	บางกอก
бангкок	กรุงเทพ
бангкок	กรุงเทพฯ
бангкок	กรุงเทพมหานคร
радар	เรดาร์
внуци	หลานๆ
внуци	หลาน
вордсворт	wordsworth
карол	karol
фосфор	ฟอสฟอรัส
дојче	ดอยช์
лисјата	ใบไม้
мафија	มาเฟีย
мафија	มาเฟีย
препреки	อุปสรรค
капата	หมวก
агресивен	ก้าวร้าว
агресивен	ดุดัน
апстракција	นามธรรม
суверени	อภิสิทธิ์
херојски	พระเอก
мирна	สงบ
мирна	สงบ
мирна	สันติ
уникатно	เอกลักษณ์
скромна	เจียม
скромна	ถ่อม
лага	โกหก
етикета	ป้าย
паркинг	จอด
вени	เส้นเลือด
стабилно	คงที่
стабилно	นิ่ง
стабилно	มั่นคง
стабилно	เสถียรภาพ
стабилно	มั่นคง
мачење	ทรมาน
оланд	hollande
маркет	ตลาด
вена	เส้นเลือด
глушец	เมาส์
генадиј	gennady
корисноста	ประโยชน์
монитори	จอภาพ
месечен	เดือน
атлетичарка	นักกีฬา
билка	สมุนไพร
билка	โรงงาน
билка	ต้นไม้
билка	พืช
отцепување	secession
кошули	เสื้อ
обсе	osce
насилна	รุนแรง
пеел	แซง
пеел	ซัง
пеел	ซาง
пеел	ซอง
пеел	ซุง
комуна	คอมมูน
измеѓу	ระหว่าง
интерактивни	โต้ตอบ
рекреативни	นันทนาการ
рекреативни	สันทนาการ
одобрена	อนุมัติ
мени	เมนู
нежно	เบาๆ
легален	กฎหมาย
славење	ฉลอง
биохемија	ชีวเคมี
џинови	ยักษ์
подрум	ใต้ถุน
одело	สูท
либерални	เสรีนิยม
трансакција	ธุรกรรม
јани	jani
ганг	คงคา
фокусирана	โฟกัส
фокусирана	จดจ่อ
конзервативни	อนุรักษนิยม
аритметика	คณิต
аритметика	เลขคณิต
љубители	คู่รัก
груби	ขรุขระ
груби	ลำบาก
груби	หยาบ
груби	หยาบ
вообичаеното	ปกติ
клиф	หน้าผา
чизми	บูต
поедноставен	ประยุกต์
гревовите	บาป
приспособување	ดัดแปลง
израелскиот	อิสราเอล
невреме	วายุ
невреме	พายุ
невреме	พายุ
идеални	อุดมคติ
невин	บริสุทธิ์
проектили	ขีปนาวุธ
проектили	จรวด
јури	uri
проститутка	โสเภณี
мани	มณี
свеж	สด
свеж	สดๆ
свеж	สดชื่น
социјалист	สังคมนิยม
кафез	กรง
фикција	นิยาย
фикција	นวนิยาย
тајландски	ไทย
пчелите	ผึ้ง
крава	วัว
крава	นมวัว
минимален	minimal
минимален	น้อย
смола	เกด
минстер	münster
солта	เค็ม
солта	เกลือ
прекари	ฉายา
портокалов	ส้ม
тара	ธาร
канцелариите	สำนักงาน
канцелариите	ออฟฟิศ
одложување	ล่าช้า
киднапирање	ลักพา
скромно	เจียม
скромно	ถ่อม
нагласок	สำเนียง
идеализам	อุดมการณ์
жртвување	บวงสรวง
молекул	โมเลกุล
парковите	สวน
завера	พล็อต
завера	วางแผน
бесконечен	อนันต์
амт	amt
лимон	เลมอน
лимон	มะนาว
тишина	เงียบ
тишина	เงียบ
инвестираат	ลงทุน
специјалитети	พิเศษ
ибица	ibiza
неред	เลอะเทอะ
неред	ยุ่งเหยิง
карабах	karabakh
изгорени	ไหม้
изгорени	เผา
телеграф	โทรเลข
омилено	ขวัญใจ
омилено	ชอบ
противење	ค้าน
вредно	คุณค่า
фенг	ฟาง
солидно	ทึบ
солидно	ของแข็ง
солидно	มั่นคง
солидно	solid
солидно	แข็ง
кобалт	โคบอลต์
пееше	แซง
пееше	ซัง
пееше	ซาง
еволутивна	วิวัฒนาการ
готовина	แคช
готовина	เงิน
готовина	เงินสด
готовина	cash
инсулин	อินซูลิน
мастило	หมึก
предградието	ชานเมือง
гонење	โจทก์
синди	cindy
гос	goss
телекомуникациите	โทรคมนาคม
бурк	burke
бурк	เบิร์ก
заживување	ฟื้นฟู
лојални	ซื่อสัตย์
лојални	ภักดี
еуро	ยูโร
пипер	พริก
демонстрира	สาธิต
конзумирање	บริโภค
гигант	ยักษ์
конци	เย็บ
глувче	เมาส์
организациона	องค์กร
спушти	ย่อ
спушти	ย่อ
клад	clade
морков	แครอท
сподели	แชร์
сподели	แชร์
пити	พาย
десерти	dessert
музеите	พิพิธภัณฑ์
трикови	เทคนิค
депортиво	deportivo
гром	ฟ้าร้อง
гром	ฟ้าผ่า
гром	โบลท์
гром	ฟ้าผ่า
гром	สายฟ้า
свирка	กิ๊ก
свирка	หวีด
свирка	นกหวีด
свирка	ผิวปาก
купена	ซื้อ
купена	ซื้อ
лут	โมโห
лут	โกรธ
лут	โมโห
лут	mad
лут	โกรธ
диво	wild
диво	ดุดัน
диво	ดุร้าย
диво	ดุดัน
пасивен	passive
регуларни	ปรกติ
регуларни	ปกติ
вакцини	วัคซีน
осиек	osijek
пионери	บุกเบิก
мазна	เรียบ
поддржано	สนับสนุน
амин	สาธุ
амин	อาเมน
амин	เมน
пасус	ย่อหน้า
покачување	เลี้ยง
холи	ฮอล
шин	ชิน
шин	ชีน
критичен	วิกฤติ
критичен	วิกฤต
лилјаци	ค้างคาว
лилјаци	ค้างคาว
кејнс	keynes
андроид	android
овца	แกะ
откупи	แลก
спорни	พิพาท
деветнаесет	nineteen
објава	โพสต์
објава	โพส
вејд	เวด
силување	ข่มขืน
секта	ลัทธิ
виетнамски	เวียดนาม
маици	เสื้อ
агенда	กำหนดการ
агенда	วาระ
шулц	schulz
конус	conic
конус	กรวย
конус	โคน
завеса	ม่าน
дивина	wild
дивина	ดุดัน
дивина	รกร้าง
совеста	สำนึก
совеста	จิตสำนึก
совеста	มโนธรรม
моно	โมโน
моно	mono
наведете	ระบุ
солт	เค็ม
солт	เกลือ
ода	ode
мајмун	ลิง
мајмун	ลิง
напредно	ก้าวหน้า
напредно	ก้าวหน้า
качување	ประจำ
качување	ปีน
пеејќи	ร้อง
неспособност	พิการ
конкорд	คอร์ด
најава	ล็อกอิน
мамење	โกง
мамење	นอกใจ
обезбеден	ปลอดภัย
кама	กริช
рачна	คู่มือ
јод	ไอโอดีน
еез	eec
психијатрија	จิตเวชศาสตร์
психијатрија	เวชศาสตร์
палестински	ปาเลสไตน์
валентинијан	valentinian
вард	ward
вард	วอร์ด
јонг	ยง
јонг	หยง
убивањето	ฆ่า
текстура	texture
вработи	จ้าง
вработи	จ้าง
диксон	dickson
некар	neckar
штафета	ถ่ายทอด
штафета	ผลัด
совест	สำนึก
совест	จิตสำนึก
совест	มโนธรรม
чинија	ทะเบียน
чинија	จาน
допираат	แตะ
допираат	สัมผัส
допираат	ซึ้ง
збогум	บาย
збогум	อำลา
збогум	อำลา
збогум	goodbye
збогум	ลา
изнајмување	เช่า
изнајмување	จ้าง
изнајмување	เช่า
изнајмување	เช่า
изнајмување	เช่า
салите	โถง
казнети	ลงโทษ
пластична	พลาสติก
скалила	บันได
зрно	ธัญพืช
зрно	เมล็ด
чако	chaco
гали	กอด
возрасти	อายุ
возрасти	ยุค
возрасти	วัย
решетки	บาร์
решетки	แท่ง
уривање	ถล่ม
уривање	ยุบ
уривање	ย่อ
рада	rada
заблуда	ประสาทหลอน
сеџвик	sedgewick
степ	ขั้น
степ	ก้าว
бри	บรี
бри	bree
кралици	ควีน
кралици	ราชินี
упорно	ถาวร
упорно	ตื้อ
ворд	ward
ворд	วอร์ด
семјуелсон	samuelson
проверено	เช็ค
проверено	ตรวจ
божик	คริสต์มาส
потврдување	ยืนยัน
комплетен	สมบูรณ์
комплетен	ครบ
врева	เสียง
рам	ราม
рам	พระราม
готланд	gotland
лачат	หลั่ง
свинско	หมู
ограноци	กิ่ง
ограноци	สาขา
семестар	เทอม
синбад	sinbad
фитнес	ฟิตเนส
фитнес	สมรรถภาพ
кирк	เคิร์ก
ризични	เสี่ยง
копање	ขุด
карго	สินค้า
новороденчињата	ทารก
авионски	อากาศยาน
темиња	vertices
понг	pong
понг	ปิงปอง
референтна	อ้างอิง
дизајнирано	ออกแบบ
бледо	ซีด
внесени	ป้อน
хендрик	hendrik
законодавни	นิติบัญญัติ
складиште	โกดัง
волстонкрафт	wollstonecraft
пиштоли	ปืน
барнс	เบิร์น
заповеди	บัญญัติ
соларна	สุริยะ
соларна	สุ
стоп	หยุด
запишат	สมัคร
мкд	mkd
фиби	ฟีบี
чувај	เก็บ
израснат	พันธุ์
помести	เลื่อน
помести	ขยับ
помести	ย้าย
портпарол	โฆษก
портпарол	โฆษก
унитарна	unitary
светол	สว่าง
светол	เบา
светол	ไลท์
светол	แสง
виртуелен	เสมือน
бајт	ไบต์
визии	นิมิต
визии	นิมิตร
дефект	บกพร่อง
квантитативни	quantitative
слалом	slalom
пеперутка	ผีเสื้อ
петиција	คำร้อง
биолошко	ชีวภาพ
нфл	nfl
гуам	กวม
коцки	เต๋า
коцки	ลูกเต๋า
филтер	กรอง
теснец	ช่องแคบ
теснец	ช่องแคบ
даниела	daniela
лем	เลม
лем	เล็ม
ставки	รายการ
пумпи	ปั๊ม
секира	ขวาน
лавовите	สิงโต
распуштање	ละลาย
проекции	ทิพย์
имплементации	implementations
секретарка	เลขา
секретарка	รัฐมนตรี
секретарка	เลขาฯ
секретарка	เลขาธิการ
секретарка	เลขานุการ
гест	น้ำใจ
изгореници	เบิร์น
нанесување	dab
жеден	คอแห้ง
жеден	กระหาย
предупреди	เตือน
дијамант	diamond
дијамант	ไดมอนด์
дијамант	เพชร
потешка	หนัก
прогресивно	ก้าวหน้า
понуден	เสนอ
дајана	ไดอาน่า
шарки	sharkey
истражи	สำรวจ
истражи	สืบสวน
скромни	เจียม
скромни	ถ่อม
пдп	pdp
камиказе	kamikaze
бенкс	ธนาคาร
бенкс	แบงค์
слама	ฟาง
слама	หลอด
програмери	โปรแกรมเมอร์
пупки	อ่อน
мерил	meryl
интерактивна	โต้ตอบ
чувани	เก็บ
сантиметар	เซนติเมตร
студ	หนาว
студ	เย็น
студ	เย็นๆ
истории	ประวัติ
пекол	นรก
адмиралот	adm
бонуси	โบนัส
албер	อัลเบิร์
албер	อัลเบิร์ต
соја	soy
дјук	ดุ๊ค
дјук	ดุค
дјук	ดุก
дјук	ดุ๊ก
пица	พิซซ่า
пица	pizza
пре	pre
славеј	บลูเบิร์ด
грашок	ลูกปัด
лао	เหลา
лао	ลาว
надградба	อัพเกรด
шарени	สีสัน
нин	nin
учела	ศึกษา
џемс	james
џемс	เจมส์
бебиња	ทารก
професорка	คุณครู
професорка	อาจารย์
професорка	ครู
коктел	ค็อกเทล
коктел	cocktail
напреден	ก้าวหน้า
заинтересирана	สนใจ
заклучување	ล็อก
заклучување	ล็อค
купени	ซื้อ
утеха	สบาย
утеха	สบายใจ
монмартр	montmartre
преживува	รอด
троцки	trotsky
патологија	พยาธิ
служеше	เสิร์ฟ
филипи	philippi
кажи	กล่าว
кажи	พูด
кажи	บอก
панаѓур	แฟร์
панаѓур	ยุติธรรม
присилени	บังคับ
изразувањето	สำนวน
опашки	หาง
опашки	ก้อย
фабрички	โรงงาน
розите	กุหลาบ
аргентинскиот	อาร์เจนตินา
организаторот	จัด
управувач	ไดรเวอร์
незаоблена	unrounded
токсични	พิษ
одбојката	วอลเล่ย์
одбојката	วอลเลย์บอล
астма	หอบ
измет	อุจจาระ
измет	มูล
