सेब	jabuka
फॉर्मेट	format
फेस	licem
फेस	suočavaju
फेस	suočiti
फेस	lice
फेस	face
कस्तूरी	musk
पांव	stopala
पांव	stopa
झगड़ा	svađa
मीट्रिक	metričkih
बांग्लादेशी	bangladeš
बांग्लादेशी	bangladeška
डिज़ाइनर	dizajner
क्रीड़ा	sportsko
एकाग्रता	koncentracije
एकाग्रता	koncentracije
एकाग्रता	koncentracija
एकाग्रता	koncentraciju
ईकाई	jedinica
भतीजे	nećak
कुंभ	vodolija
संभाव्यता	vjerovatnoća
दंगे	nemira
दंगे	nemiri
अपर	gornji
मेरिल	merrill
स्तनधारियों	sisari
संकेतक	kursor
संकेतक	kursor
ठाकरे	thackeray
बेंज	benz
तंजानिया	tanzaniji
गोल्डबर्ग	goldberg
एडी	eddie
एडी	edi
एडी	addy
नहरों	kanal
नहरों	kanalima
पिस्तौल	pištolj
विभेदन	rezolucija
सूक्ष्मजैविकी	mikrobiologija
उज़्बेकिस्तान	uzbekistana
सीरियल	nigerija
सीरियल	serijske
सीरियल	serijski
सीरियल	serijskog
सीरियल	serijska
सीरियल	alžir
रिवर्स	reverse
झटका	šok
कैदी	zatvorenik
कैदी	zarobljenike
कैदी	zatvorenici
साओ	sao
विंडो	prozor
खोने	gubi
खोने	izgubivši
लिप्यन्तरण	transliteration
केंट	kent
लोधी	lodi
इराकी	irački
इराकी	irak
इराकी	iračani
अराजकता	anarhija
अराजकता	haos
मेटा	meta
सिग्मा	sigma
आजीविका	karijeru
आजीविका	karijere
आजीविका	karijera
फायदे	pros
फायदे	prednosti
फायदे	pogodnosti
मरणोपरांत	posthumno
गिरवी	pješak
बार्कलेज	barclays
नवीकरण	obnavljanje
नवीकरण	obnova
नवीकरण	obnove
नवीकरण	obnovu
मल्टीमीडिया	multimedija
ग्लेशियर	glečeri
प्रतिबंधों	sankcija
प्रतिबंधों	sankcije
मैराथन	maraton
पोटेशियम	kalij
लारा	lara
थर्मल	toplotna
थर्मल	toplotne
थर्मल	toplotno
झाड़ी	žbun
डेविल	šejtan
कक्षीय	orbitalni
कक्षीय	orbitalnim
अधूरा	izvršeno
स्क्रीनिंग	prikazivanje
सर्वसम्मति	konsenzus
टर्बाइन	turbina
कार्यशील	vođenje
किंवदंती	legenda
लाओस	laos
साइप्रस	kipar
स्वायत्तता	autonomiju
स्वायत्तता	samostalnost
स्वायत्तता	autonomija
एंथोनी	anthony
बाग़	smokvama
कुण्डली	horoskop
बीयर	pivo
ड्राइविंग	vozeći
ड्राइविंग	vožnje
वेनेजुएला	venecuela
जीनों	geni
बोनस	bonus
जलाकर	lit
जलाकर	zapalio
ज्या	sinus
थाना	zatvor
झूठे	lažljivac
अस्थियों	kosti
पिक्सेल	piksel
लॉयड	lloyd
एनर्जी	enron
ब्रेट	brett
हीट	toplota
सुनहरा	zlatna
सुनहरा	zlato
नमाज़	namaz
नमाज़	molitva
कर्कट	rak
पर्सनल	ličnu
पर्सनल	ličnim
पर्सनल	lične
पर्सनल	lična
पर्सनल	lično
पर्सनल	lični
पहिया	točak
मेगाडेथ	megadeth
लोकल	lokalnom
लोकल	lokalni
पुनरुद्धार	obnovu
पुनरुद्धार	oživljavanje
पुनरुद्धार	preporod
मस्जिदों	džamija
डेयरी	mliječnih
डेयरी	mliječni
बाय	baj
बाय	bye
जावास्क्रिप्ट	javascript
गेल	gail
गेल	gayle
छू	dodir
पंक्तियाँ	redova
पंक्तियाँ	linije
हाइकु	haiku
पाण्डव	pandava
ट्रेक	trek
जेफ	jeff
मद	predmeta
मद	predmete
मद	stavke
मद	predmeti
तेंदुलकर	tendulkar
बियोवुल्फ़	beowulf
पिताजी	tati
पिताजी	tata
पिताजी	tata
संधारित्र	kondenzator
सबवे	metro
वू	vu
चोटियों	peaks
चोटियों	vrhova
पर्यायवाची	synonym
जेसन	jason
घेराबंदी	opsada
क्रोएशिया	hrvatska
आरा	ara
आरा	oltar
कल्याणकारी	uzroka
कल्याणकारी	uzroci
कल्याणकारी	uzrokuje
सेटिंग	postavke
सेटिंग	podešavanja
नीरो	neron
उस्मानी	osmanski
ग्लासगो	glasgow
आंखें	eyes
आंखें	očima
आंखें	oči
परिसंचरण	tiraž
परिसंचरण	opticaju
ताश	karte
प्रेषण	prenos
एमिली	emily
शील	skromnosti
पोलियो	polio
लिथियम	litij
बॉयल	boyle
पालक	špinat
फैमिली	porodica
फैमिली	porodično
बॉक्सिंग	boks
हिरन	jelen
धारकों	nosioci
चैपल	kapela
होंडा	honda
मध्यस्थ	posrednik
अभिभावक	roditelji
अभिभावक	roditelja
अभिभावक	roditelj
फ्लैट	ravan
फ्लैट	ravne
टेन	tan
टेन	deset
शील्ड	štita
शील्ड	štit
चीड़	bor
चीड़	pine
आइवी	ivy
गार्डनर	gardner
तोड़कर	breaking
चुंबक	magnet
मॉन्ट्रियल	montreal
हेलो	alo
हेलो	halo
हेलो	halo
सेमीफाइनल	polufinalna
कोका	kokain
कोका	koka
कोका	coca
रॉड	rod
बुद्धिमत्ता	inteligencija
बुद्धिमत्ता	mudrost
एसिटिक	acetatna
चेचक	pox
नर्स	sestre
नर्स	sestara
नर्स	nurse
उठती	rastuće
इकट्ठे	assemble
ब्रोमाइड	bromid
पकड़कर	drže
पकड़कर	holding
जया	jaya
नार्वे	norveška
धैर्य	izdržljivost
उत्पादकों	proizvođača
महत्वाकांक्षी	ambiciozan
महत्वाकांक्षी	ambiciozni
त्रिनिदाद	trinidad
मौतों	smrti
मौतों	pogibije
निराकरण	rješavanjem
निराकरण	rješavanja
बकाया	neriješenim
कोल्ड	hladno
ज़ांज़ीबार	zanzibar
संयोजी	vezivno
कै	kaj
कै	kai
प्रकार्य	funkcija
शरणार्थी	izbjeglica
शरणार्थी	izbjeglica
शरणार्थी	izbjeglice
गुंजाइश	opseg
धीमे	spor
धीमे	polako
अवांछित	neželjene
अवांछित	neželjena
समोआ	samoa
लोदी	lodi
सममिति	simetrija
अनमोल	plemenite
कैस्पियन	kaspijskog
कैस्पियन	kaspijski
कक्षों	komora
कक्षों	komore
स्पार्टा	sparta
रिमोट	udaljeni
रिमोट	udaljene
आत्माओं	duh
आत्माओं	džibril
आत्माओं	duhovi
खुशबू	miris
खुशबू	aroma
कस्बों	gradove
कस्बों	gradova
कस्बों	gradovima
त्रिशूल	trident
स्तनपान	dojenje
इनाम	nagrada
इनाम	nagrade
इनाम	nagrade
जिन्दगी	život
गरमी	toplota
नोड	čvor
पूर्वाग्रह	predrasuda
आयतें	ajeti
आयतें	ajeta
अफवाह	glasine
उत्सुक	curious
प्रिंटिंग	štampanje
टैबलेट	ploča
टैबलेट	tablet
देसी	desi
शिविरों	logori
शिविरों	logora
शिविरों	logore
शिविरों	logorima
तुला	vaga
टैंगो	tango
न्यूकैसल	newcastle
केट	kate
केट	cate
पांचवां	petom
पांचवां	peta
पांचवां	peto
पांचवां	peti
प्रयोगकर्ता	korisnici
प्रयोगकर्ता	korisnika
रोनाल्ड	ronald
कटु	gorki
ब्रेकिंग	breaking
मोनिका	monica
मोनिका	monika
मोनिका	monika
ग्रेस	grace
चोटों	povrede
चोटों	povredama
मैजिक	sihr
भुट्टो	bhutto
हर्बल	biljni
चुम्बक	magnet
रयान	ryan
एडिडास	adidas
फास्फोरस	fosfor
एथलेटिक	atletski
एथलेटिक	athletic
नेविगेशन	navigaciju
नेविगेशन	plovidbe
शिश्न	penis
अधूरी	izvršeno
फ़ौज	vojska
फ़ौज	armija
पागलपन	ludilo
युआन	juana
रोमांच	thrill
सूख	suha
सूख	suho
दिग्गज	džinova
दिग्गज	veterana
दिग्गज	iskusni
इजाजत	dozvolu
सगाई	angažman
सगाई	bavili
सगाई	angažiran
अन्तराल	spacing
मोनोऑक्साइड	monoksida
कोस	kos
अटलांटा	atlanta
मैडिसन	madison
पैराशूट	padobran
अविवाहित	neudate
खरगोश	zec
मेज़बान	računar
कैट	mačka
वीरों	heroji
काका	kaka
लिफ्ट	lift
लिफ्ट	podići
लिफ्ट	podigne
लिफ्ट	lift
सिंथेटिक	sintetički
समझौतों	sporazumi
अन्वेषक	istražitelj
मूर्ख	fool
बीम	zrak
बीम	zracima
कोडिंग	kodiraju
अशांति	nemire
अशांति	nemira
अशांति	nemiri
अविश्वसनीय	nevjerovatno
शीन	sheen
इम्पीरियल	carsku
इम्पीरियल	carska
इम्पीरियल	carske
वहा	tu
वहा	tamo
घोषणापत्र	manifesta
घोषणापत्र	manifest
रेट	stopa
सत्रह	sedamnaest
सोया	soja
मक्खी	mušica
मक्खी	lete
उद्यमों	preduzeća
कॉन्सर्ट	koncert
कॉन्सर्ट	koncerti
छायांकन	fotografija
छायांकन	spašavanje
कॉर्नेल	kornel
वानिकी	šumarstva
जहाँगीर	jahangir
उक्ति	dictum
मधुमक्खी	pčela
टिप्पणियां	komentari
टिप्पणियां	komentarima
गुलामी	ropstva
गोआ	goa
प्रलेखन	dokumentacija
प्रलेखन	dokumentaciju
संकेतन	notacija
घटी	smanjenja
घटी	smanjenje
पक्षपात	diskriminaciju
पक्षपात	diskriminacije
पक्षपात	diskriminacija
इजरायल	izrael
इजरायल	izraelce
पकाया	kuhano
गेंदबाज़ी	bowling
आबू	ebu
आबू	abu
अनुरक्षण	pratnja
अनुरक्षण	eskort
मीठी	slatko
ब्रॉडवे	broadwayu
जिगर	jetra
अंगोला	angole
अंगोला	mongolija
एक्सटेंशन	produžetke
एक्सटेंशन	produženje
संस्थापकों	osnivači
गोथिक	gothic
बहुपद	polinom
केसर	šafran
मुरैना	morena
दस्ते	odred
आयोडीन	jod
परावर्तन	odražavati
परावर्तन	odražavaju
परावर्तन	odraz
छानबीन	istraga
नीतियां	politički
लेस	les
विन्स	pobjeđuje
विन्स	pobijedila
मॉरिस	mauricijusa
मॉरिस	morris
त्रासदी	tragedija
सीन	scena
ईशा	jacija
कैफे	kofein
नींबू	limun
हडसन	hudson
धावक	trkača
मार्क्सवाद	marksizam
बर्न	bern
बर्न	burn
शाहिद	šehid
इंडेक्स	indeks
तेंदुआ	leoparda
तेंदुआ	leopard
अनुशंसा	preporučuje
अनुशंसा	preporukom
अनुशंसा	preporuka
अनुशंसा	preporuke
डिक	dick
निरर्थक	besmislenim
निरर्थक	null
अमान्य	nevažeće
अमान्य	nevažeći
झगड़े	borbe
झगड़े	borbama
घिरी	okruženo
घिरी	okružen
घिरी	okružena
कतार	queue
बाल्टिक	baltička
देयता	odgovornost
शकीरा	shakira
अमेज़न	amazon
निजाम	nizam
एसएमएस	sms
खेलकूद	sportsko
प्यास	žedan
मार्टिना	martina
काराकोरम	karakoram
पीटर्सबर्ग	peterburg
पीटर्सबर्ग	petersburgu
पीलिया	žutica
खलीफा	halifa
खलीफा	halifa
खलीफा	khalifa
कीथ	keith
एडमंड	edmund
प्रकाशिकी	optika
छुट्टियों	praznici
छुट्टियों	praznike
छुट्टियों	praznika
किंडरगार्टन	vrtić
जबतक	do
डिप्टी	zamjenik
डेटिंग	datiraju
कमरा	sobu
कमरा	soba
कमरा	sobe
माइनर	manja
गड्ढे	jama
कपडे	odjeća
कपडे	odjeća
कपडे	odjeću
एनबीए	nbc
एनबीए	nba
असत्य	nestvarno
चर्चिल	churchill
खजाना	blago
आइंस्टीन	einstein
गिब्सन	gibson
सुझाया	kazao
निर्वासन	egzil
नोटिस	primijetiti
रू	ru
महोदय	sir
महोदय	ser
सीनेटर	senator
सुरक्षात्मक	zaštitna
सुरक्षात्मक	zaštitnih
सुरक्षात्मक	zaštitne
दलाल	broker
स्पिरिट	duhovi
स्पिरिट	duh
स्पिरिट	džibril
पार्कर	parker
बारबरा	barbara
एटीएम	atm
प्रवचन	hadis
ड्राइंग	crtež
चुप	tiha
दिवालिया	bankrotirala
दिवालिया	stečaj
बाल्यकाल	djetinjstvo
ज़िम्मेदारी	odgovornost
सावन	monsun
स्क्वाड्रन	eskadrila
स्क्वाड्रन	eskadrile
यूनानियों	grci
यूनानियों	grčka
प्रिंसटन	princeton
मालदीव	maldivi
डिस्कवरी	otkriće
सत्यापित	certificirani
राबर्ट	robert
डीज़ल	dizel
बाज़ारों	tržišta
फिशर	fišer
सदाचार	vrlina
विम्बलडन	wimbledon
जुट	vantage
गुस्सा	ljutnja
गुस्सा	gnjevni
सीढ़ियों	stepenica
सीढ़ियों	stepenice
रस्म	ceremoniji
रस्म	ceremonija
रस्म	svečanosti
रस्म	svečano
मऊ	mau
खरीदे	kupovinom
धात्विक	metalna
धात्विक	metalnih
धात्विक	metalni
वामपंथी	ljevičarske
मिंग	ming
घाना	gana
कैप	kap
जनम	rođenja
जनम	rodila
साईं	sai
कनेक्टिकट	connecticut
क्रोम	hrom
रोनाल्डो	ronaldo
विंडसर	windsor
ऑफ़िस	ured
ऑफ़िस	office
ऑफ़िस	kancelarija
तुर्कों	turska
प्लेस्टेशन	playstation
सहकर्मी	saradnici
माइक्रोसॉफ़्ट	microsoft
हत्यारे	ubica
हत्यारे	ubice
हत्यारे	ubicama
विनम्र	humble
ध्वनिक	acoustic
ध्वनिक	razarač
एडगर	edgar
मशीनरी	mašinerija
इलेक्ट्रानिक	elektronska
इलेक्ट्रानिक	elektronski
मिनियापोलिस	minneapolis
प्रियस	prius
कट्टरपंथी	radikal
कट्टरपंथी	radikalna
डायना	diana
टॉमी	tommy
मिल्क	mlijeko
व्हील	točak
ग्रेनाइट	granit
माथे	čelo
डुनेडिन	dunedin
पत्ता	list
इस्तांबुल	istanbul
जार	jar
लैरी	larry
सिंडरेला	cinderella
अफीम	opijum
स्वीट	slatko
बागान	plantaže
खूनी	krvavi
खूनी	krvave
नफरत	mržnja
नफरत	mržnje
नफरत	mrzim
नफरत	hate
नफरत	mrze
एंटोनियो	antonio
नाई	barber
दाह	dah
ऑडिशन	audiciji
बाधक	sprječava
बाधक	sprečava
मेसोपोटामिया	mezopotamija
सिलाई	šivanje
सज्जन	gospodin
प्रचुरता	obilja
असहमति	neslaganje
ताई	tai
कार्सिनोमा	karcinoma
हिप्पोकैम्पस	hipokampus
ब्लैकबेरी	blackberry
लैन	županija
लैन	okrug
कारा	kara
कारा	cara
दोलन	osciliranje
टाइटन	titan
अव्यवस्था	haos
कोको	coco
कोको	koko
निवारक	preventivne
मदीना	madinah
मदीना	medina
गोरी	gori
हटाएँ	uklanjanju
हटाएँ	ukloni
हटाएँ	izbrisati
खमीर	kvasca
विच्छेद	raspada
नाच	ples
बाल्टीमोर	baltimore
लचीलापन	fleksibilnost
स्केटिंग	klizanje
स्केटिंग	klizanja
कलेक्टर	kolektor
चित्रकारों	slikarstvo
कुन्ती	kunti
शैलियाँ	stilova
शैलियाँ	žanrova
मेरु	meru
पुलों	mostove
पुलों	mostovi
पुलों	mostova
मिडिया	media
मिडिया	mediji
केयर	briga
कर्ट	kurt
छतरी	krovna
छतरी	kišobranom
भा	bha
फीस	naknada
फीस	naknade
कतर	katar
लकी	lucky
जाम	jam
रैम	ram
अभिनेत्रियों	glumice
गौरैया	vrabac
वांछनीय	poželjno
भेजना	šalje
फ़िल्टर	filter
फ़िल्टर	filtera
कीड़ों	crvi
प्रतिशोध	osveta
प्रतिशोध	osvetu
पार्किंग	parking
नशा	dope
लचीला	fleksibilan
सफ़ाई	čišćenje
मनन	manan
बर्टन	burton
पुतिन	putin
प्रोपेन	propan
लादेन	laden
ज़िम्मेदार	odgovorne
ज़िम्मेदार	odgovorna
ज़िम्मेदार	odgovorni
ज़िम्मेदार	odgovornim
ज़िम्मेदार	odgovoran
नर्सरी	dječija
अविश्वास	nepovjerenja
अविश्वास	nepovjerenje
टच	dodir
तोपों	top
सिल्क	svile
झूठा	lažljivac
अक्षमता	nesposobnost
अक्षमता	nemogućnosti
अक्षमता	invalidnost
ईगल	orao
होमर	homer
मुबारक	sretan
मुबारक	sretna
मुबारक	happy
एकांत	solitude
विंड	vjetar
आदर्शवादी	idealist
आश्वस्त	uvjereni
आश्वस्त	uvjerena
आश्वस्त	uvjeren
हैंक्स	hanks
सोरोस	soros
सुलतान	sultan
बदतर	gorom
बदतर	gore
बदतर	gori
बदतर	gora
लोपेज़	lópez
लोपेज़	lopez
पशुधन	stoka
लार्वा	larva
सेलुलर	ćelijske
सेलुलर	ćelijski
सेलुलर	ćelijska
सेलुलर	ćelijskog
बहरीन	bahrein
दीवानी	civilno
दीवानी	civilna
गाजर	mrkva
उरुग्वे	urugvaj
ओवल	ovalna
निराशाजनक	razočaravajuća
मैकबेथ	macbeth
हैट	hat
हैट	šešir
चाइल्ड	dijete
शीला	šejla
चमगादड़	bat
ची	chi
मंचूरिया	mandžurija
प्रोग्रामर	programer
हूवर	hoover
मसौदा	nacrtu
मसौदा	nacrt
मसौदा	nacrta
हेयर	dlaka
जुआन	juan
बर्ताव	ponašanje
बर्ताव	ponašanje
चन्दन	sandal
होप	nada
होप	nade
स्काइप	skype
गलियों	ulice
गलियों	ulica
गलियों	ulicama
गलियों	trake
शरणार्थियों	izbjeglica
शरणार्थियों	izbjeglice
शस्त्रों	oružje
कुम्भ	vodolija
प्राधिकार	prerogative
प्राधिकार	autoritet
माइकल्स	michaels
रोज़गार	zaposlenje
युनुस	junus
मोंटे	monte
तांबा	bakar
सलाम	salaam
सलाम	mira
सलाम	salute
सलाम	salam
क्वींसलैंड	queensland
टॉड	krastača
टॉड	toda
मरियम	merjem
मरियम	merjem
ओहियो	ohio
उंगली	prst
डब्ल्यूडब्ल्यूई	wwe
लिथुआनिया	litvanija
अल्पसंख्यकों	manjine
शहीदों	šehida
फ्लेमिंग	fleming
अधिवक्ता	zagovornik
यॉर्कशायर	yorkshire
मेट्रिक्स	matrica
कार्यशाला	radionica
कार्यशाला	radionice
कार्यशाला	radionici
कार्यशाला	radionicu
मैक्सवेल	maxwell
कॉर्न	kukuruza
कॉर्न	korn
मापक	vladar
मापक	skala
गैलापागोस	galapagoska
यातना	doom
अनाथ	siroče
जनसांख्यिकी	demografija
जनसांख्यिकी	popis
जनसांख्यिकी	populacija
अपरिहार्य	neizbježna
दफन	sahranjen
आमंत्रण	poziva
आमंत्रण	pozvati
आमंत्रण	pozivamo
आमंत्रण	poziv
आमंत्रण	pozive
जिम्बाब्वे	zimbabve
वृद्धावस्था	starenja
वृद्धावस्था	starenje
आहत	bole
नरभक्षण	kanibalizam
धूसर	gray
धूसर	siva
धूसर	sive
धूसर	sivi
धूसर	siva
घाटा	gubitak
परिसंघ	konfederacija
पेंच	vijak
शटल	šatl
दरवाज़ा	vrata
नंद	nand
कन्वेंशन	konvenciji
कन्वेंशन	konvencija
कन्वेंशन	konvenciju
सप्लाई	snabdijevanje
रडार	radar
पंक	blato
पंक	pank
चैट	chat
पदानुक्रम	hijerarhija
कैम्पस	kampus
संभावनाएं	izgledi
मिया	mia
मिया	mija
निर्देशकों	direktori
निर्देशकों	režiseri
वीटो	veto
प्रत्याशित	očekivao
प्रत्याशित	očekivali
प्रत्याशित	očekivano
एक्सबॉक्स	xbox
शियर्र	shearer
अज्ञेय	agnosticizam
स्पॉट	tačka
पूंजीवाद	kapitalizma
फ्लोरेंस	florence
सुअर	svinju
खोली	otvoren
खोली	otvorili
खोली	otvorio
दलदल	marsh
कंबोडिया	kambodža
गिरिजाघर	crkva
एफडीए	fda
तानाशाही	diktator
तानाशाही	diktatura
नोवा	nova
अर्नेस्ट	ernest
फोटोग्राफर	fotografa
संस्थापित	osnovana
संस्थापित	osnovan
संस्थापित	utemeljena
संस्थापित	osnovano
संस्थापित	instalirane
क्रेग	craig
सिमुलेशन	simulacija
अधिकरण	tribunal
अधिकरण	tribunala
तीर्थयात्रियों	doseljenici
अखरोट	orah
बुकर	booker
विलिस	willis
डेनिश	danski
त्रयी	trilogija
जुनून	strast
औरतों	žene
दहेज	miraz
क़दम	tragovima
एटलस	atlas
एटलस	područja
एटलस	oblasti
आर्सेनिक	arsen
वेलेंटाइन	valentin
मजा	fun
मजा	zabava
लुकास	lucas
सेवारत	služi
वर्गाकार	kvadrat
वर्गाकार	kvadrat
सचित्र	pictorial
दर्दनाक	bolna
घुसपैठ	infiltracija
युक्तियाँ	savjeta
डबलिन	dablinu
प्रस्तुतीकरण	pentagonu
प्रस्तुतीकरण	prezentacija
अर्जन	arjan
फंक्शन	funkcija
अंधकार	zapostavljenosti
केले	banane
केले	bananas
रैप	warp
रैप	rep
वियतनामी	vijetnamski
तेहरान	teheran
कार्मिक	personal
सॉस	sos
फॉरेस्ट	forrest
बाइट	bajt
बाइट	bajtova
मिल्स	mills
रोजर्स	rodgers
रोजर्स	rogers
क्यूबेक	québec
जलाल	jalal
चुपके	stealth
वैक्सीन	vakcina
इलियट	elliot
जिया	živjela
जिया	živjeli
जिया	živio
पन्द्रह	petnaest
डायल	dial
अख़बार	novine
रत्नों	kristala
मुआवजा	kompenzacije
मुआवजा	kompenzaciju
मुआवजा	naknadu
मुआवजा	naknade
आर्मस्ट्रांग	armstrong
खासियत	usp
संघनन	kondenzacija
देशभक्त	patriots
बाइनरी	binarni
नुक्सान	štetu
नुक्सान	oštećenja
नुक्सान	štete
नुक्सान	oštećenje
परिचालित	cirkulira
भरता	ispunjava
मानसिकता	mentaliteta
क्लाइव	clive
ज़िम्बाब्वे	zimbabve
काहिरा	kairo
पारगमन	tranzitna
पारगमन	tranzitne
पारगमन	tranzit
अमोनियम	amonij
आर्सेनल	arsenal
मज़ाक	sala
मिनोग	minogue
कोडेक	codec
नाइट्रिक	dušična
नाजी	nacističke
नाजी	nacista
नाजी	nacistička
नाजी	nacistički
कॉम्पैक्ट	compact
कीपर	čuvar
गठिया	artritis
जागृति	buđenje
रॉयटर्स	reuters
विभेद	diskriminaciju
विभेद	diskriminacije
विभेद	diskriminacija
नासिर	nasir
कबूतर	pigeon
क्लिंटन	clinton
दलील	krivici
डेवलपर	adriatic
किस्मत	sreću
किस्मत	sreća
मेघ	oblak
फी	takse
फी	naknadu
नाज़िल	objelodanio
नाज़िल	otkrila
कूच	mart
परख	assurance
उत्पात	gog
कॉरपोरेट	korporativnog
वाष्पीकरण	isparavanje
