dynastií	triều
hodnotit	unplugged
apache	apache
cirkus	xiếc
cirkus	circus
oise	oise
sergejevič	sergeyevich
zvířecí	vật
lebka	skull
lebka	sọ
lebka	quang
kapitolu	capitol
lancer	lancer
ericsson	ericson
ericsson	ericsson
procházet	duyệt
spadl	rớt
spadl	rơi
spadl	té
spadl	ngã
lucius	lucius
prasat	lợn
prasat	heo
prasat	thối
nahrát	album
tmavší	darker
entomolog	entomologist
ace	ách
ace	ace
nesprávné	sai
nesprávné	sai
nesprávné	lỗi
nesprávné	nhầm
dominique	dominique
nízko	low
nízko	thấp
beverly	beverly
michajlov	mikhailov
konferenční	thảo
kluk	boy
kluk	trai
kluk	bé
kluk	nhóc
kluk	bé
kluk	kid
vektory	vectors
pláže	biển
pláže	beach
konsensu	consensus
citát	quote
reportér	interviewer
ning	ninh
ning	ning
bang	đục
bang	bang
bang	boom
kliniky	clinic
svk	svk
manhattanu	manhattan
hoboj	oboe
prášek	bột
prášek	phấn
skládání	gấp
skládání	folding
skládání	gập
snp	snp
panelů	bảng
bašta	bastion
keni	kenya
šachar	shahar
root	root
root	chủ
pokřtěn	christened
dominic	dominic
zemědělců	nông
leonarda	leonard
prorok	tri
princeton	princeton
brouků	beetles
gramů	gam
gramů	gram
čsa	csa
snímání	sensing
kras	kras
konsensus	consensus
nože	dao
nože	tung
skříně	tủ
skříně	closet
děda	nội
děda	nội
dale	dale
balíček	gói
kyselé	chua
prievidza	prievidza
klan	clan
klan	tộc
posel	messenger
hotovo	xong
hotovo	lam
hotovo	xong
svědek	chứng
podlouhlé	oblong
nintendo	nintendo
prodáno	bán
dispozice	disposition
čáp	hạc
wikislovník	wiktionary
magdaléna	magdalene
magdaléna	magdalena
maďaři	hungary
jefferson	jefferson
raw	raw
raw	thô
galaxy	galaxy
burton	burton
jun	tuấn
jun	jun
cung	cung
míle	dặm
míle	miles
míle	phít
míle	km
míle	dặm
drake	drake
sluha	butler
klip	clip
plochá	phẳng
lance	lance
arménské	armenia
seifert	seifert
zrna	lúa
zrna	hạt
lynch	lynch
zlý	xấu
zlý	ác
angelique	angelique
antiochie	antioch
vice	phó
vice	vice
duncan	duncan
instituci	sở
bílkoviny	protein
bílkoviny	protein
kabel	cáp
jablko	táo
jablko	apple
valencia	valencia
míče	balls
míče	bi
marge	marge
alpské	alpine
příkopu	mương
plynové	gas
plynové	xăng
baryton	baritone
magyar	magyar
han	hàn
han	han
han	hán
viditelný	bien
gulbis	gulbis
němen	niemen
proroka	tri
barevně	nhuộm
barevně	màu
barevně	mầu
barevně	màu
bok	pak
benny	benny
placení	trả
ardenne	ardenne
nepříteli	địch
nepříteli	thù
rómadži	romaji
tuny	tấn
tuny	tấn
maják	beacon
clarence	clarence
ležák	lager
milano	milano
peer	per
acer	acer
dietrich	dietrich
zrušené	hủy
zrušené	hủy
baghdatis	baghdatis
mccartney	mccartney
švedovová	shvedova
libanon	liban
libanon	lebanon
vyvolání	induction
gestapa	gestapo
palma	palma
střelci	shooters
samoty	solitude
marcos	marcos
mýtů	myths
zničené	hỏng
zničené	xì
mez	hạn
batman	batman
zábavní	entertainment
osmnáct	eighteen
rádce	mentor
psv	psf
lac	lac
hiv	hiv
fuchs	fuchs
odpad	phế
odpad	rác
odpad	rác
pilířů	đương
statické	tích
statické	tĩnh
kulaté	hiệp
kulaté	vòng
utype	utype
amore	amore
doplněno	supplemented
böhmen	böhmen
šílenství	madness
šílenství	insanity
hustá	thick
hustá	dầy
hustá	dày
rover	rover
ritter	ritter
vous	vous
potopení	chìm
browning	browning
rca	rca
yale	yale
syntezátory	synthesizers
liverpoolu	liverpool
vážná	bách
koridor	lang
světelný	luminous
stein	stein
obhájci	defenders
nejasné	vague
jill	jill
eduardo	eduardo
kvintet	quintet
lhůty	deadline
