katsuura	勝浦
generacij	generations
federico	フェデリコ
merkur	水星
merkur	マーキュリー
merkur	水銀
suárez	スアレス
pristanek	着陸
pristanek	上陸
ada	エイダ
ada	ada
zidar	builder
bolgarijo	ブルガリア
zlorabe	誤用
zlorabe	虐待
tanko	薄い
tanko	細い
andersen	アンデルセン
ločevanje	別居
ločevanje	分離
nur	ヌール
halo	halo
izrazit	発音
jajc	エッグ
emir	アミール
kolorado	コロラド
dokumenta	ドキュメント
dokumenta	書類
dokumenta	文書
recept	処方箋
recept	作り方
recept	レシピ
got	got
mrtev	デッド
okrogla	ラウンド
okrogla	round
okrogla	丸い
financiranje	融資
financiranje	財務
financiranje	金融
financiranje	財政
financiranje	ファイナンス
biološka	生物
kronično	慢性
kronično	持病
breme	重荷
breme	負担
hardy	ハーディ
pospešeno	加速度
michelangelo	ミケランジェロ
starodavne	古代
alexandra	アレクサンドラ
buda	ブッダ
buda	仏陀
buda	バド
posameznike	個人
verona	ヴェローナ
sklic	招集
sklic	リファレンス
sklic	参照
sklic	参考
neposredna	ダイレクト
zmagovalcev	勝者
utah	ユタ
preostalo	残り
preostalo	残額
mešanice	混合物
ritchie	リッチー
izbruha	アウトブレイク
vozi	ドライブ
jesse	ジェシー
zadar	ザダル
oddaljeni	遠い
oddaljeni	リモート
osebki	科目
osebki	標本
barje	ボグ
paulo	ポーラ
falcon	ファルコン
spomine	思い出
akademsko	アカデミック
pnevmatike	タイヤ
pnevmatike	タイヤ
henderson	ヘンダーソン
shema	スキーム
shema	スキーマ
kronični	慢性
kronični	持病
valencia	バレンシア
bralci	読者
bralci	リーダー
sum	疑惑
sum	断崖
učitelje	教員
učitelje	教師
ciklus	サイクル
prijateljstva	友情
prijateljstva	友情
gomez	ゴメス
convair	コンベア
cook	コック
cook	クック
kuhar	コック
kuhar	クック
kuhar	シェフ
čarovnica	魔女
čarovnica	ウィッチ
zanimivost	アトラクション
slepi	ブラインド
slepi	盲人
pola	ポロ
hektarjev	ヘクタール
hektarjev	エーカー
afganistan	アフガニスタン
pravičnost	正義
kampanjo	キャンペーン
grožnje	脅威
grožnje	威嚇
grožnje	脅迫
dres	ジャージー
gradbeništvo	建設
sledovi	トレース
summer	summer
summer	サマー
greh	シン
greh	sin
ukrivljenost	曲率
cyril	シリル
cyril	セロ
vročina	ヒート
vročina	発熱
pripravljenost	スタンバイ
pripravljenost	意欲
napoved	予言
napoved	予測
napoved	予報
napoved	予測
poreklo	原点
poreklo	語源
poreklo	由来
poreklo	起源
poreklo	起源
plaz	雪崩
plaz	地すべり
zmagovalka	勝者
zmagovalka	ウィナー
logika	論理
genetsko	遺伝
privilegije	特権
folk	フォーク
mize	テーブル
vključi	含める
ida	アイダ
ida	イダ
strupen	毒性
kosovo	コソボ
trojno	トリプル
haven	ヘイヴン
gumb	ボタン
divja	ワイルド
divja	野生
končnici	プレーオフ
končnici	プレイオフ
srčno	心臓
srčno	ハート
upanja	希望
upanja	ホープ
upanja	希望
zaposlovanje	求人
zaposlovanje	雇用
logično	論理
digitalne	デジタル
cvetje	お花
šibka	弱い
somrak	トワイライト
somrak	たそがれ
didier	ディディエ
nasprotovanja	野党
minimalno	最低限
minimalno	最低
minimalno	最小
minimalno	最小限
tehnična	テクニカル
bird	鳥類
bird	バード
andretti	アンドレッティ
mornariški	海軍
mornariški	ネイビー
kalcija	カルシウム
preusmeritev	変換
preusmeritev	流用
preusmeritev	迂回
preusmeritev	転用
taktiko	戦術
fitzgerald	フィッツジェラルド
manjšina	少数
misijo	ミッション
pascal	パスカル
debela	厚い
debela	太い
debela	脂肪
kmetijska	農業
avtobus	バス
gosta	ゲスト
oddaljenih	リモート
boksar	ボクサー
mehko	やわらかい
mehko	柔らかい
mehko	ソフト
horn	クラクション
horn	ホルン
horn	ホーン
voyager	ボイジャー
pehota	歩兵
int	int
stopnišče	階段
stopnišče	吹き抜け
ind	ind
odpuščen	解散
kneževino	公国
grozi	脅迫
varna	ヴァルナ
varna	セーフ
varna	金庫
varna	安全
skrito	隠し
nadomestilo	払戻し
nadomestilo	払い戻し
nadomestilo	還付
nadomestilo	返金
nadomestilo	補てん
nadomestilo	補償
nadomestilo	賠償
nadomestilo	弁償
nadomestilo	報酬
nadomestilo	報酬
nadomestilo	給与
vključevanje	統合
vključevanje	インテグレーション
vključevanje	組込み
pagoda	仏塔
ločen	離婚
optična	光学
varianta	variant
kopije	コピー
kopije	部数
sproščanje	釈放
sproščanje	リリース
sproščanje	リラックス
sproščanje	くつろぎ
sproščanje	緩和
sproščanje	リラクゼーション
jeza	怒り
rom	rom
apnenec	石灰岩
konje	ウマ
lowe	ロウ
posel	営業
posel	事業
posel	ビジネス
kitajci	中国語
kitajci	中国人
močvirja	沼地
močvirja	沼地
komercialne	コマーシャル
komercialne	商用
komercialne	商業
preiskavo	調査
preiskavo	捜査
walt	ウォルト
tumor	腫瘍
tumor	腫瘍
orion	オライオン
orion	オリオン
streliva	弾薬
odprtje	開く
odprtje	オープニング
napovedi	予言
napovedi	予測
napovedi	予報
napovedi	予測
napovedi	予言
napovedi	予測
neaplju	ナポリ
tarče	ターゲット
brezno	アビス
brezno	ピット
dante	ダンテ
elvis	エルヴィス
elvis	エルビス
kritična	クリティカル
risanje	図面
risanje	描画
risanje	ドローイング
nasprotovanje	異議
nasprotovanje	野党
emmanuel	エマニュエル
drew	ドリュー
uganke	なぞなぞ
steiner	シュタイナー
grimm	グリム
hopkins	ホプキンス
kapi	ストローク
spominov	思い出
pošast	怪物
pošast	モンスター
pošast	怪獣
pike	ドット
uteži	重み
marks	マークス
menihov	僧侶
euro	ユーロ
izpostavljena	露出
chuck	チャック
prebavil	胃腸
diagnoza	診断
vitalij	ヴィターリ
vitalij	ヴィターリ
spoznanje	実現
spoznanje	換価
dima	デミ
dima	スモーク
porter	ポーター
tezo	テーゼ
tezo	論文
oskrba	ケア
oskrba	介護
oskrba	サプライ
oskrba	供給
kramer	クレイマー
svinec	リード
častno	名誉
častno	名誉
uniformo	ユニフォーム
uniformo	制服
popravila	修理
popravila	修理
krvavitve	出血
krvavitve	出血
ožji	狭い
raki	カニ
raki	ザリガニ
zaroto	プロット
zaroto	陰謀
hope	ホープ
hope	希望
mesečno	毎月
mesečno	月間
mesečno	月刊
richmond	リッチモンド
vidiki	側面
parms	parms
polčas	ハーフタイム
trinity	三位一体
konkretno	コンクリート
maske	マスク
alexis	アレクシス
invazije	侵攻
smeh	笑い
smeh	笑い
smeh	笑う
smeh	笑い
smeh	笑う
rodriguez	ロドリゲス
larsson	ラーション
pošasti	モンスターズ
soglasje	同意
soglasje	承諾
soglasje	合意
tiho	静けさ
tiho	静か
tiho	サイレント
tiho	無音
veterinar	獣医
veterinar	獣医
poziv	呼出
poziv	召喚
poslanci	メンバー
poslanci	メンバ
ekipno	チーム
mikojan	mig
aguri	アグリ
zaporedni	逐次
zaporedni	シーケンシャル
zaporedni	歴代
opozorila	アラート
opozorila	警告
sob	部屋
sob	ルーム
grafično	グラフィック
ski	スキー
ono	小野
zločin	犯罪
izobrazba	教育
izobrazba	学歴
hoja	ウォーキング
hoja	歩行
hoja	歩く
hoja	歩き
hoja	ウォーク
hoja	歩行
hoja	歩く
hoja	徒歩
kapljice	ドロップ
pušk	小銃
suženjstvo	緊縛
kočo	キャビン
kočo	船室
kontrola	コントロール
sivi	灰色
sivi	グレイ
sivi	グレー
sivi	灰色
sivi	グレイ
sivi	グレー
fenomen	現象
amaterski	アマチュア
usmerjenost	方向
usmerjenost	向き
usmerjenost	オリエンテーション
poklicne	プロフェッショナル
alternativni	オルタナティブ
alternativni	代替
alternativni	フォールバック
oswald	オズワルド
uvedba	紹介
uvedba	導入
spoštovanja	尊敬
spoštovanja	尊重
spoštovanja	リスペクト
spoštovanja	敬意
teen	teen
teen	十代
teen	ティーン
svetnica	セイント
svetnica	聖人
načrtovana	予定
načrtovana	予定
načrtovana	計画
eta	イータ
napredovanja	プロモーション
napredovanja	progression
razloži	説明
vilo	フェアリー
vilo	妖精
vilo	ヴィッラ
vilo	ヴィラ
ich	ich
pojasni	説明
hren	わさび
diamond	ダイヤモンド
diamond	ダイアモンド
umori	殺人
pojmi	概念
pojmi	コンセプト
puščanje	リーク
puščanje	漏れ
puščanje	漏洩
ahmed	アーメド
sonar	ソナー
miranda	ミランダ
ploščadi	プラットフォーム
razpoloženje	気分
razpoloženje	ムード
nihanja	変動
bajt	バイト
ustrezni	関連
pak	パック
norma	ノーマ
gaetano	ガエターノ
slovo	別れ
five	ファイブ
five	五つ
five	five
torinu	トリノ
obljubi	約束
obljubi	promise
zabave	当事者
zabave	パーティ
zabave	パーティー
rachel	レイチェル
reber	リブ
reber	肋骨
trebuh	おなか
trebuh	お腹
trebuh	お腹
tuja	外国
okroglo	ラウンド
okroglo	round
okroglo	丸い
glen	グレン
povratne	リバース
pripomoček	デバイス
pripomoček	機器
pripomoček	効用
pripomoček	ユーティリティー
pripomoček	ユーティリティ
globe	罰金
timothy	ティモシー
atentat	暗殺
policisti	警察官
policisti	役員
sceno	現場
sceno	シーン
sceno	場面
cincinnati	シンシナティ
zadovoljni	満足
hrup	ノイズ
hrup	騒音
pajek	スパイダー
pajek	クモ
amanda	アマンダ
dog	イヌ
suverenost	主権
golf	ゴルフ
mraz	風邪
mraz	コールド
mraz	冷たい
mraz	寒い
izmenjave	交換
odločanje	支配
odločanje	裁定
odločanje	審判
pisno	筆記
ino	伊能
dsq	dsq
hudič	悪魔
hudič	サタン
dijaki	生徒
dijaki	学生
dijaki	瞳孔
krompir	ポテト
krompir	ジャガイモ
krompir	じゃがいも
krompir	じゃがいも
krompir	ジャガイモ
krompir	ポテト
springer	スプリンガー
francoščina	フレンチ
francoščina	フランス語
vrzeli	隙間
vrzeli	ギャップ
počitnice	祝日
počitnice	休日
počitnice	ホリデー
počitnice	休暇
počitnice	バカンス
počitnice	バケーション
počitnice	祝日
počitnice	休日
monako	モナコ
čudežno	奇跡
izdelano	製造
horde	大群
horde	horde
dornier	ドルニエ
unii	unii
priljubljenost	人気
isola	イソラ
isola	イーゾラ
obroči	リング
obroči	指輪
usmrtili	実行
miši	マウス
goethe	ゲーテ
presenečenje	驚き
presenečenje	サプライズ
ustvarjalnost	創造性
ustvarjalnost	創造力
gostitelja	ホスト
gostitelja	主催
oltarju	祭壇
kobe	神戸
relativna	相対
relativna	親戚
morilec	キラー
morilec	殺人犯
morilec	人殺し
morilec	暗殺
marković	マルコヴィッチ
nadomešča	差し替え
cve	cve
inchikey	inchikey
arsenal	アーセナル
arsenal	工廠
možgane	脳みそ
prijatelje	友だち
prijatelje	友達
janež	アニス
clinton	クリントン
tyler	タイラー
omega	オメガ
gps	gps
jezikovna	言語
inštruktor	家庭教師
inštruktor	チューター
inštruktor	講師
inštruktor	インストラクター
odrasel	成人
odrasel	大人
arte	アルテ
wells	ウェルズ
prenove	リフォーム
prilagoditev	調整
prilagoditev	補正
prilagoditev	調整
prilagoditev	調節
prilagoditev	適応
govornik	スピーカー
govornik	話し手
govornik	議長
legijo	レギオン
žito	穀物
žito	シリアル
nebesa	天国
bend	band
bend	バンド
karen	カレン
santos	サントス
bombardier	ボンバルディア
sejem	フェア
nevihta	雷雨
nevihta	ストーム
bali	バリ
bali	バリ島
seji	ミーティング
seji	会議
magna	マグナ
holesterola	コレステロール
diana	ダイアナ
skupinski	集団
skupinski	グループ
alfredo	アルフレード
rezervne	スペア
mošeje	モスク
bologni	ボローニャ
sudan	スーダン
dirkališče	サーキット
dirkališče	回路
razlikovanje	微分
razlikovanje	分化
razlikovanje	区別
schmadel	schmadel
norton	ノートン
preganjanje	迫害
ponovi	繰り返す
ponovi	繰り返し
hitlerja	ヒトラー
hitlerja	ヒットラー
religijo	宗教
fizična	フィジカル
fizična	物理
moreno	モレノ
denny	デニー
gfdl	gfdl
razkril	啓示
priključitev	つながり
priključitev	接続
priključitev	差押え
priključitev	添付
priključitev	愛着
svetilke	街灯
dijak	生徒
dijak	学生
celino	本土
celino	大陸
zapleti	合併症
zapleti	合併症
živila	食べ物
živila	料理
živila	食品
živila	食材
pridobljena	後天性
stanovanjske	住宅
stanovanjske	住宅地
prehrana	栄養
prehrana	ダイエット
prehrana	献立
prehrana	国会
hormon	ホルモン
dwight	ドワイト
krožno	円形
kora	コラ
organska	有機
elton	エルトン
partnerja	パートナー
partnerja	パートナー
neposreden	ダイレクト
fiziologija	生理学
voz	ワゴン
atlantik	アトランティック
atlantik	大西洋
preiskava	調査
preiskava	捜査
preiskava	探究
preiskava	照会
avdio	音声
avdio	オーディオ
avdio	audio
pisarne	オフィス
bombo	爆弾
žoga	ボール
noel	ノエル
mešano	ミックス
mešano	混合
kristjan	クリスチャン
kristjan	キリスト教
kristjan	キリスト教徒
hoffmann	ホフマン
branik	bastion
odlomek	抜粋
ats	ats
soglasja	合意
girolamo	ジローラモ
junior	ジュニア
vrzel	ギャップ
vrzel	gap
mons	モンス
tečaje	コース
dosežen	達成
lucy	ルーシー
magnezijev	マグネシウム
mami	ミイラ
mami	マミー
mami	ママ
zvesti	忠実
barvanje	染色
barvanje	絵画
uši	シラミ
predavanje	講義
predavanje	教本
predavanje	講演
baseball	ベースボール
baseball	野球
propeler	プロペラ
dož	ドージェ
votline	洞窟
votline	虫歯
odklonil	辞退
odklonil	不参加
reforma	改革
reforma	革新
reforma	リフォーム
sence	シャドウズ
sence	シャドー
sence	シャドウ
gvineja	ギニア
efekt	エフェクト
efekt	効果
bolzano	ボルツァーノ
apostolov	使徒
aplikacija	アプリ
istituto	istituto
primerki	標本
valuta	通貨
koti	アングル
clarence	クラレンス
diagnozo	診断
kroženje	循環
kroženje	回転
kroženje	ローテーション
temni	ダーク
temni	暗い
obremenitve	読み込む
obremenitve	ロード
obremenitve	読み込み
peresa	羽毛
peresa	ペン
tekač	ランナー
tekač	ビショップ
claudia	クラウディア
nevronov	ニューロン
pse	pse
babilon	バビロン
strategijo	戦略
schultz	シュルツ
mačeha	継母
zmogljivost	パフォーマンス
zmogljivost	性能
zmogljivost	興行
zmogljivost	定員
zmogljivost	容量
dresden	ドレスデン
vezani	束縛
vezani	バウンド
prsi	乳房
prsi	母乳
hermes	ヘルメース
droge	ドラッグ
droge	薬物
pijačo	飲み物
pijačo	ドリンク
pijačo	飲む
pijačo	飲み物
pijačo	ドリンク
salvatore	サルヴァトーレ
umorjen	暗殺
statistiko	統計
statistiko	統計
cardiff	カーディフ
nakit	宝石
nakit	ジュエリー
nakit	宝石
nakit	ジュエリー
son	息子
vice	煉獄
vice	バイス
ozko	狭い
priloga	別館
zapleteno	トリッキー
zapleteno	コンプレックス
zapleteno	錯体
zapleteno	複雑
zapleteno	複雑
bodoči	フューチャー
bodoči	未来
bodoči	将来
pasovi	シートベルト
pasovi	ベルト
commando	コマンドー
helsinkih	ヘルシンキ
braun	ブラウン
stade	スタッド
počutje	being
počutje	気分
počutje	フィーリング
deblo	トランク
deblo	ログ
deblo	log
bolan	病気
bolan	bolan
popravilo	修理
predstavništvo	表現
čutil	フェルト
obvezna	強制
willem	ウィレム
čudno	オッド
čudno	奇数
harmonika	アコーディオン
prošnje	アプリケーション
prošnje	リクエスト
brandenburg	ブランデンブルク
porte	ポルテ
dobiček	営利
dobiček	収益
dobiček	利益
upad	辞退
upad	拒否
upad	却下
primerek	標本
primerek	見本
cen	価格
gostila	主催
alg	藻類
alg	藻類
sicilija	シチリア
korita	トラフ
linda	linda
linda	リンダ
specialist	スペシャリスト
kometi	彗星
opazovalca	オブザーバー
opazovalca	オブザーバ
vidike	側面
sabina	サビーナ
gal	ギャル
gal	ガル
številčno	numeric
vladni	政府
stand	スタンド
ten	テン
ten	ten
afera	情事
afera	浮気
vodovod	配管
abdul	アブドゥル
pogreb	葬式
pogreb	葬儀
prehiteti	追い越し
oster	シャープ
oster	鋭い
studios	スタジオ
ekološki	生態学
domingo	ドミンゴ
živine	家畜
české	チェスケー
daj	与える
daj	give
nemirov	暴動
ustvarjena	作成
florence	フローレンス
florence	フィレンツェ
jefferson	ジェファーソン
zaprto	閉店
milo	milo
milo	石けん
milo	石鹸
milo	ソープ
milo	soap
dokumentacijo	ドキュメント
dokumentacijo	ドキュメンテーション
strelci	弓術
stalin	スターリン
neprimerno	不適切
hlače	ズボン
hlače	ズボン
hlače	パンツ
kopač	ディガー
pravokotna	垂直
pravokotna	長方形
cornell	コーネル
logiko	論理
izdelovanje	メイキング
leftarm	leftarm
alternativa	オルタナティブ
alternativa	代替
skalo	ロック
arheologijo	考古学
nocat	nocat
platno	キャンバス
gale	風力
praznovanje	フェスティバル
praznovanje	祭事
praznovanje	祭り
praznovanje	お祭り
praznovanje	お祝い
praznovanje	祝う
praznovanje	祝賀会
praznovanje	お祝い
