membrane	膜
lobby	大堂
lobby	遊說
supervisor	主管
supervisor	督導
minorities	少數民族
spectacular	壯觀
bean	豆
blades	刀鋒
printer	印表機
residences	住宅
residences	官邸
thumb	拇指
thumb	大拇指
wikipedian	wikipedian
mediawiki	mediawiki
sol	sol
marty	marty
butterflies	蝴蝶
hostage	人質
casual	休閒
rude	粗魯
cubic	立方
soup	湯
battleship	戰艦
dissertation	論文
python	python
python	巨蟒
python	蟒
python	蟒蛇
extract	提取
extract	萃取
extract	摘錄
peasants	農民
throat	喉
throat	喉嚨
throat	嗓子
throat	咽喉
celebrating	慶祝
finn	finn
inadequate	不足
caste	種姓
prisons	監獄
stirling	stirling
senegal	塞內加爾
beirut	貝魯特
touched	觸及
touched	感動
deposit	保證金
deposit	存
deposit	存款
deposit	押金
olivia	olivia
colombo	科倫坡
observers	觀察員
hubert	hubert
basil	basil
batch	批次
batch	分批
breath	呼氣
baton	警棍
spokesman	發言人
caution	謹慎
meadows	草甸
meadows	meadows
aluminum	鋁
revisions	訂正
stein	stein
jokes	笑話
italics	斜體字
bark	吠
bark	樹皮
diabetes	糖尿病
flickr	flickr
lesson	教訓
lesson	課
tenants	租戶
tenants	房客
tenants	住戶
factions	各派
factions	派系
conscious	自覺
alley	小巷
alley	巷
alley	巷子
schneider	schneider
bowie	bowie
geo	geo
meditation	冥想
rue	rue
promotions	推廣
promotions	促銷
promotions	晉升
diplomats	外交官
purchasing	購買
purchasing	採購
liz	liz
horns	牛角
emergence	湧現
emergence	興起
resorts	度假勝地
resorts	勝地
taxation	稅收
taxation	稅務
miniature	微型
miniature	迷你
clarity	清晰度
clarity	清晰
qualifications	資歷
poetic	詩意
hereditary	世襲
hereditary	遺傳
mater	板牙
principality	公國
increment	遞增
increment	增量
omitted	省略
tumor	瘤
tumor	腫瘤
locks	鎖
bees	蜜蜂
equilibrium	平衡
equilibrium	均衡
realism	現實主義
adaptations	改編
bent	bent
bent	彎
advertisements	廣告
chung	鐘
chung	忠
oman	阿曼
flank	側翼
flank	側面
okinawa	沖繩
okinawa	琉球
helmet	頭盔
helmet	盔
straw	稻草
straw	吸管
anticipated	預計
anticipated	預期
goodman	goodman
nutrition	營養
messenger	messenger
messenger	信使
robbery	打劫
robbery	劫
robbery	搶劫
ducks	鴨
ducks	鴨子
accessdate	accessdate
huang	黃
packaging	包裝
int	int
trauma	創傷
trauma	外傷
reyes	reyes
laying	鋪設
extinction	滅絕
extinction	絕種
attribute	屬性
proxy	代理人
proxy	代理
coding	編碼
canoe	獨木舟
gasoline	汽油
cpu	cpu
geometric	幾何
chord	和弦
chord	弦
costumes	服裝
costumes	戲服
cowboy	牛仔
preparations	籌備
koch	koch
sts	sts
bedroom	臥室
bedroom	臥房
declining	遞減
declining	衰落
choral	合唱
interpret	詮釋
grape	葡萄
expeditions	探險
haunted	鬧鬼
offspring	後代
marxist	馬克思主義
aluminium	鋁
permits	許可證
tomatoes	番茄
tomatoes	西紅柿
tomatoes	蕃茄
quarry	採石場
disappointed	失望
crafts	工藝
crafts	手工藝
crafts	工藝品
crafts	手工藝品
curator	館長
rbi	打點
marseille	馬賽
rand	rand
insect	昆蟲
sergio	sergio
appreciation	升值
enzymes	酶
awkward	尷尬
pressing	緊迫
geograph	geograph
corrupt	腐敗
logging	伐木
conversations	對話
questioning	訊問
questioning	審問
ceylon	錫蘭
symmetry	對稱
excavations	挖掘
hercules	大力士
sheridan	sheridan
unfair	不公
pile	堆
muscles	肌肉
reptiles	爬蟲類
samurai	武士
stripes	花臉
stripes	條紋
juice	汁
juice	果汁
fierce	激烈
fierce	凶猛
necessity	必要性
stealing	偷竊
stealing	偷
hilton	希爾頓
blu	blu
giles	giles
stomach	胃
stomach	肚子
abusive	濫用
abusive	辱罵
abusive	虐待
buttons	按鈕
hinduism	印度教
fortifications	工事
apprentice	學徒
apprentice	徒弟
hussein	hussein
disposal	處置
pharmacy	藥房
pharmacy	藥劑
pharmacy	藥店
liability	責任
liability	負債
cam	凸輪
cam	cam
dinamo	dinamo
sci	sci
hbo	hbo
starr	starr
statutory	法定
recruiting	招聘
recruiting	招募
periodic	定期
shtml	shtml
pagan	異教徒
pagan	異教
matched	匹配
defendant	被告人
defendant	被告
crashes	撞車
pizza	披薩
pizza	比薩
mls	mls
exploitation	剝削
xml	xml
supervised	監督
integer	整數
mistress	情婦
mistress	女主人
mortar	迫擊炮
cop	cop
lyric	歌詞
assumptions	假設
assumptions	假定
ios	ios
bud	芽
bud	bud
skip	跳過
invite	邀請
martinez	martinez
medina	medina
debris	廢棄物
debris	碎片
frustrated	受挫
infinity	無限
infinity	無窮
corresponds	對應
cretaceous	白堊紀
bite	咬
nodes	節點
rumors	流言
rumors	謠言
neighbor	鄰居
ordering	訂購
capitalism	資本主義
pigs	豬
centennial	百年
bolt	螺栓
infamous	臭名昭著
infamous	聲名狼藉
damascus	大馬士革
listeners	聽眾
assignments	指派
assignments	轉讓
porch	門廊
hymn	聖歌
indirect	間接
vhs	vhs
practicing	練習
chu	楚
abs	abs
hiatus	間隙
paired	配對
watt	瓦特
kite	風箏
frigate	巡防艦
frigate	護衛艦
shade	陰影
trades	行業
coastline	海岸線
lamp	燈
lamp	電燈
camping	露營
camping	野營
chips	薯條
chips	籌碼
earthquakes	地震
indicator	指標
bloom	盛開
bloom	開花
bloom	bloom
bloom	綻放
prayers	祈禱
prayers	禱告
mortality	死亡率
malik	馬力
malik	malik
cliffs	崖壁
cliffs	懸崖
cliffs	崖
caliber	口徑
lowell	lowell
kidney	腎臟
kidney	腎
teddy	teddy
omega	ō
cheng	程
denial	拒絕
denial	否定
denial	否認
ordnance	軍械
brush	刷刷
brush	刷
alain	alain
ein	ein
turbo	渦輪
hydraulic	水利
hydraulic	水力
hydraulic	液壓
addiction	上癮
addiction	毒癮
addiction	癮
solidarity	聲援
solidarity	團結
maid	女傭
maid	傭人
physiology	生理
algebraic	代數
brake	煞車
brake	制動
jacket	夾克
jacket	外套
spinning	紡
scarlet	血色
scarlet	猩紅
explorers	探險家
impacts	影響
cemeteries	公墓
royalty	皇室
royalty	王室
announcer	播音員
inconsistent	不一致
amphibious	兩棲
spears	長矛
spears	spears
mutant	突變
mutant	變異
oracle	oracle
oracle	先知
slim	苗條
slim	瘦
erosion	侵蝕
borneo	婆羅洲
coordinated	協調
explanations	解釋
transformers	變壓器
beethoven	貝多芬
digits	位數
usgs	usgs
parole	假釋
notification	通知
