политехнический	politehnični
встретились	izpolnjeni
встретились	srečal
встретились	met
встретились	spoznal
джефф	geoff
джефф	jeff
абд	abd
луч	žarek
луч	snop
противоречия	nasprotij
противоречия	protislovja
противоречия	protislovje
противоречия	nasprotju
аст	ast
амстердам	amsterdam
амстердам	amsterdamu
эми	amy
антуан	antoine
цветок	cvet
цветок	cveta
цветок	roža
цветок	rožica
философские	filozofski
частная	zasebno
частная	privat
частная	zasebna
частная	zasebnega
частная	zasebni
цру	cia
цру	cia
калия	kalij
калия	kalija
калия	kalijev
ленте	krma
ленте	krmo
морган	morgan
прокурор	tožilec
прокурор	tožilka
мигель	miguel
равных	enaka
равных	enaki
равных	enako
коммуне	komune
сомали	somaliji
арк	lok
арк	arc
арк	barko
арк	skrinja
чай	tea
чай	čaj
этапы	faze
этапы	faz
этапы	faze
этапы	stopnje
этапы	fazah
этапы	stopnice
этапы	koraki
этапы	mejniki
размягчения	mehčanje
родственники	sorodniki
доверие	zaupanje
доверие	samozavest
доверие	zaupanja
доверие	zaupanje
доверие	zaupanja
интерьер	notranjosti
интерьер	notranja
интерьер	notranjost
интерьер	notranje
интерьер	notranji
уничтожено	uničena
уничтожено	uničeni
уничтожено	uničene
уничтожено	uničen
уничтожено	uničeno
мэтт	matt
блоки	bloki
блоки	bloke
михаэль	mihael
михаэль	michael
хью	hugh
леопольд	leopold
склоне	naklon
склоне	nagib
сер	gospod
нормальная	normalno
нормальная	običajno
нормальная	normalen
нормальная	normalna
нормальная	običajna
нос	nosom
нос	nosu
нос	nos
произношение	izgovorjava
наследника	dedič
наследника	naslednik
наследника	dediča
пит	pete
пит	piet
адама	adam
адама	adama
ионизации	ionizacijski
уверенно	samozavesten
уверенно	samozavestna
уверенно	samozavestno
уверенно	samozavestni
уверенно	samozavestno
анп	anp
абрамович	abramovič
кукол	punčke
кукол	lutke
кукол	lutk
луций	lucij
зерна	žito
зерна	žita
зерна	zrna
зерна	zrnje
зерна	zrna
зерна	zrnje
марг	marg
еврейские	judovski
еврейские	židovski
еврейские	žid
еврейские	judje
габриэль	gabriel
габриэль	gabrielle
дракон	zmajev
дракон	zmaj
тенденции	trendi
тенденции	gibanja
тенденции	trende
монархии	monarhija
разбил	razbil
разбил	razbita
пекин	peking
пекин	pekingu
девочек	punce
девочек	dekleta
девочек	punci
девочек	deklice
дарья	daria
жозе	jose
жозе	josé
жозе	jose
жозе	josé
поставки	pošiljke
поставки	pošiljk
поставки	oskrba
поставки	dobava
поставки	dobave
поставки	dobava
поставки	zaloge
поставки	potrebščine
грудь	prsi
грудь	skrinja
грудь	dojke
грудь	prsi
грудь	dojk
грудь	prsi
грудь	dojke
грудь	dojk
новиков	novikov
интересует	zanima
интересует	zainteresirani
интересует	zainteresirana
интересует	zainteresirane
бросил	zapuščen
бросил	zapuščena
бросил	zapuščeni
бросил	zapuščeno
бросил	vrgel
самолет	letalo
самолет	zrakoplovi
самолет	zrakoplov
самолет	letala
самолет	ravnina
самолет	letalo
самолет	letalo
картер	carter
картер	carterjeva
противостояние	soočenje
противостояние	nasprotovanje
противостояние	nasprotovanja
противостояние	opozicija
противостояние	opozicije
изабелла	isabel
изабелла	isabella
союзники	zaveznika
союзники	zavezniki
заговора	zarota
заговора	zarote
заговора	zaroto
противники	nasprotniki
противники	nasprotniki
противники	nasprotnike
противники	nasprotnikov
тула	tula
грузинская	gruzijski
расчёт	izračun
расчёт	izračunati
хотела	iskani
хотела	iskana
чудо	čudo
чудо	marvel
чудо	čudež
чудо	čudežni
чудо	čudo
чудо	čudežna
юристы	odvetniki
юристы	pravniki
юристы	odvetnike
четвёртая	četrto
четвёртая	četrta
четвёртая	četrtič
четвёртая	četrti
рак	raku
рак	rak
рак	raka
редкие	redki
редкие	redko
доходы	dohodki
доходы	prihodek
доходы	prihodki
доходы	dohodki
доходы	dohodek
доходы	dohodka
доходы	dohodki
доходы	prihodki
доходы	prihodek
доходы	prihodki
миссури	missouri
первоначальный	začetni
первоначальный	začetna
первоначальный	začetno
поддерживается	podprta
поддерживается	podprte
поддерживается	podprti
поддерживается	podprt
поддерживается	podprto
поддерживается	podpira
потребления	potrošnja
потребления	poraba
женское	ženska
женское	ženski
женское	samica
женское	žensko
университеты	univerze
университеты	univerz
университеты	univerzami
привлечения	pritegniti
привлечения	pritegnili
привлечения	privabiti
привлечения	privabljanje
вместимость	zmogljivosti
вместимость	zmogljivost
вместимость	kapaciteta
венесуэла	venezueli
заговор	zarota
заговор	zaroto
заговор	zarota
заговор	zarote
заговор	zaroto
добавлен	dodana
добавлен	dodane
добавлен	dodanih
добавлен	dodan
добавлен	dodani
добавлен	dodano
монтаж	montaža
монтаж	montažo
монтаж	vgradnjo
монтаж	urejanje
программирование	programiranje
защищал	branili
защищал	branil
торжественно	slovesno
торжественно	slovesni
торжественно	slovesno
торжественно	svečano
священников	duhovniki
священников	duhovnikov
священников	duhovnike
вселенная	vesolje
вселенная	vesolju
панели	plošče
панели	armatura
панели	plošča
панели	pult
панели	ploščo
панели	ploskev
бизнесмен	poslovnež
резерва	rezerva
резерва	rezervo
резерва	rezerve
зимние	zimska
зимние	zimsko
зимние	zimo
зимние	zima
зимние	winter
бич	beech
бич	plaža
бич	plažo
бич	obala
бич	beach
оливер	oliver
оливер	oliverja
слышал	slišal
слышал	slišala
сун	sonca
сун	soncem
сун	sonce
сун	soncu
горький	gorky
горький	zagrenjen
горький	grenko
горький	grenka
горький	grenak
удобно	priročno
удобно	priročna
удобно	udobno
удобно	udobni
удобно	udoben
удобно	udobno
удобно	udoben
удобно	priročno
удобно	priročna
лёгкие	pljučna
лёгкие	pljuč
лёгкие	pljuča
лёгкие	pljuč
лёгкие	pljuča
послание	sporočilo
препарат	zdravilo
препарат	droga
произведено	proizvedena
произведено	proizvedeno
произведено	proizveden
океании	oceaniji
скрипка	violina
скрипка	violino
избежание	izogibanje
избежание	izogibanje
молекулы	molekule
молекулы	molekul
молекулы	molekule
скрипач	violinist
скрипач	fiddler
азербайджанская	azerbajdžanska
допускается	dovoljeno
допускается	dovoljen
допускается	dovoljeno
допускается	dovoljen
формах	oblike
формах	obrazci
формах	obrazca
собраний	sklopi
померания	pomorjansko
терминологии	terminologije
сложнее	močneje
сложнее	težje
монреаль	montrealu
монреаль	montreal
вены	vene
вены	žile
вены	dunaj
вены	dunajski
бонус	bonus
ирак	irak
ирак	iraku
стамбул	istanbulu
стамбул	istanbul
изобретения	izumi
гнездо	gnezdo
гнездо	gnezda
индию	indija
индию	indijo
стратегия	strategijo
стратегия	strategija
специальность	specialiteta
специальность	posebnost
специальность	specialnost
специальность	specialnost
специальность	posebnost
парламентские	parlamentarna
парламентские	parlamentarno
парламентские	parlamentarni
важная	pomembno
важная	pomemben
важная	pomembna
холокоста	holokavst
никарагуа	nikaragvi
массе	maso
массе	mase
массе	mass
массе	masa
представительство	zastopanje
представительство	ponazoritev
представительство	predstavništvo
местная	krajevna
местная	krajevni
местная	lokalni
местная	krajevno
местная	lokalno
порты	pristanišča
сообщили	poročali
сообщили	prijavljenih
перес	perez
перес	pérez
реагирует	reagira
маркус	marcus
маркус	markus
адъютант	pribočnik
энрике	enrique
энрике	henrique
уничтожен	uničena
уничтожен	uničeni
уничтожен	uničene
уничтожен	uničen
уничтожен	uničeno
розы	vrtnice
батарей	akumulatorji
батарей	baterije
визит	obisk
визит	obiščite
празднования	praznovanja
уругвай	urugvaj
готова	pripravljeni
готова	pripravljena
готова	pripravljen
виконт	vicomte
виконт	vikont
индиана	indiana
зайцев	zajcev
пабло	pablo
канзас	kansas
цветной	barvne
цветной	obarvana
самолета	letalo
самолета	zrakoplovi
самолета	zrakoplov
самолета	letala
конференций	konference
конференций	konferenc
разрушение	rušenje
разрушение	razdejanje
разрушение	uničenje
разрушение	uničevanje
дина	dinah
дина	dina
обновления	novosti
обновления	posodobitve
обновления	posodobi
обновления	posodabljanje
обновления	posodobitev
колонна	stolpec
колонна	kolona
колонна	konvoj
ахмад	ahmad
объявления	oglasi
персидского	perzijski
предположения	domneva
предположения	predpostavka
предположения	predpostavke
предположения	domneve
рики	ricky
живет	živi
живет	življenja
монголия	mongoliji
перемещения	premik
гамма	game
гамма	gama
профсоюзов	sindikatov
профсоюзов	sindikati
посвященный	namenski
посвященный	namenske
посвященный	posvečena
посвященный	predan
посвященный	posvečeno
забыл	pozabljen
забыл	pozabljena
забыл	pozabljeno
забыл	pozabljeni
забыл	pozabil
забыл	pozabila
полос	steze
последовало	sledili
последовало	sledilo
последовало	sledila
последовало	sledil
методики	metodologij
методики	metodologije
тропических	tropske
тропических	tropski
тропических	tropskih
изменилась	spremenjen
изменилась	spremenjeno
долг	dajatev
долг	dolžnost
долг	dolžnosti
долг	dolga
долг	dolg
ален	allen
ален	alain
колебаний	oklevanja
бернар	bernard
бернар	bernarda
беременности	nosečnost
полезные	uporaben
полезные	koristno
полезные	uporabna
полезные	uporabno
полезные	koristna
полезные	koristno
совместное	joint
совместное	skupno
лонг	dolge
лонг	dolg
лонг	dolgo
лонг	dolgi
лонг	dolga
равнины	ravnine
равнины	ravnicah
полезно	uporaben
полезно	koristno
полезно	uporabna
полезно	uporabno
полезно	koristna
полезно	koristno
санчес	sanchez
санчес	sánchez
гэри	gary
инфраструктура	infrastrukturo
инфраструктура	infrastruktura
металл	kovinska
металл	kovine
металл	kovina
металл	kovinsko
металл	kovinski
металл	kovin
уход	skrb
уход	skrbna
уход	oskrba
уход	nego
уход	nega
уход	care
ребята	fantje
ребята	druščina
шире	širši
шире	širše
шире	širši
шире	širša
шире	širše
неизвестен	neznan
неизвестен	neznani
неизвестен	neznano
неизвестен	neznana
скалы	pečine
скалы	skale
скалы	kamenje
скалы	kamni
романенко	romanenko
домашний	domača
домашний	doma
домашний	domov
домашний	dom
домашний	domači
домашний	domač
домашний	domače
домашний	domača
лунный	lunarni
комиссара	komisar
комиссара	komisarka
оскорбление	žaljivo
оскорбление	žalitev
марс	mars
расти	rusty
расти	rastejo
расти	rasti
расти	gojil
расти	zrasti
моды	fashion
моды	modno
моды	modna
моды	moda
моды	modo
применить	uveljavi
преподавания	poučevanje
сервера	strežniki
сервера	strežnik
зарегистрировано	registrirana
зарегистрировано	registrirano
зарегистрировано	registrirani
зарегистрировано	registriran
единое	enotno
единое	enotna
этнографии	etnografija
рекомендую	priporočamo
рекомендую	priporoči
рекомендую	priporočam
комбинации	kombinacij
комбинации	kombinacije
комбинации	kombinaciji
комбинации	kombinacija
комбинации	kombinacijo
указатель	indeks
указатель	kazalo
указатель	kazalec
рог	roga
рог	rog
рог	horn
поместье	posest
поместье	posestvo
различие	razlikovanje
различие	razlika
различие	razliko
различие	razlike
зла	zlobna
зла	zlo
зла	hudoben
зла	zloben
зла	zlobno
окружение	okolje
окружение	okolico
окружение	okolica
адриан	adrien
адриан	adrian
порода	pasme
альманах	almanah
хранение	obsedenost
хранение	posest
хранение	posedovanje
хранение	skladiščenje
хранение	skladišče
хранение	shranjevanje
возможен	možen
возможен	možna
возможен	možne
возможен	možni
возможен	možno
жертву	žrtvovanja
жертву	žrtvovanje
коалиция	koalicijo
спорить	prepir
документальных	dokumentarec
правильное	pravilno
правильное	pravilna
правильное	pravilen
правильное	pravilni
исследовал	raziskana
пропаганда	propagando
пропаганда	propaganda
зубы	zobe
зубы	zobje
треки	skladbe
треки	sledi
треки	tiri
специализированных	specializiranih
специализированных	specializiran
специализированных	specializirana
специализированных	specializirani
специализированных	specializirano
специализированных	specializirane
специализированных	specializiran
кучу	kupček
кучу	kupu
кучу	kup
ущелье	grape
доминик	dominick
доминик	dominic
доминик	dominique
доминик	dominik
шахматы	šah
шахматы	šaha
будапешт	budimpešti
фактором	dejavnik
фактором	faktor
казимир	casimir
животное	živalsko
животное	živalska
животное	žival
животное	živali
тюрингия	turingiji
дракона	zmajev
дракона	zmaj
углерода	ogljik
углерода	ogljika
свидетелей	priče
свидетелей	prič
кпм	pcf
преодолеть	premagovanje
преодолеть	premagati
преодолеть	premagala
усиление	krepitev
усиление	okrepitev
атаковали	napaden
атаковали	napadeni
атаковали	napadel
атаковали	napadena
атаковали	napadli
легион	legija
легион	legijo
дискография	diskografija
взвод	vod
взвод	vod
точная	natančno
точная	natančen
точная	natančna
точная	točen
точная	natančen
точная	natančni
точная	natančna
точная	natančno
точная	natančen
гоголя	gogolj
богатства	bogastva
богатства	bogastvo
богатства	bogastva
богатства	bogastvo
богатства	premoženje
рейна	rena
рейна	porenje
рейна	ren
рейна	reina
рейна	raina
организм	organizem
личинки	ličinke
личинки	črvi
личинки	ličink
личинки	ličinke
личинки	striker
сообщается	poročali
сообщается	prijavljenih
панорама	panorama
исключить	izključi
исключить	izloči
исключить	izključiti
исключить	izbris
исключить	brisanje
монахи	menihov
монахи	meniha
монахи	menihi
белок	beljakovin
белок	protein
белок	proteini
белок	beljakovine
временный	začasni
временный	začasno
временный	začasna
временный	začasen
завершена	končano
завершена	zaključene
завершена	izpolnjeno
завершена	končana
завершена	zaključena
завершена	končano
завершена	končala
завершена	končana
груневельд	groeneveld
консульство	konzulat
кастро	castra
кастро	castro
матрицы	matrice
матрицы	matrico
матрицы	matrica
матрицы	matrika
упадок	upadanje
упадок	upad
взрослые	odrasle
взрослые	odrasli
взрослые	odraslih
взрослые	odrasel
взрослые	odrasli
арестованы	aretirani
арестованы	aretirali
арестованы	aretirana
арестованы	aretiran
документальные	dokumentarci
медичи	medici
ранний	zgodnje
ранний	zgodnja
ранний	zgodnji
ранний	zgodaj
исчезновения	izginotja
исчезновения	izginotje
знакомство	poznavanje
знакомство	znanec
иисус	jezus
итальянские	italijanske
итальянские	italijanski
итальянские	italijansko
итальянские	italijanska
итальянские	italijan
компонент	komponenta
компонент	sestavina
объяснил	pojasnil
искренне	iskreno
удобства	ugodnosti
вэй	wei
хорхе	jorge
спутники	sateliti
спутники	satelitsko
спутники	satelitska
спутники	satelit
спутники	luni
спутники	lune
спутники	lun
опытом	doživetja
опытом	izkušnje
рон	roan
рон	rona
рон	ron
наблюдение	spremljanje
наблюдение	opazovanja
наблюдение	opazovanje
наблюдение	nadziranje
наблюдение	nadzorovanje
наблюдение	nadzor
наблюдение	opazovati
наблюдение	opazovanje
деда	dedi
деда	deda
деда	ded
деда	dedek
деда	deda
деда	ded
деда	dedek
черепа	lobanje
черепа	lobanjo
черепа	lobanje
черепа	lobanja
герберт	herbert
якоб	jakob
якоб	jacob
якоб	jakob
словакия	slovaška
интеграции	povezovanje
интеграции	vključitev
интеграции	integracija
интеграции	vključevanje
женщину	ženska
женщину	žensko
актер	igralec
мальчиков	fantje
мальчиков	dečki
мальчиков	fanta
марке	marke
успешного	uspešno
успешного	uspešen
успешного	uspešni
успешного	uspešna
костей	bones
костей	kosti
костей	kosteh
парков	parke
парков	parki
парков	parkov
сделки	transakcije
сделки	trguje
попробуйте	poizkusi
попробуйте	poskusi
избирательного	selektivna
избирательного	selektivni
избирательного	selektiven
избирательного	selektivne
избирательного	selektivno
девиз	moto
девиз	slogan
николо	nicolò
сек	sek
сек	sec
салон	salon
греческая	helenska
греческая	grški
греческая	grško
греческая	grk
греческая	grška
тысячелетия	tisočletja
тысячелетия	tisočletje
серийный	serijsko
серийный	zaporedna
серийный	serijski
земледелия	kmetovanje
земледелия	kmetovanja
земледелия	kmetijstvo
земледелия	gojenje
лекарственных	zdravilne
частное	zasebno
частное	privat
частное	zasebna
частное	zasebnega
частное	zasebni
риска	tveganje
риска	tveganja
зеркало	zrcalo
зеркало	ogledalo
беседы	pogovori
беседы	intervjuje
беседы	intervjujev
беседы	razgovori
беседы	pogovori
пересадка	presaditev
пересадка	presaditev
регулярный	redno
регулярный	redni
регулярный	redna
рассказать	povej
грей	sive
грей	sivo
грей	sivi
грей	grey
грей	siva
райт	wright
вертолёт	helikopterja
вертолёт	helikopter
мали	mali
реакций	reakcije
реакций	odzivi
независимая	neodvisen
независимая	samostojna
независимая	samostojno
независимая	neodvisni
независимая	neodvisno
независимая	neodvisna
грузовых	tovorni
грузовых	tovor
украшения	nakit
украшения	nakit
украшения	okraske
украшения	okraski
правду	resnico
правду	resnice
правду	resnica
уровни	stopnje
уровни	stopenj
уровни	ravni
уровни	stopnje
уровни	nivoji
организатором	organizator
священники	duhovniki
священники	duhovnikov
священники	duhovnike
влиятельных	vplivni
влиятельных	vpliven
влиятельных	vplivna
влиятельных	vplivne
разнообразие	raznolikosti
разнообразие	raznovrstnost
разнообразие	raznolikost
разнообразие	sorta
разнообразие	sorte
разнообразие	raznolikost
хирург	kirurg
хирург	kirurginja
брони	oklep
признано	priznani
признано	priznan
признано	priznana
признано	priznano
признано	priznane
признано	priznana
признано	priznan
признано	priznan
признано	prepoznal
признано	priznana
признано	priznano
патрон	vložek
патрон	pokrovitelj
зомби	zombi
зомби	zombije
зомби	zombiji
поворот	zasuk
поворот	preobrat
поворот	twist
поворот	obrni
поворот	zavrti
поворот	zasuk
поворот	obrni
царей	carji
гражданства	državljanstvo
молитвы	molitev
молитвы	molitve
ботанический	botanični
босния	bosna
дэйв	dave
дэйв	dava
алжир	alžiru
алжир	alžirija
коричневые	rjavo
коричневые	rjavi
коричневые	rjave
коричневые	rjava
саймон	simon
саймон	simona
нила	neil
нила	nila
нила	nil
бтр	btr
саид	said
саид	saeed
декан	dekan
декан	dean
низким	nizki
низким	nizka
низким	nizko
низким	nizek
низким	nizke
повсеместно	povsod
повсеместно	vsepovsod
феномен	pojavi
феномен	pojave
феномен	fenomen
феномен	pojav
руды	rude
руды	rude
исправления	popravkov
исправления	popravki
электрических	električno
электрических	električni
истины	resnice
джеффри	geoffrey
джеффри	jeffrey
блюз	blues
ценные	dragoceno
ценные	dragocene
ценные	dragocen
ценные	dragocena
эмблемы	emblem
нефть	olje
нефть	olja
нефть	nafta
нефть	nafte
нефть	nafta
существенное	precejšnje
снег	sneži
снег	snega
снег	sneg
виа	via
детройт	detroit
показывать	pokaži
показывать	prikaži
показывать	oddaja
целые	cele
целые	cel
целые	cela
целые	celotno
преступников	odpadniki
преступников	izobčenci
преступников	zločinci
преступников	kriminalci
воля	will
воля	bo
воля	volja
экономии	varčevalnih
теннесси	tennessee
дженнифер	jennifer
форд	ford
шар	char
шар	balon
шар	žogo
шар	žoga
шар	žogica
шар	kroglo
подарок	prisotna
подарок	prisotni
подарок	prisotno
подарок	sedanjost
подарок	prisoten
подарок	darilo
очко	zadetek
очко	rezultat
очко	točka
очко	point
очко	točko
субрегион	podregijo
группировка	frakcija
группировка	združevanje
стрелка	strelec
стрелка	strelca
стрелка	puščica
стрелка	puščico
жидкость	tekočine
жидкость	tekočina
жидкость	tekoče
жидкость	tekočine
жидкость	tekoča
жидкость	tekočina
жидкость	tekoči
свойство	last
свойство	lastnost
свойство	premoženje
свойство	nepremičnine
свойство	lastnina
этаж	tla
этаж	nadstropje
гранди	grandi
гродно	grodno
выполнено	izpolnjen
выполнено	izpolnjeno
выполнено	izpolnjena
выполнено	izpolnjene
выполнено	izpolnjeni
выполнено	doseženo
сербов	srb
сербов	srbi
контекста	kontekst
контекста	konteksta
тяжести	resnost
тяжести	resnosti
луга	travišča
луга	meadows
люксембурга	luksemburg
соловьёв	solovjev
курорт	letovišče
вектор	vektor
горки	podstavek
горки	podlogo
фантастический	fantastični
фантастический	fantastična
фантастический	fantastičen
фантастический	fantastično
леона	leona
мирное	mirno
мирное	mirne
мирное	miren
саха	saha
присоединение	pristop
присоединение	pristopna
присоединение	pridružitev
присоединение	pridružil
барабанщик	bobnar
нож	nož
трудах	pisanja
тянет	vleče
тянет	potegne
тянет	vleče
тянет	vlečenje
акция	dejanja
акция	akcija
акция	dejanje
акция	ukrepanje
изобретение	izum
навыки	veščine
навыки	spretnosti
навыки	sposobnosti
навыки	veščine
навыки	spretnost
навыки	veščina
грубо	nesramen
грубо	nesramno
грубо	nesramna
бранденбург	brandenburg
уменьшение	zmanjšanje
уменьшение	znižanje
уменьшение	zmanjšanje
уменьшение	zmanjševanje
уменьшение	zmanjšanje
уменьшение	znižanje
санкции	kazni
санкции	sankcije
санкции	sankcije
физическая	fizično
физическая	fizični
физическая	fizična
ботаника	botanike
рей	rey
рей	rae
рей	rei
рей	ray
викимедиа	wikimedijina
индивидуальные	individualna
индивидуальные	posamezna
индивидуальные	posamezno
индивидуальные	individualno
индивидуальные	posamezni
индивидуальные	posameznik
спасение	prihranek
спасение	reševanje
спасение	varčevanje
спасение	shranjevanje
спасение	reševalna
спасение	reševanje
спасение	rešitev
спасение	odrešitev
мичиган	michigan
минас	minas
кросс	križec
кросс	navzkrižna
кросс	križ
кросс	cross
кросс	navzkrižno
нельсон	nelson
снимок	posnetek
кисти	ščetke
западное	zahodna
западное	zahodni
западное	western
западное	zahodno
фильтр	filter
фильтр	filtriranje
герцогиня	vojvodinja
закончилось	končalo
электроники	elektronika
электроники	elektroniko
квебек	quebec
колеса	kolo
колеса	kolesa
колеса	kolesa
аудио	zvok
аудио	avdio
лукас	lucas
лукас	lukas
пал	padel
пал	padle
пал	padli
пал	padla
пал	padlo
мужские	samec
мужские	samci
мужские	moško
мужские	moški
мужские	moška
компакт	kompakten
вычисления	računalništvo
продал	prodani
продал	prodano
продал	prodana
продал	prodan
реализм	realizem
химическая	kemikalija
химическая	kemična
химическая	kemijsko
химическая	kemično
правильный	pravilno
правильный	pravilna
правильный	pravilen
правильный	pravilni
операторов	upravljavci
операторов	operaterji
операторов	izvajalci
операторов	operaterje
поляки	poljaki
тереза	therese
тереза	teresa
тереза	tereza
тереза	theresa
держит	ohranja
четверть	četrt
четверть	četrtina
приобрести	nakup
приобрести	pridobi
приобрести	pridobijo
повысить	zagon
защищает	varuje
защищает	ščiti
особая	specialno
особая	posebna
особая	posebne
особая	poseben
особая	posebno
буддизм	budizem
ген	gene
ген	gen
ген	gen
смешанные	mešani
смешанные	mešana
смешанные	mešane
смешанные	mešano
призы	nagrade
призы	trofeje
адамс	adams
мятеж	upor
мятеж	upor
мятеж	upor
социальное	socialno
социальное	družabni
социальное	družabno
социальное	socialne
социальное	socialna
социальное	družbena
просмотр	brskanje
просмотр	brskanje
просмотр	ogled
просмотр	razgled
просмотр	pogled
подъёма	samoglasnik
максимальное	maksimum
максимальное	največja
рика	rick
рика	ricka
телефоны	telefoni
телефоны	telefone
телефоны	telefoni
неизвестный	neznan
неизвестный	neznani
неизвестный	neznano
неизвестный	neznana
социалистов	socialisti
социалистов	socialistov
шарлотта	charlotte
буш	bush
буш	grmovje
буш	grm
тайвань	tajvana
тайвань	tajvan
миф	mit
убежище	zavetje
убежище	zatočišče
убежище	zavetišče
убежище	zaklonišče
убежище	svetišče
убежище	zatočišče
убежище	zavetišče
убежище	azil
убежище	zatočišče
мышь	miš
мышь	miška
мышь	miško
мышь	mišek
мышь	miške
тенденция	trend
тенденция	težnja
кузьмин	kuzmin
биг	velika
биг	veliki
биг	velike
биг	velik
биг	bih
тезис	tezo
богини	boginje
потребности	rabi
потребности	potrebe
потребности	potrebuje
потребности	potreb
потребности	zahteve
автомат	avtomat
катера	čolni
кен	ken
дольше	dlje
дольше	daljše
дольше	daljši
дольше	daljša
подтверждена	potrjen
подтверждена	potrjeno
подтверждена	potrjeni
подтверждена	potrjena
рождество	božič
ральф	ralf
ральф	ralph
стандартный	standardna
стандартный	standardno
стандартный	standard
отделений	pisarne
отделений	uradi
отделений	veje
отделений	podružnice
сул	sul
поло	polo
поло	pola
чистый	prečiščena
чистый	neto
чистый	net
чистый	cist
чистый	čist
чистый	čisti
чистый	čist
чистый	čista
тепло	vročina
тепло	toplota
тепло	toplote
тепло	topla
тепло	topel
тепло	topli
тепло	toplo
тепло	toplota
тепло	toplino
пароход	parnik
мартинес	martinez
мартинес	martínez
таджикистан	tadžikistan
погода	vreme
удаляется	odstranjena
удаляется	odstranjen
удаляется	odstranjene
удаляется	odstranjeno
суды	sodišča
приобрел	pridobljena
приобрел	pridobljen
приобрел	pridobljene
приобрел	pridobljeno
джейми	jamie
банкноты	bankovci
раннее	zgodnje
раннее	zgodnja
раннее	zgodnji
раннее	zgodaj
днепропетровск	dnepropetrovsk
орды	horde
болота	močvirja
болота	močvirje
болота	barja
болота	močvirja
избегать	izogibanje
магистр	magister
окружности	krogi
окружности	kroge
окружности	krogov
окружности	obseg
соединяет	povezuje
пригороде	predmestje
пригороде	predmestje
пригороде	predmestje
пригороде	predmestju
пригороде	predmestja
празднование	praznuje
празднование	praznovanje
празднование	praznujemo
празднование	praznovanja
празднование	slavje
празднование	praznovanje
спорных	spornih
спорных	sporno
спорных	spornih
спорных	sporni
спорных	sporna
спорных	sporno
спорных	sporne
спорных	sporne
спорных	sporna
спорных	sporno
спорных	sporen
римлян	rimljani
длинная	dolge
длинная	dolg
длинная	dolgo
длинная	dolgi
длинная	dolga
дождь	deževati
дождь	dežuje
дождь	dežja
дождь	rain
дождь	dež
рено	renaud
рено	rena
рено	renu
рено	reno
рено	renault
мкф	icf
колесо	kolo
колесо	kolesa
федеральное	zvezni
федеральное	zvezno
федеральное	zvezna
заготовки	žetev
заготовки	nabiranje
заготовки	trgatev
клиент	stranka
клиент	odjemalec
клиент	stranka
клиент	odjemalec
таллин	talinu
прибыла	prispele
прибыла	prispel
прибыла	prispela
прибыла	prispeli
быков	bike
быков	bikov
быков	biki
сохранять	ohrani
сохранять	reši
сохранять	shrani
ударных	tolkala
лингвист	jezikoslovec
шум	hrup
сталь	jekla
сталь	jeklo
сталь	jeklena
сталь	jeklene
сталь	jekleni
сталь	jekleno
говард	howard
скот	scott
скот	živina
скот	živine
скот	živino
скот	govedo
скот	živina
скот	goveda
выделил	poudarila
выделил	poudarjeno
кусок	kos
кусок	delček
кусок	košček
кусок	kosa
органических	organsko
органических	organska
органических	organski
органических	ekološko
серп	srp
кальция	kalcij
кальция	kalcijev
кальция	kalcija
робот	robota
робот	robot
ева	eva
ева	evo
ева	eva
ева	eve
паркер	parker
бурбон	bourbon
филиппины	filipini
восстановлено	obnovljeno
восстановлено	obnovljen
восстановлено	obnovljena
заболевание	bolezen
заболевание	bolezni
заболевание	bolezen
заболевание	bolezni
ствол	sod
ствол	sodček
ствол	pištola
ствол	pištolo
шер	cher
справедливо	dokaj
справедливо	pošteno
справедливо	pravično
справедливо	sejem
тренеров	trenerjev
тренеров	trenerji
мирза	mirza
запрещены	prepovedan
запрещены	prepovedana
запрещены	prepovedani
братства	bratovščina
братства	bratstvo
разрушена	uničena
разрушена	uničeni
разрушена	uničen
разрушена	uničeno
отражения	odsevi
неясно	nejasno
неясно	nejasna
неясно	nejasen
кэти	kathy
кэти	cathy
кэти	katy
кэти	katja
кэти	katie
либертадорес	libertadores
водителя	voznika
водителя	voznik
водителя	strojevodja
водителя	šofer
лиссабон	lizbonska
лиссабон	lizboni
лиссабон	lizbonske
лиссабон	lisbon
металлургии	metalurgije
серого	gray
серого	siv
серого	siva
серого	sivo
серого	sivi
высадки	izkrcanje
осуществление	izvedba
осуществление	izvajanje
осуществление	izvrševanje
творческих	ustvarjalna
творческих	ustvarjalno
творческих	ustvarjalni
творческих	kreativno
джорджия	gruzija
джорджия	georgia
джорджия	gruziji
спектра	spektra
спектра	spekter
норт	severna
норт	severni
норт	severno
норт	sever
домохозяйства	gospodinjstva
домохозяйства	gospodinjstvo
домохозяйства	gospodinjski
нести	nositi
побег	pobeg
побег	beg
побег	pobeg
побег	beg
визита	obisk
визита	obiščite
ввод	vhodna
ввод	vnos
ввод	vložek
ввод	tipkanje
ввод	vstop
ввод	vstopi
атомов	atomov
атомов	atomi
измерений	meritev
измерений	meritve
документация	dokumentacija
документация	dokumentacijo
бордо	bordeaux
спора	spor
производительность	nastop
производительность	zmogljivost
производительность	uspešnost
производительность	uspešnosti
производительность	produktivnost
верди	verdija
заняты	zaseden
заняты	zaposlen
заняты	zasedeno
