массачусетс	massachusetts
явка	linta
модулів	modules
плита	plate
плита	plato
плита	kalan
присягу	panunumpa
ініціатива	inisyatiba
саундтрек	soundtrack
робот	robot
визначати	tukuyin
цифра	digit
обрати	pumili
сусіднього	katabi
фред	fred
зворотний	reverse
зворотний	baliktarin
зоряний	starship
вузькі	makipot
вузькі	paliitin
вузькі	makitid
професорів	professors
лоуренс	lawrence
глибокі	deepest
дощ	ulan
дощ	umuulan
дощ	ulan
дощ	umulan
навігації	nabigasyon
навігації	paglalayag
балет	ballet
розпізнавання	authentication
розпізнавання	pagpapatunay
джин	gin
джин	jean
джин	gene
ліжок	kama
оману	oman
маямі	miami
плакат	poster
виставку	exhibit
увійти	login
увійти	magpasok
увійти	ipasok
залишилось	natitira
залишилось	natitirang
плату	fee
плату	bayad
взяті	kalakip
ранок	umaga
ранок	morning
освітні	educational
аллен	allen
презентації	pagtatanghal
презентації	pagtatanghal
отруєння	poison
вайт	maputi
вайт	puti
штурму	paglabag
гвардія	guard
гвардія	bantay
овочі	gulay
овочі	gulay
неаполь	naples
абсолютний	absolute
абсолютний	lubusang
ахмед	ahmed
вимагати	claim
вимагати	paghahabol
вимагати	angkinin
пагорб	burol
горіння	kombustiyon
франциска	franziska
рейси	flight
дром	drôme
корону	korona
росс	ross
темна	madilim
темна	maitim
темна	dilim
ернест	ernest
певне	tukoy
певне	tiyak
певне	partikular
канзас	kansas
ринків	merkado
розробили	binuo
варіації	variation
артиста	feat
майбутні	paparating
подорожей	trips
леві	levi
леві	levy
консенсусу	pinagkaisahan
заповнення	padding
заповнення	filling
заповнення	pagpuno
заповнення	punan
заповнення	fill
допоможе	tinutulungan
допоможе	tumutulong
встановлювати	establishing
русла	kabastusan
дужках	parentheses
кваліфікація	qualification
лініями	lines
нікарагуа	nicaragua
митець	artista
митець	artist
алея	mall
алея	makipot
алея	alley
змінної	variable
початковій	elementary
початковій	elementarya
космонавт	astronaut
вогні	ilaw
обладнанням	hardware
напій	inumin
напій	uminom
сумніву	pagdududa
сумніву	duda
сумніву	doubt
сумніву	alinlangan
далекий	malayo
далекий	kalayo
далекий	malayong
александер	alejandro
александер	alexander
мінор	menor
мінор	minor
колегія	electoral
колегія	collegium
кілометри	kilometres
кілометри	kilometro
оплати	pagbabayad
оплати	kabayaran
оплати	bayad
джонатан	jonathan
зруйнували	sumira
зруйнували	sinira
безвісти	mia
ном	nom
товар	produkto
товар	paninda
невже	talaga
гострі	matalim
гострі	pagkagising
сплави	alloy
сплави	alloys
дозвілля	leisure
франсіско	francisco
видала	inisyu
оае	uae
конкуренції	competitive
відповідали	tumugma
проїзд	sumakay
проїзд	sakay
проїзд	daanan
хотіла	wanted
математична	matematikal
факто	facto
живим	buhay
бабуся	lola
бабуся	lola
навчальна	educational
сигізмунд	sigismund
катастрофа	sakuna
катастрофа	kalamidad
ідеологія	ideology
тренто	trento
різноманітність	variety
тонкий	manipis
тонкий	ginhawa
тонкий	payat
компетенції	hurisdiksyon
христина	christina
христина	christine
крісті	christie
крісті	christy
анти	anti
мадам	madame
бал	bal
бал	bola
ралі	rally
темп	tempo
дружині	asawa
пережив	nabuhay
пережив	survived
павел	pavel
вероніки	berenices
переїхали	inilipat
бізнесмен	businessman
бізнесмен	negosyante
верде	verde
підкорення	conquest
підкорення	conquer
підкорення	lupigin
підкорення	masakop
підкорення	isinumite
підкорення	pagsusumite
заєць	bare
цвіте	bloom
цвіте	pamumulaklak
акцент	accent
жертва	alay
жертва	biktima
туркменістану	turkmenistan
анімаційний	animated
надруковано	nakalimbag
назовні	lumabas
фехтування	fencing
фехтування	eskrima
креслення	balangkas
креслення	drawings
креслення	binabalak
креслення	pagguhit
креслення	drawing
сорт	cultivar
японці	hapon
японці	japanese
японці	hapones
заслужена	marapat
лівану	lebanon
моніторинг	pagmamanman
моніторинг	pagsubaybay
ізоляції	pagkakabukod
ангел	anghel
ангел	angel
юнайтед	united
юнайтед	nagkakaisa
успішний	matagumpay
прокурор	prosecutor
кроків	hakbang
кроків	steps
данте	dante
біблія	biblia
біблія	bibliya
біблія	bible
поттер	potter
гамільтон	hamilton
масиві	array
старіння	pagtanda
старіння	tumatanda
старіння	iipon
обговорювати	talakayin
обговорювати	usapan
подавати	magsilbi
подавати	paglingkuran
подавати	serve
подавати	maglingkod
юань	yuan
ресурсу	mapagkukunan
ресурсу	resource
рейс	reyes
рейс	flight
рейс	lipad
вимога	obligasyon
круглий	round
круглий	bilog
круглий	bilog
оснащені	husto
оснащені	sapat
знайомство	matugunan
знайомство	kilalanin
знайомство	magkita
киргизстану	kyrgyzstan
ніколя	nicolas
типова	default
дракон	dragon
звірі	hayop
просив	itinanong
просив	nagtanong
просив	tinanong
ногу	stride
ногу	hita
ногу	binti
ногу	leg
фінська	pinlandes
уважно	maingat
сек	seconds
сек	segundo
сек	sec
колін	colin
пляж	dalampasigan
пляж	beach
базова	base
заплановано	binalak
резонанс	resonance
яскраві	bright
яскраві	maliwanag
кімнат	kuwarto
кімнат	kwarto
кук	lutuin
кук	kusinero
черги	pila
черги	queue
розрахунки	pagkalkula
розрахунки	kalkulasyon
народами	tribes
канадська	canadian
ньюкасл	newcastle
домашня	domestic
піт	pete
піт	pawis
канцлер	kansilyer
даллас	dallas
антоніна	itinerary
оболонка	containment
оболонка	shell
оболонка	balat
розмовляють	magsalita
розмовляють	nagsasalita
мусить	dapat
рекламу	ads
рекламу	patalastas
кароль	karol
кароль	carole
дзвони	bells
ардеш	ardèche
телескопа	telescope
скрипка	violin
складати	taasan
бот	bot
ключа	token
тех	tech
мінімальна	pinakamababa
мінімальна	pinakamaliit
мінімальна	minimum
мінімальна	pinakamababang
мінімальна	kaunti
мінімальна	minimal
боєць	palaban
боєць	fighter
викладати	pagtuturo
есперанто	esperanto
пейдж	paige
пейдж	pahinang
пейдж	pahina
пейдж	page
юність	kabataan
джеффрі	geoffrey
джеффрі	jeffrey
втрату	kawalan
втрату	pagkawala
сонячний	maaraw
сонячний	sunny
сонячний	solar
виді	species
гонок	races
налагодження	debug
ціла	integer
ціла	buumbilang
ціла	whole
ціла	buo
ціла	buong
єрусалим	herusalem
єрусалим	jerusalem
приїхали	dumating
домогтися	ganapin
стамбулі	istanbul
залізна	bakal
залізна	iron
бернард	bernard
ногами	talampakan
ногами	paa
нормальний	normal
відмінностей	pagkakaiba
вибачте	patawad
вибачте	paumanhin
пацієнта	pasyente
атлантичний	atlantic
нестор	nestor
сера	sera
коліна	tuhod
береза	haya
судан	sudan
картер	carter
ніка	nike
грам	gram
палаццо	palazzo
лілія	lily
водоростей	damong
гасло	islogan
вантажу	payload
квартет	quartet
гуго	hugo
гуго	hugh
піраміда	pyramid
скарб	kayamanan
незначна	menor
незначна	minor
щелепи	panga
саймон	simon
григор	gregor
кенії	kenya
ваза	vasa
ваза	vase
маска	mask
маска	maskara
недолік	nalutas
кілець	hoops
лауреатів	laureates
зазначені	tinukoy
прихильник	fan
прихильник	tagahanga
морган	morgan
рівномірно	pantay
віруючих	mananampalataya
маркс	marx
відокремлення	paghihiwalay
профспілки	unyon
бельгійський	belgian
зуміли	pinamamahalaan
зуміли	pinamamahalaang
імператорський	imperial
мігель	miguel
домінік	dominic
домінік	dominique
пабло	pablo
точна	tumpak
точна	tama
точна	eksaktong
мобільного	cellphone
адамс	adams
стіну	dingding
стіну	pader
хірург	siruhano
ударних	instrumentong
безробіття	unemployment
аспектів	aspeto
демократія	demokrasya
зоряні	bituin
зоряні	star
дакота	dakota
аліса	alice
збережених	save
тримали	hinawakan
тримали	gaganapin
пруссія	prussia
ост	ost
томмі	tommy
перекладено	isinalin
інцидент	insidente
граматики	grammar
ісаак	isaac
спартак	spartacus
брайан	brian
бренд	tatak
продавати	ibenta
продавати	magbenta
продавати	nagbebenta
томпсон	thompson
комітетів	committees
дасть	willing
дасть	payag
мей	mae
мей	mei
гарсія	garcia
гарсія	garcía
мір	mir
альбрехт	albrecht
чий	kaninong
декларація	pagpapahayag
людство	sangkatauhan
людство	sangkatauhan
конституційний	konstitusyonal
аптека	botika
аптека	parmasya
аптека	pharmacy
зло	evil
зло	masama
зло	kasamaan
видатним	outstanding
множення	multiplikasyon
множення	multiply
множення	magparami
франциск	francis
сонячна	solar
заклик	apila
заклик	umapela
заклик	apela
вказаний	binigay
вказаний	given
вказаний	ibinigay
вказаний	tinukoy
блокувати	suppress
блокувати	harangin
блокувати	harang
блокувати	block
павлов	pavlov
уповноважений	entitled
виконавця	mapagkukunan
виконавця	resource
куті	kanto
куті	sulok
справедливість	katarungan
справедливість	hustisya
урал	ural
наталі	natalie
наталі	nathalie
метт	matt
контент	nilalaman
крем	cream
перрі	perry
перрі	parry
схильність	bent
профілактики	iingat
проекція	projection
розкриває	naglalabas
лівія	livia
ліквідацію	natatanggal
якісно	deliver
якісно	ihatid
якісно	iligtas
якісно	naghahatid
стріт	straight
стріт	tuwid
стріт	diretso
стріт	kalye
переведено	ginagamot
переведено	itinuring
переведено	tratuhin
тимчасові	pansamantala
суворо	mahigpit
комплект	suite
комплект	set
комплект	itakda
антуан	antoine
мирон	myron
женеві	geneva
божество	diyos
наркотиків	drugs
наркотиків	droga
наркотиків	gamot
агенти	agents
описана	documented
металургія	metalurhiya
сині	blue
сині	bughaw
сині	asul
сині	blues
досягнуто	naabot
досягнуто	nakamit
досягнуто	nakakamit
досягнуто	achieved
райт	wright
ліків	drugs
ліків	droga
ліків	gamot
ліків	gamot
папська	pontifical
папська	papal
цукор	asukal
цукор	sugar
кисень	oxygen
шарі	shari
самостійна	malayang
самостійна	independent
нацистів	nazi
зручно	maginhawa
зручно	komportable
зручно	kumportable
вознесіння	rapture
вознесіння	asensiyon
купер	cooper
сировина	precursor
автоматів	machine
обговорити	talakayin
обговорити	usapan
плям	spot
сік	katas
сік	juice
почалось	nagsimula
почалось	inumpisahan
почалось	sinimulan
почалось	sinimulan
бухта	harbor
бухта	daungan
бухта	sapa
бухта	cove
заблокувати	pagbawalan
заблокувати	lock
заблокувати	harangin
заблокувати	harang
заблокувати	block
легкого	magaan
бутану	bhutan
саха	saha
дональд	donald
тереза	therese
тереза	teresa
тереза	theresa
добрив	fertilizer
добрив	pataba
емі	amy
самогубство	magpakamatay
самогубство	pagpapakamatay
отримає	pose
максиміліан	maximiliano
розвиває	develops
союзниками	cousins
кантон	pancit
експрес	ipahayag
експрес	express
парад	parada
парад	parade
остаточний	pinal
остаточний	pangwakas
остаточний	final
остаточний	panghuling
остаточний	nagtatapos
остаточний	ending
скеля	bato
скеля	rock
продовжуючи	pagpapatuloy
результативність	bisa
небезпечні	mapanganib
аризона	arizona
муніципальна	munisipyo
готовності	pagpapatakbo
банківської	pagbabangko
вільнюс	vilna
емоції	emosyon
емоції	emotions
складну	nagpapatuloy
складну	patuloy
складну	nagaganap
складну	kasalukuyang
напруження	glow
ларрі	larry
лаз	laz
розгортається	expands
лінійний	guhit
лінійний	diretso
дикий	wild
дикий	ligaw
консульство	konsulado
ірландський	intsik
ірландський	irish
ірландський	irlandes
ринки	merkado
оксид	oxide
інструктор	instructor
вечірній	evening
вечірній	gabi
аграрний	agrikultura
капела	capella
капела	cappella
рису	palay
рису	rice
рису	kanin
рису	bigas
шанувальників	admirers
шанувальників	fan
шанувальників	tagahanga
ліван	lebanon
критичні	kritikal
посиланнями	links
ускладнення	komplikasyon
болото	fen
болото	marsh
болото	lumubog
рівнина	payak
рівнина	kapatagan
генератор	tagabuo
генератор	generator
осередком	mababangis
вертикально	patayo
вертикально	patayo
боксер	boxer
позбавлені	tinanggalan
молочно	rosy
постійну	nagpapatuloy
постійну	patuloy
постійну	nagaganap
постійну	kasalukuyang
скоріш	halip
кімнату	silid
кімнату	kuwarto
кімнату	kwarto
відвідали	pinuntahan
відвідали	bumisita
відвідали	binisita
відвідали	pumasok
відвідали	pinapasukan
відвідали	dumalo
абетка	palabaybayan
абетка	alpabeto
племінник	pamangkin
полегшення	hinalinhan
лукас	lucas
лукас	lukas
печатка	seal
роза	rose
роза	rosa
сплати	pagbabayad
сплати	pagbabayad
сплати	kabayaran
сплати	bayad
домен	domain
запропонувати	imungkahi
запропонувати	suggest
запропонувати	iminumungkahi
запропонувати	magmungkahi
запропонувати	imungkahi
ліки	medisina
ліки	gamot
чинного	valid
чинного	bisang
реальний	real
експертизи	pagsusulit
санкції	sanksiyon
шифрування	kriptograpiya
республіканська	republican
суверенітет	soberanya
марку	stamp
умова	kalagayan
умова	kondisyon
умова	kundisyon
торговельних	trademark
подорожував	dumayo
подорожував	bumiyahe
теодора	teodora
теодора	theodora
чувашія	chuvashia
вибраний	pinili
вибраний	napili
вибраний	pinili
вибраний	piling
литовська	lithuanian
атоми	atoms
революційний	revolutionary
вацлав	václav
зустрілися	humarap
зустрілися	nagkita
зустрілися	met
зустрілися	nakilala
океанії	oceania
додані	naidagdag
додані	idinagdag
ходив	nagpunta
ходив	gumala
полоні	captive
винайшов	imbento
андрей	andrei
британці	british
глибока	malalim
глибока	deep
леоне	leone
луїджі	luigi
судження	pinagkaiba
судження	panukala
судження	pahayag
чергування	standby
апостольська	apostolic
нерва	nerva
франклін	franklin
покрита	sakop
милосердя	awa
приєднується	sumali
приєднується	nakasali
приєднується	sasali
уламки	gumuhong
рішуче	tinutukoy
кентуккі	kentucky
мелодії	tune
корінні	katutubo
корінні	indigenous
технік	technician
пас	paz
квантова	kabuuan
андреас	andreas
лана	lana
джефф	jeff
відправлено	transmitter
сесія	sesyon
сесія	session
вінчі	vinci
пострілу	firing
доказ	katibayan
доказ	patunay
продовжила	ipinagpatuloy
продовжила	nagpatuloy
рідні	kin
сценарії	script
вікінгів	programang
град	grad
град	bati
град	hail
сину	anak
сину	son
голі	hubad
голі	gol
обладнаний	bang
яном	ian
люсі	lucy
термінал	terminal
хорхе	jorge
документація	dokumentasyon
заходить	sets
крит	creta
кишки	guts
масло	butter
масло	mantikilya
гриб	kabute
авіаційна	eroplano
норт	north
норт	hilagang
норт	hilaga
приморський	primorsky
квадрат	parisukat
думкою	wink
думкою	kindat
кеш	cache
костюм	kasuutan
костюм	costume
костюм	suit
старожитностей	antiquities
дженніфер	jennifer
лопес	lópez
лопес	lopez
юта	utah
щільності	density
лісабон	lisboa
плавлення	melting
плавлення	natutunaw
плавлення	matunaw
графічні	graphical
графічні	maliwanag
графічні	graphic
графічні	graphics
перехрестя	krus
перехрестя	crossroads
земноводні	amphibian
руські	russians
огляди	review
аматорський	baguhan
торгова	trading
змінена	customized
нуль	sero
нуль	zero
поводження	paghawak
реалізується	naglalayong
міхал	michal
коротке	maiksi
коротке	maikli
коротке	short
коротке	pandak
коротке	maikling
тури	paglalakbay
вей	wei
зауважити	mapapansin
зауважити	noted
зауважити	kilala
кращі	better
ллойд	lloyd
ялта	yalta
виготовлена	manufactured
виготовлена	panindang
процедур	pagpapagamot
гур	hur
верді	verdi
вар	var
жозе	jose
жозе	josé
філіпп	philippe
філіпп	philipp
мрії	dreams
мрії	pangarap
обробку	pinoproseso
обробку	pagpoproseso
обробку	processing
обробку	pagproseso
обличчям	mukha
обстріл	shelled
харчові	dietary
мітинг	rally
точні	natatanging
точні	tumpak
точні	tama
точні	eksaktong
вірша	tula
вірша	tulang
зміщення	offset
масивів	arrays
скоротити	bawasan
скоротити	trim
скоротити	pinaikling
скоротити	paikliin
дзюдо	judo
сонячні	solar
рай	heaven
рай	kalangitan
рай	langit
рай	paraiso
рай	paradise
таїланд	thailand
таїланд	philippines
