majoritaire	majority
pommes	apples
pommes	apple
vannes	gates
vannes	vannes
vannes	valves
haine	haine
haine	hatred
haine	hate
motte	motte
poussée	thrust
giorgio	giorgio
picard	picard
nommer	naming
nommer	name
lettonie	latvia
lettonie	latvian
alerte	alarm
alerte	warning
alerte	alert
fermes	farm
fermes	farms
échappe	escapes
tunisienne	tunisia
tunisienne	tunisian
copies	copies
restaurer	restore
restaurer	restoring
annecy	annecy
edwards	edwards
raid	raid
distances	distances
distances	distance
gardiens	guards
gardiens	guardians
gardiens	keepers
piscine	pool
donnés	given
donnés	donated
minorité	minority
ronald	ronald
charité	charitable
charité	charity
exceptionnelle	exceptional
allée	aisle
allée	alley
sienne	sienna
sienne	siena
emily	emily
explications	explanation
explications	explanations
abel	abel
extérieures	exterior
cave	cellar
cave	cave
cave	winery
cave	basement
dessiné	drawn
acquérir	acquire
acquérir	acquiring
séparé	separated
séparé	separate
graphe	graph
enregistrée	recorded
enregistrée	registered
enregistrée	saved
archéologue	archaeologist
passés	past
recommandations	recommendation
recommandations	recommendations
plainte	complaints
plainte	complaint
hippolyte	hippolyte
activement	actively
doubles	double
doubles	doubles
égyptienne	egyptian
idéologie	ideology
idéologie	ideological
cage	cage
préserver	preserve
préserver	preserving
tronçon	stretch
banc	bench
souverains	rulers
souverains	sovereign
souverains	sovereigns
copyright	copyright
gaule	gaule
gaule	gaul
martine	martine
martine	martina
martine	martin
indochine	indochina
indochine	indochine
ménages	households
ménages	household
captain	captain
buffalo	buffalo
italiennes	italian
juriste	jurist
juriste	lawyer
enlever	remove
démographie	demographics
démographie	demography
sonate	sonata
asiatique	asiatic
asiatique	asia
asiatique	asian
regarde	watch
regarde	look
suffixe	suffix
corde	rope
corde	chord
geoffroy	geoffroy
oklahoma	oklahoma
documentaires	documentary
documentaires	documentaries
sep	sep
pâte	dough
pâte	paste
pâte	pulp
xviii	xviii
organisateur	organizer
organisateur	organiser
papa	dad
papa	daddy
papa	papa
rames	oars
florent	florent
archidiocèse	archdiocese
imagine	imagine
ordinateurs	computers
ordinateurs	computer
tables	tables
bassiste	bassist
bassiste	bass
jessica	jessica
gang	gang
désignant	designating
martial	martial
bouton	button
toucher	touch
toucher	touching
now	now
aoste	aosta
combattant	combatant
combattant	fighter
tropicale	tropical
fossiles	fossils
fossiles	fossil
citadelle	citadel
plastique	plastics
plastique	plastic
exister	exist
décider	deciding
décider	decide
menaces	threats
menaces	threat
ventre	tummy
ventre	ventre
ventre	belly
ventre	stomach
forestier	forestry
forestier	forest
forestier	forestier
carrières	carrières
carrières	careers
identiques	identical
mécaniques	mechanics
mécaniques	mechanical
vicaire	vicar
plages	beach
plages	beaches
barrages	dams
barrages	roadblocks
mayence	mainz
réguliers	regulars
intérim	interim
intérim	temp
entraîné	trained
brasserie	brasserie
brasserie	brewery
prestige	prestige
châtillon	châtillon
missionnaire	missionary
rico	rico
vendue	sold
favorables	favourable
favorables	favorable
protestant	protestant
spirituel	spiritual
priorité	priority
constitutionnelle	constitutional
rivalité	feud
rivalité	rivalry
valentin	valentin
valentin	valentine
plaisance	plaisance
problématique	problematic
problématique	problem
précédé	preceded
danseuse	dancer
conforme	conforming
conforme	compliant
earth	earth
violent	violent
démon	daemon
démon	devil
démon	demon
constructeurs	builders
constructeurs	manufacturers
arcades	arcades
arcades	arcade
madonna	madonna
sourire	smile
sourire	smiling
sourire	smiles
carrés	squares
carrés	square
sommeil	sleepy
sommeil	sleep
sommeil	sleeping
digne	dignified
digne	worthy
saoudite	arabia
contenus	content
contenus	contents
perdus	lost
chirurgien	surgeon
défi	challenge
rite	rite
consulat	consulate
consulat	consulates
schmidt	schmidt
indigènes	indigenous
indigènes	native
indigènes	natives
cinéaste	filmmaker
magnifique	beautiful
magnifique	magnificent
magnifique	stunning
magnifique	gorgeous
classic	classic
chances	chances
chances	odds
hôpitaux	hospital
hôpitaux	hospitals
divinité	deity
divinité	divinity
ukrainien	ukrainian
amanda	amanda
afro	afro
tigers	tigers
démontrer	demonstrate
démontrer	demonstrating
intellectuels	intellectuals
intellectuels	intellectual
périodique	periodic
périodique	periodical
entente	entente
entente	cartel
stevens	stevens
trilogie	trilogy
précieux	precious
précieux	valuable
indication	indication
installent	install
danube	danube
centenaire	centenary
centenaire	centennial
donjon	dungeon
donjon	dungeons
croissant	growing
croissant	croissant
croissant	crescent
croissant	ascending
jul	jul
animée	animated
amant	lover
caps	capes
caps	caps
légal	legal
incapable	unable
incapable	incapable
prévenir	warn
prévenir	prevent
batman	batman
tibétain	tibetan
carmen	carmen
jungle	jungle
assomption	assomption
assomption	assumption
condamnation	sentencing
condamnation	condemnation
condamnation	convictions
condamnation	conviction
légitime	legitimate
légitime	legit
let	let
biodiversité	biodiversity
lys	lilies
lys	lily
lys	lys
rail	rail
disparus	disappeared
cou	neck
cou	necks
accidents	accidents
accidents	crashes
blois	blois
kazakhstan	kazakhstan
spectre	specter
spectre	spectra
spectre	spectrum
spectre	spectre
ajoutant	adding
transcription	transcription
transcription	transcript
nouvellement	newly
violoniste	violinist
violoniste	fiddler
achille	achille
achille	achilles
édit	edict
tag	tag
profiter	enjoy
profiter	enjoying
publicitaire	advertising
sandra	sandra
grosses	grosses
hésite	hesitate
datée	dated
élémentaire	elemental
élémentaire	basic
élémentaire	elementary
recrutement	recruitment
recrutement	recruiting
rohan	rohan
procédures	proceedings
procédures	procedures
présidé	chaired
présidé	presided
terminal	terminal
explorer	exploring
explorer	explore
explorer	explorer
partition	partition
partition	score
couples	couples
télévisé	televised
considérant	considering
considérant	recital
ana	ana
reconnus	recognised
reconnus	acknowledged
reconnus	recognized
amérindiens	amerindian
plastiques	plastics
plastiques	plastic
violation	violation
violation	breach
violation	violations
violation	infringement
conservateurs	preservatives
conservateurs	conservatives
conservateurs	curators
conservateurs	conservative
rappel	recall
rappel	reminder
incarne	embodies
plats	flat
plats	dishes
neuchâtel	neuchâtel
cameron	cameron
miracle	miracle
amédée	amédée
gène	gene
formés	formed
formés	trained
cfa	cfa
deutsche	deutsche
anarchiste	anarchists
anarchiste	anarchist
indo	indo
graphiques	graphs
graphiques	graphic
graphiques	charts
graphiques	graphics
monétaire	monetary
charlemagne	charlemagne
monique	monique
parallèles	parallel
parallèles	parallels
créature	creature
accusations	accusation
accusations	accusations
apporté	brought
négatif	negative
juger	judge
juger	judging
résidents	resident
résidents	residents
provoqué	provoked
provoqué	induced
opérateurs	operators
toiles	canvases
toiles	canvas
toiles	fabrics
toiles	paintings
martínez	martinez
martínez	martínez
albanie	albania
thé	tea
assister	attend
unit	unit
enregistrés	recorded
enregistrés	registered
enregistrés	saved
connexion	login
connexion	connecting
connexion	connection
connexion	connect
briques	bricks
briques	brick
opinions	opinions
distribué	distributed
tranche	slice
tranche	tranche
brothers	brothers
bonnet	bonnet
sul	sul
partisan	partisan
partisan	supporter
dumas	dumas
revoir	revoir
coque	hull
cloud	cloud
boutique	shop
boutique	boutique
boutique	store
knight	knight
accuse	accuses
accuse	accuse
colloque	symposium
colloque	colloquium
suspendu	suspension
suspendu	suspended
felix	felix
under	under
conjointement	jointly
diffuse	diffused
diffuse	diffuse
mare	mare
exigences	requirements
exigences	demands
homonyme	namesake
castro	castro
inventé	invented
sidney	sidney
ténor	tenor
aveugle	blind
ferry	ferry
espionnage	spying
espionnage	spy
espionnage	espionage
vies	lives
segment	segment
roulant	rolling
tabac	smoking
tabac	tobacco
scalemajor	scalemajor
palace	palace
libérale	liberal
timeaxis	timeaxis
étendre	extend
étendre	expand
étendre	extending
tutelle	trusteeship
tutelle	tutelage
tutelle	guardianship
side	sidecar
monarque	monarch
réunions	meetings
nbc	nbc
butler	butler
tissus	fabrics
tissus	fabric
suffisante	sufficient
spencer	spencer
dépasser	overtaking
connecticut	connecticut
afficher	show
afficher	display
afficher	view
dominante	dominant
dominante	dominance
entités	entities
sélectionnés	selected
pensez	think
hercule	hercules
hercule	hercule
forcé	forced
forcé	forcible
zur	zur
solde	balance
récolte	harvest
récolte	crop
récolte	harvesting
gustav	gustav
attaqué	attacked
oregon	oregon
