kansas	kansas
lawrence	lawrence
shumëllojshmëri	vielfalt
shumëllojshmëri	sorte
shumëllojshmëri	vielzahl
shumëllojshmëri	abwechslung
shumëllojshmëri	sorten
stupa	stupa
dakota	dakota
arabët	arabern
arabët	araber
fürstenberg	fürstenberg
unmik	unmik
buenos	buenos
universiteteve	hochschule
universiteteve	hochschulen
universiteteve	universitäten
kolonat	spalten
kolonat	säulen
kolonat	spalte
kolonat	stützen
banon	wohnt
mbështetës	unterstützer
mbështetës	anhänger
mbështetës	befürworter
mbështetës	unterstützend
mbështetës	unterstützen
mbështetës	unterstützende
mbështetës	unterstützer
bashkëshortja	ehegatten
bashkëshortja	ehegatte
bashkëshortja	ehepartner
bashkëshortja	ehefrau
bashkëshortja	ehefrau
bashkëshortja	frau
bashkëshortja	gemahlin
bashkëshortja	weib
denjë	würdige
denjë	würdig
mandapa	mandapa
jehona	echo
shkatërrimi	abriss
shkatërrimi	abbruch
shkatërrimi	zerstörung
shkatërrimi	verwüstung
shkatërrimi	vernichten
shkatërrimi	zerstören
shkatërrimi	vernichtung
serioz	ernst
serioz	ernsthafte
serioz	schwerwiegend
serioz	ernsthaft
serioz	ernste
email	email
email	emailadresse
sigurta	messegelände
gjithmone	stets
gjithmone	always
gjithmone	immer
kentucky	kentucky
kontrata	verträge
kontrata	aufträge
kontrata	arbeitsvertrag
kontrata	vertrag
njëherësh	zeitgleich
njëherësh	gleichzeitig
njëherësh	simultan
njëherësh	zugleich
asllani	aslan
haxhiu	hadji
tower	fernsehturm
tower	türme
tower	turm
tower	tower
tower	hochhaus
përkushtim	widmung
përkushtim	hingabe
përkushtim	engagement
përkushtim	einweihung
përkushtim	hingabe
përkushtim	verehrung
përkushtim	frömmigkeit
përkushtim	ergebenheit
shkencëtar	informatiker
shkencëtar	wissenschaftler
shkencëtar	wissenschaftlerin
brënda	innen
brënda	innenseite
brënda	drinnen
brënda	innerhalb
liqene	seen
kimisë	chemie
dukesha	herzogin
plane	pläne
plane	planungen
plane	plänen
cilësore	qualitätssicherung
cilësore	qualität
cilësore	qualitätskontrolle
pfalz	pfalz
kariera	laufbahn
kariera	karriere
kariera	werdegang
kariera	laufbahn
kariera	karriere
kariera	laufbahnen
atom	atome
atom	atom
arrestohet	inhaftiert
arrestohet	festnahme
arrestohet	verhaftet
arrestohet	festgenommen
arrestohet	festnehmen
kronike	chronischen
kronike	chronisch
kronike	chronischer
kronike	chronische
billy	billy
ushqyer	feed
ushqyer	füttern
ushqyer	futter
ushqyer	futtermittel
ushqyer	gefüttert
ushqyer	fed
ushqyer	ernährt
ushqyer	gespeist
ushqyer	genährt
ushqyer	füttern
ushqyer	fütterung
shkolluar	aufgeklärt
shkolluar	erleuchtet
shkolluar	aufgeklärten
shkolluar	erzogen
shkolluar	gebildet
shkolluar	ausgebildet
tottenham	tottenham
delegatët	delegierte
delegatët	delegierten
prodhuara	hergestellt
prodhuara	hergestellte
prodhuara	gefertigt
hartë	anfahrt
hartë	karte
hartë	stadtplan
hartë	lageplan
hartë	landkarte
shtypje	repression
shtypje	repressalien
shtypje	repressionen
shtypje	verdrängung
shtypje	unterdrückung
shtypje	druck
shtypje	luftdruck
shtypje	überdruck
euphorbia	euphorbia
virusi	virus
virusi	viren
olimpik	olympia
olimpik	olympic
olimpik	olympische
olimpik	olympischen
kolegji	kollegium
kolegji	hochschule
kolegji	college
shkallët	treppenhaus
shkallët	treppe
shkallët	leitern
shkallët	treppenhaus
shkallët	treppen
shkallët	treppe
shkallët	stufen
unaza	ring
unaza	läuten
unaza	klingeln
unaza	klingel
unaza	rings
unaza	ringe
unaza	ringen
unaza	klingeln
aleksandrisë	ägypten
aleksandrisë	alexandria
thata	dry
thata	trocknen
thata	trockenes
thata	trocken
thata	trockene
thata	trocken
thata	getrocknet
thata	getrockneten
specifik	spezifisch
specifik	spezielle
specifik	spezifischen
specifik	spezifische
instaluar	eingebaut
instaluar	installierte
instaluar	installiert
instaluar	installierten
risi	innovativ
risi	innovativen
risi	innovatives
risi	innovativer
risi	innovative
risi	neuheit
risi	neuerung
risi	innovationen
risi	innovation
gjumi	eingeschlafen
gjumi	geschlafen
gjumi	schlafen
gjumi	schläft
gjumi	schlaf
gjumi	nachtruhe
gjumi	schläft
gjumi	schlafen
gjumi	schlafe
muzike	musik
referencat	verweise
referencat	referenzen
sigurimi	sicherheits
sigurimi	sicherheitspolitik
sigurimi	sicherheit
sigurimi	versicherung
sigurimi	versicherungswesen
sigurimi	versicherungen
laura	laura
tibet	tibet
nena	nena
nena	muttertag
nena	mutter
ekuatoriale	äquatorial
ekuatoriale	äquatorialguinea
strukture	strukturen
strukture	aufbau
strukture	gliederung
strukture	struktur
gama	gamma
parimin	grundsatz
parimin	prinzip
parametrat	kennwerte
parametrat	parametern
parametrat	parameter
parametrat	einstellungen
philipp	philipp
drogës	droge
drogës	medikament
drogës	drogen
gjetjet	befund
gjetjet	feststellungen
gjetjet	ergebnisse
gjetjet	erkenntnisse
meriton	verdient
meriton	verdiene
meriton	verdient
meriton	verdienst
meriton	verdienen
adams	adams
përjetshme	ewig
përjetshme	ewigen
përjetshme	ewige
përjetshme	ewiges
përjetshme	ewiger
fjalim	vortrag
fjalim	ansprache
fjalim	rede
fjalim	sprache
diskutime	gespräche
diskutime	diskussion
diskutime	diskussionen
diskutime	diskussion
diskutime	diskussionen
vazhdimësi	kontinuität
vazhdimësi	fortbestand
arkivi	archive
arkivi	archivierung
arkivi	archiv
arkivi	archivieren
hipoteza	hypothese
hipoteza	hypothesen
hipoteza	annahme
karnataka	karnataka
kontinentit	kontinent
humbet	verlieren
humbet	verliert
aviacionit	flugverkehr
aviacionit	luftfahrtindustrie
aviacionit	luftverkehr
aviacionit	luftfahrt
grant	gewähren
grant	zuschuss
grant	grant
dhurata	geschenke
dhurata	schenkungen
dhurata	geschenk
dhurata	schenken
dhurata	geschenke
dhurata	präsentiert
dhurata	geschenken
dhurata	verschenken
dhurata	geschenk
dhurata	schenkung
dhurata	geschenke
dhurata	schenken
ian	lan
ian	ian
shërbejë	aufschlag
shërbejë	servieren
shërbejë	dienen
saktësi	genauigkeit
saktësi	präzises
saktësi	präzise
saktësi	präzision
saktësi	genauigkeit
saktësi	richtigkeit
saktësi	korrektheit
saktësi	präzision
artiste	maler
artiste	künstlerinnen
artiste	künstler
artiste	künstlerin
armenia	armenien
armenia	armenier
vishnu	vishnu
nikaragua	mittelamerika
nikaragua	nicaragua
komplet	vollständig
komplet	komplett
komplet	vollkommen
komplet	völlig
komplet	komplette
komplet	vollständig
komplet	komplett
komplet	abgeschlossen
komplet	vollständige
kontributet	beiträge
jerusalem	jerusalem
dortmund	dortmund
ticino	tessin
lampard	lampard
pakistani	pakistan
neni	artikel
kryqi	überqueren
kryqi	kreuz
kryqi	cross
alpine	alpin
alpine	alpinen
alpine	alpine
politikisht	politisch
maksimal	maximale
maksimal	maximal
maksimal	maximum
maksimal	höchstwert
maksimal	höchstbetrag
nana	nana
kanale	kanäle
kanale	kanälen
kanale	kanäle
kanale	kanälen
moldavia	moldau
moldavia	moldawien
platforma	bahnsteig
platforma	bahnsteige
platforma	plattform
platforma	bühnen
platforma	bahnsteige
platforma	plattformen
platforma	plattform
platforma	gleise
provat	proben
provat	beweismittel
provat	hinweise
provat	nachweise
provat	nachweis
provat	beweise
pengesë	absperrung
pengesë	hürde
pengesë	sperre
pengesë	barriere
pengesë	hindernis
pengesë	hürde
pengesë	hindernisse
pengesë	hindernis
pengesë	hürde
çift	paar
çift	paarweise
çift	paaren
çift	paare
çift	pair
çift	paar
çift	ehepaar
çift	pärchen
piramida	pyramide
piramida	pyramiden
sipërfaqësore	oberflächlich
sipërfaqësore	oberflächliche
hebraike	jüdische
hebraike	jüdischen
hebraike	jüdisch
hebraike	juden
hebraike	jüdischer
hebraike	hebräische
hebraike	hebräisch
meurthe	meurthe
cituar	angeführt
cituar	zitierte
cituar	zitiert
cituar	zitierte
cituar	notiert
cituar	zitiert
tanimë	schon
tanimë	bereits
vega	vega
bosnjë	bosnien
sallë	lounge
sallë	wohnzimmer
sallë	wohnbereich
sallë	stube
sallë	aufenthaltsraum
sallë	halle
sallë	eingangshalle
sallë	flur
sallë	hall
sallë	saal
cilësia	qualitätssicherung
cilësia	qualität
cilësia	qualitätskontrolle
len	len
mehdi	mehdi
tragjike	tragischer
tragjike	tragische
tragjike	tragischen
tragjike	tragisch
erik	erik
erik	éric
erik	eric
erik	erich
erik	erik
sezonet	jahreszeiten
sezonet	staffeln
sezonet	jahreszeit
sezonet	spielzeiten
matematika	mathematik
matematika	mathematisch
matematika	mathematik
matematika	rechnen
matematika	mathematische
matematika	mathe
race	züchtung
race	rasse
race	züchten
race	wettrennen
race	rasse
race	rennen
race	race
gjykimi	urteilsvermögen
gjykimi	urteil
gjykimi	beurteilung
gjykimi	urteil
gjykimi	entscheidung
hapësinor	räumlich
hapësinor	räumlichen
hapësinor	räumliche
hapësinor	räumlicher
pasqyron	widerspiegelt
pasqyron	reflektiert
pasqyron	spiegelt
hitlerit	hitlers
hitlerit	hitler
flota	fuhrpark
flota	flotte
flota	flotten
demografia	bevölkerung
demografia	demographie
demografia	einwohnerzahl
demografia	demografische
demografia	demografie
kupë	kelch
kupë	pokal
kupë	becher
kupë	kelch
kupë	tasse
kupë	cup
sony	sony
piu	trank
piu	tranken
piu	getrunken
piu	pius
udha	strasse
udha	straßenverkehr
udha	straße
malësi	highland
malësi	hochland
ronald	ronald
ronald	steffen
luhet	spielte
luhet	gespielt
luhet	abgespielt
shtimin	zugabe
shtimin	addition
shtimin	zusatz
inteligjencës	intelligenz
inteligjencës	geheimdienst
inteligjencës	nachrichtendienst
huazuar	ausgeliehen
huazuar	geliehen
huazuar	ausgeliehen
huazuar	geliehen
huazuar	verliehen
çeliku	stahlindustrie
çeliku	stahl
afrikane	afrikanischen
afrikane	afrikanische
afrikane	afrikaner
pafund	unbegrenzt
pafund	endlos
pafund	unendliche
pafund	unendlich
pafund	unendlichen
pafund	endlos
pafund	unendlich
pafund	endlosen
pafund	endlose
njerzit	leute
njerzit	menschen
njerzit	personen
norman	norman
çlirim	befreiung
çlirim	emanzipation
çlirim	freilassung
çlirim	tilgung
çlirim	rücknahme
çlirim	rückzahlung
çlirim	erlösung
çlirim	wiedergutmachung
çlirim	befreien
bordi	verwaltungsrat
bordi	vorstand
bordi	board
bordi	verpflegung
bordi	aufsichtsrat
tostring	tostring
albanese	albanese
dikujt	irgendjemand
dikujt	jemand
dikujt	jemanden
dikujt	jmd
dikujt	jemandem
lajm	aktuell
lajm	neuheiten
lajm	neuigkeiten
lajm	nachrichten
lajm	aktuelles
shkronjat	schriftart
shkronjat	schriften
shkronjat	schrift
shkronjat	schriftarten
shkronjat	buchstaben
shkronjat	briefe
tërhiqet	ruhestand
tërhiqet	zurücknehmen
tërhiqet	widerrufen
tërhiqet	abziehen
tërhiqet	rückzug
tërhiqet	zurückziehen
valley	tal
valley	valley
kampione	meister
kampione	sieger
kampione	weltmeister
kampione	champion
përmbushur	erfüllte
përmbushur	erfüllt
përmbushur	erfüllen
zhvillime	neuentwicklungen
zhvillime	entwicklungen
përpjekja	aufwand
përpjekja	anstrengungen
përpjekja	bemühungen
përpjekja	anstrengung
ille	ille
shfrytëzimi	ausbeutung
shfrytëzimi	ausnutzung
shfrytëzimi	nutzung
shfrytëzimi	verwertung
mysafir	gästezimmer
mysafir	gäste
mysafir	gast
javier	javier
lionel	lionel
heq	aufzügen
heq	seilbahnen
heq	aufzug
heq	bergbahnen
heq	aufzüge
heq	entfernt
pérez	perez
pérez	pérez
thot	sagt
sebastian	sebastian
sen	sen
moto	devise
moto	motto
moto	moto
lene	linke
lene	linker
lene	links
lene	linken
raymond	raimund
raymond	raymond
raymond	volker
qepë	zwiebeln
qepë	zwiebel
qepë	zwiebeln
qepë	zwiebel
leonard	leonhard
leonard	leonard
hiqet	aufgehoben
hiqet	gehoben
hiqet	hoben
hiqet	hob
hiqet	entfernt
hiqet	entfernte
italo	italo
vallès	vallès
ban	sperren
ban	ban
ban	bann
ban	verbot
pasqyra	rückspiegel
pasqyra	spiegeln
pasqyra	spiegel
pasqyra	spiegelbild
pasqyra	rückspiegel
pasqyra	spiegeln
pasqyra	spiegel
pasqyra	mirror
tetori	oktober
tetori	october
investimet	kapitalanlagen
investimet	investition
investimet	investitionen
gazetare	journalisten
gazetare	journalist
gazetare	journalistin
gazetare	reporterin
gazetare	journalist
gazetare	journalistin
gazetare	reporter
dramatik	dramatische
dramatik	dramatischer
dramatik	dramatisch
dramatik	dramatischen
alfredo	alfredo
romeo	romeos
romeo	romeo
hektarë	hektar
hektarë	acre
hektarë	hektar
hektarë	hektar
sind	sindh
ftp	ftp
shpallën	proklamiert
shpallën	verkündet
shpallën	erklärte
shpallën	verkündete
shpallën	ausgerufen
ohër	ohrid
ndihme	helfen
ndihme	hilfe
ndihme	hilfen
ndihme	help
instrumentet	messgeräte
instrumentet	instrumente
malazez	montenegrinischen
skype	skype
tahiri	tahir
zvogëluar	reduziert
zvogëluar	verringerte
zvogëluar	vermindert
zvogëluar	verminderte
zvogëluar	reduziert
zvogëluar	reduzierten
zvogëluar	verringert
zvogëluar	reduzierte
zvogëluar	abnehmen
zvogëluar	rückläufig
campo	campo
montana	montana
autonominë	autonomie
autonominë	selbständigkeit
autonominë	selbstständigkeit
informacionet	information
informacionet	informationen
informacionet	auskunft
kuvajti	kuwait
akuzat	gebühren
akuzat	anklage
akuzat	abgaben
akuzat	anschuldigungen
akuzat	vorwürfe
akuzat	anklagen
akuzat	beschuldigungen
folës	referenten
folës	lautsprecher
folës	sprecher
folës	redner
folës	rednerin
uashington	washington
corporation	corporation
corporation	körperschaft
corporation	konzern
kori	chor
kori	refrain
kori	chor
kori	chöre
krijimet	kreationen
krijimet	kreation
krijimet	gründungen
rrotull	um
rrotull	rund
rrotull	herum
bay	bucht
bay	bay
shō	shō
barcelonë	barcelona
theodor	theodor
gjuhësor	sprachkenntnisse
gjuhësor	sprachlichen
gjuhësor	sprachlich
viktimat	opfern
viktimat	opfer
viktimat	unfallopfer
krishtlindjeve	sammlerstücke
jave	wochen
jave	woche
jave	wochentag
godet	hits
godet	aufrufe
godet	treffer
godet	zugriffe
madhështor	hervorragende
madhështor	ausgezeichnete
madhështor	hervorragend
maritimes	maritimes
fqinjët	nachbarschaft
fqinjët	nachbarn
fqinjët	nachbar
fqinjët	nachbarschaft
fqinjët	nachbarländer
fqinjët	nachbarn
fqinjët	nachbar
fqinjët	nachbarstaaten
vilaine	vilaine
taksa	ehrungen
taksa	tribute
taksa	steuer
taksa	steuern
taksa	steuersatz
taksa	steuer
taksa	steuern
taksa	abgaben
humane	humane
humane	menschlich
humane	human
fortifikuar	befestigten
fortifikuar	befestigt
fortifikuar	befestigte
patriotik	patriot
patriotik	patriotische
tërësinë	gesamtheit
izrael	israel
përbrenda	eingehende
përbrenda	rückflug
traktat	vertrags
traktat	vertrag
intensiteti	lichtstärke
intensiteti	intensität
kelly	kelly
zgjerohet	erweitern
zgjerohet	vergrößern
zgjerohet	expandieren
mao	mao
canada	kanada
mendoni	denk
mendoni	denken
mendoni	denke
dallimet	differenzen
dallimet	unterschiede
bend	band
koke	kopfschmerzen
koke	migräne
objektiv	ziel
objektiv	objektiv
objektiv	zielsetzung
objektiv	zielgruppe
objektiv	zielgerichtet
objektiv	gezielte
objektiv	gezielt
monetare	geldpolitik
monetare	monetären
monetare	währungsunion
monetare	währungspolitik
liber	buch
liber	buchen
liber	reservieren
parat	money
parat	geld
zëra	stimmig
zëra	stimmen
zëra	spekulieren
zëra	spekulationen
zëra	spekulation
trembëdhjetë	dreizehn
trembëdhjetë	thirteen
teqe	tekke
giorgio	giorgio
enët	gerichte
enët	geschirr
abdurrahman	abdurrahman
çojë	vorsprung
çojë	führen
çojë	blei
ron	ron
ruajtja	ersparnis
ruajtja	speichern
ruajtja	sparen
ruajtja	retten
ruajtja	einsparung
ruajtja	erhaltung
ruajtja	bewahrung
ruajtja	aufbewahrung
ruajtja	konservierung
oriental	oriental
oriental	orientalischen
oriental	orientalische
konsideratë	erwägung
konsideratë	überlegung
konsideratë	berücksichtigung
x}}	x}}
adhurimi	bewunderung
adhurimi	anbetung
adhurimi	verehrung
shpie	leads
shpie	führt
ndjerë	fühlten
ndjerë	filz
ndjerë	fühlte
ndjerë	gefühlt
nazist	nsdap
nazist	nazi
nazist	nationalsozialismus
nazist	nazis
superkupa	supercup
slloveni	slowenien
huajt	ausländern
huajt	ausländer
fajtor	schuldigen
fajtor	schuldig
fajtor	übeltäter
matet	gemessene
matet	gemessen
makine	mietwagen
makine	auto
makine	wagen
makine	pkw
makine	autovermietung
rrymat	strömungen
rrymat	strömen
rrymat	strömung
rrymat	ströme
oborri	hof
oborri	innenhof
oborri	hinterhof
oborri	hof
oborri	werft
oborri	yard
përkufizimi	definition
përkufizimi	begriffsbestimmungen
përkufizimi	begriffsbestimmung
përkufizimi	definitionen
mesazhe	botschaften
mesazhe	mitteilungen
mesazhe	meldungen
mesazhe	nachrichten
sistematike	systemischer
sistematike	systemische
sistematike	systemischen
sistematike	systematisch
sistematike	systematischer
sistematike	systematisches
sistematike	systematischen
sistematike	systematische
ndriçim	erleuchtung
ndriçim	aufklärung
ndriçim	leuchten
ndriçim	licht
ndriçim	anzünden
ndriçim	beleuchtung
ndriçim	belichtung
tepërt	übersteigen
tepërt	überschuss
tepërt	überschreitung
tepërt	überflüssig
tepërt	gegenstandslos
realizimi	implementierung
realizimi	umsetzung
realizimi	durchführung
realizimi	ausführung
realizimi	verwirklichung
realizimi	umsetzung
realizimi	durchführung
realizimi	realisierung
realizimi	ausführung
niedersachsen	niedersachsen
fakultet	fakultäten
fakultet	fachbereich
fakultet	fakultät
fakultet	dozenten
cola	cola
plotëson	ergänzungen
plotëson	ergänzen
plotëson	ergänzt
gji	stillen
gji	stillzeit
gji	brust
gji	stillen
gji	brüste
gji	busen
gji	muttermilch
gji	kluft
gji	golfstaaten
gji	golf
gji	gulf
deklaratë	anweisung
deklaratë	aussage
deklaratë	statement
deklaratë	erklärung
deklaratë	deklaration
deklaratë	erklärung
guxim	mut
guxim	courage
guxim	mutig
guxim	tapferkeit
guxim	mut
guxim	innereien
guxim	eingeweide
kryetarin	referenten
kryetarin	lautsprecher
kryetarin	sprecher
kryetarin	redner
kryetarin	rednerin
gironde	gironde
komisar	kommissarin
komisar	kommissar
holandeze	holländisch
holandeze	niederländisch
holandeze	niederländischen
holandeze	niederländer
holandeze	holländer
pilotët	piloten
tenerife	teneriffa
danimarkë	dänemark
pakistanit	pakistanischen
pakistanit	pakistanische
nënshkrimin	signieren
nënshkrimin	unterzeichnen
nënshkrimin	unterschrift
nënshkrimin	unterzeichnung
reuss	reuss
psikologjik	psychologische
psikologjik	psychisch
psikologjik	psychologischen
romakë	römer
romakë	römern
seksual	sexuell
seksual	sexuellen
seksual	geschlechtsverkehr
seksual	sexueller
seksual	sexuelle
përqindje	anteile
përqindje	prozentuale
përqindje	prozentsatz
përqindje	prozent
përqindje	prozentuale
përqindje	prozentsatz
përqindje	anteil
dekret	erlaß
dekret	dekret
dekret	erlass
megjithate	dennoch
megjithate	nichtsdestotrotz
megjithate	trotzdem
megjithate	dennoch
megjithate	allerdings
megjithate	jedoch
jong	jong
jong	yong
dytësore	randgruppen
dytësore	fringe
dytësore	sekundär
dytësore	sekundäre
dytësore	sekundarstufe
dytësore	sekundärer
shkollimit	schule
shkollimit	schulbildung
kroni	kron
procese	prozessen
procese	vorgänge
procese	prozesse
priten	erwartete
priten	voraussichtlich
priten	erwartet
priten	erwarteten
siro	siro
ndikimet	wirkungen
ndikimet	auswirkungen
ndikimet	einflüsse
ndikimet	einfluß
ndikimet	einflussnahme
ndikimet	einfluss
ndikimet	beeinflusst
lëngu	orangensaft
lëngu	saft
lëngu	fruchtsaft
lëngu	säfte
lëngu	juice
shtrat	bettwäsche
shtrat	bett
personaliteti	individualität
personaliteti	persönlichkeit
firenze	florenz
firenze	firenze
oda	oda
administrim	geschäftsleitung
administrim	geschäftsführung
administrim	unternehmensführung
administrim	management
administrim	verwaltung
administrim	verwaltung
budapest	budapest
budapest	ungarn
derën	tür
derën	haustür
derën	türe
pasuar	gefolgt
pasuar	folgten
pasuar	abonniert
pasuar	folgte
refer	schiedsrichter
refer	ref
refer	referenz
adresë	anschrift
adresë	adresse
adresë	ansprache
adresë	adressen
vegël	gadget
vegël	tool
vegël	werkzeug
rrota	rad
rrota	lenkrad
rrota	räder
rrota	rädern
rrota	felgen
rrota	räder
nuri	nuri
klinike	klinischen
klinike	klinische
klinike	klinisch
klinike	klinischer
zbatohet	gilt
zbatohet	realisiert
zbatohet	durchgeführt
zbatohet	umgesetzt
zbatohet	implementiert
mujore	monatlich
mujore	monat
mujore	monats
mujore	monatliche
mujore	monatlichen
statistikave	statistiken
statistikave	statistik
borussia	borussia
lille	lille
besueshëm	zuverlässiger
besueshëm	zuverlässige
besueshëm	zuverlässig
besueshëm	verlässlich
dallime	differenzen
dallime	unterschiede
djalli	teufel
djalli	devil
djalli	teufels
djalli	teufel
djalli	satan
djalli	satans
djalli	teufels
kurora	kränze
kurora	crown
kurora	kronen
kurora	krone
dokumentuar	belegt
dokumentuar	dokumentierte
dokumentuar	dokumentieren
dokumentuar	dokumentiert
refuzuar	verweigert
refuzuar	versagt
refuzuar	verneint
refuzuar	abgelehnt
refuzuar	zurückgewiesen
refuzuar	abgewiesen
refuzuar	abgelehnt
refuzuar	verweigert
refuzuar	abgelehnt
refuzuar	lehnte
refuzuar	zurückgegangen
refuzuar	abgelehnt
bashkëpunoi	zusammengearbeitet
bashkëpunoi	kooperiert
bashkëpunoi	arbeitete
bashkëpunoi	mitgearbeitet
messi	messi
kumanova	kumanovo
ashanti	ashanti
yusuf	yusuf
kristiane	christlich
kristiane	christliche
kristiane	christian
kristiane	christ
këngëtarë	sängerin
këngëtarë	sänger
edukative	bildungs
stanley	stanley
mbytur	erwürgt
mbytur	ertrunken
mbytur	ertränkt
mbytur	ertrank
mbështetëse	unterstützend
mbështetëse	unterstützen
mbështetëse	unterstützende
shkurtit	february
shkurtit	februar
përziera	mixed
përziera	gemischte
përziera	gemischtes
përziera	gemischt
përziera	gemischten
përziera	gemischt
përziera	vermischt
thellësia	tiefe
thellësia	tiefen
lazio	latium
fiksuar	feste
fiksuar	behoben
fiksuar	fixiert
fiksuar	repariert
fiksuar	festgesetzt
fiksuar	besessen
plastike	kunststoff
plastike	plastische
plastike	kunststoffe
plastike	plastik
deva	deva
punk	punk
vetmuar	einsamer
vetmuar	einsamen
vetmuar	einsamkeit
vetmuar	einsam
skema	schema
skema	deinstallieren
skema	schemas
skema	schema
horizontal	horizontaler
horizontal	horizontal
horizontal	waagerecht
horizontal	horizontalen
horizontal	horizontale
varen	scharnier
varen	gelenk
mjekët	mediziner
mjekët	arzt
mjekët	ärzte
mjekët	ärzten
mjekët	ärzten
mjekët	arzt
mjekët	ärzte
ain	ain
fizikisht	physisch
fizikisht	körperlich
fizikisht	physikalisch
pbb	gdp
pbb	bruttoinlandsprodukt
pbb	bip
pasqyruar	reflektiert
pasqyruar	spiegelt
pasqyruar	spiegelte
sánchez	sánchez
iowa	iowa
toledo	toledo
shit	verkaufe
shit	verkauf
shit	verkaufen
shit	verkauft
shit	verkauften
shit	verkaufte
sllavo	slawische
tërheqjen	widerruf
tërheqjen	entzug
tërheqjen	rücknahme
tërheqjen	widerrufsrecht
tërheqjen	rücktritt
gjenetik	genetische
gjenetik	genetisch
gjenetik	genetischen
gjenetik	gentechnik
karton	kartons
karton	karton
karton	pappe
joachim	joachim
lajmet	aktuell
lajmet	neuheiten
lajmet	neuigkeiten
lajmet	nachrichten
lajmet	aktuelles
aires	aires
disku	scheibe
disku	disc
disku	scheibe
disku	datenträger
disku	festplatte
disku	festplatten
disku	laufwerk
përjetoi	erfahrene
përjetoi	erlebte
përjetoi	erfahrenen
përjetoi	erfahren
fytyrës	gesicht
fytyrës	gesichts
formati	formatieren
formati	dateiformat
formati	formaten
formati	formatierung
formati	format
rrjeta	raster
rrjeta	grid
rrjeta	netz
rrjeta	gitter
rrjeta	net
rrjeta	netz
rrjeta	netto
rrjeta	netzen
rrjeta	netze
rrjeta	netz
mas	mas
jeshile	grün
jeshile	green
jeshile	grünen
jeshile	grüne
perpara	vorwärts
perpara	forward
perpara	weiterleiten
perpara	voraus
perpara	zuvor
perpara	davor
perpara	vorher
perpara	vor
perpara	bevor
borë	schneit
borë	schnee
borë	schneefall
përfundimi	abschluss
përfundimi	vervollständigung
përfundimi	fertigstellung
përfundimi	ergebnis
përfundimi	fazit
përfundimi	abschluss
përfundimi	schlußfolgerung
përfundimi	schlussfolgerung
adm	adm
arkeologët	archäologen
synimet	absicht
synimet	absichten
synimet	vorsätze
harris	harris
kështjellat	festungen
kështjellat	burgen
veshin	verschleiß
veshin	tragen
fetarë	religiöse
fetarë	religiösen
fetarë	religionen
fetarë	religiös
drejtorisë	direktion
drejtorisë	generaldirektion
ikën	gegangen
ikën	verschwunden
ikën	weg
ikën	entgeht
ikën	entkommen
ikën	entkommt
ikën	flieht
ikën	verlässt
ikën	verlassen
ikën	weggehen
parandalimin	prophylaxe
parandalimin	vorbeugung
parandalimin	prävention
parandalimin	verhütung
parandalimin	vorsorge
mjediset	räumlichkeiten
mjediset	umfeld
mjediset	umgebungen
ecur	gelaufen
ecur	ging
ecur	lief
capital	hauptstadt
capital	kapital
alb	alb
arrinë	erreicht
reagim	reaktion
reagim	reaktionen
reagim	feedback
reagim	rückmeldung
veshja	kleidung
veshja	kleid
veshja	kleider
veshja	kostüm
veshja	outfit
veshja	kleidung
fronti	front
fronti	vorderseite
fronti	vorne
fronti	vorn
fronti	vor
laurent	laurent
matematikan	mathematiker
fotograf	fotografin
fotograf	fotograf
fotograf	fotografen
shëndeti	gesundheit
shëndeti	gesundheitswesen
shëndeti	gesundheitsschutz
ekuador	ecuador
agjent	agenten
agjent	vertreter
agjent	agent
agjent	agentin
josif	josip
penalltive	schießerei
château	château
château	burg
arsyen	grund
arsyen	vernunft
çati	dach
çati	decke
çati	dächer
çati	dachterrasse
pasuese	nachfolgerin
pasuese	nachfolge
pasuese	nachfolger
ruso	russo
ruso	rousseau
arrestuar	inhaftiert
arrestuar	festnahme
arrestuar	verhaftet
arrestuar	festgenommen
arrestuar	festnehmen
patate	kartoffeln
patate	kartoffel
patate	kartoffeln
patate	kartoffel
poshte	down
poshte	hinunter
poshte	abwärts
poshte	unten
poshte	runter
seksion	sektion
seksion	bereich
seksion	abschnitt
hermann	hermann
rriti	beworben
rriti	beworbenen
fikse	feste
fikse	behoben
fikse	fixiert
fikse	repariert
fikse	festgesetzt
nikola	nikola
nikola	nicola
vjetori	jubiläum
vjetori	hochzeitstag
vjetori	jahrestag
perime	pflanzlichen
perime	pflanzliche
perime	gemüse
perime	gemüse
flash	flash
flash	blitz
zulu	zulu
grada	grade
grada	grad
grada	abschlüsse
grada	rang
grada	dienstgrad
grada	rangfolge
grada	rangliste
shfrytëzimit	ausbeutung
shfrytëzimit	ausnutzung
shfrytëzimit	nutzung
shfrytëzimit	verwertung
fitim	profit
fitim	gewinne
fitim	gewinn
fabrikë	pflanzen
fabrikë	pflanze
fabrikë	werk
fabrikë	fabrik
mynih	münchen
zbriti	angelandet
zbriti	gelandet
zbriti	landeten
zbriti	landete
zbriti	abstammen
brezat	generationen
brezat	jahrgänge
avull	dampf
avull	steam
avull	dampfbad
avull	wasserdampf
sllovene	slowenische
sllovene	slowenischen
sllovene	slowenisch
sllovene	slowenische
sllovene	slowenischen
sllovene	slowenisch
batalioni	bataillon
modena	modena
kërkohej	benötigt
kërkohej	bedarf
kërkohej	erforderlich
