το	the
γνωστές	poznata
γνωστές	poznate
άμυνας	odbranu
άμυνας	odbrana
μάτια	eyes
μάτια	očima
μάτια	oči
εκδηλώσεις	događaja
εκδηλώσεις	događaji
εκδηλώσεις	dešavanja
σερβία	srbija
βαν	van
εσσδ	sssr
ποικιλία	raznovrsnost
ποικιλία	različitosti
ποικιλία	raznolikost
ποικιλία	raznovrsnost
ποικιλία	različitih
κώστα	costas
κώστα	costa
χρονικά	hronika
χρονικά	bilježe
δολοφονία	atentat
δολοφονία	ubistvo
αθλητής	sportista
φιλόσοφος	filozof
παρασκευή	petak
καθήκοντα	zadaci
καθήκοντα	dužnosti
απώλειες	gubitak
απώλειες	gubitke
απώλειες	gubici
απώλειες	žrtava
απώλειες	žrtve
συνεχίζει	nastavlja
αποφοίτησε	diplomirao
εκπομπή	emitovanje
εκπομπή	emitovati
κινητήρα	motor
κινητήρα	motor
αντικαταστάθηκε	zamijenio
αντικαταστάθηκε	zamijenjeni
τόμας	thomas
απλό	jednostavna
απλό	jednostavne
απλό	jednostavan
απλό	jednostavni
απλό	jednostavnih
απλό	jednostavno
απλό	ravnica
εβδομάδα	sedmica
έρχεται	dolazi
επιστήμες	nauka
αυλή	dvorište
αυλή	dvorištu
αυλή	dvorišta
επαγγελματική	profesionalne
επαγγελματική	profesionalna
επαγγελματική	profesionalni
επαγγελματική	professional
γαλλικό	francuski
φήμη	ugled
φήμη	slavnih
φήμη	fame
δημοσίευσε	postavljenim
ευρέως	generalno
κόλπο	trik
τύμπανα	bubanj
τύμπανα	drums
ανακάλυψη	otkriti
ανακάλυψη	otkriju
ανακάλυψη	otkrili
ανακάλυψη	otkrije
ανακάλυψη	otkriće
ιδρυτής	osnivača
ιδρυτής	osnivač
διαφορές	razlika
διαφορές	razlike
διαφορές	sporova
κινήσεις	poteza
κινήσεις	kretanje
κινήσεις	pokreti
πυρήνα	jezgro
πυρήνα	jezgra
πυρήνα	kernel
ποιος	ko
ποιος	koji
νόμπελ	nobelova
νόμπελ	nobel
κανονική	redovni
κανονική	redovnog
κανονική	redovan
κανονική	redovna
κανονική	redovnom
κανονική	redovnim
κανονική	normalno
κανονική	normalan
κανονική	normalni
κανονική	normalne
κανονική	normalna
αδελφή	sestra
έπεσε	pala
έπεσε	pao
άγαλμα	kip
βραζιλία	brazil
βορρά	sjever
δύσκολο	hard
δύσκολο	teško
δύσκολο	teškom
δύσκολο	teški
δύσκολο	težak
δύσκολο	teško
δύσκολο	teška
προσπαθεί	pokušava
προσπαθεί	pokušava
αριθμούς	brojevi
συνεργάστηκε	sarađivao
ιερουσαλήμ	jerusalem
στρατόπεδο	logor
στρατόπεδο	camp
στρατόπεδο	kamp
στρατόπεδο	kampu
εννέα	devet
διαφορετικό	drugačija
διαφορετικό	drugačije
διαφορετικό	različita
διαφορετικό	različito
διαφορετικό	različiti
διαφορετικό	različitih
αλήθεια	istina
αλήθεια	tačna
αλήθεια	istina
αλήθεια	stvarno
ποσότητα	veličina
ποσότητα	kvantitet
διαδρομή	put
διαδρομή	ruta
διαδρομή	rute
διαδρομή	put
νερά	vodama
σουηδία	švedska
λατινική	latinski
ολόκληρο	cijela
ολόκληρο	čitava
έκφραση	izraza
έκφραση	izraz
υπολογιστή	računar
γνωστοί	poznat
γνωστοί	poznato
γνωστοί	poznata
γνωστοί	poznate
γνωστοί	poznanicima
προσφορά	nastojanje
προσφορά	ponuda
φρούριο	tvrđava
φρούριο	utvrđenje
φρούριο	fort
ανεξάρτητα	nezavisno
παρατηρήσεις	posmatranja
παρατηρήσεις	komentari
παρατηρήσεις	komentarima
δίκη	suđenje
αρκετοί	nekoliko
σχόλια	komentari
σχόλια	komentarima
άξονα	osi
νομική	legalno
νομική	pravna
νομική	pravne
νομική	pravni
νομική	pravnih
γράμμα	pismo
γράμμα	slovo
υποψηφιότητα	kandidaturu
υποψηφιότητα	kandidaturi
υποψηφιότητα	nominaciju
υποψηφιότητα	nominacija
πνεύμα	duh
πνεύμα	džibril
βουνά	planine
βουνά	planina
παλιό	stare
παλιό	stara
παλιό	staro
παλιό	stari
τομείς	sektore
τομείς	sektora
τομείς	sektori
έκδοσης	izdavanje
συρία	sirija
γενιά	generacija
κατανομή	slom
κατανομή	dodjela
κατανομή	distribuciji
κατανομή	distribucija
κατανομή	distribuciju
στίχους	ajeti
στίχους	ajeta
στίχους	teksta
στίχους	tekstova
στίχους	tekstove
στίχους	lirika
στίχους	stihovima
κλειστό	zatvorena
κλειστό	zatvoreno
κλειστό	zatvorio
αυτοκίνητο	automobil
αυτοκίνητο	automobile
εξαρτάται	zavisi
κατάταξη	rang
κατάταξη	klasifikacija
κατάταξη	rang
δικαιοσύνης	pravda
δικαιοσύνης	pravde
μεξικό	meksiko
φυσικός	prirodno
φυσικός	fizičar
τουρνουά	turnir
τουρνουά	turnire
τουρνουά	turnirima
σωματεία	sindikati
αντίτυπα	kopija
αντίτυπα	kopije
ημερολόγιο	kalendar
ημερολόγιο	dnevnika
ημερολόγιο	dnevniku
ημερολόγιο	dnevnik
ημερολόγιο	žurnal
στατιστικά	statistika
συμβολή	doprinos
βασικές	basic
στυλ	stilova
στυλ	stil
στυλ	style
ήλιο	helij
τοπικές	lokalnom
τοπικές	lokalni
ρεάλ	real
ρεάλ	pravi
βοήθησε	pomogla
βοήθησε	pomogao
κρατών	države
κρατών	država
γράφτηκε	pisani
γράφτηκε	napisano
γράφτηκε	zapisano
γράφτηκε	napisao
γράφτηκε	pisan
γράφτηκε	pisao
βοηθός	pomoćnik
βοηθός	asistenta
βοηθός	asistent
βοηθός	zamjenik
ελβετία	švicarska
αναζήτηση	pretrage
αναζήτηση	potraga
αναζήτηση	pretraga
αναζήτηση	potraga
βιομηχανία	industrija
υποστήριξε	podržao
υποστήριξε	podržali
καλλιτεχνικό	umjetnička
καλλιτεχνικό	umjetničko
καλλιτεχνικό	umjetničkim
καλλιτεχνικό	umjetnički
εσύ	vi
εσύ	ti
εσύ	you
εσύ	te
μπάσκετ	košarka
μουσικοί	muzičara
μουσικοί	muzičari
κοιλάδα	dolina
προϊόν	proizvod
προϊόν	produkt
παλάτι	palata
παλάτι	palača
πασά	paša
συγχώνευση	spajanje
συγχώνευση	spoje
συγχώνευση	spajanje
συγχώνευση	spajanja
συγχώνευση	spajanje
εμπειρία	iskustva
εμπειρία	iskustvo
σκηνές	scene
αθλητικά	sportsko
χρυσός	zlatna
χρυσός	zlato
φίλος	prijatelj
φίλος	drug
τρίτος	treći
τρίτος	treća
τρίτος	treće
σύγκριση	poređenja
σύγκριση	poređenje
ανακοινώθηκε	najavljeno
ανακοινώθηκε	najavio
ανακοινώθηκε	objavio
ανακοινώθηκε	objavili
επιστήμονες	naučnici
περιφέρειες	regije
ηττήθηκε	poraženi
ηττήθηκε	poražena
ηττήθηκε	porazila
ηττήθηκε	porazio
δώδεκα	dvanaest
δικηγόρος	advokat
δικηγόρος	advokat
πρίγκιπας	princ
πρίγκιπας	prince
έφυγε	nestao
έφυγε	nestali
έφυγε	otišli
έφυγε	otišla
οδηγός	vozač
οδηγός	vozača
οδηγός	vodič
δρόμος	street
δρόμος	ulice
δρόμος	ulica
δρόμος	put
τελικός	finale
τελικός	završni
τελικός	konačni
δήμους	općina
δήμους	općine
πιστεύεται	vjerovali
τοπικά	lokalno
τοπικά	lokalnom
τοπικά	lokalni
πίστη	vjera
πίστη	odanost
πίστη	lojalnost
παραδοσιακά	tradicionalna
παραδοσιακά	tradicionalne
παραδοσιακά	tradicionalno
παραδοσιακά	tradicionalno
προέλευση	porijekla
προέλευση	porijeklo
προέλευση	porijeklu
προέλευση	poreklo
ισχυρή	moćna
ισχυρή	moćan
διαχείριση	upravljanje
διαχείριση	vođenje
διαχείριση	menadžment
σταδιοδρομία	karijeru
σταδιοδρομία	karijere
σταδιοδρομία	karijera
σταδιοδρομία	karijere
ιράν	iran
πιθανό	mogući
πιθανό	moguće
τζορτζ	george
παρουσίασε	predstavila
παρουσίασε	predstavljena
παρουσίασε	predstavljen
παρουσίασε	predstavilo
παρουσίασε	predstavio
συναυλίες	koncerti
αίμα	krv
ιστορικές	historijska
ιστορικές	historijsko
ιστορικές	historijski
αντίστοιχη	odgovarajući
αντίστοιχη	odgovarajućeg
ζωγραφική	slikarstvo
βελτίωση	poboljšanja
βελτίωση	unaprijediti
βελτίωση	poboljšaju
βελτίωση	improve
βελτίωση	poboljšanje
βέλγιο	belgija
διάμετρος	prečnik
εξωτερική	vanjska
εξωτερική	vanjski
υπολογίζεται	izračunali
κτήριο	zgrada
αστυνομία	policija
επιμέλεια	staranje
επιμέλεια	pritvoru
πτήση	leta
πτήση	let
καρκίνο	rak
στίχοι	ajeti
στίχοι	ajeta
στίχοι	teksta
στίχοι	tekstova
στίχοι	tekstove
στίχοι	lirika
στίχοι	stihovima
απευθείας	direktni
απευθείας	direktna
απευθείας	direktan
απευθείας	direktno
σύμβολα	simboli
σύμβολα	simbola
ρωσικά	ruski
πρίγκιπα	princ
πρίγκιπα	prince
ηλίας	ilias
ηλίας	elias
φυλή	klan
φυλή	klana
φυλή	pleme
φυλή	plemena
φυλή	trka
φυλή	rasa
βενετία	venecija
χαρακτήρας	karaktera
χαρακτήρας	karakter
χαρακτήρας	lik
δέχεται	prima
δέχεται	prihvata
κόστος	trošak
κόστος	košta
κόστος	troškovi
τύποι	tipovi
τύποι	vrste
προηγουμένως	prethodno
σύζυγο	muž
σύζυγο	supruga
σύζυγο	žena
δημοκρατικό	demokratski
δημοκρατικό	demokratska
σκωτίας	škotska
σκωτίας	škotski
λατινικά	latinski
σημείωσε	zapaža
σημείωσε	ukazao
σημείωσε	naglašeno
δυνατή	jaka
δυνατή	jaki
μέτρο	mjera
μέτρο	mjeri
κλασική	klasični
κλασική	klasični
κλασική	classic
κλασική	klasik
πιάνο	klavir
διπλό	dvostruki
διπλό	dupla
διπλό	dvostruko
διπλό	dvostruke
προεδρικές	predsjednički
μηχανική	mehanika
μηχανική	inženjerstvo
απώλεια	gubitak
υπέστη	zadobio
υπέστη	pretrpjela
πραγματική	stvarni
πραγματική	stvarne
καν	khan
καν	kan
ψήφους	glasove
ψήφους	glasova
ψήφους	glasa
ψήφους	glasovima
αποστολές	isporuke
κυριακή	nedjelja
βουνό	planina
ανθρώπινη	čovjek
πωλήσεις	prodaja
γεωμετρία	geometrija
ερρίκος	henri
ερρίκος	henry
φιναλίστ	finalista
σωστά	pravo
σωστά	desno
σωστά	pravilna
άνοιξε	otvorene
άνοιξε	otvorena
άνοιξε	otvoren
άνοιξε	otvoreno
άνοιξε	open
τρόπους	načine
τρόπους	načini
τρόπους	načina
τρόπους	maniri
κάποτε	jednom
εμπορικό	centar
νικήτρια	pobjednik
γιουγκοσλαβίας	jugoslavija
σοβαρά	ozbiljno
αφαίρεση	uklanjanjem
αφαίρεση	uklanjanje
αφαίρεση	uklanjanju
αφαίρεση	ukloni
αφαίρεση	otklanjanje
αφαίρεση	uklanjanje
συμπτώματα	simptomi
προσωρινά	privremeno
προσωρινά	privremeno
προσωρινά	privremenu
προσωρινά	privremene
κερδίζει	pobjeđuje
κερδίζει	pobijedila
υδρογόνου	vodik
άγνωστο	nepoznata
άγνωστο	nepoznat
άγνωστο	nepoznati
εντούτοις	međutim
κύτταρα	ćelije
συνέντευξη	intervju
ρουμανία	rumunija
συνάντηση	ispuniti
συνάντηση	sastanak
συνάντηση	susret
μετακόμισε	preselio
οικισμούς	naselja
λουδοβίκος	louis
λουδοβίκος	lodovico
μιχάλης	michalis
αντ	ant
αντ	umjesto
αντ	umesto
αντ	ade
ανακάλυψε	otkriveni
ανακάλυψε	otkrivene
ανακάλυψε	otkrivena
ανακάλυψε	otkriven
ανακάλυψε	otkrio
ανακάλυψε	otkrili
λογισμικό	softver
ενέργειες	akcija
ενέργειες	radnje
ενέργειες	akcije
ενέργειες	postupci
ενέργειες	postupcima
πολωνίας	poljska
αεροπορία	avijacija
μαδρίτης	madrid
δηλώνει	proglasi
σωματείο	savez
σωματείο	unija
σωματείο	union
σωματείο	unión
παρόν	prisutan
ιησού	isus
νομίσματα	novčiće
νομίσματα	kovanica
νομίσματα	valute
πρακτικά	praktične
πρακτικά	praktična
πρακτικά	praktični
πρακτικά	praktično
σημαντικός	važnom
σημαντικός	važna
σημαντικός	važno
σημαντικός	bitan
σημαντικός	važnih
σημαντικός	bitno
ενεργό	aktivna
ενεργό	aktivni
ενεργό	aktivan
προβολή	projekcija
προβολή	prikaz
προβολή	pogled
ρυθμό	tempo
ρυθμό	tempo
ρυθμό	ritam
συνελήφθη	uhapšeni
συνελήφθη	uhapšena
συνελήφθη	uhapšen
βορειοδυτικά	sjeverozapad
καλλιτέχνης	umjetnik
άντζελες	angeles
μαύρη	crni
μαύρη	crna
στήλη	stub
νόμισμα	valuta
νόμισμα	novčić
νόμισμα	novčića
αξιωματικός	oficire
αξιωματικός	oficir
αξιωματικός	oficirom
συλλογές	kolekcije
συλλογές	zbirke
δημιουργώντας	kreiranje
δημιουργώντας	stvaranje
στόλου	flota
καταστράφηκε	uništene
καταστράφηκε	uništen
καταστράφηκε	uništena
καταστράφηκε	uništeni
καταστράφηκε	uništenog
βιογραφία	biografija
καθηγητή	profesor
καρδιά	srce
στάδια	stadiona
στάδια	faze
στάδια	etapa
στάδια	stadijuma
στάδια	koraka
στάδια	koraci
γιου	yoo
καθαρά	jasni
καθαρά	jasnih
καθαρά	jasno
καθαρά	jasna
καθαρά	jasan
καθαρά	čistu
καθαρά	čistim
καθαρά	čista
καθαρά	čist
καθαρά	čistom
καθαρά	neto
καθαρά	net
αντίπαλο	rival
αντίπαλο	rivala
αντίπαλο	protivnik
ολοκλήρωση	završetak
ολοκλήρωση	završetku
ολοκλήρωση	završetka
ολοκλήρωση	integracija
ολοκλήρωση	završeno
ολοκλήρωση	potpuna
ολοκλήρωση	kompletna
ολοκλήρωση	kompletan
τέταρτο	četvrta
τέταρτο	četvrti
τέταρτο	četvrto
τέταρτο	četvrtog
τέταρτο	četvrtom
έδειξε	pokazao
έδειξε	pokazala
έδειξε	pokazali
παρουσιάστηκε	predstavila
παρουσιάστηκε	predstavljena
παρουσιάστηκε	predstavljen
παρουσιάστηκε	predstavilo
παρουσιάστηκε	predstavio
θεωρίες	teorije
ιταλοί	italijani
ανεξάρτητη	independent
ανεξάρτητη	nezavisno
ανεξάρτητη	nezavisni
ανεξάρτητη	nezavisna
εργαστήριο	laboratoriji
εργαστήριο	laboratorija
εργαστήριο	radionica
εργαστήριο	radionice
εργαστήριο	radionici
εργαστήριο	radionicu
εργαστήριο	laboratorija
εργαστήριο	laboratoriji
εργαστήριο	lab
αντικατέστησε	zamijenio
αντικατέστησε	zamijenjeni
αντικατέστησε	zamijeniti
αντικατέστησε	zamijenit
αντικατέστησε	zamjenu
δείγμα	uzorak
δείγμα	uzorka
δείγμα	uzorku
δημιουργήθηκαν	kreirana
δημιουργήθηκαν	stvoreno
δημιουργήθηκαν	stvorena
δημιουργήθηκαν	stvoren
δημιουργήθηκαν	stvorio
πληροφορία	informacija
πορτογαλία	portugal
ιστορικοί	historičari
πού	gdje
πού	gde
ονομασίες	imena
παραμονή	hava
παραμονή	ostala
παραμονή	ostati
παραμονή	ostanu
παραμονή	boravka
εμμανουήλ	emmanuel
βάσεις	temeljima
βάσεις	temelja
βάσεις	temelji
βάσεις	temelje
ελάχιστα	minima
ελάχιστα	minimalno
ελάχιστα	minimum
ελάχιστα	minimalna
ελάχιστα	minimalno
ελάχιστα	minimalni
απαιτείται	potrebnih
μεγάλωσε	podignut
μεγάλωσε	podigao
νομικά	zakonski
νομικά	pravno
νομικά	legalno
νομικά	legalno
νομικά	pravna
νομικά	pravne
νομικά	pravni
νομικά	pravnih
διαχειριστής	admin
διαχειριστής	rukovodilac
διαχειριστής	administrator
στενά	usko
ακρίβεια	preciznost
ακρίβεια	preciznosti
ακρίβεια	tačnost
ακρίβεια	preciznost
υγεία	zdravlje
ιαπωνίας	japan
άρτας	arta
δημήτρη	dimitri
δημήτρη	dimitris
πολέμους	ratovi
υπογραφή	potpisivanje
υπογραφή	potpisan
υπογραφή	potpis
θεώρημα	teorem
αναγέννηση	renesansa
αναγέννηση	regeneraciju
αναγέννηση	preporod
σταμάτησε	prestala
σταμάτησε	zaustavljen
προηγούμενο	prethodna
προηγούμενο	prethodnim
προηγούμενο	prethodni
προηγούμενο	prethodno
προηγούμενο	prethodnom
προηγούμενο	prethodne
μέσος	prosječno
μέσος	prosječne
μέσος	prosječnom
μέσος	prosjek
επάγγελμα	profesiji
επάγγελμα	struke
επάγγελμα	profesije
επάγγελμα	okupacije
επάγγελμα	okupacija
αγωνιστής	borac
αγωνιστής	agonist
ιράκ	irak
διάλυση	raspada
μέγα	mega
πρωτοβουλία	inicijativa
μηχανικός	inženjer
αριθμοί	cifre
αριθμοί	brojevi
εμπορίου	trgovina
εμπορίου	trgovina
οπτικά	vizuelno
οπτικά	vizuelni
οπτικά	vizuelno
οπτικά	vizuelna
οπτικά	visual
οπτικά	optički
οπτικά	optičko
έληξε	okončana
έληξε	okončan
έληξε	istekao
γάμος	brak
γάμος	vjenčanje
γάμος	vjenčanja
μηχανή	mašina
μηχανή	motor
βραζιλίας	brazilski
ειδικές	specifične
ειδικές	konkretne
ειδικές	specifična
πότε	kada
εγχώρια	domaće
εγχώρια	domaćem
εγχώρια	domaća
εγχώρια	domaći
ισπανική	španski
βασιλεία	basel
βασιλεία	vladavine
όπερα	opera
λεπτομέρειες	opširnije
λεπτομέρειες	detalje
λεπτομέρειες	detalji
λεπτομέρειες	detalj
νήσοι	ostrva
συγκέντρωσε	assemble
όψη	pogled
εργαλεία	alat
ευθύνη	odgovornost
ευθύνη	odgovornost
εργάζεται	radovi
εργάζεται	funkcioniše
εργάζεται	radi
δίδαξε	učio
δίδαξε	učili
κανονικά	obično
νικητές	pobjednici
μα	ali
φοιτητές	studenti
φοιτητές	učenici
οδηγήσει	olova
οδηγήσει	olovo
αποφάσεις	odluke
αποφάσεις	odlukama
αποφάσεις	odluka
κύκλου	ciklus
εγκατάσταση	instalacija
εγκατάσταση	instalaciju
εγκατάσταση	objekat
εγκατάσταση	instalacija
αναφοράς	referenca
νόημα	značenja
νόημα	značenju
νόημα	značenje
νόημα	smisao
ψηφοφορία	glasanje
βρετανός	britanski
βρετανός	britansko
βρετανός	britanska
βρετανός	britanske
βρετανός	britanci
ατμόσφαιρα	atmosfera
ατμόσφαιρα	atmosferu
τύπους	tipovi
τύπους	vrste
άμυνα	odbranu
άμυνα	odbrana
άμυνα	odbrana
απεικόνιση	prikaz
απεικόνιση	ilustracija
κωνσταντίνο	constantino
κέρκυρα	krf
εκτίμηση	procjenu
εκτίμηση	procjene
εκτίμηση	ocjena
εκτίμηση	procjena
σχετικό	relativna
σχετικό	relevantne
σχετικό	relevantnim
σχετικό	vezani
σχετικό	vezane
βράδυ	večeri
βράδυ	veče
ποσό	količina
ποσό	iznos
τέχνες	umjetnost
παντρεμένος	udata
παντρεμένος	oženjen
παντρεμένος	oženio
μεθόδους	metoda
μεθόδους	metode
τελετή	ceremoniji
τελετή	ceremonija
τελετή	svečanosti
τελετή	svečano
κόμης	računaju
κόμης	grof
κόμης	broji
παρουσιάζεται	predstavila
παρουσιάζεται	predstavljena
παρουσιάζεται	predstavljen
παρουσιάζεται	predstavilo
παρουσιάζεται	predstavio
καθιερώθηκε	uvedeno
καθιερώθηκε	uveo
καθιερώθηκε	uveden
καθιερώθηκε	uvedena
συγκέντρωση	koncentracije
συγκέντρωση	koncentracija
συγκέντρωση	koncentraciju
συγκέντρωση	skup
συγκέντρωση	okupljanje
ήττες	gubitke
ήττες	gubici
ήττες	poraza
αφήνοντας	odlazak
αφήνοντας	napušta
αφήνοντας	ostavljajući
αφήνοντας	napuštanje
αφήνοντας	ostavivši
ασθενείς	pacijenti
ασθενείς	pacijentima
ασθενείς	pacijenata
ασθενείς	pacijente
δυστυχώς	nažalost
τάξεις	učionice
τάξεις	časovi
ρόλους	uloge
νέοι	omladina
ζωγράφοι	slikara
πολ	paul
κοινά	publika
απόπειρα	pokušaj
λεπτό	tanke
λεπτό	minuta
παράγοντας	faktor
αλλού	drugdje
βρίσκει	pronalazi
βρίσκει	nađe
βρίσκει	nalazi
ηχογραφήσεις	snimci
αθηναίοι	atinjani
ορχήστρα	bend
ορχήστρα	orkestar
άνοιγμα	otvorene
άνοιγμα	otvorena
άνοιγμα	otvoren
άνοιγμα	otvoreno
άνοιγμα	open
άνοιγμα	otvaranje
χαρακτηριστική	karakterističnim
ιρλανδία	irska
δεκάδες	desetine
υγρό	vlažne
υγρό	tečnost
ηγέτες	lideri
ζευγάρι	pair
ζευγάρι	par
ζευγάρι	par
ζευγάρι	nekoliko
βόλου	volos
ιωσήφ	joseph
ιωσήφ	josef
αργεντινή	argentina
διαθήκη	testament
διαθήκη	zavjet
καλλιτέχνη	umjetnik
αλβανία	albanija
πριγκίπισσα	princeza
πριγκίπισσα	princeze
λι	lee
ήχου	audio
γένους	genus
σχεδιασμό	dizajn
παρόμοιο	slični
παρόμοιο	slične
παρόμοιο	sličan
παρόμοιο	slična
παρόμοιο	sličnim
αθλητικός	atletski
αθλητικός	athletic
δημοψήφισμα	referendum
πουλιά	ptice
ποιότητα	kvalitet
ποιότητα	kvaliteta
σύντομη	kratko
σύντομη	kratko
απόδειξη	dokaz
διάθεση	raspoloženje
διοικητικές	upravna
ρώσος	ruski
είκοσι	dvadeset
κατοικία	boravka
διοικητικό	upravna
άντρες	muškarci
κινηματογράφο	kino
κινηματογράφο	kinematografija
κινηματογράφο	cinema
ποιητή	pjesnik
ποιότητας	kvalitet
ποιότητας	kvaliteta
συνδέονται	povezani
συνδέονται	povezana
παλαιό	stare
παλαιό	stara
παλαιό	staro
παλαιό	stari
διέταξε	naredio
φαινόμενα	fenomen
φαινόμενα	fenomene
κοινοβουλίου	parlament
διάταγμα	uredba
διάταγμα	propis
διάταγμα	dekretom
διάταγμα	dekret
ινδίας	indija
τείχη	zidova
τείχη	zidine
τείχη	zidovi
τείχη	zidinama
τείχη	zidovima
σύγχρονο	moderna
σύγχρονο	savremena
σύγχρονο	savremen
σύγχρονο	savremena
στόλο	flota
υπεύθυνος	odgovorne
υπεύθυνος	odgovorna
υπεύθυνος	odgovorni
υπεύθυνος	odgovornim
υπεύθυνος	odgovoran
νοτιοανατολικά	jugoistočna
δάσος	woods
δάσος	šuma
οδηγίες	direktive
οδηγίες	uputstvu
οδηγίες	uputstva
οδηγίες	upute
οδηγίες	instrukcije
ρίτσαρντ	ričard
ρίτσαρντ	richard
φθινόπωρο	jesen
φθινόπωρο	jesen
φθινόπωρο	pad
διαδικασίες	postupak
διαδικασίες	postupka
διαδικασίες	postupci
διαδικασίες	procedura
διαδικασίες	procedure
ερευνητές	istraživači
θράκη	trakija
δύση	zapadu
δύση	zapad
καταργήθηκε	ukinut
καταργήθηκε	ukinuo
διάταξη	uredba
διάταξη	propis
διάταξη	odredbom
διάταξη	odredbu
διάταξη	opskrba
διάταξη	raspored
νοτιοδυτικά	jugozapadnom
νοτιοδυτικά	jugozapad
νοτιοδυτικά	jugozapadne
νοτιοδυτικά	jugozapadna
ρώσοι	rusi
μεταγραφή	transkripcija
πρόσφυγες	izbjeglica
πρόσφυγες	izbjeglice
βασικός	basic
σκ	vikend
άνοδος	rast
άνοδος	uspon
άνοδος	usponu
άνοδος	anoda
κόμη	računaju
κόμη	grof
κόμη	broji
οριστικά	definitivan
δράμα	drama
έλεγχος	kontrolisanje
έλεγχος	kontrolisati
έλεγχος	kontroliše
έλεγχος	kontroli
έλεγχος	kontrola
έλεγχος	pogledajte
έλεγχος	check
αλλάζει	mijenja
έμφαση	naglasak
υπηκοότητα	nacionalnost
υπηκοότητα	državljanstvo
βορειοανατολικά	sjeveroistoku
μηδέν	nula
φωτιά	vatra
εκατοντάδες	stotine
ήπειρο	kontinent
χάλκινο	bronzana
χάλκινο	bronza
αντίληψη	percepcija
πανιώνιος	panionios
δρόμους	putevi
δρόμους	ceste
δρόμους	ulice
δρόμους	ulica
δρόμους	ulicama
πλατφόρμα	platforma
πλατφόρμα	platformi
πλατφόρμα	platformu
πλατφόρμα	platforme
σπύρος	spira
διοικητή	komandant
διοικητή	komadant
διοικητή	komandant
ρωμαίοι	rimljani
δάσκαλος	nastavnik
δάσκαλος	učitelj
χάρι	hari
χάρι	harry
ανασκαφές	iskopavanja
ανασκαφές	iskopavanja
ανασκαφές	iskopa
ένδειξη	naznaku
ένδειξη	pokazatelj
ουγγαρίας	mađarska
ελισάβετ	elizabeta
ελισάβετ	elizabeth
ελισάβετ	elisabeth
διαμάχη	kontroverza
διαμάχη	kontroverzu
διαμάχη	kontroverze
διαμάχη	spor
βαθμός	stepenu
βαθμός	stepen
βαθμός	stepena
βαθμός	razreda
σταθερή	fiksni
σταθερή	stalan
σταθερή	postojan
σταθερή	stabilno
σταθερή	stabilna
σταθερή	stabilan
κριτήριο	kriterij
κοινωνικές	društvena
κοινωνικές	društvene
κοινωνικές	društvenu
κοινωνικές	socijalna
φρανκ	frank
δάση	šumarstva
δάση	šume
δάση	šuma
φιλόσοφοι	filozofi
ουγγαρία	mađarska
μαθητής	đaka
μαθητής	učenika
μαθητής	student
γιους	sinovi
γιους	sinova
υποψηφιότητες	nominacije
πρεμιέρα	premijeru
πρεμιέρα	premijerno
βιογραφικό	bio
θεά	božica
κρίσιμη	kritična
κρίσιμη	kritično
κρίσιμη	presudno
κρίσιμη	presudni
κρίσιμη	presudan
κρίσιμη	presudna
καταλαμβάνει	zauzima
κωδικός	password
κωδικός	kod
τύχη	bogatstvo
τύχη	sreću
τύχη	sreća
επικοινωνία	komunikacija
επικοινωνία	kontakt
επικοινωνία	komunikacija
γεωγραφική	geografska
γεωγραφική	geografski
είδε	vidio
δόξα	slavnih
δόξα	fame
δόξα	slava
κέρκυρας	krf
πέμπτη	petom
πέμπτη	peta
πέμπτη	peto
πέμπτη	peti
πέμπτη	četvrtak
ποσότητες	količinama
ποσότητες	količine
ποσότητες	veličina
ποσότητες	kvantitet
καθολική	katolici
καθολική	katolički
καθολική	katolička
καθολική	katolik
καθολική	universal
καθολική	univerzalno
καθολική	univerzalnih
καθολική	univerzalni
καθολική	univerzalne
καθολική	univerzalna
αίσθηση	osećaj
αίσθηση	feeling
αίσθηση	osjećaju
αίσθηση	osjećaj
αίσθηση	senzacija
αίσθηση	čulo
εξίσωση	jednačina
μοίρα	eskadrila
μοίρα	eskadrile
μοίρα	destiny
μοίρα	sudbina
μοίρα	sudbinu
μοίρα	sudbinu
μοίρα	sudbina
αραβικά	arapski
ασθένεια	bolest
ασθένεια	oboljenja
ασθένεια	bolest
αρχαίος	drevni
αρχαίος	drevno
αρχαίος	drevna
αρχαίος	drevne
σύνοδο	samit
φυλακή	zatvor
φυλακή	zatvor
πλήρης	pun
πλήρης	full
πλήρης	puna
πλήρης	punom
πλήρης	puni
πλήρης	punu
πλήρης	završeno
πλήρης	potpuna
πλήρης	kompletna
πλήρης	kompletan
στρατιωτικοί	vojska
αποσύρθηκε	penzionisan
αποσύρθηκε	penzionisani
αποσύρθηκε	povukao
αγγλικό	engleski
περιουσία	bogatstvo
περιουσία	naselju
περιουσία	imanju
περιουσία	posjed
αθλητικό	atletski
αθλητικό	athletic
αθλητικό	sporting
αθλητικό	sportskim
αθλητικό	sportski
αθλητικό	sportskom
αθλητικό	sportska
κενό	jaz
κενό	vakuum
κενό	praznina
κενό	praznine
κενό	prazan
κενό	prazna
κενό	prazna
ιβάν	ivan
αποτελούνταν	sastojao
αποτελούνταν	sastojala
προτείνει	preporučuje
προτείνει	predlaže
βαθμοί	ocjene
βαθμοί	tačaka
βαθμοί	stepena
βαθμοί	stepeni
σάντα	santa
