popularmente	popularly
guido	guido
comisiones	komisen
detención	penangkapan
detención	tangkap
detención	penahanan
algoritmo	algoritma
inversiones	investment
inversiones	pelaburan
inversiones	pelaburan
criaturas	critter
criaturas	makhluk
criaturas	mahluk
lloyd	lloyd
mercancías	barangan
mercancías	komoditi
mercancías	freight
mercancías	barangan
mercancías	dagangan
mercancías	merchandise
construye	binaan
construye	membangun
construye	membina
construye	build
construye	bina
jennifer	jennifer
agregar	menambahkan
agregar	menambah
agregar	add
marinas	marin
marinas	marine
marinas	marinas
tela	kain
tela	kain
ataca	serangan
ataca	attack
ataca	serangan
ataca	serang
lorca	lorca
serra	serra
refugiados	penyeludupan
cantera	kuari
marcel	marcel
mancomunidad	komanwel
dylan	dylan
harold	harold
descubridor	discoverer
énfasis	menitik
énfasis	penekanan
combinado	digabungkan
combinado	gabungan
almagro	almagro
revisar	semakan
brothers	saudara
brothers	brothers
potter	potter
circo	cirque
circo	circus
circo	sarkas
robo	kecurian
robo	mencuri
robo	robo
robo	rompakan
robo	pencerobohan
robo	curi
vecina	jiran
vecina	jiran
modificado	diubahsuai
radial	jejari
angola	angola
angola	angolan
contactos	contact
contactos	kenalan
conservado	dikekalkan
conservado	conserved
conservado	dikekalkan
exploradores	scout
exploradores	pengakap
exploradores	penjelajah
exploradores	peneroka
hudson	hudson
pampa	pampas
pampa	pampa
flauta	seruling
hormigón	konkrit
autoría	hakmilik
autoría	pengarangan
pinto	pinto
jugaron	dimain
odio	kebencian
odio	benci
odio	benci
cauca	cauca
nocturno	nokturnal
nocturno	malam
celta	celtic
celta	celt
consultas	konsultasi
consultas	consultation
consultas	inquiries
consultas	pertanyaan
comprobar	check
comprobar	semak
comprobar	chek
prosa	prosa
radicales	radikal
radicales	radikal
connecticut	connecticut
discípulo	murid
saboya	savoy
juzgado	mahkamah
juzgado	court
juzgado	mahkamah
religiones	agama
religiones	agama
lealtad	kesetiaan
compañera	roommate
compañera	pendamping
morris	morris
paolo	paolo
start	mulakan
start	start
start	mula
funcional	fungsian
guevara	guevara
compostela	compostela
disparos	penembakan
disparos	penggambaran
disparos	shooting
disparos	tembakan
cayo	gaius
cayo	cayo
cayo	cay
melbourne	melbourne
máscara	mask
máscara	topeng
activista	aktivis
michelle	michelle
galardonado	dihadiahkan
novelista	novelis
avanzar	advance
puro	belaka
puro	cerut
puro	tulen
puro	murni
puro	pure
tomas	tomas
tomas	thomas
separada	dipisahkan
separada	berpisah
separada	berasingan
separada	berasingan
comprensión	pemahaman
comprensión	understanding
comprensión	pengertian
comprensión	memahami
comprensión	pemahaman
dándole	memberikan
dándole	memberi
blake	blake
mónaco	monaco
distinguir	membezakan
distinguir	bezakan
expediciones	ekspedisi
rodeada	dikelilingi
compleja	complex
compleja	kompleks
ontario	ontario
trilogía	trilogi
concejal	alderman
concejal	councillor
chocolate	coklat
chocolate	chocolate
calzada	causeway
suya	milikmu
suya	yours
terminada	selesai
terminada	tamat
tumbas	makam
tumbas	kubur
conservar	kekalkan
berkeley	berkeley
riego	pengairan
jacobo	jacob
jacobo	james
piernas	kaki
típicamente	kebiasaannya
típicamente	biasanya
dramático	drama
dramático	dramatik
músculo	otot
músculo	muscle
músculo	otot
sul	sul
atleta	atlet
atleta	atlit
val	val
bonus	bonus
croata	croat
croata	croatia
perdón	sorry
perdón	maaf
perdón	maafkanlah
perdón	pengampunan
perdón	keampunan
paquete	parcel
paquete	pakej
paquete	bundle
paquete	pek
paquete	pack
busto	bust
especialistas	specialist
especialistas	pakar
opuesto	opposite
mono	mono
mono	monkey
mono	monyet
trastornos	gangguan
trastornos	kecelaruan
afectados	terpengaruh
afectados	terjejas
afectados	dipengaruhi
revelación	wahyu
revelación	pendedahan
aluminio	aluminium
aluminio	aluminium
satélites	satelit
satélites	satelit
zero	zero
zero	sifar
infección	jangkitan
infección	jangkitan
noveno	kesembilan
mezquita	masjid
mezquita	mosque
kurt	kurt
contratos	mengecut
contratos	kontrak
guardias	penjaga
guardias	pengawal
definida	ditakrifkan
definida	ditakrif
regente	bupati
terrorista	pengganas
terrorista	terrorist
terrorista	mengganas
terrorista	pengganas
terrorista	penganas
desarrollando	membangunkan
superficial	dangkal
superficial	cetek
superficial	dangkal
superficial	permukaan
superficial	surface
hardware	hardware
hardware	perkakasan
abundancia	abundance
procesamiento	pemprosesan
resultando	terhasil
marfil	ivory
marfil	gading
test	test
redactor	penyunting
redactor	editor
gaspar	kaspar
gaspar	caspar
gaspar	gaspar
conspiración	konspirasi
estratégica	strategik
secundarias	secondary
secundarias	sekunder
excelencia	berhormat
excelencia	kecemerlangan
excelencia	keunggulan
funcionario	rasmi
funcionario	official
explorador	pengakap
explorador	penjelajah
explorador	peneroka
explorador	explorer
explorador	pelayar
uruguaya	uruguay
kate	kate
taxonomía	taksonomi
útiles	bermanfaat
útiles	berguna
útiles	membantu
mixto	bercampur
mixto	campuran
mixto	mixed
mixto	dicampur
melodía	melodi
melodía	melody
melodía	tune
estimación	menganggarkan
estimación	menganggar
estimación	dianggarkan
luigi	luigi
afc	afc
albania	albania
area	keluasan
area	kawasan
area	area
comunicado	communiqué
comunicado	kenyataan
comunicado	statement
comunicado	penyata
dieciséis	sixteen
ucraniano	ukraine
detenidos	ditahan
detenidos	ditangkap
detenidos	ditahan
esencia	pati
esencia	essence
esencia	intipati
seúl	seoul
conversaciones	perbualan
conversaciones	bercakap
percepción	persepsi
percepción	persepsi
fijo	dibaiki
subespecies	subspesies
descripciones	descriptions
fundar	mengasaskan
bachillerato	baccalaureate
cuadrada	persegi
cuadrada	square
cuadrada	segiempat
artísticos	artistik
full	full
full	kenyang
full	penuh
introduce	memperkenalkan
excavaciones	penggalian
excavaciones	excavations
wii	wii
pila	bateri
pila	longgokan
pila	timbunan
pila	timbunan
pila	tindan
regularmente	teratur
caos	penganiayaan
caos	aniaya
caos	kekacauan
caos	kekusutan
módulo	modul
módulo	module
eslovenia	slovenia
eslovenia	slovenia
soccerway	soccerway
turcos	turki
turcos	halwa
turcos	turki
turcos	turkish
sedes	markas
garganta	tekak
garganta	kerongkong
garganta	jurang
eficiencia	kecekapan
prohibido	terlarang
prohibido	dilarang
prohibido	terlarang
prohibido	dilarang
prohibido	diharamkan
prohibido	banned
prohibido	dilarang
mitre	mitre
noruego	norway
consistente	konsisten
rítmica	berirama
rítmica	rentak
dulces	sweets
dulces	manisan
dulces	candy
dulces	sweet
watson	watson
cantó	sang
euskera	basque
anglo	anglo
historietas	komik
philadelphia	philadelphia
grueso	pukal
grueso	tebal
exceso	kelebihan
triángulo	triangle
bart	bart
clero	ulama
clero	pendita
habsburgo	habsburg
relativo	relatif
cama	katil
cama	katil
eficaz	cekap
eficaz	berkesan
eficaz	efektif
comenta	komen
comenta	komen
terminando	finishing
terminando	penamat
terminando	pengakhiran
piedad	kasihan
piedad	mercy
piedad	rahmat
piedad	taqwa
perciformes	perciformes
camilo	camillo
camilo	camilo
ram	ram
michoacán	michoacán
realismo	realism
espinosa	berduri
espinosa	espinosa
subespecie	subspesies
conversación	perbualan
dante	dante
pionero	perintis
pionero	pioneer
clasificar	kategorikan
clasificar	mengklasifikasikan
emisoras	stesyen
emisoras	stesen
espinas	berduri
espinas	duri
espinas	duri
cretácico	kapur
ted	ted
habitaciones	bilik
habitaciones	room
myspace	myspace
constituida	constituted
ambientales	persekitaran
arbustos	rimbunan
arbustos	shrubs
consecutivas	berturut
aeropuertos	airport
aeropuertos	bandara
urbanización	urbanisation
urbanización	urbanization
mencionados	disebut
mencionados	disebutkan
utc+	utc+
adjunto	timbalan
adjunto	dilampirkan
adjunto	melekat
adjunto	adjunct
adjunto	lampiran
supervivencia	survival
cómics	komik
pistola	pistol
pistola	senapang
pistola	pistol
pistola	gun
ascensión	hamal
cover	penutup
cover	cover
constancia	constance
constancia	ketekunan
dennis	dennis
migración	migratory
migración	penghijrahan
migración	migrasi
editora	penyunting
editora	editor
hunter	pemburu
hunter	hunter
box	box
box	kotak
noventa	ninety
conveniente	memudahkan
honoris	honoris
ola	ola
ola	ombak
ola	lambai
ola	wave
ola	gelombang
martha	martha
adición	menambahkan
adición	menambah
adición	tambahan
dialecto	loghat
gramática	tatabahasa
limpieza	kebersihan
limpieza	pembersihan
limpieza	pembersih
limpieza	pembersihan
limpieza	pencuci
limpieza	membersih
limpieza	bersih
limpieza	housekeeping
explorer	penjelajah
explorer	peneroka
explorer	explorer
foraminíferos	foraminifera
marcar	dail
marcar	tanda
marcar	mark
oceanía	oceania
cáucaso	caucasus
cáucaso	kaukasia
solicitar	request
solicitar	pinta
solicitar	permintaan
solicitar	meminta
after	selepas
varela	varela
wang	wang
enamorado	pencinta
enamorado	kekasih
enamorado	lover
policías	polis
policías	polis
arcade	arked
púrpura	purple
eclesiástica	ecclesiastical
tecnológica	teknologi
expresar	express
expresar	luahkan
jacinto	jacinto
qui	qui
uribe	uribe
minoría	minoriti
minoría	minoriti
medicamentos	medications
medicamentos	dadah
crean	mencipta
bebida	minum
bebida	minuman
bebida	minum
bebida	minuman
mitchell	mitchell
rascacielos	skyscraper
rascacielos	skyscrapers
aceptada	diterima
aceptada	accepted
favorito	favourite
favorito	kegemaran
favorito	fave
favorito	kegemaran
favorito	kesayangan
favorito	kesukaan
tiende	cenderung
conjunta	joint
conjunta	sendi
apoya	sokong
transforma	jelmaan
élite	elit
élite	elite
futuros	futures
pagina	page
pagina	mukasurat
pagina	halaman
contreras	contreras
ncaa	ncaa
negativo	negative
negativo	negatif
cordero	lamb
andaluz	andalusian
amparo	amparo
leonard	leonard
ibm	ibm
austral	austral
coma	koma
coma	koma
coma	makan
oscuridad	gelap
oscuridad	darkness
oscuridad	kegelapan
caracol	siput
estatuas	patung
estatuas	arca
days	hari
malos	buruk
malos	teruk
cazadores	pemburu
cazadores	pemburu
cazadores	hunter
temple	temple
temple	kuil
castellanos	castellanos
tokyo	tokyo
vendidos	jual
vendidos	sold
vendidos	terjual
doctores	doctors
doctores	doktor
hércules	hercules
trastorno	gangguan
trastorno	kecelaruan
restricciones	sekatan
restricciones	kekangan
traición	khianat
traición	pengkhianatan
traición	pengkhianatan
traición	khianat
traición	derhaka
amenazas	ugutan
amenazas	ancaman
suministro	bekalan
heredia	heredia
sandra	sandra
sombrero	sombrero
sombrero	hat
sombrero	topi
sentir	feel
sentir	merasa
sentir	rasai
residencial	perumahan
residencial	kediaman
mit	mit
mit	mit
herzegovina	herzegovina
herzegovina	bih
abel	abel
armonía	keharmonian
armonía	harmony
armonía	harmoni
amo	sifu
amo	master
cadáver	body
cadáver	bodi
cadáver	badan
cadáver	mayat
cadáver	rentung
cadáver	mayat
inter	inter
obligación	kewajipan
soccer	soccer
sweet	sweet
distancias	jarak
pensó	fikir
pensó	sangka
pensó	pemikiran
bordes	sempadan
bordes	pinggir
bordes	tepi
fracción	pecahan
cintas	kaset
kenia	kenya
homosexualidad	lgbt
homosexualidad	kehomoseksualan
homosexualidad	homosexual
homosexualidad	homoseksual
allende	allende
joão	joão
picos	pepaku
picos	kemuncak
picos	puncak
picos	paruh
aníbal	hannibal
defensas	pertahanan
defensas	defences
orquídeas	orkid
orquídeas	orkid
agrega	add
agrega	menambahkan
agrega	menambah
invitación	jemput
invitación	undangan
invitación	jemputan
patagonia	patagonian
patagonia	patagonia
cívica	sivik
cívica	civic
cívica	sivik
terra	terra
presentando	introducing
presentando	memperkenalkan
presentando	presenting
mágico	ajaibnya
mágico	magic
mágico	sihir
mágico	magik
mágico	ajaibnya
richter	richter
ritual	ritual
corpus	corpus
exclusivo	ekslusif
exclusivo	exclusive
exclusivo	eksklusif
príncipes	putera
príncipes	princes
round	pusingan
round	bulat
pete	pete
muerta	dead
muerta	mati
ritmos	degupan
ritmos	berdegup
ritmos	rhythms
nombrar	menamakan
nombrar	penamaan
menéndez	menéndez
bebidas	minuman
llanos	dataran
stanford	stanford
tallo	tangkai
tallo	stalk
tallo	stem
newton	newton
dell	dell
cartago	carthage
wikipedistas	wikipedians
expuesto	terdedah
ion	ion
aparatos	ditalian
aparatos	apparatus
aparatos	peranti
aparatos	gadgets
aparatos	gadget
aparatos	gajet
aparatos	perkakasan
aparatos	peralatan
leon	leon
greg	greg
bush	semak
bush	bush
automática	automatik
automática	automatic
consciente	sedar
lola	lola
honores	honours
monje	rahib
fragmento	cebisan
fragmento	beling
químicas	kimia
anales	dubur
claustro	cloister
claustro	fakulti
choque	syok
choque	shock
choque	kejut
choque	renjatan
choque	tergendala
choque	clash
azerbaiyán	azerbaijan
azerbaiyán	azerbaijan
comprender	fahami
comprender	understanding
comprender	pengertian
comprender	memahami
comprender	pemahaman
romeo	romeo
auditorio	khalayak
auditorio	penonton
auditorio	auditorium
transmitido	dipancarkan
transmitido	dihantar
eslovaquia	slovakia
afectado	terpengaruh
afectado	terjejas
afectado	dipengaruhi
hablado	dituturkan
círculos	bulatan
entierro	pengebumiannya
entierro	pengebumian
entierro	pengebumian
entierro	funeral
interesado	berminat
claves	kekunci
claves	kekunci
fragata	frigat
narrador	pencerita
narrador	storyteller
unir	join
unir	menyatukan
unir	bersatu
unir	unite
unir	menyatukan
intermedio	pertengahan
luke	luke
hermann	hermann
mayormente	kebanyakannya
colocado	ditempatkan
colocado	diletak
colocado	berkedudukan
colocado	diletak
remo	mendayung
remo	oar
remo	paddle
remo	kayuh
remo	remo
computadoras	komputer
computadoras	komputer
sacrificio	pengorbanan
intenciones	niat
intenciones	niat
promesa	janji
promesa	ikrar
promesa	berikrar
todd	todd
consultar	consult
consultar	berunding
consultar	menanya
consultar	pertanyaan
cilindros	silinder
cilindros	cylinder
cilindros	silinder
walt	walt
belgrado	belgrade
raro	rare
raro	jarang
raro	pelik
baterías	bateri
abuso	penderaan
abuso	penyalahgunaan
receptores	penerima
estrategias	strategi
intersección	persimpangan
intersección	persilangan
intersección	bersilang
aumentando	meningkat
conquistar	conquer
conquistar	menakluki
stuart	stuart
superficies	permukaan
fila	kayuh
natalia	natasha
natalia	natalie
natalia	natalya
natalia	natalia
toque	touch
toque	sentuhan
toque	sentuh
deseos	keinginan
deseos	wishes
deseos	kemahuan
brujas	bruges
continentales	continental
continentales	benua
match	mancis
match	padan
incorporado	berkanun
fiables	dipercayai
enfermo	ili
enfermo	sakit
polar	kutub
polar	polar
polar	hilo
avanzado	advanced
llamas	nyala
llamas	api
llamas	flame
llamas	api
llamas	nyalaan
ortografía	ejaan
ortografía	spelling
away	away
away	jauhnya
caro	caro
caro	mahal
esgrima	berpedang
equipamiento	equipment
equipamiento	peralatan
equipamiento	equipments
óptica	optikal
óptica	optik
óptica	optik
ingredientes	bahan
párrafo	perenggan
pizarro	pizarro
reconocen	iktiraf
reconocen	kenali
reconocen	mengenali
mago	bestari
mago	wizard
mago	magician
mago	mage
mago	mej
sustituir	pengganti
sustituir	geganti
montero	montero
topónimo	toponym
eliminados	dipadam
eliminados	terpadam
eliminados	tersisih
eliminados	dibuang
eliminados	dikeluarkan
extraña	asing
extraña	tersasar
extraña	pelik
wolfgang	wolfgang
amarillas	kuning
asiento	kerusi
asiento	seat
vice	timbalan
vice	naib
liderado	led
slam	banting
computación	computation
computación	pengkomputeran
citada	disaman
alerta	amaran
levantar	lif
levantar	angkat
naturalista	naturalist
osorio	osorio
hawái	hawaii
wide	lebar
wide	luas
amenazada	terancam
amenazada	diancam
amenazada	ugutan
amenazada	mengancam
superado	melebihi
submarinos	submarines
submarinos	selam
susan	susan
estrenado	premiered
turca	turk
turca	halwa
turca	turki
turca	turkish
bailarina	ballerina
bailarina	dancer
bailarina	penari
preparado	preparation
preparado	persiapan
expresó	diungkap
expresó	diungkapkan
borja	borgia
borja	borja
nido	sarang
reemplazar	geganti
fibra	fibre
fibra	gentian
fibra	serat
fibra	gentian
fibra	fiber
colaboraciones	kolaborasi
secuencias	rakaman
secuencias	jujukan
secuencias	turutan
secuencias	jujukan
donación	derma
donación	derma
acontecimiento	peristiwa
acontecimiento	event
acontecimiento	acara
acompaña	menemani
entregar	deliver
olga	olga
cohete	rocket
cohete	roket
vancouver	vancouver
pontevedra	pontevedra
horizonte	ufuk
horizonte	horizon
correos	emel
correos	email
extraordinario	extraordinary
folclore	folklore
prevenir	mencegah
prevenir	mencegah
prevenir	cegah
boliviano	bolivian
cano	cano
romántica	romantik
romántica	romantic
designar	calonkan
designar	pencalonan
derrotados	ditewaskan
derrotados	dikalahkan
derrotados	defeated
compartido	perkongsian
compartido	terkongsi
compartido	dikongsi
compartido	berkongsi
compartido	dikongsikan
fan	peminat
fan	fan
fan	kipas
malas	buruk
malas	teruk
afirmación	penegasan
afirmación	kenyataan
afirmación	statement
afirmación	penyata
sombras	bayang
sombras	bayangan
sombras	bayang
sombras	shadow
sombras	bebayang
sombras	shades
violeta	purple
violeta	violet
itunes	itunes
ácidos	acids
ácidos	asam
ácidos	asid
nicholas	nicholas
rondas	pusingan
rondas	berpeluru
inflorescencia	inflorescence
osvaldo	oswaldo
osvaldo	osvaldo
guayana	guiana
guayana	guyana
inspirada	inspired
inspirada	diinspirasikan
inspirada	diilhamkan
respaldo	backup
respaldo	sokongan
retirar	withdraw
ejes	paksi
ejes	gandar
ejes	paksi
militantes	militan
militantes	militan
militantes	aktivis
oculta	tersorok
oculta	hidden
oculta	disorok
oculta	sorok
oculta	sembunyi
alejandra	alexandra
alejandra	alejandra
helicóptero	helikopter
helicóptero	helikopter
helicóptero	chopper
aplicada	gunaan
aplicada	dilaksana
aplicada	diterapkan
testimonios	testimoni
keith	keith
liberar	memerdekakan
femeninos	feminine
femeninos	feminin
determina	menentukan
incidentes	insiden
incidentes	insiden
nervioso	nervous
nervioso	gementar
irlandesa	irish
irlandesa	ireland
puntas	petua
puntas	tips
infantes	marin
infantes	marines
constantino	konstantin
constantino	constantine
denominaciones	designations
denominaciones	denominations
reflexión	pantulan
pietro	pietro
afición	hobi
again	lagi
again	semula
remodelación	refurbishment
júpiter	musytari
júpiter	jupiter
hurtado	hurtado
justin	justin
jessica	jessica
transferido	dipindahkan
tanzania	tanzania
francisca	françoise
francisca	francisca
zapata	zapata
promovido	dipromosikan
promovido	digalakkan
antofagasta	antofagasta
orbital	orbital
musulmana	muslim
musulmana	muslims
musulmana	muslim
kings	kings
raf	raf
raf	tud
querer	mahukan
querer	mahu
oregón	oregon
ref	ruj
ref	ref
haití	haiti
haití	haiti
pour	tuang
asistentes	atendan
asistentes	kehadiran
asistentes	perserta
asistentes	penghadir
rachel	rachel
novena	kesembilan
ciclos	kitar
ciclos	kitaran
ciclos	kitar
ciclos	kitaran
confluencia	kuala
identifica	kenalpasti
identifica	mengenalpasti
identifica	kenalpasti
identifica	mengenalpasti
cuero	leather
cuero	kulit
corredores	pelumba
corredores	corridors
corredores	koridor
corredores	broker
corredores	pelari
tranvía	tram
tranvía	trolley
tranvía	troli
tranvía	trams
tranvía	tram
escolta	escort
terminales	terminal
terminales	terminal
desfile	perarakan
desfile	parade
levantó	terangkat
masivo	besaran
barras	bar
dublín	dublin
celebraciones	perayaan
celebraciones	perayaan
hispania	hispania
galerías	galeri
artificiales	buatan
piscina	kolam
piscina	pool
clásicas	klasik
tienden	cenderung
patente	paten
patente	paten
nacionalistas	nasionalis
nacionalistas	nasionalis
biografías	biographies
biografías	bios
biografías	biografi
office	pejabat
office	office
prix	prix
chelsea	chelsea
concedido	dihadiahkan
marx	marx
plural	majmuk
plural	jamak
nudos	knots
nudos	knot
nudos	simpulan
nudos	simpul
biológica	biologi
khan	khan
anarquistas	anarkis
anarquistas	anarkis
knight	knight
knight	satria
knight	wira
billetes	tiket
billetes	ticket
billetes	banknote
billetes	banknotes
coreano	korea
organizados	disusun
organizados	tersusun
organizados	terurus
organizados	terancang
organizados	terurus
ecuaciones	persamaan
atacado	menyerang
atacado	diserang
secret	rahsia
privilegios	keistimewaan
privilegios	keistimewaan
empatados	terikat
empatados	diikat
balada	balada
disfrutar	enjoy
mixtas	bercampur
mixtas	campuran
mixtas	mixed
mixtas	dicampur
finaliza	hujung
perfecta	perfect
perfecta	sempurna
guanajuato	guanajuato
átomos	atom
evidencias	bukti
suite	deretan
suite	suite
suite	suit
caracterizado	characterised
detectar	mengesan
detectar	detect
detectar	mengesan
detectar	kesan
incendios	kebakaran
ronald	ronald
mejía	mejía
costos	kos
láser	laser
láser	laser
marsella	marseille
marsella	marseille
adoptar	adopt
islámico	islam
vinculado	terpaut
vinculado	dipautkan
kiss	kiss
conducir	pemacu
conducir	memandu
conducir	pemanduan
conducir	driving
néstor	nestor
néstor	néstor
pirámide	piramid
ecuatorial	equatorial
inscripciones	pendaftaran
inscripciones	pendaftaran
materna	keibuan
eficiente	cekap
álava	álava
humanidades	kemanusiaan
agregado	agregat
agregado	ditambah
agregado	atase
agregado	agregat
algodón	kapas
algodón	cotton
sultán	sultan
saavedra	saavedra
inundaciones	banjir
inundaciones	banjir
inundaciones	banjir
hopkins	hopkins
portland	portland
coronación	pertabalan
coronación	pengecutan
adolf	adolf
inspector	inspektor
calibre	kaliber
calibre	caliber
calibre	calibre
grey	kelabu
grey	grey
terrible	jelik
terrible	mengerikan
terrible	mengerikan
terrible	dasyat
terrible	dahsyat
serbio	serbia
serbio	serbia
action	action
action	tindakan
action	aksi
action	laga
ejecutiva	executive
ejecutiva	eksekutif
checoslovaquia	czechoslovakia
triste	sedih
triste	sad
edita	edit
edita	suntingan
templado	beriklim
templado	tempered
nieves	nieves
nieves	salji
nieves	nevis
arica	arica
maracaibo	maracaibo
mártir	syahid
mártir	syuhadah
frecuencias	frekuensi
frecuencias	frekuensi
frecuencias	kekerapan
luchando	berjuang
luchando	bergelut
luchando	fighting
luchando	bergaduh
luchando	berlawan
germánico	germanic
talk	bincang
talk	bercakap
analizar	menganalisis
analizar	menganalisa
analizar	analisa
cantos	berdikir
cantos	nyanyian
cantos	menyanyi
cantos	bernyanyi
cantos	nyanyian
cantos	lagu
cantos	songs
emplear	employing
benjamín	benjamin
querido	sayang
querido	dear
view	view
plomo	plumbum
plomo	lead
plomo	pimpin
ciudadana	warganegara
ciudadana	citizen
bruja	penyihir
bruja	witch
sudán	sudan
horror	seram
horror	horror
eficacia	kecekapan
eficacia	keberkesanan
eficacia	efficacy
roberts	roberts
creciendo	berkembang
creciendo	membesar
traductor	penterjemah
traductor	penterjemah
traductor	penterjemahan
monroe	monroe
ufc	ufc
supervisión	pemantauan
supervisión	memantau
estudiosos	ulama
rumano	romania
tag	tag
tonos	nada
tonos	tone
tonos	shades
tonos	tona
