occitània	اوکسیتانیا
impressionant	عالی
impressionant	عالیه
falcó	شاهین
falcó	فالکون
adolescència	نوجوانی
adolescència	بلوغ
canterbury	کانتربوری
nebulosa	سحابی
lancaster	لنکستر
robar	دزدیدن
robar	دزدی
papir	پاپیروس
presentador	مجری
dunes	احقاف
vàlid	معتبری
vàlid	معتبر
manila	مانیل
contracció	انقباض
estranya	عجیبی
estranya	عجیب
laborals	کارگری
laborals	کارگر
xic	اونس
mercury	عطارد
mercury	جیوه
mercury	مرکوری
sulfat	سولفات
proposició	گزاره
spencer	اسپنسر
miracles	معجزات
miracles	معجزه
gilles	ژیل
acoblament	کوپلینگ
visions	تصورات
joachim	یواخیم
butxaca	جیبی
butxaca	جیب
interessats	علاقمندی
interessats	علاقه
interessats	علاقمند
arpa	چنگ
ètnica	قومی
ètnica	نژادی
thor	تور
thor	ثور
arias	آریاس
arias	آریس
feixisme	فاشیستی
feixisme	فاشیسم
sabater	کفاش
aquàtics	آبزی
prestar	رض
maxwell	مکسول
maxwell	ماکسول
desconeguts	غریبه
púnica	کارتاژی
indicació	نشانه
bonaventura	بوناونتورا
patrici	پاتریسین
villeneuve	وینو
serena	سرنا
serena	سرینا
pinta	نقاشی
domicili	خانه
domicili	وطن
domicili	خونه
domicili	آغازه
altures	هایتس
borges	بورخس
nad	ناد
alcorà	قرآن
girls	دخترها
girls	دختران
escull	انتخاب
desplegament	استقرار
bayern	بایرن
desitjos	آرزوها
desitjos	میخواهد
desitjos	خواهان
desitjos	طالب
imprescindible	ضروری
guifré	ویلفرد
intestí	روده
jubilació	بازنشستگی
tapa	تاپا
tapa	درپوش
tapa	سرپوش
abús	سوءاستفاده
verde	ورده
verde	ورد
decoracions	تزئینات
flama	شراره
flama	شعله
darrerament	اخیرا
darrerament	جدیدا
bogotà	بوگوتا
parèntesis	پرانتز
promès	engaged
promès	نامزد
tower	تاور
tower	برج
portland	پورتلند
imaginació	تخیلات
imaginació	تخیل
imaginació	تصورات
exponent	ریکورد
sospita	بدگمانی
sospita	ظن
rennes	رن
gregory	گریگوری
gregory	گرگوری
penetració	نفوذ
favorit	محبوب
sint	سینت
westminster	وستمینستر
lorca	لورکا
sex	سکس
sex	جنسیت
sex	جنسی
aeris	هوایی
bioquímica	بیوشیمی
het	هت
monde	monde
unix	یونیکس
sostenible	پایدار
hidalgo	هیدالگو
anníbal	هانیبال
ambaixadors	سفیران
mediació	میانجی
mediació	میانجیگری
certificat	گواهینامه
certificat	گواهی
elefants	فیل
valorar	تعیین
annie	آنی
cola	چسب
cola	کولا
estrès	استرس
estrès	تنش
pelegrins	زائران
pelegrins	حاجیان
edo	ادو
aguirre	آگیره
gènesi	پیدایش
gènesi	جنسیس
cérvol	آهو
cérvol	دیر
cérvol	گوزن
cérvol	آهویی
cérvol	آهوی
pensió	بازنشستگی
nur	nur
nur	نور
cirurgià	جراح
commemoració	یادبود
supermercats	سوپرمارکت
rosegadors	جونده
avec	avec
buda	بودا
duel	دوئل
noche	نوچه
gana	گرسنه
asiàtics	آسیایی
asiàtics	آسیا
erich	اریش
calze	ساغر
lagos	لاگوس
caroline	کرولاین
caroline	کارولین
caroline	کارولاین
reconeixen	شناخت
reconeixen	بشناسید
reconeixen	میشناسند
cruel	ظالم
cruel	ظالمانه
asil	پناهندگی
marín	مارین
eugenio	ائوجنیو
vinculació	پیوند
vinculació	لینک
especificacions	مشخصات
especificacions	مشخصاتی
especificacions	مشخصاتش
hiverns	وینترز
moria	موریا
odi	کینه
odi	بغض
odi	عداوت
odi	نفرت
odi	متنفر
odi	متنفرم
odi	تنفر
odi	نفرت
sensor	سنسور
sensor	حسگر
pereira	پریرا
beisbol	بیسبال
omar	عمر
refracció	انکسار
hèlsinki	هلسینکی
sànscrit	سانسکریت
idaho	آیداهو
messina	مسینا
paxton	پاکستون
líric	lyric
rellotges	ساعتها
rellotges	ساعتهای
sòcol	سوکت
mòdena	مودنا
günther	گونتر
dinar	ناهار
dinar	نهار
calvari	کالواری
constructors	سازندگان
constructors	بنّا
malcolm	مالکوم
sopa	سوپ
coeficients	ضرایب
bressol	گهواره
bressol	مهد
cilícia	کیلیکیه
fuente	فوئنته
manifestants	معترضین
manifestants	معترضان
relativitat	نسبیت
velasco	ولاسکو
foster	فاستر
siècle	siècle
rebuts	فاکتور
mansió	عمارت
dominic	دومینیک
abdomen	بطن
abdomen	شکم
abdomen	شکمش
bolívar	بولیوار
caseta	بوث
caseta	بوت
caseta	باجه
caseta	غرفه
chapman	چپمن
forum	فورم
orlando	اورلاندو
fèrtil	حاصلخیز
curtis	کورتیس
kuwait	کویت
admiració	تحسین
intervals	فواصل
pregària	نماز
pregària	دعا
violent	خشن
violent	خشونت
dunlop	دانلوپ
similituds	شباهت
boulogne	بولون
estimacions	برآورد
elba	البا
diferenciació	مشتق
compositora	songwriter
publicant	نشر
publicant	انتشار
orina	ادرار
aficionat	آماتور
rigor	جمود
llunyà	دوردست
rick	ریک
reprodueix	پخش
reprodueix	بازی
oci	تفریح
oci	تفریحات
jose	جوز
jose	خوزه
demarcació	سرحد
patricia	پاتریشیا
uniformes	یونیفرم
uniformes	یونیفورم
polinèsia	پلینزی
còlera	وبا
encàrrecs	فرمان
encàrrecs	دستورات
encàrrecs	دستور
alexandra	الکساندرا
simbolisme	نماد
penjat	جلاد
explícitament	صریح
int	int
naturalment	طبیعتا
bureau	بیرو
romano	رومانو
midi	midi
comercialització	بازاریابی
comercialització	marketing
negociació	مذاکرات
negociació	مذاکره
luz	لوز
pecat	گناه
pecat	sin
pecat	گناهی
espatlla	شونه
espatlla	شانه
filosòfic	فلسفی
rss	rss
flash	فلش
flash	flash
flash	فلاش
hay	علف
hay	hay
ozó	ازون
ozó	اوزون
giulio	جولیو
sensibles	حساس
sensibles	حساسی
valverde	والورده
despesa	هزینه
elimina	حذف
recomanacions	توصیه
osaka	اوساکا
emirats	امارات
estómac	شکم
estómac	معده
invisible	نامریی
invisible	نامرئی
robatori	سرقت
robatori	دزدی
robatori	سرقت
robatori	دزدی
formigues	مورچه
hell	جهنم
hell	دوزخ
microorganismes	میکروارگانیسمها
vice	وایس
vice	معاون
oda	اودا
oda	غزل
sima	سیما
vincle	باند
vincle	پیوند
lucy	لوسی
conceptual	مفهومی
vintena	بیستمین
paviment	سنگفرش
goes	میرود
coa	کوآ
marion	ماریون
confessions	اعترافات
confessions	اقرار
inflació	تورم
phillips	فیلیپس
hip	باسن
hip	هیپ
fonda	فوندا
vàlvula	دریچه
vàlvula	سوپاپ
alineació	تراز
injecció	آمپول
injecció	تزریق
drap	یائسه
drap	ژنده
recordat	یادش
indicador	شاخص
zhu	ژو
segimon	زیگیسموند
nina	نینا
nina	عروسکی
nina	عروسک
exploradors	جهانگردان
assignació	تخصیص
inflamació	التهاب
dmitri	دمیتری
mamífer	ممل
mamífer	پستانداران
mamífer	پستاندار
esportistes	ورزشکاران
sacra	sacra
àhmad	احمد
àhmad	ahmad
dòlar	دلار
dòlar	دالر
visibilitat	نمایانی
visibilitat	دید
humil	فروتن
humil	حقیر
humil	متواضع
bessons	دوقلوها
bessons	دوقلو
avis	اویز
duke	دیوک
duke	دوک
harmònica	سازدهنی
llavis	لبها
llavis	لب
shaw	شا
shaw	شاو
informal	سرسری
omega	امگا
silici	سیلیکون
dormir	خوابم
dormir	خواب
beirut	بیروت
seguidor	ردیاب
seguidor	ردیابی
tales	داستانها
pepe	پپه
pulmons	ریه
pulmons	ششها
assís	آسیزی
quito	کیتو
sexes	صنف
valentia	شهامت
valentia	شجاعت
valentia	رشادت
valentia	دلیری
valentia	دلیری
valentia	دلاوری
isòtops	ایزوتوپ
isòtops	ایزوتوپهای
dual	دوگانه
dual	دوتایی
somali	سومالی
ucraïnesos	اوکراینیان
gif	gif
gif	گیف
realitzador	director
realitzador	کارگردان
precís	دقیق
justinià	ژوستینیان
boira	مه
mútua	متقابل
mútua	دوطرفه
denúncia	شکایتی
denúncia	شکایت
significats	معانی
deduir	استنباط
dorothy	دورتی
dorothy	دوروتی
cangur	کانگرو
cangur	کانگوروی
cangur	کانگورو
ward	وارد
bicicletes	دوچرخه
lava	گدازه
donna	دونا
cursiva	italics
cursiva	کج
suc	آبمیوه
suc	شربت
gespa	چمن
adrian	ادرین
adrian	آدریان
adrian	آدرین
burton	برتون
burton	بارتون
beaumont	بومانت
pera	پرا
pera	گلابی
comptant	شمردن
comptant	شمارش
jutjar	داوری
jutjar	قاضی
profunds	اعماق
profunds	ژرف
profunds	عمیق
eufrates	فرات
visitat	بازدید
zagreb	زاگرب
bristol	بریستول
porpra	بنفش
porpra	ارغوانی
porpra	زرشکی
sentimental	احساساتی
seient	صندلی
vacuna	واکسن
rolling	غلتان
rolling	رولینگ
preferentment	ترجیحا
seat	صندلی
filmografia	فیلمشناسی
amistós	دوستانه
amistós	خودی
tolkien	تالکین
tresors	ذخایر
tresors	گنجهای
import	مقدار
import	مبلغ
biennal	دوساله
patriòtica	میهنی
allotjament	سازش
allotjament	پذیرایی
allotjament	قرارگاه
gmbh	gmbh
tang	تانگ
tang	تنگ
penals	جنایتکار
penals	مجرم
penals	تبهکار
penals	کیفری
sida	ایدز
escapada	گریز
corresponsal	خبرنگار
simbòlica	نمادی
simbòlica	نمادین
usual	معمول
usual	همیشگی
incapacitat	ناتوانی
vandalisme	خرابکاری
escèniques	نمایشی
criatura	موجودی
criatura	مخلوق
criatura	جانوری
embarassada	آبستن
embarassada	بارداری
embarassada	حامله
embarassada	باردار
belfast	بلفاست
artefactes	آثار
livi	livius
lèxic	قاموس
làmina	آلومینیومی
làmina	فویل
cartera	کیف
agua	اگوا
linnaeus	لینه
ballester	بایستر
píxels	پیکسل
wimbledon	ویمبلدون
aosta	ائوستا
calibre	کالیبر
mut	mut
genet	جوکی
genet	سوارکار
genet	موتورسواری
genet	سوار
airlines	ایرلاینز
airlines	هواپیمایی
ascendent	صعودی
ascendent	عروج
homosexualitat	همجنسگرایی
villar	بییار
ourense	اورنسه
newman	نیومن
cucs	کرمها
cucs	کرمهای
budistes	الرشید
desviació	انحراف
pala	پالا
zhou	ژو
embrió	رویان
embrió	جنین
òlt	olt
sòcrates	سقراط
generalitzada	گسترده
reynolds	رینولدز
nadó	نوزاد
nadó	جیگر
nadó	عزیزم
nadó	بچه
terrorista	تروریست
terrorista	تروریستی
herald	هرالد
dèficit	کسر
dèficit	کسری
càlid	گرم
restricció	محدودیت
restricció	قید
acceptable	پسندیده
acceptable	مقبول
importació	واردات
impossibilitat	ناممکن
niger	نیجر
holocaust	هولوکاست
rajola	کاشی
gonzaga	گونزاگا
miniatura	مینیاتور
botons	دکمه
dens	متراکم
cremat	سوزانده
cremat	سوخته
dimonis	شیاطین
onades	موجی
onades	امواج
onades	موجها
neue	نویه
teodosi	تئودوسیوس
gaetano	گائتانو
liberalisme	لیبرالیسم
similitud	تشبیه
similitud	تشابه
similitud	شباهت
goethe	گوته
mecklenburg	مکلنبورگ
tutor	گاردین
decoratiu	تزئینی
decoratiu	زینتی
tèrmic	گرمایی
tèrmic	حرارتی
sophie	سوفی
harper	هارپر
nizam	نظام
natiu	بومی
orgull	پراید
orgull	غرور
orgull	تکبر
brillantor	روشنی
brillantor	روشنایی
adjectiu	وابسته
adjectiu	صفت
abstracte	انتزاعی
abstracte	چکیده
buffalo	بوفالو
icc	icc
haití	هائیتی
klein	کلین
klein	کلاین
camille	کمیل
camille	کامی
camille	کامیل
rap	rap
rap	رپ
aaron	آرون
rojas	روخاس
intermèdia	میانجی
intermèdia	واسطه
intermèdia	میانی
sequera	خشکسالی
activistes	فعالان
míssil	موشک
míssil	موشکی
lucia	لوسیا
mamelucs	مملوک
amore	amore
citació	استناد
mickey	میکی
radial	شعاعی
christoph	کریستف
christoph	کریستوف
silèsia	سیلزی
arranjaments	تنظیمات
édouard	ادوار
prestacions	فواید
prestacions	منافع
romanç	رمانتیک
romanç	عاشقانه
lluminositat	درخشندگی
lluminositat	تابشی
lluminositat	درخشش
lluminositat	روشنایی
falles	شکست
falles	مردود
clos	کلوس
remix	ریمیکس
puente	پوئنته
classicisme	کلاسیسیسم
fluids	مایعات
vílnius	ویلنیوس
pelegrí	زائر
pelegrí	زائران
ada	ادا
ada	ایدا
ada	آدا
hughes	هیوز
sagunt	سائونتو
suzuki	سوزوکی
fusell	تفنگ
alpí	آلپاین
màscara	نقاب
màscara	ماسک
titus	تایتوس
afinitat	پیوستگی
salari	حقوق
creativa	خلاق
creativa	خلاقانه
creativa	خلاقیت
directrius	دستورالعملهای
directrius	دستورالعملها
directrius	رهنمودهای
karen	کرن
karen	کارن
pensaments	افکار
pensaments	افکارش
sancho	سانچو
fraccions	کسر
montes	منتس
bruixa	جادوگر
bruixa	جادوگری
imminent	قریب
tempo	تمپو
tempo	ضرب
zhao	ژائو
palacio	پالاسیو
metà	متان
xilè	شیلی
bretagne	برتاین
préstec	قرض
préstec	وام
socors	امداد
shan	shan
prieto	پریتو
generador	مولد
generador	زا
generador	ژنراتور
uzbekistan	ازبکستان
geògraf	جغرافیدان
elaborada	استادانه
derivació	مشتق
passi	گذری
passi	مجالس
passi	گذر
passi	عبور
passi	پاس
esquirol	سنجاب
heròdot	هرودوت
modernitat	مدرنیته
camisa	پیراهن
elies	الیاس
elies	الایژا
diferenciades	متمایز
preludi	prelude
hussein	حسین
votacions	رای
votacions	رأی
votacions	رای
fermentació	تخمیر
preferit	محبوب
beatles	بیتلز
piràmides	هرم
piràmides	اهرام
nationale	ناسیونال
freud	فروید
whitehead	وایتهد
lotus	لوتوس
lotus	نیلوفر
elst	الست
feix	پرگار
feix	پرتو
gaza	غزه
inundació	سیل
qatar	قطر
orgànic	آلی
orgànic	ارگانیک
abolir	برانداختن
murat	مراد
murat	مورات
millorant	شفای
millorant	درمانی
millorant	شفا
millorant	درمان
nasr	نصر
gestiona	مدیریت
destacament	فوج
kassel	کاسل
validesa	اعتبار
concepción	کنسپسیون
enviament	فرستادن
enviament	ارسال
enviament	محموله
afecte	محبت
afecte	عاطفه
afecte	مهربانی
emil	امیل
