dead	surnud
dean	dekaan
terry	terry
agricultors	talunikud
agricultors	talupidajad
agricultors	põllumajandustootjate
pub	pubi
aprova	kiidab
mausoleu	mausoleum
experimentat	kogetud
experimentat	kogenud
berna	bern
myanmar	myanmari
tàctica	taktika
redactat	koostatud
discriminació	diskrimineerimine
despatx	kontor
despatx	büroo
despatx	kabinet
haydn	haydn
roche	roche
atur	tööpuudus
atur	töötus
excursionista	matkaja
bous	pullid
six	kuus
esportista	sportlane
esportista	jock
sediments	setted
sediments	sette
màgic	maagiline
màgic	maagilised
neboda	õetütar
neboda	vennatütar
obtinguda	saadud
docència	õpetamine
docència	õpetamise
pràctic	praktiline
pràctic	praktilised
prioritat	prioriteet
proc	proc
romeu	romeo
junior	juunior
junior	junior
consecutius	järjestikuse
randall	randall
demòcrates	demokraadid
complicat	keeruline
complicat	komplitseeritud
octavi	octavius
mayo	majonees
laboratoris	laborid
laboratoris	laborid
distribueix	jaotada
libre	libre
connectat	ühendatud
donats	annetatud
jordà	jordan
jordà	jordaania
definides	defineeritud
definides	määratletud
suïcidi	enesetapp
alger	alžiir
boxa	poks
boxa	poksi
lleials	ustav
lleials	lojaalsed
lleials	lojaalne
magnus	magnus
austin	austin
tramvia	trammi
tramvia	tramm
rajoles	tellised
riscos	riske
riscos	riskid
biològic	bioloogiline
biològic	bioloogilised
anuncis	reklaamid
anuncis	reklaame
belle	belle
rondes	raundi
musell	koonu
kate	kate
edmund	edmund
coordinador	koordinaator
clarke	clarke
roosevelt	roosevelt
coeficient	koefitsient
clarinet	klarnet
lectures	näidud
màlik	malik
admet	tunnistab
tommy	tommy
edwards	edwards
kenneth	kenneth
linda	linda
arle	arles
aureli	aurelius
llegit	loe
llegit	lugemine
llegit	loetud
secà	kuivaks
secà	kuivad
secà	kuiv
neutralitat	neutraalsuse
neutralitat	erapooletus
chelsea	chelsea
che	che
nutrients	toitainete
modernització	moderniseerimine
modernització	moderniseerimine
modernització	moderniseerimise
alçària	kõrgus
brooks	brooks
bremen	bremen
eco	kaja
tempestes	tormid
vulgar	vulgaarne
antenes	antennid
antenes	antennid
antenes	antenn
antenes	antennid
cameron	cameron
seattle	seattle
nuremberg	nürnbergi
batre	rehe
justificar	õigustada
julie	julie
euskadi	euskadi
reed	reed
verbs	tegusõnad
tambor	trumm
tambor	trummi
diamant	diamond
diamant	teemant
banyes	sarved
estrabó	strabo
mensual	igakuine
cometes	komeedid
collita	saagi
collita	lõikus
collita	saak
preferència	eelistus
certesa	kindlus
domínguez	dominguez
exercicis	harjutusi
exercicis	harjutused
pantalles	ekraanid
armadura	turvis
armadura	turvis
guardó	auhind
sac	sac
trajecte	rännak
trajecte	teekond
trajecte	reis
inclús	isegi
incerta	ebakindlad
incerta	ebakindel
walt	walt
malauradament	kahjuks
rata	rat
rata	rott
cleveland	cleveland
parcials	osaline
rogers	rogers
monja	nunna
monja	nunn
rumb	kurss
rumb	kursus
emocional	emotsionaalne
clergues	vaimulikud
fai	fai
motocicleta	mootorratas
motocicleta	mootorratta
ferida	haava
ferida	haav
bricolatge	diy
integritat	terviklikkus
integritat	ausus
integritat	terviklikkuse
novè	üheksanda
novè	üheksas
rossi	rossi
stefano	stefano
annex	lisa
homosexuals	homoseksuaalide
policies	politseinikud
bang	pauk
bang	paugu
protegeix	kaitseb
esperits	vaimud
esperits	hinged
dna	dna
porcs	sigu
porcs	sead
jennifer	jennifer
tarn	tarn
euler	euleri
monstre	koletis
monstre	monster
robot	robot
enrico	enrico
perry	perry
polzades	tolli
rugby	ragbi
kurds	kurde
kurds	kurdid
murcia	murcia
aziz	aziz
invasors	sissetungijad
edu	edu
apache	apache
desambiguació	täpsustus
fletxes	nooled
inestabilitat	ebastabiilsus
moisès	mooses
moisès	moses
matrius	maatriksite
andrews	andrews
mecenes	patroonid
luca	luca
sallent	püreneedes
representades	esindas
representades	esindatud
filharmònica	filharmoonia
distribuïda	jaotatud
conde	conde
ocupacions	ametid
gérard	gérard
tirà	türann
mentals	haige
curiositat	uudishimu
funcionals	funktsionaalsed
funcionals	funktsionaalne
evacuació	evakueerimine
preparats	valmis
compacte	kompaktne
definits	defineeritud
definits	määratletud
terminologia	terminoloogia
holmes	holmes
saviesa	tarkust
saviesa	tarkus
instant	kohene
hitchcock	hitchcock
dakar	dakar
cristòfor	christopher
buida	tühi
buida	tühjad
cineasta	filmitegija
brill	brill
corals	korallid
indicat	näidatud
indicat	näidustatud
hongaresos	ungarlased
àliga	eagle
àliga	kotkas
wyoming	wyomingi
head	pea
balanç	saldo
balanç	tasakaalu
balanç	tasakaal
balanç	bilanss
allan	allan
cintes	linte
cintes	lindid
multiplicació	korrutamine
pistola	püstol
pistola	püss
pistola	relv
ares	ares
pontevedra	pontevedra
murphy	murphy
humanista	humanist
gustau	gustav
trek	treki
setmanal	nädalane
setmanal	nädalas
setmanal	iganädalane
forster	forster
allargada	piklikud
ariel	ariel
conclusions	järeldused
guadalupe	guadalupe
guadalupe	guadeloupe
cera	vaha
abdul	abdul
catalan	katalaani
singles	vallalised
renault	renault
esquelet	skeleti
esquelet	luukere
sidney	sidney
ted	ted
depredadors	kiskjad
criticat	kritiseeris
dinosaure	dinosaurused
klaus	klaus
aïllades	isoleeritud
aïllades	eraldatud
protons	prootonid
cadàver	laiba
cadàver	laip
anant	läheb
anant	going
anant	minek
gnu	gnu
adreces	aadressid
mortalitat	suremus
acústica	akustika
xat	vestlus
etiquetes	sildid
etiquetes	märgised
etiquetes	sildid
regals	kingid
regals	kingitused
droga	narkootikum
droga	uimasti
còdex	codex
còdex	koodeks
verbal	suuline
càpsula	kapsel
pacífica	rahulik
pacífica	rahumeelne
sands	liivad
virtuts	voorused
acompanyant	kaaslaseks
acompanyant	kaaslane
filippo	filippo
simbòlic	sümboolne
emmanuel	emmanuel
recipient	konteiner
recipient	mahuti
blake	blake
prestigiós	prestiižne
cables	juhtmed
cables	kaablid
enquesta	küsitlus
enquesta	ülevaatus
enquesta	uuring
hindú	hindu
legalment	juriidiliselt
legalment	legaalselt
legalment	seaduslikult
legalment	õiguslikult
concessions	soodustused
pirata	piraat
mat	mate
baralla	teki
baralla	tekk
bystrica	bystrica
operadors	operaatorid
operadors	ettevõtjad
birmingham	birminghami
cometre	sooritada
gustavo	gustavo
mao	mao
manipulació	manipuleerimine
equipat	varustatud
pètals	kroonlehed
mann	mann
activació	aktiveerimine
activació	aktiveerimise
batman	batman
batman	batmani
abbas	abbas
absolutament	absoluutselt
tàctiques	taktika
membranes	membraanide
forns	ahjud
carol	carol
mhz	mhz
comprat	ostetud
comprat	ostsid
comprat	ostis
luc	luc
llosa	llosa
hindús	hindud
regadiu	niisutus
inventat	leiutatud
inventat	leiutas
guineu	rebane
guineu	rebase
guineu	fox
adolescents	teismelised
adolescents	teismelised
colón	colón
pertinença	liikmeks
ernesto	ernesto
bautista	bautista
mínims	minimaalne
deutes	võlad
tecla	võtme
tecla	key
tecla	võti
disponibilitat	kättesaadavuse
disponibilitat	kättesaadavus
exclusiu	eksklusiivne
owen	owen
panells	paneelid
cendres	tuhk
decrets	dekreedid
divorci	lahutus
votat	hääletati
votat	hääletasid
votat	hääletanud
votat	hääletas
obediència	kuulekuse
ànec	part
bertrand	bertrand
michele	michele
jesuïta	jesuiit
ibèria	iberia
estricte	range
estricte	ranged
zàmbia	sambia
transferit	ülekantud
reflectir	kajastada
reflectir	peegelda
cresta	vapi
motos	rattad
auckland	auckland
arqueòleg	arheoloog
clinton	clinton
toc	torgata
togo	togo
geomètrica	geomeetriline
geomètrica	geomeetria
potencials	potentsiaal
potencials	potentsiaali
sufix	sufiks
editorials	kirjastajad
respiració	hingamine
respiració	hingamise
respiració	hingamist
respiració	hingab
implicació	kaasamine
implicació	kaasatus
esa	esa
tortugues	kilpkonnad
franciscà	frantsiskaani
villers	villers
gest	žest
vàlida	kehtiv
vàlida	kehtib
regula	reguleeritakse
regula	reguleerib
kazan	kaasani
bartolomé	bartholomew
her	teda
her	tema
magnesi	magneesiumi
magnesi	magneesium
bruixes	nõiad
cascada	cascade
cascada	kose
cascada	juga
debilitat	nõrkus
baríton	bariton
munició	laskemoon
munició	laskemoona
rem	rem
aliances	liidud
tokyo	tokyo
delgado	delgado
vermont	vermonti
signa	märk
terrorisme	terrorism
christophe	christophe
reformada	reformitud
false	väär
glacera	liustik
seriosament	tõsiselt
desè	kümnes
craig	craig
fonament	sihtasutus
fonament	fond
fonament	vundament
ornamentals	dekoratiivsed
dominique	dominique
txad	tšaadi
txad	chad
flames	leegid
cava	kaevata
cava	kaeva
cava	cava
dem	dem
gay	gei
gay	homo
gay	gay
corb	vares
corb	ronk
corb	raven
ratlles	triip
picada	tükeldatud
picada	hakitud
facin	hagan
gras	gras
aeronaus	lennukid
aeronaus	õhusõidukid
aeronaus	õhusõiduk
boeing	boeing
periòdics	ajalehed
ritmes	rütmid
tèxtils	tekstiil
tèxtils	tekstiili
computació	informaatika
promou	edendab
alberta	alberta
aranyes	ämblikud
nicola	nicola
bala	kuuli
bala	kuul
exposats	paljastatud
puresa	puhtus
papallona	liblikas
filtres	filtrid
perspectives	perspektiive
laguna	laguna
aula	klassiruumi
aula	aula
confirmació	kinnitus
baixada	laskumine
verdures	köögivili
verdures	köögiviljad
verdures	juurviljad
dom	dom
àlex	alex
tasmània	tasmaania
escalar	roni
escalar	ronida
centrale	centrale
geni	geenius
doi	doi
serps	maod
manuals	käsiraamatud
libèria	libeeria
periòdica	perioodilised
basili	basil
coreà	korea
substitut	asendus
retòrica	retoorika
neptú	neptuun
