kaukė	mask
transplantacijos	transplant
suprojektuoti	designed
ling	ling
agata	agatha
maribor	maribor
filippo	filippo
jodo	iodine
plėšikas	robber
elamitų	elamite
margo	margo
senatoriai	senators
torre	torre
leideno	leiden
rodrigo	rodrigo
trombocitų	platelet
dialogas	dialogue
dialogas	dialog
karosai	bream
sustojimo	staging
burnley	burnley
franklinas	franklin
ūminis	acute
riešo	twist
maršrutą	routing
arx	arx
uoga	berry
drupal	drupal
ajutajos	ayutthaya
plunksna	feather
myliu	love
gfdl	gfdl
marcelo	marcelo
vale	vale
mic	mic
kepimo	baking
wrexham	wrexham
apeiti	circumvent
apeiti	circumvented
apeiti	bypass
padangas	tires
padėjėjai	assistants
švente	celebration
investuotojas	investor
eile	lane
zeitung	zeitung
epitelis	epithelium
puna	puna
huritų	hurrian
karikatūristas	cartoonist
bulių	bulls
herodotas	herodotus
naminė	tawny
žandarai	gendarmes
reda	reda
ego	ego
krūtų	breast
krūtų	breasts
niutonas	newton
bebrai	beavers
minaretas	minaret
biotechnologijos	biotechnology
gražios	lovely
diplomatija	diplomacy
draugiškas	friendly
draugiškas	amicable
fin	fin
indukcijos	induction
agentūrų	joints
