and	и
stars	звезды
accounts	счета
accounts	счетов
accounts	аккаунты
appearance	появление
appearance	внешность
asian	азиатская
asian	азиатские
asian	азии
asian	азиатский
asked	спрашивает
asked	спросил
asked	спросили
asked	спросила
friends	друзей
friends	друзья
kind	добрая
financial	финансовых
financial	финансы
financial	финансовая
financial	финансовые
entry	въезд
entry	въезда
asia	азии
asia	азия
asia	asia
meaning	значение
meaning	смысл
actress	актриса
map	карта
map	карту
intended	предназначенных
bishop	слон
bishop	бишоп
bishop	епископ
boston	бостон
rate	ставка
rate	оцените
literature	литература
forest	леса
forest	лесных
forest	лес
voice	голос
jack	джэк
jack	джек
pre	пре
justice	правосудия
justice	справедливость
justice	правосудие
champion	чемпион
double	двойная
double	двойное
double	двойной
double	двойные
polish	польская
polish	польши
polish	польский
numbers	цифры
numbers	номера
numbers	числа
columbia	колумбия
columbia	колумбийский
temple	храм
defeated	поражение
defeated	победил
administration	администрация
ended	закончилось
ended	закончилась
ended	закончился
claims	претензии
jones	джонс
parish	приход
parish	волость
israel	израиль
actors	субъектов
actors	актеры
sister	сестра
nine	девять
nine	nine
scored	забил
scored	набрал
table	стол
table	таблица
attended	присутствовала
attended	присутствовали
pop	поп
pop	pop
newspaper	газету
newspaper	газета
newspaper	газеты
friend	друг
friend	друга
friend	подруга
unknown	неизвестное
unknown	неизвестный
unknown	неизвестно
unknown	неизвестная
unknown	неизвестен
winner	победитель
chart	диаграмма
initially	изначально
initially	первоначально
loss	потери
loss	потеря
loss	утрата
sites	сайты
sites	сайтов
starting	начало
starting	начинаю
starting	начиная
architecture	архитектура
architecture	архитектуры
relations	отношений
relations	отношения
supported	поддерживаемые
supported	поддерживается
supported	поддержал
supported	поддерживаются
tracks	треки
tracks	дорожки
tracks	следы
contract	контракт
face	лицом
face	лицо
directly	напрямую
directly	непосредственно
spent	потратил
spent	провел
girl	девочка
girl	girl
girl	девчонка
girl	девушка
clearly	явно
junior	младшие
junior	джуниор
junior	младший
francisco	франциско
francisco	франсиско
politics	политики
politics	политика
presented	представил
mar	мар
cause	причиной
cause	причина
volume	объём
volume	объем
volume	громкость
tom	том
flight	полёт
flight	бегство
flight	перелет
flight	полет
flight	рейс
candidate	кандидат
matches	матчи
matches	совпадения
matches	спички
claimed	утверждал
except	кроме
oil	нефти
oil	нефть
oil	масло
assistant	ассистент
assistant	помощник
surface	поверхность
surface	поверхности
regiment	полк
regiment	полка
stories	истории
stories	рассказы
gets	получает
speedy	скорейшего
weeks	недели
weeks	недель
listing	листинг
allow	разрешить
branch	сектор
branch	ветвь
branch	филиал
retired	отставке
communities	сообщества
communities	общины
train	поезд
paper	бумага
paper	бумаги
provides	обеспечивает
provides	предоставляет
remains	останки
victoria	victoria
victoria	виктория
metal	металла
metal	метал
metal	metal
metal	металлические
metal	металл
wrong	неправильный
wrong	неправильно
wrong	неверно
direct	прямая
direct	direct
direct	прямые
direct	директ
frank	франк
frank	фрэнк
miles	майлс
miles	мили
miles	миль
miles	майлз
blocked	заблокирован
blocked	заблокирована
blocked	заблокированы
launched	запущен
launched	запущена
mass	массе
mass	массового
mass	масса
chairman	председателю
chairman	председателя
chairman	председатель
comedy	комедии
comedy	комедия
relationship	взаимосвязь
relationship	взаимоотношения
relationship	отношения
knowledge	знания
knowledge	знание
format	формат
creek	крик
creek	ручей
meeting	собрание
meeting	заседание
meeting	совещание
meeting	встреча
officers	офицеры
draft	черновик
draft	проект
draft	драфт
fight	бой
fight	драка
figure	фигура
figure	диаграмма
figure	рисунок
figure	цифра
faculty	преподаватели
faculty	факультет
camp	кэмп
camp	лагерь
ran	побежал
variety	разнообразие
variety	разновидность
variety	разновидности
owner	хозяин
owner	владельца
owner	владелец
statistics	статистика
raised	подняли
raised	поднял
raised	поднятые
raised	поднят
heavy	тяжелых
heavy	тяжелая
heavy	тяжелые
heavy	тяжёлая
heavy	тяжелый
heavy	тяжёлый
alexander	александр
alexander	александер
alone	одна
alone	одни
alone	один
understand	пойми
understand	понимаю
understand	понять
episodes	эпизодов
episodes	серий
gives	даёт
gives	дарит
gives	дает
daily	ежедневная
daily	daily
daily	ежедневно
daily	ежедневный
williams	вильямс
williams	уильямс
latin	латинской
latin	латинская
completely	полностью
completely	совершенно
products	товары
products	продукция
products	изделия
products	продукты
dark	тёмный
dark	темно
dark	dark
dark	темная
dark	темноте
dark	тёмная
attention	вниманию
attention	внимание
religion	религии
religion	религия
mind	разум
mind	ум
oppose	противостоять
corps	корпус
corps	корпуса
administrative	административные
administrative	административная
cut	сократить
cut	вырезать
cut	снято
scott	скотт
scott	скот
becoming	становясь
becoming	став
footballer	футболист
jean	жан
jean	джин
mayor	мэр
pro	профи
pro	pro
beach	пляж
beach	пляже
beach	beach
beach	бич
descent	спуск
nearly	почти
leaving	оставляя
leaving	ухожу
leaving	оставив
cast	бросили
territory	территория
write	напиши
write	пиши
write	пишите
write	напишите
write	написать
towns	города
towns	городах
forms	бланки
forms	форм
forms	формы
forms	формах
joe	джо
inside	внутри
inside	изнутри
inside	внутрь
wanted	разыскивается
wanted	хотел
wanted	хотела
solid	твердое
solid	твердый
solid	твердых
solid	твердые
individuals	лиц
authority	авторитет
authority	полномочия
mention	упомянуть
mention	упоминание
projects	проекты
projects	проектов
del	дель
del	del
continue	продолжить
continue	продолжаем
continue	продолжать
cost	цена
cost	стоимость
cost	затраты
vice	порок
vice	вице
drive	водить
drive	драйв
drive	привод
drive	drive
notice	уведомление
notice	извещение
johnson	джонсон
forced	принудительный
forced	принудительные
forced	принудительного
looks	выглядит
looks	смотрится
reasons	причины
job	работа
photo	фотография
photo	фото
hope	надеюсь
hope	хоуп
hope	надежда
hope	надеемся
log	журнал
parents	родители
parents	родителям
parents	родителей
entered	вступил
mike	майк
mike	майка
basic	базовые
basic	основные
basic	базовый
basic	базовая
basic	basic
scientific	научный
scientific	научная
scientific	научное
amount	сумма
spring	spring
spring	весна
spring	весенний
oxford	оксфорд
kong	конг
opera	opera
opera	опера
tried	пытался
tried	пробовал
tried	пробовали
tried	попытался
tried	пытались
critical	критическая
critical	критические
critical	критическое
critical	критический
simple	простой
simple	простое
simple	простая
simple	простые
founder	основатель
founder	основателя
hong	хун
hong	хон
told	рассказал
husband	муж
useful	полезная
useful	полезное
useful	полезный
useful	полезно
useful	полезные
technical	технические
technical	техническое
technical	технический
necessary	необходимо
necessary	необходимая
necessary	необходимые
necessary	необходимое
necessary	необходимый
believed	верила
believed	поверил
believed	поверила
believed	верил
mountains	горы
importance	важность
musicians	музыкантов
musicians	музыканты
hotel	hotel
hotel	отель
hotel	гостиница
girls	девчонки
girls	girls
girls	девушки
girls	девочки
girls	девочек
crew	экипаж
crew	команда
crew	экипажа
feb	февраля
feb	февраль
boy	мальчик
boy	парень
boy	boy
ontario	онтарио
nation	нация
nation	нации
defense	защита
defense	оборона
defense	обороны
wiki	wiki
wiki	вики
champions	чемпионов
champions	чемпионы
golden	золотая
golden	золотые
golden	золотой
golden	golden
districts	округа
districts	районах
districts	районы
districts	округов
faith	вере
faith	веру
faith	вера
racing	гонки
racing	racing
racing	скачки
auto	auto
auto	авто
lives	живёт
lives	жизней
lives	живет
lives	жизни
swedish	шведский
swedish	шведское
swedish	шведская
swedish	швеции
hot	горячие
hot	hot
hot	жарко
hot	горячо
hot	горячая
entertainment	развлечения
entertainment	развлечение
entertainment	entertainment
net	нетто
net	net
net	чистый
soccer	футбол
creation	создание
creation	создания
creation	сотворение
product	произведение
product	продукта
product	изделие
product	товар
product	продукт
tower	башня
tower	tower
tower	тауэр
votes	голоса
votes	голосов
squadron	эскадрилья
contemporary	современный
contemporary	современные
contemporary	современная
contemporary	современных
contemporary	современное
subsequently	впоследствии
focus	фокус
focus	сфокусироваться
focus	сконцентрироваться
focus	внимание
marriage	брак
marriage	браки
questions	вопросы
details	детали
details	подробности
forward	вперед
forward	вперёд
memorial	мемориал
peace	мира
peace	мир
iran	иран
korea	корея
korea	корее
analysis	анализа
analysis	анализ
winners	победителей
winners	победители
poor	бедные
poor	бедный
poor	бедная
poor	бедных
grade	классе
cricket	крикет
judge	судья
electric	электрический
electric	электрик
electric	electric
electric	электрическая
corporation	corporation
corporation	корпорация
corporation	корпорации
hold	держать
hold	держите
campus	кампуса
campus	кампус
brazil	бразилия
brazil	бразилию
brazil	бразилии
chris	крис
beyond	помимо
fifth	пятый
fifth	пятой
fifth	пятая
fifth	пятое
increase	увеличить
increase	увеличение
summary	резюме
summary	сводка
remaining	оставшийся
remaining	оставшихся
remaining	оставшиеся
remaining	осталось
remaining	остающиеся
statement	ведомость
statement	заявление
broadcast	трансляция
broadcast	трансляции
broadcast	вещание
getting	получаю
getting	получаем
getting	получение
piano	фортепиано
piano	рояль
piano	пианино
des	des
novels	романов
novels	романы
serving	служение
hour	час
moving	переезд
moving	перемещение
moving	двигаться
resolution	разрешение
resolution	резолюция
concept	понятие
concept	концепция
alternative	альтернатива
brothers	братья
brothers	brothers
attacks	атаки
attacks	нападений
attacks	нападения
attacks	нападки
encyclopedia	энциклопедия
republican	республиканцы
republican	республиканский
republican	республиканской
representatives	представителям
representatives	представителей
representatives	представители
politicians	политиков
politicians	политики
difficult	трудно
difficult	трудное
difficult	сложно
difficult	трудный
ability	умение
ability	способность
studied	изучал
studied	изучил
studied	учился
studied	изучен
studied	училась
host	принимающих
host	принимающая
wall	стена
wall	стене
wall	уолл
immediately	немедленно
immediately	незамедлительно
urban	городское
urban	городские
urban	городских
pakistan	пакистана
pakistan	пакистан
marine	морские
marine	морской
marine	морская
physical	физическая
physical	физический
physical	физические
physical	физической
physical	физическое
dec	дек
dec	декабрь
troops	войска
interview	собеседование
interview	интервью
interview	беседа
coming	иду
coming	предстоящие
semi	полу
suggest	предложите
suggest	предложить
suggest	предлагать
suggest	рекомендовать
emperor	император
letter	буква
letter	письмо
couple	пара
couple	парочку
couple	пару
couple	парочка
duke	герцог
duke	дюк
tell	рассказать
tell	расскажите
gallery	галерея
gallery	галерею
gallery	галереи
follow	follow
follow	подписаться
windows	windows
windows	окна
tree	дерево
hits	hits
jazz	джаз
protection	защита
protection	охрана
relevant	актуально
relevant	соответствующих
count	граф
count	считать
situation	ситуация
situation	положение
reviews	обзоры
reviews	обзоров
reviews	отзывы
containing	содержащий
containing	содержащие
containing	содержащих
containing	содержащая
classical	классические
classical	классическая
classical	классический
classical	классика
classical	классической
offered	предложил
lady	lady
lady	дама
lady	леди
netherlands	нидерланды
netherlands	нидерландов
reports	отчеты
reports	доклады
influence	влияние
address	адреса
address	адрес
linear	линейной
consider	рассмотрим
consider	рассмотреть
machine	machine
machine	машина
machine	аппарат
domain	домен
domain	домена
elements	элементы
minnesota	миннесота
minnesota	миннесоты
types	типы
types	типов
types	виды
nov	ноябрь
nov	ноя
serve	подавать
serve	служить
sydney	сидни
sydney	сидней
ministry	министерство
blood	кровь
blood	blood
blood	крови
distance	расстояние
bottom	низ
bottom	снизу
bottom	дно
giving	даю
giving	отдаю
boys	парни
boys	мальчики
boys	мальчишки
boys	boys
boys	мальчиков
potential	потенциал
potential	потенциальная
toronto	торонто
infantry	пехотный
infantry	пехоты
jun	чжун
formerly	ранее
oct	октябрь
oct	октября
conflict	конфликт
conflict	конфликты
conflict	коллизия
workers	трудящиеся
workers	работники
workers	рабочие
workers	работников
workers	трудящихся
steve	стива
steve	стив
philadelphia	филадельфии
helped	помогло
helped	помогли
helped	помог
helped	помогла
der	дер
nationality	гражданство
nationality	национальность
nationality	гражданства
dispute	спор
dispute	споры
dispute	спора
scene	сцена
method	способ
method	метод
titles	заголовки
titles	названия
berlin	берлин
conditions	условия
arms	оружие
arms	вооружений
arms	руки
races	гонки
maybe	может
maybe	возможно
discovered	обнаружен
discovered	обнаружена
discovered	обнаружил
discovered	обнаружено
discovered	обнаруженные
iron	железа
iron	утюг
iron	железо
iron	железный
extended	расширенный
extended	расширенная
extended	расширенное
extended	продлен
churches	церквей
churches	церкви
positive	положительные
positive	положительно
positive	позитивная
positive	положительный
positive	позитивные
santa	санту
santa	санта
nom	nom
nom	ном
imperial	imperial
composed	состоящие
ball	бал
ball	шар
ball	мяч
width	ширина
width	ширину
quickly	быстро
correct	правильно
correct	исправить
correct	правильное
correct	правильный
responsible	ответственное
responsible	ответственные
responsible	ответственная
responsible	ответственный
possibly	возможно
indiana	индиана
soldiers	солдаты
soldiers	солдат
examples	примеры
korean	корейском
korean	корейский
korean	корейская
genre	жанр
fish	рыбка
fish	рыба
fish	рыбы
senate	сенат
senate	сенате
effects	последствия
effects	эффекты
gun	пистолет
gun	пушка
gun	оружие
gun	ствол
check	проверьте
check	чек
check	проверка
check	проверить
appearances	внешность
plans	планы
renamed	переименован
renamed	переименована
sign	подписать
sign	знак
reporting	отчетность
sweden	швеции
sweden	швеция
heritage	наследие
heritage	наследия
tag	tag
tag	метки
tag	метка
tag	отметить
doctor	доктор
doctor	врач
leaders	лидеров
leaders	лидеры
leaders	руководители
lies	ложь
inc	inc
rivers	реки
rivers	рек
crime	преступность
crime	преступления
crime	преступление
liberal	либеральной
stand	стенд
stand	стоять
bob	боб
bob	боба
existing	существующие
existing	существующая
existing	существующее
existing	существующий
publishing	издательство
publishing	публикация
industrial	промышленный
industrial	промышленные
industrial	промышленных
answer	отвечайте
answer	ответ
answer	ответить
split	сплит
split	раскол
split	разделить
apr	апр
sex	секс
mixed	смешанных
mixed	смешанная
mixed	смешанные
mixed	смешанный
acting	исполняющий
personnel	персонал
rail	железнодорожные
rail	железнодорожных
rail	железнодорожный
die	умри
die	умереть
die	die
premier	премьера
premier	премьер
approach	подход
wisconsin	висконсин
sentence	приговор
sentence	предложение
root	рут
root	корень
standards	нормы
standards	стандарты
comics	comics
comics	комиксы
comics	комикс
earned	заработал
earned	заслужил
earned	заработали
earned	заработала
miss	мисс
miss	miss
specifically	конкретно
horse	лошадь
horse	лошадка
horse	конь
contributions	взносы
contributions	вклады
contributions	вклад
lieutenant	лейтенант
wood	дерево
wood	древесина
wood	вуд
wood	дрова
wood	древесины
plants	растения
initial	первоначальные
initial	первоначальный
initial	первоначального
initial	начальная
initial	первоначальная
initial	начальный
origin	происхождение
origin	происхождения
environment	окружение
pretty	довольно
pretty	красивая
rank	ранг
rank	звание
rank	ранга
bus	автобус
gas	газа
gas	бензин
gas	газ
direction	направление
guide	проводник
guide	гид
guide	руководства
guide	руководство
resources	ресурсы
accepted	принят
accepted	принята
accepted	приняты
accepted	принято
animals	животные
animals	животных
animals	звери
activity	активность
activity	действия
activity	деятельность
levels	уровни
levels	уровень
levels	уровней
laws	законов
laws	законы
jim	джим
creating	создание
cambridge	кембридж
composer	композитор
remove	убрать
remove	удалить
agency	учреждение
agency	агентства
agency	агенство
agency	агентство
reserve	резерв
reserve	резерва
atlantic	атлантик
atlantic	атлантике
supreme	верховный
supreme	высшая
supreme	высший
weight	вес
ask	спроси
ask	спросить
ask	спросите
fighting	бои
jackson	джексон
widely	широко
rose	роуз
rose	роза
rose	роз
operating	операционная
treatment	лечение
treatment	обращение
linked	связанный
linked	связанные
andrew	эндрю
andrew	андрей
expanded	расширенная
expanded	расширенный
expanded	расширена
daniel	дэниэл
daniel	дэниел
daniel	даниель
daniel	даниэль
info	информация
info	info
info	инфо
sciences	наук
sciences	науки
fame	известность
fame	славы
fame	слава
fame	славу
everything	все
everything	всё
avenue	проспект
avenue	avenue
avenue	авеню
travel	поездки
travel	проезд
travel	путешествия
travel	путешествие
scale	масштаб
scale	шкалы
scale	шкала
scale	масштабы
break	сломать
break	перерыв
oregon	орегон
housing	жилье
capacity	вместимость
capacity	емкость
capacity	способность
capacity	потенциал
capacity	потенциала
#efefef	#efefef
fictional	вымышленный
exchange	биржа
exchange	обмен
exchange	exchange
actions	действия
actions	меры
typically	обычно
settlement	урегулирование
settlement	поселение
settlement	урегулирования
agreement	соглашение
translation	перевод
males	мужчины
males	самцы
males	мужчин
kansas	канзас
managed	управляемый
managed	удалось
managed	управляемые
bring	принести
bring	привести
charge	обвинение
charge	заряд
dedicated	посвященный
dedicated	выделенный
estate	поместье
nearby	неподалеку
nearby	рядом
nearby	поблизости
residents	жителей
residents	резиденты
residents	жители
piece	кусочек
piece	кусок
growth	роста
growth	рост
trust	доверие
trust	доверять
trust	довериться
applied	применяется
applied	прикладной
drums	бочки
drums	барабаны
issued	выпущено
issued	издан
issued	выдано
issued	изданы
murder	убийства
murder	убийство
normal	нормальный
normal	нормальная
normal	нормально
normal	обычный
normal	нормальное
twenty	twenty
twenty	двадцать
avoid	избежать
avoid	избегать
avoid	избегайте
tony	тони
norwegian	норвежский
norwegian	норвегии
criteria	критерии
context	контексте
context	контекст
context	контекста
suggested	рекомендуемые
suggested	предлагаемые
suggested	предложил
suggested	предложено
revolution	революция
revolution	революции
fully	полностью
wars	войн
wars	войны
prominent	видных
prominent	видное
prominent	видные
leaves	листья
leaves	листьев
leaves	оставляет
advanced	расширенный
advanced	передовые
advanced	передовых
distribution	распространение
distribution	распределение
distribution	распределения
medicine	медицина
medicine	лекарство
medicine	медицины
garden	гарден
garden	сад
garden	garden
reach	охват
turkey	индейка
turkey	турция
turkey	турцию
turkey	турции
females	самки
females	женщины
publications	публикации
impact	эффект
impact	влияние
impact	воздействие
impact	результативность
impact	последствия
households	домохозяйств
households	домохозяйства
survey	обследование
survey	опрос
survey	обследования
height	высота
height	рост
morning	утро
morning	morning
honor	честь
deep	глубокую
deep	глубокое
deep	глубокая
deep	глубокие
deep	глубоко
deep	глубокий
argument	аргументы
argument	аргумент
argument	довод
publication	публикация
publication	опубликование
publication	издание
arthur	артур
arthur	артура
elizabeth	елизавета
elizabeth	элизабет
disambiguation	значения
worth	стоит
colorado	колорадо
median	среднее
maryland	мэриленд
falls	фоллс
falls	падает
zone	зона
zone	зоны
solo	соло
learning	обучения
learning	обучение
learning	учимся
learning	учусь
pay	оплатить
pay	платить
pay	заплатить
pay	оплата
resolves	постановляет
choice	выбор
vol	vol
flag	флаг
flag	флажок
engineer	инженер
cars	автомобили
cars	машины
farm	фермы
farm	ферма
farm	ферме
wilson	уилсон
principal	директор
acquired	приобрел
acquired	приобретены
acquired	приобретенного
acquired	приобретенные
constructed	построено
constructed	построенные
constructed	построен
constructed	построены
secret	тайна
secret	секрет
secret	секретная
secret	секретный
poet	поэт
poet	поэта
build	строить
build	построить
orchestra	оркестр
versions	версии
versions	версий
fixed	стационарных
fixed	исправлена
efforts	усилия
documentary	документальных
equipment	снаряжение
equipment	аппаратура
equipment	оборудование
equipment	оборудования
ray	ray
ray	рэй
ray	рей
yellow	желтая
yellow	жёлтый
yellow	желтые
yellow	желтый
guard	гвардия
guard	охрана
guard	охранник
pressure	давление
grant	грант
prison	тюрьме
prison	тюрьма
freedom	свободы
freedom	свободу
freedom	свобода
norway	норвегия
norway	норвегию
norway	норвегии
store	магазин
taylor	тэйлор
taylor	тейлор
quarter	квартал
quarter	четверть
quarter	квартале
designated	назначенных
designated	назначенный
designated	назначенные
independence	независимости
independence	независимость
platform	платформу
platform	платформы
platform	платформа
rome	рим
teacher	учитель
teacher	преподаватель
teacher	учительница
copy	копирование
copy	скопировать
copy	копировать
copy	копия
effort	усилие
effort	усилия
nuclear	ядерная
nuclear	ядерные
pictures	рисунки
pictures	фотографии
pictures	картинки
pictures	pictures
models	модели
models	моделей
everyone	всем
everyone	всех
everyone	все
everyone	каждый
easily	легко
description	описание
agreed	согласился
agreed	согласна
agreed	согласен
agreed	согласовано
agreed	согласованные
institutions	учреждения
institutions	институты
covers	охватывает
covers	покрывает
covers	обложки
facilities	объекты
target	мишень
target	цель
stack	стек
rationale	обоснование
stat	стат
combined	сочетании
bronze	бронза
programming	программирование
programming	программирования
sri	шри
sri	исп
railroad	railroad
unique	уникальная
unique	уникальные
unique	уникальный
unique	уникальное
defined	определен
defined	определена
defined	определено
defined	определены
ocean	океан
ocean	океана
cell	ячейка
cell	ячейки
cell	камере
cell	клетка
missouri	миссури
concert	концерт
improve	улучшать
improve	улучшить
biography	биография
biography	биографию
biography	биографии
loan	заем
loan	кредит
loan	кредита
contact	контакт
contact	связаться
contact	контакты
holy	святая
holy	святые
holy	святой
holy	святейший
holy	святое
tennessee	теннесси
safety	безопасность
competed	соревновались
stephen	стефан
stephen	стивен
policies	политика
painting	картина
painting	живопись
painting	рисование
price	прайс
price	цена
mexican	мексиканская
mexican	мексиканский
mexican	мексики
leadership	руководство
leadership	лидерство
flying	полёт
flying	полет
flying	летать
message	сообщение
message	послание
municipal	муниципальный
municipal	муниципальные
municipal	муниципальных
serious	серьезная
serious	серьезный
serious	серьезно
serious	серьёзные
serious	серьезные
headquarters	штаб
officially	официально
cemetery	кладбище
memory	память
memory	воспоминание
memory	памяти
fields	полей
fields	поля
generation	поколение
generation	поколения
join	присоединиться
join	присоединяйтесь
copies	копии
copies	копий
copies	экземпляры
finals	финал
fox	фокс
fox	лиса
fox	fox
fox	лис
continues	продолжаются
continues	продолжается
continues	продолжает
representative	представитель
representative	представителю
representative	представителя
destroyed	уничтожен
destroyed	уничтожена
destroyed	уничтожены
destroyed	разрушен
destroyed	уничтожено
feet	ноги
feet	стопы
feet	ступни
guy	гай
guy	ги
guy	парень
philippines	филиппин
philippines	филиппины
organized	организованная
organized	организованное
organized	организованный
organized	организованные
organized	организован
organized	организованной
serves	служит
conservative	консервативные
share	доля
share	поделиться
share	разделить
share	поделитесь
maria	мария
disease	болезнь
disease	заболевание
disease	заболевания
disease	болезни
sections	секции
sections	разделы
philosophy	философия
philosophy	философии
ways	способы
ways	пути
arrived	прибыл
arrived	приехали
arrived	прибыли
arrived	прибыла
divided	разделились
floor	пол
floor	этаж
labour	труд
logo	логотип
meets	встречает
yard	двор
yard	дворе
cancer	рак
offer	предложение
tax	налоговых
tax	налог
tax	налоги
tax	налоговая
expected	ожидалось
expected	ожидаемые
expected	ожидается
expected	ожидаемый
expected	ожидаемое
traffic	пробки
traffic	движения
traffic	трафик
traffic	движение
concerns	озабоченности
graduated	окончила
graduated	окончил
guest	гость
jews	евреев
jews	иудеи
jews	евреи
formation	формирования
formation	формирование
economy	экономия
economy	экономика
storm	шторм
storm	буря
storm	гроза
mile	мили
mile	миле
mile	милю
protected	охраняемых
protected	защищена
protected	защищены
protected	защищен
bowl	чаша
bowl	чашу
letters	буквы
letters	письма
begins	начинается
classic	классические
classic	классическая
classic	классический
classic	классика
classic	classic
damage	ущерб
damage	повреждение
damage	вред
damage	повреждения
harry	харри
harry	гарри
offers	предложения
davis	дэвис
challenge	challenge
challenge	задача
challenge	вызов
views	просмотры
views	просмотров
views	мнения
views	взгляды
marked	отмечена
marked	отметили
allows	позволяет
allows	разрешает
density	плотность
literary	литературных
literary	литературный
htm	htm
ben	бэн
ben	бен
transportation	транспорт
transportation	транспортировка
kentucky	кентукки
sales	продажа
sales	продажи
sales	продаж
fleet	флота
fleet	флот
supporting	поддерживающие
supporting	поддержка
captured	захвачены
captured	захвачен
captured	пойман
captured	захватили
extra	дополнительные
extra	дополнительное
extra	дополнительная
recognized	признано
recognized	признана
recognized	признанные
recognized	признали
recognized	признанных
arizona	аризона
theme	тема
francis	франсис
francis	фрэнсис
francis	франциск
francis	френсис
moscow	moscow
moscow	москва
moscow	московская
interested	заинтересованных
interested	заинтересованная
interested	интересует
interested	заинтересованным
interested	интересно
interested	заинтересованные
heard	слышали
heard	услышал
heard	слышал
heard	слышала
behavior	поведение
transferred	переведены
transferred	переданные
environmental	экологическая
environmental	экологических
environmental	экологические
blank	пусто
blank	пустой
musician	музыкант
assigned	назначенный
assigned	назначенные
assigned	назначен
seats	места
seats	сиденья
tennis	tennis
tennis	теннис
display	отображения
display	отображение
display	показ
convention	конвенция
convention	конвенции
ring	ринг
ring	кольцо
ring	кольца
joint	совместных
joint	совместное
joint	совместная
joint	совместный
brian	брайан
brian	брайен
brian	брайн
deputy	заместитель
planned	планируемые
planned	планируется
planned	запланированные
planned	запланированная
planned	запланировано
planned	запланированных
universities	университеты
yards	ярдов
communist	коммунистическая
agent	агент
difference	отличие
difference	различие
difference	разница
difference	различия
animal	животное
czech	чешская
czech	чешской
czech	чешский
positions	должности
positions	позиции
exactly	точно
exactly	именно
stay	остаться
titled	озаглавленный
combat	боевая
combat	бой
palace	дворец
card	карта
card	карту
card	карточка
ordered	заказали
ordered	приказал
ordered	заказал
opposition	оппозиции
opposition	оппозиция
opposition	противодействие
opposition	противостояние
attempts	попытки
understanding	понимание
understanding	взаимопонимание
understanding	понимания
wrestling	борьба
critics	критики
critics	критиков
growing	растет
growing	растущий
growing	растущей
growing	растущая
hands	руки
participated	участвовал
participated	участвовала
poetry	стихи
poetry	поэзия
materials	материалы
turkish	турецкие
turkish	турецкая
turkish	турецкий
turkish	турции
paid	заплатил
promotion	поощрения
promotion	продвижение
promotion	поощрение
promotion	повышение
apparently	очевидно
apparently	видимо
battalion	батальона
battalion	батальон
mobile	mobile
mobile	мобильные
mobile	мобильных
mobile	мобильный
additions	дополнения
additions	добавления
row	ряд
row	строка
shortsummary	shortsummary
metropolitan	метрополитен
figures	фигуры
figures	цифры
existence	существование
existence	бытие
eye	глаз
eye	око
louisiana	луизиана
lewis	льюис
melbourne	мельбурне
austria	австрии
austria	австрия
brigade	бригады
brigade	бригада
screen	экран
risk	риска
risk	риск
risk	риски
lats	латов
ban	запретить
ban	запрет
ban	бан
labor	труда
labor	труд
legislative	законодательная
legislative	законодательные
definition	определение
indeed	воистину
indeed	действительно
draw	рисовать
draw	привлечь
draw	нарисовать
draw	ничья
application	применения
application	заявка
application	применение
steel	стали
steel	стальные
steel	стальной
steel	сталь
presence	присутствие
expansion	расширение
earl	эрл
max	max
max	макс
wild	wild
wild	дикий
wild	дикая
wild	дикие
planning	планирование
comic	комик
comic	комикс
comic	comic
adopted	принято
adopted	принята
adopted	принятый
adopted	принят
adopted	принятые
easy	полегче
easy	легче
easy	легко
plus	плюс
plus	plus
happy	счастливый
happy	счастливая
happy	счастливые
happy	счастлива
happy	счастлив
acts	деяния
acts	акты
classes	занятия
classes	классы
iowa	айова
grew	рос
grew	вырос
grew	выросла
save	спасти
save	сохранять
save	сохранить
save	сохраните
wins	выигрывает
wins	побеждает
theater	кинотеатр
theater	театр
exists	существует
roles	ролях
roles	роли
chance	шанс
prevent	предотвращать
prevent	предотвратить
linecolor	linecolor
candidates	кандидатов
candidates	кандидаты
object	предмет
object	объект
object	объекта
felt	чувствовала
felt	почувствовала
felt	чувствовал
powers	полномочия
birds	птички
birds	птицы
birds	птиц
defeat	поражение
defeat	поражения
defeat	победить
cape	плащ
cape	мыс
identified	выявленные
regions	регионы
mine	мое
mine	моя
mine	мой
mine	мои
sides	стороны
jul	июл
showing	отображение
showing	показ
teaching	обучение
teaching	преподавание
teaching	преподавания
simon	симон
simon	саймон
depth	глубины
depth	глубина
depth	глубину
christmas	рождество
christmas	рождественский
christmas	рождественская
christmas	рождества
declined	отклонена
declined	отклонила
declined	отклонили
declined	отказался
greece	греции
greece	грецию
greece	греция
express	экспресс
express	express
express	выразить
federation	федерация
federation	федерации
voivodeship	воеводство
journalist	журналист
journalist	журналистка
intelligence	интеллект
intelligence	разведка
intelligence	разведки
connection	связь
connection	подключение
connection	соединение
displayed	отображаться
displayed	отображается
displayed	выставлены
displayed	показано
portuguese	португальский
portuguese	португалии
declared	объявил
declared	объявлен
declared	объявлена
constitution	конституция
presidential	президентских
presidential	президентский
sons	сыны
sons	сыновей
sons	сыновья
plot	заговор
plot	участок
plot	сюжет
dates	даты
dates	финики
firm	фирма
ends	концы
ends	заканчивается
pilot	пилот
pilot	экспериментальных
relatively	относительно
receive	получать
manchester	манчестер
queensland	квинсленда
americans	американцы
introduction	введение
directors	директоров
directors	директора
vehicle	автомобиль
stock	акции
stock	наличии
vehicles	автомобили
israeli	израильский
israeli	израильские
israeli	израильских
