ジオン	dione
ルーカス	lukas
プライド	kebanggaan
プライド	pride
プライド	kesombongan
八重	yae
清算	likuidasi
テロリスト	teroris
テロリスト	teroris
バーンズ	barnes
バーンズ	membakar
バーンズ	burns
バーンズ	bakar
管理人	admin
管理人	pengurus
管理人	administrator
管理人	admin
管理人	pengurus
管理人	pengurus
管理人	administrator
持ち込み	carry
持ち込み	bawa
宗像	munakata
コスチューム	kostum
コスチューム	costume
コスチューム	kostum
こだま	kodama
カージナルス	cardinals
美智子	michiko
波動	wave
波動	gelombang
波動	ombak
波動	lambaian
エアバス	airbus
スペック	setitik
スペック	noda
スペック	spesifikasi
スペック	specs
スペック	spesifikasi
スペック	spec
スペック	spek
ボリス	boris
サンバ	samba
原告	penggugat
チキン	chicken
チキン	ayam
インデックス	indeks
インデックス	indeks
さおり	saori
中道	moderasi
中道	moderat
中道	memoderasi
頼朝	yoritomo
ピックアップ	penjemputan
ピックアップ	pickup
ピックアップ	pengambilan
コールド	cold
コールド	kedinginan
コールド	dingin
プライス	harga
プライス	price
プライス	harganya
ハロルド	harold
待遇	pengobatan
待遇	perawatan
北極	arktik
北極	arctic
西園寺	kinmochi
フレンチ	prancis
フレンチ	perancis
すごい	hebat
すごい	mengagumkan
すごい	keren
すごい	menakjubkan
すごい	amazing
ライプツィヒ	leipzig
アダムズ	adams
ジュース	jus
ジュース	juice
ゴルファー	pegolf
ルージュ	rouge
バーツ	baht
守山	moriyama
従兄弟	cousin
従兄弟	sepupu
痴漢	meraba
痴漢	membelai
用心棒	bouncer
ギルド	guild
ギルド	guilds
回生	regeneratif
ニュルンベルク	nürnberg
ニュルンベルク	nuremberg
ブラザー	bâ
ブラザー	saudara
ブラザー	brother
ブラザー	kakak
チューリッヒ	zürich
チューリッヒ	zurich
内線	ekstensi
字体	glif
ルクス	lux
達郎	tatsuro
宮原	miyahara
ステッカー	sticker
ステッカー	stiker
ステッカー	stiker
浅い	dangkal
カブ	lobak
パウル	paulus
パウル	paul
三味線	shamisen
故人	almarhum
故人	wafat
故人	meninggal
ハンドボール	handball
ハンドボール	hantam
小野寺	onodera
小出	koide
オークス	oaks
石狩	ishikari
エッグ	eggs
エッグ	telur
エッグ	egg
エッグ	telur
更生	reorganisasi
更生	rehabilitasi
スキン	kulit
スキン	skins
スキン	kulit
スキン	skin
平川	hirakawa
ピンチ	cubit
悦子	etsuko
まさし	masashi
パース	perth
皐月	satsuki
エマ	emma
ヌード	ketelanjangan
ヌード	bugil
ヌード	nude
ヌード	telanjang
メビウス	moebius
公害	pencemaran
公害	polusi
コペンハーゲン	kopenhagen
コペンハーゲン	copenhagen
りんご	apel
りんご	apel
りんご	apple
ヒカル	hikaru
インフルエンザ	influenza
インフルエンザ	flu
インフルエンザ	flu
十和田	towada
イラ	ila
関税	tarif
関税	tarifnya
オーボエ	obo
石山	ishiyama
毒性	beracun
毒性	toksisitas
メカニズム	mekanisme
メカニズム	mekanisme
ファンタジア	fantasia
やさしい	gampang
やさしい	mudah
やさしい	easy
ジャンボ	jumbo
燃える	terbakar
燃える	membakar
燃える	pembakaran
燃える	burning
芳賀	haga
体質	konstitusi
イヌ	anjing
イヌ	dog
苦しみ	penderitaan
苦しみ	derita
苦しみ	menderita
キノコ	jamur
キノコ	jamur
グラン	gran
厚い	tebal
終着駅	terminus
ヤンキー	yankee
飛躍	leap
飛躍	lompatan
ボア	boa
麻痺	kelumpuhan
麻痺	kelumpuhan
麻痺	palsy
中古	secondhand
オリンピア	olympia
クラウス	kraus
クラウス	klaus
平岡	hiraoka
義経	yoshitsune
証人	saksi
証人	saksi
石碑	nestorian
石碑	prasasti
賞賛	kagumi
賞賛	mengagumi
賞賛	kekaguman
賞賛	pujian
賞賛	puji
賞賛	memuji
賞賛	pujilah
シリアル	berantai
シリアル	serial
シリアル	sereal
シリアル	sereal
子育て	mengasuh
子育て	pengasuhan
ウィンドウ	window
ウィンドウ	jendela
乱闘	tawuran
乱闘	berkelahi
乱闘	perkelahian
水分	kelembaban
聴く	mendengarkan
聴く	dengarkanlah
聴く	dengarkan
聴く	dengarlah
聴く	dengar
バーバラ	barbara
遊ぶ	mainkan
遊ぶ	putar
遊ぶ	bermain
遊ぶ	main
決済	pembayaran
決済	penyelesaian
決済	pemukiman
決済	pembayaran
サニー	cerah
サニー	sunny
嫉妬	cemburu
嫉妬	iri
嫉妬	jealous
嫉妬	cemburu
嫉妬	kecemburuan
勝田	katsuta
なつみ	natsumi
青柳	aoyagi
ディスコ	disco
ディスコ	disko
相川	aikawa
ブタ	babi
ブタ	babi
ブタ	pig
ノーマン	norman
尾翼	tail
尾翼	ekor
退却	retret
退却	mundur
大場	oba
悪意	kedengkian
高村	takamura
オタク	geek
オタク	culun
オタク	nerd
屋台	yatai
屋台	warung
伝導	konduktivitas
受け取る	menerima
アーロン	harun
アーロン	aaron
アンチ	anti
ベストセラー	terlaris
ベストセラー	laris
ピコ	pico
葉月	hazuki
ステンレス	stainless
壁画	mural
壁画	mural
エンブレム	emblem
エンブレム	lambang
エンブレム	emblem
素敵	lovely
素敵	indah
素敵	nice
思想家	pemikir
ピクセル	pixel
ピクセル	piksel
ピクセル	pixel
ピクセル	piksel
コントローラ	controller
コントローラ	pengontrol
コントローラ	pengontrol
コントローラ	controller
たまに	sesekali
伝送	transmisi
木戸	kido
トロイ	troy
トロイ	troya
二条	nijō
翔子	shoko
タンカー	tangki
タンカー	tanker
気体	gas
気体	gas
処罰	menghukum
処罰	hukuman
処罰	azab
処罰	berjamaah
ロータス	lotus
ロータス	teratai
キャンセル	batalkan
キャンセル	batal
キャンセル	membatalkan
キャンセル	dibatalkan
キャンセル	membatalkan
キャンセル	dibatalkan
キャンセル	batalkan
キャンセル	pembatalan
不完全	imperfect
山手	yamanote
ウィキ	wiki
ウィキ	kueh
リスボン	lisbon
掘削	penggalian
掘削	pengeboran
ボリビア	bolivia
ボリビア	bolivia
棄却	pemecatan
幼虫	larva
悪夢	nightmare
桜田	sakurada
演目	program
標準化	standardisasi
チェルシー	chelsea
ナンシー	nancy
カタール	qatar
カタール	qatar
解読	menguraikan
解読	decoding
草野	kusano
ゲイリー	gary
岩瀬	iwase
やまと	yamato
出血	pendarahan
出血	berdarah
出血	perdarahan
出血	perdarahan
タンゴ	tango
濡れ	basah
濡れ	wet
ロンド	rondo
キックボクシング	kek
台北市	taipei
諮問	konsultasi
火事	fire
火事	api
火事	kebakaran
小早川	kobayakawa
慎太郎	shintaro
正夫	masao
ジュリエット	juliet
マクラーレン	mclaren
プファルツ	pfalz
オアシス	oasis
オアシス	oase
赤道	khatulistiwa
クウェート	kuwait
クウェート	kuwait
千種	chigusa
疲労	melelahkan
疲労	kelelahan
疲労	penat
疲労	kelelahan
平壌	pyongyang
国々	negara
ディー	dee
タコ	octopus
タコ	gurita
内訳	perincian
内訳	rincian
内訳	perincian
内訳	rincian
ジャイアント	raksasa
ジャイアント	giant
バディ	sobat
バディ	teman
バディ	buddy
出願	lamaran
出願	aplikasi
ウォーレン	warren
銃弾	peluru
銃弾	bullet
銃弾	bulet
今泉	imaizumi
妥協	berkompromi
妥協	kompromi
ピストン	piston
鉄拳	tekken
雅美	masami
グラミー	sepat
グラミー	grammy
海部	kaifu
抗体	antibodi
抗体	antibodi
抗体	antibodi
トモ	tomo
風船	balon
風船	balon
おばさん	bibi
おばさん	tante
おばさん	bibi
おばさん	tante
リターン	kembali
リターン	return
ユーラシア	eurasia
安定性	stabilitas
安定性	kestabilan
コメディアン	pelawak
コメディアン	comedian
コメディアン	komedian
コメディアン	komedian
フェリックス	felix
副官	ajudan
エレクトロニクス	elektronika
エレクトロニクス	electronics
エレクトロニクス	elektronik
スリ	pencopet
スリ	copet
スリ	pencopet
パトロール	patroli
パトロール	patrol
パトロール	berpatroli
石岡	ishioka
クレーター	kawah
クレーター	kawah
キャピタル	capital
キャピタル	ibukota
キャピタル	modal
チャット	obrolan
チャット	chat
高句麗	goguryeo
糖尿病	diabetes
ディズニーランド	disneyland
エルフ	peri
エルフ	elf
エルフ	elf
バーガー	burger
カリウム	kalium
サバイバル	survival
根室	nemuro
シックス	six
シックス	enam
蛍光	fluorescent
蛍光	fluoresens
ともだち	tomodachi
可愛い	lucu
可愛い	imut
可愛い	cute
可愛い	cantik
可愛い	pretty
スピリット	semangat
スピリット	ruh
スピリット	spirit
みちのく	michinoku
相良	sagara
グアム	guam
民兵	milisi
民兵	militan
民兵	militia
側室	selir
ルター	luther
共鳴	resonansi
ジュリアン	julian
受領	kuitansi
受領	resi
山野	yamano
チャーチル	churchill
市村	ichimura
鮎川	ayukawa
ロフト	loteng
ロフト	apartemen
まゆみ	mayumi
湯川	yukawa
及川	oikawa
シャム	siam
シャム	sham
帰属	atribusi
モモ	peaches
モモ	persik
モモ	momo
モモ	persik
モモ	peach
コンボ	kombinasi
コンボ	combo
コンボ	kombo
デンバー	denver
感度	kepekaan
感度	sensitivitas
大師	daishi
正午	siang
ハント	berburu
ハント	hunt
ドレスデン	dresden
欠席	absen
欠席	ketidakhadiran
欠席	ketiadaan
欠席	absen
口座	rekening
口座	account
口座	akun
説教	khotbah
説教	berkhotbah
説教	khotbah
説教	khotbah
説教	khutbah
説教	kotbah
説教	berkhotbah
説教	khotbah
平松	hiramatsu
若宮	wakamiya
連想	assosiasi
フルーツ	buah
フルーツ	buah
カウンティ	kabupaten
カウンティ	county
カウンティ	daerah
カウンティ	powiat
カウンティ	kabupaten
返済	pelunasan
チャネル	kanal
チャネル	saluran
チャネル	kanal
チャネル	channel
チャネル	saluran
淳子	junko
尾根	ridge
尾根	perbukitan
知子	tomoko
ウェスタン	barat
ウェスタン	western
白馬	hakuba
スキャン	memindai
スキャン	pemindaian
スキャン	memindai
スキャン	pindai
敬意	respek
敬意	hormat
敬意	hormati
敬意	respect
オリエンタル	oriental
鋭い	sharp
鋭い	tajam
小谷	kotani
お茶	teh
お茶	tea
クローズ	close
クローズ	dekat
クローズ	tutup
ワープ	warp
正一	shoichi
ダイナマイト	dinamit
コリンズ	collins
飲む	minum
飲む	minuman
飲む	minumlah
飲む	minum
オークション	pelelangan
オークション	lelang
オークション	lelang
ポータブル	portable
ポータブル	portabel
ポータブル	portabilitas
モンロー	monroe
産卵	pemijahan
芥川	akutagawa
トラップ	jebakan
トラップ	perangkap
トラップ	trap
トラップ	jebakan
トラップ	perangkap
同値	ekuivalen
ローテーション	rotasi
ローテーション	putaran
プリズム	prisma
フェアリー	peri
フェアリー	fairy
フェアリー	fairey
ポット	panci
ポット	pot
ポット	periuk
マッカーサー	macarthur
ハチ	tawon
ハチ	lebah
ハチ	tawon
ミッチェル	mitchell
カルト	sekte
カルト	pemujaan
カルト	kultus
家事	housekeeping
消える	menghilang
消える	menghilang
テンション	ketegangan
個別に	individual
ジャスト	cuma
ジャスト	hanya
フォーカス	fokus
フォーカス	focus
ナムコ	namco
分化	diferensiasi
但馬	tajima
ウエスタン	barat
ウエスタン	western
ラトビア	latvia
ラトビア	latvia
酢酸	asetat
スタンプ	stempel
スタンプ	cap
スタンプ	perangko
スタンプ	stiker
スタンプ	sticker
スタンプ	stiker
スタンプ	tunggul
激戦	sengit
激戦	galak
横川	yokogawa
おいしい	enak
おいしい	lezat
おいしい	yummy
おいしい	nyam
おいしい	sedap
おいしい	delicious
おいしい	lezat
停滞	kemandekan
臼井	usui
スリップ	tergelincir
スリップ	terpeleset
スリップ	slip
茂雄	shigeo
カブス	cubs
照射	iradiasi
照射	pencahayaan
照射	bukaan
照射	eksposur
照射	pemaparan
クルーザー	cruiser
ハンドブック	handbook
江藤	eto
アーカンソー	arkansas
パッド	pad
板垣	itagaki
マナー	etika
マナー	etiket
烏丸	karasuma
バットマン	batman
相沢	aizawa
裁定	memerintah
タイル	ubin
タイル	tile
タイル	ubin
タイル	tegel
螺旋	helix
ホフマン	hoffmann
ホフマン	hoffman
ホフマン	hofmann
レジスタ	register
レジスタ	daftarkan
レジスタ	register
ピュア	murni
ピュア	pure
蒸留	penyulingan
蒸留	suling
フレイ	frey
ミッドフィールダー	gelandang
野崎	nozaki
墨田	sumida
ブーツ	boot
ブーツ	boot
ブーツ	boots
電通	dentsu
出版物	publikasi
出版物	publikasi
出版物	penerbitan
出版物	terbitan
ヒューズ	hughes
ヒューズ	fuse
ヒューズ	sekering
問い合わせ	pertanyaan
問い合わせ	pertanyaan
問い合わせ	kueri
問い合わせ	pertanyaan
連帯	solidaritas
ポーター	porter
帰宅	home
帰宅	rumah
帰宅	pulang
帰宅	beranda
千鳥	chidori
野上	nogami
メイキング	making
エフェクト	efek
エフェクト	efek
野間	noma
デス	kematian
デス	death
デス	maut
デス	mati
バター	butter
バター	mentega
塩谷	shioya
長瀬	nagase
教職員	fani
教職員	fakultas
結核	tuberkulosis
ヨルダン	yordania
ヨルダン	jordan
ヨルダン	yordania
コバルト	cobalt
ソフトボール	softball
アルビレックス	albirex
起業	pengusaha
起業	entrepreneur
起業	kewirausahaan
欠陥	kecacatan
欠陥	ketidaksempurnaan
コブラ	kobra
コブラ	cobra
シスター	saudari
シスター	adik
シスター	suster
シスター	kakak
石見	iwami
グリル	panggang
グリル	panggangan
グリル	pemanggang
グリル	grill
グリル	memanggang
脂肪	gemuk
脂肪	lemak
脂肪	fat
脂肪	gendut
アーネスト	ernest
眠る	tidur
眠る	sleep
天台宗	tiantai
天台宗	tendai
全盛期	heyday
植村	uemura
成美	narumi
アスレチック	athletic
アスレチック	atletik
アスレチック	atletis
彼氏	pacar
彼氏	boyfriend
エミー	amy
エミー	adinda
エミー	airlangga
迫害	penganiayaan
迫害	fitnah
迫害	dianiaya
迫害	teraniaya
良一	ryoichi
左近	sakon
手数料	komisi
手数料	fee
手数料	biaya
手数料	biayanya
手数料	biaya
バドミントン	tangkis
バドミントン	badminton
バドミントン	bulutangkis
ザック	zac
陶器	tembikar
陶器	keramik
スクリプト	skrip
スクリプト	script
スクリプト	skrip
スクリプト	naskah
スクリプト	script
拓郎	takuro
トライアングル	segitiga
溶岩	lahar
溶岩	lava
フィニッシュ	selesaikan
フィニッシュ	finish
異端	bidah
異端	baal
高見	takami
真似	meniru
真似	tiru
フン	hun
関脇	sekiwake
ハス	lotus
ハス	teratai
メグ	meg
ボールド	berani
ボールド	tebal
入浴	mandi
入浴	pemandian
入浴	mandi
ハング	hung
ハング	menggantung
ハング	hang
ハング	gantung
流体	cairan
流体	fluida
流体	cairan
ジュネーヴ	jenewa
ジュネーヴ	geneva
ハーバート	herbert
お菓子	permen
お菓子	manisan
秀行	hideyuki
圭介	keisuke
オシ	osh
犬山	inuyama
ブレーメン	bremen
共生	simbiosis
六角	rokkaku
宮澤	miyazawa
チューブ	tabung
ヒゲ	janggut
ヒゲ	jenggot
林業	kehutanan
浄土宗	jodo
変装	menyamar
変装	menyamarkan
変装	disamarkan
変装	penyamaran
祐介	yusuke
軍需	armament
シグナル	sinyal
シグナル	signal
シグナル	sinyal
シグナル	signal
オリーブ	olive
オリーブ	zaitun
オリーブ	zaitun
面接	interview
面接	wawancarai
面接	wawancara
ダイエット	diet
ダイエット	diet
ダブリン	dublin
信念	faith
信念	iman
信念	keyakinan
信念	keimanan
信念	kepercayaan
信念	keyakinan
信念	kepercayaan
信念	keyakinan
スチュアート	stuart
ワイヤー	wire
ワイヤー	kawat
ワイヤー	kabel
ワイヤー	kawat
アルブレヒト	albrecht
バレル	barel
バレル	laras
バレル	tong
サンティアゴ	santiago
雅人	masato
碑文	inskripsi
碑文	prasasti
碑文	prasasti
一樹	kazuki
いろは	iroha
ブルターニュ	bretagne
ブルターニュ	brittany
審判員	wasit
審判員	wasit
さゆり	sayuri
米倉	yonekura
スレッド	percakapan
スレッド	benang
スレッド	thread
スレッド	utas
スレッド	benang
スレッド	thread
スレッド	utas
スレッド	percakapan
正和	showa
麻布	azabu
ドラキュラ	dracula
ドラキュラ	drakula
ルネ	rené
ルネ	rene
桟橋	pier
桟橋	dermaga
亜鉛	seng
グラハム	graham
正博	masahiro
デューク	duke
デューク	adipati
語彙	vocabularies
語彙	kosakata
コーディネーター	koordinator
ソナー	sonar
大滝	otaki
充電	tagihan
充電	biaya
充電	tagih
充電	pengisian
充電	mengisi
充電	pengisian
充電	charging
グラブ	ambil
グラブ	grab
バーミンガム	birmingham
マイヤー	meyer
守谷	moriya
鍋島	nabeshima
リリー	lily
大工	carpenter
大工	carpenters
大工	raihan
停泊	berlabuh
停泊	tambatan
隠岐	oki
チャイ	chai
ワクチン	vaksin
ワクチン	vaksin
監獄	penjara
監獄	prison
監獄	penjara
デラウェア	delaware
売る	jual
売る	sell
売る	menjual
破片	puing
夜叉	yasha
筑前	chikuzen
スポーツカー	sportscar
桃園	taoyuan
ペーター	petrus
ペーター	peter
買い物	shopping
買い物	berbelanja
買い物	belanja
既婚	married
既婚	menikah
陽性	positive
陽性	positif
チョーク	kapur
チョーク	chalk
チョーク	tersedak
四十	forty
エコー	menggema
エコー	gema
エコー	gaung
エコー	echo
同調	kesesuaian
スイング	ayunkan
スイング	ayun
スイング	ayunan
スイング	swing
クランク	engkol
クランク	crank
コミュニティー	komunitas
コミュニティー	masyarakat
コミュニティー	community
施策	kebijakan
トラクター	traktor
トラクター	traktor
カリスマ	kharisma
カリスマ	karisma
カリスマ	karismatik
吹く	berhembus
吹く	pukulan
真宗	shinshu
分泌	sekresi
報知	hochi
和光	wako
高井	takai
克彦	katsuhiko
驚き	kejutan
ジェフリー	jeffrey
ジェフリー	jeffery
廃墟	kehancuran
廃墟	merusak
廃墟	reruntuhan
廃墟	puing
深度	kedalaman
深度	mendalam
配当	dividen
配当	distribusi
配当	dividen
故意	disengaja
故意	disengaja
故意	sengaja
故意	sengaja
ニコ	nico
ニコ	niko
クロム	chrome
クロム	krom
クロム	kromium
生き方	lifestyle
預言	nubuat
預言	nubuatan
預言	ramalan
掲示	posting
掲示	mengirim
掲示	mengirimkan
掲示	buletin
パスポート	paspor
パスポート	paspor
パスポート	passport
カロリー	kalori
カロリー	kalori
消化	pencernaan
ヘビ	ular
ヘビ	ular
膨張	perluasan
膨張	ekspansi
バッジ	badge
バッジ	lencana
バッジ	badge
バッジ	lencana
残酷	kejam
残酷	kejamnya
ペナルティ	penalti
ペナルティ	pinalti
フェンス	pagar
フェンス	penadah
フェンス	gedek
浪速	naniwa
船員	sailor
船員	pelaut
船員	sahut
フォレスト	forrest
フォレスト	hutan
フォレスト	forest
クラッチ	clutch
クラッチ	kopling
見習い	magang
見習い	trainee
黙示録	apocalypse
黙示録	kiamat
枢機卿	cardinal
枢機卿	kardinal
メソッド	metoda
メソッド	method
メソッド	metode
メソッド	metoda
メソッド	metode
スチュワート	stewart
スランプ	merosot
スランプ	kemerosotan
スギ	cedar
賭博	judi
賭博	perjudian
賭博	berjudi
龍之介	ryunosuke
コップ	gelas
コップ	piala
コップ	cawan
コップ	cangkir
コップ	cup
からくり	karakuri
母国	motherland
和歌集	wakashū
視界	visibilitas
視界	kenampakan
ニッケル	nikel
ニッケル	receh
反響	menggema
反響	bergema
反響	menggema
反響	bergema
反響	menggema
反響	gema
反響	gaung
反響	echo
川本	kawamoto
プラットホーム	platform
カルチョ	calcio
スーザン	susan
ハイチ	haiti
ハイチ	haiti
杉原	sugihara
洗浄	cuci
洗浄	mencuci
洗浄	pencucian
洗浄	kebersihan
洗浄	pembersihan
洗浄	pembersih
洗浄	membersihkan
不祥事	skandal
不祥事	scandal
不祥事	skandal
チエ	chie
委任	delegasi
委任	mandat
祭壇	altar
祭壇	mezbah
スライダー	slider
スライダー	penggeser
スライダー	slider
シエラ	sierra
新一	shinichi
帰化	naturalisasi
手当	tunjangan
ボローニャ	bologna
ヤギ	kambing
ワークショップ	lokakarya
ワークショップ	workshop
ワークショップ	lokakarya
ワークショップ	workshop
ワークショップ	bengkel
ワーグナー	wagner
金庫	aman
金庫	brankas
臨済宗	rinzai
慎吾	shingo
被告人	dituduh
被告人	tertuduh
被告人	terdakwa
被告人	terdakwa
バトン	baton
睡眠	tidur
睡眠	sleep
氷室	himuro
モノクロ	monokrom
洗濯	cuci
洗濯	mencuci
洗濯	pencucian
洗濯	binatu
洗濯	laundry
洗濯	mencuci
洗濯	cucian
天童	tendo
二見	futami
ツル	bangau
ツル	derek
ツル	crane
リヒャルト	richard
吉沢	yoshizawa
裏側	kembali
裏側	balik
裏側	mundur
裏側	back
裏側	belakang
レズビアン	lesbian
レズビアン	lesbian
芸者	geisha
チャップリン	chaplin
祝福	berkah
祝福	blessing
祝福	nikmat
祝福	keberkahan
祝福	berkah
祝福	berkat
祝福	diberkati
祝福	diberkahi
祝福	blessed
祝福	terberkati
林檎	apel
林檎	apple
星空	berbintang
ケット	ket
ロナルド	ronald
ランニング	running
ランニング	berjalan
ランニング	lari
ランニング	menjalankan
ランニング	berlari
高尾	takao
古谷	furuya
届出	notifikasi
届出	pemberitahuan
届出	notification
レスキュー	penyelamatan
レスキュー	rescue
土居	doi
委嘱	delegasi
委嘱	komisi
アンドレア	andrea
パンダ	panda
ハク	haq
冗談	joke
冗談	lelucon
冗談	guyonan
冗談	bercanda
冗談	kidding
お気に入り	favourite
お気に入り	favorit
お気に入り	fave
お気に入り	favorit
お気に入り	favorite
お気に入り	kesukaan
お気に入り	terfavorit
お気に入り	favorit
お気に入り	favorit
ロッカー	rocker
ロッカー	loker
ロッカー	locker
ロッカー	loker
トゥルー	benar
トゥルー	true
ヨット	yacht
ヨット	yacht
シェーン	shane
ダイナミック	dynamic
ダイナミック	dinamis
ラバウル	rabaul
総社	soja
勝浦	katsuura
陶芸	tembikar
陶芸	keramik
安西	anzai
エリオット	elliott
エリオット	elliot
まみ	mami
フットサル	futsal
消去	hapus
消去	pengosongan
ストライカー	striker
神輿	mikoshi
真木	maki
バイザー	visor
ハンプシャー	hampshire
テント	tenda
テント	tenda
リソース	sumberdaya
リソース	sumberdaya
粛清	pembersihan
粛清	pemurnian
粛清	dibersihkan
セリ	seri
崇拝	memuja
崇拝	menyembah
崇拝	beribadah
崇拝	sembah
崇拝	ibadah
崇拝	menyembah
崇拝	beribadah
ワトソン	watson
寺内	terauchi
値段	harga
値段	price
値段	harganya
藤森	fujimori
快適	nyaman
快適	nyaman
ロベール	robert
バスケ	basket
バスケ	basketball
ケロロ	keroro
獣医	vet
房総	boso
ヴァージン	virgin
ヴァージン	perawan
石黒	ishiguro
松野	matsuno
和音	chord
和音	akord
帝政	imperium
帝政	empire
帝政	kekaisaran
動揺	kecewa
動揺	kesal
動揺	marah
タブレット	tablet
神学校	seminari
麻酔	anestesi
麻酔	bius
人魚	mermaid
ジュエル	jewel
ジュエル	permata
サンチェス	sanchez
サンチェス	sánchez
文字通り	harafiah
文字通り	harfiah
目的地	tujuan
目的地	destination
目的地	destinasi
マルチメディア	multimedia
オーラ	aura
五条	gojo
ディープ	sedalam
ディープ	mendalam
ディープ	deep
中里	nakazato
マリアナ	mariana
アマゾン	amazon
