হর্ন	แตร
ধরুন	จับ
পেট্রল	น้ำมัน
পেট্রল	เบนซิน
পেট্রল	น้ำมัน
আন্দ্রেই	andrey
সৌদী	ซาอุดิอาระเบีย
আইসিস	isis
হৃৎপিণ্ড	heart
হৃৎপিণ্ড	ใจ
হৃৎপিণ্ড	หัวใจ
ইপ	ยิบ
টাইফুন	ไต้ฝุ่น
শহরতলীর	ชานเมือง
জমকালো	งดงาม
জমকালো	งามๆ
ইসকন	iskcon
নতুনত্ব	นวัตกรรม
জাম্পিং	กระโดด
রশি	เชือก
শুনি	ได้ยิน
শুনি	ยิน
উরুর	ขาอ่อน
আন্দোলিত	กระดิก
মিথ্যে	โกหก
বালিশ	หมอน
বালিশ	หมอน
অক্ষমতার	พิการ
গুর	องุ่น
চালা	กระท่อม
চালা	หลั่ง
নিয়া	nia
মালয়েশিয়ান	มาเลเซีย
শীষ	หนาม
পিএলসি	plc
বিশ্বময়	universal
বিশ্বময়	สากล
ডব্লিউডব্লিউই	wwe
সলো	solow
মত্ত	มึนเมา
ভায়োলেট	ไวโอเล็ต
কাজিন	ญาติ
ফিড	ฟีด
ফিড	ฟีด
শোন	ฟัง
গাড়	หนา
মিনু	minu
প্রেমিকের	แฟน
প্রেমিকের	lover
উচ্চাভিলাষী	ทะเยอทะยาน
গ্রন্থাগারিক	บรรณารักษ์
ফিঙ্গার	นิ้ว
ফিঙ্গার	นิ้ว
ভালোবাসে	ชอบ
ভালোবাসে	รัก
উইকিউপাত্ত	wikidata
অবসাদ	หดหู่
জিনার	jenner
ম্যাডাম	มาดาม
ম্যাডাম	คุณนาย
প্রতিধ্বনি	ก้อง
প্রতিধ্বনি	echo
গ্যারেজ	อู่
গ্যারেজ	โรงรถ
স্টিং	sting
স্টিং	ต่อย
পরিশ্রমী	ขยัน
পরিশ্রমী	ขยัน
পরিশ্রমী	ขยัน
তালি	แปะ
চিক	เก๋ง
চিক	เก๋
ল্যাবে	แล็ป
ল্যাবে	แล็บ
ল্যাবে	แลป
কোচিন	cochin
নিউমোনিয়ায়	ปอดบวม
লভ্যাংশ	เงินปันผล
লভ্যাংশ	กำไร
কস্টিউম	ชุด
আগলে	ทะนุถนอม
আগলে	หวงแหน
মেরিনা	ท่าเรือ
জানো	รู้
জানো	ทราบ
শত্রুরা	ศัตรู
মরফিন	มอร์ฟีน
ওসামা	osama
রঙীন	สีสัน
রঙীন	สีสัน
হুয়াং	หวง
ফাউল	ฟาวล์
ফাউল	ฟาวล์
জমিয়ে	สมบัติ
নীতিগুলি	นโยบาย
হাঁটুতে	เข่า
নিকি	nikki
নিকি	nicky
নিকি	นิกิ
ফেড	จาง
নেল	nail
নেল	เล็บ
নেল	ตะปู
বেহেশত	พาราไดซ์
বেহেশত	สวรรค์
বেহেশত	พาราไดส์
স্পর্শের	touch
স্পর্শের	แตะ
স্পর্শের	ทัช
স্পর্শের	สัมผัส
হাস	ฮาร์ส
অপ্রাসঙ্গিক	ธงชาติ
অপ্রাসঙ্গিক	ธง
ঘুমানোর	นอน
আনন্দময়	เริงร่า
আনন্দময়	รื่นเริง
ব্লেক	เบลค
ব্লেক	เบลก
ব্লেক	ลค
পিত্ত	น้ำดี
স্প্যাম	spam
স্প্যাম	สแปม
মরিচা	สนิม
কৌতূহলী	สงสัย
মাইটনার	meitner
মারিজুয়ানা	กัญชา
পরিবর্তনগুলো	เปลี่ยนแปลง
ব্যথিত	ทะลัก
কান্ত	kant
কুইন্সটাউন	queenstown
দৃশ্যত	เห็นๆ
নিলামের	ประมูล
সফট	นิ่ม
সফট	อ่อน
সফট	นุ่ม
গুনমান	คุณภาพ
ক্যাসিনি	cassini
ক্লোন	โคลนนิ่ง
ক্লোন	โคลน
স্তব্ধ	อึ้ง
বিস্মৃত	ลืม
লিভারের	ตับ
লরেল	ลอเรล
মন্থর	ชะลอ
মন্থর	ช้า
মন্থর	ช้าๆ
কোম্পানিগুলো	บริษัท
কুট	แก่ง
কুট	คูต
মায়েদের	มารดา
ডং	ดง
ডং	ดอง
গোহ	โก๊ะ
গোহ	goh
নেওয়াজ	nawaz
টোন	โทน
থলে	ถุง
থলে	กระเป๋า
রাফি	rafi
বাং	bung
আপগ্রেড	อัพเกรด
মার্লিন	เมอร์ลิน
জ্বলতে	ประกาย
জ্বলতে	ส่อง
লিফট	ยก
লিফট	ลิฟท์
কিছুক্ষন	บาง
কিছুক্ষন	บ้าง
গৃহশিক্ষক	ติวเตอร์
স্ক্যানার	สแกน
ইতিহাদ	etihad
অনাকাঙ্ক্ষিত	ขยะ
গ্লাসের	กระจก
গ্লাসের	แก้ว
কালির	หมึก
মেমফিস	memphis
এডাম	อดัม
এডাম	adam
কুয়েতি	คูเวต
সমুদ্রতীরবর্তী	ชายทะเล
আইএসসি	isc
মাইলি	miley
খুশকি	รังแค
পুনরুত্থান	คืนชีพ
খো	ค้อ
খো	khoo
টকটকে	งดงาม
টকটকে	งามๆ
সতেজ	สด
সতেজ	สดๆ
সতেজ	สดชื่น
লবঙ্গ	กานพลู
বোনেরা	สองพี่น้อง
গ্যাসোলিন	เบนซิน
গ্যাসোলিন	น้ำมัน
পীচ	ท้อ
পীচ	พีช
বেড়	ยาง
ফ্রা	fra
ফ্রা	พระ
সেজ	เซจ
সজাগ	ตื่น
পাটীগণিত	คณิต
পাটীগণিত	เลขคณิต
হেটে	เดิน
দেবদূত	เทวดา
দেবদূত	นางฟ้า
ধুলো	ฝุ่น
দেবো	พิน
দেবো	จะ
দেবো	วิล
গোরা	gora
সিক	แสวงหา
পিটিশন	คำร้อง
রেলগাড়ি	รถไฟ
খবরাখবর	ข่าวสาร
খবরাখবর	ข่าว
স্ট্যাটিক	คงที่
স্ট্যাটিক	สถิตย์
ফ্লপ	flop
মওদুদী	maududi
রুটিন	กิจวัตร
মার্সি	merci
আর্কিটেক্ট	สถาปนิก
চার্ম	เสน่ห์
ক্যালরি	แคลอรี่
ক্রিড়া	สปอร์ต
ক্রিড়া	กีฬา
ক্রিমিনাল	อาชญากร
ক্রিমিনাল	อาชญากรรม
কেনিয়াত্তা	kenyatta
ভ্রু	คิ้ว
ইউএনএইচসিআর	unhcr
সিপিসি	cpc
যেকোনও	ใดๆ
বিছানার	นอน
বিছানার	ที่นอน
বিছানার	เตียง
রিসর্ট	รีสอร์ท
প্যাশন	กิเลส
প্যাশন	ตัณหา
শালকে	schalke
কোই	koi
লবি	ล็อบบี้
বিব্রত	เขิน
বিব্রত	อาย
নাগরিকরা	ประชาชน
নাগরিকরা	พลเมือง
ইন্তিফাদা	intifada
রেনেল	rennell
প্লেটে	ทะเบียน
প্লেটে	จาน
পাওলা	paola
সিএসপি	csp
গ্রাফাইট	ไฟต์
কুসুমের	เค็ม
ঘটনাগুলি	เหตุการณ์
ঘটনাগুলি	กิจกรรม
ঝু	จู
ঝু	โจว
কমা	จุลภาค
কমা	จุลภาค
কারিকুলাম	หลักสูตร
রাহুলের	rahul
নৈমিত্তিক	สบายๆ
প্রেমী	คู่รัก
হাঁপানি	หอบ
লোভী	โลภ
এনএসএ	nsa
বধূ	bride
সিমেন্স	เมนส์
সরিস্কিয়া	saurischia
গিঁট	เงื่อน
গিঁট	ปม
সিক্ত	สะเพร่า
সিক্ত	เปียก
সিক্ত	wet
কলঙ্ক	ฉาว
কলঙ্ক	รอง
ক্যারোল	carrollton
নিম্নতর	ลด
নিম্নতর	ต่ำ
নিম্নতর	ล่าง
রান্নাঘর	ทำครัว
রান্নাঘর	ครัว
কুপ	เล้า
ঠিকঠাক	โอเค
উপভোগের	เพลิดเพลิน
মোটরস	มอเตอร์
শিখিয়ে	สอน
ইঞ্জেকশন	ฉีด
ইঞ্জেকশন	ฉีด
স্প্রিন্ট	sprint
খুচরো	ปลีก
শ্যাডো	เงามืด
শ্যাডো	เงา
মাতৃত্ব	คลอด
আঙ্গুর	grape
আঙ্গুর	องุ่น
আঙ্গুর	องุ่น
আবেগপ্রবণ	อารมณ์
শ্যাম্পু	ชมพู
শ্যাম্পু	แชมพู
সামথিং	somethin
জেলখানা	คุก
জেলখানা	คุก
প্রক্ষিপ্ত	projective
পাশবিক	โหด
মাখিয়ে	เขย่า
মাখিয়ে	ส่าย
জঘন্য	ตกใจ
জঘন্য	ขยะแขยง
থম	ท่อม
থম	ธอม
বলিদান	บวงสรวง
বেভান	bevan
আউন্স	ออนซ์
দেখো	มอง
দেখো	ดู
ইউপিএ	upa
ভীতিকর	สยอง
নাগি	nagy
কাবাব	บาร์บีคิว
কাবাব	บาร์บีคิว
জেজু	jeju
চুলা	เตา
চুলা	เตา
চুলা	จุฬาฯ
চুলা	จุฬา
বলবো	กล่าว
বলবো	พูด
ড্যানিয়েলা	daniela
শেরিং	tshering
আত্মীয়রা	ญาติๆ
আত্মীয়রা	ญาติ
দিরহাম	ยืนยง
সুশোভিত	ประดับ
বেঞ্জ	เบนซ์
বেঞ্জ	benz
অস্বস্তি	อึดอัด
আইটিসি	itc
নিঃশেষিত	เหนื่อย
পিথাগোরাসের	pythagorean
অট্টালিকার	พับ
লোকটির	กาย
ক্যানসার	มะเร็ง
ধূপ	ธูป
সর্বসম্মত	เอกฉันท์
ডিনার	ดินเนอร์
জিনে	zine
সবজির	ผัก
বাথরুমে	ห้องน้ำ
ওরাকল	เทพพยากรณ์
ক্র্যাশ	คว่ำ
ক্র্যাশ	ตก
উলঙ্গ	เปลือย
আর্গন	เบลเยียม
আর্গন	เบลเยี่ยม
আর্গন	สัญลักษณ์
আর্গন	เอกลักษณ์
আর্গন	เหล็ก
আর্গন	เตารีด
পিং	ping
পিং	ผิง
সিএসই	cse
কলসী	เหยือก
অরাজকতা	อนาธิปไตย
আচ্ছা	โอเค
ময়দার	แป้ง
টুং	tung
সেলিব্রেটি	ดัง
প্লীহা	ม้าม
আপ্যায়ন	ปฏิบัติ
আপ্যায়ন	เลี้ยง
বৃষ	เรน
বৃষ	ฝน
ব্রা	บรา
ডলবি	dolby
বর্ষীয়ান	ทหารผ่านศึก
চেয়েছিলাম	ต้องการ
ক্লিভল্যান্ড	cleveland
কেরোসিন	ก๊าด
ধাতবতা	metallicity
চিরকুট	หมายเหตุ
চিরকুট	บันทึก
চিরকুট	โน้ต
কাজিরাঙা	kaziranga
ধিক্কার	ละอาย
ধিক্কার	เสียดาย
সিগারেটের	บุหรี่
রয়টার্স	reuters
কমায়	ลด
অন্ধকারাচ্ছন্ন	ตาบอด
অন্ধকারাচ্ছন্ন	หมกมุ่น
অন্ধকারাচ্ছন্ন	หลงใหล
জড়তা	ความเฉื่อย
জড়তা	เฉื่อย
বেড়ার	รั้ว
উপযোগীতা	เอนกประสงค์
উপযোগীতা	อรรถประโยชน์
উপযোগীতা	สาธารณูปโภค
উপযোগীতা	อรรถประโยชน์
উপযোগীতা	สาธารณูปโภค
খোইসান	khoisan
জাব	แย็บ
পক্ষপাত	อคติ
জরা	zara
শিবাজি	shivaji
প্রদর্শণ	นิทรรศการ
উরু	ขาอ่อน
মমসেন	mommsen
কানসাস	แคนซัส
বিএমডব্লিউ	bmw
বৈশিষ্ট্যযুক্ত	แนะนำ
গালিচা	พรม
প্লাঙ্কেট	plunkett
আত্মবিশ্বাসী	มั่นใจ
তালাকের	หย่า
কোলাহল	เสียง
নীলা	amethyst
রেমি	remi
ললিপপ	อมยิ้ม
এন্ডি	andy
বেলুচিস্তানের	balochistan
ছানি	ต้อกระจก
সার্ব	serbs
ঘনঘন	บ่อย
কুইজ	สอบ
শিক্ষকরা	ครู
ভেলভেট	กำมะหยี่
পেং	peng
পেং	เผิง
পেং	ผิง
বৃশ্চিক	แมงป่อง
বৃশ্চিক	แมงป่อง
কারফিউ	เคอร์ฟิว
ক্যালোরি	แคลอรี่
ক্যালোরি	แคลอรี่
রেলি	rayleigh
ওকল্যান্ড	oakland
বক্সাইট	bauxite
ওয়াকিবহাল	แจ้ง
গিলেস্পি	กิลเลส
টপস	รำ
টপস	ท็อปส์
অ্যামবুশ	ซุ่ม
পাচারের	ค้า
ফ্লেয়ার	พลุ
মারিয়ার	maria
জাহান্নামের	นรก
স্টেম	ก้าน
তোহো	toho
ডেমোক্র্যাট	ประชาธิปไตย
কারণগুলো	เหตุผล
গাজর	แครอท
গাজর	แครอท
তিস্তার	tis
নাস্তা	ขนม
পছন্দনীয়	ขวัญใจ
পছন্দনীয়	ชอบ
খাম	ซอง
সোনম	sonam
ওয়াইফাই	wifi
মেটাক্রিটিক	metacritic
টিনো	tino
উল্লাস	glee
লাইটওয়েট	เบา
অবনত	สะดุ้ง
আলতো	เบาๆ
উপভোগ্য	เพลิดเพลิน
উপভোগ্য	สนุก
বাউ	bau
খড়ের	ฟาง
খড়ের	หลอด
মাচ	มาก
মাচ	มากมาย
জাদুকরী	แม่มด
অনর্গল	คล่อง
কার্লাইল	คาร์ไลล์
কার্লাইল	คาร์ไลส์
বার্লি	บาร์เลย์
সৌজন্য	มารยาท
কাত	เขย่า
কাত	ส่าย
রুয়াল	roald
পৃষ্ঠাসমূহ	เพจ
পৃষ্ঠাসমূহ	หน้าที่
পৃষ্ঠাসমূহ	หน้า
কামেল	kamel
শাহাব	shahab
ফ্লোরে	พื้น
শেফ	เชฟ
হিল্টন	hilton
একনায়কতন্ত্রের	เผด็จการ
নম্র	เจียม
নম্র	ถ่อม
চ্যাম্পিয়ান	แชมป์
অমঙ্গল	ลาง
চাইনা	จีน
ব্লাউজ	เสื้อ
পেরন	perón
উইকিবই	wikibooks
নিভৃতে	กระซิบ
ইসরাইলি	อิสราเอล
সম্ভাষণ	สวัสดี
সম্ভাষণ	ทักทาย
টগর	tabernaemontana
পরিস্কারভাবে	ชัด
হোন্ডা	honda
হোন্ডা	ฮอนด้า
ছল	ทริค
ইরেক্টাস	erectus
যথেচ্ছ	มั่ว
যথেচ্ছ	สุ่ม
লুকায়িত	ซ่อน
দৈত্যদের	ยักษ์
পিঙ্ক	pink
পিঙ্ক	ชมพู
পিঙ্ক	สีชมพู
সদস্যতা	ติดตาม
সদস্যতা	สมัคร
সদস্যতা	สมาชิก
সার্জিও	sergio
টেইট	tait
ফ্লো	ไหล
ফ্লো	กระแส
ফ্লো	โฟล
অলিভেইরা	oliveira
বিচক্ষণতা	ดุลยพินิจ
বিচক্ষণতা	วิจารณญาณ
কমিউনিজম	คอมมิวนิสต์
ঝাপসা	เบลอ
গিগি	gigi
ফ্রেন্ড	friend
ফ্রেন্ড	เพื่อน
কনটেস্ট	ประกวด
বউয়ের	ภริยา
বউয়ের	ภรรยา
বউয়ের	เมีย
ড্রাই	แห้ง
ড্রাই	แล้ง
ড্রাই	แห้งๆ
মসৃন	เรียบ
কনিক	conics
কনিক	conic
শুটার	นักกีฬา
শুটার	มือปืน
টিকিটের	ตั๋ว
টিকিটের	ใบสั่ง
টিকিটের	บัตร
সাদামাটা	ธรรมดา
গর্ভাবস্থা	ครรภ์
আয়তক্ষেত্র	สี่เหลี่ยม
ল্যাভেন্ডার	ลาเวนเดอร์
পিৎজা	พิซซ่า
পিৎজা	pizza
রসিক	ติดตลก
উইংস	ปีก
স্ট্রিম	ลำธาร
সিডর	sidr
ধারকত্ব	capacitance
ক্যাঙ্গারু	จิงโจ้
কুলা	kula
স্ল্যাশ	เฉือน
নোরা	นอ
চৌদ্দজন	believers
দৃশ্যগুলো	ฉาก
শাবান	shaban
হাঁ	haan
ট্রাইডেন্ট	สามง่าม
ড্রপবক্স	dropbox
ক্ষেতের	ไร่
এমোক্সিসিলিন	amoxicillin
স্ট্রিক	วงๆ
সরস	สดชื่น
রংধনু	สายรุ้ง
রংধনু	เรนโบว์
রংধনু	รุ้ง
মুদা	muda
অদলবদল	สลับ
বাউন্স	เด้ง
বাউন্স	กระเด้ง
হাসতে	ยิ้ม
পুজার	บูชา
স্পিচ	สุนทรพจน์
ব্যবচ্ছেদ	ชำแหละ
পলক	กะพริบ
পলক	blink
জ্যাকপট	แจ๊คพ็อต
শাবাব	shabab
চাকো	chaco
স্নোডেন	snowden
তাঞ্জানিয়া	แทนซาเนีย
লোভনীয়	อร่อย
নেচে	เต้นรำ
নেচে	เต้น
খাঁচায়	กรง
জিনিষ	สิ่งของ
জিনিষ	สิ่งของ
চিরুনি	หวี
এরিনা	สังเวียน
বেকিং	ขนมอบ
অর্থব্যবস্থা	ไฟแนนซ์
অর্থব্যবস্থা	เศรษฐกิจ
আশ্রয়স্থল	ที่พัก
ইউএফও	ufo
ধোলাই	ล้าง
স্কোরিং	คะแนน
ল্যাংমিউয়র	langmuir
সোলো	เดี่ยว
দাদু	ปู่
দাদু	ปู่
ভেল	เวลล์
জিং	จิง
জিং	zing
শৃঙ্গার	เล้าโลม
পরিত্রাণ	ไถ่บาป
এজেন্টের	ตัวแทน
এজেন্টের	เอเย่นต์
ব্রাদারহুডের	ภราดรภาพ
ফ্লিপ	พลิก
লাপ্লাস	laplace
উঠান	สนาม
উঠান	ลาน
শেল্ডন	sheldon
হুদ	ฮัด
অপরাধীর	อาชญากร
অপরাধীর	อาชญากรรม
পিও	pio
অজ্ঞতা	งมงาย
গুঞ্জন	บัซ
আরাবি	arabi
টেম্পো	จังหวะ
পক্ষপাতদুষ্ট	ลำเอียง
ব্যাকআপ	สำรอง
রিস্ক	เสี่ยง
নাগরিকেরা	ประชาชน
নাগরিকেরা	พลเมือง
জিটিএ	gta
সিমেন্টের	ปูน
ইনজেকশন	ฉีด
ইনজেকশন	ฉีด
অজ্ঞ	งมงาย
স্বাচ্ছন্দ্য	สะดวก
স্বাচ্ছন্দ্য	สบาย
স্বাচ্ছন্দ্য	สบายใจ
মজুরির	ค่าแรง
পতিতা	โสเภณี
স্বাস্থ্যবান	สุขภาพ
ম্যাকলিওড	mcleod
বাহা	baha
সনিক	โซนิค
এস্কেপ	หนี
এনবিএ	nba
ডেকা	deka
কস্ট	ต้นทุน
শূরা	shura
লাঠির	ติด
এডিডাস	adidas
চাষি	เกษตรกร
চাষি	ชาวไร่
চাষি	ชาวนา
মুঠো	กำ
মুঠো	หมัด
মুঠো	กำปั้น
মুঠো	ปั้น
তুর্কিস্তান	turkestan
গ্রিমেট	grimmett
প্ল্যানিং	วางแผน
লাইডেন	leiden
ভোঁতা	ทื่อๆ
জালিয়াতি	ฉ้อโกง
বাবল	ฟอง
ব্যায়ামাগার	gym
ব্যায়ামাগার	ยิม
ব্যায়ামাগার	พละ
রেক	rec
রেক	สันทนาการ
বিভ্রম	ภาพลวงตา
পাগলের	บ้า
পাগলের	เพี้ยน
রাবারের	ยาง
ঠোট	ปาก
ঠোট	ลิป
ঠোট	lip
কুপন	คูปอง
বিদ্বেষী	เกลียด
ফার্ন	fern
আরে	เฮ้
আরে	เฮ
বং	บง
বং	บอง
বিটকয়েন	bitcoin
কনসেপ্ট	แนวคิด
কনসেপ্ট	concept
অরো	oro
বেক	อบต
বেক	อบ
হিসাবরক্ষণ	บัญชี
পোজ	โพส
পোজ	ท่า
উদ্দিষ্ট	เป้า
টাংস্টেন	ทังสเตน
ফুজিয়ান	fujian
জাইন	zine
হেং	เฮง
তুল	tul
উরালীয়	uralic
টার্বো	เทอร์โบ
টাটকা	สด
টাটকা	สดๆ
টাটকা	สดชื่น
গন্ডোয়ানা	gondwana
প্যারাডাইস	พาราไดซ์
প্যারাডাইস	สวรรค์
প্যারাডাইস	พาราไดส์
সহযাত্রী	คู่หู
ভোডাফোন	vodafone
কোকেন	โคเคน
সাইমন্ডস	symonds
ধৈর্য	อดทน
কামি	kami
স্লট	ล็อต
স্লট	สล๊อต
স্লট	สล็อต
স্লট	ล็อต
ক্যাম্বোডিয়ার	กัมพูชา
দাদি	ยาย
নাকে	จมูก
গ্লাভস	ถุงมือ
শসা	แตงกวา
সুমনা	sumana
সুপেরিয়র	supérieure
ক্রনিকল	chronicle
ডাসলার	dassler
রেপ্লিকা	จำลอง
ভিভা	viva
সমস্যাগুলি	ปัญหา
উপসংহার	สรุป
অ্যাপস	แอป
অ্যাপস	แอพ
ওয়ার্ডপ্রেস	wordpress
আগামীকাল	พรุ่ง
ভের্দি	verdi
সেরেস	ceres
স্লিম	slim
যত্নবান	ห่วงใย
পিওর	บริสุทธิ์
যন্ত্রণাদায়ক	ปวด
যন্ত্রণাদায়ক	ระบม
হস্তনির্মিত	handmade
কেকের	เค้ก
কেকের	เค๊ก
কার্লসন	carlsson
তাস	บัตร
তাস	การ์ด
তাস	ไพ่
প্রতিষ্ঠানগুলি	องค์กร
বিকালে	บ่าย
পড়বেন	อ่าน
রেলে	ถ่ายทอด
রেলে	ผลัด
উৎসুক	สงสัย
পেপে	เปเป
ওড়ানো	โบกมือ
অনুভুতি	รู้สึก
অনুভুতি	feeling
লাঙ্গল	ไถ
লাঙ্গল	ไถนา
ড্রিউ	ดรูว์
ড্রিউ	ดรูว
রঙ্গীন	สีสัน
বিটল	ด้วง
বিভিন	นิกาย
স্কিইং	สกี
বার্নেট	burnet
ইভো	evo
অপ্রতিরোধ্য	ท่วมท้น
অপ্রতিরোধ্য	ล้นหลาม
টেট	เทท
টেট	เทต
টেট	เท็ท
টেট	เท็ต
ওং	วอง
ওং	หวง
জিহান	jehan
কিস্তিতে	ผ่อน
স্বস্তি	สะดวก
স্বস্তি	สบาย
স্বস্তি	สบายใจ
জোকস	มุข
জোকস	มุก
জোকস	ตลก
বৈশিষ্ট্যাবলী	คุณลักษณะ
বৈশিষ্ট্যাবলী	คุณสมบัติ
বৈশিষ্ট্যাবলী	ทรัพย์สิน
স্বাস্থ্যসম্মত	สุขภาพ
কর্ন	ข้าวโพด
টাও	เต๋า
টাও	เต่า
টাও	เทา
টাও	tao
গ্যালন	แกลลอน
খাই	ทาน
খাই	กิน
ভেনম	พิษ
ফুজিও	fujio
টোকা	แตะ
টোকা	แท็ป
গুয়ানো	ปุ๋ย
ক্যানভাস	canvas
ক্যানভাস	ผ้าใบ
স্কাইপ	ไกส์
স্কাইপ	skype
নিরাশ	ท้อ
দিশা	ทิศทาง
দিশা	ปฐมนิเทศ
ম্যাসেজ	นวด
অশালীন	อนาจาร
ড্র্যাগ	ลาก
ফেনা	โฟม
ফেরের	ferrer
প্লাস্টার	ปูน
টর	tor
ডাইজেস্ট	สรุป
হিগিন্স	higgins
লিওনার্ট	leonhard
টং	taung
টং	ทง
ইউজিসি	ugc
কবচ	เครื่องราง
ভুতুড়ে	หลอน
ভুতুড়ে	สิง
ভুতুড়ে	สิงค์
ভুতুড়ে	หลอน
আরাবী	arabi
গালের	แก้ม
খুর	มีดโกน
স্বত্বাধিকার	ลิขสิทธิ์
স্বত্বাধিকার	copyright
কিউপিড	กามเทพ
সাগা	saga
ভাজার	ทอด
ফর্ক	ส้อม
সুলেইমান	suleiman
টানটান	ขัน
ধ্বংসস্তুপ	ซาก
সেন্সরশিপ	เซ็นเซอร์
বুলি	รังแก
চুমু	จุ๊บ
চুমু	จูบ
চুমু	จูบ
চুমু	kiss
বাগধারা	สำนวน
জগ	jag
খসখসে	ขรุขระ
খসখসে	ลำบาก
খসখসে	หยาบ
পারতাম	สามารถ
রসুনের	กระเทียม
মোহসেন	mohsen
ডালা	dala
ক্যাশে	แคช
ক্রীম	ครีม
ধাতুবিদ্যা	metallurgy
ট্যাগিং	แท็ก
সঞ্চালনা	ประหาร
ট্রিপ	ทริป
খতিব	khatib
ইন্টারেক্টিভ	โต้ตอบ
স্টাম্প	ตอ
উইকিম্যাপিয়া	wikimapia
মেহমেদ	mehmed
হেরোইন	เฮโรอีน
বিম	คาน
বিম	beam
বিম	บีม
বিম	ลำแสง
বিলিয়ার্ড	บิลเลียด
প্রস্রাবের	ฉี่
প্রস্রাবের	pee
রিনা	rina
থি	ไท
ডোমেন	โดเมน
ডোমেন	โดเมน
আং	อัง
আং	อ่าง
পিল্লাই	pillai
দস্তাবেজ	เอกสาร
দস্তাবেজ	เอกสาร
প্রত্যাশী	หวัง
প্রশান্তি	ร่มรื่น
মায়েরা	มารดา
মালী	คนสวน
ঘোলা	เบลอ
ডিরেক্ট	ตรง
ডিরেক্ট	โดยตรง
ডিরেক্ট	direct
কেঁদে	ร้องไห้
কোলাজেন	collagen
স্ক্রোল	เลื่อน
জেএসসি	jsc
শিরি	shiri
পেয়াজ	หอม
ঘোরা	dur
কাবুস	qaboos
আইএসআই	isi
অলিভ	มะกอก
লিজেন্ড	ตำนาน
লিজেন্ড	legend
ফাতিহ	fatih
অঙ্গভঙ্গি	น้ำใจ
রিল	รีล
মুদি	ของชำ
বেথ	เบ็ธ
বেথ	เบ็ท
বেথ	เบ็ต
বেথ	เบธ
খৎনা	ขลิบ
জাই	zai
ফাটিয়ে	rock
ফাটিয়ে	ร็อค
ফাটিয়ে	โยก
ফাটিয়ে	หิน
মুর্তি	อนุสาวรีย์
জ্যাসন	jason
ফানেল	กรวย
সূচিপত্র	ดัชนี
গোষ্ঠীগুলি	กลุ่ม
গ্যারেজে	อู่
গ্যারেজে	โรงรถ
ক্লিনিকে	คลินิก
ভেরী	ทรัมพ์
ভেরী	ทรัมป์
ভেরী	ทรัม
ভেরী	trump
কাস্টিং	casting
ঘনিষ্ট	ปิด
শোষক	หมก
নিকলসন	nicholson
বিএএসএফ	basf
হাজো	hajo
এক্সিম	exim
ভাসিলি	vasily
কিটি	kitty
মোরেল	morel
ক্যাডার	แก๊ง
পক	ป๊อก
তিউনিস	ตูนิส
ইমেল	อีเมล
ইমেল	อีเมล์
আবেলীয়	abelian
ইরানিয়ান	อิหร่าน
গতিময়	ง่วง
তোয়ালে	ผ้าเช็ดตัว
প্রতারিত	โกง
এসএমই	sme
রাশোমোন	rashomon
নিখাদ	บริสุทธิ์
জামাকাপড়	เสื้อผ้า
কার্টিজ	ตลับ
বিল্ড	สร้าง
টেরেস	ระเบียง
পেরেক	nail
পেরেক	เล็บ
পেরেক	ตะปู
অভদ্র	หยาบ
জাঁকজমকপূর্ণ	งดงาม
জাঁকজমকপূর্ণ	งามๆ
তাকী	taqi
কোবাল্ট	โกลบอล
কোবাল্ট	global
কোবাল্ট	คำนวณ
কোবাল্ট	โคบอลต์
মাইক্রোফোন	ไมโครโฟน
মলে	มอลล์
মলে	ห้าง
গর্বের	ภูมิใจ
প্যারাশুট	ชูชีพ
ক্যাম্বোডিয়া	กัมพูชา
স্ত্রীরা	ภริยา
কুমড়া	ฟักทอง
ভিয়েনতিয়েন	เวียงจันทน์
নিদা	nida
ইউবিসফট	ubisoft
বিবর্ণ	จาง
ফুঁ	เป่า
ফুঁ	ฟุ้ง
ফুঁ	เป่า
ক্রিপ্ট	ป่าช้า
ছি	ชิ
ছি	chi
ছি	จิ
আইএএস	ias
শ্রদ্ধাঞ্জলি	ส่วย
শ্রদ্ধাঞ্জলি	บรรณาการ
মূর্খ	งมงาย
এলডিপি	ldp
লিপস্টিক	ลิปสติก
চেয়েছি	ต้องการ
রাইবোজোম	ribosome
স্প্রিংফিল্ড	สปริงฟิลด์
মচমচে	กรอบ
সঞ্জননী	generative
শ্রেষ্ট	best
দোলনা	โยก
টুন	toon
মারিয়ান	marian
ট্রিগার	ไก
নাভি	navi
কাউবয়	คาวบอย
কাউবয়	cowboys
কাউবয়	คาวบอย
কোলোনিয়া	colonia
মরতে	ตาย
বোম	ระเบิด
বোম	bom
শেক	ชก
শেক	เขย่า
শেক	ส่าย
কেজ	กรง
পরিবর্তনগুলি	เปลี่ยนแปลง
ফানুস	โคมลอย
থাকো	อยู่
ড্যাগার	กริช
লিপ	ลิป
লিপ	lip
স্থানান্তরণ	เลื่อน
স্থানান্তরণ	ขยับ
স্থানান্তরণ	ย้าย
খাটি	บริสุทธิ์
শিল	ลูกเห็บ
গং	กง
ফালতু	อึ
সিলিং	เพดาน
টীম	ทีม
টীম	team
আবেগপূর্ণ	อารมณ์
আবেগপূর্ণ	วิญญาณ
তুলুন	รับ
তুলুন	เอา
