ロブ	robb
サーフィン	surf
サーフィン	surfing
シリウス	sirius
アンドロイド	android
青海	qinghai
憎悪	haat
特派員	correspondent
シャドー	skadu
シャドー	skaduwee
リチャードソン	richardson
キャブレター	carburetor
花崗岩	granite
メソポタミア	mesopotamië
未解決	onopgelos
サガ	saga
球面	sfeer
モリソン	morrison
フランキー	frankie
格下げ	afgegradeer
ホプキンス	hopkins
えりか	erika
手作り	handgemaakte
手作り	tuisgemaakte
購読	inteken
購読	registreer
購読	intekeninge
購読	intekening
アクシデント	ongeluk
井手	ide
クルマ	kar
クルマ	motor
クルマ	motorvoertuig
傾き	sterte
傾き	kantel
傾き	hellings
傾き	skuins
宣誓	eed
エルヴィス	elvis
シリコン	silikon
証書	deed
証書	sertifikaat
お化け	spook
恐ろしい	horrible
ご飯	rys
ビーバー	beaver
パーマ	perm
行き先	bestemming
狩人	hunter
狩人	jagter
フィーチャー	eienskap
フィーチャー	kenmerk
雲南省	yunnan
グルコース	glukose
パラドックス	paradoks
ヒョウ	luiperd
クレイジー	mal
黒竜江	heilongjiang
ニコン	nikon
士気	morale
ダグ	doug
スイート	suite
スイート	suites
磁性	magnetisme
占星術	astrologie
占星術	sterreteken
ドルフィン	dolfyn
マラウイ	malawi
障壁	versperrings
障壁	barrier
スムーズ	glad
レヴィ	levy
レヴィ	lévy
アバター	avatar
議事	agenda
標語	motto
標語	leuse
湖北省	hubei
酪農	dairy
アニ	ani
しっぽ	stert
しっぽ	sterte
利子	belangstelling
利子	rente
リコール	herroep
ストーンズ	klippe
ダンディ	dandy
ゲッティンゲン	göttingen
チェイス	chase
レザー	leer
ツェッペリン	zeppelin
ドーハ	doha
ウィリス	willis
シンプソン	simpson
レイテ	leyte
プジョー	peugeot
抗原	antigene
ネプチューン	neptune
ガイウス	gaius
砂浜	strand
ターミネーター	terminator
寛容	tolerance
分隊	squad
デズモンド	desmond
オカルト	okkult
ラサ	lhasa
ガウス	gauss
石鹸	seep
石鹸	sepies
ホッパー	hopper
金魚	goudvis
シーザー	caesar
アロマ	aroma
ピーナッツ	peanuts
ピーナッツ	grondboontjie
トランク	trommel
ストール	stole
ストール	gestol
被覆	toemaak
被覆	omslag
被覆	omhulsel
プロバイダ	verskaffer
オートマチック	outomatiese
オートマチック	outomaties
ファンキー	funky
ピカソ	picasso
阪南	hannan
ドリフト	drift
寒い	cold
寒い	koue
寒い	koud
侵食	erosie
ラッピング	oorvloei
ラッピング	omvou
エマニュエル	emanuel
エマニュエル	emmanuel
クーラー	koelhouer
フレッチャー	fletcher
混沌	chaos
ボリシェヴィキ	bolsjewis
柔らかい	tender
柔らかい	sagte
柔らかい	sag
ソクラテス	sokrates
フィジー	fiji
オマーン	oman
グラナダ	granada
ショートカット	kortpaaie
グレアム	graham
ファウル	oortreding
杭州	hangzhou
メッセンジャー	messenger
キーン	keen
キーン	keane
矢印	pyle
矢印	pyl
マーサ	martha
ロリータ	lolita
ヒルトン	hilton
金持ち	ryk
記法	notasie
ネイサン	nathan
断崖	suspicion
メンデルスゾーン	mendelssohn
波形	golfvorm
ローブ	robe
ローブ	loeb
ダルムシュタット	darmstadt
ナイアガラ	niagara
プルトニウム	plutonium
ユートピア	utopia
ロニー	ronnie
勃起	ereksie
冥王星	pluto
両足	voete
ヒルベルト	hilbert
賛美	loof
賛美	lofprysing
手書き	handskrif
羽後	ugo
生殖	voortplanting
生殖	reproduktiewe
クラゲ	jellievis
アゲイン	weer
マフラー	knaldemper
気質	temperament
サボテン	kaktus
精子	sperm
マリリン	marilyn
持分	equity
ノヴァ	nova
サイクロン	sikloon
グレース	grace
プランナー	beplanner
チャーム	charm
アデレード	adelaide
カルガリー	calgary
エヴァンス	evans
被曝	blootstelling
被曝	exposure
ファクター	factor
ファクター	faktor
ガールフレンド	vriendin
ガールフレンド	vriendinne
ネガティブ	negatiewe
ネガティブ	negatief
着る	wear
ピアース	pierce
ピアース	pearce
インスブルック	innsbruck
カタリナ	catalina
カタリナ	catarina
スプーン	lepel
加法	optel
加法	byvoeging
ハサン	hassan
ハサン	hasan
陝西省	shaanxi
ナント	nantes
トンガ	tonga
暗示	voorstel
高分子	polimeer
ヨアヒム	joachim
プリマ	prima
塗料	verf
トピック	onderwerp
トピック	onderwerpe
村民	villagers
ワイヤレス	wireless
ワイヤレス	draadloos
ワイヤレス	draadlose
注記	notas
ノートン	norton
献身	toewyding
献身	devotion
対数	logaritme
寄宿舎	koshuise
無意識	bewusteloos
進捗	vordering
ウィザード	towenaar
ウィザード	assistent
ウィザード	wizards
バッタ	sprinkaan
中性	neutraal
盗難	diefstal
サケ	salmon
サケ	salm
デービス	davis
ピアス	pierce
ピアス	inskiet
ネイチャー	aard
ネイチャー	prent
ネイチャー	natuur
ネイチャー	nature
バビロニア	babilonië
エディタ	redakteur
エディタ	redigeerders
コンペ	kompetisie
ネクタイ	gelykop
ネクタイ	das
ネクタイ	bande
陶磁器	keramiek
幻覚	hallusinasies
アトランティス	atlantis
君主制	monargie
便器	toilet
群衆	skares
群衆	skare
スウィート	lieflike
スウィート	soet
求人	jobs
求人	werksgeleenthede
求人	werke
求人	betrekkings
求人	poste
求人	loopbane
ローレン	lauren
リーダーシップ	leadership
リーダーシップ	leiers
リーダーシップ	leierskap
顔料	pigment
贅沢	luukse
贅沢	luxury
ミイラ	mummy
ミイラ	mummie
ミイラ	mummies
たぶん	miskien
たぶん	dalk
踊り子	dansers
アレッサンドロ	alessandro
トリニダード	trinidad
ドナー	skenker
法曹	regsgeleerde
ぶどう	druiwe
ぶどう	druiwe
チェロキー	cherokee
アンドロメダ	andromeda
実例	voorbeelde
孔子	confucius
ブランドン	brandon
東風	dongfeng
シュルツ	schultz
シュルツ	schulz
アンモニア	ammoniak
グラフィティ	graffiti
オースチン	austin
ビジター	besoeker
ビジター	besoekers
リベリア	liberië
感性	sensibility
靴下	sokkies
グエン	gwen
サイゴン	saigon
ヒーローズ	heroes
ヒーローズ	helde
ジョイス	joyce
インペリアル	imperial
ピレネー	pireneë
スタミナ	stamina
クラクフ	krakow
クラクフ	krakau
ポリネシア	polinesië
ホンジュラス	honduras
悲惨	tragic
パートナーシップ	vennootskap
パートナーシップ	vennootskappe
財宝	treasure
コットン	katoen
プログラマー	programmeerder
ゴンサレス	gonzález
ナッツ	moer
カウンセラー	berader
ヴァージニア	virginia
ヴァージニア	virginië
ブルック	brooke
円錐	kegel
円錐	cone
ドラマチック	dramatiese
デポルティーボ	deportivo
クロフォード	crawford
スピードウェイ	speedway
イチゴ	aarbei
イチゴ	strawberries
イチゴ	aarbeie
トレド	toledo
プロダクト	produk
プロダクト	produkte
美味	delicious
書き込む	skryf
お祭り	fees
まめ	mame
サンゴ	gespikkelde
サファイア	saffier
良心	bewussyn
水星	mercury
水星	kwik
ブリヂストン	bridgestone
エキスパート	kundige
エキスパート	expert
エキスパート	ervare
アルカディア	arcadia
スラブ	slab
プランテーション	kolonisasie
プランテーション	plantations
ミトコンドリア	mitochondriale
ジー	zee
落書き	graffiti
キャッスル	kasteel
音程	intervalle
音程	interval
疫病	plaag
六月	junie
議題	agendas
議題	agenda
ドラッグストア	apteek
ウォード	ward
ハビエル	javier
ジュネーブ	geneva
廣瀬	hirose
錯体	komplekse
錯体	kompleks
スピッツ	spitz
ヌイ	nui
アルティメット	ultimate
ナイツ	knights
ナイツ	nagte
アイリッシュ	ierse
アイリッシュ	irish
アイリッシュ	iers
植生	plantegroei
コミッション	kommissie
激励	aanmoediging
オリヴィエ	olivier
どうやら	apparently
シュテファン	stefan
インナー	innerlike
彫像	standbeelde
彫像	standbeeld
ミキサー	menger
ジェラール	gérard
返信	antwoord
返信	antwoorde
カンタベリー	canterbury
焼く	gebak
消化器	samevatting
消化器	opsomming
消化器	digest
オデッサ	odessa
子午線	meridiaan
ボルボ	volvo
引き出す	ontrek
四月	april
メアリ	mary
メアリ	maria
甘粛	gansu
雑草	onkruid
ボーダー	grens
ユン	yun
ハバナ	havana
アナル	anale
アーリントン	arlington
ニューマン	newman
典礼	gewyde
缶詰	vaste
缶詰	canning
長所	voordele
エジソン	edison
ピッチャー	pitcher
ドミンゴ	domingo
チェチェン	tsjetsjnië
プロファイル	profiel
プロファイル	profiele
マゼラン	magellan
後見人	guardian
後見人	voog
後見人	voogde
フリオ	julio
射精	ejakulasie
点滅	flikker
点滅	flikker
点滅	blink
司書	bibliotekaris
整合性	integriteit
情事	affair
ジーンズ	jeans
ミット	mitt
書き直し	herskryf
シビック	burgerlike
シビック	munisipale
シビック	civic
刃物	blade
ジョーイ	joey
アムトラック	amtrak
エマーソン	emerson
手首	pols
マトリックス	matrix
ジョーン	johanna
ジョーン	joan
フーリエ	fourier
パイナップル	pynappel
旦那	man
デュラン	duran
夕食	aandete
夕食	aandete
スミレ	violets
フリップ	flip
デレク	derek
疑似	pseudo
憎しみ	haat
引越し	beweeg
マッピング	mapping
縄張り	turf
縄張り	gebied
インディペンデント	independent
インディペンデント	onafhanklike
インディペンデント	onafhanklik
インディペンデント	selfstandige
ピカチュウ	pikachu
モルドバ	moldowa
ヴュルツブルク	würzburg
エスペラント	esperanto
パイル	hopie
公報	bulletin
カリン	karin
キャロライン	caroline
ジェローム	jerome
南極大陸	antarktika
ビースト	beast
ビースト	monster
恥ずかしい	verneder
ビショップ	biskop
ビショップ	loper
レア	rhea
レア	skaars
再考	heroorweeg
パトリシア	patricia
ベーコン	bacon
ボトム	bodem
ボトム	onder
ボトム	onderkant
ボトム	bottom
オーガスタ	augusta
ブータン	bhoetan
クラシカル	klassieke
ウェバー	webber
オーム	ohm
髪の毛	hare
オイゲン	eugen
教会堂	kerk
プリマス	plymouth
線量	dose
エンパイア	ryk
キュリー	curie
ジェンダー	geslag
ペニー	penny
プログレッシブ	progressiewe
チラシ	flyer
チラシ	pamflet
結び目	knope
結び目	knoop
ヘイ	hallo
ヘイ	hi
ヘイ	haai
ユダ	judas
ネジ	skroef
カウボーイ	cowboys
カウボーイ	cowboy
アンデス	andes
イタリアン	italiaanse
イタリアン	italiaans
製本	bind
アウクスブルク	augsburg
アウトバーン	autobahn
斑点	spotted
斑点	gevlekte
斑点	ruimtes
斑点	kolle
領事館	konsulaat
洋服	klere
カルマ	karma
ツーリング	touring
パープル	pers
