から	od
兄弟	braće
兄弟	braća
戦隊	sentai
戦隊	eskadrila
戦隊	eskadrile
メジャー	major
イメージ	slike
イメージ	imidžu
イメージ	imidž
イメージ	slika
違い	razlika
違い	razlike
違い	razlika
軍事	vojska
創設	osnivački
創設	osnivanja
ハン	han
カラー	boja
カラー	boji
カラー	boje
カラー	boje
カラー	boju
カラー	boja
カラー	boje
チャンネル	kanali
チャンネル	kanala
チャンネル	kanale
チャンネル	kanal
チャンネル	kanalu
チャンネル	channel
ドラフト	nacrtu
ドラフト	nacrt
川崎	kawasaki
西部	zapadu
西部	zapad
オランダ	holandija
オランダ	holandija
セット	setu
セット	set
セット	postavio
セット	postavljeni
セット	seta
動物	životinje
動物	životinje
住民	stanovnici
住民	stanovništvo
住民	stanovnika
住民	stanovnik
住民	stanovništvo
民族	etnički
民族	etnička
資本	kapital
テンプレート	templates
あなた	vi
あなた	ti
あなた	you
あなた	te
選択	selekcija
選択	izbor
選択	izbor
選択	odabrao
選択	biraju
選択	birati
選択	izabere
選択	izabrao
選択	biraju
選択	odabir
ジョージ	george
失敗	neuspjeh
失敗	propao
失敗	propali
標準	standardni
ワン	jedan
ワン	jedna
清水	shimizu
購入	nabavku
購入	kupovina
購入	kupi
購入	kupiti
購入	kupovne
購入	kupovinom
ライ	raž
ライ	rai
終点	terminus
タレント	talenata
タレント	talenat
リア	lear
リア	lir
リア	lia
階級	redove
階級	predavanje
レッド	crvena
市長	gradonačelnik
コーチ	treneri
コーチ	trener
コーチ	selektor
建物	zgrada
ジュニア	juniorsko
ジュニア	juniorska
ジュニア	junior
ジュニア	mlađi
候補	kandidata
候補	kandidat
朝鮮	koreja
自動	auto
自動	automatsko
モード	modu
モード	mode
モード	mod
皇帝	imperator
皇帝	careva
皇帝	carevi
認定	certificirani
認定	priznanja
認定	priznavanje
認定	priznanje
分離	razdvajanje
挑戦	izazovi
挑戦	izazove
挑戦	izazov
挑戦	challenge
改革	reforme
改革	reformi
改革	reformama
改革	reforma
集団	grupa
魔法	sihr
修正	korekcija
修正	popravi
継続	nastavljena
継続	nastavila
継続	nastavljen
継続	nastavio
継続	nastavak
地下鉄	underground
地下鉄	podzemni
地下鉄	podzemna
地下鉄	metro
地下鉄	metro
井上	inoue
ブログ	blog
ブログ	blogs
部屋	sobu
部屋	soba
部屋	sobe
部屋	sobe
既に	već
トラック	track
トラック	stazi
トラック	kamion
トラック	kamione
トラック	kamioni
トラック	kamiona
東部	istok
東部	istočnim
東部	istočni
東部	istočnoj
東部	istočna
東部	istočne
美術館	muzeji
美術館	muzej
合計	sum
合計	suma
合計	ukupno
貢献	doprinos
貢献	doprinosi
古代	drevni
古代	drevno
古代	drevna
古代	drevne
エンディング	okončanju
エンディング	zaključka
エンディング	zaključak
ユーザー	korisnički
ユーザー	korisnik
ユーザー	korisnici
ユーザー	korisnika
バン	van
父親	očeva
父親	otac
バック	bak
批判	kritika
批判	kritike
原因	prouzrokovati
原因	uzrok
植物	biljke
植物	biljke
ショー	shaw
ショー	sho
ショー	show
ショー	emisiju
ショー	nastup
ショー	šou
ショー	sou
ボーカル	vokal
ボーカル	glasni
コミック	strip
コミック	strip
毎週	sedmični
毎週	sedmičnjak
エネルギー	energija
ルール	pravila
ルール	pravilo
未来	budućnost
移行	migracije
移行	migracija
ユース	omladina
三菱	mitsubishi
週刊	sedmični
週刊	sedmičnjak
まだ	ipak
ランキング	rang
ランキング	rang
ダイ	dai
金曜	petkom
処理	obrade
処理	obradu
処理	obradi
年齢	uzrast
年齢	godište
年齢	doba
年齢	age
年齢	starost
年齢	vijek
年齢	godišta
エリア	elia
形態	morfologija
形態	forme
形態	formama
形態	oblici
形態	oblike
ポーランド	poljska
シン	shin
シン	grijeha
シン	grijeh
作曲家	kompozitor
精神	duh
精神	džibril
拠点	uporište
日付	datum
日付	datira
日付	datuma
日付	datumi
スタート	početak
スタート	start
スタート	početka
範囲	rasponu
範囲	opseg
範囲	domet
範囲	dometa
自治体	općina
自治体	općine
宣伝	promocija
宣伝	promovisanje
宣伝	promoviranja
宣伝	promovira
宣伝	jačaju
宣伝	jačanje
哲学	filozofija
財団	foundation
財団	fondacija
財団	temelj
反応	reakcija
教師	nastavnik
教師	učitelj
教師	nastavnike
教師	nastavnika
教師	nastavnici
教師	profesori
宗教	religija
武器	oružje
武器	oružja
武器	oružje
住宅	stambeni
住宅	stambene
住宅	stanovanje
住宅	stambeni
住宅	domova
住宅	domovi
住宅	domove
保存	spasi
保存	spašavanje
保存	očuvanje
辞典	rječnik
機関車	lokomotiva
緊急	hitna
緊急	vanredna
地下	underground
地下	podzemni
地下	podzemna
連隊	regimenta
連隊	puk
ウィキペディア	wikipedia
連結	consolidated
連結	concatenation
ストーリー	priča
ストーリー	priče
ストーリー	price
太陽	sunce
交換	razmjenu
交換	razmjena
保険	osiguranje
保険	osiguranja
制限	ograničenja
制限	ograničenjima
制限	ograničenja
制限	zabranjen
制限	ograničavaju
制限	ograničenje
キー	ključeve
キー	ključa
キー	ključni
キー	ključ
責任	odgovornost
責任	odgovornost
児童	dijete
フル	pun
フル	full
フル	puna
フル	punom
フル	puni
フル	punu
ボール	lopta
ボール	jaja
ボール	lopte
ボール	kugle
急行	express
電力	elektricitet
医学	medicina
医学	medicinska
医学	medicinski
医学	medical
所有	vlasništvu
ブラック	crni
ブラック	crna
サー	sir
サー	ser
シーン	scena
シーン	scene
憲法	ustav
支店	ogranak
支店	grana
管理者	admin
管理者	administrators
管理者	administrator
略称	skraćenica
オープニング	otvaranje
ロン	ron
カリフォルニア	kalifornija
タウン	grad
カバー	pokriti
カバー	pokrivaju
カバー	pokriće
コンピュータ	računar
コンピュータ	računari
取引	transakcija
取引	trgovanje
取引	transakcija
取引	trgovina
長い	dugi
長い	dug
長い	dugu
長い	long
長い	dugo
禁止	zabranjeno
禁止	prohibicije
統計	statistika
統計	statistika
統計	stats
フォー	četiri
フォー	pho
強化	ojačati
強化	jačanje
強化	jačanju
パン	pan
パン	hljeb
物理	fizički
物理	fizičko
物理	fizičke
インターネット	internet
管轄	nadležnosti
管轄	nadležnost
アフリカ	afrika
アフリカ	afrički
アフリカ	afričke
アフリカ	afričkih
アフリカ	afrička
先生	sensei
先生	nastavnik
先生	učitelj
先生	doktor
訓練	obuke
訓練	trening
訓練	obuka
訓練	treninga
訓練	obuku
ハウス	kuća
展示	izložba
展示	izložba
展示	izložbe
展示	izložbe
徳川	tokugava
月刊	mjesečna
月刊	mjesečni
検索	pretrage
検索	potraga
検索	pretraga
ホー	haw
ポール	paul
会員	član
会員	članica
会員	članstvo
リスト	spisak
リスト	lista
リスト	liste
トンネル	tunel
トンネル	tunela
共通	zajednički
共通	zajedničkim
共通	zajedničku
ケン	ken
内部	enterijera
内部	unutrašnje
内部	unutrašnja
内部	unutrašnji
グリーン	zelena
竣工	završetak
竣工	završetku
竣工	završetka
カール	rotor
戦車	tenk
戦車	tenkova
戦車	tenkovi
スキー	ski
スキー	skijanje
愛称	nadimak
消滅	lapse
消滅	izumiranje
ミニ	mini
機器	uređaj
機器	uređaji
機器	oprema
機器	uređajima
機器	uređaji
プロダクション	proizvodnja
スタッフ	osoblje
いくつか	neki
プログラム	program
プログラム	program
プログラム	programima
プログラム	programi
アカデミー	akademija
司会	moderator
合意	konsenzus
合意	složio
合意	složili
合意	sporazum
二人	dva
改善	unaprijediti
改善	poboljšaju
改善	improve
改善	poboljšanje
文書	dokument
文書	dokumentima
文書	dokumenata
文書	dokumenti
文書	dokumente
世代	generacija
世代	generacija
世代	generacije
ブラジル	brazil
ブラジル	brazilski
ネットワーク	mrežu
ネットワーク	mreže
ネットワーク	mreža
ネットワーク	mreže
ネットワーク	mreža
審査	pregled
ダン	dan
ダン	den
重量	težina
観測	posmatrala
観測	posmatrao
観測	posmatra
観測	posmatranje
観測	posmatranja
木村	kimura
会場	lokacijama
プレイヤー	igrač
プレイヤー	igrači
河川	rijeka
河川	rijekama
クイズ	kviz
巨大	ogromni
巨大	div
伝統	tradicija
伝統	tradicije
伝統	tradicija
ナイト	vitez
ナイト	skakač
ナイト	viteza
ナイト	night
区分	kategoriju
区分	kategorija
命令	nastavu
命令	nastava
命令	naređenje
命令	naređenja
ジャン	jean
旅行	putovanje
旅行	trip
旅行	putovanje
旅行	putovanje
旅行	putujući
旅行	putovanja
旅行	putovanju
旅行	putovanja
ルー	lew
ルー	lu
ルー	lou
要求	zahtjevi
一郎	ichiro
少ない	manje
比較	poređenje
比較	porede
比較	comparisons
貴族	plemstvo
向上	unaprijediti
向上	poboljšaju
向上	improve
バトル	bitka
日曜	nedjeljom
ダンス	ples
ダンス	plesu
ダンス	ples
資格	kvalifikacije
資格	kvalifikacija
資格	kvalifikacije
プロデュース	proizvoditi
実現	shvatio
実現	shvatanje
実現	realizacija
ミサイル	rakete
ミサイル	projektila
ミサイル	projektile
ミサイル	projektil
ミサイル	raketa
セント	centi
セント	cent
文章	kaznu
文章	rečenica
文章	kazna
文章	presudom
ルート	pravci
ルート	pravaca
ルート	put
ルート	ruta
ルート	rute
わずか	blagi
わずか	blagog
到着	dolazak
到着	stiže
到着	dolazaka
トラ	tigar
平和	mira
平和	miran
平和	mirne
平和	mirni
注意	oprezom
注意	pažnja
ドラゴン	zmajevi
ドラゴン	zmaj
ドラゴン	dragon
一度	jednom
今日	danas
集合	setu
集合	set
集合	postavio
集合	postavljeni
集合	seta
コンサート	koncert
コンサート	koncerti
回転	rotacije
回転	rotacija
回転	rotate
ロボット	robot
歩兵	pješadija
青年	omladina
小惑星	asteroidi
小惑星	asteroide
小惑星	asteroida
小惑星	asteroidi
用語	mandat
用語	izraz
用語	termin
用語	pojmove
用語	uslovi
用語	terminologija
前身	prethodnik
前身	prethodnika
姉妹	sestre
姉妹	sestra
小さな	male
小さな	mali
テン	deset
秘密	tajne
秘密	tajni
秘密	tajna
秘密	tajnosti
操作	operacija
操作	operacijama
操作	operacija
残り	preostali
残り	preostalih
残り	preostala
残り	preostale
一致	mečevi
一致	mečevima
一致	mečeva
一致	mečeve
一致	meč
オーストリア	austrijski
オーストリア	austrija
イオン	ion
イオン	iona
仲間	drug
ジャック	jack
ソロ	solo
フィールド	polje
フィールド	polja
キロ	kilometara
論文	teze
論文	teza
諸島	ostrva
休止	obustave
メキシコ	meksički
メキシコ	meksiko
フォード	ford
福祉	dobrobiti
属する	pripadaju
レポート	izveštaj
レポート	izvještaj
レポート	javlja
レポート	izvještavanje
レポート	izvještaje
レポート	izvještajima
レポート	izveštaji
レポート	izvještaji
要素	elemenata
要素	elementima
要素	elementa
要素	elemente
要素	elementi
要素	elemenat
要素	element
市町村	općina
市町村	općine
市町村	općina
ブラ	bra
地図	karta
地図	mapa
地図	mape
違反	kršenje
違反	proboj
違反	kršenje
違反	kršenja
衛星	sateliti
性能	nastup
カメラ	kamera
カメラ	kamere
役割	uloga
役割	uloge
十分	dovoljno
十分	dovoljan
十分	dosta
ティー	tee
改良	poboljšanja
改良	poboljšanje
改良	poboljšan
ワイド	wide
ワイド	široki
ワイド	široko
ワイド	široka
講師	predavač
講師	instruktora
講師	instruktori
講師	predavač
ルイ	louis
ルイ	rui
ルイ	louie
曖昧	nejasna
録音	snimanje
ニッポン	nippon
読み	čita
指名	nominaciju
指名	nominacija
冒険	avanturu
冒険	avantura
冒険	avanture
コレクション	kolekcije
コレクション	zbirke
コレクション	zbirka
コレクション	kolekcija
コレクション	collection
犯罪	kriminal
大陸	kontinent
大陸	kontinente
大陸	kontinenti
画面	ekran
画面	ekrana
医師	ljekar
医師	doktori
医師	ljekari
医師	ljekari
医師	doktor
国会	parlament
国会	ishrana
インタビュー	intervju
インタビュー	intervjue
ワシントン	washington
ワシントン	vašington
マガジン	magazin
生命	život
執行	pogubljenje
コミュニティ	zajednica
コミュニティ	zajednica
弁護士	advokati
弁護士	advokata
弁護士	advokat
危険	opasnu
危険	opasna
危険	opasne
危険	opasan
危険	opasni
危険	opasno
危険	opasnost
健康	zdrave
健康	zdravi
健康	zdrava
健康	zdrav
健康	zdravlje
設備	objekti
わか	waka
価格	cijene
価格	cijena
アニメーション	animacija
アニメーション	animations
対立	sukob
対立	konflikt
参考	referenca
香川	kagawa
カン	kang
工学	inženjerstvo
タン	tan
母親	majke
母親	majki
母親	majka
ベン	benu
ベン	bene
ベン	ben
専攻	major
ドア	vrata
ドア	vrata
ドア	doors
数学	matematika
数学	matematike
数学	matematička
数学	matematici
数学	matematika
信号	signali
信号	signale
信号	signal
ドン	don
ダイレクト	direktni
ダイレクト	direktna
ダイレクト	direktan
ゴール	ciljevi
ゴール	gol
ゴール	cilj
金融	finansije
スウェーデン	švedska
ミス	mis
ミス	miss
ロバート	robert
動画	video
動画	videa
動画	snimke
わら	straw
広告	ads
広告	oglašavanje
広告	oglas
ユダヤ	judeja
佐賀	saga
実行	izvrši
実行	pogubljenje
始める	početak
始める	start
始める	početka
始める	počinju
入口	ulaz
チャンピオン	šampion
チャンピオン	šampioni
日記	žurnal
日記	dnevnika
日記	dnevniku
日記	dnevnik
日記	dnevnici
セル	ćelija
セル	ćelije
有効	omogućena
有効	omogućio
有効	važeći
フラン	franak
フラン	fran
歌詞	teksta
歌詞	tekstova
歌詞	tekstove
歌詞	lirika
歌詞	stihovima
サイ	nosorog
パワー	power
パワー	vlast
アーティスト	umjetnici
アーティスト	umjetnik
食品	hrana
サポート	podrška
午後	popodne
午後	popodnevnim
ステーション	stanica
騎士	vitez
騎士	skakač
騎士	viteza
騎士	vitezova
音声	glas
音声	audio
音声	govor
うた	uta
遺産	naslijeđe
遺産	baština
遺産	nasljeđe
権利	prava
トロ	toro
学習	naučila
学習	naučili
学習	saznao
学習	naučio
学習	učenje
学習	uče
学習	nauči
学習	uči
学習	learn
バンク	banka
スコア	rezultat
スコア	rezultatom
スコア	desetine
スコア	skor
スペース	prostori
スペース	prostora
スペース	spaces
スペース	prostore
スペース	prostor
四国	šikoku
潜水艦	podmornica
潜水艦	podmornice
人生	život
ウェブサイト	web
大和	yamato
コピー	kopija
コピー	copy
コピー	kopiju
コピー	kopija
コピー	kopije
ステークス	ulozi
エピソード	epizode
エピソード	epizoda
エピソード	epizode
エピソード	epizoda
イラスト	illustrations
イラスト	ilustracija
空軍	vazduhoplovna
中山	nakayama
すでに	već
収容	opredjeljenje
収容	opredjeljenja
収容	posvećenost
収容	obaveza
希望	nade
希望	nada
希望	nade
マリア	marija
マリア	maria
航空機	aviona
ジェイ	jay
マシン	mašina
練習	praksu
練習	praksi
練習	praksom
練習	praksa
ソフトウェア	softver
燃料	gorivo
再生	puštanje
再生	obnovu
ウィン	wynn
古い	stare
古い	stara
古い	staro
古い	stari
撤退	povlači
撤退	povlačenje
司令官	komadant
司令官	komandant
防御	odbrana
防御	odbranu
防御	odbrana
歴代	uzastopne
天使	meleki
天使	anđeli
天使	meleka
天使	anđeo
無料	free
教室	učionice
ビジネス	preduzeća
ビジネス	poslovni
ビジネス	poslovanje
ジャンプ	jump
ジャンプ	skok
ジャンプ	skokova
友人	prijatelj
友人	drug
ソウル	seulu
ソウル	duša
滋賀	shiga
期待	očekivanja
期待	očekivao
期待	očekivali
期待	očekivano
傾向	tendencija
自転車	bicikl
動き	kretanje
動き	pokreti
銀河	galaksija
困難	poteškoća
困難	teškoće
困難	poteškoće
困難	poteškoća
困難	teškoće
モンスター	čudovište
モンスター	monster
供給	snabdijevanje
アカウント	račun
アカウント	obzir
アカウント	računa
アカウント	računa
記憶	sjećanje
記憶	uspomena
記憶	pamćenje
記憶	memorija
記憶	memorije
記憶	memorijski
フィルム	film
ロケット	raketa
低い	niski
低い	nizak
低い	low
まとめ	sažetak
解決	rješavanjem
解決	rješavanja
兵器	oružje
兵器	oružja
ウェイ	način
はい	jeste
はい	da
北京	peking
北京	peking
引用	citat
引用	quotations
引用	citatima
引用	navodom
サイド	strani
サイド	strana
トリ	tori
原則	principi
ラブ	ljubav
株式	dionica
株式	dijeli
株式	berze
株式	dionica
株式	deonice
株式	dionice
信頼	povjerenje
信頼	trust
信頼	povjerenje
信頼	bliski
分析	analiziraju
分析	analizira
分析	analiza
収入	prihodima
収入	prihode
収入	prihoda
収入	prihodi
収入	prihode
収入	prihod
ベルリン	berlin
流れる	teku
惑星	planeta
惑星	planete
惑星	planeta
同時	istovremene
中野	nakano
ルイス	lewis
ルイス	louis
目標	ciljevi
しばしば	često
裁判所	sud
裁判所	sudovima
裁判所	sudovi
計算	računanje
計算	izračun
自治	autonomiju
自治	samostalnost
自治	autonomija
バイ	baj
バイ	bye
テスト	test
テスト	testovi
テスト	testiranje
意識	svesti
意識	svijest
物質	materija
物質	supstanca
物質	materija
物質	supstance
許可	dozvolu
許可	dozvoliti
許可	omogućile
許可	dozvoljavaju
許可	dopusti
許可	dozvola
許可	dozvolu
許可	dozvole
許可	dozvole
回復	oporavak
回復	oporavak
回復	oporavka
回復	oporavlja
画家	slikara
画家	slikar
拡張	produžetke
書籍	knjige
書籍	knjiga
大きい	velika
大きい	velikih
大きい	veliki
大きい	velikih
大きい	veliki
ハート	srce
ハート	hart
ハート	rp
伊勢	ise
メン	muškarci
治療	terapija
治療	liječenje
治療	lečenje
治療	tretman
治療	tretmanu
固定	fiksacijski
固定	fiksni
マイケル	michael
観客	publika
観客	publika
免許	dozvola
免許	licenca
免許	dozvolu
免許	licencu
装甲	oklop
装甲	oklop
寺院	hram
寺院	hramove
占領	okupirale
占領	okupirana
占領	okupirali
占領	okupirala
占領	okupacije
占領	okupacija
青春	omladina
背景	pozadinom
背景	pozadinu
背景	pozadina
比較的	komparativno
比較的	relativno
比較的	relativno
準備	priprema
準備	pripreme
準備	priprema
準備	pripremi
準備	pripreme
準備	pripremiti
アート	art
アート	umjetnost
規格	standardi
規格	standarde
規格	standarda
スイス	švicarska
スイス	švicarska
スイス	švicarski
除去	eliminacijska
除去	otklanjanje
除去	uklanjanje
形状	oblik
形状	formi
シアター	theater
シアター	pozorište
知事	guverneri
知事	guverner
崩壊	kolapsom
崩壊	kolapsa
崩壊	kolaps
崩壊	propadanja
最新	najnovije
最新	najnoviji
最新	najnovija
最新	najnovije
キリスト教	hrišćanski
キリスト教	christian
キリスト教	hrišćanska
キリスト教	kršćanska
キリスト教	hrišćanin
キリスト教	kristijan
キリスト教	kršćanstvo
交渉	pregovori
交渉	pregovarač
交渉	pregovori
マスター	gospodar
マスター	master
マスター	majstor
アナ	ana
アナ	ana
アナ	anna
最近	nedavne
最近	nedavni
最近	nedavna
最近	nedavnim
最近	nedavno
無期限	indefinite
整理	cleanup
アウト	iz
アウト	out
協定	sporazum
協定	sporazumi
スクール	škola
推定	procjenjuje
山崎	yamasaki
協議	konsultacije
協議	konsultacija
吸収	apsorpcije
ダウン	down
ダウン	oboren
ダウン	dole
前田	maeda
大佐	pukovnik
ブック	knjiga
軍団	korpusa
軍団	korpus
遺跡	ruševina
遺跡	ruševine
遺跡	ruševinama
ケイ	kay
ケイ	kei
アクション	akcija
アクション	akcija
アクション	radnje
アクション	akcije
アクション	postupci
アクション	postupcima
検証	verifikacije
検証	verifikaciju
検証	validate
認識	priznanja
認識	priznavanje
認識	priznanje
逮捕	hapšenje
逮捕	uhapšeni
逮捕	uhapšena
逮捕	uhapšen
逮捕	hapšenja
オフ	off
オフ	sa
キャラ	cara
金属	metal
金属	metale
金属	metali
古墳	tumuli
古墳	tumulus
トーク	pričaj
トーク	razgovara
トーク	talk
バラ	roses
バラ	ruža
拒否	pad
拒否	odbiti
拒否	odbijaju
拒否	odbijanja
拒否	odbijanje
拒否	poriču
拒否	odbaci
拒否	odbacuju
拒否	odbijanje
ボス	boss
ボス	šef
戦略	strategije
戦略	strategija
戦略	strategijom
戦略	strategija
ゴールデン	zlatna
クロス	krst
興行	nastup
解除	otkazivanja
関数	funkcija
関数	funkcija
関数	funkcije
負傷	ranjen
ルス	luz
ソビエト	sovjetski
中島	nakajima
ガール	djevojka
ガール	devojka
ガール	girl
フランク	frank
ハンガリー	mađarska
職員	radnik
職員	personal
職員	zvanična
職員	zvaničnik
職員	zvanične
職員	zvanični
職員	službeni
ポート	luka
ポート	port
検査	inspekcija
ホワイト	bijela
ホワイト	bijeli
中華人民共和国	prc
ミックス	mješovite
ミックス	mješovita
ミックス	miks
資金	sredstva
資金	fondovi
質問	pitanje
質問	pitanja
閉鎖	zatvaranje
演劇	theater
演劇	pozorište
演劇	pozorište
言及	spominjanja
言及	spomen
言及	spomenuti
言及	spomenut
言及	spominje
言及	spomenuo
言及	pomenuo
言及	spomenuta
言及	spominje
テイ	tay
ギリシャ	grčka
金曜日	petak
金曜日	petkom
ライフ	život
否定	poriču
否定	uskraćivanja
大使	ambasador
大使	ambasadori
広場	kvadrat
ビッグ	velikih
ビッグ	veliki
ヤング	mladi
ヤング	mlada
ヤング	young
ヤング	mladić
ヘンリー	henri
ヘンリー	henry
常に	uvijek
常に	uvek
爆発	eksplozija
爆発	eksplozija
売上	prodaja
モスクワ	moskva
重複	duplikat
さくら	sakura
橋本	hashimoto
概念	pojam
概念	koncepti
パート	dio
危機	kriza
ドライバー	vozači
ドライバー	vozač
ドライバー	vozača
裁判	suđenje
巨人	džinova
巨人	div
トーナメント	turnir
北東	sjeveroistoku
エース	as
アクセス	pristup
アクセス	pristupa
アクセス	access
アクセス	accessed
安定	stabilnost
安定	stabilno
安定	stabilna
安定	stabilan
調整	podešavanje
調整	prilagoditi
調整	koordinacija
調整	koordinaciju
中世	srednjovjekovna
中世	srednjevjekovna
不足	nestašica
不足	nedostatak
不足	manjak
不足	manjkom
解釈	interpretacija
解釈	tumačenja
解釈	tumačenje
根拠	osnov
岡田	okada
買収	preuzimanja
買収	sticanja
ホームページ	homepage
プレイ	play
プレイ	igrati
プレイ	igraju
ビット	delići
日曜日	nedjeljom
日曜日	nedjelja
注目	pažnja
国王	king
国王	kralj
分布	distribuciji
分布	distribucija
分布	distribuciju
太田	ota
パス	put
パス	putevi
パス	proći
パス	pass
ミュージシャン	muzičar
ミュージシャン	muzičara
ミュージシャン	muzičari
リーダー	čitaocima
リーダー	lider
リーダー	reader
与える	daj
与える	dati
与える	dajte
ファイナル	finale
ファイナル	završni
ファイナル	konačni
ファイナル	finale
コモ	como
ポルトガル	portugal
高度	visini
高度	visina
テニス	tenis
結合	bondu
知識	znanje
ライセンス	dozvole
ライセンス	licence
ライセンス	dozvola
ライセンス	licenca
ライセンス	dozvolu
ライセンス	licencu
メール	mail
メール	mail
メール	email
生涯	vijek
生涯	životne
生涯	životni
赤い	crvena
クリア	jasni
クリア	jasnih
クリア	jasno
クリア	jasna
クリア	jasan
実績	dostignuća
実績	postignuća
実績	postignuća
実績	postignuće
実績	dostignuće
アリ	ant
アリ	ari
アリ	ants
バスケットボール	košarka
繰り返し	ponovi
繰り返し	ponavljanju
繰り返し	ponavljanje
新規	novi
閲覧	pregledanje
土曜日	subota
端末	terminal
端末	tečni
トヨタ	toyota
ヤン	jan
上昇	rast
上昇	uspon
上昇	usponu
事情	okolnosti
事情	okolnostima
都道府県	prefektura
都道府県	država
隊長	kapiten
隊長	kapetan
悪魔	šejtan
悪魔	demon
悪魔	demona
規制	propis
規制	regulirane
オペラ	opera
オペラ	operas
カイ	kaj
カイ	kai
みんな	svi
みんな	tipovi
ウィー	wee
ディレクター	režiser
ディレクター	direktor
判決	sudnji
駐車	parking
女王	queen
女王	kraljica
木曜	četvrtak
修了	završetak
修了	završetku
修了	završetka
合成	sintetički
合成	sastav
合成	kompozicija
合成	sastavu
合成	sinteza
合成	sintezu
ミン	min
ローズ	ruža
数字	brojevi
提示	predstavljajući
提示	predstavila
提示	predstavljena
提示	predstavljen
提示	predstavilo
提示	predstavio
上海	šangaj
侵攻	invazija
国旗	zastava
国旗	zastave
人類	čovječnosti
人類	čovječanstvo
人類	čovječanstva
現象	fenomen
現象	fenomene
現象	fenomen
二つ	dva
にもかかわらず	uprkos
証明	dokaže
証明	dokazati
証明	dokazali
証明	dokazuju
証明	dokaz
祭り	festival
祭り	festivali
祭り	festivalima
ジェームズ	james
ゴールド	zlato
社員	radnik
社員	uposlenici
村上	murakami
エア	vazduh
原子力	nuklearno
原子力	nuklearni
原子力	nuklearna
アイルランド	irska
ボタン	buttons
ボタン	dugme
プロフィール	profil
仏教	budizam
ストリート	street
ストリート	ulice
ストリート	ulica
ストリート	ulice
ストリート	ulica
ストリート	ulicama
強制	obaveznog
強制	obavezno
ロス	ros
ロス	ross
サウンド	zvuk
サウンド	zvuči
サウンド	zvukova
サウンド	sounds
ベトナム	vijetnam
世帯	domaćinstva
世帯	domaćinstvu
衝突	sudar
衝突	nesreća
生成	generiše
生成	generisati
生成	generišu
ローカル	lokalno
ローカル	lokalnom
ローカル	lokalni
境界	granica
境界	granični
続ける	nastavljaju
蒸気	parni
蒸気	parna
巡洋艦	krstarica
インチ	pedalj
体験	iskustva
体験	iskustvo
アメリカン	američki
アメリカン	amerikanac
ブレーキ	brake
兵士	vojnik
兵士	vojnici
スタン	stan
解放	oslobodilački
解放	oslobođenje
石油	ulje
バレーボール	odbojka
リード	trska
リード	reed
リード	olova
リード	olovo
ゴルフ	golf
坂本	sakamoto
ミッション	misija
組み合わせ	kombinacija
組み合わせ	kombinacija
準決勝	polufinale
人形	lutke
ミュージカル	muzičkim
ミュージカル	muzičke
ミュージカル	muzički
ミュージカル	muzička
ミュージカル	mjuzikl
ミュージカル	musical
スリー	tri
現場	scena
エジプト	egipat
プレミアム	premium
趣味	hobi
将来	budućnost
授業	časovi
授業	lekcije
授業	lekcija
授業	časovi
料金	takse
料金	naknadu
身体	tijela
身体	tijelo
身体	tijelu
身体	telo
作者	autori
作者	autor
推薦	preporukom
推薦	preporuka
推薦	preporuke
スカ	ska
統治	vladajuća
地理	geografija
ダブルス	parovi
百万	milion
表面	površine
表面	površina
訪問	posjetu
訪問	posjeta
訪問	posjeta
合格	prenošenja
合格	usvojen
フランス語	francuski
レット	nek
レット	neka
パイロット	piloti
パイロット	pilota
パイロット	pilot
トルコ	turska
マス	pastrmka
ウクライナ	ukrajina
ディスク	diska
ディスク	disk
ディスク	disku
ディスク	disc
続き	nastavak
続き	nastavljena
続き	nastavila
続き	nastavljen
続き	nastavio
国勢調査	popis
次元	dimenzija
次元	dimenziju
シカゴ	chicago
パーソナリティ	ličnost
国籍	nacionalnost
国籍	nacionalnosti
国籍	narodnosti
称号	titule
称号	titula
称号	titula
敗北	poraz
敗北	poraza
セン	sen
規則	pravila
クラシック	klasični
クラシック	klasični
クラシック	classic
クラシック	klasik
車線	lane
車線	trake
機会	prilika
機会	priliku
機会	prilike
機会	mogućnosti
大隊	bataljon
キャスター	kastor
新幹線	shinkansen
スカイ	sky
スカイ	nebo
ドリーム	san
ドリーム	sna
ドリーム	dream
ドリーム	snu
ソニー	sony
ソニー	sonny
ロゴ	logo
ロゴ	logos
コア	jezgro
コア	jezgra
古典	klasike
古典	klasični
古典	klasični
古典	classic
古典	klasik
大人	odraslih
大人	odrasle
海岸	obala
ボックス	kutija
ボックス	kutije
ボックス	kutija
神話	mitova
神話	mitovi
神話	mitologija
神話	mit
フィギュア	cifre
フィギュア	figura
フィギュア	cifra
フィギュア	figure
フィギュア	umjetničko
移住	emigracija
柔道	džudo
支部	ogranak
支部	grana
どこ	gdje
どこ	gde
貿易	trgovina
挿入	ubacuje
挿入	insercija
敷地	prostorije
敷地	prostorija
敷地	sajtu
敷地	sajt
マッチ	mečevi
マッチ	mečevima
マッチ	mečeva
マッチ	mečeve
マッチ	meč
空気	vazduh
譲渡	transfer
譲渡	prijenos
譲渡	zadatak
ピン	pin
両親	roditelji
セイ	kažu
投資	investiranje
投資	ulaganjima
投資	investicija
投資	ulaganja
投資	investicija
投資	investicije
芸人	zabavljači
ミステリー	misterija
小川	brook
経過	napredak
後藤	goto
