hostince	inns
postupů	procedures
složený	folded
sung	sung
kings	kings
empire	empire
know	know
investice	investing
investice	investments
investice	investment
flash	flash
jemně	softly
jemně	gently
collins	collins
navštívit	visit
norem	standards
soares	soares
dokázat	proving
dokázat	prove
slavnost	festival
pomocný	auxiliary
děkanství	deanery
účinnosti	efficacy
ronald	ronald
cti	honour
cti	honor
hlasuje	votes
spojovací	coupling
soundtrack	soundtrack
potřeboval	needed
marně	vain
justin	justin
rhône	rhône
rozděluje	divides
čekal	expected
čekal	waited
poručík	lieutenant
chung	chung
bojovali	fought
ruka	arm
ruka	hand
kolekce	collections
kolekce	collection
federaci	federation
sólo	solo
vyvolává	raises
křídy	cretaceous
jater	liver
dílčí	partial
kritérií	criteria
schváleno	approved
vyřazení	elimination
vyřazení	decommissioning
sie	sie
odstavec	paragraph
tendenci	tendency
nedávné	recent
sloučenin	compounds
kansas	kansas
povoleno	authorised
povoleno	enabled
povoleno	permitted
povoleno	allowed
flora	flora
luftwaffe	luftwaffe
mitsubishi	mitsubishi
ráj	paradise
přeložit	translate
ložiska	bearings
polák	polish
polák	pole
polák	polack
esa	aces
esa	esa
fasády	facades
nancy	nancy
protein	protein
nfl	nfl
moravec	moravec
kohout	cock
kohout	rooster
vily	villas
vily	villa
chemická	chemical
létající	flying
důsledek	consequence
účetnictví	accounting
účetnictví	bookkeeping
účetnictví	accountancy
anjou	anjou
čtenářů	readers
působnost	scope
karen	karen
mare	mare
sloučit	merge
sloučit	merged
reforma	reform
zimonjić	zimonjić
odlišuje	distinguishes
žádoucí	desired
žádoucí	desirable
proteiny	protein
proteiny	proteins
england	england
hlášení	report
hlášení	reporting
hlášení	reports
odstraňování	disposal
odstraňování	removal
paralelní	parallel
raketoplán	shuttle
raketoplán	shuttlecraft
přesnost	punctuality
přesnost	precision
přesnost	accuracy
kraus	kraus
vertikální	vertical
podnět	complaint
podnět	stimulus
podnět	incentive
podnět	initiative
vytvořeno	created
ball	ball
popularitu	popularity
dramatické	dramatic
příslušný	competent
železná	iron
eleonora	eleonora
zabití	killing
zabití	manslaughter
mont	mont
ilegální	illegal
deutschen	deutschen
čistá	clean
čistá	pure
řekla	said
vydaný	issued
sta	sta
toky	flows
dialog	dialogue
dialog	dialog
expanze	expansion
zkoumá	explores
zkoumá	examines
istanbulu	istanbul
derby	derby
příkop	trench
příkop	ditch
příkop	moat
tržní	market
bas	bas
agresivní	aggressive
dean	dean
campbell	campbell
obnovy	recovery
ulrich	ulrich
životnost	lifetime
životnost	durability
ger	ger
radar	radar
alain	alain
kabiny	cabs
kabiny	cabins
kabiny	booths
pochopil	understood
omylem	accidentally
mapování	mapping
expozici	exposure
tábory	camps
sourozenci	siblings
mrtvý	dead
vysílat	broadcast
týdnech	weeks
phoenix	phoenix
dosáhne	reaches
anti	anti
nahrazuje	replaces
konstantinopole	constantinople
řez	cut
řez	incision
vyhnanství	exile
vyhnanství	banishment
boulevard	boulevard
pořádek	order
cruz	cruz
turci	turks
nesprávně	incorrect
nesprávně	incorrectly
tepelné	thermal
tanečnice	dancers
tanečnice	dancer
monografie	monograph
porušování	violation
prodat	sell
dennis	dennis
palais	palais
rumunské	romanian
respekt	respect
pete	pete
cska	cska
objektivní	objective
kometa	comet
hodnotí	evaluates
optimální	optimal
optimální	optimum
obydlí	dwelling
různí	various
servery	servers
libanonu	lebanon
překvapení	surprise
překvapení	surprises
minimum	minimum
fc}}	fc}}
galaxií	galaxies
galaxií	galaxy
prach	dust
prach	powder
fotografka	photographer
blesk	flash
blesk	lightning
edgar	edgar
koni	horse
productions	productions
chu	chu
mir	mir
lorenzo	lorenzo
maximum	maximum
třináct	thirteen
melo	melo
ochoten	willing
diskografie	discography
tváře	cheeks
tváře	faces
vinné	tartaric
optické	optical
splňuje	meets
úpadek	decline
úpadek	bankruptcy
vystaven	exposed
hollywood	hollywood
houston	houston
ovlivněna	influenced
jakob	jakob
molekulární	molecular
tvrdě	hard
jámy	pits
jámy	pit
gott	gott
vlasů	hair
izolace	insulation
izolace	isolation
kyslík	oxygen
nápisy	inscriptions
riga	riga
money	money
colin	colin
skotské	scotch
skotské	scottish
sochu	statue
modifikace	modification
modifikace	modifications
indonésie	indonesia
synagogy	synagogue
synagogy	synagogues
umožnit	enable
umožnit	allow
kriminální	criminal
předávání	transmission
předávání	forwarding
slovinské	slovene
slovinské	slovenian
loďstvo	fleet
koupit	buy
standardy	standards
nečekaně	unexpectedly
had	snake
had	serpent
štíty	shields
využívané	exploited
domnívá	considers
eseje	essays
nemožné	impossible
domény	domains
domény	domain
infrastruktury	infrastructure
infrastruktury	infrastructures
zřetelně	clearly
šedá	gray
šedá	grey
glasgow	glasgow
muslimové	muslims
učitelka	teacher
vzdálená	distant
vzdálená	remote
argo	argo
pont	pont
prototypy	prototypes
pochopit	understand
bonus	bonus
ryba	fish
rádio	radio
samantha	samantha
jeskyni	cave
