iustinian	justinianos
cesare	cesare
imperatore	imperatore
mauritania	mauritania
eddy	eddy
nakhon	nakhon
topire	meltdown
topire	chảy
bean	bean
bean	đậu
anularea	hủy
mihály	mihály
lgbt	lgbt
idaho	idaho
răul	xấu
răul	ác
istoriografia	historiography
seturi	dong
toni	toni
gherman	gherman
sahara	sahara
unitară	unitary
amenință	true
amenință	tru
amenință	đe
întreprindere	enterprise
doug	doug
votare	bầu
votare	polling
cartagina	cartago
cartagina	carthage
eto	eto
routledge	routledge
gábor	gábor
zeta	zeta
aportul	intake
reeditat	reissued
fernández	fernández
ilia	ilya
ilia	ilia
metalul	co
portocaliu	cam
depeche	depeche
fcm	fcm
ceramice	gốm
ceramice	ceramic
twin	twin
twin	song
lotus	lotus
orez	gạo
orez	cơm
serra	serra
bristol	bristol
înmormântare	táng
înmormântare	tang
înmormântare	lễ
camenița	kamianets
sveti	sveti
geneza	genesis
vinul	rượu
vinul	vang
shah	shah
elimină	bỏ
elimină	xóa
matthias	matthias
glumă	joke
glumă	đùa
glumă	đểu
faust	faust
demn	worthy
campus	trượng
eng	eng
circle	tròn
circle	lượn
cupola	dome
cupola	vòm
pfalz	pfalz
modulul	modul
modulul	môđun
modulul	module
modulul	đun
modulul	sung
atp	atp
tratatele	treaties
datorii	nợ
avesnes	avesnes
henriette	henriette
dansatoare	dancer
exces	thụ
falco	falco
amfibieni	amphibians
avariate	hỏng
conexiune	hã
fletcher	fletcher
dotare	endowment
novgorod	novgorod
galaxie	galaxy
auxiliar	auxiliary
uzbekistan	uzbekistan
umple	tô
umple	điền
emi	emi
paraíba	paraíba
aprins	lit
aprins	quẹt
exceptând	trừ
mozilla	mozilla
simbolică	symbolic
ură	hat
ură	ghét
ură	hat
sarajevo	sarajevo
indicele	index
poitiers	poitiers
sânul	vú
sânul	ngực
sânul	breast
citirea	truyện
citirea	đọc
blana	lông
bernardo	bernardo
cucerire	conquest
postat	đăng
croix	croix
horse	ngựa
mao	mậu
mao	mao
cord	cord
bergen	bergen
alejandro	alejandro
vazut	thấy
deteriorat	hỏng
daniil	daniil
liturghie	liturgy
liturghie	nhái
liturghie	mass
robotul	robot
