暴君	ظالم
抗告	لُبھاوَ
抗告	نالش-
抗告	عرضداشت
抗告	رغبت.
抗告	دلچسپ
抗告	گزارش
抗告	لُبھاوَ
抗告	نالش-
抗告	عرضداشت
抗告	رغبت.
抗告	دلچسپ
抗告	گزارش
抗告	درخواست
ドレッサー	نگاربند.
ドレッサー	مشاط
絞殺	اختناق.
チョッパー	دنداں
チョッパー	چھرا
ヘッドホン	سرفون.
アンチモン	سرمہ
アンチモン	کحل
おなじ	بعینہٖ
おなじ	that
おなじ	these
おなじ	یکساں
擾乱	ہنگامہ.
擾乱	ہلچل
擾乱	خلل.
擾乱	رکاوٹ
擾乱	ہیجان
擾乱	مزاحمت
セレブリティ	شہرت
セレブリティ	دھوم.
触る	بگاڑنا
触る	امتیاز
触る	جانچ
触る	مشق
触る	پرکھ
触る	امتحان
触る	ذرا
触る	ٹکرانا
触る	پھٹکی
触る	چٹکی
触る	بگاڑنا
触る	امتیاز
触る	لمس
触る	جانچ
触る	مشق
触る	پرکھ
触る	امتحان
触る	ذرا
触る	ٹکرانا
触る	پھٹکی
触る	چٹکی
新婚旅行	ولولہ.
静養	بیماری
静養	تھکن
賛辞	تعریف
賛辞	توصیف
賛辞	ستائش
アンバサダー	مبلّغ
アンバサダー	مبلّغ
アンバサダー	سفیر
トレンチ	(میدان
トレンチ	خندق.
トレンチ	(میدان
トレンチ	کھائی
トレンチ	خندق.
美徳	تاثیر
美徳	اچھائی
美徳	صفت
美徳	خوبی
美徳	راستی.
美徳	وصف
美徳	تاثیر
美徳	اچھائی
美徳	صفت
美徳	خوبی
美徳	راستی.
パペット	پُتلی
ろうそく	شمع.
ギャンブラー	جواری
クロコダイル	مگرمچھ
ペッパー	capcicum
喉頭	حنجری.
吉祥	مسعود
吉祥	موافق.
吉祥	مبارک
アセトン	ch₃coch₃
元本	اصلی
元本	سربراہ
元本	نمایاں.
元本	سنگیت
元本	فائق
元本	کلاں.
元本	حاکم
元本	سرمایہ
元本	اصلی
元本	سربراہ
元本	بڑا
元本	نمایاں.
元本	سنگیت
元本	خاص
元本	فائق
元本	کلاں.
元本	حاکم
元本	سرمایہ
ガイダンス	رہبری.
ガイダンス	مشورہ
ガイダンス	ہدایت
エスコート	رفاقت
エスコート	گاڑیاں
アライブ	برقیلا.
アライブ	چوکنا.
アライブ	مُملو
アライブ	موجود
アライブ	خبردار
宛先	آخذ.
スタイリッシュ	نفیس.
人見知り	from
人見知り	محتاط
人見知り	(بعدہ
人見知り	نامانوس
無秩序	ناسازی.
無秩序	انتشار
無秩序	ہنگامہ
無秩序	ہلچل.
無秩序	بلوہ
無秩序	ابترکرنا
無秩序	پراگندگی.
前置詞	after
前置詞	on
首輪	کنٹھ
首輪	پکڑلینا
首輪	ہتھیانا
首輪	للکارنا
フィドル	اڑانا
追い越し	تباہی
追い越し	(طوفان
フリース	موُسنا
フェアリング	جہاز
サンダル	ہلکی
主格	اسم
かばん	پتلون
かばん	تحقیرکرنا
かばん	پاجامہ
かばん	کثرت
かばん	پھلانا
読み込む	چڑھانا
読み込む	کام
読み込む	لادی
読み込む	سامان
ディール	لگانا
ディール	سلوک
ディール	برتاؤ
ディール	پہنچانا
ディール	چھیڑنا
ディール	جڑنا
ディール	سودا.
ディール	کثرت
ディール	بانٹنا.
ディール	معاملہ
伝聞	گپ.
伝聞	افواہ
伝聞	گپ.
パージ	جلّاب.
パージ	تزکیے
パージ	مٹانا.
ヘルシー	ہمدردانہ.
ヘルシー	مددگار
求愛	خوشامد
ダイナモ	توانا
ブート	نیز
投げつける	اچھالنا
洒落	برتر
パラソル	ہلکی
パラソル	سماروغ
バックル	پیٹی
バックル	باندھنا.
害する	چوٹ
害する	گزند.
害する	مطالبے
害する	جانبداری.
害する	متعصبانہ.
好感	پسندیدہ
寒気	روکھا
寒気	ٹھٹھر
寒気	برودت
寒気	نزلہ
寒気	ٹھنڈا
寒気	بخار
寒気	بارد
横向き	پھیلواں
デコード	رمزی
タウ	)
プラスティック	مٹّی
プラスティック	لچکیلا.
プラスティック	ملائم
プラスティック	ملائمہ.
プラスティック	بناوٹی
花婿	نوشہ
花婿	دولھا
花婿	نوشہ
花婿	عریس
花婿	دولھا
花婿	سائیس-
潜る	چھلانگ
潜る	بٹوے
潜る	ڈبکی
潜る	چھلانگ
潜る	بٹوے
潜る	غوطہ
潜る	ڈبکی
デント	گہرا
デント	پچکن
デント	دندانہ.
俊敏	لچکیلا.
俊敏	نرم
表側	to
表側	گستاخی
表側	منہ
表側	مقابلہ
表側	سیما.
表側	اگلا
表側	بیشیں.
表側	صدر
表側	towards
表側	to
表側	گستاخی
表側	منہ
表側	مقابلہ
表側	سیما.
表側	اگلا
表側	بیشیں.
表側	صدر
表側	towards
表側	پیشانی
不敬	گستاخ.
余白	دینا.
ルーチン	روایتی
ルーチン	معیاری
ルーチン	رقص
ルーチン	ڈرامہ
メトロポリス	گڑھ.
メトロポリス	دارالحکومت
難問	الجھن
難問	حیرانی
難問	خلفشار.
トレーダー	تاجر
トレーダー	تجارتی
トレーダー	کاروباری.
コーパス	متون
ろくでなし	حرامی
ろくでなし	ولدالحرام
ろくでなし	مشکل
ろくでなし	نقلی
ろくでなし	دوغلی(شے)
ろくでなし	جعلی
スリープ	نیند.
スリープ	نیند.
スリープ	آرام
残響	انعطاف
残響	گونج
残響	انعکاس
ソーヤー	آراکش
一泊	اچانک
賃貸借	اجارہ
賃貸借	پٹّے
インフラストラクチャー	پل
ムカデ	کنکھجورا
クリエーター	خالق.
クリエーター	بنانے
バド	ناپختہ
征服者	فاتح
絶品	بہترین
絶品	اعلیٰ
絶品	ارفع
絶品	شاندار
略式	معمولی
受粉	زیرگی
消火器	بجھانے
テルル	چمکدار
隠匿	اِخفا
隠匿	پوشیدگی
スキーマ	تجویز
スキーマ	ترسیم.
恍惚	پُرولولہ
床屋	تراشنا
床屋	کاٹنا
床屋	تراشنا
床屋	کاٹنا
床屋	حجّام
さまよう	دریا
透明度	شفافیت
透明度	زجاجیہ.
フォーマル	ماہیت
フォーマル	ظاہری
フォーマル	حتمی
フォーマル	مصنوعی.
フォーマル	جوہر
フォーマル	رواج
フォーマル	واضح
フォーマル	صوری.
フォーマル	قواعدی.
フォーマル	اصولی
フォーマル	ماہیت
フォーマル	رسمی
フォーマル	ظاہری
フォーマル	حتمی
フォーマル	مصنوعی.
フォーマル	جوہر
フォーマル	رواج
フォーマル	واضح
フォーマル	صوری.
フォーマル	قواعدی.
フォーマル	اصولی
フォーマル	باضابطہ
召使	ملازم
召使	نوکر
召使	پیرو
召使	خادم
召使	مّتبع
ソーマ	جسم
ブロードキャスト	ریڈیو
仲人	مشّاطہ.
ダッシュボード	چھاج.
デリバティブ	مشتق
デリバティブ	ماخوذ
ペンキ	روغن
ペンキ	غازہ
ペンキ	سرخی
クロール	گھسٹنا
クロール	رینگنے
クロール	رینگنا
クロール	گھسٹنا
クロール	رینگنے
黒鉛	کحل
黒鉛	plumbago
ソファ	صوفہ
ソファ	تاننا.
ソファ	صوفہ
作業場	کارخانہ
エスキモー	الاسکا
メイト	ہمکار
メイト	دوست.
メイト	مات.
インフィニット	لاتعداد.
インフィニット	کامل.
インフィニット	زبردست
インフィニット	عظیم
インフィニット	لامحدود
インフィニット	لاتعداد.
インフィニット	کامل.
インフィニット	زبردست
インフィニット	عظیم
放物線	مکافی
神経症	تکان
神経症	عصبانیت
シェイプ	انداز
シェイプ	ڈھالنا.
シェイプ	سانچا
シェイプ	کینڈا
シェイプ	صورت
シェイプ	ظاہرہیئت.
シェイプ	قالب.
シェイプ	(بعدہ
シェイプ	ہیولا
シェイプ	ڈول
シェイプ	پیرایہ
シェイプ	انداز
シェイプ	ڈھالنا.
シェイプ	سانچا
シェイプ	کینڈا
シェイプ	صورت
シェイプ	ظاہرہیئت.
シェイプ	بنانا
シェイプ	قالب.
シェイプ	(بعدہ
シェイプ	ہیولا
シェイプ	ڈول
シェイプ	پیرایہ
スペクタクル	تماشا
浣腸	حقنہ
未経験	ناآزمودہ
未経験	خام
スタンディング	مرتبہ
スタンディング	ممتاز
スタンディング	عرصہ.
スタンディング	حیثیت
スタンディング	رکنیت
スタンディング	بند
スタンディング	مدّت
スタンディング	استادہ.
スタンディング	مقام
ポピー	گروہ
ポピー	لالہ
ポピー	گروہ
ポピー	لالہ
ポピー	کُوکنار
鈍い	مسلسل
鈍い	روشنی
鈍い	آواز
鈍い	ٹھپ
鈍い	غبی.
フレキシブル	سیدھا
フレキシブル	لچکدار
昼寝	گبّھا
昼寝	گدّا
昼寝	ہرچن
昼寝	بستر
昼寝	کمبل
昼寝	نرم
昼寝	بُر
パンプキン	گول
エスプリ	چونچالی
除算	حصّوں
除算	مرحلہ.
除算	متفرق
洋裁	خیّاتی
船室	(cabined
船室	ٹھونسنا.
小道	طریق.
小道	راستہ
無気力	آلکسی.
スモーク	دھواں
馬具	باندھنا.
明け方	آغاز.
ジャブ	مکّے
デバッグ	مشین
ブッチ	طاقتور
ブッチ	مضبوط
ブッチ	مردانہ
重罪	ظالم
重罪	چھلوری
重罪	مہاپاپی
ハピネス	خوشی
ハピネス	شادمانی
ハピネス	خوشی
同封	گھیرا
同封	جنگلہ
カミング	رسیدگی.
カミング	آمد
カミング	پہنچ
カミング	اگلا
カミング	رسیدگی.
カミング	آمد
カミング	پہنچ
採石場	ہدف
採石場	شکار.
ブレスレット	ہتھکڑی
蝋燭	شمع.
太もも	ران.
バギー	بگّھی.
関節炎	نُقرس.
球根	کپی.
忍耐	استقلال
忍耐	ہمت
忍耐	دلآزاری
忍耐	قدرت.
忍耐	رواداری.
忍耐	تکلیف
忍耐	درگزر
忍耐	ضبط
忍耐	تحمل
忍耐	استقلال
忍耐	صبر
忍耐	ہمت
忍耐	دلآزاری
忍耐	قدرت.
忍耐	رواداری.
忍耐	تکلیف
忍耐	درگزر
忍耐	ضبط
忍耐	تحمل
ペック	کھانا
ペック	چومنا
ペック	غذا.
ペック	نوچنا
フリル	حاشیہ
フリル	پلیٹی
くしゃみ	چھینکنا.
くしゃみ	چھینک.
切り離す	رجمنٹ
切り離す	(جہاز
かかし	بچوگا.
時給	برابر.
時給	اکثر
怠慢	تکلّف
捻挫	موچ.
ショウガ	تحرک
ショウガ	جذبہ.
ショウガ	جوش
治る	(غم
治る	شفادینا.
治る	بھلانا.
フエ	مخلوط
ポーチ	ہتھیانا.
ポーチ	ڈیوڑھی.
陽電子	پازیٹرون
陽電子	مثبتیہ.
パリティ	تعدیل
聴力	اظہارات
小包	بخرہ
小包	حصہ
小包	ٹکڑا
小包	قطعہ.
小包	پیکیج
小包	بانٹنا.
ファクシミリ	مثل.
ファクシミリ	نقل
ファクシミリ	چربہ
人力車	رکشا
レトルト	الزام
レトルト	on
レトルト	ہتک
レトルト	حملے
梅毒	آتشک
安静	ساکت
安静	تعطل
安静	کام
安静	on
安静	upon
安静	(بعدہ
安静	منحصر
安静	نیند
安静	محنت
ユニタリ	واحدی
マスタード	خردل.
マスタード	سرسوں
バイス	شکنجہ.
バイス	فسق
バイス	عیب
バイス	وغیرہ.
バイス	بدی
アイロン	آہنی.
アイロン	سخت
アイロン	لوہا
アイロン	ٹانک
ディスカッション	مباحثہ
ディスカッション	گفتگو
ディスカッション	مباحثہ
ディスカッション	گفتگو
ディスカッション	بحث
ディスカッション	گفتگو
パセリ	پودینہ
パセリ	اجمود
モーテル	خلا
デコレーション	تزئین.
デコレーション	آرائش
デコレーション	تزئین.
デコレーション	آراستہ
デコレーション	سجانا
デコレーション	آراستہ
マズル	تھوتھنی.
鼻孔	منخر
鼻孔	نتھنا
鼻孔	منخر
横断幕	نمایاں
査証	ویزا
オベリスク	پہاڑ
ため息	(بعدہ
ため息	سنسنانا.
ラダー	سیڑھی.
ラダー	زینہ
雑木林	شاخسار.
雑木林	جھاڑی
雑木林	شاخسار.
ダスティ	یابس.
ダスティ	ہلکا
ダスティ	دُھندلا
エスプレッソ	کالی
穢れ	کثافت.
穢れ	ناصاف
穢れ	ناصافی
穢れ	ناپاک
穢れ	غلیظ
穢れ	آلودگی
穢れ	کثافت.
穢れ	ناصاف
穢れ	ناصافی
穢れ	ناپاک
穢れ	غلیظ
かかと	پاشنہ.
かかと	ذلیل
かかと	کُھر.
胡椒	capcicum
サフラン	جوگیا.
サフラン	زعفران
サフラン	جوگیا.
パッシブ	سست
パッシブ	مجہول
ガーナー	کھلیان
ガーナー	گودام.
ガーナー	محفوظ
ブレッド	نقدی
ブレッド	روٹی
ブレッド	نقدی
目隠し	بھٹکانا
目隠し	چکرانا
直腸	مستقیمی.
クリッパー	ناخن
クリッパー	قینچی
ヘリックス	مرغولہ
フレット	پرانا
フレット	پریشانی
フレット	گھسنا
シオニズム	صیہونیت
シャンデリア	فانوس
シャンデリア	فانوس
シャンデリア	جھاڑ
貯める	اکٹھا
貯める	بڑھنا.
貯める	بٹورنا
貯める	جمع
サイレンス	رازداری
サイレンス	بھول.
サイレンス	نسیان
サイレンス	سنّاٹا.
サイレンス	رازداری
サイレンス	بھول.
サイレンス	خاموشی
サイレンス	نسیان
サイレンス	سنّاٹا.
ガチョウ	بدّھو
便秘	رکاوٹ.
便秘	انقباض
ベイブ	معصوم
スキャナ	عروضی.
ずさん	گفتگو)
ずさん	اوپری
ずさん	گندی.
トリッキー	مشکل
トリッキー	پیچیدہ
モブ	جتھا
モブ	جمگھٹا.
モブ	ہجوم
モブ	دھڑا
モブ	بھیڑ
モブ	اکٹھ
モブ	ٹولا
モブ	ریوڑ.
トッピング	بہترین.
ネーション	قوم
ベルタ	نیچا
でたらめ	لغو.
スカッシュ	ٹھونسنا
スカッシュ	ہجوم
スカッシュ	پچکنے
スカッシュ	مجمع
調度	مکان
プル	پٹانا
プル	پہنچ.
プル	کشش.
プル	روکنے
プル	کسالا
プル	چلنا
プル	محنت
トカラ	تخاری
反駁	تردید
スキナー	سلاّخ.
渦巻き	لہریے
渦巻き	گردباد.
渦巻き	بگولا
渦巻き	گھومنے
渦巻き	بل
背骨	سول
背骨	خار
背骨	کانٹا.
背骨	ریڑھ.
検査官	پارکھ
検査官	ناظر
検査官	داروغہ.
バンプ	اچانک
バンプ	ناہمواری.
冷媒	مبرد.
カウル	لبادہ
カウル	عبا.
シーケンシャル	تسلسلی
ジニー	جن
サルベージ	تباہی
アウトサイダー	ناآزمودہ
アウトサイダー	غیرمتخصص
アウトサイダー	اناڑی.
ウィット	لطافت
ウィット	بوجھنا.
ウィット	ظرافت
ウィット	لطافت
ウィット	ذکاوت
ウィット	بوجھنا.
トースト	توس
レント	غار.
レント	درّہ
レント	گھاٹی
レント	بغارہ
レント	کھونچا.
おなか	پیٹ
溶かす	اتحاد
叫び声	چیخ
叫び声	شوخ
叫び声	پکار
叫び声	چلّانا
叫び声	چیخنا
縫う	جوڑنا
縫う	in
縫う	کپڑا
縫う	سینا.
縫う	ٹانکنا
縫う	لباس
アヴェ	الوداع.
嚢胞	پھکنا
ナメクジ	پٹی
ナメクジ	چُسکی
ナメクジ	ٹکڑا
ナメクジ	چڑھانا.
ナメクジ	بخرہ.
ナメクジ	لوندا
スタウト	طاقتور.
スタウト	مضبوط
ウェイター	بیرا.
ウェイター	سینی
針金	باندھنا
キャッチボール	کھینچنا
キャッチボール	پھانسنے
キャッチボール	چٹخنی.
キャッチボール	روکنے
手綱	تھامنا.
手綱	(بعدہ
手綱	back
観念論	تصوّریت
観念論	مثالیت
トリミング	بال
トリミング	پارچہ.
トリミング	کپڑا
トリミング	کاٹنا
トリミング	بال
トリミング	پارچہ.
トリミング	کپڑا
トリミング	کاٹنا
トリミング	فصل
ディテール	تفصیلات
ヒープ	ڈھیر.
ヒープ	انبار
ヒープ	ڈھیر.
噛む	کاٹ
噛む	تیزی.
噛む	چارہ
噛む	(کیڑے
噛む	تیز
噛む	سانپ
噛む	(پہیّے
毛糸	ڈوری
オープンカー	(الفاظ
エクササイズ	بجالانا.
エクササイズ	اثر
エクササイズ	ورزش.
エクササイズ	استحقاق
エクササイズ	ضبط
ウィッシュ	تمنا
ウィッシュ	(بعدہ
ウィッシュ	on
無益	حقیر.
無益	معمولی
無益	ہیچ.
無益	ادنیٰ
瞳孔	شاگرد
プロパティ	وصف
プロパティ	خصوصیت
プロパティ	مکان
プロパティ	خاصیت.
プロパティ	ملکیت
無神論	الحاد
無神論	کفر.
無神論	الحاد
無神論	دہریت
無神論	کفر.
無神論	کافر
無神論	کافر
無神論	دہریہ
インサイダー	رازدار
ネイル	مینح
ネイル	کیل
形態素	come
形態素	ہم
アライグマ	ریکون
アライグマ	خرسک.
ゴス	گنوار
ゴス	جاہل
ゴス	جانگلوس.
アクティビティ	تابکاری
アクティビティ	مصروفیت
曲げる	تُلا
曲げる	چکرانا
曲げる	مڑنا.
曲げる	گھومنا
曲げる	موڑنا
曲げる	تُلا
曲げる	چکرانا
曲げる	مڑنا.
曲げる	گھومنا
ステイ	دم.
ステイ	at
ステイ	تحدید.
ステイ	in
ステイ	مدد
ステイ	for
ステイ	روک
ステイ	(بعدہ
ステイ	رکاوٹ
早熟	تیز.
早熟	پکاّ
早熟	بالغ
ジェントルマン	مہذّب
イップ	ف.
ヴィシュヌ	وشنو
ニンフ	حسینہ
ニンフ	پہاڑ
コショウ	capcicum
クジャク	اترانے
ペントハウス	منڈپ.
ペントハウス	سائبان
寝たきり	ضعیف
寝たきり	نڈھال
ヌル	منسوخ
ヌル	سپاٹ
ヌル	معرّیٰ
ヌル	ہیچ
ヌル	لاشے.
ヌル	کورا.
キルト	(سکّہ
キルト	توشک
ディレイ	تاخیرکرنا
ディレイ	التوا.
ディレイ	رکاوٹ.
ディレイ	تاخیرکرنا
ディレイ	دیر
ディレイ	التوا.
ディレイ	رکاوٹ.
ディレイ	تعویق
ディレイ	تاخیر
タンブリン	خنجری.
ウコン	ہلدی
スキャナー	عروضی.
無地	انداز
無地	معمولی
無地	صاف
無地	محض
無地	واضح
無地	کھرا.
無地	سلائی
無地	گھریلو
漏斗	قیف.
砂塵	دھرتی
砂塵	چھڑکنا
砂塵	فساد
砂塵	انتشار
砂塵	غبار
砂塵	بُرکنا
砂塵	زمین
砂塵	بالو
砂塵	برداشت.
砂塵	بالو
砂塵	برداشت.
砂塵	ریگ
砂塵	ریت
虫歯	چھید
虫歯	جوف.
虫歯	قعر
渇き	تشنگی.
渇き	ہوس.
渇き	پیاس
渇き	تشنگی.
渇き	ہوس.
発疹	حمرت.
フロック	انگیا.
フロック	فراک.
フロック	کرتی
下り坂	نشیب
下り坂	ڈھلان.
下り坂	اتار.
下り坂	صعودی
プリペイド	باندھنا
プリペイド	لپیٹنا.
涼しい	تحمل
涼しい	پُرسکون
涼しい	بردباری
涼しい	ڈھیٹ
涼しい	ٹھنڈک
涼しい	بیگانہ
涼しい	خنکی.
涼しい	نامانوس
涼しい	عوام
ステートメント	اعلان.
ダーリング	دلدار.
ダーリング	محبوب
ダーリング	دلارا
ダーリング	پسندیدہ
ダーリング	چہیتا
ダーリング	حسین
ダーリング	دلکش.
ダーリング	مرغوب.
ダーリング	خوبصورت
ダーリング	دلدار.
ダーリング	محبوب
ダーリング	دلارا
ダーリング	پسندیدہ
ダーリング	چہیتا
ダーリング	حسین
ダーリング	دلکش.
ダーリング	پیارا
ダーリング	مرغوب.
ダーリング	خوبصورت
解凍	ردّفشار
解凍	پیکٹ
オニオン	پیاز
オニオン	بصلہ.
ブレイ	رَینک
マッシュルーム	کھنبی
染める	وسمہ
染める	صبغہ.
染める	کپڑوں
シミュレート	مصنوعی.
やわらかい	ہلکی
やわらかい	آسان
やわらかい	لکیر
やわらかい	عریاں.
やわらかい	ڈھیلا
やわらかい	حلیم.
やわらかい	تیز.
やわらかい	(روشنی
やわらかい	چکنا
やわらかい	دُھندلا.
やわらかい	کمزور
やわらかい	دبّو
やわらかい	خوشگوار
やわらかい	ملائم
やわらかい	لطیف
やわらかい	(خط
やわらかい	(انداز
やわらかい	گداز
やわらかい	بھیگا
やわらかい	احمقانہ
やわらかい	معتدل
やわらかい	نرمی
やわらかい	(کرنسی
やわらかい	آہستگی
やわらかい	ہلکی
やわらかい	آسان
やわらかい	لکیر
やわらかい	عریاں.
やわらかい	ڈھیلا
やわらかい	حلیم.
やわらかい	تیز.
やわらかい	(روشنی
やわらかい	چکنا
やわらかい	دُھندلا.
やわらかい	کمزور
やわらかい	ہلکا
やわらかい	دبّو
やわらかい	خوشگوار
やわらかい	ملائم
やわらかい	نرم
やわらかい	لطیف
やわらかい	(خط
やわらかい	(انداز
やわらかい	گداز
やわらかい	بھیگا
やわらかい	احمقانہ
やわらかい	معتدل
やわらかい	نرمی
やわらかい	(کرنسی
やわらかい	آہستگی
家主	سرائے
すすめる	ترغیب
すすめる	مدد
すすめる	(بعدہ
葉っぱ	برگ
エキゾチック	اُوپری
エキゾチック	اجنبی
エキゾチック	انوکھا
エキゾチック	نرالا
二元論	ثنویت.
スーツケース	چپٹے
吐き気	گھناؤنا
吐き気	کراہت.
吐き気	تنفر
吐き気	ابکائی.
吐き気	گھن
肉屋	خونخوار
肉屋	کاٹنا
肉屋	ظالم.
バウンティ	عطیہ
バウンティ	فیاضی
プラカード	پوسٹر.
至福	شاداں
至福	فرحاں
至福	خورسند.
至福	سرور.
異状	بناوٹی.
異状	مصنوعی.
異状	نقلی
ソファー	صوفہ
マグノリア	چکنا
うねり	پھوٹن
うねり	گومڑا
うねり	پھیلنا
うねり	سوجن
うねり	اعلیٰ.
うねり	اُبھار.
うねり	نفیس
うねり	پھولنا
うねり	پھیلاؤ.
うねり	پٹاؤ
うねり	طرحدار
うねり	پھوٹن
うねり	گومڑا
うねり	پھیلنا
うねり	سوجن
うねり	اعلیٰ.
うねり	اُبھار.
うねり	نفیس
うねり	پھولنا
うねり	پھیلاؤ.
うねり	اُبھار
うねり	پٹاؤ
うねり	طرحدار
モルタル	گچ.
イボ	گومڑی.
イボ	مسا
アイデンティティー	پہچان
アイデンティティー	مماثلہ.
心電図	electrocardiogram
プディング	موٹا
プディング	مسالوں
プディング	گوشت
プディング	بھدّا
裏通り	پٹڑی.
裏通り	باغ
雪解け	گرمانا.
雪解け	گھلنا.
雪解け	پسیجنا
雪解け	دباؤ
けん引	کشتی
サベージ	قدیم
サベージ	اکّھڑ
サベージ	ظالم
サベージ	خونخوار
サベージ	ظالمانہ
サベージ	قدرتی
サベージ	ناآراستہ
サベージ	صحرائی
サベージ	قدیم
サベージ	اکّھڑ
サベージ	ظالم
サベージ	خونخوار
サベージ	جنگلی
サベージ	ظالمانہ
サベージ	قدرتی
サベージ	ناآراستہ
サベージ	صحرائی
郎党	قابض
郎党	ضابط.
レセプション	استقبال
レセプション	استقبالیہ.
レセプション	استقبال
レセプション	استقبالیہ.
レセプション	پذیرائی
冠詞	(الف)جز
冠詞	مضمون
冠詞	(الف)جز
熟す	پکنا
ビュッフェ	وار.
ビュッフェ	دھچکا.
ビュッフェ	ضرب
ビュッフェ	ٹکرانا
ビュッフェ	تھپڑ
ハーネス	باندھنا.
播種	بجائی
しびれ	شل
しびれ	چکرانا
しびれ	سُن
しびれ	شل
しびれ	چکرانا
傷口	گھاؤ.
傷口	گھاؤ.
傷口	زخم
満腹	مکمل
満腹	گمبھیر
満腹	پورا
満腹	بھرپور
サンドウィッチ	بھینچا
滑石	بھوڈل.
恩寵	انداز
恩寵	عنایت
恩寵	رعایت
恩寵	تپاک
恩寵	چھوٹ
恩寵	her
恩寵	مرحمت
恩寵	استعداد
降雨量	برکھا.
降雨量	بارش
子羊	مسکین
プリムス	اسکاچستانی
堆肥	مرکب
切開	شگاف
切開	کاٹنے
切開	دندانہ.
オーディエンス	توجہ
オーディエンス	کتاب
オーディエンス	پیشی
オーディエンス	شنوائی
オーディエンス	حضوری
オーディエンス	سماعت
オーディエンス	باریابی.
差動	تمیزی
差動	خصوصی
差動	تفرقی
差動	فارقہ
シガー	سگار
シガー	چرٹ
ラグ	پھٹا
ラグ	رومال
ラグ	اترن
ラグ	ستانا
ラグ	ٹوٹا.
ラグ	ہلچل.
ラグ	کترن-
ラグ	چیتھڑے
ラグ	منڈھائی
ラグ	پوشش
ラグ	دھرلینا.
ラグ	حاجب.
ラグ	تاخیر.
コンディショナー	درست
アナキズム	فوضی
アナキズム	فوضیت.
蜂の巣	چھید
蜂の巣	گڑھے
薬局方	قرابادین
遠回り	چورنگی.
遠回り	مبہم
遠回り	چوک
遠回り	پیچیدہ
遠回り	چکر
ポラロイド	تقطیبہ
受入れ	قبولیت
受入れ	(الف)ہنڈی
受入れ	ہامی
受入れ	رضامندی.
無菌	جذبے
無菌	جدّت
無菌	بیہٹر
無菌	جذبے
無菌	جدّت
無菌	بانجھ
無菌	بیہٹر
ムーサ	موسیقی
胡麻	تل
供物	نذر
供物	چڑھاوا.
アラーム	ہوشیار
アラーム	ہول
寝具	گھوڑے
ジュビリー	سالگرہ
ジュビリー	جشن
ジュビリー	سالگرہ
メガホン	بھونپو
カテーテル	قثاطیر.
あくび	جمائی.
タルト	بیسوا.
タルト	رنڈی
リンス	درست
ファスナー	کسنے
ファスナー	جکڑنے
ファスナー	بندھن.
ファスナー	چپکانے
ファスナー	کسنے
ファスナー	بند
ファスナー	جکڑنے
ファスナー	بندھن.
ファスナー	چپکانے
ファスナー	چُننا.
ファスナー	(قبلon
ファスナー	باندھنا
ファスナー	نام
ドゥーム	آخرت
ドゥーム	فرمان.
ドゥーム	ضابطہ
ドゥーム	تباہی.
ドゥーム	ملامت
ドゥーム	پھٹکار
愛撫	بوسہ
愛撫	چومنا
愛撫	لاڈ
愛撫	تھپتھپانا
愛撫	پیار
愛撫	چمکار
シトラス	ترشاوا
シトラス	نارنگی
汚泥	کیٹ.
汚泥	کچرا
トラッカー	مفتش.
トラッカー	مفتش.
トラッカー	کھوجی
滅びる	بگڑنا
アンビエント	محیط
かわいそう	معمولی
かわいそう	کچا
かわいそう	گھٹیا
かわいそう	مفلس
かわいそう	نادار
かわいそう	معمولی
かわいそう	کچا
かわいそう	گھٹیا
かわいそう	مفلس
かわいそう	غریب
ダイアグラム	نقشہ
イチジク	حالت
イチジク	لباس
イチジク	کیفیت
ファンデーション	سطح
ファンデーション	زمین.
脊柱	سول
脊柱	خار
脊柱	کانٹا.
脊柱	ریڑھ.
裂く	from
裂く	ٹولیوں
軽薄	معمولی
軽薄	احمقانہ.
軽薄	ادنیٰ
軽薄	معمولی
軽薄	احمقانہ.
軽薄	ادنیٰ
軽薄	اوچھا
メイス	بسباسہ.
メイス	جریب.
アニス	انیسُون.
ダイアー	رنگریز
頭皮	سخت
頭皮	ہرانا
ひび割れ	جھری
ひび割れ	دائو
ひび割れ	بھرّانا
ひび割れ	بالکل
ひび割れ	چوٹ
ひび割れ	ٹکرانا
ひび割れ	تڑاقے
ひび割れ	پھبتی
ひび割れ	ٹھیک
ひび割れ	مقامی
ひび割れ	پٹاخے
ひび割れ	فقرہ
ひび割れ	جھری-
ひび割れ	تند
ひび割れ	جھری
ひび割れ	چٹاخا
ひび割れ	دائو
ひび割れ	بھرّانا
ひび割れ	بالکل
ひび割れ	چوٹ
ひび割れ	ٹکرانا
ひび割れ	تڑاقے
ひび割れ	پھبتی
ひび割れ	ٹھیک
ひび割れ	مقامی
ひび割れ	پٹاخے
ひび割れ	دراڑ
ひび割れ	فقرہ
ひび割れ	جھری-
ひび割れ	تند
シャリーア	شریعت.
チーク	ساج
チーク	ساج
チーク	ساگوان
窮状	حالت
窮状	معاہدہ
窮状	میثاق.
イマジネーション	متخیلہ
イマジネーション	سوچنے
即興曲	بداہتہً
ブランケット	جامع
滑車	چرخی
チップス	ترکھان
チップス	نجار
逆さま	فائدہ.
逆さま	بھلائی
セラピスト	معالج
フランジ	چھلّا
インテグレーション	تکمل
ザップ	توانائی
発話	ملفوظہ
