lionel	ライオネル
severus	セウェルス
abbott	アボット
astra	アストラ
delaware	デラウェア
banda	バンダ
saastunud	汚染
forte	フォルテ
kaevata	ディグ
kaevata	掘る
richards	リチャーズ
bird	鳥類
bird	バード
noh	まあ
enesetapp	自殺
moslemid	イスラム教
moslemid	ムスリム
seersant	sarge
seersant	軍曹
orkaan	ハリケーン
soovita	提案
soovita	おすすめ
soovita	すすめる
soovita	薦める
floyd	フロイド
meditsiiniline	医学
uuendus	アップデート
uuendus	更新
uuendus	革新
uuendus	イノベーション
pärastlõunal	午後
parandused	矯正
parandused	補正
parandused	修正
parandused	補正
parandused	訂正
parandused	改良
alpid	アルプス山脈
alpid	アルプス
bmp	bmp
tõlkimine	翻訳
tõlkimine	翻訳
tõlkimine	翻訳
partnerid	パートナー
afganistan	アフガニスタン
edmonton	エドモントン
pori	マッド
pori	ダート
moment	moment
moment	瞬間
moment	モーメント
lõigud	スライス
lõigud	セクション
lõigud	段落
ebatavaline	珍しい
gamma	ガンマ
sümmeetriline	対称
nahast	レザー
nahast	皮革
raamatukoguhoidja	司書
hassan	ハサン
hassan	ハッサン
buddy	バディ
vanessa	ヴァネッサ
senti	セント
külalised	ビジター
külalised	ゲスト
imetaja	哺乳類
imetaja	哺乳動物
pangad	バンクス
pin	ピン
pin	pin
vaasa	ヴァーサ
stevens	スティーヴンス
patsiendid	患者
kõrgendatud	高架
liberalismi	自由主義
wesley	ウェズリー
tommaso	トンマーゾ
põlvkondade	世代
põlvkondade	generations
tolm	ダスト
tolm	砂塵
tolm	ほこり
nelikümmend	四十
mainet	評判
pakk	パック
pakk	パッケージ
ale	エール
orjad	奴隷
alphonse	アルフォンス
topelt	ダブル
topelt	二重
morava	モラヴィア
agricola	アグリコラ
guru	グル
visuaalne	ビジュアル
arusaamine	理解
säästa	スペア
kraków	クラクフ
kõrgenenud	高架
kõned	通話
nuga	ナイフ
elevant	ゾウ
canon	カノン
interjöör	内部
interjöör	内装
interjöör	内面
interjöör	インテリア
kehtestamine	設立
pärli	真珠
liechtenstein	リヒテンシュタイン
episoodid	エピソード
kaaliumi	カリウム
apache	apache
sadamad	ポート
hughes	ヒューズ
cas	cas
kirurgia	手術
algatus	イニシアチブ
kudu	スポーン
hilary	ヒラリー
nantes	ナント
bsd	bsd
asetus	配置
cap	cap
cap	キャップ
suriname	スリナム
zeppelin	ツェッペリン
ragbi	ラグビー
materiaalne	有形
kultuurid	農産物
kultuurid	作物
erand	例外
corpus	コーパス
ajakirju	雑誌
emakas	子宮
emakas	子宮
vang	捕虜
vang	囚人
klaipėda	クライペダ
irv	アーヴ
elukoht	住居
elukoht	居所
tšello	チェロ
leheküljed	ページ
jõudlus	パフォーマンス
jõudlus	性能
jõudlus	興行
marcos	マルコス
kõht	お腹
tsunami	津波
abe	安部
abe	安倍
abe	阿部
suhkrut	砂糖
humala	ホップ
etniline	民族
minek	going
veed	ウォーターズ
omandamine	買収
württemberg	ヴュルテンベルク
ljubljana	リュブリャナ
lahutus	離婚
lahutus	解像度
karma	カルマ
benoît	ブノワ
valdaja	キーパー
valdaja	ホルダー
üleujutuste	洪水
kook	ケーキ
korrespondent	特派員
socket	ソケット
trummi	ドラム
trummi	太鼓
tuvi	ピジョン
tuvi	ハト
laks	平手打ち
arutelud	ディスカッション
ookeanide	大洋
nunn	尼僧
õue	ヤード
lennud	フライト
hudsoni	ハドソン
kindlustus	保険
novo	ノヴォ
willard	ウィラード
magna	マグナ
näoga	フェイス
nih	nih
adjutant	副官
karjamaa	牧草
skandaal	スキャンダル
skandaal	不祥事
tilli	ディル
lõbu	楽しい
klassikalised	クラシカル
klassikalised	クラシック
klassikalised	古典
klassikalised	クラシック
klassikalised	古典
klassikalised	classic
kiirendus	加速度
kiirendus	加速
fuuga	フーガ
memorial	追悼
memorial	記念碑
planet	惑星
miinimum	最低限
miinimum	最低
miinimum	最小
ira	アイラ
skype	skype
nälga	飢餓
majaka	灯台
majaka	ビーコン
majaka	灯台
avarii	アクシデント
avarii	事故
avarii	クラッシュ
instruktor	講師
instruktor	インストラクター
pulli	ブル
kassid	キャッツ
kassid	ネコ
terved	ヘルシー
terved	健康
terved	全体
liigasse	リーグ
eksport	輸出
eksport	エクスポート
eksport	輸出
eksport	エクスポート
campo	campo
korter	アパート
breslau	ヴロツワフ
kooselu	同棲
tegelikkus	リアリティ
tegelikkus	現実
mono	モノ
shell	シェル
illusioon	幻想
illusioon	イリュージョン
illusioon	錯覚
kolmteist	thirteen
iseloomustus	特性
iseloomustus	特色
iseloomustus	特徴
kombed	マナー
kata	表紙
kata	被覆
kata	カバー
kata	cover
varustamine	サプライ
varustamine	供給
treeneri	トレーナー
treeneri	コーチング
türkmenistani	トルクメニスタン
sich	シーチ
koola	コーク
koola	コーラ
koola	コーラ
friedman	フリードマン
kinnitus	確認
kinnitus	確認
saladused	秘密
kustutamine	削除
kustutamine	削除
kustutamine	削除
maagiline	magic
maagiline	魔法
maagiline	マジック
maagiline	マジカル
ast	ast
infrastruktuur	インフラストラクチャー
robbie	ロビー
rasedus	妊娠
nurka	コーナー
pressi	プレス
limited	限定
limited	limited
evert	エバート
rukki	ライ麦
rukki	ライ
põletada	焼き
põletada	火傷
põletada	やけど
põletada	burn
haldamine	経営
haldamine	マネジメント
haldamine	マネージメント
haldamine	管理
kõnelejad	スピーカー
kõnelejad	話者
novosibirski	ノヴォシビルスク
rich	金持ち
rich	リッチ
väävel	硫黄
väävel	硫黄
kingitus	現在
kingitus	present
kingitus	プレゼント
kingitus	ギフト
kingitus	贈り物
maffia	暴徒
maffia	モブ
maffia	マフィア
quo	quo
kiireim	最速
süüdistusi	告発
kolesterooli	コレステロール
memphis	メンフィス
tähistamine	お祝い
tähistamine	マーキング
tähistamine	祝賀会
tähistamine	お祝い
veteranide	退役軍人
schwartz	シュワルツ
varud	在庫
tracy	トレイシー
loov	クリエイティブ
fci	fci
ausalt	正直
croce	クローチェ
extra	エクストラ
tõsiasi	事実
võrrandid	方程式
lily	ユリ
lily	リリー
otstarve	目的
paarid	カップル
paarid	ペア
ayer	ayer
ilusad	美しい
ilusad	ビューティフル
mattias	マティアス
mattias	マチアス
dickinson	ディキンソン
sotši	ソチ
igapäevane	everyday
igapäevane	日常
igapäevane	毎日
igapäevane	デイリー
rahandus	財務
rahandus	金融
rahandus	財政
rahandus	ファイナンス
puhtust	清掃
maxima	マクシマ
purskkaev	噴水
derby	ダービー
õpiku	教科書
kergejõustik	アスレチックス
kaliibriga	口径
kaplan	カプラン
guillermo	ギリェルモ
guillermo	ギレルモ
protsent	割合
protsent	パーセント
protsent	割合
protsent	パーセンテージ
protsent	パーセント
hemingway	ヘミングウェイ
macintosh	macintosh
tõlgendamine	解釈
tõlgendamine	通訳
tõlgendamine	通訳
kallid	dear
kallid	ディア
kallid	高い
kallid	高額
rat	ラット
rat	ネズミ
jahe	肌寒い
arkaadia	アルカディア
patent	特許
kohandada	調整
hübriid	ハイブリッド
võrkkesta	網膜
rufus	ルーファス
korsten	煙突
belle	ベル
vältimine	否認
vältimine	予防
vältimine	防止
konsool	コンソール
mustafa	ムスタファ
atlantas	アトランタ
macau	マカオ
reovee	下水
chase	チェイス
õues	アウトドア
õues	屋外
loobu	取り消し
loobu	キャンセル
loobu	取り消す
gomes	ゴメス
ahelad	チェイン
strasbourg	ストラスブール
pärl	真珠
brooks	ブルックス
hit	hit
hit	ヒット
loobumise	放棄
millimeetrit	ミリメートル
tööstuslik	工業
saha	サハ
sharon	シャロン
gala	ガーラ
standardne	基準
standardne	スタンダード
standardne	標準
terrorism	テロリズム
terrorism	テロ
volkov	ヴォルコフ
tõug	品種
mikser	ミキサー
videvik	トワイライト
videvik	たそがれ
õhuruumi	空域
sirel	ライラック
täpsuse	正確性
täpsuse	精度
tingimustega	条件
ratta	ホイール
ratta	車輪
ratta	バイク
ratta	自転車
vancouveri	バンクーバー
hopkins	ホプキンス
agrippa	アグリッパ
remont	修理
operatsioonid	演算
operatsioonid	オペレーション
operatsioonid	操作
dublini	ダブリン
kark	松葉杖
kosmoselaev	宇宙船
pimedus	失明
pimedus	暗闇
bassein	プール
tõsised	深刻
josh	ジョシュ
kuritegevus	犯罪
elektroonilised	エレクトロニック
triip	ストライプ
triip	ストライプ
zwischen	zwischen
gheorghe	ゲオルゲ
antiik	アンティーク
antiik	アンティーク
wifi	wifi
väärivad	メリット
vastupidavus	持久力
vastupidavus	抵抗
vastupidavus	レジスタンス
vastupidavus	耐久性
korrektselt	正しく
naatriumi	ナトリウム
mandrite	大陸
puudulik	未完成
finn	フィン
playboy	プレイボーイ
sms	sms
kosmoloogia	宇宙論
ettekujutus	知覚
omamine	占有
omamine	所持
hammer	ハンマー
hammer	ハマー
joshua	ヨシュア
asukohad	所在地
singapuris	シンガポール
liblikas	チョウ
liblikas	バタフライ
rõngas	リング
rõngas	指輪
fookus	焦点
fookus	フォーカス
klientidele	カスタマー
kooskõla	一貫性
cyrus	キュロス
usaldusväärne	信頼
vedu	輸送
vedu	交通
veebi	web
veebi	ウェブ
griffith	グリフィス
kanaliga	ダクト
pruut	花嫁
kurb	悲しい
kurb	sad
halo	halo
eta	イータ
vetikad	藻類
liht	小学校
tähised	シンボル
tähised	記号
cyp	cyp
pulmad	ウェディング
pulmad	ウェディング
pulmad	結婚式
palma	パルマ
likvideerimine	弁済
likvideerimine	清算
vastuseis	野党
liikluse	トラフィック
liikluse	交通
sekkumine	干渉
ressursid	リソース
ressursid	資源
lihtsuse	シンプル
guajaana	ガイアナ
tähistama	祝う
filipiinid	フィリピン
fabio	ファビオ
geneetilised	遺伝
jutustaja	語り手
olivia	オリヴィア
kavand	ドラフト
kavand	下書き
salvestamine	記録
salvestamine	レコーディング
salvestamine	録音
salvestamine	セーブ
salvestamine	保存
salvestamine	保存
ristik	クローバー
voog	フロー
voog	流れ
pisike	タイニー
pisike	ちっちゃい
pisike	ちび
pisike	小さい
väljastatud	発行
plokk	ブロック
def	デフ
def	def
populatsioonid	人口
tuppa	部屋
tuppa	ルーム
nikon	ニコン
barnes	バーンズ
ratsavägi	騎兵
jõule	xmas
noel	ノエル
passi	パスポート
passi	旅券
moss	コケ
osavõtt	出席
osavõtt	傍聴
püramiid	ピラミッド
busch	ブッシュ
rakendab	実装
ignatius	イグナティウス
tervelt	全体
messina	メッシーナ
milleri	ミラー
hirmus	怖い
vahest	時々
vahest	ときどき
iseloomustada	特徴付ける
kahtlus	疑念
kahtlus	疑惑
kahtlus	断崖
lende	フライト
keeldunud	拒否された
poksi	ボクシング
sulg	フェザー
sulg	羽根
sulg	羽毛
elavhõbe	水星
elavhõbe	マーキュリー
elavhõbe	水銀
osborne	オズボーン
eristatav	distinct
pax	pax
emaka	子宮
serotoniini	セロトニン
spin	スピン
jälg	トレイル
jälg	トレース
nälg	飢え
nälg	空腹
eagle	ワシ
eagle	イーグル
baiti	バイト
asendamine	置換
asendamine	置換
asendamine	置換
asendamine	置換
tabab	ヒット
bostonis	ボストン
polümeeri	高分子
raporti	レポート
raporti	報告
põlemisel	燃焼
vastavus	同調
vastavus	コンプライアンス
esmaspäev	月曜日
lugejad	読者
lugejad	リーダー
mõõtmised	測定
kirg	パッション
kirg	情熱
kirg	受難
merepõhja	海底
vaatlejad	オブザーバー
vaatlejad	オブザーバ
xxx	xxx
bukaresti	ブカレスト
baumann	バウマン
lesotho	レソト
kommentaari	コメント
tsüklit	サイクル
schwarz	シュワルツ
tühjad	空っぽ
peidus	隠し
ekspordi	輸出
ekspordi	エクスポート
mobiilne	モバイル
jälgedes	足音
otsesed	ダイレクト
riietus	被服
riietus	服装
riietus	衣装
sudaan	スーダン
königsberg	ケーニヒスベルク
kättesaadavus	可用性
kättesaadavus	アクセシビリティ
mõõdukad	中道
studios	スタジオ
mclaren	マクラーレン
tornid	タワーズ
odavamad	安上がり
laik	blob
bern	ベルン
imeline	素晴らしい
imeline	凄い
imeline	すごい
imeline	素晴らしい
imeline	ワンダフル
auvergne	オーヴェルニュ
cliff	クリフ
raamatupidaja	会計士
kokkulepitud	同意
kokkulepitud	合意
aron	アロン
isu	食欲
isu	isu
uiguuri	ウイグル
marten	テン
tango	タンゴ
tango	丹後
vedas	ラッキー
kannatavad	苦しみ
camus	カミュ
nuova	ヌオーヴァ
djibouti	ジブチ
markov	マルコフ
abbey	修道院
tähistus	マーキング
tähistus	指定
põllumajanduslik	農業
laskmine	射撃
aednik	庭師
märter	殉教
frances	フランセス
piacenza	ピアチェンツァ
ostu	購入
ahi	コンロ
ahi	ストーブ
ahi	オーブン
soc	soc
devon	デヴォン
oodati	期待
metsanduse	林業
metsanduse	農林
tudeng	生徒
tudeng	学生
pagulaste	難民
pagulaste	難民
ras	ラス
elektrilised	エレクトリック
elektrilised	電気
välistada	除外
kallio	カリオ
twitter	twitter
twitter	ツイッター
trajektoori	弾道
astmed	歩数
astmed	手順
astmed	ステップ
kurdistani	クルディスタン
puhtaks	クリーン
puhtaks	きれい
leegion	レギオン
solaris	solaris
kolleegid	同僚
ühesugused	マッチング
vestlus	会話
vestlus	スレッド
vestlus	チャット
vestlus	雑談
potsdami	ポツダム
matustel	葬式
matustel	葬儀
paku	オファー
paku	申し出
paku	クーポン
harv	レア
hartmann	ハルトマン
stereo	ステレオ
kättemaks	復讐
kättemaks	報復
kättemaks	復讐
kättemaks	リベンジ
kättemaks	報復
leif	レイフ
eksperimendid	実験
troy	トロイ
troy	イリオス
külmad	風邪
külmad	コールド
külmad	冷たい
külmad	寒い
korduv	繰り返し
glükoos	グルコース
darren	ダレン
suárez	スアレス
turgu	市場
turgu	マーケット
ametinimetus	肩書
ametinimetus	称号
ametinimetus	タイトル
protestantide	プロテスタント
hyundai	ヒュンダイ
sokolov	ソコロフ
plata	plata
rahulolematust	不満
eliit	エリート
eliit	エリート
töökoht	職業
töökoht	仕事
töökoht	ジョブ
töökoht	職場
töökoht	workplace
elektrood	電極
heledus	輝度
heledus	明度
jugapuu	イチイ
animaator	アニメーター
brunei	ブルネイ
beagle	ビーグル
vastuväide	異議
lynch	リンチ
vanust	age
vanust	年齢
