скијање	esquí
национализам	nacionalisme
истакне	ressalta
истакне	ressaltat
истакне	subratllat
истакне	subratlla
далај	dalai
летање	volant
влажност	humitat
потрошувачи	consumidors
бенедикт	benedict
загадување	contaminació
хрватите	croats
хајделберг	heidelberg
харис	haris
харис	harris
христијанин	christian
христијанин	cristià
торп	thorpe
интензивно	intens
ричи	ritchie
ричи	richie
цврст	sòlid
предавство	traïció
тероризам	terrorisme
анкета	enquesta
анкета	poll
анкета	survey
анкета	enquesta
кристал	cristall
џејми	jamie
џејми	jaime
јарец	capricorn
убиваат	kill
убиваат	mata
благосостојба	prosperitat
благосостојба	benestar
показатели	indicadors
подвижни	extraïble
координатен	coordenada
такси	taxi
такси	taxi
такси	taxis
неутрална	neutre
неутрална	neutral
поштенска	franqueig
критична	crític
палати	palaus
црта	dibuixa
пенал	sanció
пенал	penalització
пенал	pena
домашно	domèstics
домашно	domèstica
домашно	domèstic
домашно	deures
домашно	casolans
континуитет	continuïtat
континуитет	continuació
кантакузин	cantacuzè
инспирирана	inspirat
олтар	altar
тенок	fina
третмани	tractaments
ајкула	tauró
сфери	esferes
андреја	andrea
андреја	andreja
монах	monjo
напредува	avancen
култ	culte
култ	secta
прекинат	rescindit
прекинат	interromput
мешана	mixta
мешана	mixt
мешана	mesclat
предна	front
рамни	plànols
рамни	bemoll
рамни	plana
фиба	fiba
ложа	saló
ложа	aquelarre
автономен	autònoma
тенеси	tennessee
бест	millor
пророк	profeta
воздухопловство	aviació
олово	plom
горива	combustibles
манифест	manifest
хондурас	hondures
ливчиња	tabulacions
ливчиња	pestanyes
месечно	mensualment
месечно	mensuals
месечно	mensual
месечно	mes
вооружена	armat
вооружена	armats
морфолошки	morfològicament
регулирање	regulin
странци	estranys
странци	desconeguts
странци	estrangers
дејмон	damon
неверојатно	increïble
неверојатно	increible
неверојатно	increïble
дубаи	dubai
редок	rars
редок	rares
виновен	culpable
сиви	gray
сиви	gris
сиви	grey
мин	min
направа	dispositiu
направа	gadget
крвен	circulatori
катастрофи	catàstrofes
катастрофи	desastres
катастрофи	desastre
атол	atol
претворена	convertida
претворена	convertit
претворена	tornà
суверенитет	sobirania
извонредно	extraordinaris
извонредно	extraordinària
извонредно	extraordinàries
извонредно	notable
извонредно	destacable
извонредно	remarcable
извонредно	remarcables
школување	escolarització
школување	escolaritat
далмација	dalmàcia
забранува	prohibeix
тулуз	toulouse
тулуз	tolosa
вернер	werner
младина	juvenil
младина	jovent
младина	joventut
антарктикот	antàrtida
антарктикот	antàrtic
саем	fira
генерали	generals
трилер	thriller
глина	argila
семе	llavor
администраторите	administradors
исклучен	desconnectat
исклучен	apagat
исклучен	off
исклучен	desconnectat
исклучен	exclosos
исклучен	exclòs
доброволно	voluntàriament
доброволно	voluntària
вредни	treballadora
вредни	valuós
вредни	valuosa
тринаесет	tretze
австрискиот	austríac
преселба	reubicació
преселба	movent
танци	danses
танци	balls
обновени	restaurada
обновени	restaurat
џезира	jazeera
отварање	obertura
религиозен	religiós
сампдорија	sampdoria
вриење	bullint
вриење	ebullició
индиска	indi
принсипе	príncipe
хоризонтални	horitzontal
пронаоѓач	inventor
соништата	somnis
вестминстер	westminster
топови	canons
статутот	estatut
маргарита	margarita
апликацијата	aplicació
апликацијата	app
увид	perspicàcia
нож	ganivet
благородници	nobles
стабилни	estable
измислил	inventat
примирје	treva
спонзор	patrocinador
спонзор	padrí
мисури	missouri
герлиц	görlitz
грант	didac
грант	grant
грант	subvenció
замоци	castells
вештачка	pròtesi
вештачка	artificial
антили	antilles
мозаик	mosaic
тоскана	toscana
совршено	perfecte
совршено	perfecta
совршено	perfectament
пензија	jubilació
пензија	pensió
платен	pagat
платен	retribuïts
платен	pagats
јна	jna
недостасува	desaparegut
недостасува	falta
недостасува	desapareguda
емитуваше	transmès
декада	dècada
скапоцени	precious
владислав	vladislav
мурињо	mourinho
дерек	derek
назначени	nomenats
членството	pertinença
членството	afiliació
членството	adhesió
бонус	bonus
бонус	gratificació
бонус	bonificació
стрелци	arquers
стрелци	tiradors
спротивен	oposat
спротивен	contrari
носење	portar
клеопатра	cleòpatra
изложена	exposat
изложена	exposats
невада	nevada
манифестира	manifestant
алтенбург	altenburg
алехандро	alejandro
дипломи	graus
дипломи	diplomes
фени	fanny
носорози	rhinos
сесија	session
сесија	sessió
зголемено	incrementat
мозамбик	moçambic
погреби	funerals
ерфурт	erfurt
коли	cars
коли	cotxes
коли	automòbils
доктрина	doctrina
џингис	genghis
густа	dens
густа	densa
почитуван	respectable
бредли	bradley
летало	dirigible
астрономи	astrònoms
потомок	progènie
растење	creixement
компликации	complicació
компликации	complicacions
груевски	gruevski
јабланица	jablanica
марш	pantà
марш	març
марш	march
препорака	recomanació
морфологија	morfologia
шпанско	castellà
шпанско	espanyol
гори	cremar
гори	crema
гори	cremant
регионално	regional
регионално	regionals
норма	norma
евгениј	ievgueni
евгениј	ievgueni
евгениј	ievhèn
отфрли	descarta
продолженија	seqüeles
варење	indigestió
варење	digestió
замбија	zàmbia
избегал	escapat
рекреација	recreació
рекреација	esbarjo
рекреација	oci
каменица	kamenica
произведен	fabricat
произведен	fabricats
ставовите	actituds
оштетен	danyat
оштетен	malmeses
оштетен	malmès
оштетен	desperfectes
оштетен	malmesos
самуел	samuel
призната	reconeguts
призната	reconegut
импулс	impuls
лидија	lídia
лидија	lydia
лидија	lidia
комонвелтот	mancomunitat
рут	ruth
банкноти	factures
назначува	nomenar
назначува	nomena
женско	femení
женско	femella
хонда	honda
нерв	nervi
амстел	amstel
препознавање	reconeixement
едмунд	edmund
астрологија	astrologia
решен	resolt
решен	determinat
решен	determinada
градината	jardí
кембел	campbell
сопствено	propi
сопствено	propis
сопствено	custom
сопствено	personalitzada
сопствено	personalitzat
блага	benevolent
блага	lleus
блага	lleu
блага	blaga
пијанист	pianista
пула	pula
зилт	sylt
префектури	prefectures
слушнал	escoltat
рај	cel
рај	heaven
рај	haven
рај	paradís
рај	paradise
лови	hunt
мина	mina
комбинира	combina
комбинира	combinar
полнење	farcida
полнење	recàrrega
апостолски	apostòlica
предизвици	reptes
предизвици	impugnacions
грип	grip
грип	grip
кражба	robatori
кражба	furt
цитати	cotitzacions
примарно	primària
примарно	primari
нло	ovni
партиите	parts
муса	mussa
муса	musa
муса	moussa
свечено	solemnement
фрост	gelada
робертс	roberts
добивајќи	rebre
отоманско	otomà
декрет	decret
фати	agafa
индустри	indústries
полицаец	cop
полицаец	oficial
плејофот	eliminatòries
кант	kant
бременост	embaràs
маркова	markova
точност	puntualitat
точност	regularitat
точност	precisió
точност	exactitud
процедура	procediment
шпревалд	spreewald
агресија	agressió
заштитена	protegit
славен	slaven
необично	inusual
летната	midsummer
погреб	enterrament
погреб	funeral
течна	líquid
течна	liquid
авив	aviv
намери	intencions
намери	intencionalitat
заштитни	salvaguarda
трајан	traian
кош	cistell
кош	cistella
олимпијадата	olimpíades
зелените	verds
хајзенберг	heisenberg
замисла	idea
позајмица	préstec
леоне	leone
компир	patata
дозволувајќи	permetent
крос	creu
крос	cross
атила	attila
минесота	minnesota
зајакнување	reforçar
зајакнување	enfortir
зајакнување	potenciar
зајакнување	enfortiment
изминатите	passat
татари	tàtars
белизе	belize
марков	màrkov
алгоритми	algoritmes
трагедија	tragèdia
заштитува	protegir
заштитува	protegeix
посветено	dedicat
посветено	dedicada
шефилд	sheffield
опит	experiment
претставено	representada
претставено	representats
претставено	representades
претставено	representat
претставено	presentat
претставено	presentats
преден	front
корисен	útil
внатрешност	interior
картагина	cartago
клара	klara
клара	clara
образовна	educatiu
парфеми	perfums
сокол	falcon
сокол	falcó
сокол	hawk
вермонт	vermont
доналд	donald
остаток	residu
остаток	romanent
траеше	durat
сида	sida
нео	neo
матрица	matriu
амам	hamam
амам	hammam
состави	compilat
состави	compilar
данило	danilo
копнени	terrestre
поетска	poètic
поетска	poètica
атлетичар	atleta
атлетичар	esportista
пожари	incendis
марфи	murphy
отстранет	retirats
отстранет	eliminat
трска	canya
трска	reed
лира	lira
очекувањата	expectatives
дефицит	deficiència
дефицит	dèficit
објаснувања	explicacions
лековити	medicinal
координација	coordinació
дебати	debats
фарма	granja
мускул	múscul
шестото	sisena
шестото	sisè
марта	marta
марта	martha
отпад	residus
лили	lilly
лили	lily
сенат	senat
глен	glen
глен	glenn
додели	assignar
додели	assigna
провери	comprovació
абрахам	abraham
преродба	renaixement
ослободена	desencadenat
комерцијално	comercial
комерцијално	mercantils
комерцијално	comercials
комерцијално	comercialment
датотеки	fitxers
датотеки	arxius
повреден	ferits
повреден	ferit
пијалак	beguda
иселување	desnonament
иселување	desallotjament
суштински	core
суштински	nucli
суштински	imprescindibles
суштински	imprescindible
суштински	essencial
суштински	essencials
трошок	despesa
потенцијално	potencialment
поттикнување	incitació
намени	finalitats
граѓанско	civil
граѓанско	cívic
граѓанско	civic
вертикално	verticalment
вертикално	vertical
јоркшир	yorkshire
холидеј	holliday
субјект	assignatura
субјект	subjecte
субјект	subjectes
неопходна	indispensables
неопходна	necessàries
печати	imprimeix
крајбрежни	costera
крајбрежни	costaneres
раул	raul
раул	raúl
тапанарот	timbaler
алги	alga
заклучува	conclou
хектор	hector
искористена	emprat
искористена	utilitzat
искористена	utilitzats
искористена	usat
добротворни	caritat
тера	tara
георгиј	gueorgui
шпекулации	especulació
шпекулации	especulacions
прст	dit
темел	fonament
темел	fundació
прибор	estris
прибор	kit
забрани	veta
забрани	ban
забрани	prohibeixen
забрани	prohibida
забрани	prohibicions
његош	njegoš
прекрасен	meravellós
харолд	harold
хаваи	hawaii
декорација	decoració
техничар	tècnic
архипелаг	arxipèlag
посредници	intermediaris
посредници	mediadores
посредници	mediadors
матката	úter
матката	cervical
влијателни	influents
здрав	saludables
здрав	healthy
здрав	sanes
здрав	saludable
здрав	sane
јуриј	iuri
јуриј	iuri
дозволени	permesos
дозволени	permès
чекаат	esperant
разводот	divorci
пламен	flama
пламен	flames
деп	dep
деп	depp
пиштол	pistola
пиштол	pistola
пиштол	arma
бракови	matrimoni
бракови	matrimonis
инспектор	inspector
еврозоната	eurozona
лечење	curació
лечење	millorant
натпреварувач	concursant
натпреварувач	competidor
бан	veta
бан	ban
јаболка	pomes
повикани	convocats
повикани	convocat
корисно	útil
туберкулоза	tuberculosi
транс	trans
отстранети	retirats
отстранети	eliminat
сестрите	germanes
архиви	arxius
скока	salts
фантазија	fantasia
фантазија	imaginació
вембли	wembley
океаните	oceans
варвара	varvara
моравија	moràvia
тарнер	turner
прогонство	exili
бесконечно	indefinidament
бесконечно	infinit
бесконечно	infinites
бесконечно	infinits
бесконечно	infinita
бесконечно	infinitament
бесконечно	interminable
бесконечно	interminables
видливо	visible
видливо	visibles
портокалова	orange
портокалова	taronja
корица	portada
корица	caràtula
цртеж	dibuix
лох	loch
усни	llavis
мајнинген	meiningen
компромис	avinença
кружен	circular
нерешено	empat
нерешено	corbata
батиста	batista
чеченија	txetxènia
октавијан	octavi
мајор	major
