तुर्कमेनिस्तान	turkmenistánu
घटती	klesající
रिले	rileyho
रिले	riley
रिले	relé
चुनौतियों	výzev
चुनौतियों	výzvy
बर्मन	burman
अनवर	anwar
फर्ग्यूसन	ferguson
हालात	situaci
हालात	situace
हालात	šance
हालात	okolnosti
भैंस	buffalo
महाद्वीपों	kontinenty
लेनिन	lenin
समाचारपत्र	noviny
साम्य	podobnost
साम्य	podoba
संतोषजनक	uspokojivý
संतोषजनक	vyhovující
संतोषजनक	uspokojivé
संतोषजनक	uspokojivá
संतोषजनक	uspokojivá
संतोषजनक	uspokojivé
संतोषजनक	uspokojující
रनवे	dráhy
रनवे	dráha
सफ़र	putování
सफ़र	cesta
मनोरोग	psychiatrické
खींचा	vytáhl
खींचा	kreslil
खींचा	drew
सल्फर	síra
सल्फर	síry
सल्फर	síra
स्क्वैश	dýně
स्क्वैश	squash
लॉक	zámek
लॉक	zamknout
एबीसी	abc
वाल्टर	walter
डाकू	psanec
डाकू	lupič
पीएचडी	doktorát
पीएचडी	phd
फ़ुटबॉल	fotbal
गॉर्डन	gordon
गॉर्डन	gordona
बांस	bambus
वाटसन	watson
वाटसन	watsonová
सहिष्णुता	toleranci
सहिष्णुता	tolerance
लूथर	luther
लूथर	luthera
परिपक्वता	splatnost
परिपक्वता	splatnosti
पूज्य	ctihodný
निरंतरता	kontinuity
निरंतरता	kontinuitu
निरंतरता	udržitelnosti
निरंतरता	udržitelnost
पनामा	panamě
लॉरेंस	lawrence
हिरासत	vazbě
हिरासत	opatrovnictví
लड़	boj
लड़	boje
गुणात्मक	kvalitativní
बौना	trpaslík
रेखाचित्र	grafy
रेखाचित्र	kreslení
रेखाचित्र	kresba
रेखाचित्र	losování
स्वदेश	národ
सुपरमैन	superman
फलित	astrologové
बुल	buldok
बुल	býk
बुल	bull
धब्बे	náplasti
धब्बे	skvrny
अमूल्य	nezaplacení
विकिस्रोत	wikisource
निक	nick
निक	nicku
पीढी	generace
पीढी	generování
माउस	myš
माउस	myší
माउस	myška
माउस	myši
क्राउन	korunu
क्राउन	koruny
क्राउन	crown
क्राउन	koruna
साड़ी	sari
बहुमुखी	násobek
बहुमुखी	univerzální
पहियों	wta
पहियों	kolečka
पहियों	koly
पहियों	kol
पहियों	kola
स्पीयर्स	spears
स्पीयर्स	kopí
बहू	nevěstu
बहू	nevěstou
बहू	nevěsta
वेबसाइटों	weby
छठा	šestá
छठा	šestý
छठा	šesté
संभाला	zvládla
स्पा	spa
स्पा	lázně
स्पा	lázeňské
स्पा	lázně
मातृभूमि	vlasti
मातृभूमि	vlast
मशीनें	stroje
पनडुब्बी	ponorky
पनडुब्बी	ponorku
पनडुब्बी	ponorka
मुखर	zpěv
मुखर	vokální
काउंटर	pult
पूर्णांक	integer
बचना	úniky
बचना	únikům
शौक	hobby
शौक	koníček
शौक	hobby
शौक	záliby
शौक	koníčky
निचला	níže
निचला	níž
निचला	dolní
निचला	nižší
निचला	spodní
वानर	opice
नौकर	služebník
नौकर	sluha
बोवी	bowie
अफगान	afghánské
टार्ज़न	tarzan
उदासीन	nostalgický
राजमहल	palác
राजमहल	palace
बसों	autobusy
अर्थहीन	bezvýznamný
अर्थहीन	bezvýznamná
अर्थहीन	bezvýznamné
मॉर्गन	morganová
मॉर्गन	morgana
मॉर्गन	morgan
सतहों	povrchy
रसेल	russell
संगीतमय	muzikál
संगीतमय	hudební
टिक	klíště
टिक	tik
टिक	tic
क्राइस्ट	kristus
क्राइस्ट	kriste
अनुप्रस्थ	příčné
प्रायोजक	sponzora
प्रायोजक	sponzor
प्रायोजक	patron
प्रायोजक	sponzory
प्रायोजक	sponzoři
प्रायोजक	sponzorů
ब्रिगेड	brigáda
ब्रिगेड	brigády
पॉलिसी	politika
दस्त	průjem
कलाई	zápěstí
संभोग	soulož
संभोग	styk
जोरदार	vehementně
अल्फ्रेड	alfreda
अल्फ्रेड	alfred
वेल्श	welsh
कराटे	karate
ग्रंथियों	žlázy
ट्रैफिक	provoz
ट्रैफिक	doprava
सिखाया	učila
सिखाया	naučil
सिखाया	učil
लिबरल	liberální
खंडहर	trosky
खंडहर	trosky
खंडहर	troskách
खंडहर	ruiny
कर्क	rakovina
कर्क	rakovinu
कर्क	rakoviny
प्रेरण	vyvolání
प्रेरण	indukční
लामा	láma
लेज़र	laserem
लेज़र	laser
लेज़र	laserové
बाइबल	bible
बाइबल	bibli
क्रमांक	číslo
क्रमांक	počet
धक्का	zatlačit
धक्का	tlačit
आविष्कारक	vynálezci
आविष्कारक	vynálezce
गोपनीय	zašifrované
गोपनीय	tajný
गोपनीय	tajná
गोपनीय	tajemství
गोपनीय	tajné
गोपनीय	důvěrný
गोपनीय	důvěrné
प्रेत	zombie
सप्ताहांत	víkendy
सप्ताहांत	víkendové
सप्ताहांत	víkend
कब्रिस्तान	hřbitovy
कब्रिस्तान	hřbitov
बुल्गारिया	bulharsko
पासपोर्ट	pas
प्रज्ञा	inteligence
प्रज्ञा	inteligenci
बेशक	vskutku
बेशक	skutečně
आइसलैंड	island
प्रमाणीकरण	ověření
प्रमाणीकरण	ověřování
टोयोटा	toyota
ब्लाक	bloku
ब्लाक	blokovat
ब्लाक	blok
ब्लाक	zablokovat
ब्लाक	blokování
सत्यापन	ověřte
सत्यापन	ověřit
सत्यापन	ověřovat
सत्यापन	ověření
सत्यापन	ověřování
सत्यापन	ověření
सत्यापन	ověřování
रेशों	hedvábí
प्रत्यावर्ती	střídavě
वृहद	větší
ग्रैमी	grammy
लॉन्च	zahajuje
लॉन्च	vypuštění
लॉन्च	start
लॉन्च	spuštění
लॉन्च	spustit
बीट	beat
बीट	porazit
इमेजिंग	zobrazování
लटका	hung
कैटरीना	katrina
डिस्ट्रिक्ट	okres
डिस्ट्रिक्ट	okrsek
काठमांडू	káthmándú
सीखना	učení
सीखना	výuka
वेश	oblečen
वेश	oblečená
वेश	oblečený
डॉक्टरों	doktoři
डॉक्टरों	doktorů
डॉक्टरों	lékaři
गला	hrdla
गला	hrdlo
गला	krk
गला	šíje
गला	krku
हैदर	haider
सुगमता	zpřístupnění
सुगमता	dostupnost
स्ट्रॉस	strauss
गार्सिया	garcia
निद्रा	spi
निद्रा	spánek
निद्रा	spát
बहाने	výmluvy
एक्सप्लोरर	explorer
एक्सप्लोरर	průzkumník
छल	obtěžování
आलम	alam
बिज़नेस	obchod
बिज़नेस	obchodní
बिज़नेस	podnikání
बिज़नेस	byznys
प्रतिबद्ध	spáchal
कॉलोनी	kolonií
कॉलोनी	kolonie
आवंटन	příděl
आवंटन	přidělení
आवंटन	přidělování
आवंटन	přidělení
आवंटन	přidělování
बाला	bala
कार्लोस	carlose
कार्लोस	carlos
अनीता	alenka
अनीता	alice
अनीता	anita
अनोखा	jedinečný
अनोखा	unikátní
अनोखा	jedinečná
अनोखा	jedinečné
अनोखा	román
रिएक्टर	reaktoru
रिएक्टर	reaktor
करीना	karina
कपाल	lebku
कपाल	lebky
कपाल	lebka
श्रोता	posluchači
श्रोता	posluchač
श्रोता	diváci
श्रोता	publikum
श्रोता	audience
कॉमन	časté
कॉमन	společná
कॉमन	společné
आपेक्षिकता	relativity
लेम्बोर्गिनी	lamborghini
प्याज	cibule
प्याज	cibule
असीमित	nekonečná
असीमित	nekonečné
असीमित	nekonečný
असीमित	nekonečno
असीमित	neomezené
असीमित	neomezený
असीमित	neomezená
असीमित	neomezené
असीमित	neomezený
असीमित	neomezená
माउंटबेटन	mountbatten
बग	brouk
बग	štěnice
बग	chyby
बग	brouci
बग	hmyz
बग	brouky
बग	štěnice
मॉस्को	moskvy
मॉस्को	moskvě
मॉस्को	moskva
बूटी	kořist
सोम	soma
सोम	som
सोम	mon
टर्नर	turner
टर्नर	turnerová
टर्नर	turnera
हिमानी	ledovec
हिमानी	ledovce
हिमानी	himalájích
ट्रांस	trans
मेहमान	hosty
मेहमान	hosté
मेहमान	host
नियमन	předpis
नियमन	regulace
नियमन	nařízení
जहर	jed
मगरमच्छ	krokodýl
गतिज	kinetické
तन	tan
यूटीसी	utc
वेनिस	benátky
खांसी	kašel
आईएसओ	iso
युगांडा	ugandě
संख्याएँ	čísla
जब्त	zabavili
सुगंध	vůně
सुगंध	aroma
जस्टिन	justin
सरकारें	vlád
सरकारें	vlády
सरकारें	vládám
अहंकार	ega
अहंकार	ego
ठेठ	typický
ठेठ	typická
ठेठ	typické
फ़ोर्स	síla
उलट	obrácené
मोरक्को	maroko
सुमात्रा	sumatra
छड़ी	klacek
सीरम	sérum
सीरम	séra
दाम	ceny
दाम	price
दाम	cena
दाम	cenu
नहरें	kanál
नहरें	kanálu
नहरें	řek
नहरें	řeky
नहरें	rivers
हमलावर	útočníci
हमलावर	útočníky
हमलावर	útočníků
नॉर्मन	norman
सराहा	ocenil
लैंडिंग	přístaviště
लैंडिंग	přistání
माँगा	manga
नाविक	námořník
नाविक	navigátor
स्थायित्व	výdrž
स्थायित्व	vytrvalost
हावर्ड	howarda
हावर्ड	howard
साम्यवाद	komunismus
साम्यवाद	komunismu
पैमाना	působnosti
पैमाना	působnost
पैमाना	rozsah
पैमाना	rozsah
पैमाना	stupnice
पैमाना	rozsahu
पैमाना	měřítko
तंबाकू	tabáku
तंबाकू	tabák
चिड़िया	pták
चिड़िया	ptáček
चिड़िया	bird
चिड़िया	ptačí
पराग	pyl
सूर	sur
उमा	uma
प्री	pre
मैथुन	soulož
मैथुन	styk
मैथुन	pohlaví
मैथुन	sexu
मैथुन	sex
ग्राफिक्स	grafika
पराबैंगनी	ultrafialové
ताम्र	měď
ताम्र	mědi
योजनाएं	schémata
योजनाएं	režimy
केल्विन	kelvin
अल्पकालिक	efemérní
अनुपस्थित	absence
अनुपस्थित	chybí
अनुपस्थित	chybějící
फाई	phi
मर्सिडीज	mercedes
कीटनाशक	pesticidů
कीटनाशक	pesticidy
लार	sliny
लार	slin
सुनहरे	blondýnka
सुनहरे	blond
सुनहरे	blondýna
आगंतुक	návštěva
आगंतुक	návštěvník
फ़ॉर्मूला	vzorec
फ़ॉर्मूला	formule
चीज़ें	věci
चीज़ें	veci
ग्राफिक	grafické
ग्राफिक	grafika
ग्राफिक	grafický
लूप	smyčka
लूप	smyčky
पेरी	peri
पेरी	perry
पेरी	perryho
फिल्माया	natočil
सम्मिश्रण	mísení
सम्मिश्रण	míchání
चम्मच	lžíci
चम्मच	lžička
चम्मच	lžíce
ग्रा	gras
दुकानें	prodejny
दुकानें	obchody
दुकानें	prodejny
दुकानें	obchody
दुकानें	stánky
अनुपयुक्त	nevyužité
विरोधाभास	paradox
जैम	zam
जैम	džem
जैम	jam
चेयरमैन	předseda
रिश्तेदार	příbuzná
रिश्तेदार	relativně
रिश्तेदार	relativní
रिश्तेदार	příbuzný
रिश्तेदार	příbuzných
रिश्तेदार	příbuzné
रिश्तेदार	příbuzní
कचरा	odpad
कचरा	odpadky
कचरा	smetí
कचरा	odpad
कचरा	odpadky
कचरा	smetí
थैली	vak
थैली	vaku
प्रतियोगियों	konkurenty
प्रतियोगियों	konkurenti
प्रतियोगियों	konkurence
असिमोव	asimov
स्प्रिंग	jarní
स्प्रिंग	jaro
पिज़्ज़ा	pizzu
पिज़्ज़ा	pizzy
पिज़्ज़ा	pizza
दैवी	oracle
दैवी	vědma
दैवी	věštec
दैवी	božské
दैवी	božská
दैवी	božský
ग़रीब	chudák
छात्रवृत्ति	stipendia
छात्रवृत्ति	stipendium
विषैले	jedovatý
विषैले	jedovaté
लिखें	psát
लिखें	napište
लिखें	napiš
लिखें	pište
लिखें	napsat
लिखें	složit
लिखें	skládat
लिखें	hořet
लिखें	spálit
देवों	devon
सोडा	limonáda
सोडा	sodu
सोडा	soda
हुकूमत	království
हुकूमत	nadvládu
डॉक्टरेट	doktorát
डॉक्टरेट	doktorské
विला	vily
विला	vila
विला	villa
विला	vily
सटीकता	správnost
सटीकता	přesnost
सटीकता	přesnosti
कोला	colombo
कोला	colu
कोला	coly
कोला	kolu
कोला	cola
धमनियों	tepny
प्रतिजन	antigen
अदालतों	soudy
चोंच	zobák
ग्राहम	grahama
ग्राहम	grahame
ग्राहम	graham
सर्वोपरि	paramount
प्लेटों	talíře
प्लेटों	desky
प्रमाणन	certifikace
प्रमाणन	osvědčení
प्रमाणन	certifikaci
खरीदी	koupil
खरीदी	koupil
खरीदी	koupila
खरीदी	koupili
मिटा	vymazat
दुखी	mizerně
दुखी	smutný
दुखी	smutná
दुखी	smutné
न्यूट्रॉन	neutron
हारे	volnější
निरीक्षक	zeměměřič
निरीक्षक	nadřízený
निरीक्षक	pozorovatel
निरीक्षक	pozorovatele
अल्फ़ा	alpha
अल्फ़ा	alfa
हैरिस	harrisová
हैरिस	harris
सावधान	diskrétně
सावधान	diskrétní
गियर	výbava
राजतंत्र	monarchie
अंडाकार	eliptická
सर्कस	cirkus
अल्बानिया	albánie
हीलियम	helium
बादाम	mandlové
बादाम	mandle
बादाम	mandle
कगार	římse
निष्कर्षों	zjištění
निष्कर्षों	nálezy
निष्कर्षों	poznatky
नागा	naga
प्राचल	parametr
कामकाज	fungování
कामकाज	fungující
मिनेसोटा	minnesotě
पृथक्करण	odstupné
पृथक्करण	segregace
अंडा	vajíčko
अंडा	vejce
एलर्जी	alergii
एलर्जी	alergie
माइक्रो	mikro
वर्दी	uniformy
वर्दी	dresy
वर्दी	uniforma
वर्दी	uniformu
वर्दी	uniformy
उत्कृष्टता	dokonalost
उत्कृष्टता	dokonalosti
सूर्यास्त	soumrak
सूर्यास्त	sunset
ताँबा	měď
ताँबा	mědi
ऐश	jasan
ऐश	ash
ऐश	popel
कैलोरी	kalorií
कैलोरी	kalorií
कैलोरी	cale
कैलोरी	cal
ईमानदारी	poctivost
ईमानदारी	upřímnost
ईमानदारी	upřímnost
वृत्ताकार	kruhové
वृत्ताकार	oběžník
निर्वासित	psanec
निर्वासित	deportovat
सरस	šťavnaté
स्ट्रिंग	řetězec
स्फटिक	křemen
बुनाई	tkaní
बुनाई	pletení
बुनाई	plete
विवाहित	manželé
विवाहित	vdaná
विवाहित	ženatý
आभा	auru
आभा	aura
मांसाहारी	masožravé
बॉन	bonnu
बॉन	bon
पाँव	nohy
पाँव	chodidla
पाँव	nožky
द्वेष	nenávist
द्वेष	nenávisti
द्वेष	zášť
रेखांकित	zdůraznila
रेखांकित	podtrženo
रेखांकित	zdůraznit
कॉलम	sloupek
कॉलम	sloupec
कॉलम	sloupci
कॉलम	sloupce
कॉलम	sloup
कॉलम	sloupce
कॉलम	sloupy
समस्थानिक	izotop
कहावत	přísloví
कहावत	maxime
कहावत	maxim
कहावत	maxima
कहावत	pořekadlo
टेड	ted
समष्टि	vesmír
समष्टि	prostor
समष्टि	prostoru
समष्टि	space
दुर्घटनाओं	havárie
दुर्घटनाओं	nehody
दुर्घटनाओं	nehod
शायरी	poezii
शायरी	poezie
टेलीग्राफ	telegraph
प्रत्याशी	uchazeči
प्रत्याशी	uchazeč
प्रत्याशी	kandidát
आवेग	impuls
आवेग	impulsní
बर्नार्ड	bernard
बर्नार्ड	barnard
सचेत	vědomí
एमिनेम	eminem
सुनी	poslouchal
सुनी	poslouchala
किशोरों	teenageři
धर्मार्थ	charity
धर्मार्थ	charita
धर्मार्थ	charitu
धर्मार्थ	dobročinnost
धर्मार्थ	charity
धर्मार्थ	charitativní
धर्मार्थ	charita
डेव	dave
डेव	dava
पारा	rtuť
पारा	mercury
पारा	rtuti
पारा	merkur
पारा	para
धोखे	podvedl
हार्ले	harley
पेंट	malovat
पेंट	nátěr
पेंट	barva
निदेशालय	ředitelství
सोन	synu
सोन	syn
नीलामी	aukce
नीलामी	dražby
नीलामी	aukci
नीलामी	aukce
नीलामी	dražby
पट्टे	leasing
पट्टे	pronájem
नाटो	nato
ब्रह्मचर्य	celibát
ग्लेन	glen
ग्लेन	glenn
विरल	sporadické
विरल	vzácný
विरल	vzácné
विरल	vzácná
पिया	pila
पिया	pil
आयामी	dimenzionální
पोर्टफोलियो	portfolio
पोर्टफोलियो	portfolia
नवाचार	inovaci
नवाचार	inovační
नवाचार	inovace
डायमंड	diamantový
डायमंड	diamond
डायमंड	diamantové
डायमंड	diamant
महंगी	nákladné
महंगी	drahé
फ्रायड	freud
तर्कसंगत	racionální
तर्कसंगत	racionálně
पीना	pít
पीना	pití
पीना	pít
पीना	nápoj
पीना	pití
स्ट्रिप	striptýz
स्ट्रिप	proužek
स्ट्रिप	svléknout
स्ट्रिप	strip
संलयन	fúze
अब्दुल्ला	abdullah
वर्जिन	panenské
वर्जिन	panic
वर्जिन	panna
डेप	depp
मानकीकृत	standardizované
मुहाफ़ज़ाह	gubernie
प्रोसेसिंग	obrábění
प्रोसेसिंग	zpracovávání
प्रोसेसिंग	zpracování
प्रोसेसिंग	přepracování
अवस्थिति	umístění
अवस्थिति	lokace
अवस्थिति	místo
अवस्थिति	poloha
अवस्थिति	umístění
अवस्थिति	lokalita
अवस्थिति	lokace
अवस्थिति	lokality
वार्मिंग	oteplování
मार्गदर्शक	průvodce
मार्गदर्शक	průvodci
मार्गदर्शक	příručka
विभिन्नता	variace
ढोल	buben
अवकल	diferenciální
राजसी	majestátní
राजसी	regal
टिकाऊ	udržitelný
टिकाऊ	udržitelná
टिकाऊ	udržitelné
टिकाऊ	odolný
टिकाऊ	trvalé
क्रोमियम	chromu
कूप	kupé
कूप	coupe
एकरूपता	jednotnost
कीन	keane
स्टेनली	stanleyho
स्टेनली	stanley
सिन्ध	sindh
लेखनी	tužka
लेखनी	pen
लेखनी	pero
वक्ष	hrudník
अखबारों	noviny
मध्यस्थता	zprostředkování
सोल	sol
किक	kop
किक	výkop
किक	kopnout
आयोडाइड	jodid
धड़कन	beat
धड़कन	porazit
धड़कन	tep
धड़कन	bití
धड़कन	bít
धड़कन	výprask
छल्ले	kroužky
छल्ले	prsteny
छल्ले	kruhy
छल्ले	prstýnky
क्रेन	crane
क्रेन	jeřáb
आखरी	poslední
आखरी	posledni
आखरी	naposledy
आखरी	naposled
क्षेत्ररक्षण	kapitáne
क्षेत्ररक्षण	kapitán
लिली	lili
लिली	lilly
लिली	lilie
लिली	lily
बेली	bailey
बेली	bříško
बेली	pupek
बेली	břicho
ग्रहीय	planetární
मॉनिटर	monitor
मॉनिटर	monitorovat
कोक	koks
कोक	kokain
कोक	cola
मेलबोर्न	melbourne
करुणा	laskavost
मुठभेड़	střetnutí
अकसर	mnohdy
अकसर	často
मशरूम	houby
मशरूम	houby
मशरूम	houba
शांतिपूर्ण	mírové
शांतिपूर्ण	klidné
गरुड़	garuda
फ्लू	chřipka
फ्लू	chřipku
नरक	peklo
ट्री	strom
बेलन	válec
बोलना	mluvení
अवरोधित	zablokovaný
अवरोधित	zablokované
अवरोधित	zablokovaná
आत्मविश्वास	sebevědomý
आत्मविश्वास	důvěru
आत्मविश्वास	sebevědomí
आत्मविश्वास	důvěra
कुपोषण	podvýživy
लापता	chybí
लापता	chybějící
नूर	noor
कंटेनर	nádoba
कंटेनर	kontejner
कंटेनर	kontejneru
कंटेनर	zásobník
राई	rai
दुश्मनों	nepřátele
दुश्मनों	nepřátel
दुश्मनों	nepřátelé
वाइड	širokou
वाइड	široká
वाइड	široký
वाइड	široké
फर्नीचर	nábytek
वारिस	dědic
वारिस	dědice
वारिस	dědici
वारिस	dědice
आधुनिकीकरण	modernizaci
आधुनिकीकरण	modernizace
परिवर्तनशील	proměnnou
परिवर्तनशील	proměnná
परिवर्तनशील	proměnné
मच्छर	komár
अनजान	neznámá
अनजान	neznámý
अनजान	neznámé
ग्रांट	udělit
ग्रांट	grant
सनी	sunny
सनी	slunečný
प्लेटफॉर्म	plošina
प्लेटफॉर्म	nástupiště
प्लेटफॉर्म	platforma
प्लेटफॉर्म	platformy
प्लेटफॉर्म	platformu
घुस	proniknout
भावुक	emocionální
भावुक	citové
भावुक	emotivní
भावुक	emoční
भावुक	sentimentální
कैन	cain
कैन	cannes
घोटाला	skandální
घोटाला	skandál
घोटाला	skandály
घोटाला	podvod
घोटाला	podfuk
रक्षात्मक	obranný
रक्षात्मक	obranná
रक्षात्मक	obranné
मिस्री	egyptský
मिस्री	egyptské
मिस्री	egyptská
ईर्ष्या	žárlivý
ईर्ष्या	závist
ईर्ष्या	závidět
ईर्ष्या	žárlivost
ईर्ष्या	žárlivosti
ईर्ष्या	závist
अमल	amal
मेडल	medaile
मेडल	vyznamenání
मेडल	medaili
समरूप	homogenní
गायों	krav
गायों	krávy
जैज़	jazz
गायकों	zpěváci
गायकों	zpívání
गायकों	zpěv
गायकों	zpívám
ओक	dub
ओक	oak
ओक	dubu
बैच	šarže
उड़ा	rána
किनारा	hranice
किनारा	hranic
किनारा	hraně
किनारा	okraj
किनारा	edge
किनारा	hranice
किनारा	hranici
किनारा	strany
फ्रेड	fred
बुर्ज	tower
बुर्ज	věži
बुर्ज	věže
बुर्ज	věž
बुर्ज	pinnacle
बुर्ज	watchtower
पियरे	pierre
वुड	dřevo
वुड	dřeva
बंदरगाहों	přístavu
बंदरगाहों	přístav
बंदरगाहों	port
अलेक्जेंडर	alexandr
अलेक्जेंडर	alexander
परिमित	konečný
वर्षगांठ	výročí
वर्षगांठ	výročí
क्योटो	kjótského
अनुबंधित	vyčleněné
मटर	hrášek
मटर	hrášek
मटर	hrách
आर्किटेक्चर	architektura
आर्किटेक्चर	architektuře
आर्किटेक्चर	architekturu
आर्किटेक्चर	architektury
फैक्ट्री	továrně
फैक्ट्री	továrna
वॉर्स	války
वॉर्स	válek
ओंटारियो	ontario
वायरल	virové
वायरल	virová
एडवेंचर	dobrodružství
अनुग्रह	grace
अनुग्रह	milost
स्टीवर्ट	stewart
गिल्ड	cech
डेविडसन	davidson
घंटी	zvonek
घंटी	zvon
घंटी	bell
कूपर	cooper
कूपर	cooperová
कैरोलिना	karolíně
कैरोलिना	karolína
प्लान	plánovat
प्लान	naplánovat
प्लान	plán
विदा	vida
मिर्जा	mirza
खिंचाव	protáhnout
खिंचाव	natáhnout
माफी	odpuštění
व्लादिमीर	vladimír
व्लादिमीर	vladimir
दंगों	výtržnosti
दंगों	nepokoje
दौलत	bohatství
कोचीन	kóči
बर्गर	burger
बर्गर	hamburger
बर्गर	hamburgery
बेहोश	bezvědomí
बेहोश	omdlel
वर्ड	slovo
प्रभार	poplatek
प्रभार	obvinění
प्रभार	nálož
प्रभार	nabít
म्यांमार	myanmaru
मार्गरेट	margaret
मार्गरेट	markéta
शिथिल	vlažné
जुलूस	průvod
अपमानजनक	hanlivé
बांसुरी	flétnu
दिशानिर्देश	směry
दिशानिर्देश	směr
दिशानिर्देश	pokyny
माननीय	čestné
माननीय	ctihodný
माननीय	čestný
माननीय	ctihodný
बधाई	gratuluji
बधाई	gratulace
बधाई	zdravím
बधाई	gratuluji
बधाई	gratulace
सत्तर	sedmdesát
हॉस्पिटल	nemocnice
हॉस्पिटल	nemocnici
हॉस्पिटल	nemocniční
प्रांगण	prostory
प्रांगण	areál
प्रांगण	nádvoří
प्रांगण	dvůr
त्यागपत्र	odstoupení
त्यागपत्र	rezignaci
त्यागपत्र	rezignace
फास्फेट	fosfátu
नीलम	sapphire
जलसन्धि	průliv
उठी	vychován
उठी	vychoval
पोर्टेबल	přenosné
पोर्टेबल	přenosný
पोर्टेबल	přenosná
स्विंग	švih
मर्फी	murphyho
मर्फी	murphy
जेड	jade
सत्कार	uvítala
सत्कार	uvítal
टिप्पणियाँ	komentář
टिप्पणियाँ	připomínky
टिप्पणियाँ	komentáře
टिप्पणियाँ	poznámky
प्रिंटर	tiskárna
प्रिंटर	tiskárny
प्रिंटर	tiskárny
सिनसिनाटी	cincinnati
गिरी	spadla
गिरी	padl
गिरी	spadl
सल्फाइड	sulfid
फुल	plné
फुल	plný
फुल	plná
अनिश्चितता	nejistota
अनिश्चितता	nejistoty
अनिश्चितता	nejistotu
अस्सी	osmdesát
अस्सी	eighty
आंद्रे	andré
अनोखी	bizarní
पापुआ	papui
सीआईडी	cid
विषयवस्तु	obsahu
विषयवस्तु	obsah
विषयवस्तु	motivy
विषयवस्तु	témata
विषयवस्तु	obsah
सूरीनाम	surinam
फोर्ब्स	forbes
एजेंटों	agenty
एजेंटों	agenti
एजेंटों	zmocněnci
प्रेमियों	milenci
प्रेमियों	milenky
प्रेमियों	milence
प्रेमियों	milovníci
आनुवंशिकी	genetika
विलीन	rozpustit
हथेली	dlaní
हथेली	palm
हथेली	dlaň
दाग	skvrny
दाग	flek
दाग	skvrna
अज़ाब	pohroma
अज़ाब	doom
अज़ाब	zkáza
मंचन	inscenace
मंचन	zinscenoval
बटालियन	prapor
रिक	rick
रिक	ricka
रिक	rik
बर्मिंघम	birminghamu
गुस्से	hněv
गुस्से	zloba
गुस्से	vztek
गुस्से	zlost
आर्यन	árijské
ढलान	sklon
ढलान	svahu
लगन	věnování
चाकू	nůž
परिवर्तनीय	proměnnou
परिवर्तनीय	proměnná
परिवर्तनीय	proměnné
परिवर्तनीय	proměnných
परिवर्तनीय	proměnné
परिवर्तनीय	proměnlivé
मज्जा	dřeň
मज्जा	dřeně
निर्दोष	nevinná
निर्दोष	nevinní
निर्दोष	nevinný
लीबिया	libye
लीबिया	libyi
उज़बेक	uzbecké
पिछला	poslední
पिछला	posledni
पिछला	naposledy
पिछला	naposled
पिछला	předchozí
पिछला	předcházející
झुंड	stádo
झुंड	stáda
घुड़सवार	jezdecké
प्रसाधन	záchod
प्रसाधन	toaleta
प्रसाधन	wc
प्रसाधन	zdrojů
प्रसाधन	zdroje
प्रसाधन	prostředky
ईमानदार	upřímné
ईमानदार	upřímná
ईमानदार	upřímný
ईमानदार	upřímná
ईमानदार	čestný
ईमानदार	upřímný
ईमानदार	svědomitý
जोस	jose
जोस	josé
जोस	josé
मल्टी	multi
अंकीय	číslice
अंकीय	číselný
अंकीय	číselné
असेम्बली	montáž
असेम्बली	sestava
असेम्बली	shromáždění
भिक्षुओं	mniši
भिक्षुओं	mnichy
भिक्षुओं	mnichů
लड़ी	nitě
लड़ी	vlákno
लड़ी	nit
कानों	uši
कानों	uší
चांसलर	kancléř
चांसलर	kancléři
अहसास	pocit
चक्रीय	cyklické
किपलिंग	kipling
अस्थाई	dočasné
अस्थाई	dočasná
अस्थाई	dočasně
अस्थाई	dočasný
तैमूर	timur
तबाह	zničená
तबाह	trosky
तबाह	troskách
तबाह	ruiny
योद्धाओं	válečníci
योद्धाओं	bojovníků
योद्धाओं	bojovníci
कलाकृति	dílo
नाइजीरिया	nigérie
मिसिसिपी	mississippi
थ्रिलर	thriller
बेलनाकार	válcové
अंतरजाल	internetu
अंतरजाल	internet
रहो	zůstaň
रहो	zůstat
रहो	zůstaňte
ट्रैकिंग	sledování
अब्बास	abbás
गिद्ध	sup
पोस्टर	plakát
पोस्टर	plakáty
छात्रावास	kolej
छात्रावास	koleji
वंशजों	potomků
वंशजों	potomky
वंशजों	potomci
रंजक	pigment
उंगलियों	prsty
सभाओं	sestavy
चॉकलेट	čokolády
चॉकलेट	čokoláda
चॉकलेट	čokoládové
चॉकलेट	čokoládu
चॉकलेट	čokolády
चॉकलेट	čokoláda
चॉकलेट	čokoládová
राइफल	pušku
राइफल	puška
मेक	učinit
मेक	udělat
मेक	vyrobit
बल्ले	bat
बल्ले	pálka
बल्ले	netopýr
स्थलाकृति	topografie
उछाल	odrazit
सुन्दरता	kráska
सुन्दरता	krasavice
सुन्दरता	krása
अंतरिम	prozatímní
जबड़े	čelisti
सर्वनाम	zájmeno
नंदा	nanda
शेल	shell
शेल	náboje
शेल	mušle
शेल	skořápky
सू	sue
सू	sioux
सू	soo
रसोई	kuchyně
रसोई	kuchyň
वाक	proslov
वाक	řeči
वाक	projev
वाक	řeč
चिकित्सालय	nemocnice
चिकित्सालय	nemocnici
चिकित्सालय	nemocniční
फंस	uvězněn
फंस	uvězněný
