सीना	cena
वाक	speech
वाक	pananalita
वाक	talumpati
वाक	pagsasalita
चिकित्सालय	hospital
चिकित्सालय	ospital
फंस	nakulong
चट्टानें	bato
तीतर	labuyo
चतुर	matalino
खानपान	nakatakda
अस्वीकृत	tinanggihan
अस्वीकृत	tumanggi
अस्वीकृत	tinanggihan
अस्वीकृत	tinanggihan
अस्वीकृत	tanggihan
परिवर्तक	changer
परिवर्तक	converter
कसम	swear
किराया	pamasahe
किराया	umupa
किराया	upahan
किराया	rent
किराया	upa
खिलौने	laruan
महीना	buwan
रिपोर्टिंग	inuulat
नैनो	nano
नमकीन	maalat
चुनावी	electoral
प्लेग	salot
चना	garbansos
अज्ञान	kamangmangan
नबी	propeta
परी	fairy
परी	pari
परी	anghel
परी	angel
कीचड़	putik
न्यूर्क	newark
स्नायु	ligament
छुपा	nakatagong
छुपा	nakatago
छुपा	itinago
छुपा	itago
डिफ़ॉल्ट	default
ड्राफ्ट	draft
राइस	palay
राइस	rice
राइस	kanin
राइस	bigas
मात	maat
रेफरी	referee
साहसी	mapangahas
साहसी	matapang
ताज़ा	fresh
ताज़ा	sariwa
उपेक्षित	binalewala
उपेक्षित	pinabayaan
ज़िंदगी	buhay
दरें	rate
दरें	rates
अवशिष्ट	residual
श्वार्ज़नेगर	schwarzenegger
धूमकेतु	kometa
मिश्रधातु	alloy
आइटम	item
वेदना	mapanglaw
दुर्गम	kumukulo
जीमेल	gmail
फॉर्मेट	format
फेस	mukha
कस्तूरी	musk
पांव	talampakan
पांव	paa
छड़	rods
मीट्रिक	metric
बांग्लादेशी	australya
बांग्लादेशी	bangladesh
बांग्लादेशी	bangladeshi
क्रीड़ा	palakasan
क्रीड़ा	isports
क्रीड़ा	sports
एकाग्रता	pinagtutuunan
एकाग्रता	concentration
ईकाई	yunit
ईकाई	unit
भतीजे	pamangkin
कुंभ	aquarius
संभाव्यता	probabilidad
दंगे	stonewall
अपर	itaas
अपर	upper
मेरिल	merrill
स्तनधारियों	mammals
स्पष्टता	linaw
स्पष्टता	kaliwanagan
बेंज	benz
तंजानिया	tanzania
गोल्डबर्ग	goldberg
एडी	eddie
नहरों	canal
नहरों	canals
पिस्तौल	putok
विभेदन	paglutas
विभेदन	resolution
गुफाएं	tabon
सूक्ष्मजैविकी	mikrobiyolohiya
उज़्बेकिस्तान	uzbekistan
सीरियल	nigeria
सीरियल	serial
सीरियल	algeria
रिवर्स	reverse
रिवर्स	baliktarin
कार्यपालिका	executive
कलिंग	kalinga
कास्ट	cast
झटका	shock
कैदी	bilanggo
कैदी	preso
कैदी	pinalaya
साओ	cao
साओ	sao
विंडो	bintana
कैश	cache
लिप्यन्तरण	transliteration
केंट	kent
लोधी	lodi
इराकी	iraqi
इराकी	iraq
इराकी	iraqis
अराजकता	anarkiya
अराजकता	nagkagulo
अराजकता	kaguluhan
मेटा	meta
सिग्मा	sigma
पाला	pala
आजीविका	career
आजीविका	karera
आजीविका	kabuhayan
आजीविका	ikabubuhay
फायदे	pros
फायदे	benepisyo
गूढ़	pribado
गिरवी	pawn
नवीकरण	renewal
नाममात्र	nominal
मल्टीमीडिया	multimedia
ग्लेशियर	glacier
ग्लेशियर	glaciers
निरोध	condom
प्रतिबंधों	sanksiyon
मैराथन	marathon
पोटेशियम	potassium
लारा	lara
थर्मल	thermal
झाड़ी	palumpong
डेविल	satanas
डेविल	devil
कक्षीय	orbital
सर्वसम्मति	pinagkaisahan
टर्बाइन	turbina
उत्साही	masigasig
कार्यशील	takbo
कार्यशील	pagtakbo
कार्यशील	tumatakbo
किंवदंती	alamat
किंवदंती	legend
छलांग	leap
लाओस	laos
साइप्रस	cyprus
स्वायत्तता	autonomy
गाढ़ा	bold
पित्ताशय	apdo
एंथोनी	anthony
बाग़	orchard
बीयर	serbesa
बीयर	beer
ड्राइविंग	nagmamaneho
ड्राइविंग	pagmamaneho
वेनेजुएला	venezuela
जीनों	genes
बोनस	bonus
जलाकर	lit
जलाकर	maliwanag
ज्या	sine
थाना	bilangguan
झूठे	sinungaling
अस्थियों	bones
अस्थियों	buto
पिक्सेल	pixel
पिक्सेल	pixels
पिक्सेल	pixel
लॉयड	lloyd
ब्रेट	brett
हीट	init
वायसराय	viceroy
क्राय	krai
सुनहरा	golden
सुनहरा	ginintuang
सुनहरा	ginto
सुनहरा	gold
नमाज़	panalangin
नमाज़	dasal
नमाज़	prayer
बैंडविड्थ	bandwidth
कर्कट	kanser
शौचालय	cr
शौचालय	palikuran
पर्सनल	personal
मॉनमाउथशायर	monmouthshire
पहिया	gulong
पहिया	gulong
लोकल	lokal
पुनरुद्धार	pagpapanumbalik
पुनरुद्धार	revival
मस्जिदों	moske
मस्जिदों	mosque
विकासवादी	ebolusyonaryong
डेयरी	dairy
प्रतिरूपण	cloning
बाय	bye
जावास्क्रिप्ट	javascript
गेल	gail
छू	touch
छू	hipo
छू	nararating
पंक्तियाँ	lines
पंक्तियाँ	magtagal
पाण्डव	pandava
ट्रेक	trek
जेफ	jeff
मददगार	helper
वर्णनात्मक	estadistikang
मद	item
मिशनरी	misyonaryo
बियोवुल्फ़	beowulf
पिताजी	dad
पिताजी	itay
पिताजी	tatay
पिताजी	daddy
मोल	moll
संधारित्र	kapasitor
सबवे	subway
वू	woo
पुनर्जन्म	reborn
पर्यायवाची	synonym
रनर	runner
जेसन	jason
जेसन	jayson
घेराबंदी	siege
घेराबंदी	paglusob
क्रोएशिया	croatia
आरा	ara
सेटिंग	setting
नीरो	nero
उस्मानी	imperyong
ग्लासगो	glasgow
आंखें	mata
परिसंचरण	sistemang
परिसंचरण	sirkulasyon
ताश	baraha
सजावटी	pandekorasyon
प्रेषण	transmission
प्रेषण	paghahatid
प्रेषण	adviser
एमिली	emily
पोलियो	polio
लिथियम	lityo
बॉयल	boyle
पालक	spinach
फैमिली	kapamilya
फैमिली	pamilya
हिरन	usa
चैपल	kapilya
होंडा	honda
मध्यस्थ	tagapamagitan
अभिभावक	parents
अभिभावक	magulang
अभिभावक	magulang
फ्लैट	flat
फ्लैट	patag
टेन	tan
टेन	sampung
टेन	sampu
सुग्रीव	sugriva
शील्ड	kalasag
चीड़	pino
आइवी	ivy
शेयरधारक	stakeholder
गार्डनर	gardner
तोड़कर	paglabag
तोड़कर	breaking
चुंबक	magnet
चुंबक	magneto
मॉन्ट्रियल	montreal
अठारहवीं	ikalabingwalong
हेलो	hello
हेलो	halo
कविताएं	tula
सेमीफाइनल	semifinal
कोका	cocaine
कोका	coca
रॉड	rod
बुद्धिमत्ता	katalinuhan
बुद्धिमत्ता	karunungan
नर्स	nurses
नर्स	nars
नर्स	nurse
नर्स	nars
उठती	pagsikat
उठती	sumisikat
उठती	rising
इकट्ठे	assemble
इकट्ठे	magtipon
मुड़	pinaikot
ब्रोमाइड	bromide
हड़प्पा	harappa
पकड़कर	hawak
जया	jaya
नार्वे	norway
धैर्य	patience
धैर्य	pasensya
धैर्य	tiyaga
धैर्य	pagtitiis
फट	burst
उत्पादकों	producers
उत्पादकों	producer
महत्वाकांक्षी	ambisyoso
त्रिनिदाद	trinidad
मौतों	pagkamatay
बकाया	outstanding
सुपरहीरो	superhero
अनवरत	tuluy
कोल्ड	malamig
कोल्ड	sipon
कोल्ड	lamig
ज़ांज़ीबार	zanzibar
नागालैण्ड	nagaland
कै	kai
प्रकार्य	tungkulin
प्रकार्य	punsiyon
शरणार्थी	refugee
गुंजाइश	scope
गुंजाइश	saklaw
धीमे	mabagal
दानों	pantal
समोआ	samoa
लोदी	lodi
सममिति	symmetry
अनमोल	precious
कैस्पियन	caspian
कक्षों	chambers
स्पार्टा	isparta
व्यापकता	paglaganap
रिमोट	remote
आत्माओं	diwa
खुशबू	amoy
खुशबू	scent
खुशबू	aroma
स्तनपान	pagpapasuso
इनाम	prize
इनाम	premyo
इनाम	prizes
इनाम	premyo
जिन्दगी	buhay
गरमी	init
द्रोणाचार्य	drona
नोड	node
नोड	nodes
असंगत	pabago
असंगत	inconsistent
पूर्वाग्रह	bias
जैकेट	jacket
आयतें	verses
आयतें	utos
उत्सुक	curious
परीक्षक	checker
प्रिंटिंग	printing
टैबलेट	tablets
टैबलेट	tablet
चैरिटी	kawanggawa
चैरिटी	charity
देसी	desi
शिविरों	kampo
तुला	libra
टैंगो	tango
न्यूकैसल	newcastle
केट	kate
पांचवां	ikalimang
पांचवां	panglima
रोनाल्ड	ronald
कटु	bitter
कटु	mapait
ब्रेकिंग	paglabag
ब्रेकिंग	breaking
मोनिका	monica
ग्रेस	grace
ग्रेस	biyaya
मैजिक	salamangka
मैजिक	magic
भुट्टो	bhutto
हर्बल	herbal
रॉकी	mabato
रॉकी	batuhan
चुम्बक	magnet
चुम्बक	magneto
रयान	ryan
एडिडास	adidas
फास्फोरस	phosphorus
एथलेटिक	athletic
ग़ुलाम	ghulam
नेविगेशन	nabigasyon
नेविगेशन	paglalayag
शिश्न	titi
फ़ौज	hukbo
फ़ौज	army
पागलपन	kabaliwan
ओड़िया	oriya
युआन	yuan
रोमांच	kilig
सूख	tuyo
सूख	tuyong
दिग्गज	veteran
दिग्गज	beterano
दिग्गज	sanay
इजाजत	pahintulot
इजाजत	permiso
सगाई	engagement
सगाई	ikakasal
मोनोऑक्साइड	monoxide
कोस	kos
अटलांटा	atlanta
मैडिसन	madison
मृदु	malumanay
अविवाहित	unmarried
द्रोण	drona
खरगोश	kuneho
खरगोश	rabbit
मेज़बान	host
नागालैंड	nagaland
तकलीफ	kamalasan
मृतक	namayapa
मृतक	namatay
कैट	pusa
कैट	cat
वीरों	heroes
काका	arlene
काका	kaka
लिफ्ट	angat
लिफ्ट	elevator
सिंथेटिक	synthetic
समझौतों	kasunduan
बैरल	barrel
खुजली	makati
खुजली	kati
खुजली	itch
अन्वेषक	imbestigador
मूर्ख	bobo
मूर्ख	tanga
बीम	beam
कोडिंग	coding
अविश्वसनीय	incredible
पट्ट	plaid
इम्पीरियल	imperial
वहा	may
घोषणापत्र	manifesto
रेट	rate
सत्रह	seventeen
सोया	soy
मक्खी	bangaw
मक्खी	fly
मक्खी	lumipad
कॉन्सर्ट	konsiyerto
कॉन्सर्ट	concert
कॉन्सर्ट	konsiyerto
छायांकन	shading
छायांकन	photography
छायांकन	saving
कॉर्नेल	cornell
वानिकी	forestry
टेनेसी	tennessee
उक्ति	dictum
नजारा	senaryo
नजारा	telon
मधुमक्खी	bubuyog
मधुमक्खी	bee
टिप्पणियां	comments
गुलामी	slavery
सरलीकृत	pinasimpleng
गोआ	goa
प्रलेखन	dokumentasyon
घटी	bumaba
घटी	bawasan
पक्षपात	diskriminasyon
इजरायल	israel
पकाया	luto
गेंदबाज़ी	bowling
आबू	abu
डीलर	dealer
मीठी	sweet
मीठी	matamis
ब्रॉडवे	broadway
जिगर	atay
अंगोला	angola
अंगोला	mongolia
एक्सटेंशन	extension
एक्सटेंशन	palugit
एक्सटेंशन	extension
संस्थापकों	founder
बहुपद	polinomial
घुलनशील	natutunaw
केसर	saffron
मुरैना	morena
दस्ते	squad
आयोडीन	iodine
परावर्तन	ipakita
परावर्तन	reflection
छानबीन	imbestigasyon
छानबीन	pagsisiyasat
छानबीन	kalawakan
कामुक	animal
नीतियां	patakaran
लेस	les
विन्स	nanalo
विन्स	panalo
मॉरिस	mauritius
मॉरिस	morris
नारे	slogan
त्रासदी	trahedya
सीन	pinangyarihan
सीन	eksena
सीन	tanawin
नींबू	limon
नींबू	lemon
नींबू	lemons
हडसन	hudson
धावक	runner
धावक	runners
मार्क्सवाद	marxismo
बर्न	bern
बर्न	sunugin
बर्न	paso
इंडेक्स	index
तेंदुआ	leopardo
अनुशंसा	irekomenda
अनुशंसा	inirerekomenda
अनुशंसा	rekomendasyon
जोखिमों	delikado
डिक	dick
डिक	titi
निरर्थक	null
झगड़े	fights
घुमावदार	winding
होड़	rush
निरोधक	kontraseptibo
घिरी	napapaligiran
कतार	pila
कतार	queue
बाल्टिक	baltiko
देयता	pananagutan
शकीरा	shakira
अमेज़न	amazon
एसएमएस	sms
वैंकूवर	vancouver
खेलकूद	palakasan
खेलकूद	isports
खेलकूद	sports
प्यास	uhaw
प्यास	uhaw
मार्टिना	martina
काराकोरम	karakoram
पीटर्सबर्ग	petersburgo
पीलिया	paninilaw
खलीफा	kalipa
खलीफा	khalifa
कीथ	keith
डेरा	dera
एडमंड	edmund
प्रकाशिकी	optika
छुट्टियों	pasko
छुट्टियों	holidays
छुट्टियों	bakasyon
छुट्टियों	kapaskuhan
जबतक	maliban
जबतक	hanggang
डिप्टी	deputy
डेटिंग	dating
कमरा	silid
कमरा	kuwarto
कमरा	kwarto
माइनर	menor
माइनर	minor
गड्ढे	hukay
गड्ढे	pit
कपडे	pananamit
कपडे	damit
कपडे	kasuotan
कपडे	damit
सोयाबीन	balatong
एनबीए	nbc
एनबीए	nba
असत्य	imitasyon
चर्चिल	churchill
खजाना	kayamanan
आइंस्टीन	einstein
गिब्सन	gibson
सुझाया	iminumungkahing
सुझाया	nagmungkahi
सुझाया	iminungkahi
सुझाया	iminungkahing
सुझाया	iminumungkahi
निर्वासन	tinapon
नोटिस	pansinin
नोटिस	paunawa
रू	roo
महोदय	sir
सीनेटर	senador
सीनेटर	senator
सुरक्षात्मक	protective
दलाल	broker
स्पिरिट	diwa
पार्कर	parker
मेलों	fairs
बारबरा	barbara
एटीएम	atm
प्रवचन	diskurso
ड्राइंग	pagguhit
ड्राइंग	drawing
चुप	tahimik
दिवालिया	bangkarota
बाल्यकाल	pagkabata
द्रुत	mabilisan
ज़िम्मेदारी	responsibilidad
सावन	sawan
छोड़ो	lumabas
यूनानियों	gresya
प्रिंसटन	princeton
सौम्य	magiliw
मालदीव	maldives
डिस्कवरी	pagtuklas
डिस्कवरी	pagkatuklas
सत्यापित	sertipikadong
सत्यापित	certified
सत्यापित	patunayan
बाइक	bisikleta
बाइक	bike
राबर्ट	robert
अवर	inferior
डीज़ल	diesel
बाज़ारों	merkado
फिशर	fisher
सदाचार	kabutihan
विम्बलडन	wimbledon
गुस्सा	galit
गुस्सा	poot
गुस्सा	magalit
गुस्सा	galit
गुस्सा	nagagalit
अदर	adar
यूरिया	urea
सीढ़ियों	hagdan
रस्म	seremonya
मऊ	mau
खरीदे	binibili
खरीदे	bumibili
खरीदे	pagbili
त्वरक	accelerator
धात्विक	metallic
मिंग	ming
घाना	ghana
कैप	takip
कैप	cap
जनम	kapanganakan
साईं	sai
कनेक्टिकट	connecticut
क्रोम	chrome
रोनाल्डो	ronaldo
विंडसर	windsor
ऑफ़िस	tanggapan
ऑफ़िस	katungkulan
ऑफ़िस	opisina
तुर्कों	turkey
तुर्कों	turkiya
प्लेस्टेशन	playstation
सहकर्मी	katrabaho
माइक्रोसॉफ़्ट	microsoft
ट्रिगर	trigger
विसर्जन	pagsasawsaw
हत्यारे	killers
विनम्र	humble
विनम्र	mapagkumbaba
विनम्र	magalang
ध्वनिक	tunog
ध्वनिक	destroyer
एडगर	edgar
मशीनरी	makinarya
इलेक्ट्रानिक	elektronikong
इलेक्ट्रानिक	electronic
कट्टरपंथी	radical
कट्टरपंथी	fanatic
डायना	diana
टॉमी	tommy
मिल्क	gatas
मिल्क	milk
नामी	nami
व्हील	gulong
माथे	noo
पत्ता	dahon
इस्तांबुल	istanbul
जार	jar
लैरी	larry
सिंडरेला	cinderella
अफीम	opyo
स्वीट	sweet
स्वीट	matamis
स्मैकडाउन	smackdown
खूनी	duguan
नफरत	hate
त्रैमासिक	quarterly
एंटोनियो	antonio
नाई	barbers
नाई	barbero
हलचल	gumalaw
ऑडिशन	audition
बाधक	pinipigilan
मेसोपोटामिया	mesopotamya
सिलाई	tusok
सिलाई	stitch
सज्जन	ginoo
सज्जन	gentleman
प्रचुरता	abundance
प्रचुरता	kasagsagan
ताई	tai
कार्सिनोमा	carcinoma
हिप्पोकैम्पस	hippocampus
ब्लैकबेरी	blackberry
लैन	county
लैन	kondado
कारा	kara
कारा	cara
टाइटन	titan
अव्यवस्था	nagkagulo
अव्यवस्था	kaguluhan
कोको	coco
कोको	koko
निवारक	pangontra
मदीना	medina
हटाएँ	alisin
हटाएँ	tanggalin
हटाएँ	burahin
हटाएँ	delete
खमीर	lebadura
विच्छेद	pagkabuwag
नाच	sayaw
बाल्टीमोर	baltimore
लचीलापन	flexibility
स्केटिंग	skating
कलेक्टर	collector
चित्रकारों	painting
चित्रकारों	pinta
शैलियाँ	styles
शैलियाँ	istilo
शैलियाँ	estilo
शैलियाँ	genres
लालच	kasakiman
पुलों	tulay
मिडिया	media
मिडिया	midya
केयर	pinahahalagahan
केयर	cares
केयर	care
कर्ट	kurt
छतरी	payong
फीस	bayad
कतर	qatar
लकी	swerte
लकी	suwerte
लकी	lucky
जाम	jam
रैम	ram
अभिनेत्रियों	actresses
गौरैया	sparrow
वांछनीय	desirable
मकानों	bahay
भेजना	nagpapadala
फ़िल्टर	filter
फ़िल्टर	salain
फ़िल्टर	panala
कीड़ों	bulate
स्कैनर	scanner
प्रतिशोध	vengeance
पार्किंग	parking
लचीला	flexible
लचीला	nababaluktot
सफ़ाई	linis
सफ़ाई	paglilinis
कोलेजन	collagen
बर्टन	burton
पुतिन	putin
लादेन	laden
लादेन	karga
ज़िम्मेदार	responsableng
ज़िम्मेदार	responsable
ज़िम्मेदार	pananagutan
कार्यस्थल	pinagtatrabahuhan
नर्सरी	nursery
पर्दा	curtain
पर्दा	kurtina
टच	touch
टच	hipo
तोपों	cannon
सिल्क	sutla
सिल्क	silk
झूठा	sinungaling
अक्षमता	kapansanan
ईगल	agila
होमर	homer
मुबारक	masaya
एकांत	solitude
विंड	hangin
आश्वस्त	kompiyansa
आश्वस्त	nakatitiyak
हैंक्स	hanks
सुलतान	sultan
बदतर	malala
लोपेज़	lópez
लोपेज़	lopez
पशुधन	livestock
आदी	adik
लार्वा	larva
सेलुलर	cellular
बहरीन	bahrain
दीवानी	civil
दीवानी	sibil
पायदान	notch
गाजर	carrot
उरुग्वे	uruguay
मैकबेथ	macbeth
ट्रिनिटी	trinity
ट्रिनिटी	trinidad
हैट	sombrero
हैट	sumbrero
चाइल्ड	anak
चाइल्ड	bata
शीला	sheila
चमगादड़	bat
चमगादड़	paniki
प्रस्तावक	naglilipat
ची	chi
ची	chee
मंचूरिया	manchuria
तेजस्वी	nakalilito
हूवर	hoover
मसौदा	draft
हेयर	hair
हेयर	buhok
जुआन	juan
बर्ताव	ugali
बर्ताव	inasal
बर्ताव	gawi
होप	umaasa
होप	umasa
होप	sana
स्काइप	skype
गलियों	kalye
शस्त्रों	sandata
हस्ती	celebrity
कुम्भ	aquarius
प्राधिकार	kinauukulan
प्राधिकार	awtoridad
प्राधिकार	otoridad
प्राधिकार	authority
प्राधिकार	kapangyarihan
माइकल्स	michaels
रोज़गार	trabaho
रोज़गार	magtrabaho
मेड	med
मोंटे	monte
तांबा	tanso
दैहिक	somatic
फली	pod
सलाम	salaam
सलाम	peace
सलाम	kapayapaan
सलाम	salute
सलाम	salam
क्वींसलैंड	queensland
टॉड	karag
टॉड	todd
मरियम	mary
मरियम	maria
मरियम	mariam
मरियम	maryam
ओहियो	ohio
उंगली	daliri
उंगली	finger
डब्ल्यूडब्ल्यूई	wwe
लिथुआनिया	lithuania
अल्पसंख्यकों	minorities
शहीदों	martir
फ्लेमिंग	fleming
अधिवक्ता	tagapagtanggol
यॉर्कशायर	yorkshire
मेट्रिक्स	matrix
मेट्रिक्स	matris
कार्यशाला	workshop
मैक्सवेल	maxwell
कॉर्न	mais
कॉर्न	korn
बकिंघम	palasyong
मापक	ruler
मापक	scale
गैलापागोस	galápagos
यातना	doom
अनाथ	orphan
टूटी	broken
टूटी	panganay
टूटी	sira
टूटी	nasira
जनसांख्यिकी	demograpiko
जनसांख्यिकी	census
जनसांख्यिकी	demograpiko
जनसांख्यिकी	populasyong
जनसांख्यिकी	populasyon
दफन	ibaon
दफन	buried
आमंत्रण	imbitahan
आमंत्रण	anyayahan
आमंत्रण	paanyaya
आमंत्रण	imbitasyon
जिम्बाब्वे	zimbabwe
वृद्धावस्था	tumatanda
वृद्धावस्था	iipon
आहत	nasaktan
नरभक्षण	kanibalismo
धूसर	gray
धूसर	abo
धूसर	grey
घाटा	kawalan
घाटा	pagkawala
आतिथ्य	hospitality
परिसंघ	kompederasyon
