pete	ピート
dostatečný	足りる
poselství	メッセージ
poselství	伝言
poselství	メッセージ
poplatek	チャージ
poplatek	課金
poplatek	充電
poplatek	手数料
poplatek	料金
zobrazování	イメージング
fragmenty	断片
fragmenty	フラグメント
halle	ハレ
halle	ホール
odstraněn	削除
core	コア
core	core
level	レベル
ghz	ghz
europa	エウロパ
výbuch	爆発
valentin	ヴァレンティン
egyptský	エジプト
četnost	周波数
četnost	頻度
vista	vista
vista	ビスタ
meyer	マイヤー
meyer	メイヤー
wwe	wwe
cook	コック
cook	クック
aplikovat	応募
aplikovat	適用
vpřed	進む
vpřed	フォワード
vpřed	転送
vpřed	進む
angela	アンジェラ
spisovatelé	作家
isaac	アイザック
isaac	イサク
nápověda	手がかり
nápověda	ヒント
svobod	自由
sportovci	選手
sportovci	アスリート
deprese	うつ病
cameron	キャメロン
manipulace	ハンドリング
manipulace	取扱
manipulace	取り扱い
lisabon	リスボン
mason	メイソン
kafka	カフカ
oda	織田
oda	小田
skot	ウシ
registru	登記簿
výdaje	支出
výdaje	出費
výdaje	費用
výdaje	経費
výdaje	支出
doplněk	アクセサリー
dokončeno	終了
dokončeno	コンプリート
dokončeno	完備
přijato	養子
přijato	採択
hypotéza	仮説
sériová	シリアル
mizí	消える
kilogramů	キログラム
romantické	ロマンチック
copa	コパ
regent	摂政
myši	マウス
myši	ねずみ
myši	マウス
akcie	株式
akcie	シェア
akcie	株式
akcie	ストック
menu	メニュー
menu	メニュー
oblouky	アーチ
ieee	ieee
kabinet	内閣
kabinet	キャビネット
titan	チタン
grafu	グラフ
larsson	ラーション
zvětšení	倍率
zvětšení	引き伸ばし
owen	オーウェン
owen	オーエン
nejdřív	ファースト
nejdřív	最初
následovat	フォロー
ekologie	エコロジー
ekologie	生態学
kružnice	サークル
odpovědí	返信
privilegia	特権
pěšky	歩き
pěšky	ウォーク
pěšky	歩行
pěšky	歩く
pěšky	徒歩
tajná	秘密
muslimů	イスラム教
muslimů	ムスリム
hoffmann	ホフマン
díry	ホール
složku	フォルダ
telefony	電話機
belgické	ベルギー
kavkazu	コーカサス
plovoucí	フローティング
plovoucí	浮動
zmizel	失踪
kosova	コソボ
abs	腹筋
abs	abs
irák	イラク
švýcarská	スイス
kypru	キプロス
lékařský	医学
seskupení	クラスタ
zrcadlo	ミラー
procento	割合
procento	パーセンテージ
procento	パーセント
procento	割合
procento	パーセント
synonyma	同義語
synonyma	類義語
mrakodrap	摩天楼
plynule	流暢
duší	ソウル
duší	霊魂
duší	霊魂
nina	ニーナ
berry	ベリー
potvrdit	確認
hal	hal
bílkovin	タンパク質
bílkovin	たんぱく質
shoda	合意
shoda	同調
shoda	マッチ
shoda	一致
zkuste	try
zkuste	試す
zkuste	トライ
palubu	甲板
palubu	デッキ
dámy	婦人
dámy	レディース
amatérský	アマチュア
doi	土居
doi	土井
doi	ドイ
údržba	メンテナンス
údržba	整備
spa	スパ
spa	spa
identifikace	同定
identifikace	識別
ztrát	損失
odhalen	啓示
nehoda	アクシデント
nehoda	事故
publikovat	公開
rapid	快速
judo	柔道
ejn	アイン
ejn	ein
hrubá	グロス
protokoly	プロトコル
ráje	パラダイス
ráje	楽園
kent	ケント
vatikán	バチカン
obřad	セレモニー
obřad	儀式
obřad	式典
kameraman	カメラマン
nápoj	飲み物
nápoj	ドリンク
nápoj	飲む
nápoj	飲み物
nápoj	飲料
chrámy	寺院
ledvin	腎臓
claire	クレア
genů	遺伝子
médium	ミディアム
médium	メディア
todd	トッド
komunikovat	コミュニケーション
mutace	突然変異
tání	融解
tání	雪解け
legální	合法
mučedník	殉教
vyřešení	解決
vyřešení	解消
máj	メイ
máj	五月
tag	タグ
warren	ウォーレン
karibiku	カリブ
hodina	時間
racionální	rational
napsané	筆記
smyčka	ループ
plodu	胎児
závazné	バインディング
závazné	拘束
zásobník	マガジン
zásobník	雑誌
zásobník	容器
zásobník	コンテナ
zásobník	クリップ
jednotu	統一
dostupnost	可用性
dostupnost	アクセシビリティ
naznačují	提案
bytí	being
charty	チャーター
charty	憲章
charty	貸切
shaw	ショー
shaw	ショウ
konzole	コンソール
konzole	コンソール
edu	edu
tanečník	ダンサー
domky	コテージ
republik	共和制
xbox	xbox
rozpad	崩壊
rozpad	減衰
muslimské	イスラム教
muslimské	ムスリム
člr	中華人民共和国
blokovat	ブロック
doleva	左側
sweet	スウィート
sweet	甘い
humanitární	人道的
humanitární	人道
maroko	モロッコ
integrované	統合
výrobek	製品
výrobek	プロダクト
judy	ジュディ
manipulaci	ハンドリング
manipulaci	取扱
manipulaci	取り扱い
soukromě	非公開
křivka	カーブ
křivka	曲線
jose	ホセ
zlom	休憩
zlom	ブレーク
zlom	区切り
romantický	ロマンチック
fleming	フレミング
úder	パンチ
kamarád	友人
kamarád	友だち
kamarád	フレンド
kamarád	友達
neplatné	無効
navrhovatel	図工
vyloučit	除外
publikum	観客
publikum	オーディエンス
rýže	ご飯
rýže	ライス
konfigurace	構成
konfigurace	設定
konfigurace	構成
oživení	リバイバル
odstavce	段落
odstavce	段落
respektovat	尊敬
respektovat	尊重
respektovat	リスペクト
respektovat	敬意
lucembursko	ルクセンブルク
doplňky	アクセサリ
doplňky	アクセサリー
neznámá	不明
radní	参事官
voyager	ボイジャー
buddhismus	仏教
zmínil	言及
zachytit	キャプチャー
zachytit	キャプチャ
zachytit	攻略
zachytit	インターセプト
atlético	アトレティコ
atlético	アトレチコ
galaxii	銀河
galaxii	銀河系
integraci	統合
integraci	インテグレーション
domácností	世帯
domácností	世帯
třídění	ソート
třídění	トリアージ
třídění	分類
třídění	格付
multimediální	マルチメディア
rex	レックス
společenská	ソーシャル
fyzická	フィジカル
fyzická	物理
směrnice	ディレクティブ
směrnice	ディレクティブ
zaměstnanec	社員
zaměstnanec	職員
obratlovců	脊椎動物
živin	栄養素
živin	栄養素
drog	ドラッグ
drog	薬物
poloměr	半径
poloměr	radius
amatérské	アマチュア
králík	ウサギ
králík	うさぎ
rossi	ロッシ
rossi	ロス
pohledy	はがき
pohledy	ビュー
bros	ブロス
fanoušci	ファン
ekvivalent	同等
gif	gif
vyhlídka	見通し
přistěhovalců	移民
přistěhovalců	移民
světlana	スヴェトラーナ
světlana	スベトラーナ
dannyho	ダニー
reorganizaci	更生
horké	熱い
horké	ホット
horké	暑い
golf	ゴルフ
malta	モルタル
malta	迫撃砲
malta	マルタ
jaderná	原子力
oxfordu	オックスフォード
pianista	ピアニスト
externích	外部
harald	ハーラル
hrany	エッジ
alkohol	リキュール
alkohol	アルコール
levá	左側
explorer	エクスプローラー
podnikatele	起業
průmyslový	工業
mluvil	スポーク
kypr	キプロス
unix	unix
náhrady	払戻し
náhrady	払い戻し
náhrady	還付
náhrady	返金
náhrady	補てん
náhrady	補償
náhrady	賠償
náhrady	弁償
náhrady	報酬
náhrady	返金
mongolsko	モンゴル
solo	ソロ
květiny	お花
strojírenství	工学
strojírenství	エンジニアリング
viry	ウィルス
viry	ウイルス
viry	ウィルス
viry	ウイルス
atom	原子
jeřáb	クレーン
jeřáb	ツル
rapper	ラッパー
otevírá	開く
servis	サービス
alessandro	アレッサンドロ
naděžda	ナデジダ
průsmyk	パス
pití	飲む
pití	飲み物
pití	ドリンク
pití	飲む
pití	飲み物
pití	ドリンク
umělá	人工
este	エステ
revolver	リボルバー
pořádal	主催
konsenzus	合意
petit	プチ
cannes	カンヌ
smyčky	ループ
smyčky	ループ
včera	きのう
včera	昨日
nástupnictví	承継
nástupnictví	継承
nástupnictví	引継ぎ
ústup	退却
ústup	撤退
argumentace	論証
argumentace	引数
argumentace	論証
půlnoci	ミッドナイト
půlnoci	真夜中
arizona	アリゾナ
referenční	リファレンス
referenční	参照
referenční	参考
zapojit	交戦
gmbh	gmbh
spencer	スペンサー
dílna	ワークショップ
dílna	作業場
křesťany	キリスト教徒
nejkratší	最短
nemocné	病気
běžec	ランナー
neúspěšné	失敗
sevilla	セビリア
sevilla	セビージャ
spolupracovník	同僚
draka	カイト
krvácení	出血
krvácení	出血
závěrečná	最終
závěrečná	決勝
závěrečná	ファイナル
dálky	アファール
dálky	アファル
dav	暴徒
dav	モブ
dav	群衆
dav	群集
dav	群衆
dav	群集
dav	人混み
mate	マテ
mate	メイト
peters	ペータース
peters	ピーターズ
nejrychleji	最速
florian	フロリアン
tropech	熱帯
porte	ポルテ
flotila	艦隊
flotila	フリート
allan	アラン
janko	ヤンコ
ajax	アイアース
falcon	ファルコン
relace	セッション
relace	セッションズ
relace	セッション
úloha	タスク
úloha	役割
luka	ルカ
koryta	トラフ
jpeg	jpeg
nátlak	気圧
nátlak	圧力
nátlak	強制
nátlak	強要
tiger	トラ
tiger	タイガー
plánováno	予定
plánováno	計画
pískovec	砂岩
doug	ダグ
úmluva	コンベンション
úmluva	大会
nábytek	家具
atomové	アトミック
atomové	原子
tlačítka	ボタン
vzácná	レア
dobytek	ウシ
chuck	チャック
vzájemná	相互
hope	ホープ
hope	希望
irina	イリナ
irina	イリーナ
cbs	cbs
medina	マディーナ
zakázky	契約
zakázky	調達
partnery	パートナー
betonu	コンクリート
abcházie	アブハジア
henryho	ヘンリー
pěkný	ナイス
pěkný	ニース
pěkný	素敵
pokrytí	表紙
pokrytí	被覆
pokrytí	カバー
pokrytí	cover
whisky	ウィスキー
whisky	ウイスキー
whisky	ウィスキー
whisky	ウイスキー
trvalý	パーマネント
cas	cas
baba	ババ
baba	馬場
výkonné	エグゼクティブ
otáčení	回転
otáčení	ローテーション
brooklyn	ブルックリン
svalů	筋肉
spider	スパイダー
spider	クモ
prezentaci	プレゼン
prezentaci	プレゼンテーション
mathieu	マチュー
rušení	干渉
svolení	許可
svolení	許諾
case	ケース
souhlasit	賛成
pušky	小銃
lvov	リヴィウ
prostý	無地
prostý	平野
jedi	ジェダイ
sekulární	世俗
vokální	ボーカル
senior	先輩
senior	上級
myspace	myspace
santos	サントス
pastviny	牧草
pastviny	牧草
vůně	香り
vůně	アロマ
vůně	香り
vůně	匂い
vůně	におい
mnichů	僧侶
němčina	ドイツ語
velikonoční	イースター
vlakem	電車
vlakem	列車
vlakem	トレイン
bělehradu	ベオグラード
esej	随筆
esej	エッセイ
sezona	季節
sezona	シーズン
křest	洗礼
zmizí	消える
racek	かもめ
jin	jin
jin	ジン
kodex	コデックス
oděv	衣類
oděv	服装
oděv	被服
oděv	被服
oděv	洋服
náhled	プレビュー
kandidaturu	立候補
ubuntu	ubuntu
podmínkami	規約
podmínkami	用語
podmínkami	条件
bern	ベルン
prázdný	空っぽ
prázdný	空欄
prázdný	ブランク
kruhy	サークル
kruhy	リング
kruhy	指輪
hollywoodu	ハリウッド
aaron	アロン
aaron	アーロン
klávesista	キーボーディスト
rukojmí	人質
rukojmí	人質
padá	落下
orleans	オルレアン
novináři	ジャーナリスト
novináři	リポーター
cpu	cpu
letky	戦隊
adler	アドラー
pravidelná	レギュラー
derek	デレック
derek	デレク
dopady	エフェクト
dopady	効果
nigérie	ナイジェリア
modliteb	祈り
překladů	翻訳
tempo	ペース
tempo	テンポ
elektrony	電子
manfred	マンフレート
příležitostí	機会
triumf	トライアンフ
jessica	ジェシカ
kina	映画
kina	映画
kina	シネマ
animace	アニメーション
animace	アニメーション
ples	プロム
ples	ボール
náhodné	ランダム
vlhkosti	水分
vlhkosti	湿度
předky	先祖
lublani	リュブリャナ
diplom	ディプロマ
průliv	海峡
přirozená	自然
přirozená	ナチュラル
malmö	マルメ
kořisti	捕食
aha	aha
gran	グラン
překročení	オーバーラン
tygři	タイガース
přeživší	サバイバー
evangelium	ゴスペル
evangelium	福音書
dodatek	付録
vzorků	サンプル
čaje	お茶
čaje	紅茶
uctívání	礼拝
uctívání	崇拝
grey	灰色
grey	グレイ
grey	グレー
zahradník	庭師
registraci	登録
registraci	登記
pratt	プラット
brouk	バグ
brouk	不具合
brouk	bug
brouk	ビートル
asistencí	アシスト
cítil	フェルト
goa	ゴア
juana	フアン
ruiny	廃墟
ruiny	遺跡
giorgio	ジョルジョ
clarke	クラーク
zkušený	経験
thajsko	タイ
kabinetu	内閣
kabinetu	キャビネット
aspx	aspx
pokroku	プログレス
pokroku	経過
pokroku	進捗
bomba	爆弾
mléčné	酪農
stability	安定
stability	安定性
zastaví	停車駅
stopa	トレイル
stopa	足跡
měna	通貨
jakoukoliv	any
kung	クン
správná	正解
správná	正しい
jiskra	スパーク
stabilitu	安定
stabilitu	安定性
whitney	ホイットニー
zavraždění	暗殺
poradenství	勧告
poradenství	コンサルティング
poradenství	カウンセリング
poradenství	助言
poradenství	アドバイス
poradenství	コンサルタント
poradenství	カウンセリング
rotační	ロータリー
upravená	適応
dynamické	ダイナミック
zásada	原理
panel	ダッシュボード
panel	パネル
vatikánu	バチカン
colts	コルツ
teta	おばさん
teta	叔母
teta	おば
rychlá	クイック
rychlá	速い
rychlá	高速
helmut	ヘルムート
export	輸出
export	エクスポート
export	輸出
export	エクスポート
export	エクスポート
stranické	パルチザン
výnos	出来上がり
výnos	利回り
čepel	刃物
čepel	ブレイド
podřízené	劣後
podřízené	部下
podřízené	配下
franco	フランコ
elementární	小学校
noha	フィート
odboj	抵抗
odboj	レジスタンス
francouzština	フレンチ
francouzština	フランス語
mexický	メキシコ
mexický	メキシカン
modelování	モデリング
modelování	モデリング
věrný	忠実
curtis	カーティス
kurzů	コース
poplatky	手数料
dalekohled	双眼鏡
dalekohled	望遠鏡
shadow	シャドー
shadow	シャドウ
harmonie	ハーモニー
harmonie	調和
gregor	グレゴール
výtah	エレベーター
výtah	リフト
výtah	エレベーター
daňové	租税
daňové	税金
převést	移転
převést	転送
převést	乗り換え
převést	譲渡
převést	変換
převést	コンバート
iris	アイリス
muzikant	音楽家
muzikant	ミュージシャン
manchesteru	マンチェスター
nadvládu	支配
nebezpečná	危険
mick	ミック
kostra	スケルトン
kostra	骨格
trans	トランス
doctor	医師
doctor	ドクター
doctor	先生
doctor	医者
popel	ash
disky	ドライブ
užitečná	役に立つ
užitečná	役立つ
moduly	モジュール
háje	グローヴズ
rohan	露伴
monroe	モンロー
shell	シェル
legitimní	合法
palestinské	パレスチナ
mladších	若い
absolventi	同窓会
absolventi	卒業生
absolventi	卒業生
ashley	アシュリー
ashley	アシュレイ
sektor	セクター
zeppelin	ツェッペリン
cykly	サイクル
vápenec	石灰岩
moudrosti	知恵
nářadí	ツール
nářadí	工具
nářadí	道具
nářadí	ツール
nářadí	道具
lék	医学
lék	治癒
lane	レーン
lane	車線
messier	メシエ
výlet	お出かけ
výlet	アウティング
výlet	旅行
výlet	トリップ
výlet	周遊
výlet	遠足
artur	アーサー
sub	サブ
ošetření	トリートメント
ošetření	待遇
ošetření	治療
ošetření	トリートメント
juventus	ユヴェントス
školení	トレーニング
školení	講習
školení	修行
školení	訓練
školení	研修
suárez	スアレス
kozák	コサック
požehnání	祝福
požehnání	恵み
požehnání	祝福
kolmo	垂直
luca	リュック
luca	ルカ
chi	chi
skladiště	倉庫
večeři	ディナー
večeři	夕食
krym	クリミア半島
jízdenky	切符
jízdenky	チケット
ministryně	公使
ministryně	大臣
robota	ロボット
wrestling	レスリング
chajim	ハイム
bologna	ボローニャ
teplá	あったかい
teplá	暖かい
teplá	温かい
teplá	ゲイ
dluh	債務
rozpory	矛盾
proniknout	貫通
fantazie	イマジネーション
fantazie	想像
fantazie	想像力
fantazie	ファンタジー
nara	奈良
drive	ドライブ
turín	トリノ
fázích	舞台
fázích	ステージ
vita	ヴィータ
skotská	スコッチ
slovakia	スロバキア
přepravy	輸送
přepravy	交通
súdánu	スーダン
pid	pid
nico	ニコ
uvědomit	通知
libye	リビア
nabídnout	オファー
nabídnout	申し出
nabídnout	クーポン
ghost	お化け
ghost	幽霊
ghost	ゴースト
cleveland	クリーブランド
vyrobil	made
calcio	カルチョ
santo	サント
santo	サンタ
masky	仮面
masky	マスク
masky	マスク
sprint	スプリント
odpůrce	被告人
odpůrce	被告
mráz	フロスト
lvi	ライオン
lvi	ライオンズ
ředitelka	監督
ředitelka	ディレクター
ředitelka	取締役
ředitelka	校長
ředitelka	元本
mohamed	ムハンマド
mohamed	モハメッド
simulace	シミュレーション
simulace	シミュレーション
korupce	汚職
vrtule	プロペラ
pneumatiky	タイヤ
pneumatiky	タイヤ
popularita	人気
výzvy	課題
výzvy	チャレンジ
výzvy	挑戦
lambert	ランバート
horolezec	クライマー
probuzení	覚醒
probuzení	目覚める
plavba	航海
plavba	セーリング
plavba	クルーズ
ženevě	ジュネーブ
ženevě	ジュネーヴ
tolerance	許容
tolerance	寛容
zázrak	ミラクル
zázrak	奇跡
zázrak	ワンダー
haiti	ハイチ
prázdniny	祝日
prázdniny	休日
prázdniny	ホリデー
prázdniny	休暇
prázdniny	バカンス
prázdniny	バケーション
prázdniny	祝日
prázdniny	休日
vaření	調理
vaření	クッキング
vaření	料理
přijíždí	到着
casey	ケーシー
vfd	vfd
signálů	シグナル
signálů	合図
signálů	信号
formáty	フォーマット
formáty	書式
rolníci	百姓
rolníci	農民
přístavy	ポート
narozeniny	生年月日
narozeniny	バースデー
zážitky	エクスペリエンス
personál	人材
personál	職員
personál	スタッフ
motivace	モチベーション
obchodování	取引
henrik	ヘンリク
exploze	爆発
exploze	爆発
intenzita	輝度
intenzita	光度
hedvábí	シルク
příkazů	コマンド
carol	キャロル
michele	ミケーレ
pasáž	通路
pasáž	航路
pokročilé	上級
eura	ユーロ
domek	コテージ
watanabe	ワタナベ
watanabe	渡辺
teritorium	縄張り
lovec	狩人
lovec	ハンター
víkend	週末
palmer	パーマー
rovníku	赤道
cihel	れんが
cihel	レンガ
cihel	煉瓦
příznivci	サポーター
učenec	学者
koch	コッホ
sestavení	編纂
sestavení	コンパイル
lindsay	リンジー
horst	ホルスト
důstojníci	役員
gate	ゲート
soustředění	濃度
soustředění	焦点
soustředění	フォーカス
andělé	エンジェルス
andělé	天使
dinamo	dinamo
tichá	サイレント
tichá	無音
zátěž	重荷
zátěž	負担
zátěž	バラスト
serverů	サーバ
serverů	サーバー
straka	カササギ
alternativa	オルタナティブ
alternativa	代替
dědic	相続
