নাগরী	nagari
দৌলত	dawlat
সোমালিয়া	somàlia
বিক্ষিপ্ত	dispersos
বিক্ষিপ্ত	distreure
মহৎ	poderós
মহৎ	magnífica
মহৎ	magnífic
ধারণকারী	contenint
ধারণকারী	contenidor
ধারণকারী	recipient
তীরন্দাজ	arquers
মজা	fun
মজা	divertit
মজা	diversió
পশম	pelatge
সতর্কতা	avís
সতর্কতা	advertència
সতর্কতা	precaució
সতর্কতা	alertes
সতর্কতা	alerta
কেক	pastís
কেক	pastissos
পুরী	puri
পান্না	maragda
সাফারি	safari
ক্রোমোজোম	cromosoma
কোরে	corey
মনোবল	aguanti
অবিস্মরণীয়	inoblidable
নরম্যান	norman
কনরাড	conrad
কনরাড	konrad
নিকোলাই	nikolai
জয়েন্ট	conjunta
শামস	shams
বহিষ্কৃত	expulsat
বহিষ্কৃত	expulsat
কলি	kali
কলি	collie
কলি	bud
রেজিস্টার	registre
ফিদেল	fidel
স্ট্রোক	traç
স্ট্রোক	ictus
ব্যাথা	dolor
অজন্তা	ajanta
ফ্রাই	fry
কীটনাশক	plaguicides
বক্ররেখা	corba
বক্ররেখা	revolts
বক্ররেখা	corbes
গেটস	gates
এক্সটেনশন	connectors
এক্সটেনশন	extensions
এক্সটেনশন	pròrrogues
এক্সটেনশন	ampliacions
এক্সটেনশন	ampliació
এক্সটেনশন	extensió
এক্সটেনশন	pròrroga
ব্রাউনের	marró
ব্রাউনের	brown
ব্রাউনের	braun
সুজা	souza
সুজা	shuja
ক্রাইস্টচার্চ	christchurch
ধূমপান	fumar
ধূমপান	fumant
লুইজ	luiz
ধ্বংসাত্মক	destructius
ধ্বংসাত্মক	destructor
সমানভাবে	igualment
ভূগোলবিদ	geògraf
সেটার	setter
মেহতা	mehta
ইয়োহানেস	johannes
প্রমিত	estàndard
দই	iogurt
দই	recuit
লিওনার্ড	leonard
অপমান	humiliació
অপমান	insultant
অপমান	insult
নেত্রী	manava
নেত্রী	líder
তাঁত	teler
চেখভ	txékhov
বিচলিত	nerviós
বিচলিত	molesta
বিচলিত	molest
রাইডার	raider
রাইডার	ryder
রাইডার	genet
রাইডার	rider
প্রশিক্ষিত	entrenat
প্রশিক্ষিত	entrenats
পূর্বাভাস	previsió
ল্যান্স	lance
সোয়ান	cigne
সোয়ান	swan
কাভি	kabhi
কুকুরের	gos
ফতেহ	fateh
মিঠুন	mithun
বন্দনা	vandana
মেয়ার	meyer
কুসংস্কার	prejudici
সূচী	continguts
টিনের	tin
টিনের	llauna
পুরি	puri
বাব	bab
শফিক	shafik
ম্যাট্রিক্স	matriu
নির্যাতিত	abusat
বিন্যাসে	conformació
এফবিআই	fbi
ড্রামার	timbaler
তিল	sèsam
ম্যাডিসন	madison
প্রাপ্তবয়স্কদের	adults
টমেটো	tomàquet
প্রতিলিপি	còpies
প্রতিলিপি	exemplars
গৌরী	gauri
ক্লায়েন্ট	client
হাঁটা	caminant
হাঁটা	passeig
টানেল	túnel
পটাশিয়াম	potassi
পিয়ার	pier
পিয়ার	moll
পরামর্শক	consultor
জিনিসপত্র	coses
পুরুষেরা	homes
এক্সবক্স	xbox
পাড়ার	barri
ম্যানিলা	manila
আলিগড়	aligarh
জ্যামাইকা	jamaica
মুরগির	pollastre
ভিশন	visió
শিরা	vena
সংবেদনশীল	sensible
সংবেদনশীল	sensibles
পুনর্গঠিত	reconstituïda
ফারাও	faraó
আন্তরিক	sinceres
আন্তরিক	sincers
আন্তরিক	sincera
আন্তরিক	cordial
কূটনীতিক	diplomàtic
ট্রান্সপোর্ট	transportador
আর্টিলারি	artilleria
মার্স	mart
মার্স	mars
আওরঙ্গজেব	aurangzeb
এডিটর	editors
এডিটর	redactors
তরুন	joves
তরুন	young
তরুন	jove
ভালুক	ós
সুজি	susie
লেবাননের	libanesos
পোলক	pollock
বিধিবদ্ধ	estatutaris
বিধিবদ্ধ	estatutari
প্রস্থান	abandona
প্রস্থান	sortida
নখ	ungles
চেজ	chase
পাইরেটস	pirates
হায়দরাবাদ	hyderabad
গন্তব্য	destinació
গন্তব্য	destinacions
গন্তব্য	destins
টেলার	teller
পেইন্টিং	pintura
শুন্য	zero
হিলস	turons
ভজন	chant
চায়ের	tea
চায়ের	te
ড্যানিশ	danès
দাম্পত্য	nupcial
তর্ক	discutint
অর্ডোভিশিয়ান	ordovicià
আগ্রাসী	agressiu
ফিউশন	fusió
প্রজ্ঞা	unces
প্রজ্ঞা	saviesa
মাংসাশী	carnívors
সুইং	swing
মাতৃ	maternal
তাহার	ella
তাহার	her
অভিনেতাদের	actors
আইজ্যাক	isaac
শাস্তির	càstig
লী	lee
এস্তোনিয়া	estònia
দুর্বলতা	debilitat
দুর্বলতা	feblesa
অনুপ	anup
রিয়া	rea
রিয়া	ria
ব্যুৎপত্তি	etimologia
দেখছি	veient
দেখছি	mirant
বাধ্যবাধকতা	obligació
পেদ্রো	pedro
জাক	jacques
কাজাখস্তান	kazakhstan
সহচর	acompanyant
সহচর	companya
লেন্সের	lents
অস্থিরতা	inestabilitat
গিলমোর	gilmour
বহুবিধ	múltiples
বহুবিধ	múltiple
ক্যারোলিনা	carolina
পেশোয়ার	peshawar
লন	gespa
ছদ্ম	pseudo
আড্ডা	xat
আম্বেদকর	ambedkar
ডিস্ট্রিক্ট	districte
বতুতা	battuta
তিউনিসিয়া	tunísia
ডানায়	wings
ডানায়	ales
ক্লিনটন	clinton
মন্ত্রীদের	ministres
সহোদর	germà
তিলক	tilak
সাজা	condemnat
গাজা	gaza
আদার	gingebre
আদার	ginger
বীচ	platja
একতা	singularitat
সিসি	sisi
অ্যান্টেনা	antena
বোতাম	botons
বোতাম	botó
ব্রি	brie
ব্রি	bri
পূর্ণতা	plenitud
মশলা	masala
প্রত্যাশিত	esperada
প্রত্যাশিত	esperats
মুখার্জি	mukherjee
ঢেলে	pour
শরণার্থীদের	refugiats
অংশগ্রহণকারীদের	participants
অংশগ্রহণকারীদের	assistents
ফেটে	desborden
চাদর	làmines
চাদর	fulls
চাদর	llençols
স্বাভাবিকভাবে	naturalment
ইংরাজি	anglès
ফ্লয়েড	floyd
বহিরাগত	externs
বহিরাগত	extern
বহিরাগত	externa
ম্যাপ	mapa
ট্রয়	troy
ট্রয়	troia
বিভ্রান্ত	confús
বিভ্রান্ত	confós
বিভ্রান্ত	confosa
স্পাই	espia
হানিফ	hanif
ফাঁক	llacunes
ফাঁক	buits
ভাগলপুর	bhagalpur
ব্যাচ	lot
অ্যাডমিরাল	almirall
হরর	horror
গ্রুস	grus
গফ	gough
মহাকাব্যিক	epic
মহাকাব্যিক	èpica
কাকাতুয়া	cacatua
প্যাট	pat
কাট	talls
কাট	retalls
কাট	retallades
সাংবাদিকদের	periodistes
মার্কাস	marcus
ইন্ডিপেন্ডেন্ট	independents
ইন্ডিপেন্ডেন্ট	independent
আইনগতভাবে	legalment
অ্যারিজোনা	arizona
জর্দান	jordà
জর্দান	jordània
পার্ট	part
পোকেমন	pokemon
টেপ	cinta
সুইচ	interruptor
সুইচ	canvia
হাঁটু	genoll
হাঁটু	genolls
ধর্ষণের	colza
ধর্ষণের	violació
আলজেরীয়	algerià
বিকেলে	tarda
এনজাইম	enzims
এনজাইম	enzim
সম্পূরক	suplement
সম্পূরক	suplements
মনোহর	manohar
কং	cong
কং	kong
রুবেল	rubles
রুবেল	rubel
শব্দসমষ্টি	frase
মনিটর	monitor
মনিটর	monitors
খেলছেন	jugant
গম্ভীর	greus
গম্ভীর	seriós
গম্ভীর	gambhir
হার্জেগোভিনা	hercegovina
এমআইটি	mit
নিম্নভূমি	lowlands
আমেরিকানদের	americans
মর্যাদাপূর্ণ	prestigiós
মর্যাদাপূর্ণ	prestigiosa
কোট	abric
কোট	kot
নগ্নতা	nuesa
আকাশচুম্বী	gratacel
পূর্বপুরুষদের	avantpassats
টেড	ted
কুং	kung
ক্ষত্রিয়	kxatriyes
লিডার	manava
লিডার	líder
হামবুর্গ	hamburg
অ্যাডোবি	adobe
রাওয়ালপিন্ডি	rawalpindi
বাসিন্দারা	residents
মোটরগাড়ি	automoció
প্লেবয়	playboy
কনকাকাফ	concacaf
সাম্রাজ্যবাদ	imperialisme
নির্দোষ	innocent
দারিদ্র	pobresa
লিটার	litre
জানুন	aprèn
জানুন	aprendre
জানুন	apreneu
বিদর্ভ	vidarbha
ব্রুকলিন	brooklyn
ব্যাটারী	bateria
ডেন	den
ডেন	donin
মাহফুজ	mahfuz
চুম্বন	besar
চুম্বন	petons
চুম্বন	kiss
চুম্বন	petó
সান্টা	santa
সমেত	inclusiu
বোমাবর্ষণ	bombardejat
ইভান্স	evans
জ্ঞাত	conegut
তেনজিং	tenzin
সংহতি	solidaritat
সেরে	recuperació
টেসলা	tesla
উত্তল	convex
ভোল্ট	volt
ভোল্ট	volts
অভিনন্দন	enhorabona
অভিনন্দন	felicitació
অভিনন্দন	enhorabona
ফোটে	bloom
ফোটে	floreix
সেনেগাল	senegal
মুনি	mooney
মুনি	muni
বাঁচার	supervivència
চার্চিল	churchill
উপকার	lucre
উপকার	benefici
উপকার	prestacions
উপকার	beneficis
লেবু	llimona
সুখী	feliç
গীর্জা	església
হান্ট	hunt
অস্থিতিশীল	erràtic
বাসস্থানের	hàbitat
ঘটনাসমূহ	esdeveniments
কদাচিৎ	rarament
ঐশ্বরিক	divina
পোর্তো	porto
ফিঞ্চ	finch
শোভাযাত্রা	processó
ছেলেরা	nois
ছেলেরা	boys
ছেলেরা	nois
সস্তা	barat
মানসিকতা	mentalitat
মানসিকতা	mentalitat
হাটে	passeigs
হাটে	caminades
পরিদর্শনে	visitant
খাত্তাব	khattab
শমসের	shamsher
ওরিয়েন্টাল	oriental
আঙ্গুল	dits
আঙ্গুল	dit
ডক	moll
অসলো	oslo
খাঁটি	autèntica
খাঁটি	autèntics
খাঁটি	purs
খাঁটি	pura
খাঁটি	pur
গোলাবারুদ	municions
গোলাবারুদ	munició
কিংডম	regne
সরবরাহকারী	proveïdor
কার্নেল	nucli
অ্যালাস্টেয়ার	alastair
রেমন্ড	raymond
বিষয়াবলী	temes
সনাক্তকরণ	detecció
টিউমার	tumor
টিউমার	tumors
আভা	ava
আস্তানা	àtic
আস্তানা	golfes
আস্তানা	astana
হত্যাকান্ড	assassinat
সঙ্গম	sangam
পরিচালকদের	directors
পরিচালকদের	gestors
পরিচালকদের	directius
লেনন	lennon
বার্নস	barnes
টেলিকম	telecom
বর্ন	nascut
বর্ন	born
কাঠামোগত	estructurals
কাঠামোগত	estructural
ঝিনুক	ostra
সরলীকৃত	simplificat
ইদ্রিস	idris
এইচআইভি	vih
ব্রেস্টস্ট্রোক	braça
লিথুয়ানিয়া	lituània
কানপুর	kanpur
বাত	artritis
ছাদে	terrat
স্ত্রীদের	manilles
স্ত্রীদের	esposes
দারা	dara
জেনারেটর	generador
যুগোস্লাভিয়া	iugoslàvia
সিগারেট	cigarreta
সিগারেট	cigarret
সিগারেট	cigarrets
সিগারেট	cigarretes
ফ্যাকাল্টি	facultat
সাবধান	precaució
কেনসিংটন	kensington
উদিত	rises
ইতিমধ্যেই	ja
লুমিয়া	lumia
জামাত	jamaat
দাতা	donant
সাই	psy
সাই	psi
সাই	sai
বিশৃঙ্খলা	trastorn
বিশৃঙ্খলা	caos
মরিসন	morrison
ভাঁজ	faldons
ভাঁজ	doblades
ভাঁজ	plegat
ভাঁজ	plegat
ফ্ল্যাগ	banderes
ফ্ল্যাগ	indicadors
যোনি	vagina
অনুরাগী	fan
ফ্যান	fan
প্রসেসিং	tramitació
প্রসেসিং	processament
এয়ারলাইন	aerolínia
অসুখ	malaltia
স্তবক	cúmul
স্তবক	clúster
স্তবক	clústers
টমি	tommy
অনাথ	orfes
অনাথ	orfe
অনাথ	òrfena
আবর্জনা	paperera
শাশ্বত	etern
পর্ণমোচী	caducifoli
ঝুলে	penjats
শূণ্য	res
শূণ্য	cap
পেটে	estómac
বন্ধনী	parèntesis
ক্রিসমাস	nadal
আরিফ	arif
অটল	atal
ক্যাফে	cafe
শাসকগণ	shambhala
আমস্টারডাম	amsterdam
লবন	salt
লবন	sal
মনু	manu
কাতালোনিয়া	catalunya
ডার্বিশায়ার	derbyshire
হিউজ	hughes
ঝাং	zhang
পারবো	can
জন্তু	bèstia
তাজিক	tadjik
ওয়াং	wong
ওয়াং	wang
সিমন	simone
অথরিটি	autoritat
সংবাদদাতা	corresponsal
ইসাবেল	isabel
ইসাবেল	isabelle
মর্গান	morgan
লিসা	lisa
ফিন	finn
গুণের	virtuts
ফসিল	fòssil
প্রাচুর্য	abundància
জলি	jolly
ফেরদৌসী	firdawsí
অ্যাকাডেমিক	acadèmica
অ্যাকাডেমিক	acadèmic
চকোলেট	xocolata
সিগন্যাল	senyal
ইন্দ্রিয়	sensorials
ইন্দ্রিয়	sensorial
দ্রবণ	sòlid
দ্রবণ	silici
দ্রবণ	dissolvent
দ্রবণ	solució
মিট	mitt
শেখানো	imparteix
শেখানো	impartit
অধিবিদ্যা	metafísica
এন্টারপ্রাইজ	enterprise
বিলাল	bilal
সন্দেহের	sospites
সন্দেহের	dubtes
স্তূপ	pila
স্তূপ	piles
হোলি	holi
অ্যারন	aaron
ভুবনেশ্বর	bhubaneswar
নাড়ু	nadu
রাউল	raul
রাউল	raúl
ডাকাতি	robatori
যুদ্ধজাহাজ	warship
পরিচ্ছন্ন	bestial
সক	soc
সক	mitjó
স্ফটিক	cristall
টাস্ক	ullal
গাঙ্গুলি	ganguly
পরিসীমা	interval
ফার্মেসি	farmàcia
ফাঁপা	fondalada
ফাঁপা	hollow
দুষ্প্রাপ্য	rars
দুষ্প্রাপ্য	rares
সিনেটর	senador
সিনেটর	senadors
আইফেল	eiffel
চো	cho
ঘুরি	torn
ইয়ন	yeon
মেয়েটি	noia
বিশ্বাসঘাতকতা	traït
বিশ্বাসঘাতকতা	traïció
মশা	mosquit
জিয়ান	xian
হাসির	somriure
হাসির	riures
হাসির	riure
হাসির	rialles
হাসির	somriures
বেকারত্ব	desocupació
বেকারত্ব	atur
যৌতুক	dot
নজির	precedents
নজির	precedent
নজির	reivindicació
হালদার	halder
মরিয়ম	maría
মরিয়ম	mary
মরিয়ম	maryam
তালা	taquilles
তালা	tala
তালা	panys
প্লট	trama
অস্বীকৃত	denegat
অস্বীকৃত	denegada
নাজির	nazir
লেভি	levi
লেভি	levy
বিশ্লেষক	analista
সামোয়া	samoa
টাইটানিক	titanic
কুলকার্নি	kulkarni
বিপর্যস্ত	encongit
বিপর্যস্ত	molesta
বিপর্যস্ত	molest
ললিত	lalit
শেঠ	seth
তানজানিয়া	tanzània
গুয়াতেমালা	guatemala
কসোভো	kosovo
ডু	doo
ভাস্কো	vasco
প্লেস্টেশন	playstation
দারুচিনি	canela
বিবেক	consciència
হাস্যরসাত্মক	humorística
উইকিমিডিয়ার	wikimedia
নিরপেক্ষতা	neutralitat
নিরপেক্ষতা	imparcialitat
প্রতিরোধী	resistents
কুয়াশা	boira
কুয়াশা	formigó
খমের	khmer
ফটোশপ	photoshop
ভোক্তা	consumidor
ভোক্তা	consumidors
অ্যাস্টন	ashton
ভবানী	bhavani
দলিত	dalit
বাজ	buzz
কর্মক্ষমতা	actuació
কর্মক্ষমতা	rendiment
ক্যাথিড্রাল	catedral
রোম্যান্টিক	romàntic
রোম্যান্টিক	romàntica
স্যুট	suite
স্যুট	vestit
স্যুট	pal
কোহেন	cohen
পুঁজিবাদী	capitalista
গাজি	ghazi
ছুরি	ganivets
ছুরি	ganivet
বিদ্রোহীরা	insurgents
বিদ্রোহীরা	rebels
ইঙ্ক	inc
সাব্বির	sabir
ধমনী	artèria
ধমনী	artèries
পলিসি	pòlissa
পলিসি	política
বরিস	boris
বরিস	borís
হেসে	hessen
মমি	mòmia
মমি	mòmies
দিমিত্রি	dmitri
মরা	morts
মরা	dead
পরিচর্যা	infermeria
বর্মা	varma
ঝাঁপ	salta
নিপীড়ন	persecució
নিপীড়ন	opressió
জামাই	nuvi
নাসিম	suggerien
থিসিস	tesi
থিসিস	tesis
অভিবাসীদের	emigrants
প্রত্যাখ্যাত	revocats
প্রত্যাখ্যাত	revocat
প্রত্যাখ্যাত	revocada
প্রত্যাখ্যাত	revocades
প্রত্যাখ্যাত	rebutjat
প্রত্যাখ্যাত	disminuït
ইকো	eco
ইকো	ressó
ইকো	echo
কংক্রিট	formigó
কাঞ্জি	kanji
বপন	sembra
বপন	truja
বপন	sembrar
বপন	sembres
শখের	amateur
শখের	aficionat
ক্লদ	claude
মিশা	misha
ধাওয়া	dhawan
সুইট	dolç
সুইট	dolços
সুইট	dolça
আবেগের	passió
গোলাগুলি	rodatge
গোলাগুলি	tiroteig
গ্রাহকদের	clients
গ্রাহকদের	subscriptors
গ্রাহকদের	abonats
দোস্ত	tiu
দোস্ত	dost
ইনজুরি	perjudici
ইনজুরি	lesió
ড্রসোফিলা	drosophila
বল্লাল	ballal
রাখাল	cowboys
বেরি	berry
আজকে	tropic
আজকে	avui
রক্তপাত	sagnat
লুপ	repeteix
লুপ	bucle
মঞ্জিল	manzil
চট্রগ্রাম	chittagong
গাউস	gauss
ওমেগা	omega
ফুয়াদ	fouad
সোহাগ	sohag
শেফার্ড	pastors
শহিদ	shahid
জানত	sabia
অমর্ত্য	amartya
গ্যাব্রিয়েল	gabriel
ধোঁয়া	fum
পুষ্প	blossom
আইনত	legalment
দারিদ্র্য	pobresa
সংশয়	escepticisme
সংশয়	dubte
কোণায়	racó
কোণায়	cantonada
অযৌন	asexual
খাদিজা	khadija
সেকশন	secció
ট্রেভর	trevor
অংশগ্রহনের	participació
নরওয়েজিয়ান	noruec
বিলম্ব	demora
বিলম্ব	retard
বিলম্ব	endarreriment
ক্লেয়ার	claire
নার্স	infermeres
নার্স	infermers
নার্স	infermera
নার্স	infermer
ডেভেলপার	desenvolupador
পড়ছে	falling
পড়ছে	caient
মোনাকো	mònaco
মোনাকো	monaco
সোনিয়া	sonia
সস	salsa
হ্যাট	barret
আবদেল	abdel
করিডোর	corredor
ওনার	ella
ওনার	her
কারিগর	artesanes
কারিগর	mecànic
মাখন	mantega
রু	rue
সোডা	refresc
সোডা	soda
মুসলমানের	musulmà
পেঁচা	mussol
ময়দা	farina
শুয়ে	estesa
শুয়ে	lay
শুয়ে	mentint
শুয়ে	tirada
হিলারি	hillary
আটলান্টা	atlanta
আইসল্যান্ডীয়	islandès
কিউব	cube
কিউব	cub
পুকুরে	estany
পুকুরে	pond
স্থূলতা	obesitat
বন্ধুত্বের	amistat
শিশ্ন	penis
রসুল	rasul
চন্দ	chanda
সামুরাই	samurai
মগ	mug
ভদ্র	decent
ভদ্র	educat
ভদ্র	gentil
ইভ	eve
অনির্দিষ্ট	indefinit
অনির্দিষ্ট	indefinida
অনির্দিষ্ট	qualsevol
জেসি	jessie
জেসি	jesse
লুডভিগ	ludwig
টিমোথি	timothy
আহাদ	ahad
জোসে	jose
দুল	penjoll
আশি	vuitanta
কর্নেলিয়াস	corneli
বিশেষজ্ঞরা	especialistes
বিশেষজ্ঞরা	experts
বিশেষজ্ঞরা	perits
দায়িত্বের	responsabilitats
দায়িত্বের	responsabilitat
উমা	uma
এলটন	alton
নিশ্চিতভাবে	definitivament
জারা	zara
ইতালিয়	italià
হাওয়াইয়ান	hawaià
যোদ্ধারা	lluitadors
রেন	ren
ইয়াসিন	yasin
লঘু	aprehensió
পিচ	pitch
কেও	també
ব্যাগ	bossa
ব্যাগ	bosses
ব্যাগ	borses
মরে	die
মরে	morir
আশ্বাস	assegurament
মুরগি	pollastre
মুরগি	pollastres
জরীপ	enquestes
অবশিষ্টাংশ	romanent
সুপারনোভা	supernova
কোয়ালিশন	coalició
হিচকক	hitchcock
অ্যালিস	alice
চিনা	xinès
চিনা	xinesos
সন্নিহিত	adjacents
সন্নিহিত	adjacent
কাশ্মীরে	caixmir
যন্ত্রণা	dolor
এন্টি	anti
সিরামিক	ceràmica
হন্ডুরাস	hondures
স্লোভাক	eslovac
সাইফ	saif
ভূতের	horror
ডুমুর	ficus
যাচাইকরণ	verificació
সোফি	sophie
মালহোত্রা	malhotra
তালিবান	talibans
নিম	neem
শকুন	voltor
কাক	corb
কাক	corbs
দরিয়া	daria
ধর্মযাজক	clergue
ধর্মযাজক	pastor
যক্ষ্মা	tuberculosi
অ্যানালগ	anàleg
অ্যানালগ	anàleg
অ্যানালগ	analògic
অয়েল	oli
কলিন্স	collins
কারিনা	karina
ফ্রেজার	fraser
খুলি	crani
বর্ণালী	espectre
পাঙ্ক	punk
স্পর্শকাতর	sensible
স্পর্শকাতর	sensibles
বারমুডা	bermudes
ক্রোধ	colera
রায়গড়	raigarh
চেস্টার	chester
জার্মানদের	alemanys
বেল্ট	cinturó
চুম্বক	imant
চুম্বক	imants
লস্কর	lasker
রুজভেল্ট	roosevelt
মুবারক	mubarak
সুত্ত	sutta
আসবাবপত্র	mobles
আসবাবপত্র	mobiliari
আসবাবপত্র	moble
ফেরেশতা	àngels
ফেরেশতা	angels
মূর্ধন্য	retroflexa
ডার	der
আকাঙ্ক্ষা	anhel
সেশন	temporada
সেশন	session
সেশন	sessió
সেশন	sessions
কাশি	tos
কাশি	tos
কাশি	toses
শখ	hobby
শখ	passatemps
শখ	aficions
তাইপে	taipei
কই	koi
প্রতিবেদক	reporter
প্রলেপ	recobriment
প্রলেপ	revestiment
তাং	taung
মেকানিক্যাল	mecànica
মেকানিক্যাল	mecànics
মেকানিক্যাল	mecànic
শা	sha
গার্সিয়া	garcia
গার্সিয়া	garcía
গার্সিয়া	garcía
ক্রেতাদের	compradors
কারাগারের	presó
