actualitzat	atnaujintas
rembrandt	rembrantas
trnava	trnavos
rumor	gandai
schwerin	schwerin
parèntesi	sija
parèntesi	skliaustų
bactriana	baktrija
armando	armando
asti	asti
bandits	banditai
bor	boro
afluència	antplūdžio
competitiu	konkurencingas
competitiu	konkurencinis
arcaic	archajišką
tao	tao
betlem	betliejaus
hidràulic	hidrauliniai
iphone	iphone
jacqueline	jacqueline
raids	reidus
tre	tre
reproductor	žaidėjas
amoni	amonio
ska	ska
toyota	toyota
ebullició	virimo
porcellana	porceliano
padre	padre
valí	wali
represàlia	keršto
boví	galvijai
boví	galvijams
boví	galvijų
substantiu	daiktavardis
interfícies	jungtys
interfícies	sąsajos
ono	ono
maharaja	maharadža
abkhàzia	abchazijos
adjectius	būdvardžių
resina	derva
resina	dervos
cuinar	virimo
gardiner	gardiner
tità	titan
juno	juno
diane	diana
compartint	dalintis
compartint	kaupimo
compartint	dalijimasis
enverinat	užterštas
escobar	escobar
salinitat	druskingumas
fàbregas	fàbregas
selim	selim
autopistes	greitkelių
autopistes	greitkeliai
mico	apa
mico	beždžionė
khútor	viensėdis
kirguizistan	kirgizija
nike	nike
benz	benz
anno	anno
reialesa	autoriniai
reialesa	princeses
vicenza	kvartale
ensemble	ansamblis
canadencs	kanadiečiai
metàfora	metafora
competint	konkuruojančių
sonic	sonic
hidròxid	hidroksidas
seleuc	seleukas
maledicció	prakeiksmas
cooperatives	kooperatyvų
cooperatives	kooperatyvai
anarquia	anarchija
tma	tma
moble	baldai
borussia	borussia
sòrab	sorbų
densament	tankiai
valenciennes	valenciennes
microones	mikrobangų
morton	morton
abdicació	atsižadėjimo
concha	concha
kde	kde
apreciada	vertinamas
opressió	priespaudą
sousa	sousa
città	città
pierce	pyrsas
triàsic	triasas
nedador	gelbėtojas
nedador	plaukikas
sai	sai
armanyac	armanjakas
òptima	optimali
òptima	optimalus
deficiències	trūkumai
deficiències	trūkumai
sociòleg	sociologė
adriano	adriano
lille	lilio
conveniència	patogumo
comiat	atsisveikinimo
guevara	guevara
recreació	poilsis
sensacions	pojūčius
emberiza	emberiza
mandela	mandela
blanche	blanche
angels	angelai
rapid	greitas
jacinto	jacinto
quo	quo
diekirch	diekirch
ego	ego
maquillatge	makiažas
hera	hera
paradise	rojų
paradise	rojus
decorativa	dekoratyviniai
decorativa	dekoratyvinės
mescles	mišiniai
egypt	egipte
egypt	egipto
egypt	egiptas
mitra	mitra
pioneer	pioneer
ironia	ironija
taurons	rykliai
nutrició	mitybos
nutrició	mityba
sandy	smėlio
lama	lama
alcántara	alcantara
cornet	kornetas
fantasmes	vaiduokliai
lluminosa	šviesos
cassini	cassini
combinades	kombinuotosios
impulsos	impulsus
jam	uogiene
christina	kristina
periodicitat	periodiškumas
legalitat	teisėtumas
legalitat	teisėtumo
cuvier	cuvier
griffith	griffith
aldo	aldo
tundra	tundra
yukon	jukonas
vespasià	vespasianas
atribucions	jėgos
ren	elnio
ren	ren
gian	gian
pàrtia	partai
pomes	obuolių
pomes	obuoliai
mendelssohn	mendelssohn
cosmopolita	cosmopolitan
vinil	vinilo
tet	tet
napoli	napoli
catalogació	katalogavimo
flac	flaccus
flac	flac
dublin	dubline
dublin	dublinas
digestió	irimo
dispara	šaudo
reprodueixen	atgaminti
pavellons	paviljonų
bernstein	bernstein
königsberg	karaliaučiaus
substantius	daiktavardžiai
signant	pasirašiusios
encyclopædia	encyclopaedia
rfc	rfc
arcàdia	arkadija
massimo	massimo
cicló	ciklono
elèctrode	elektrodas
timó	timo
maya	maja
geològics	geologinio
planxa	geležies
planxa	geležis
extraterrestre	nežemiška
linné	linné
salms	psalmynas
odin	odinas
descobrint	nustatęs
destructor	naikintojas
compromisos	įsipareigojimai
encesa	uždegimas
encesa	uždegimo
hyde	haidas
bourges	buržas
cràters	krateriai
regeneració	regeneravimo
apassionat	aistringas
reactors	reaktoriai
reactors	reaktorių
sospitós	įtariamieji
sospitós	įtariamasis
ffd	ffd
aprofundir	gilinti
maharashtra	maharaštros
transportat	vežami
transportat	gabenama
destrueix	naikina
lourdes	lourdes
celtics	celtics
münster	münster
crueltat	žiaurumas
persuadir	įtikinti
persuadir	įtikino
camió	sunkvežimis
trompes	ligatūra
webster	webster
pianos	pianinai
menyspreu	panieka
elvis	elvis
dai	dai
isòtop	izotopų
comet	įsipareigoja
vinagre	actas
ostatge	įkaitų
ostatge	įkaitu
forever	amžinai
reactius	reagentai
llits	lovos
ministeris	ministerijų
ministeris	ministerijos
donzella	maiden
intercontinental	tarpžemyninis
sue	siu
coppa	coppa
paràsit	parazitų
camus	kamiu
robat	pavogtas
hernán	hernán
cosmologia	kosmologija
paràlisi	paralyžius
funcionalitats	ypatumai
funcionalitats	savybės
catocala	catocala
senzillesa	paprastumas
jungla	džiunglės
predicador	pamokslininko
palos	palos
deportes	deportes
germán	germano
rochefort	rochefort
gates	vartus
gates	vartai
sassànides	sasanidai
qualificada	kvalifikuota
indemnització	kompensacija
indemnització	kompensacijos
llangardaix	driežas
increïble	nuostabu
increïble	nuostabus
increïble	nuostabi
increïble	neįtikėtina
minsk	minsko
tudor	tudor
rac	rac
colonna	colonna
elliot	eliotas
lotto	lotto
nàutica	laivybos
tràiler	priekabos
tràiler	priekabų
tràiler	priekaba
neville	nevilis
hartmann	hartmann
encomanar	patikėti
léger	léger
inhibició	slopinimo
inhibició	slopinimas
diafragma	diafragmos
infraroig	spindulių
guglielmo	guglielmo
insereix	įterpti
carrosseria	kėbulas
sapiens	sapiens
brasilers	brazilai
surrealisme	siurrealizmas
chiapas	čiapo
germanor	brolija
sing	dainuoti
carey	carey
levante	levant
fly	skristi
monsieur	mesjė
salvia	salvia
superman	supermenas
naturalisme	natūralizmas
baja	baja
velòdrom	velodromas
excentricitat	ekscentricitetas
purs	grynas
purs	aiški
judo	dziudo
