ஷேன்	شین
காக்ஸ்	کاکس
பாஷா	پاشا
முட்கள்	خار
வினாக்கள்	سؤال
வினாக்கள்	سوالات
வினாக்கள்	سوال
வினாக்கள்	سؤالات
செயலற்ற	بیکار
இலினொய்	ایلینوی
எத்தியோப்பியா	حبشه
எத்தியோப்பியா	اتیوپی
வாக்களிக்கும்	رای
கண்ணுக்குத்	نامریی
கண்ணுக்குத்	نامرئی
பெல்லா	بلا
லாரா	لورا
லாரா	لارا
பிரான்சுவா	فرانسوا
அற்புதம்	عالی
அற்புதம்	عالیه
அற்புதம்	خوشمزه
அற்புதம்	جالبه
பெர்க்லி	برکلی
மொழிபெயர்க்க	ترجمه
அதிசயம்	معجزه
அதிசயம்	تعجب
எபிசோட்	قسمت
எபிசோட்	اپیزود
கியோட்டோ	کیوتو
கச்சேரிகள்	کنسرت
எடி	اِدی
எடி	ede
இஸ்லாமியர்கள்	مسلمان
இஸ்லாமியர்கள்	مسلمانان
இஸ்லாமியர்கள்	مسلمانها
ஆப்கான்	افغانی
ஆப்கான்	afghan
ஆப்கான்	افغان
கரன்	کاران
அப்துல்லாஹ்	عبدالله
அல்பேனியா	آلبانی
பிலாத்து	پیلاطس
மறுவாழ்வு	بازپروری
மறுவாழ்வு	توانبخشی
மகிமை	عزت
மகிமை	جلال
மகிமை	شکوه
பாத்	حمام
போதகர்	واعظ
கோபா	کوپا
நரகம்	جهنم
நரகம்	دوزخ
சிரிப்பு	خنده
சிரிப்பு	خندیدن
சிரிப்பு	خنده
சிரிப்பு	خندیدم
சிரிப்பு	بخند
டைட்டானிக்	تایتانیک
யோ	یو
கேஸ்	پرونده
கேஸ்	کیس
கேஸ்	مورد
கேஸ்	گس
கேஸ்	گاز
லெவி	لوی
படுகை	حوضه
படுகை	سماور
மானியம்	پشتوانه
வாழைப்பழம்	موز
வாழைப்பழம்	موزی
நிச்சயமற்ற	قطعیت
மாறு	تعویض
மாறு	سوئیچ
மாறு	سویچ
சேர்க்கவும்	افزودن
சேர்க்கவும்	شامل
ஷில்பா	شیلپا
வடம்	کابلی
வடம்	کابل
சாரணர்	پیشاهنگ
கொழுப்புகள்	چربیها
அழகை	زیبایی
அழகை	زیبای
குள்ள	شغال
குள்ள	کوتوله
குள்ள	دورف
குவியம்	کانون
குவியம்	تمرکز
லெப்டினன்ட்	ستوان
நாயக்	نایاک
இரிடியம்	ایریدیم
அங்கோலா	آنگولا
அபூபக்கர்	ابوبکر
முழம்	ذراع
நார்மன்	نورمن
எதற்காக	چرا
பீனிக்ஸ்	سیمرغ
பீனிக்ஸ்	فونیکس
பீனிக்ஸ்	ققنوس
பீனிக்ஸ்	فینکس
பீனிக்ஸ்	فینیکس
குமட்டல்	تهوع
நிமிர்ந்து	اجباری
நிமிர்ந்து	اجبار
விக்கிகள்	wikis
சினி	کاین
சினி	cine
மாண்டரின்	ماندارین
திராவிடம்	دراویدی
ஆரியன்	آرین
ஆரியன்	آریایی
ஆரியன்	آریان
பராகுவே	پاراگوئه
கடுகு	خردل
கடுகு	خردلی
குத்திக்	ثاقب
கவுர்	کُر
காசோலை	چک
நண்டுகள்	خرچنگ
ரகசியமாக	پنهانی
ரகசியமாக	مخفیانه
ரகசியமாக	محرمانه
காண்கிறார்	نظاره
காண்கிறார்	مراقبه
காண்கிறார்	تماشای
பலேடியம்	پالادیم
பலேடியம்	پالادیوم
தூண்டில்	طعمه
தூண்டில்	البیت
கருத்தைப்	توضیح
கருத்தைப்	نظر
ஹரோல்ட்	هارولد
ஹரோல்ட்	هرولد
வாரிசாக	ارث
உலோகவியல்	متالورژی
ஹாமில்டன்	همیلتون
பிரதிபலிக்கிறது	معرف
பிரதிபலிக்கிறது	ازای
மைனர்	کوچک
மைனர்	خردسال
மைனர்	کوچکی
மகாராஜ்	maharaj
ஈறு	لثه
தன்னார்வலர்கள்	داوطلبان
தன்னார்வலர்கள்	داوطلب
மடகாஸ்கர்	ماداگاسکار
கேள்	بپرس
நார்னியா	نارنیا
துணிகளை	لباسها
துணிகளை	لباس
துணிகளை	لباسهای
பஜார்	بازار
போஸ்லே	بهوسله
உடம்பு	مریض
உடம்பு	بیمار
உடம்பு	مریضی
கண்களால்	چشمها
கண்களால்	چشمانی
கண்களால்	چشم
கண்களால்	چشمان
கால்டுவெல்	کالدول
மாத்திரைகள்	قرص
கோல்ஃப்	گلف
ஆதித்யா	آدیتیا
அரக்கு	مارون
வாடி	وادی
மாதாந்திர	ماهانه
மாதாந்திர	ماهنامه
மாதாந்திர	ماهیانه
எழுது	نوشت
எழுது	نویسند
எழுது	نوشتن
எழுது	بنویسید
எழுது	بنویسد
எழுது	نگارش
எழுது	سرودن
எழுது	سوخت
எழுது	سوختگی
எழுது	سوختن
எழுது	سوزاندن
பிரயன்	براین
பிரயன்	برایان
பிரயன்	براین
பிரயன்	برایان
பிரயன்	بریان
ராஜினாமா	استعفای
ராஜினாமா	استعفاء
ராஜினாமா	استعفا
பவள	کورال
பவள	مرجان
பவள	مرجانی
நைஜல்	نایجل
ஆதாயம்	منفعت
அறிவிப்புகள்	notifications
அறிவிப்புகள்	اعلان
ஓரம்	حاشیه
ஓரம்	لبه
ஓரம்	مرزی
ஓரம்	مرزبانی
ஓரம்	مرز
ஓரம்	لبۀ
பிளேர்	بلیر
பிளேர்	بلر
ஐன்ஸ்டீன்	اینشتین
ஐன்ஸ்டீன்	انیشتین
சந்தர்ப்பத்தில்	مناسبت
கிளீசு	گلیز
தொண்டர்கள்	داوطلبان
தொண்டர்கள்	داوطلب
அரட்டை	گپ
அரட்டை	گپی
தீபிகா	دیپیکا
உணரி	سنسور
உணரி	حسگر
பேரம்	معامله
குயின்	queen
குயின்	ملکه
குயின்	بیبی
பாக்தாத்	بغداد
சட்டவிரோத	غیرقانونی
சிக்கலானது	پیچیدگی
சிக்கலானது	بحرانی
சிக்கலானது	انتقادی
சிக்கலானது	حیاتی
சிக்கலானது	پیچیده
ட்விட்டர்	توئیتر
ட்விட்டர்	twitter
ட்விட்டர்	تویتر
ட்விட்டர்	توییتر
புறக்கணிப்பு	تحریم
உணர்	احساس
உணர்	حس
கோகோ	کوکو
கையடக்க	دستی
பிளஸ்	پلاس
பாசிச	فاشیست
பாசிச	فاشیستی
பரிவு	دلسوزی
பரிவு	همدردی
பூட்டி	تاراج
பூட்டி	غنیمت
அஜந்தா	آجانتا
எமினெம்	امینم
கொட்டும்	ریزان
பாப்லோ	پابلو
தூக்கம்	خوابم
தூக்கம்	خواب
மீட்பர்	ناجی
மீட்பர்	منجی
கூறினார்கள்	ضامن
கழி	تفریق
சமஸ்கிருதத்தில்	سانسکریت
மாலுமிகள்	ملوان
கவர்	کاور
கவர்	جلد
கவர்	پوشش
அண்ட்ராய்டு	android
அண்ட்ராய்டு	اندروید
ருவாண்டா	رواندا
வியர்வை	عرق
சந்ததி	فرزندانی
சந்ததி	اولاد
சந்ததி	فرزند
சந்ததி	زاد
ஞானத்தை	حکمت
ஞானத்தை	حکمتی
தகுதியான	انتخابش
புரட்சிகரமான	انقلابی
குறிக்கோள்கள்	اهداف
பொதுவானது	عمومی
பொதுவானது	علنی
பொதுவானது	همگانی
பொதுவானது	public
விக்	گیس
விக்	ویک
வெறி	ناامید
டாய்	دای
பாலும்	شیر
பாலும்	میلک
அடித்தல்	ویپ
அடித்தல்	شلاق
கில்பர்ட்	گیلبرت
குழப்பமான	آشفتگی
குழப்பமான	آشوب
குழப்பமான	پریشان
குழப்பமான	گیج
குழப்பமான	سردرگم
குழப்பமான	آشفته
குழப்பமான	تشویش
ராசி	رضی
ராசி	razi
ராசி	رازی
ராசி	زودیاک
ஓரி	ori
வரிவிதிப்பு	مالیات
கொக்கோ	کوکو
கொக்கோ	کاکائو
எட்கர்	ادگار
பலவீனம்	ضعف
அழைப்பிதழ்	دعوت
அழைப்பிதழ்	دعوتنامه
பந்துவீச்சு	بولینگ
அசைடு	آزید
வெளியீட்டாளர்	ناشر
வெளியீட்டாளர்	فرستنده
வெளியீட்டாளர்	صادرکننده
சோபியா	سوفیا
நொடிகள்	ثانیه
நொடிகள்	سک
கடல்கள்	دریاها
டிசைன்	دیزاین
டிசைன்	طرح
டிசைன்	طراحی
வரம்புகள்	محدودیتهای
வரம்புகள்	محدودیتها
வரம்புகள்	محدودیت
வரம்புகள்	محدودیتها
வரம்புகள்	محدودیت
பிசின்	رزین
நேப்பியர்	نپر
மார்ஸ்	مریخ
மார்ஸ்	مارس
உடைகளை	لباسها
உடைகளை	لباس
உடைகளை	لباسهای
சிலிகான்	سیلیکونی
சிலிகான்	سیلیکون
பரம	param
சேத்	سث
சேத்	سِت
துயரம்	غمت
துயரம்	غم
துயரம்	اندوه
துயரம்	غصه
குணமாகும்	شفا
சுட்டிக்காட்டி	شاخص
பசை	چسب
ராய்ட்டர்ஸ்	رویترز
ரெனே	رنه
சைனா	چین
வினவல்	پرس
பாதுகாவலர்	خادم
பாதுகாவலர்	حفاظت
பாதுகாவலர்	پناه
பாதுகாவலர்	محافظت
யாம்	یام
எக்குவடோர்	اکوادور
மிமி	میمی
கார்ட்டர்	کارتر
அணிகலன்	زینتی
தன்னம்பிக்கை	دلگرم
வாரிசுகள்	وارث
மரியானா	ماریانا
லூசியா	لوسیا
சாட்சிகள்	شاهدان
சாட்சிகள்	شاهدین
விறகு	هیزم
கடன்களை	بدهی
கேட்ஸ்	گیت
கேட்ஸ்	گیتس
கேட்ஸ்	گربه
பாண்டே	پاندی
மகளின்	دختر
கடி	گاز
ஸ்கேன்	اسکن
ஸ்கேன்	پویش
கற்பிக்க	تدریس
சஹாரா	صحرا
சஹாரா	صحرای
நேட்டோ	ناتو
மெஸ்ஸி	مسی
கிராபிக்ஸ்	نگارهای
கிராபிக்ஸ்	گرافیک
கிராபிக்ஸ்	گرافیکی
பெர்லிஸ்	پرلیس
டாங்	دانگ
டாங்	دنگ
டாங்	تانگ
டாங்	تنگ
டாங்	دونگ
உனது	شما
வெளிப்படுத்தல்	disclosure
வெளிப்படுத்தல்	فاش
வெளிப்படுத்தல்	افشاگری
வெளிப்படுத்தல்	افشاء
நெருக்கம்	تراکم
முகமட்	mohd
உண்பது	خوردن
உண்பது	خوری
ஜொனாதன்	جاناتان
ஈர	مرطوب
ஈர	خیس
அனுப்புதல்	فرستادن
அனுப்புதல்	ارسال
இரகசியம்	محرمانه
இரகசியம்	محرمانه
இரகசியம்	رازی
இரகசியம்	راز
இரகசியம்	مخفی
உண்ணாவிரதம்	روزه
ஆலப்புழா	الاپوژا
தட்பவெப்பநிலை	اقلیم
எரித்திரியா	اریتره
ரோட்ஸ்	رودز
நாக்	تق
நாக்	نق
எலக்ட்ரானிக்	electronic
எலக்ட்ரானிக்	الکترونیکی
எலக்ட்ரானிக்	الکترونیک
கற்றாழை	آلو
கற்றாழை	آلوئه
வாக்குறுதி	قولی
வாக்குறுதி	قول
வாக்குறுதி	وعده
விசாரணைகள்	مکرر
மேட்ரிக்ஸ்	ماتریکس
மேட்ரிக்ஸ்	ماتریس
அறநெறி	اخلاقیات
அறநெறி	اخلاقی
அறநெறி	اخلاق
முன்னோட்டம்	خلاصۀ
முன்னோட்டம்	خلاصه
முன்னோட்டம்	پیشنمایش
சாவி	کلید
சாவி	کلیدی
பிடிக்கவில்லை	ناخوش
சிறுவயது	کودکی
சிறுவயது	بچگی
உருகி	فیوز
நினைவிடம்	یادبود
நினைவிடம்	مموریال
நாண்	کورد
ஜோஷ்	جاش
தினந்தோறும்	روزانه
தினந்தோறும்	daily
தினந்தோறும்	دیلی
கல்லூரியை	کالج
கல்லூரியை	دانشکده
கல்லூரியை	دانشگاه
கல்லூரியை	دانشگاهی
பரிந்துரைக்க	پیشنهاد
முல்லர்	مولر
முல்லர்	مولر
ஏலக்காய்	هل
தீர்மானங்கள்	تصمیم
தீர்மானங்கள்	تصمیمات
மாலினி	مالینی
குற்றங்களை	گناهان
குற்றங்களை	خطاهای
குற்றங்களை	جنایات
குற்றங்களை	جرایم
குற்றங்களை	جرائم
சுட்ட	پخته
டைட்டன்	تیتان
டைட்டன்	تایتان
பிராண்ட்	براند
பிராண்ட்	برند
இலவங்கப்பட்டை	دارچینی
இலவங்கப்பட்டை	دارچین
நொடி	سک
தட்டுகள்	بشقاب
சீரம்	سرم
சீரம்	سرمی
இசைக்கலைஞர்கள்	نوازنده
இசைக்கலைஞர்கள்	نوازندگان
விட்டாலும்	هرچند
விட்டாலும்	اگرچه
விட்டாலும்	گرچه
பெர்னான்டோ	فرناندو
பிக்சல்	پیکسل
உக்கிர	شدت
மனைவிகள்	همسران
சாயல்	سایه
சாயல்	سایه
வருணன்	وارونا
ஜெரோம்	جروم
போதெல்லாம்	هروقت
தாரிக்	طارق
தனிமை	تنهایی
தனிமை	تنها
தனிமை	تنهای
தனிமை	تنهایی
பூசன்	بوسان
பாசுபேட்டு	فسفات
பெராக்சைடு	پراکسید
போலியான	تقلبی
போலியான	الکی
போலியான	زرشک
போலியான	جعل
போலியான	جعلی
வீடியோவில்	ویدیویی
வீடியோவில்	ویدئویی
வீடியோவில்	ویدیوی
வீடியோவில்	ویدئو
வீடியோவில்	ویدیو
வீடியோவில்	ویدئوی
முனைப்பு	ابتکار
அரும்	کارده
ரங்கா	رنگا
வெள்ளத்தில்	شدن
சந்திப்புகள்	جلسات
கரோல்	کرول
கரோல்	کارول
தோரியம்	توریم
தருக்க	منطقی
பைலட்	خلبان
பைலட்	راهبری
நகங்கள்	ناخن
நகங்கள்	میخ
தந்தம்	عاج
தந்தம்	تاسک
ஒட்டகம்	شتر
ஒட்டகம்	اشتر
ரோஷன்	roshan
ரோஷன்	روشن
கட்டில்	تخت
கட்டில்	تختخواب
கட்டில்	بستر
கட்டில்	رختخواب
ரான்	ران
ரான்	رون
தேவிகா	دویکا
அபுல்	ابول
மூக்கன்	اکراس
மன்	مان
பிரித்தானிக்கா	بریتانیکا
மர்மமான	اسرارآمیز
ஜில்	جیل
நிலவுகள்	ماهها
ஆதரவாளர்	یاور
ஆதரவாளர்	حامیان
அசிசி	آسیزی
ஸ்பா	چشمه
ஸ்பா	اسپا
பூக்களை	گل
பூக்களை	گلها
கைதி	زندانی
கைதி	اسیر
கைதி	اسیری
கைதி	زندانیان
கைதி	زندان
நிமிடத்திற்கு	دقیقه
நேபாளி	نپالی
உலகங்கள்	جهانیان
உலகங்கள்	دنیاها
உலகங்கள்	دنیاهای
முறைகேடு	سوءاستفاده
பவுண்ட்	پوند
மரடோனா	مارادونا
இணக்கமான	سازگار
ஸ்மார்ட்	باهوش
ஸ்மார்ட்	اسمارت
ஸ்மார்ட்	زرنگی
ஸ்மார்ட்	هوشمند
ஸ்மார்ட்	زرنگ
ஸ்மார்ட்	هوشمندانه
கொடு	بده
கானல்	میراژ
கானல்	سراب
கானல்	سرابی
கலந்தாய்வு	مشاوره
நீராற்பகுப்பு	آبکافت
மாலுமி	ملوان
விஷால்	vishal
சுங்க	گمرک
அதிருப்தி	ناراضی
ஓட்டும்	رانندگی
சத்துக்கள்	مغذی
ரியாத்	ریاض
கார்ப்பரேட்	شرکتی
கார்ப்பரேட்	شرکت
இடுப்பில்	داشتن
அடுத்தது	بعدی
அடுத்தது	next
விஞ்சிய	متعالی
தியாகிகள்	شهید
வெட்டுதல்	بریدن
வெட்டுதல்	بریدگی
முழங்கால்	زانو
ஏரோது	هیرود
உதவிகரமாக	مفید
டிரினிடாட்	ترینیداد
ஹெர்பர்ட்	هربرت
சல்மா	سلما
கேரியர்	فروز
கேரியர்	حامل
தோல்வியுற்றது	خرابی
பேசவும்	حرف
கினபாலு	کینابالو
தொட்டிகள்	قابلمه
தொட்டிகள்	دیگ
உறைந்த	منجمد
பருவமழை	موسمی
நிறைவேறியது	تمامیت
நிறைவேறியது	تحقق
பிந்து	بیندو
கால்களும்	پاهای
கால்களும்	پایی
சால்	سل
சால்	سال
சால்	sal
யுனிவர்சிட்டி	univ
பறிமுதல்	مصادره
சும்மா	فقط
இஸ்தான்புல்	استانبول
ஆண்ட்ராய்டு	android
ஆண்ட்ராய்டு	اندروید
காசிம்	قاسم
செலுத்தல்	تغذیه
செலுத்தல்	خوراندن
உதவித்தொகை	تحقیقی
உதவித்தொகை	بورسیه
வெலிங்டன்	ولینگتون
பென்ஸ்	پنس
பென்ஸ்	بنز
பென்ஸ்	benz
ஹெல்த்	سلامت
ஹெல்த்	بهداشت
ஹெல்த்	health
ஹெல்த்	سلامتی
நத்தை	حلزون
பாவ்	پنجه
சட்டவிரோதமாக	غیرقانونی
சட்டவிரோதமாக	غیرقانونی
பேசுபவர்கள்	گوینده
அலசி	توصیف
மோதிரம்	حلقه
மோதிரம்	رینگ
மோதிரம்	انگشتر
குண்டுவெடிப்பு	بمبگذاری
குண்டுவெடிப்பு	بمباران
புகார்கள்	شکایتی
புகார்கள்	شکایت
புகார்கள்	شکایات
புகார்கள்	دادخواهی
சீருடை	یونیفرم
சீருடை	یونیفورم
பதப்படுத்தப்பட்ட	پردازش
பிளேட்டோ	افلاطون
தன்னியக்க	اتوماتیک
தன்னியக்க	خودکار
ஆர்ப்பாட்டம்	تظاهرات
கிருமிகள்	میکروب
நீட்டி	ext
கடந்தது	past
கடந்தது	گذشته
ஹெய்டி	هائیتی
பதிமூன்று	سیزده
பதிமூன்று	thirteen
ஸ்பென்சர்	اسپنسر
அப்பு	آپو
மெட்டா	متا
பார்க்கிறார்	مشاهده
பார்க்கிறார்	مشاهدۀ
எதிர்ப்புகள்	اعتراضات
தூக்கமின்மை	بیخوابی
ஒளிர்வு	روشنی
ஒளிர்வு	روشنایی
ஆலிவ்	آلیو
ஆலிவ்	زیتونی
ஆலிவ்	زیتون
செருமேனியம்	ژرمانیم
பொதுவானவை	عمومی
பொதுவானவை	ژنرال
பொதுவானவை	جنرال
அட்கின்சன்	اتکینسون
இசுட்ரோன்சியம்	استرانسیم
அகரவரிசை	الفبا
அகரவரிசை	الفبای
இனிமையான	شیرین
மலர்களை	گل
மலர்களை	گلها
வேட்டையாடி	هانتر
வேட்டையாடி	شکارچی
நினைவாற்றல்	خاطره
நினைவாற்றல்	حافظه
நினைவாற்றல்	حافظۀ
அபூ	ابو
காற்றோட்டம்	هوادهی
பாங்காக்	بانکوک
புளூட்டோ	پلوتو
டாஸ்	dos
டாஸ்	دوس
புடவை	ساری
புடவை	sari
பைகள்	کیسه
சீர்குலைவு	جدائی
வைக்கிங்	وایکینگ
வைக்கிங்	وایکینگها
வைக்கிங்	وایکینگ
ஹீலியம்	هلیم
ஹீலியம்	هلیوم
உணர்கிறேன்	احساس
உணர்கிறேன்	حس
உணர்கிறேன்	احساس
உணர்கிறேன்	حس
உணர்கிறேன்	احساسش
நீரூற்று	فواره
நீரூற்று	سرچشمه
நீரூற்று	چشمه
சூரியகாந்தி	آفتابگردان
மறைக்கப்பட்ட	پنهان
மறைக்கப்பட்ட	مخفی
மாடியில்	کف
மாடியில்	کفپوش
மாடியில்	طبقه
பிராட்வே	برادوی
எர்வின்	آروین
எர்வின்	اروین
ஆண்டிமனி	آنتیموان
கார்ல்சன்	کارلسون
உறுதிப்பாடு	تاییدیه
உறுதிப்பாடு	تأیید
உறுதிப்பாடு	تصدیق
கேத்தரின்	کاترین
கொம்	hom
சந்து	شکاف
சந்து	شکافها
பேப்பர்	کاغذ
அரிஸ்டாட்டில்	ارسطو
தாலிபான்	طالبان
மன்னிக்கவும்	متاسفم
அதிசயங்கள்	شگفتیهای
அதிசயங்கள்	عجایب
கார்பைடு	کاربید
ஐயன்	یون
ஐயன்	یونی
சொல்லப்பட்டது	معین
ஈரோஸ்	اروس
சாராயம்	مشروبات
சாராயம்	مشروب
ஏஞ்சல்	آنجل
ஏஞ்சல்	فرشته
ஏஞ்சல்	انجل
கறையான்	موریانه
லிஸ்பன்	لیسبون
சங்	چونگ
சங்	چئونگ
சங்	sang
சங்	سنگ
சங்	آواز
சங்	سانگ
கார்சியா	گارسیا
கார்சியா	گارسیا
ஒண்டாரியோ	انتاریو
சயனைடு	سیانید
கற்பூரம்	کافور
வஸ்தோக்	وستوک
வாத்தியம்	سازی
சாண்டா	سانتا
சாண்டா	بابانوئل
சாண்டா	santa
சாம்பியா	زامبیا
கராத்தே	کاراته
போரா	بورا
அட்மிரல்	آدمیرال
அட்மிரல்	دریاسالار
போதனைகள்	تعالیم
போதனைகள்	آموزشهای
கட்டளையை	فرمان
அட்லாண்டா	آتلانتا
கோப்	کاب
கோப்	کوپ
பீன்	بین
பீன்	لوبیا
பீன்	لوبیای
மில்டன்	میلتون
தொடர்பில்லாத	منفصل
தொடர்பில்லாத	آفلاین
புளோரன்ஸ்	فلورنس
புளோரன்ஸ்	فلورانس
மேஜிக்	جادویی
மேஜிக்	جادو
மேஜிக்	سحر
மேஜிக்	جادوی
நொதுமி	نوترون
கழுகுகள்	عقاب
கழுகுகள்	عقابها
கழுகுகள்	ایگلز
இடம்பெயர்ந்த	زوال
கிரண்	کیران
தொடுதல்	لمس
தொடுதல்	تاچ
வேதனை	مجازات
வேதனை	پنالتی
வேதனை	مجازات
வேதனை	تنبیه
நைட்ரோ	نیترو
கோக்	کوک
கோக்	نوشابه
கோக்	کوکا
தயாரிப்பை	فرآورده
தயாரிப்பை	محصول
தயாரிப்பை	ضرب
தயாரிப்பை	حاصل
வார்ப்பு	چارچوب
வார்ப்பு	چهارچوب
விரும்புகிறார்	میخواهد
தெரசா	ترسا
தெரசா	تریسا
தெரசா	ترزا
செலவாகும்	هزینه
ஜெரால்ட்	جرالد
டிரைவர்	راننده
டிரைவர்	گرداننده
கஞ்சா	طبی
குறிமுறை	کد
காரணமும்	دلیلی
காரணமும்	علت
காரணமும்	دلیل
பொலோனியம்	پولونیم
பேரி	گلابی
சேவையகம்	میزبان
சேவையகம்	سرور
சேவையகம்	کارساز
சேவையகம்	کارگزار
உருப்படி	فقره
முகாம்கள்	اردوگاه
ராக்கி	راکی
சிராஜ்	سراج
எரிப்பு	اخراج
ஹுசைன்	حسین
சோதி	بررسی
ராஜ்ய	راجیا
சாம்சங்	سامسونگ
சாம்சங்	samsung
பூல்	بیلیارد
பூல்	استخری
பூல்	استخر
ரீயூனியன்	گردهمایی
சாப்ளின்	چاپلین
பிரின்ஸ்டன்	پرینستون
ராமா	راما
சகுந்தலா	شکونتلا
ஈமு	emu
வெனிசுலா	ونزوئلا
செங்கோல்	اسکپتر
பாமக	کامروا
மெரினா	مارینا
சீரியம்	سریم
ஜான்ஸ்	جانز
இருமுனையம்	دیود
ஐவரி	عاج
காகா	کاگا
காகா	گاگا
நியோ	نیو
நியோ	نئو
டங்கன்	دانکن
விரட்டி	دفع
கதாநாயகி	شیرزن
பெல்லாரி	بلاری
காதுகள்	گوش
காதுகள்	گوشها
காதுகள்	گوشهای
பாட்டன்	باتون
ஹிந்துஸ்தான்	هندوستان
பாட்ரிக்	پاتریک
மலாவி	مالاوی
தோழமை	بورسیه
தோழமை	یاران
தோழமை	همدمی
தோழமை	رفاقت
தோழமை	مصاحبت
தோழமை	همراهی
பந்தம்	مشعل
தொடுதிரை	لمسی
அம்பர்	امبر
அம்பர்	آمبر
அம்பர்	کهربا
பதாகை	بنر
பதாகை	بیرق
வெள்ளெலி	همستر
பிரபலமானவை	عامه
பிரபலமானவை	محبوبه
பிரபலமானவை	محبوب
செல்டிக்	سلتیک
வெல்ஸ்	ولز
வான்கூவர்	ونکوور
நிக்கல்சன்	نیکلسون
யூரி	یوری
தாலியம்	تالیوم
ரேகா	رخا
கையிருப்பு	دستی
கிக்	ضربه
கிக்	لگد
கிக்	شوت
கொலைகள்	قتلهای
சமச்சீரற்ற	نامتقارن
நொண்டி	لنگ
விண்கலத்தில்	فضانوردان
விண்கலத்தில்	فضانورد
நவீன்	ناوین
செம்மறி	گوسفند
செம்மறி	گوسفندی
நாற்றம்	بدبو
ப்ரோ	پرو
ப்ரோ	pro
ப்ரோ	حرفهای
சில்க்	سیلک
சில்க்	ابریشم
சில்க்	پرنیان
சில்க்	ابریشمی
சில்க்	حریر
நினைத்துக்	تفکر
நினைத்துக்	فکر
கிரேஸ்	فضل
கிரேஸ்	گریس
கலைஞன்	هنرمند
கலைஞன்	artist
கலைஞன்	هنرمندی
மீசை	سیبیل
மீசை	سبیل
கருணாநிதியின்	عزل
சட்டவியல்	فقه
யோசுவா	جاشوآ
யோசுவா	یوشع
யோசுவா	جاشوا
தினங்கள்	روزها
தினங்கள்	روزگار
தினங்கள்	روزهایی
தினங்கள்	روزای
தினங்கள்	روزهای
பிடித்தமான	محبوب
யமன்	یاما
யமன்	یما
ரேடார்	راداری
ரேடார்	رادار
ஹனோய்	هانوی
உமிழும்	ساطع
பிறரை	دیگران
பிறரை	دیگر
கிங்டம்	فرمانروایی
கிங்டம்	پادشاهی
தான்சானியா	تانزانیا
லெஸ்	لیس
லெஸ்	له
லெஸ்	les
லெஸ்	لز
லெஸ்	لس
முலை	سینه
முலை	ممه
லில்	لیل
நேரடியாகச்	مستقیما
நேரடியாகச்	مستقیماً
பிலிப்பினோ	فیلیپینی
தவறிய	انداخته
பகிர்தல்	اشتراک
ஒன்றாய்	باهم
விபத்துக்கள்	تصادفات
விபத்துக்கள்	حوادث
பார்க்கிறேன்	نظاره
பார்க்கிறேன்	مراقبه
பார்க்கிறேன்	تماشای
மெல்	جویدن
நவாஸ்	نواز
அஸ்பாரகஸ்	مارچوبه
முதுகுநாணி	طنابداران
ஆசிரமத்தில்	آشرام
நிர்வாண	عریان
நிர்வாண	لختی
நிர்வாண	برهنه
நிர்வாண	لخت
நிர்வாண	برهنه
நிர்வாண	لختی
நிர்வாண	لخت
பாதங்கள்	پاهای
பாதங்கள்	پایی
புனைபெயர்	تخلص
பிளமேன்கோ	فلامنکو
கோரல்	کورال
கோரல்	مرجان
கோரல்	مرجانی
நியான்	نئون
தூசி	غبار
தூசி	خاک
புதையல்	گنجینه
புதையல்	گنج
அரைக்கோளம்	نیمکره
பூன்	عطیه
ஹமாஸ்	حماس
நீள்வட்டம்	بیضی
மாருதி	ماروتی
வியட்நாமிய	ویتنامی
புதிது	تازه
புதிது	نو
புதிது	جدید
புதிது	نیو
புரிந்தான்	پَست
கண்டிப்பான	اکید
பிலிப்ஸ்	فیلیپس
ஐஸ்லாந்து	ایسلند
அன்புள்ள	عزیز
அன்புள்ள	جانم
அன்புள்ள	عزیزم
இதயத்தை	قلبی
இதயத்தை	دل
இதயத்தை	قلب
உயர்வாக	بالاتری
உயர்வாக	بالاتر
கண்ணை	چشم
கண்ணை	چشمی
கூட்டாளிகள்	شرکا
கூட்டாளிகள்	شریکان
கூட்டாளிகள்	شرکای
ஒரிஜினல்	اصیل
ஒரிஜினல்	اصلی
ஒரிஜினல்	اوریجینال
பைத்தான்	پایتون
பைத்தான்	پیتون
கோலாப்பூர்	کولاپور
சோம்பல்	تنبل
சோம்பல்	کسالت
சோம்பல்	تنبلی
சோம்பல்	تنبلی
கிரீக்	یونان
கிரீக்	یونانی
என்ஜின்	موتور
உள்நோக்கம்	قصدی
உள்நோக்கம்	قصدم
உள்நோக்கம்	قصد
இதழும்	گلبرگ
சூழ்ச்சி	رسم
சூழ்ச்சி	نیرنگ
மல்லிகா	مالیکا
வாஜ்பாய்	واجپایی
ஆடம்பர	دلخوشی
ஆடம்பர	luxury
பேசுகிறார்கள்	حرف
சமாரியம்	ساماریم
குவாம்	گوام
கோமஸ்	گومز
சான்றிதழ்கள்	گواهینامه
சான்றிதழ்கள்	گواهی
மொராதாபாத்	مرادآباد
மறுத்தல்	چشمپوشی
கிளிக்	کلیک
ஆயுட்காலம்	عمری
ஆயுட்காலம்	عمره
ஸ்ட்ரீம்	جریان
ஸ்ட்ரீம்	جریانی
தாடை	فک
தாடை	آرواره
தாடை	چونه
ஓவன்	آون
ஓவன்	اوون
