рекомендовано	แนะนำ
якір	สมอ
якір	สม
кнопка	กระดุม
кнопка	ปุ่ม
важіль	โยก
кертіс	ติส
гюнтер	günter
гюнтер	günther
ненависті	เกลียด
порошку	แป้ง
порошку	ผง
вигідно	กำไร
щасливе	สุขใจ
щасливе	ดีใจ
щасливе	แฮปปี้
легенду	ตำนาน
легенду	legend
солодкий	หวานๆ
солодкий	หวาน
архангельська	arkhangelsk
геральдики	heraldic
крік	รีก
елен	hélène
гарт	ฮาร์ท
гарт	ฮาร์ต
свен	sven
тампере	tampere
лодзь	łódź
свідок	พยาน
плавно	เรียบ
темне	เข้ม
темне	มืด
небезпеці	อันตราย
били	จังหวะ
били	ตี
били	เอาชนะ
били	ชนะ
слоган	สโลแกน
слоган	slogan
вивели	หมั้น
вибухом	ระเบิด
крісла	เก้าอี้
ланцюжок	ลูกโซ่
ланцюжок	โซ่
трудове	แรงงาน
трудове	labour
вставити	แทรก
вставити	วาง
вставити	แปะ
господиня	เม่า
авторська	ซอง
авторська	ซุง
датчик	เซ็นเซอร์
ворон	raven
просили	ถาม
відьма	แม่มด
цифрове	ดิจิตอล
цифрове	digital
ремі	rémy
ремі	remi
роттердам	rotterdam
еллі	ซอย
еллі	ตรอก
бет	เบ็ธ
бет	เบ็ท
бет	เบ็ต
бет	เบธ
поцілунок	จูบ
поцілунок	kiss
ритуали	พิธีกรรม
муром	moor
фантазія	จินตนาการ
повноцінного	ครบ
чисте	บริสุทธิ์
сула	sula
місячні	พระจันทร์
місячні	มูน
місячні	เพ็ญ
свиня	หมู
зуб	ฟัน
цензура	เซ็นเซอร์
рахунки	บัญชี
яблуко	แอปเปิล
яблуко	apple
парана	paraná
заповнити	กรอก
заповнити	เติม
виводять	โต้ตอบ
виводять	ปฏิกิริยา
родами	เพศ
контактна	ติดต่อ
новости	novosti
данська	เดนมาร์ก
віскі	วิสกี้
віскі	วิสกี้
критична	วิกฤติ
критична	วิกฤต
обчислити	ประเมิน
обчислити	คำนวณ
зайнятість	ยุ่งๆ
зайнятість	ยุ่ง
солдатам	ทหาร
естафета	ถ่ายทอด
естафета	ผลัด
самотні	เหงา
блювання	อาเจียน
електрика	ไฟฟ้า
електрика	รถไฟฟ้า
електрика	ไฟฟ้า
ребро	ขอบ
ребро	edge
пробував	พยายาม
довіра	มั่นใจ
довіра	ใจ
довіра	ไว้ใจ
вітання	สวัสดี
вітання	ทักทาย
діловий	ธุรกิจ
діловий	กิจการ
бібліотекар	บรรณารักษ์
дрю	ดรูว์
дрю	ดรูว
полярна	polaris
імаго	imago
фонтани	น้ำพุ
будиночок	กระท่อม
будиночок	โดยสาร
гарячка	ไข้
генетичний	พันธุกรรม
автобіографія	อัตชีวประวัติ
оленою	หัตถกรรม
досвідчені	ประสบ
пружини	สปริง
пружини	น้ำพุ
стегна	ขาอ่อน
лава	ลาวา
пензля	แปรง
значок	เครื่องหมาย
значок	ตรา
значок	คอน
значок	ไอคอน
едуардо	eduardo
лекція	บรรยาย
близьке	crush
близьке	ปิ๊ง
близьке	ขยี้
імхо	เอ้อ
імхо	ก็
імхо	เออ
імхо	ดี
імхо	ก้อ
імхо	อืม
зацікавлений	สนใจ
лиса	โล้น
скарг	บ่น
запитав	ถาม
килим	พรม
килим	พรม
сталий	ยั่งยืน
крадіжки	โจรกรรม
бетон	คอนกรีต
дорожні	ถนน
дорожні	road
цитування	อ้างอิง
цитування	คำคม
листок	ใบไม้
хірургія	ศัลยกรรม
хірургія	ผ่าตัด
італо	italo
товста	หนา
товста	หนาๆ
троянда	rose
троянда	กุหลาบ
троянда	โรส
троянда	โร
стабільний	คงที่
стабільний	นิ่ง
стабільний	มั่นคง
рен	reine
забрала	ถ่าย
забрала	กลืน
тайм	เวลา
євдокія	heliopolis
запросити	ชวน
запросити	เชิญ
лаосу	ลาว
віченца	vicenza
їли	กิน
їли	กิน
конде	conde
завершене	สมบูรณ์
завершене	ครบ
черепашки	เต่า
чень	เฉิน
мухи	แมลงวัน
навчити	สอน
фермент	เอนไซม์
дотик	touch
дотик	แตะ
дотик	ทัช
дотик	สัมผัส
єви	อีฟ
єви	eve
успадкування	มรดก
згодні	ยินยอม
мвф	imf
пластові	ดึกดำบรรพ์
пластові	ฟอสซิล
пластові	ซากดึกดำบรรพ์
тензор	tensor
датчики	เซ็นเซอร์
сітку	กริด
брі	บรี
брі	bree
запрошують	เชิญ
круто	เท่ห์
круто	เท่
круто	เจ๋ง
круто	เย็น
шістнадцять	sixteen
метелики	ผีเสื้อ
пйотр	piotr
вимушена	บังคับ
пластику	พลาสติก
божевільний	วิกลจริต
зайві	พิเศษ
відмічені	แท็ก
свердловська	sverdlovsk
гаразд	โอเค
спам	spam
спам	สแปม
натяк	ใบ้
англієць	บริติช
англієць	อังกฤษ
вон	วอน
вон	ชนะ
грек	กรีก
герцогів	dukes
статистикою	สถิติ
цегла	อิฐ
душею	วิญญาณ
елементарні	ประถม
елементарні	มูลฐาน
купила	ซื้อ
чуття	sense
сидячи	นั่ง
сидячи	นั่ง
кишені	คลิปบอร์ด
впевненість	มั่นใจ
кошик	ตะกร้า
порох	ดินปืน
закінчилась	จบ
закінчилась	โอเวอร์
закінчилась	เหนือ
фургон	แวน
укриття	ที่พัก
зненацька	ทันใด
тоталітарних	totalitarian
виклики	ท้าทาย
покупки	ชอปปิ้ง
сидіти	นั่ง
бан	แบน
обіцянку	สัญญา
атрибутів	คุณลักษณะ
напрямах	ง่าม
гольф	กอล์ฟ
розважальний	นันทนาการ
розважальний	สันทนาการ
сни	ฝัน
зак	zac
зак	แซบ
зак	แซ
зак	แซก
зак	แซค
зак	แซ็ก
зак	แซ็ค
моне	monnet
олівера	oliveri
коротше	สั้น
молодою	ยัง
караван	คาราวาน
кинули	โยน
голландська	ดัตช์
хлопчики	หนุ่มๆ
тканину	ผ้า
пропущених	ข้าม
лан	เลนส์
бензин	เบนซิน
бензин	น้ำมัน
нео	neo
шина	รถเมล์
шина	ดาม
шина	ยาง
като	kato
пиріг	พาย
артерій	embolization
колонки	คอลัมน์
новина	ข่าวสาร
новина	ข่าว
відсотки	เปอร์เซนต์
відсотки	เปอร์เซ็นต์
відсотки	เปอร์เซ็นต์
відсотки	ดอกเบี้ย
відсотки	สนใจ
позбавили	ขาดแคลน
альбер	อัลเบิร์
альбер	อัลเบิร์ต
їсть	กิน
симпатії	เห็นใจ
бмд	bmd
бажаючих	เต็มใจ
рамі	rami
отрута	พิษ
хочеш	อยาก
хочеш	ต้องการ
хочеш	อยาก
бонд	พันธบัตร
бонд	สายใย
бонд	บอนด์
бонд	พันธะ
фрейзер	frazier
пастор	หลวง
тісто	แป้ง
вазарі	vasari
етюди	études
диктатор	เผด็จการ
внук	หลาน
глобальний	โกลบอล
глобальний	global
справедливий	แฟร์
справедливий	ยุติธรรม
раб	ทาส
пацієнт	คนไข้
пацієнт	อดทน
голуба	พิราบ
бурштин	อำพัน
студентка	นักเรียน
студентка	นักศึกษา
блейк	เบลค
блейк	เบลก
блейк	ลค
астрахань	astrakhan
маркес	marques
підкорили	พิชิต
уго	ugo
наліт	จุลินทรีย์
позитивне	บวก
сліпих	บอด
сліпих	ตาบอด
дерек	เดเร็ก
дерек	เดเรก
коші	cauchy
анатоль	anatole
кабардино	kabardino
направлення	อ้างอิง
дебати	โต้วาที
абзац	ย่อหน้า
роса	กุหลาบ
роса	น้ำค้าง
сід	ซิด
сакура	ซากุระ
сміх	หัวเราะ
сміх	หัวเราะ
діксон	dickson
мехмед	mehmed
подушки	หมอน
окленд	oakland
велосипедів	จักรยาน
надійний	ไว้ใจ
дзеркал	กระจก
сповідь	สารภาพ
жерайс	gerais
напишіть	เขียน
гога	โก๊ะ
шлюз	เกตเวย์
розумна	ฉลาด
вірю	เชื่อ
вірю	ศรัทธา
вчиться	เรียน
вусики	หนวด
мішок	sac
мішок	ถุง
мішок	กระเป๋า
мішок	แบ็ค
мішок	กระสอบ
алкоголь	เหล้า
алкоголь	แอลกอฮอล์
закинув	โยน
кілограм	กิโลกรัม
красива	สวยๆ
красива	สวย
красива	สวยงาม
красива	งดงาม
мирна	mirna
популяризацію	บัณฑิต
відкинути	ละทิ้ง
відкинути	ละทิ้ง
відкинути	ทิ้ง
відкинути	ยกเลิก
відкинути	ปฏิเสธ
класифікувати	จำแนก
дитяче	กุมาร
дитяче	เด็ก
кенгуру	จิงโจ้
тягар	ภาระ
кульки	ลูกบอล
кульки	บอลลูน
поєднані	ผูกพัน
яскрава	สดใส
яскрава	สว่าง
яскрава	ดังๆ
яскрава	ดัง
розумні	ฉลาด
флориді	ฟลอริดา
небезпечна	อันตราย
тен	ten
тен	สิบ
дисплей	แสดง
конус	กรวย
конус	โคน
горн	แตร
гостя	แขก
контур	พาธ
контур	ย่อ
гарячий	ร้อนๆ
гарячий	ร้อน
гарячий	hot
солідарність	สามัคคี
усмішка	ยิ้ม
усмішка	smile
сала	ศาลา
оновлюється	สดชื่น
бензиновий	น้ำมัน
податкова	ภาษี
їздити	ขี่
шульга	southpaw
турецькою	ตุรกี
серйозна	จริงจัง
злодій	ขโมย
злодій	โจร
консоль	คอนโซล
позбавив	ขาดแคลน
ура	เร่
ура	เย
ура	เย่
сорочка	เสื้อ
текстовий	ข้อความ
георге	gheorghe
профілі	โปรไฟล์
бітів	บิต
чарівник	มายากล
столи	ตาราง
столи	โต๊ะ
перетнув	ข้าม
урочиста	missa
бориспіль	boryspil
підбір	พอดี
підбір	ฟิต
підбір	fit
трибун	ทริบูน
дунаї	donau
атрибут	คุณลักษณะ
цунамі	tsunami
обом	ทั้ง
генрик	henryk
викрадає	ลักพา
попросити	ถาม
попросити	สอบถาม
малює	วาด
нумерація	numeration
одноголосно	เอกฉันท์
звички	นิสัย
звички	นิสัย
таблички	แท็บเล็ต
фунт	ปอนด์
рози	กุหลาบ
діас	diaz
зграї	แพ็ค
маску	หน้ากาก
організатора	จัด
акумулятор	แบตเตอรี่
акумулятор	accumulator
дісней	ดิสนีย์
лічильник	เคาน์เตอร์
лічильник	counter
мінливість	variability
горить	เบิร์น
спробуйте	ลอง
консервативна	อนุรักษนิยม
янош	jános
клієнтами	ลูกค้า
клієнтами	ลูกค้า
ватикані	วาติกัน
карі	kari
зручні	เพลิน
зручні	สะดวก
зручні	สบาย
зручні	สบายใจ
сталінський	stalinist
молодшої	คุณธรรม
мокра	เปียก
мокра	wet
економія	เศรษฐกิจ
енні	annie
сумно	เศร้าๆ
сумно	เศร้า
звір	อสูร
звір	สู
дужки	วงเล็บ
дужки	วงเล็บ
гаряче	ร้อนๆ
гаряче	ร้อน
гаряче	hot
мантії	อาภรณ์
кай	kai
кай	ไค
точним	แม่นยำ
бертон	burton
смаки	ถั่ว
пророків	ศาสดา
пропустити	ข้าม
випадковий	มั่ว
випадковий	สุ่ม
фіолетовий	ม่วง
нак	nac
присвяченого	ทุ่มเท
мексиканська	เม็กซิโก
диктатура	เผด็จการ
мартиролог	martyrology
тераса	ระเบียง
виплат	คูปอง
типографія	typography
заробляти	earn
заробляти	ขวนขวาย
домініканський	โดมินิกัน
рахувати	จำนวนนับ
рахувати	นับ
катрін	katrin
загадка	ลึกลับ
загадка	ปริศนา
загадка	ลี้ลับ
загадка	ปริศนา
прозорі	โปร่งแสง
прозорі	โปร่งใส
прозорі	โปร่ง
етно	ชาติพันธุ์
місток	สะพาน
місток	บริดจ์
гандболу	แฮนด์บอล
фріулі	friuli
арія	เรีย
синтаксису	ไวยากรณ์
непомітно	สลิป
непомітно	หลุด
непомітно	slip
мікро	micro
мікро	ไมโคร
вагітна	ท้อง
доповнена	สิทธิ์
водиться	ภูติ
копіювати	สำเนา
мотузки	เชือก
скарбниця	คลัง
корнеліс	cornelis
регістр	กรณี
регістр	case
регістр	คดี
шотландська	สกอตแลนด์
трансфер	โอน
геофізики	biophysics
духи	หอน
вухо	หู
плавати	ว่าย
надіслати	ส่ง
надіслати	ส่ง
трафік	จราจร
ролик	ผลิต
ліхтарі	ไฟ
ліхтарі	แสง
голий	เปลือย
відчути	รู้สึก
йога	โยคะ
спить	นอน
мена	mena
лінкори	เรือรบ
ланд	landes
виправлено	ตายตัว
виправлено	ซ่อมแซม
лось	มูส
лір	lyre
спалахи	พลุ
отрути	พิษ
посадив	ปลูก
бідний	คนจน
бідний	ยากจน
ері	อริ
розсіяння	ลวดลาย
рівновага	สมดุล
кіш	kish
кран	เครน
кран	แตะ
кран	แท็ป
пляшка	ขวด
молота	ขว้าง
молота	โยน
небес	สวรรค์
пенза	penza
задоволений	พอใจ
голден	โฮลเด้น
голден	golden
голден	โกลเด้น
голден	ทองคำ
комікс	การ์ตูน
комікс	การ์ตูน
коти	แมว
антарктида	แอนตาร์กติกา
таро	เผือก
тире	แดช
терме	terme
капелюх	หมวก
спостерігає	นาฬิกา
сані	sani
крейда	ชอล์ค
крейда	ชอล์ก
купівлю	ซื้อ
генерація	รุ่น
генерація	ยุค
яковлєв	yakovlev
турка	เติร์ก
турка	turk
ногою	เท้า
ногою	ตีน
урбанізація	urbanization
дейл	dale
дейл	เดล
дейл	ดล
франтішек	františek
гнізд	เบ้าตา
очистити	ขจัด
очистити	เคลียร์
очистити	ล้าง
очистити	ชัดเจน
очистити	ล้าง
очистити	สะอาด
очистити	clean
палеолог	palaiologos
кальцій	แคลเซียม
натиснути	สื่อ
натиснути	กด
роналду	ronaldo
вазописець	จิตรกร
запитань	คำถาม
стефанович	stefanović
делавер	เดลาแวร์
формальний	ปรกติ
формальний	ปกติ
гітару	กีตาร์
гітару	กีต้าร์
етичних	จริยธรรม
агресія	ก้าวร้าว
вегас	vegas
інтернаціонал	international
інтернаціонал	นานาชาติ
інтернаціонал	สากล
тривоги	ห่วง
ярославський	yaroslavl
спіраль	เกลียว
клієнтам	ลูกค้า
опублікувати	โพสต์
опублікувати	โพส
сорія	soria
стандартне	มาตรฐาน
чех	เช็ก
ісламський	อิสลาม
ств	stv
світлин	ภาพถ่าย
світлин	รูปภาพ
ванна	อ่างอาบน้ำ
ванна	อ่างอาบน้ำ
ванна	อาบ
навчати	สอน
заявка	ประมูล
глузд	sense
кано	kano
кано	cano
наклеп	เสมหะ
пережити	รอด
чесноти	เกียรตินิยม
чесноти	คุณธรรม
закріпити	ปูน
закріпити	pin
тонга	ตองกา
комерційну	พาณิชย์
вмістити	พอดี
вмістити	ฟิต
вмістити	fit
світанок	รุ่งอรุณ
попіл	แอช
струве	struve
сілезія	silesia
весняні	spring
весняні	สปริง
мітки	ป้าย
мітки	แท็ก
поширити	แชร์
суматра	สุมาตรา
рукав	วรรณ
рукав	sleeve
нейтральний	ฉนวน
блокує	ล็อก
дтп	เหตุการณ์
клініка	คลินิก
янгол	เทวดา
янгол	นางฟ้า
адель	อะเดล
адель	อเดล
рпг	rpg
секретний	secret
секретний	ลับ
секретний	ลับๆ
затвердити	อนุมัติ
гігант	ยักษ์
комарів	ยุง
паралельний	ขนาน
локалізація	localisation
доросла	โต
доросла	ผู้ใหญ่
марганець	แมงกานีส
дивне	แปลกๆ
дивне	แปลก
холод	หนาว
холод	เย็น
холод	เย็นๆ
спогад	memory
коза	แพะ
жарти	มุข
жарти	มุก
жарти	ตลก
виголосив	concession
вес	เวสส
вес	เวส
спалив	ไหม้
кома	koma
кома	โคม่า
кома	จุลภาค
бункер	บังเกอร์
прекрасні	สวยๆ
прекрасні	สวย
прекрасні	สวยงาม
прекрасні	งดงาม
бум	ตูม
бум	บูม
сири	ชีส
сири	cheese
гордістю	ภูมิใจ
транзисторів	transistors
жахливий	แย่
жахливий	สาหัส
гала	กาลา
купили	ซื้อ
мінеральна	แร่
соняшник	ทานตะวัน
подумав	คิด
ринкова	ตลาด
сільвія	sylvia
сільвія	ซิลเวีย
сільвія	silvia
посіви	พืชพันธุ์
посіви	พืช
кока	โค้ก
кока	โคเคน
орієнтування	apb
кірк	เคิร์ก
лихоманка	ไข้
плавні	เรียบ
змагатися	แข่งขัน
придбаний	ซื้อ
найважливіше	ไฮไลท์
найважливіше	ไฮไลต์
ластівка	กลืน
ліжко	นอน
ліжко	ที่นอน
ліжко	เตียง
геній	อัจฉริยะ
реаліті	เรียลลิตี้
легку	เนื้อ
метан	มีเทน
забили	ยัด
заборонене	แบน
бенкет	ฉลอง
танцівниця	dancer
кремона	cremona
масса	massa
автономному	standalone
аяччо	ajaccio
бразильська	บราซิล
бразильська	บิ
бразильська	บิท
бразильська	บราซิล
бразильська	บิว
ячменю	บาร์เลย์
шутер	นักกีฬา
шутер	มือปืน
вінер	ไส้กรอก
сміливий	กล้า
берт	เบิร์ต
плівка	เทป
плівка	รีล
плівка	ภาพยนตร์
плівка	ฟิล์ม
голлівуд	ฮอลลีวู้ด
хвилями	คลื่น
терпіння	อดทน
вірогідність	กาศ
вірогідність	โอกาส
мтб	mtb
велес	vélez
самбо	sambo
пенні	เพนนี
пенні	พน
болотна	palustris
детальні	ละเอียด
мавпа	ลิง
мавпа	ลิง
шоколад	ช็อกโกแลต
лінь	หลิน
плутанини	สับสน
курка	เจี๊ยบ
курка	ไก่
рушії	มอเตอร์
рушії	เครื่องยนต์
вдарив	ตี
вдарив	ถล่ม
вдарив	ชน
вдарив	จีบ
запланована	วางแผน
фраз	วลี
естремадура	extremadura
рока	roca
логічна	ตรรก
логічна	ตรรก
логічна	ตรรกศาสตร์
логічна	เหตุผล
брендів	ยี่ห้อ
брендів	แบรนด์
ручна	คู่มือ
гладенька	gummy
рецепти	สูตร
дитинча	ลูกวัว
інтелектуальна	ปัญญา
смішно	ขัน
смішно	ตลก
смішно	ขำ
смішно	สาระ
рядками	แถว
рядками	เส้น
рядками	บรรทัด
благодійність	ทำบุญ
грім	ฟ้าร้อง
грім	ฟ้าผ่า
печінка	ตับ
страшні	ขี้เหร่
минулий	อดีต
запитує	ถาม
уяви	จินตนาการ
моно	โมโน
моно	mono
ману	มานู
ману	manu
фермерів	เกษตรกร
фермерів	กสิกร
фермерів	ชาวไร่
кравчука	matrices
наливайка	gin
наливайка	จิน
верчеллі	vercelli
водоспадів	น้ำตก
погоджуюся	ยินยอม
вакцини	วัคซีน
розширювати	ขยาย
рухомі	movable
кості	เต๋า
кості	ลูกเต๋า
піднімати	ยก
послугу	เอาใจ
послугу	บุญ
послугу	โปรดปราน
