freight	teretni
macedonian	makedonski
unesco	unesco
investigated	istraživala
investigated	istragom
investigated	istraga
cameroon	kamerun
carson	carson
rams	rams
icelandic	islandski
sophie	sophie
granite	granit
jenny	jenny
deciding	odlučujući
comparative	komparativna
apostolic	apostolic
pirate	pirat
paralympic	paraolimpijske
slovenian	slovenački
accompanying	pratnji
seasonal	sezonski
seasonal	sezonske
delegation	delegacija
portfolio	portfolio
machinery	mašinerija
miners	rudara
keen	keen
gandhi	gandhi
fiscal	fiskalnu
fiscal	fiskalna
testimony	svjedočenje
duchess	vojvotkinja
reflection	odraz
middlesex	middlesex
carr	carr
booth	booth
rudolf	rudolf
courage	hrabrost
midland	midland
riots	nemira
riots	nemiri
develops	razvija
pier	pier
formatting	formatting
auction	aukciji
auction	aukcija
specifications	specifikacije
secrets	tajne
secrets	tajni
crest	čelenka
sutton	sutton
decreased	smanjen
decreased	smanjena
ups	uspona
prominence	istaknut
slopes	padine
slopes	obroncima
phantom	fantom
hartford	hartford
alps	alpi
ease	lakoće
cet	cet
investments	ulaganja
investments	investicija
investments	investicije
auburn	auburn
flame	plamen
exeter	exeter
din	din
kay	kay
rent	najma
rent	rent
induced	izazvali
verses	ajeti
verses	ajeta
simulation	simulacija
schemes	šeme
lance	lens
lance	koplje
networking	umrežavanja
networking	povezivanje
keeper	čuvar
wanderers	wanderers
fixing	fiksiranje
fixing	popravljanje
fixing	namještanje
prospect	izgledi
prejudice	predrasuda
highlighted	naglasili
highlighted	naglašena
highlighted	istakla
gymnasium	gimnazija
gloria	gloria
trent	trent
choosing	izboru
horizon	horizont
yemen	jemen
arose	proizašla
arose	nastali
quinn	quinn
excluded	isključena
elena	elena
successive	uzastopne
anger	ljutnja
hierarchy	hijerarhija
nerve	nervni
disability	invalidnost
giuseppe	giuseppe
boot	but
rca	rca
pioneers	pioniri
canberra	canberra
coupled	spojen
newark	newark
flowing	teku
fungi	gljivice
shells	granate
shells	granata
cottage	cottage
honduras	honduras
shepherd	ovčar
elderly	starije
pbs	pbs
mapping	mapiranje
mongolia	mongolija
commentator	komentator
nash	nash
sharks	ajkule
shirley	shirley
stopping	zaustavljanje
exercises	vježbe
ribbon	traka
mild	blaga
mild	blagi
mild	blaži
mild	blage
vikings	vikinzi
correspondent	dopisnik
renovated	obnovljena
reproduction	razmnožavanje
sings	pjeva
mercedes	mercedes
bombay	bombaj
barack	barack
premises	prostorije
premises	prostorija
hawaiian	havajski
poly	poli
rené	rené
imported	uvezene
transactions	transakcija
congressman	kongresmen
jerome	jerome
shark	ajkula
doom	doom
diagnosis	dijagnostika
stoke	stoke
selective	selektivna
criminals	zločinaca
lindsay	lindsay
advocates	zagovara
advocates	zagovornici
worry	brinu
vacuum	vakuum
heating	zagrijava
johan	johan
inactive	neaktivno
meta	meta
estadio	stadion
rehabilitation	obnovu
synonym	synonym
leone	leone
sailor	moreplovac
racism	rasizam
tears	suze
inspection	inspekcija
ancestors	preci
honda	honda
barn	barn
assert	assert
abbreviated	abbreviated
depend	zavise
burden	teret
encounters	susreti
fruits	voće
fruits	plod
ruby	ruby
lunch	ručak
nationalism	nacionalizam
photographers	fotografa
mick	mik
forums	forumima
cups	pehari
challenger	izazivač
recommendation	preporukom
recommendation	preporuka
recommendation	preporuke
shi	shi
instant	instant
falcon	soko
loses	gubi
loses	izgubi
nordic	nordijska
hannah	hannah
hannah	hana
coordination	koordinacija
coordination	koordinaciju
hammond	hammond
barracks	kasarnu
barracks	kasarne
barracks	kasarni
barracks	kasarna
qualifier	kvalifikacijama
saves	spašava
hardcore	hardcore
precipitation	padavina
bucharest	bukurešt
ranger	ranger
lily	ljiljan
surveys	ispitivanja
peterson	peterson
albion	albion
wicket	wicket
destinations	destinacije
schmidt	schmidt
contacts	kontakti
