stavropolio	ставрополь
ivanovo	іваново
suomiai	фіни
neue	neue
kardelis	косарики
užsakytas	платив
užsakytas	стояла
užsakytas	прописані
americana	americana
gore	гор
gestų	жести
diafragmos	діафрагма
bata	бата
poravimosi	парування
padavimo	збору
ankstesnė	попереднє
ankstesnė	попередні
ankstesnė	попередній
ankstesnė	попередня
cerambycidae	cerambycidae
alicija	алісія
nobunaga	нобунаґа
lockheed	lockheed
teismus	суди
teismus	судів
drąsa	мужність
drąsa	сміливість
alatau	алатау
žydėjimo	краєвидом
pts	pty
dubajaus	дубай
dubajaus	дубаї
kryžkelėje	перехрестя
griaučiai	скелети
miegas	сон
miegas	спати
miegas	забуте
miegas	спить
citrinų	лимон
citrinų	лимони
dinaras	динар
tunelį	тунель
marciano	марчіано
gydo	лікує
gydo	лікувати
evakuoti	евакуювати
evakuoti	евакуації
haiku	хайку
įsigyta	платні
įsigyta	придбаний
konsultacijos	консультацію
konsultacijos	консультація
konsultacijos	консультації
egzoplaneta	екзопланета
sujungimo	maker
sujungimo	творця
kirmėlių	черви
būstas	житло
būstas	оселя
būstas	проживання
andrejevas	андреєв
ipairs	ipairs
eisena	ходьба
imtuvas	отримувач
tarantino	тарантіно
nuoma	оренда
nuoma	найняти
nuoma	оренду
nuoma	автомобілів
nuoma	лізинг
nuoma	ліз
kaimynas	сусід
kaimynas	сусід
idzu	ідзу
zbigniew	збігнєв
pirštas	пальця
pirštas	палець
pirštas	пальцем
jacqueline	жаклін
bėgiai	rails
vėžiagyviai	ракоподібних
ortega	ортега
skl	скл
ide	ide
mandela	мандела
kiribačio	кірибаті
morrison	моррісон
noriai	добровільно
naukowe	naukowe
français	français
spartą	спарта
karelų	карельська
seule	сеулі
elfai	ельфи
tuberkuliozė	туберкульозу
kaganatas	каганат
udinese	удінезе
grafinio	графіку
grafinio	графічні
džimis	джимі
džimis	джиммі
swansea	свонсі
horizontas	горизонт
horizontas	horizon
patogi	зручно
patogi	комфортний
patogi	зручні
patogi	зручне
patogi	зручний
patogi	затишний
uždirbti	заробляти
uždirbti	заслужити
apmokestinimo	оподаткування
subpage	subpage
abdullah	абдулла
išgyvenimo	виживання
valdis	валдіс
granata	граната
granata	гранату
jin	цзінь
polineziečiai	полінезійці
sidney	сідні
minia	натовп
minia	натовпі
kalbotyra	мовознавство
mans	ман
eksperimentavo	експериментували
gražūs	гарно
sinensis	sinensis
palustris	болотна
kontūrai	контур
togas	того
reputacija	репутацію
reputacija	репутація
autobiografija	автобіографія
nuolaidų	поступки
derva	смола
briaunainis	багатогранник
mira	міра
choleros	холера
madeiros	мадейра
polina	поліна
krokodilai	крокодилів
eldorado	ельдорадо
pakartas	повісили
auxerre	осер
įrašymas	запис
devi	деві
betty	бетті
gibson	гібсон
grevenmacher	гревенмахер
šonkaulių	ребра
šonkaulių	ребра
#ffcc	#ffcc
panda	панда
stebuklas	диво
stebuklas	чудо
neigimas	заперечення
spalvoti	кольорові
spalvoti	кольоровий
redakcinė	редакцій
mėgstamiausias	улюблене
mėgstamiausias	улюблена
mėgstamiausias	улюблений
mėgstamiausias	улюблені
mėgstamiausias	улюблений
mėgstamiausias	улюблене
encyklopedia	encyklopedia
švarus	очистити
švarus	прибрати
švarus	почистити
švarus	чистий
rowland	роуленд
sankirtos	перетин
arno	арно
rojų	рай
rojų	раю
rojų	paradise
triptikas	триптих
tiriamas	вчився
tiriamas	вивчав
tiriamas	вивчила
tiriamas	навчався
neapykanta	ненависть
neapykanta	ненавиджу
neapykanta	ненависть
neapykanta	ненависті
lyja	дощ
elitas	еліта
diržas	пояс
brien	браєн
sms	sms
sms	смс
ešerys	окунь
metano	метан
arekipos	арекіпа
massimo	массімо
kirk	кірк
clinton	клінтон
donato	донато
biurų	заклади
biurų	працевлаштування
matavimas	вимірювання
matavimas	виміри
matavimas	вимірювання
matavimas	вимірювання
heraldika	геральдика
vairuotojų	драйвери
vairuotojų	водії
pomidorų	помідор
buriatų	бурятський
sandėlių	склади
sūriai	сирів
žydėjimas	розквіт
uagadugu	уагадугу
romo	ром
romo	рому
gliese	gj
herbarz	herbarz
aleutų	алеутські
gura	гура
išimtys	винятки
šviečia	сяє
pateikimas	підкорення
flavijus	флавій
spinduliuotė	радіація
spinduliuotė	випромінювання
spinduliuotė	радіації
leopardas	барс
dokumentacijos	документація
dviračiu	велоспорт
monografijos	monographs
triušiai	кролик
triušiai	кріль
triušiai	кролі
rembrantas	рембрандт
klonų	клонів
hab	hab
moldavų	молдавська
konfigūracija	конфігурація
konfigūracija	налаштування
shannon	шеннон
degtinė	горілка
degtinė	горілку
imunitetas	імунітет
wells	веллс
žodynų	словники
horst	горст
laurence	лоренс
atspindys	відбиття
fotografė	фотограф
specialistams	спеціалістів
specialistams	професіонали
brassicaceae	капустяні
aklas	blind
aklas	осліп
aklas	сліпий
aklas	сліпих
aklas	сліпим
díaz	діас
akušerijos	акушерство
ironija	іронія
vavelio	вавель
transplantacija	трансплантація
transplantacija	голови
priesaika	присягу
priesaika	присягнувся
slankstelio	хребці
linai	льон
guillaume	гійом
sunaikinimas	руйнування
sunaikinimas	знищення
kapiliarų	капілярний
džamu	джамму
continental	continental
fosfatų	амонію
plakatai	постери
plakatai	улюблене
jura	юра
karel	карел
džiuljeta	джульєтта
respublikose	республік
nacionalizmas	націоналізм
aug	aug
zoran	зорян
čekai	чехи
routledge	routledge
andersen	андерсен
twitter	twitter
twitter	тремтіння
banginis	кит
banginis	кити
skydai	комітетів
skydai	boards
patarėjai	радники
turbinos	турбін
stela	стела
stela	стелла
paleologas	палеолог
pigiau	дешевше
pigiau	дешевші
karvė	корови
karvė	корова
mandatas	мандат
likusiam	порядок
džiaugsmo	радості
džiaugsmo	радість
zeiss	zeiss
adobe	adobe
failas	файл
mer	мер
meškutė	господиня
meškutė	міль
elgėsi	перервах
neteisingas	неправильна
neteisingas	невірно
neteisingas	неправильний
neteisingas	неправильне
philipp	філіпп
siekiai	жагою
seine	сен
mieško	мешко
kvadratas	ділення
kvadratas	дивізіон
kvadratas	поділ
turkmėnija	туркменістану
dharma	дхарма
jānis	яніс
tenesio	теннессі
alegorija	алегорія
mesa	меса
kinematografija	кінематограф
bruklino	бруклін
varlė	жаба
klounas	клоун
neutralumo	нейтралітет
liucernos	люцерн
uniformas	уніформа
mauser	mauser
sprogimai	вибухи
obi	обі
vip	vip
pomidorai	помідор
pomidorai	помідори
pasisekė	пощастило
pasisekė	щасливим
pasisekė	щасливчик
žiaurus	злому
žiaurus	брутальний
žiaurus	шалена
cichlidae	cichlidae
įspūdinga	вражає
įspūdinga	вражаюче
įspūdinga	вражаюча
įspūdinga	вражаючі
įspūdinga	неперевершеною
įspūdinga	дивовижний
mielai	радо
buena	buena
samurajus	самурай
adalbertas	адальберт
antikūnų	антитіло
emmanuel	еммануель
eksportuojami	експортує
eksportuojami	експорт
eksportuojami	експортовано
gre	gre
trukdyti	турбувати
labas	агов
labas	привіт
labas	здоров
netinkama	призначене
atstatymas	відновлення
atstatymas	реставрація
vanagai	гоукс
uml	uml
kištis	завадити
demokratinėje	демократичні
demokratinėje	демократичний
demokratinėje	демократична
kabeliai	кабелі
kabeliai	дріт
kabeliai	кабель
rapsų	зґвалтування
ligūrijos	лігурія
adaptacijos	екранізації
katarina	катарина
ruošos	ведення
ruošos	вхід
kamuoliukas	бейсбол
lūžių	переломів
lūžių	перелом
maliarija	малярія
advokatai	адвокати
advokatai	адвокатів
advokatai	юристи
agripa	агріппа
kapitonai	магістри
kapitonai	капітани
chunino	хунін
hansen	гансен
stanfordo	стенфорд
whitney	whitney
pojūčius	відчуттів
nustebino	дивуюся
fermentas	фермент
adatos	голка
gabriele	gabriele
forbes	forbes
preparatas	приготування
granatų	гранат
veltui	даремно
veltui	дарма
nusipelnė	заслуговує
nusipelnė	заслужила
nusipelnė	заслужена
nusipelnė	заслужив
nusipelnė	заслужили
suplanuotas	розвели
viridis	viridis
vasalas	васал
rubens	rubens
šešėliai	тіні
pasirūpinti	поєднати
pasirūpinti	влаштувати
timeaxis	timeaxis
žmogžudysčių	вбивств
žmogžudysčių	вбивства
ekosistemos	ecosystems
jogailaitė	ягеллонка
bara	бара
pradešas	прадеш
sraigtasparnio	гелікоптер
sraigtasparnio	вертоліт
abejonės	сумнівів
abejonės	сумнів
abejonės	сумніву
abejonės	сумніваюся
abejonės	сумніватися
abejonės	сумніви
kopijas	копії
kopijas	копій
kopijas	копіює
stumia	змушували
tolerancija	толерантність
pasodinti	посадив
stéphane	стефан
benetton	benetton
burtininkų	майстри
registracija	реєстрації
registracija	реєстрація
asirai	ассирійці
raja	скейт
sklypai	посилки
didvyriai	heroes
didvyriai	герої
didvyriai	героїв
soli	soli
étienne	етьєн
bernardino	бернардіно
tara	тара
kiauliena	свинина
borisov	борисов
trieste	трієст
xxv	xxv
ontarijas	онтаріо
luizianos	луїзіана
bosch	bosch
švieži	свіжі
švieži	свіже
švieži	свіжа
švieži	свіжий
delegatai	делегати
matteo	маттео
protingas	влучно
protingas	розумний
protingas	розумна
protingas	розумні
protingas	розумно
protingas	розумні
protingas	інтелектуальний
undef	undef
priemaiša	домішка
imuniteto	імунітет
lizdai	гнізд
lizdai	гнізда
pamokslų	проповіді
teisėtai	законного
teisėtai	юридично
delis	делі
kriaušių	груші
kriaušių	груша
kriaušių	груші
karbonatas	карбонат
žiburiai	ліхтарі
žiburiai	світло
žiburiai	вогні
akcininkai	акціонерів
rajos	violacea
walther	вальтер
naujovė	нововведення
naujovė	інновації
nogajų	ногайська
ava	ава
atveria	відкривають
atveria	відкриває
atveria	відкриваються
grove	гаю
jung	чон
cartier	картьє
mhnt	mhnt
padažu	соус
padažu	соусом
troškimas	бажання
ežys	їжачок
ežys	їжак
perlai	перли
timbaland	timbaland
paruošimas	приготування
triumfas	тріумф
samarkando	самаркандська
ursula	урсула
andersson	андерссон
baba	баба
sikstas	сикст
stovyklavietės	кемпінг
gianni	джанні
marienburgo	мальборк
pojūtis	сенсацією
premjerą	premier
premjerą	вищому
demokratiškai	демократично
importuoti	імпортовано
importuoti	імпортовані
rodgers	роджерс
chloro	хлор
fenech	фенек
įspūdingų	автобусів
hibridai	гібридів
buteliai	пляшки
buteliai	пляшок
nicholson	ніколсон
apledėjimo	глазур
saudas	сауд
saudas	со
tobulas	perfect
tobulas	ідеально
tobulas	ідеальні
tobulas	ідеальне
tobulas	ідеальна
tobulas	досконало
konkurentas	конкурувати
konkurentas	конкурентів
vikšras	гусениця
ángel	анхель
utar	уттар
falenopsis	фаленопсис
falenopsis	phalaenopsis
antonov	антонов
leko	леко
nuestra	нуестра
daugiskaita	множини
lervų	личинки
cdu	міністр
yamaha	yamaha
gorica	гориця
vinci	вінчі
pečius	плечі
pečius	плечима
genealogia	genealogia
rezonanso	резонанс
volvo	volvo
graužikai	гризунів
graužikai	гризунами
andai	анд
pagalvės	подушка
kauliukai	кості
kauliukai	кістку
izoliuoti	облаштовано
trinties	тертя
ščecino	щецин
tikslūs	точні
tikslūs	точна
tikslūs	акуратно
naudingumo	утиліта
likvidavimo	ліквідація
christine	крістін
christine	крістіна
christine	христина
butelis	пляшки
butelis	пляшка
milton	мілтон
deutsch	німецькій
kusko	куско
kalmaro	кальмар
nuno	нуну
pasitiko	накинувся
sodybas	хутори
trokšta	бажанням
trokšta	забаганки
trento	тренто
prefektas	префекта
shah	шах
šviežias	свіжі
šviežias	свіже
šviežias	свіжа
šviežias	свіжий
komunalinių	інструменти
komunalinių	утиліти
arte	arte
monde	monde
kuzma	кузьма
clash	clash
bray	брей
bray	бре
ateiviai	чужинців
ateiviai	прибульці
ateiviai	прибульців
deutscher	deutscher
trs	trs
persėjas	персей
aleksijus	олексій
rieduliai	валуни
višta	курка
višta	курки
višta	курча
višta	курячий
jubiliejus	річниця
jubiliejus	ювілей
kalkių	lime
slanksteliai	хребта
teherano	tehran
bombardavimo	бомбардування
gros	гро
vat	мокра
vat	мокрий
ačiū	дякую
ačiū	дякуємо
vidurnakčio	опівночі
vidurnakčio	північ
beselio	бесселя
matematiškai	математично
ketverto	квартет
ketverto	сметани
nelygybė	нерівність
stygas	рядків
stygas	рядки
nero	nero
semantika	семантика
lempa	цибулина
lempa	лампа
viskis	віскі
viskis	віскі
skauda	болить
skauda	боляче
solis	соліс
bukų	бук
bukų	береза
astra	astra
pašalina	вилучає
nuotėkis	проникає
apsiaustas	плащ
remixes	remixes
keane	кін
mechelen	мехелен
atidėta	відкладено
atidėta	відкладено
majos	майський
katilai	енерго
goja	гойя
gandrai	лелеки
laumžirgis	hawker
altvar	altvar
išmetė	вигнали
varškė	курд
antoninas	антонін
mozaikos	мозаїка
išvalyti	вдало
išvalyti	прибрали
išvalyti	прибрала
andrej	андрей
sheryl	шеріл
stemma	stemma
sepc	sepc
andamanų	андаманські
mineralinis	мінеральна
atyrau	атирау
paulus	паулюс
egzaminas	екзамен
nuodėmes	гріхи
dviračio	велосипед
dviračio	велосипеда
dviračio	ровер
šaukia	кричить
šaukia	кричать
šaukia	кричав
šaukia	вигуки
šaukia	кричить
žolelių	трав
abatas	абат
katmandu	катманду
