for	for
tidlige	アーリー
tidlige	早い
edward	エドワード
utdannelse	教育
utdannelse	学歴
nasjonal	国民
nasjonal	ナショナル
stemme	投票
stemme	ボイス
stemme	音声
ski	スキー
roller	役割
mulighet	好機
mulighet	機会
mulighet	可能性
kaptein	隊長
kaptein	キャプテン
ung	若い
ung	ヤング
unntak	例外
unntak	例外
rom	スペース
rom	空間
rom	部屋
rom	ルーム
rom	rom
rom	ラム
rom	部屋
rom	ルーム
hvit	白い
hvit	ホワイト
kvinnelige	女性
nevnes	言及
this	この
this	これ
fred	ピース
fred	平和
fred	フレッド
klassisk	クラシカル
klassisk	クラシック
klassisk	古典
klassisk	クラシック
klassisk	古典
klassisk	classic
tilknytning	所属
albert	アルベルト
albert	アルバート
athen	アテネ
omtale	レビュー
omtale	審査
omtale	言及
møter	ミーティング
møter	会議
selskap	会社
herrer	諸侯
ungdom	青年
ungdom	若者
ungdom	ユース
ungdom	青春
private	非公開
private	プライベート
avholdt	開催
middelalderen	年齢
innflytelse	影響力
innflytelse	影響
brøt	壊れた
innhold	コンテンツ
innhold	内容
innhold	内容
innsats	取り組み
innsats	努力
innsats	努力
hjemme	自宅
hjemme	ホーム
hjemme	帰宅
sammenheng	コンテクスト
sammenheng	コンテキスト
sammenheng	context
former	フォーム
former	形態
former	形状
former	シェイプ
drift	ドリフト
episode	エピソード
lære	学習
lære	学ぶ
svg	svg
north	ノース
studenter	生徒
studenter	学生
uttrykk	表現
uttrykk	expression
formen	図形
formen	形状
formen	シェイプ
riket	レルム
tekster	テキスト
tekster	歌詞
tekster	作詞
endring	チェンジ
endring	変更
endring	変化
økt	セッション
nederlandsk	ダッチ
mitt	鉱山
timer	時間
portugal	ポルトガル
sikre	セキュア
odd	オッド
odd	奇数
dets	its
piano	ピアノ
effekt	エフェクト
effekt	効果
song	歌曲
song	ソング
skøyter	スケート
bakken	地面
bakken	グラウンド
militær	軍事
militær	軍隊
sterke	強い
sterke	濃い
rød	赤い
rød	赤色
rød	レッド
south	サウス
sjanger	ジャンル
not	not
energi	エネルギー
edvard	エドワード
hær	アーミー
hær	軍隊
hær	陸軍
solgte	落札
internasjonalt	インターナショナル
internasjonalt	国際
besto	合格
sosiale	ソーシャル
union	ユニオン
wales	ウェールズ
perioder	ピリオド
grunnlag	根拠
grunnlag	事由
grunnlag	基底
spill	ゲーム
spill	ゲーム
spill	遊ぶ
spill	プレイ
spill	遊び
fungerer	ワークス
fungerer	作品
start	開始
start	始める
start	スタート
materiale	素材
materiale	材料
materiale	マテリアル
nordisk	ノルディック
begrenset	限定
begrenset	limited
begrenset	制限
åpne	オープン
åpne	開館
åpne	開く
inkluderer	含める
inkluderer	含む
brann	火事
brann	ファイア
brann	火災
hertug	公爵
hertug	デューク
jack	ジャック
jack	ジャッキ
ødelagt	破壊された
regissør	監督
regissør	ディレクター
regissør	取締役
oxford	オックスフォード
verker	痛む
mat	食べ物
mat	料理
mat	食品
problem	問題
problem	発行
problem	争点
problem	問題
strekker	ストレッチ
arbeide	作業
arbeide	仕事
arbeide	ワーク
tett	濃密
white	白い
white	ホワイト
åpen	オープン
åpen	開館
åpen	開く
media	メディア
hall	ホール
bru	bru
elever	生徒
elever	学生
elever	瞳孔
santa	サンタ
jacob	ジャコブ
behov	ニーズ
behov	ニーズ
friedrich	フリードリヒ
friedrich	フリードリッヒ
distrikt	地区
distrikt	ディストリクト
mary	メアリ
mary	メアリー
femte	フィフス
sistnevnte	後者
argentina	アルゼンチン
skape	作成
kim	キム
lagene	チーム
program	プログラム
oppdrag	ミッション
oppdrag	ミッション
avhengig	中毒
avhengig	依存
kardinal	基数
kardinal	枢機卿
versjonen	バージョン
senter	センター
senter	中央
senter	中心
senter	ハブ
senter	中央
senter	センター
senter	中心
ansvar	責任
ansvar	責務
lot	lot
lot	ロット
medlemmene	メンバー
medlemmene	メンバ
økonomi	経済
ender	カモ
elv	河川
arthur	アーサー
samfunnet	社会
samfunnet	コミュニティ
samfunnet	コミュニティー
award	受賞
award	表彰
tyrkia	トルコ
tyrkia	七面鳥
brev	手紙
brev	手紙
brev	letter
brev	レター
gård	農場
gård	ファーム
profesjonell	プロフェッショナル
profesjonell	プロ
profesjonell	pro
antagelig	おそらく
behandling	トリートメント
behandling	待遇
behandling	治療
råd	助言
råd	アドバイス
vedtatt	養子
vedtatt	採択
fritt	フリー
fritt	無料
fritt	自由
manchester	マンチェスター
samfunn	コミュニティ
samfunn	社会
samfunn	コミュニティ
samfunn	コミュニティー
samfunn	社会
texas	テキサス
rang	ランク
sjef	ボス
virksomhet	営業
virksomhet	事業
virksomhet	ビジネス
slå	パンチ
punkt	ポイント
fjerne	遠い
fjerne	削除
fjerne	取り除く
låtskriver	ソングライター
sikkert	おそらく
manus	脚本
manus	スクリプト
alfred	アルフレッド
sjelden	レア
sovjetiske	ソビエト
styret	ボード
france	フランス
populær	人気
populær	ポピュラー
veier	道路
lund	ルンド
roger	ロジェ
roger	ロジャー
venn	友人
venn	友だち
venn	フレンド
venn	友達
oversettelse	翻訳
stafett	リレー
inspirert	インスパイア
unngå	避ける
are	are
trekke	引っ張る
trekke	プル
trekke	引き出す
forholdet	リレーションシップ
forholdet	交際
venner	友だち
venner	友達
nokså	そこそこ
problemet	問題
simon	シモン
simon	サイモン
elektrisk	エレクトリック
elektrisk	電気
cambridge	ケンブリッジ
bane	弾道
bane	軌道
lister	リスト
tolv	十二
gustav	グスタフ
nettside	ウェブサイト
nettside	ウェブページ
sur	スール
fengsel	禁錮
fengsel	刑務所
fengsel	監獄
øyer	諸島
rekord	レコード
rekord	記録
fordel	利点
fordel	アドバンテージ
typen	種類
typen	タイプ
kommentar	コメント
helsingfors	ヘルシンキ
organisasjon	団体
organisasjon	組織
organisasjon	組織
relevant	関連
idag	トゥデイ
idag	今日
teknisk	テクニカル
vokser	栽培
vokser	成長
vokser	育つ
artister	演者
artister	芸術家
artister	アーティスト
bidro	寄稿
rolf	ラルフ
rolf	ロルフ
lån	ローン
lån	融資
vinne	win
vinne	勝利
vinne	勝ち
vinne	勝つ
vinne	優勝
vinne	勝利
open	オープン
open	開館
open	開く
house	ハウス
can	can
tonn	トン
tonn	トン
sent	遅い
bank	バンク
bank	銀行
opprør	内乱
opprør	反乱
opprør	反乱
spesielle	スペシャル
produksjonen	製作
produksjonen	生産
produksjonen	プロダクション
lepidoptera	lepidoptera
mening	意見
mening	意味
rio	リオ
scott	スコット
verdi	バリュー
verdi	価額
ben	ベン
barcelona	バルセロナ
ein	アイン
ein	ein
endre	チェンジ
endre	変更
endre	変化
ledd	関節
tider	タイムズ
iso	iso
stille	静けさ
stille	静か
stille	サイレント
stille	無音
prest	司祭
enheter	単位
enheter	ユニット
enheter	エンティティ
enheter	デバイス
enheter	機器
akkurat	ちょうど
akkurat	ジャスト
akkurat	ただ
organisasjoner	団体
elisabeth	エリザベス
elisabeth	エリザベート
post	郵便
post	メール
post	ポスト
post	投稿
modell	モデル
bortsett	apart
regler	規則
regler	ルール
kunnskap	知識
tor	tor
tor	トール
delene	パーツ
delene	部品
fange	捕虜
fange	囚人
fange	キャプチャー
fange	キャプチャ
fange	攻略
publikum	観客
publikum	オーディエンス
publikum	観客
publikum	オーディエンス
prins	プリンス
katolsk	カトリック
utdanning	教育
utdanning	学歴
ekstra	エクストラ
semifinalen	準決勝
likhet	平等
vokalist	ボーカル
privat	非公開
privat	非公開
privat	プライベート
sak	ケース
sak	原因
jobber	作業
jobber	仕事
jobber	ワーク
jobber	ジョブ
jobber	求人
jobber	働く
jobber	作業
antatt	推定
super	スーパー
return	return
return	リターン
nordiske	ノルディック
nedenfor	以下
chicago	シカゴ
søster	姉妹
søster	シスター
jones	ジョーンズ
society	社会
kirker	教会
saker	事例
saker	ケース
saker	問題
stadium	スタジアム
uke	週間
øvelser	演習
minne	メモリ
minne	メモリー
minne	記憶
tapt	ロスト
helse	健康
foto	フォト
foto	写真
planlagt	予定
planlagt	予定
planlagt	計画
service	サービス
nektet	拒否された
kritikk	批評
kritikk	評論
kritikk	批判
turn	体操
unna	away
unna	アウェイ
filosofi	哲学
google	google
beskrivelse	説明
beskrivelse	解説
young	若い
young	ヤング
utsatt	延期
utsatt	露出
mesterskap	選手権
mesterskap	チャンピオンシップ
mesterskap	選手権
politiet	警察官
politiet	ポリス
politiet	警察
religion	宗教
bred	ワイド
bred	広い
utgaven	edition
utgaven	エディション
deriblant	含む
terje	テリエ
formål	目的
finn	find
finn	フィン
breddegrad	緯度
landene	国々
pierre	ピエール
kjenner	おなじみ
tegn	文字
tegn	キャラクター
tegn	サイン
tegn	記号
tegn	署名
tekniske	テクニカル
plan	計画
plan	プラン
jarl	アール
utøvere	選手
utøvere	アスリート
episoder	エピソード
skadet	怪我
populært	人気
populært	ポピュラー
populært	トレンド
svømming	スイミング
svømming	競泳
svømming	水泳
max	マックス
max	max
bruken	使い方
bruken	使用
pdf	pdf
lege	医師
lege	医師
lege	ドクター
lege	先生
lege	医者
aust	aust
lese	読み
lese	読み込み
lese	読み取り
lese	読む
williams	ウィリアムズ
walter	ヴァルター
walter	ウォルター
vol	vol
forgjenger	前身
tilgang	アクセス
hill	ヒル
målet	ターゲット
alternativ	オルタナティブ
alternativ	代替
alternativ	交互
alternativ	オプション
eide	eide
eide	所有
ennå	yet
kategorier	カテゴリー
kategorier	カテゴリ
kategorier	分類
skiftet	シフト
skiftet	変更された
design	デザイン
design	デザイン
design	設計
design	意匠
lokal	ローカル
lokal	地元
motor	エンジン
motor	モーター
fullt	いっぱい
fullt	フル
landskapet	風景
landskapet	景色
referanse	リファレンス
referanse	参照
referanse	参考
endelig	ついに
endelig	やっと
endelig	遂に
cirka	おおよそ
big	大きな
big	大きい
big	ビッグ
johnson	ジョンソン
liverpool	リヴァプール
liverpool	リバプール
hevder	債権
hevder	主張
hevder	取得
hevder	債権
jobb	職業
jobb	仕事
jobb	ジョブ
jobb	作業
jobb	仕事
jobb	ワーク
syn	ヴィジョン
syn	ビジョン
syn	vision
syn	光景
bredt	ワイド
bredt	広い
mottatt	受け取り
mottatt	受信
drive	ドリフト
drive	ドライブ
ekteskap	結婚
ekteskap	婚姻
eid	イード
eid	所有
svar	回答
svar	回答
svar	答え
svar	答弁
svar	返信
nettsider	ウェブサイト
amsterdam	アムステルダム
arrestert	逮捕
dollar	ドル
dollar	ドル
dollar	yen
planter	植物
planter	プラント
planter	植物
krever	require
krever	需要
krever	催告
china	中国
china	チャイナ
setter	集合
setter	セット
setter	セッター
selvstendig	独立
selvstendig	インディペンデント
motstand	抵抗
motstand	レジスタンス
merket	固定された
utgivelser	リリース
merke	ブランド
merke	銘柄
merke	バッジ
lengdegrad	経度
enhet	デバイス
enhet	機器
enhet	統一
enhet	単位
enhet	ユニット
enhet	エンティティ
enhet	実体
kanalen	チャネル
kanalen	チャンネル
kanalen	海峡
forfattere	作家
forfattere	作家
forfattere	著者
forfattere	作者
daglig	デイリー
fredrikstad	フレドリクスタ
forsvar	ディフェンス
forsvar	防御
forsvar	抗弁
forsvar	防衛
tema	話題
tema	トピック
tema	テーマ
leif	レイフ
demningen	ダム
opphav	原点
opphav	語源
opphav	由来
opphav	起源
bbc	bbc
forskere	研究者
mannen	男性
mannen	man
fortsette	続行
fortsette	continue
fortsette	続ける
nilsen	ニルセン
representant	代理人
antwerpen	アントワープ
skapt	作成
street	ストリート
street	通り
foreldre	両親
foreldre	保護者
olje	石油
olje	オイル
bad	風呂
bad	入浴
offiser	役員
offiser	巡査
automatisk	自動
automatisk	オート
automatisk	自動
automatisk	オートマチック
flertall	過半数
flertall	複数
sentralt	中央
sentralt	セントラル
opptatt	忙しい
opptatt	ビジー
parlamentet	議会
parlamentet	国会
slettet	削除
sankt	ザンクト
steve	スティーブ
steve	スティーヴ
skilt	離婚
aktivitet	アクティビティ
wilson	ウィルソン
diskusjon	話し合い
diskusjon	ディスカッション
sykdom	病気
sykdom	疾病
sykdom	病気
first	ファースト
first	最初
handel	商業
handel	コマース
handel	貿易
handel	トレード
handel	取引
opera	opera
opera	オペラ
ukraina	ウクライナ
ønske	wish
ønske	ウィッシュ
rowspan	rowspan
totale	合計
konkurranse	競技
konkurranse	コンペ
konkurranse	競争
konkurranse	コンペティション
konkurranse	コンテスト
konkurranse	コンテスト
nettopp	ちょうど
nettopp	ジャスト
nettopp	ただ
forble	滞在
rødt	赤い
rødt	赤色
rødt	レッド
elementer	アイテム
elementer	品物
elementer	オブジェクト
elementer	要素
elementer	元素
elementer	エレメント
power	権力
power	パワー
show	ショー
mørke	ダーク
mørke	暗い
mørke	暗闇
faste	断食
velge	選択
velge	選択
velge	選択
velge	select
prosjekt	プロジェクト
formel	公式
formel	数式
skoler	学校
skoler	流派
transport	輸送
transport	交通
transport	輸送
transport	交通
loven	法律
loven	法学
state	都道府県
state	状態
high	ハイ
high	高い
avtale	選任
avtale	任用
avtale	任命
avtale	予約
avtale	協定
avtale	合意
avtale	ディール
avtale	クーポン
lager	ラガー
lager	メイキング
rettigheter	権利
georgia	グルジア
georgia	ジョージア
varianter	品種
day	day
day	一日
formelt	フォーマル
skade	怪我
skade	外傷
skade	被害
skade	ダメージ
skade	損傷
skade	損害
river	河川
konserter	コンサート
lettere	ライター
internett	インターネット
single	シングルス
single	シングル
single	独身
programleder	司会
kristen	クリスチャン
kristen	キリスト教
kristen	キリスト教徒
utenlandske	外国
josé	ホセ
josé	ホセ
starte	開始
starte	始める
starte	スタート
borte	away
borte	アウェイ
christopher	クリストファー
jakob	ジャコブ
republikk	共和制
republikk	共和国
levende	リビング
levende	living
levende	アライブ
sykehus	病院
sykehus	病院
oppmerksomhet	注目
oppmerksomhet	注意
brown	褐色
brown	茶色
brown	ブラウン
sønner	息子
prøver	サンプル
jazz	ジャズ
nordover	ノース
who	who
adolf	アドルフ
personen	人物
hitler	ヒトラー
hitler	ヒットラー
kunstner	芸術家
kunstner	アーティスト
fortsetter	手続
fortsetter	継続
felt	フィールド
felt	フィールド
felt	フィールズ
blue	青い
blue	ブルー
blue	青色
arkitektur	アーキテクチャ
arkitektur	建築
variant	variant
net	net
net	ネット
millimeter	ミリメートル
guvernør	知事
guvernør	知事
last	読み込む
last	ロード
last	読み込み
last	貨物
partier	当事者
partier	パーティ
partier	パーティー
arabiske	アラブ
heinrich	ハインリヒ
minor	マイナー
institute	研究所
myndigheter	当局
lokalt	ローカル
lokalt	地元
lokalt	ローカル
lokalt	地元
begynne	開始
begynne	始める
begynne	スタート
begynne	始める
begynne	開始
begynne	begin
flytte	ムーブ
flytte	移動
flytte	引越し
flytte	移動
norway	ノルウェー
will	ウィル
will	遺言
green	グリーン
green	緑色
andré	アンドレ
andré	アンドレ
lav	低い
topp	top
topp	上部
topp	トップ
dahl	ダール
tronen	玉座
kontrakt	契約
brødrene	兄弟
brødrene	ブラザーズ
database	データベース
operasjon	運行
operasjon	作戦
operasjon	運営
operasjon	操作
operasjon	オペレーション
planer	計画
planer	プラン
bob	ボブ
bob	bob
jackson	ジャクソン
løper	ランナー
løper	走る
løper	ランニング
innledende	イニシャル
innledende	頭文字
nett	web
nett	ウェブ
nett	net
nett	ネット
aviser	新聞紙
aviser	新聞
aviser	書類
navngitt	named
drama	ドラマ
innholdet	内容
sende	送信
sende	送る
town	タウン
retten	法廷
retten	コート
retten	裁判所
colspan	colspan
nynorsk	ニーノシュク
skog	フォレスト
skog	森林
fot	フィート
fot	フィート
fot	両足
betydninger	意味
halvparten	半分
halvparten	ハーフ
faller	落下
faller	ドロップ
foreslått	おすすめ
html	html
myndighetene	当局
singel	シングル
singel	独身
times	タイムズ
bill	ビル
tale	音声
tale	スピーチ
adam	アダム
east	イースト
east	東部
versjoner	バージョン
cupen	カップ
cupen	コップ
cupen	cup
valign	valign
fokus	焦点
fokus	フォーカス
iran	イラン
innendørs	屋内
innendørs	室内
innendørs	屋内
mike	マイク
vietnam	ベトナム
video	ビデオ
video	動画
planet	惑星
gule	イエロー
gule	黄色
sidene	ページ
latinske	ラテン語
latinske	ラテン
grunnleggende	基本
grunnleggende	基本
grunnleggende	ベーシック
grunnleggende	basic
tidsskrift	ジャーナル
tidsskrift	日記
slott	城郭
slott	キャッスル
slott	宮殿
afghanistan	アフガニスタン
eksemplarer	標本
eksemplarer	コピー
eksemplarer	部数
prosessen	過程
prosessen	プロセス
klassiske	クラシック
klassiske	古典
klassiske	classic
hår	ヘアー
hår	髪の毛
hår	ヘア
hår	毛髪
reiser	旅行
reiser	旅行
reiser	旅行
fremme	宣伝
fremme	宣伝
rekorder	レコード
manager	店長
manager	支配人
manager	マネージャー
manager	マネージャ
base	塩基
base	base
base	ベース
eksisterende	既存
funksjon	機能
funksjon	関数
andrew	アンドリュー
elizabeth	エリザベス
mytologi	神話
spesiell	スペシャル
sprint	スプリント
løsning	ソリューション
løsning	溶液
varme	ヒート
jord	土壌
jord	ダート
jord	地球
jord	アース
frie	フリー
frie	無料
frie	自由
alvorlig	深刻
alvorlig	マジ
alvorlig	重度
varer	アイテム
varer	品物
varer	商品
varer	貨物
varer	物品
varer	商品
forskjellig	異なる
alf	alf
victoria	ビクトリア
victoria	ヴィクトリア
interessant	興味深い
interessant	おもしろい
interessant	面白い
virginia	バージニア
virginia	ヴァージニア
ola	オラ
road	道路
hardt	一生懸命
hardt	ハード
hardt	難しい
betegnelse	指定
columbia	コロンビア
prøve	try
prøve	試す
prøve	トライ
prøve	サンプリング
prøve	サンプル
tradisjon	伝統
skutt	ショット
hånd	ハンド
association	社団
association	協会
association	アソシエーション
åpent	オープン
åpent	開館
åpent	開く
antonio	アントニオ
avis	新聞紙
avis	新聞
avis	avis
øke	増加
øke	増額
øke	増やす
stoff	ドラッグ
stoff	薬物
trekk	引っ張る
trekk	プル
trekk	引き分け
trekk	ドロー
romania	ルーマニア
økende	増加
lover	約束
lover	promise
lover	法律
avdøde	故人
hamburg	ハンブルグ
hamburg	ハンブルク
mal	テンプレート
joe	ジョー
østerriksk	オーストリア
festival	フェスティバル
festival	祭事
festival	祭り
festival	お祭り
farger	カラー
farger	カラー
spørsmålet	質問
spørsmålet	疑問
brun	褐色
brun	茶色
brun	ブラウン
strøm	権力
strøm	パワー
strøm	ストリーム
strøm	渓流
enkel	シンプル
enkel	簡単
enkel	単純
enkel	イージー
enkel	易しい
enkel	やさしい
enkel	簡単
egenskaper	特性
egenskaper	特色
egenskaper	特徴
egenskaper	プロパティ
egenskaper	属性
egenskaper	属性
syd	サウス
syd	シド
studio	スタジオ
sir	サー
rektor	総長
rektor	校長
rektor	元本
byggverk	構造
brian	ブライアン
old	古い
old	オールド
cuba	キューバ
saga	サガ
saga	佐賀
dør	ドア
dør	瀕死
bygda	村落
bygda	ヴィレッジ
nasjonalt	国民
nasjonalt	ナショナル
tak	屋上
tak	屋根
tak	tak
gradvis	徐々に
mine	鉱山
wiki	wiki
wiki	ウィキ
irak	イラク
snakker	喋る
night	ナイト
orkester	オーケストラ
utmerket	優れた
ovenfor	上の
ovenfor	上記
virkelig	本当に
hard	一生懸命
hard	ハード
hard	難しい
franz	フランツ
erkebiskop	大主教
medisin	医学
tilstrekkelig	足りる
søkte	応用
tegninger	図面
avstand	距離
avstand	オフセット
bakgrunnen	背景
bakgrunnen	バックグラウンド
utseende	出演
utseende	外観
støtter	サポート
støtter	支持
karrieren	経歴
karrieren	キャリア
grønne	グリーン
grønne	緑色
sosial	ソーシャル
melodi	メロディ
melodi	メロディー
melodi	メロディ
melodi	チューン
kaller	通話
journal	ジャーナル
journal	日記
prosjekter	プロジェクト
pga	pga
douglas	ダグラス
taylor	テイラー
oppløst	解散
stående	スタンディング
kvalitet	品質
kvalitet	クオリティ
kvalitet	画質
kvalitet	quality
dvd	dvd
long	長い
long	ロング
premier	プレミア
premier	懸賞
premier	賞品
skuespillerinne	女優
skuespillerinne	俳優
eies	所有
bevis	証拠
bevis	証明
bevis	プルーフ
bevis	証拠
vekk	away
vekk	アウェイ
bayern	バイエルン
norden	スカンディナヴィア
skader	怪我
intervju	面接
intervju	インタビュー
naturlige	自然
naturlige	ナチュラル
ren	ren
ren	クリーン
ren	きれい
ren	ピュア
ren	純粋
sydney	シドニー
opprette	作成
gitarist	ギタリスト
behold	キープ
fisk	魚類
fisk	フィッシュ
vii	vii
mengde	金額
mengde	数量
juan	フアン
victor	ヴィクター
victor	ビクター
umiddelbart	直ちに
utvikler	デベロッパー
tur	旅行
tur	トリップ
bull	ブル
ridder	騎士
ridder	ナイト
out	アウト
golden	ゴールデン
golden	黄金
florida	フロリダ
keyboard	キーボード
bil	自動車
bil	クルマ
stiftelsen	財団
stiftelsen	ファンデーション
stiftelsen	ファウンデーション
turner	体操
turner	ターナー
nylig	最近
nylig	最近
skrifter	フォント
plasser	座席
døden	デス
innebærer	手段
størst	最大
tilbyr	供物
hvitt	白い
hvitt	ホワイト
tokyo	東京
villa	ヴィッラ
villa	ヴィラ
irsk	アイリッシュ
pakistan	パキスタン
industri	業界
industri	産業
forskjell	差異
forskjell	違い
forskjell	差分
göteborg	ヨーテボリ
francis	フランシス
skjønt	だけれども
etterpå	アフター
fullført	コンプリート
fullført	完備
pop	ポップ
pop	pop
back	戻る
back	後ろ
back	背中
back	裏側
måned	月間
samle	徴収
samle	集める
samle	収集
samle	集める
individuelle	個人
individuelle	個別
mannlige	男性
mannlige	オス
moss	コケ
sikker	シュア
sikker	セキュア
utstyr	道具
utstyr	装備
utstyr	機器
utstyr	機材
utstyr	歯車
utstyr	ギア
online	オンライン
games	ゲーム
lewis	ルイス
america	アメリカ
line	直線
line	ライン
flekker	しみ
flekker	斑点
oppgave	タスク
trykk	プレス
trykk	気圧
trykk	圧力
aleksander	アレクサンドル
aleksander	アレクサンドロス
aleksander	アレクサンダー
aleksander	アレキサンダー
kurs	コース
kurs	コース
trær	樹木
tilsvarer	同等
tony	トニー
nært	付近
nært	近く
studere	勉強
lengste	最長
fullførte	終了
utmerkelser	受賞
utmerkelser	表彰
oppgaver	代入
oppgaver	割り当て
oppgaver	タスク
oppgaver	雑用
markedet	市場
markedet	マーケット
advokat	弁護士
ford	フォード
ordre	命令
ordre	オーダー
ordre	注文
tjenester	サービス
opplysninger	情報
opplysninger	詳細
biler	カーズ
eva	eva
eva	エヴァ
eva	イブ
eva	イヴ
alan	アラン
kunstnere	芸術家
kunstnere	アーティスト
besøk	訪問
besøk	訪問
malmö	マルメ
anderson	アンダーソン
selskaper	会社
ledere	マネージャー
ledere	マネージャ
kors	十字架
kors	クロス
kors	cross
kors	十字
trodde	思考
miljø	環境
party	パーティ
party	パーティー
costa	コスタ
nepal	ネパール
fint	ナイス
fint	ニース
fint	素敵
bevegelse	モーション
bevegelse	ムーブメント
bevegelse	楽章
bevegelse	運動
grader	階級
betale	支払う
betale	支払い
das	ダス
das	das
real	real
real	本物
real	リアル
slette	消去
slette	削除
slette	削除
praktisk	便利
konsert	コンサート
brukeren	ユーザー
brukeren	ユーザ
egg	エッグ
egg	エッグ
rent	ピュア
rent	純粋
rent	クリーン
rent	きれい
url	url
preussen	プロイセン
elver	河川
salg	販売
salg	売り上げ
salg	セールス
salg	売上
salg	セール
kanal	チャネル
kanal	チャンネル
kanal	海峡
fysisk	フィジカル
fysisk	物理
presidenten	大統領
presidenten	プレジデント
presidenten	社長
møttes	met
øyne	アイズ
mengder	金額
mengder	数量
stjerne	スター
stjerne	恒星
stjerne	star
gaten	ストリート
gaten	通り
yngste	最年少
premiere	初演
premiere	プレミア
vekst	成長
vekst	発育
symbol	シンボル
symbol	記号
vingene	ウイングス
skje	スプーン
seoul	ソウル
ambassadør	大使
ambassadør	アンバサダー
madrid	マドリッド
madrid	マドリード
guinea	ギニア
søke	応募
søke	適用
søke	検索
spredt	散逸
utlandet	海外
utlandet	海外
søndre	サザン
søndre	南部
musikere	ミュージシャン
flyr	fly
flyr	ハエ
flyr	フライ
flyr	飛ぶ
flyr	飛ぶ
flyr	フライング
velger	有権者
velger	選択
velger	選択
velger	選択
velger	select
produserer	プロデュース
produserer	製造業
mørk	ダーク
mørk	暗い
deltar	出席
sun	太陽
sun	sun
fyr	灯台
major	少佐
major	メジャー
major	専攻
blues	ブルース
estland	エストニア
johnny	ジョニー
sekretær	秘書
irske	アイリッシュ
teori	セオリー
teori	理論
produkter	プロダクト
produkter	商品
produkter	製品
bulgaria	ブルガリア
million	ミリオン
million	million
million	百万
natur	natur
natur	ネイチャー
natur	自然
uvanlig	珍しい
uvanlig	珍しい
prinsesse	王女
prinsesse	プリンセス
bibliotek	図書館
bibliotek	ライブラリ
page	ページ
forstand	センス
forstand	感覚
oblast	オーブラスチ
josef	ヨセフ
windows	windows
kai	kai
kai	カイ
midler	資金
dan	ダン
dan	dan
uruguay	ウルグアイ
bonus	ボーナス
skuespill	演技
reklame	広告
syria	シリア
tanke	思考
sikret	セキュア
oppe	二階
tree	ツリー
viking	バイキング
broren	兄弟
broren	ブラザー
jim	ジム
grå	灰色
grå	グレイ
grå	グレー
grå	灰色
grå	グレイ
grå	グレー
force	フォース
get	ゲット
get	get
grønn	グリーン
grønn	緑色
konservative	保守
igjennom	through
igjennom	スルー
tvil	疑念
tvil	疑念
uavhengige	独立
uavhengige	インディペンデント
kongelig	王族
kongelig	ロイヤル
ferdinand	フェルディナンド
eiendom	プロパティ
eiendom	財産
beregnet	推定
medaljen	メダル
seieren	勝利
hull	船体
hull	ハル
hull	ホール
jurist	弁護士
passasjerer	乗客
seinere	後で
basis	基底
mere	もっと
format	フォーマット
format	書式
absolutt	絶対に
målvakt	ゴールキーパー
skaper	メーカー
skaper	クリエーター
julius	ジュリアス
julius	ユリウス
tog	電車
tog	列車
tog	トレイン
tog	tog
tog	電車
tog	列車
bygning	建物
jordan	ヨルダン
jordan	ジョーダン
flåten	艦隊
flåten	フリート
grense	制限
grense	リミット
grense	限界
blomster	お花
brede	広い
port	ゲート
port	港湾
port	ポート
davis	デービス
davis	デイヴィス
forsvant	失踪
masse	ミサ
masse	質量
havn	港湾
havn	ポート
hotel	ホテル
salt	塩辛い
hav	大洋
hav	sea
hav	大洋
nasjon	ネーション
nasjon	国民
luft	空気
luft	航空
luft	エア
peru	ペルー
enkle	シンプル
enkle	簡単
enkle	単純
death	デス
shanghai	上海市
shanghai	上海
samuel	サミュエル
blad	マガジン
blad	雑誌
blad	葉っぱ
howard	ハワード
konflikt	競合
konflikt	紛争
konflikt	対立
konflikt	コンフリクト
nevner	言及
nevner	言及
nevner	mentions
nevner	言及
digital	デジタル
dans	ダンス
dans	ダンス
dans	ダンシング
dans	踊り
dans	踊る
stephen	スティーヴン
country	国名
country	カントリー
jobben	職業
jobben	仕事
jobben	ジョブ
delte	共有
debut	デビュー
nettstedet	ウェブサイト
nettstedet	サイト
nettstedet	敷地
vær	天候
vær	天気
vær	気象
project	プロジェクト
filip	フィリップ
forsøkt	未遂
tommy	トミー
web	web
web	ウェブ
kapasitet	定員
kapasitet	容量
kjærlighet	ラヴ
kjærlighet	ラブ
forbudt	禁止
gul	イエロー
gul	黄色
tradisjonen	伝統
tiltak	措置
chile	チリ
sikkerhet	セキュリティ
sikkerhet	セキュリティー
sikkerhet	安全
sikkerhet	セーフティ
kjønn	性別
kjønn	ジェンダー
bedrifter	会社
bedrifter	ビジネス
aktivt	アクティブ
natt	ナイト
gammelt	古い
gammelt	オールド
potter	ポッター
marine	海軍
marine	ネイビー
marine	マリン
sesonger	季節
sesonger	シーズン
slettes	削除
venezia	ベニス
venezia	ヴェネツィア
venezia	ベネチア
rosa	ピンク
rosa	ナデシコ
rosa	ローザ
utendørs	アウトドア
utendørs	屋外
utendørs	アウトドア
utendørs	屋外
rose	ローズ
rose	ロゼ
rose	バラ
rose	rose
rose	薔薇
krysset	交差点
liga	リーグ
moore	ムーア
forum	フォーラム
research	研究
research	リサーチ
kloster	修道院
