korriku	july
vërtetohet	evidenced
atomi	atom
boshnjake	bosnian
zbulohet	uncovered
zbulohet	discovered
zbulohet	detected
zbulohet	unveiled
zbulohet	unearthed
rrezikuar	endangered
dialog	dialogue
dialog	dialog
burgosurit	cons
dekorative	decorative
ser	ser
misri	corn
carmen	carmen
rrotullohet	spinning
rrotullohet	spins
lagësht	moist
lagësht	humid
lagësht	wet
frymëzim	inspiration
aziatike	asian
sjelljet	behaviors
sjelljet	manners
piro	piro
aristoteli	aristotle
moshave	ages
mbledh	collect
mbledh	collects
syrin	eye
agimi	dawn
trimëri	bravery
trimëri	valor
paraardhësi	predecessor
paraardhësi	ancestor
mises	mises
siperfaqe	surface
përgatit	prepares
dollari	dollar
dass	dass
fleta	scroll
fleta	sheets
pajisja	device
pajisja	inflatable
laike	secular
fronit	dauphin
buda	buddha
fragment	fragment
fragment	excerpt
senator	senator
dimensione	dimensions
fijet	strands
vula	stamp
vula	seal
shpëton	saves
shkëmbinjtë	cliffs
ankara	ankara
tamil	tamil
vittorio	vittorio
prodhoi	produced
buta	soft
jasht	out
albin	albin
vrasin	kill
përqëndruar	concentrated
përqëndruar	focused
vita	vita
kronikë	chronicle
arra	nuts
arra	walnuts
prilli	april
lepuri	rabbit
deux	deux
karta	cards
karta	charter
karta	card
gruri	wheat
stadiumit	bleachers
komedian	comedian
pafajshëm	innocent
liberal	liberal
fetë	religions
flori	gold
mushkërive	lung
buffon	buffon
zvogëlohet	reduced
zvogëlohet	shrinks
komision	commission
kilmister	kilmister
talenti	talents
talenti	talent
oskar	oscar
oskar	oskar
lëmuar	polished
pluhur	powder
pluhur	dust
hamza	hamza
vrasjet	murders
vrasjet	killings
konfirmuar	confirmed
mbushura	stuffed
rrushi	grape
rrushi	vines
rrushi	grapes
qajar	qajar
strategjik	strategic
argjentinas	argentinean
argjentinas	argentine
kushtetutë	constitution
xml	xml
pacientët	patients
zyrtarët	officials
kontaktet	contacts
kurrizore	spine
stalin	stalin
dizajnuar	designed
domate	tomato
domate	tomatoes
zhdukjen	extinction
zhdukjen	disappearance
pronari	owner
papua	papua
pjes	part
performanca	performance
vizitohet	visited
zhvillimeve	developments
catherine	catherine
kristian	christian
kristian	kristian
nilit	nile
peshës	middleweight
roshi	roshi
troje	trojan
fra	fra
binar	binary
gaudi	gaudí
destinacion	destination
detyrimeve	obligations
kapituj	chapters
përafërt	approximate
përveq	except
anglo	anglo
steven	steven
bursa	bursa
bursa	scholarships
dardania	dardania
sundues	rulers
heshtur	silent
heshtur	acquiescence
mbeturina	garbage
mbeturina	rubbish
komik	comic
rituale	rituals
qershori	june
vasa	vasa
zëvendësohet	replaced
salm	salm
ieee	ieee
adresën	address
armiq	enemies
namaz	prayer
limousin	limousin
provoi	proved
roje	guards
roje	guard
ujku	wolf
odiseu	odysseus
blerjen	purchase
deklaratën	declaration
got	got
toma	toma
walker	walker
qelizë	cell
jahja	yahya
unix	unix
njoftuar	notified
njoftuar	announced
rrëfen	narrates
rrëfen	confesses
prerje	cut
prerje	cuts
transportin	transportation
nice	nice
atmosfera	atmosphere
pranimin	acceptance
pranimin	admission
pranimin	accepting
macedonia	macedonia
nigeria	nigeria
nigeria	niger
aksionet	stocks
aksionet	shares
nguyễn	nguyễn
telegram	telegram
hija	shadow
ngjitet	climb
kolonia	colony
rrënja	root
rrënja	roots
calvados	calvados
rroba	clothes
gas	gus
gas	gas
harku	arch
harku	bow
virtuale	virtual
gjuhëtar	linguist
mistike	mystical
mistike	mystic
klasifikuar	classified
bankë	bank
bandat	gangs
harqe	bows
mbrenda	inside
nënshkrimi	signing
nënshkrimi	signature
internacionale	international
dominuese	masterful
