heller	heller
umwandlung	muutumine
umwandlung	muuta
rosenberg	rosenberg
chaos	segadus
chaos	kaos
xaver	xavier
ansiedlung	asula
zoo	loomaaed
gestiftet	annetatud
bezahlt	tasub
bezahlt	maksab
bezahlt	makstud
bezahlt	tasustatud
bezahlt	tasutud
bezahlt	tasus
cornelius	cornelius
bobby	bobby
interne	sise
interne	sisemised
interne	sisemine
besetzte	hõivatud
besetzte	okupeeritud
imo	imo
käfer	mardikad
käfer	putukad
käfer	putukas
käfer	mardikas
hinterlassen	jäta
gem	acc
gem	gem
weihnachten	jõulud
weihnachten	jõule
reguläre	korrapärane
reguläre	regulaarsed
reguläre	tavaline
reguläre	korrapärased
reguläre	regulaarne
fachbereich	osakond
fachbereich	õppejõud
fachbereich	teaduskonna
beobachtungen	tähelepanekud
beobachtungen	vaatlused
beobachtungen	nähtud
beobachtungen	tähelepanek
beobachtungen	vaatluse
beobachtungen	vaatlus
laien	võhik
dekan	dean
dekan	dekaan
ausgeliefert	tarnitud
häftlinge	vange
häftlinge	vangid
häftlinge	kinnipeetavate
russen	vene
russen	venelane
russen	venelased
allee	avenue
allee	avenüü
allee	alley
basilika	basiilika
zyklus	tsüklit
zyklus	tsükkel
ganzes	terve
ganzes	terved
ganzes	tervik
ganzes	tervelt
ndr	ndr
heiliger	pühakud
heiliger	pühakute
heiliger	püha
heiliger	pühal
heiliger	pühak
heiliger	saint
tendenz	trend
tendenz	suundumus
tendenz	kalduvus
tendenz	kalduvus
garcía	garcia
garcía	garcía
beibehalten	säilitatud
beibehalten	säilinud
beibehalten	hoida
beibehalten	hoia
beibehalten	hoian
beibehalten	hooldatud
beibehalten	säilita
orleans	orleans
orleans	orleansi
anstieg	tõuse
anstieg	tõus
anstieg	surge
österreicher	austerlased
österreicher	austria
eddie	eddie
vorbereitet	valmis
vorbereitet	valmistatud
vorbereitet	ettevalmistatud
einheitliche	ühtne
einheitliche	ühtse
einheitliche	ühtne
einheitliche	ühtlane
einheitliche	ühtsed
einheitliche	munder
urheberrecht	autoriõigused
urheberrecht	autoriõigus
landschaften	maastik
landschaften	maastikud
landschaften	maastik
landschaften	maastiku
anstellung	värbamine
festland	mandri
baltimore	baltimore
kannte	teadis
kannte	teadsid
kannte	teadsin
fotografen	fotograafid
fotografen	fotograaf
einverstanden	leppis
einverstanden	kokkulepitud
einverstanden	nõus
mund	suu
mund	suud
löst	lahendab
soziales	sotsiaalsed
soziales	sotsiaalne
xiv	xiv
reformen	reform
reformen	reformid
sklaven	orja
sklaven	ori
sklaven	orjad
weinbau	veini
weinbau	vein
weinbau	veinid
griechen	kreeklased
griechen	kreeka
individuelle	üksikute
individuelle	individuaalsed
individuelle	individuaalne
fair	õiglane
fair	aus
fair	laat
scheitern	ebaõnnestumine
scheitern	rike
scheitern	tõrge
scheitern	läbikukkumine
scheitern	rikete
spitzen	pits
aussieht	paistab
mohammed	mohammad
mohammed	muhammad
mohammed	mohammed
mohammed	mohamed
arkansas	arkansases
erwerben	omandada
indonesien	indoneesia
indonesien	indoneesia
reagieren	reageerivad
reagieren	reageeri
reagieren	reageerima
reagieren	reageerida
reagieren	reageerivad
bedingung	tingimuslikud
bedingung	tingimuslik
bedingung	tingimustega
bedingung	seisukord
bedingung	tingimus
bedingung	seisund
bedingung	piirangu
bedingung	piirang
paolo	paolo
tagebuch	päevik
tagebuch	päevik
entsprechender	vastav
ethik	eetiline
ethik	eetika
ausgewählte	valitud
britisch	briti
entdecken	avastama
entdecken	avastavad
entdecken	avastada
entdecken	avasta
entdecken	avastama
entdecken	discovery
entdecken	avastus
entdecken	avastamine
beginnend	algus
frequenz	esinemissagedus
frequenz	sagedus
lit	valgustatud
auffällig	silmatorkavalt
auffällig	märgatav
auffällig	silmatorkav
auffällig	silmatorkav
verlinkung	lingi
verlinkung	link
verlinkung	seos
seltene	harv
seltene	harva
seltene	haruldased
seltene	haruldane
marshall	marshall
marshall	marshalli
marshall	marssal
wortes	sõna
handwerk	käsitöö
handwerk	käsitöö
handwerk	käsitöö
most	enamikul
most	enamus
most	enamik
most	enim
grosse	suured
grosse	suure
grosse	suur
gütersloh	gütersloh
geeignete	sobiv
geeignete	asjakohane
geeignete	kohane
geeignete	sobilik
geeignete	sobiv
geeignete	sobilik
geeignete	sobivad
contest	võistlus
contest	konkurss
houston	houston
adrian	adrian
reichlich	külluslik
gefallenen	langenud
kaffee	kohvi
kaffee	kohv
kaffee	cafe
kaffee	kohvikus
kaffee	kohvik
gedenkstätte	memorial
agent	agent
zagreb	zagreb
fokus	fookus
fokus	fookuses
verbesserungen	parandused
verbesserungen	täiustused
verbesserungen	täiustamine
verbesserungen	paranemine
verbesserungen	parandamine
gegenseitig	vastastikku
schien	ilmus
schien	ilmunud
schien	säras
schien	tundus
modellen	mudelid
modellen	modellid
turnieren	turniiridel
grey	hallid
grey	hall
grey	grey
krakau	kraków
gedenken	mälestus
gedenken	meenutades
gedenken	mälestamine
gedenken	mälestada
gesendet	edastatud
gesendet	saadetud
gesendet	kursis
gesendet	lähetatud
zypern	zimbabwe
zypern	küpros
zypern	malta
anleitung	suunised
anleitung	juhised
anleitung	käsitsi
anleitung	käsiraamat
anleitung	manuaal
anleitung	juhised
anleitung	juhend
anleitung	juhendid
jeff	jeff
staatsbürgerschaft	kodakondsus
staatsbürgerschaft	rahvus
staatsbürgerschaft	kodakondsus
zwang	sundis
zwang	sunnitud
zwang	lummus
zwang	sundimine
zwang	piirangu
zwang	piirang
unterart	alatüübi
unterart	alamliik
kürzer	lühem
komplexe	kompleksid
komplexe	keerukus
komplexe	keerukust
komplexe	keerukuse
komplexe	keerukas
komplexe	kompleks
verbündeten	liitlaste
verbündeten	liitlased
verbündeten	liitlane
verbündeten	ally
monats	igakuine
monats	kuu
türme	tornid
türme	tower
türme	torn
hut	mütsid
hut	müts
hut	mütsi
hut	kaabu
hut	kübar
verbleib	saatuse
verbleib	saatus
abgeschafft	kaotati
milch	dairy
milch	piima
milch	piim
langjährigen	kauaaegne
kommerziellen	kaubanduslik
kommerziellen	reklaam
jon	jon
schmitt	schmitt
bestände	varud
bestände	varud
bestände	varude
bestände	inventuuri
bestände	karjad
weswegen	miks
hills	hills
baptist	baptist
anfänglich	esialgu
anfänglich	algselt
beeinflussen	mõju
bug	putukas
bug	vibu
bug	kummardus
meilen	miil
meilen	miili
meilen	miles
meilen	miili
meilen	läbisõit
farm	talu
farm	farm
oberstleutnant	kolonel
ermitteln	tuvastada
ermitteln	tuvasta
ermitteln	kindlaks
freizeit	vabaaja
freizeit	sport
freizeit	spordi
drum	trumm
drum	trummi
gera	gera
motorrad	rattad
motorrad	mootorrattad
motorrad	ratas
motorrad	jalgratas
motorrad	ratta
motorrad	mootorratas
motorrad	mootorratta
lutherische	luterlane
aktueller	aktiivne
aktueller	praeguse
aktueller	praegune
peer	peer
wellen	lained
wellen	laineid
maßstab	mõõdupuu
maßstab	mõõtkavas
maßstab	skaala
ständige	alalise
ständige	alalised
ständige	alaline
ständige	püsiv
ständige	pidev
landete	maandunud
landete	maandus
sopran	soprano
schoss	sülle
schoss	lask
schoss	tulistatud
schoss	tulistas
fachliteratur	kirjandus
philosophische	filosoofiline
klassiker	klassika
klassiker	klassikalised
klassiker	klassika
klassiker	klassikalise
klassiker	klassikaline
klassiker	klassika
klassiker	klassikalised
klassiker	classic
klassiker	klassikaline
burgund	bourgogne
burgund	burgundia
partnerschaft	partnerluse
partnerschaft	partnerlus
partnerschaft	partnerlus
erfordert	nõuab
brot	päts
brot	leib
brot	leiba
ukrainischen	ukraina
xiii	xiii
lehren	tunnid
lehren	õppetunnid
lehren	õpetamine
lehren	õpetamise
lehren	õpeta
lehren	õpetada
lehren	õpetused
marseille	marseille
marseille	marseille
hugh	hugh
chen	chen
leon	leon
ostseite	idas
ostseite	itta
ostseite	ida
höfe	põllumajandusettevõtete
höfe	kohtud
beethoven	beethoven
mönche	mungad
krefeld	krefeld
tommy	tommy
ungarisch	ungari
rgb	rgb
tool	tööriist
glatt	plain
glatt	tõrgeteta
glatt	sujuv
glatt	mahe
glatt	sile
beauftragte	saadik
beauftragte	tellitud
beauftragte	delegeerida
aussicht	väljavaade
aussicht	prospekt
aussicht	väljavaade
aussicht	väljavaated
aussicht	vaated
aussicht	seisukohad
aussicht	vaade
erwerb	omandamine
erwerb	ostu
erwerb	ostmine
erwerb	ost
erwerb	omandamine
erwerb	soetamine
passage	läbipääsu
niedriger	madalam
niedriger	madalamad
niedriger	alumine
niedriger	madalamale
portugiesischer	portugali
run	jooks
saudi	saudi
reformierten	reformitud
bittet	kutsub
bittet	küsib
bittet	palub
bittet	anu
olaf	olaf
bewusstsein	südametunnistus
bewusstsein	teadlikkus
bewusstsein	teadlikkust
bewusstsein	teadvuse
bewusstsein	teadvus
bewusstsein	teadvusel
berufliche	ametialane
apostolischen	apostellik
erlauben	lubamine
erlauben	luba
erlauben	luba
porträts	portreed
porträts	portree
ausgegangen	kuupäevaga
avenue	avenue
avenue	avenüü
motors	motors
motors	mootorid
schumann	schumann
remix	remix
trikot	jersey
lorenzo	lorenzo
gescheitert	nurjunud
gescheitert	ebaõnnestunud
gescheitert	nurjus
gescheitert	ebaõnnestus
renate	renate
künftig	edaspidi
masters	isandad
masters	meistrid
opern	ooper
opern	ooperi
opern	oopereid
tschechisch	tšehhi
angebote	pakkumised
angebote	pakub
angebote	pakkumisi
zugewiesen	omistatud
zugewiesen	määratud
zugewiesen	eraldatud
zugewiesen	omistatud
grundlegend	põhimõtteliselt
kriegen	sõjad
kriegen	sõdu
reifen	rehvid
reifen	rehv
reifen	rehv
reifen	rehvi
reifen	küps
wolfram	volfram
roberts	roberts
komitee	komitee
komitee	comité
hirsch	hirv
hirsch	hirve
hirsch	hirsch
ludwigs	ludwig
umstand	asjaolud
unterarten	alamliik
ermittlungen	uurimised
ermittlungen	uuringud
ermittlungen	uurimine
speicher	hoidla
speicher	ladustamise
speicher	säilitamine
speicher	ladustamine
speicher	memory
speicher	mälu
speicher	mälestus
nancy	nancy
hunter	kütt
hunter	hunter
hunter	jahimees
verschieden	teistsugune
verschieden	erinevad
verschieden	erinev
verschieden	mitmekesine
krieger	sõdalased
krieger	krieger
krieger	sõdalane
umstände	asjaolud
umstände	asjaolud
systematisch	süstemaatiliselt
systematisch	süstemaatiline
ehepaar	paar
delta	delta
armin	armin
ivan	ivan
stichwort	võtmesõnad
stichwort	märguanne
stichwort	võtmesõna
erwünscht	soovitud
erwünscht	soovitav
erwünscht	hinnatud
erwünscht	tahtis
erwünscht	tagaotsitav
erwünscht	tahtsin
konzentriert	koondunud
konzentriert	kontsentreeritud
konzentriert	keskendunud
edwin	edwin
kent	kenti
kent	kent
matthäus	matthew
bond	side
bond	bond
aluminium	alumiiniumi
aluminium	alumiinium
aluminium	alumiiniumist
aluminium	alumiinium
dimension	mõõtmed
dimension	mõõde
schönheit	ilu
schönheit	iludus
schönheit	kaunitar
sauerstoff	hapnik
sauerstoff	hapnikku
erstellte	koostatud
erstellte	loodi
erstellte	loodud
mitchell	mitchell
marion	marion
rasse	rassilise
rasse	tõug
rasse	tõu
rasse	ralli
rasse	võidusõit
rasse	rass
ingolstadt	ingolstadt
zähne	hammas
zähne	hamba
zähne	hambad
cottbus	cottbus
freuen	rõõmustada
gültig	kehtiv
gültig	kehtib
statthalter	kuberner
sri	sri
systematische	süstemaatiline
denkbar	mõeldav
satelliten	satelliidid
satelliten	satelliit
symbole	tähised
symbole	sümbolid
symbole	ikoonid
germanischen	germaani
theo	theo
medaillen	medal
medaillen	medalid
abbruch	abort
abbruch	katkestamine
abbruch	lammutamine
spannungen	rõhutab
spannungen	pinge
spannungen	pingeid
spannungen	pinged
spannungen	pingeid
spannungen	pinged
resultat	tulemus
bricht	murdub
bricht	murrab
sony	sony
verarbeitung	töötlus
verarbeitung	töötlemine
sechste	kuuendaks
sechste	kuues
empfohlen	soovitatud
empfohlen	soovitas
empfohlen	soovitatav
empfohlen	soovitatavad
empfohlen	soovituslik
empfohlen	soovitatud
empfohlen	soovitas
five	viis
vernichtet	hävinenud
vernichtet	hävitatud
vernichtet	hävinud
vernichtet	hävita
vernichtet	hävitamine
vernichtet	hävitada
vernichtet	hävitatud
frühling	kevad
raf	raf
akzeptieren	lepi
akzeptieren	nõustu
akzeptieren	nõus
gräber	hauakambrid
renovierung	renoveeritud
renovierung	renoveerimine
renovierung	renoveerimise
collins	collins
collins	collin
einander	vastastikku
übersehen	vastamata
wäldern	mets
wäldern	woods
wäldern	metsad
analysis	algebra
massiven	massiivne
terry	terry
gleichung	võrrand
sockel	cap
sockel	socket
erlaubte	lubatud
erlaubte	lubatud
vergeblich	edev
mögen	nagu
mögen	meeldib
mögen	meeldib
traditionen	traditsioonid
traditionen	traditsioon
traditionen	traditsioonid
behauptete	väidetud
behauptete	väitis
behauptete	väidetava
behauptete	väidetav
six	kuus
hunde	koerad
hunde	koera
hunde	koer
krebs	vähid
krebs	krebs
krebs	vähk
verfolgen	jälgimine
verfolgen	kummitama
virus	viiruse
virus	viirus
girls	tüdrukud
girls	girls
unit	ühik
unit	üksus
fett	rasvad
fett	rasv
fett	julge
fett	rasvane
fett	rasv
fett	rasva
fett	paksud
fett	paks
direkter	otsene
direkter	vahetu
direkter	direct
direkter	otsesed
anzeigen	kuva
anzeigen	vaade
anzeigen	reklaamid
anzeigen	reklaame
anzeigen	näidatakse
anzeigen	näitamine
anzeigen	näita
anzeigen	etendus
anzeigen	show
alain	alain
blättern	leht
blättern	lehti
blättern	lehed
blättern	keri
angetrieben	sõitnud
angetrieben	jõul
wiederholen	korduv
wiederholen	korratud
wiederholen	korda
wiederholen	korrata
wiederholen	kordamine
wiederholen	kordan
wiederholen	kordus
reformierte	reformitud
astronomie	astronoomia
stadtzentrum	kesklinna
stadtzentrum	kesklinn
stadtzentrum	kesklinnas
stadtzentrum	keskus
decke	laed
decke	teki
decke	tekk
decke	tekke
decke	tekid
decke	lagi
decke	katus
wohnt	elud
wohnt	elab
schritte	sammud
schritte	jälgedes
schritte	astmed
schritte	sammud
wachsenden	kasvab
wachsenden	kasvavad
wachsenden	kasvav
dominiert	domineerib
dominiert	domineerida
dominiert	domineeriv
dominiert	domineerivad
geschafft	õnnestus
geschafft	tehtud
geschafft	tehtud
geschafft	õnnestus
michail	mihhail
linden	pärna
ulrike	sarah
ulrike	julia
nicholas	nicolas
nicholas	nikolai
nicholas	nicholas
jubiläum	juubeli
jubiläum	juubel
jubiläum	aastapäevad
jubiläum	aastapäeva
jubiläum	aastapäev
schnabel	nokk
française	française
schriftlich	kirjutatud
schriftlich	kirjalik
schriftlich	kirjutanud
schriftlich	kirjutamine
palästina	palestiina
palästina	palestiina
klärung	selgitamine
klärung	selgitamine
klärung	selgitus
wilfried	wilfred
verfolgte	kummitab
angewandt	kohaldatud
angewandt	rakendatud
zehnten	kümnes
still	ikkagi
still	ikka
eingeleitet	alustatud
eingeleitet	algatatud
beobachter	vaatlejad
beobachter	monitorid
beobachter	jälgib
beobachter	jälgija
beobachter	vaatleja
bilanz	saldo
bilanz	tasakaalu
bilanz	tasakaal
bilanz	bilanss
produkten	tooted
fürth	fürth
indirekt	kaudsed
indirekt	kaudne
indirekt	kaudselt
mtv	mtv
alias	varjunimi
alias	alias
alias	aka
bestätigung	kinnitus
bestätigung	kinnitus
bestätigung	kinnitus
bestätigung	kinnitada
bestätigung	kinnitan
bestätigung	kinnita
bestätigung	kinnitamine
bestätigung	valideerimine
mühlen	mill
mühlen	veski
mühlen	tuuleveskid
mühlen	mills
wiederherstellen	taastamine
wiederherstellen	taasta
wiederherstellen	taastamine
massaker	veresaun
massaker	veresauna
massaker	tapatalgud
suffix	sufiks
rudolph	rudolph
umgangssprachlich	släng
rennfahrer	võistlejad
rennfahrer	racer
beseitigt	lahendatud
beseitigt	kaotati
aufschwung	elustamine
matrix	massiivi
matrix	maatriks
matrix	matrix
ähnlichkeit	sarnasusi
ähnlichkeit	sarnasus
ähnlichkeit	sarnasust
ähnlichkeit	sarnasus
empfehlung	soovitatav
empfehlung	soovitatavad
empfehlung	soovituslik
empfehlung	soovitatud
empfehlung	soovitas
empfehlung	soovitus
empfehlung	soovitus
bedrohung	ähvardused
bedrohung	ohud
bedrohung	oht
bedrohung	ähvardus
eindeutige	ühemõtteline
einweihung	pühendumus
einweihung	ametisseastumise
landkreise	piirkonnad
landkreise	maakondades
landung	maandumine
saniert	rehabiliteeritud
sozialer	sotsiaalsed
sozialer	sotsiaalne
statistischen	statistika
statistischen	statistilised
statistischen	statistiline
dallas	dallas
fein	peeneks
fein	fine
fein	trahv
fein	trahvi
fein	fein
pole	poolakad
herman	herman
besiegt	vallutanud
besiegt	vallutatud
besiegt	löödud
besiegt	peksti
besiegt	võidetud
besiegt	löödud
krause	krause
bindung	siduv
bindung	siduvad
bindung	side
bindung	bond
entwürfe	kavandid
entwürfe	eelnõude
schwimmen	ujuda
schwimmen	ujumine
early	early
early	vara
early	varajane
early	varajased
early	varane
abkürzungen	lühend
abkürzungen	lühendid
protest	protest
protest	protesti
protest	protestid
messina	messina
organisierten	korraldatud
organisierten	organiseeritud
organisierten	organiseeritud
kugel	sfääri
kugel	kera
kugel	ball
kugel	pall
kugel	palli
kugel	kera
kugel	kuuli
kugel	kuul
kosovo	kosovo
delegation	delegatsioon
färbung	värvus
trophy	trofee
ausstrahlung	ülekanne
ausstrahlung	karisma
ausstrahlung	ringhäälingu
pest	kahjurite
pest	katk
pest	katk
indischer	india
indischer	indiaanlane
genehmigt	lubatud
genehmigt	heakskiidetud
universum	universum
gespräche	kõnelused
gespräche	vestlused
gespräche	vestlused
gespräche	intervjuud
gespräche	arutelud
biathlon	laskesuusatamise
wärme	termilise
wärme	kuumus
wärme	soojus
wärme	soojuse
wärme	soojad
wärme	sooja
wärme	soe
wärme	soojus
wärme	küte
wärme	kütte
kommerzielle	kaubanduslik
kommerzielle	reklaam
korrigieren	parandus
korrigieren	korrigeerimine
korrigieren	korrektsioon
korrigieren	parandused
korrigieren	parandamine
korrigieren	paranda
korrigieren	korrektne
korrigieren	õige
mechanische	mehaanilised
mechanische	mehaaniline
moor	raba
moor	rabas
moor	marsh
moor	raba
bezeugt	tunnistas
erfüllung	vastavus
schach	male
hauptquartier	staap
hauptquartier	peakorter
ward	ward
vieles	paljud
vieles	paljusid
vieles	palju
vieles	much
vieles	palju
einheitlich	ühtne
einheitlich	ühtse
einheitlich	ühtne
einheitlich	ühtlaselt
einheitlich	ühtlane
einheitlich	ühtsed
einheitlich	munder
einbau	paigaldus
einbau	paigaldus
einbau	paigaldamine
einbau	rajatis
steinen	kivid
steinen	kive
breitengrad	laiuskraad
breitengrad	laius
breitengrad	paralleelsed
breitengrad	paralleelne
breitengrad	paralleelselt
breitengrad	pikkuskraad
silberne	hõbeda
silberne	silver
silberne	hõbe
commonwealth	ühendus
commonwealth	cac
klang	heli
verpflichtete	kohustatud
verpflichtete	värvati
verpflichtete	värvatud
malta	malta
sitzung	seanss
sitzung	seansi
sitzung	koosolek
sitzung	kohtumine
sitzung	istumine
sitzung	istudes
sitzung	istub
bolivien	boliivia
bolivien	boliivia
wohin	kus
wohin	kuhu
schwerpunkte	rõhutab
schwerpunkte	fookus
schwerpunkte	fookuses
schwerpunkte	prioriteedid
seoul	soul
relevanter	asjakohane
relevanter	asjakohased
verpflichtung	covenant
verpflichtung	kohustus
verpflichtung	pühendumus
verpflichtung	kohustuse
verpflichtung	pühendumine
verpflichtung	kohustus
verpflichtung	kohustused
teilnahmen	osalenud
teilnahmen	osales
teilnahmen	osalesid
teilnahmen	osales
aufsatz	essee
benutzung	kasutamine
benutzung	kasutus
leiche	laiba
leiche	laip
leiche	laip
warner	warner
lernt	õpib
verträge	lepingud
verträge	lepingud
nordsee	põhi
nordsee	põhja
nordsee	põhjas
abschied	hüvasti
abschied	hüvasti
perfekt	perfektne
perfekt	ideaalne
perfekt	täiuslik
perfekt	perfektselt
perfekt	täiuslikult
burgruine	varemed
kommunisten	kommunistid
kommunisten	kommunist
kommunisten	kommunistliku
kommunisten	kommunistlik
eingegangen	saadi
eingegangen	saadud
eingegangen	laekunud
ngc	ngc
definieren	määratleb
definieren	määratlemine
definieren	defineeri
definieren	määratleda
augustin	augustine
augustin	augustin
gotischen	gooti
werdegang	karjäär
werdegang	karjääri
werdegang	ajalugu
werdegang	ajaloo
organ	organid
organ	organi
organ	elundite
organ	organ
konto	konto
inhaftiert	arreteeritud
inhaftiert	vahistatud
inhaftiert	kinnipeetud
inhaftiert	vangistatud
inhaftiert	vangistati
busse	buss
busse	bussi
busse	bussiga
busse	treenerid
busse	bussid
busse	bussid
mineral	mineraal
mineral	mineraalid
mixed	segatud
mixed	sega
mixed	segunenud
konzerten	kontserdid
holger	holger
kommissar	uurija
kommissar	detektiiv
kommissar	inspektor
kommissar	inspektori
kommissar	komissar
kommissar	komissar
kommissar	komissar
kommissar	volinik
erlernte	õppis
erlernte	õpitud
erlernte	õppinud
erlernte	õppisin
erlernte	õpitud
uhrzeigersinn	päripäeva
präsentierte	esitletud
präsentierte	esitatud
dream	unistus
dream	dream
dream	unenägu
aktien	aktsiad
aktien	varud
aktien	varu
aktien	varude
aktien	jagab
aktien	aktsiad
aktien	omakapital
aktien	omakapitali
grammatik	keeleteadus
grammatik	grammatika
grammatik	grammatiline
lustig	lõbu
lustig	lõbus
lustig	fun
lustig	naljakas
lustig	naljakas
fernseh	televiisor
fernseh	televisiooni
fernseh	televisioon
silver	hõbeda
silver	silver
silver	hõbe
case	case
case	kohtuasi
case	juhtum
spanier	hispaanlane
spanier	hispaanlased
upper	ülemised
upper	ülemine
upper	ülemiste
filter	filter
filter	filtreeritakse
filter	filtri
filter	filtrid
hölle	põrgu
beat	peksa
meta	meta
charakteristisch	iseloomulik
grade	hinne
grade	kraadi
grade	kraadides
mönch	munk
mönch	monk
mönch	munk
plateau	platoo
befreien	vabastav
mathematischen	matemaatiline
amateur	amatöör
nachbarschaft	naabrid
nachbarschaft	naabrid
nachbarschaft	naabrus
nachbarschaft	naabrus
nachbarschaft	ümbruskond
staatsanwaltschaft	süüdistuse
staatsanwaltschaft	prokurör
staatsanwaltschaft	süüdistaja
popularität	populaarsus
laurent	laurent
konsequenzen	tagajärjed
rechtsprechung	jurisdiktsiooni
rechtsprechung	pädevus
rechtsprechung	kohtupraktika
rechtsprechung	kohtusüsteemi
rechtsprechung	kohtupraktika
bakterien	bakterite
bakterien	bakterid
martha	martha
pan	paan
pan	paani
pan	pan
pan	panni
channel	kanal
channel	kanalid
übersetzen	tõlkimine
übersetzen	tõlge
übersetzen	tõlkimine
übersetzen	tõlkida
übersetzen	tõlgi
übersetzen	tõlkimine
erhard	erhard
hunderte	sajad
hunderte	sadu
trainiert	õpetatud
trainiert	koolitatud
trainiert	treenitud
börse	vahetus
börse	börse
kings	kuningad
taunus	taunus
angefangen	alustatud
angefangen	alanud
angefangen	käivitatud
angefangen	algas
angefangen	hakkas
angefangen	alustas
angefangen	alustamine
angefangen	käivitamine
angefangen	alustatud
angefangen	alanud
damm	tamm
genua	genova
genua	genova
cook	cook
cook	kokk
exzellent	suurepärane
juristen	advokaadid
juristen	advokaadid
juristen	juristid
juristen	advokaat
juristen	jurist
rum	rumm
rum	rummi
preisgeld	auhinna
preisgeld	auhind
preisgeld	auhinnaks
sekunde	sekundid
sekunde	sekundit
sekunde	teine
sekunde	teiseks
sekunde	sec
sekunde	sek
warren	warren
nigeria	nigeeria
nigeria	nigeeria
fuhren	sõitsin
fuhren	sõitis
orient	orient
benötigen	vaja
benötigen	vajadus
gespeichert	säilitatud
gespeichert	salvestatud
gespeichert	ladustatud
gespeichert	päästetud
gespeichert	salvestatud
gespeichert	päästis
gültige	kehtiv
gültige	kehtib
bezirke	piirkonnad
bezirke	maakondades
paare	paaride
paare	paarid
paare	paar
paare	paari
paare	paari
paare	paaris
paare	paaride
paare	paarid
blood	veri
blood	vere
mathematische	matemaatiline
mathematische	matemaatika
mathematische	matemaatika
gefasst	püütud
gefasst	tabatud
set	komplekti
set	komplekt
set	määra
set	seadis
rechtfertigen	õigustada
störung	sekkumine
störung	häired
rekonstruktion	ülesehitamise
rekonstruktion	ülesehitus
administratoren	haldajad
administratoren	admin
administratoren	administraatori
administratoren	administraator
administratoren	administraatoritele
administratoren	haldur
administratoren	administraator
gelernt	õppis
gelernt	õpitud
gelernt	õppinud
gelernt	õppisin
gelernt	õpitud
gefüllt	täidisega
gefüllt	täidetud
auslegung	tõlgenduste
auslegung	tõlgendus
auslegung	tõlgendamine
auslegung	tõlgendamine
haushalt	kodumajapidamises
haushalt	leibkonna
haushalt	eelarve
haushalt	koristaja
marschall	marshall
marschall	marshalli
marschall	marssal
prediger	jutlustaja
installation	paigaldus
installation	paigaldamine
installation	rajatis
installation	paigaldamine
installation	paigaldamine
schöner	kaunist
schöner	ilus
schöner	kaunid
schöner	ilusad
schöner	kaunis
schöner	mõnus
schöner	kena
schöner	nice
kaspar	kaspar
kaspar	caspar
ecken	nurgad
ecken	servad
ecken	nurk
ecken	nurka
speichern	salvestamine
speichern	salvesta
speichern	päästmine
speichern	salvestamine
speichern	säästmine
speichern	pood
speichern	poodi
sprachlich	keelelise
schuss	lask
schuss	tulistatud
schuss	tulistas
freundlich	lahkelt
freundlich	lahkesti
freundlich	lahke
freundlich	sõbralikud
freundlich	sõbralik
gehäuse	eluaseme
gehäuse	kestad
zylinder	silindri
zylinder	ballooni
zylinder	silindrid
zylinder	tünn
vorschlagen	soovita
portugiesisch	portugali
wähler	valijaskonna
wähler	hääletaja
wähler	valija
wähler	valijad
reduzieren	vähendab
reduzieren	vähendamine
reduzieren	vähenda
reduzieren	vähendada
populär	populaarsus
filmmusik	skoor
filmmusik	punktisumma
gewinnung	kaevandamine
gewinnung	ekstraheerimisel
fotografien	fotode
fotografien	fotod
fotografien	fotode
fotografien	fotod
fotografien	photography
fotografien	fotograafia
fotografien	foto
zuständige	pädev
verknüpft	seotud
nachteil	tagastamise
gramm	gramm
gramm	grammi
gramm	memm
gramm	grammi
abgekürzt	lühendatud
wände	seinad
begleitung	järelevalve
begleitung	jälgimine
begleitung	seire
begleitung	kaasas
abwehr	kaitse
abwehr	kaitse
abwehr	riigikaitse
genres	žanr
konkurrenten	rivaalid
konkurrenten	konkurendid
konkurrenten	konkurente
konkurrenten	konkurentide
konkurrenten	konkurent
konkurrenten	konkurendi
wiederholte	korduv
wiederholte	korratud
landstraße	maantee
landstraße	kiirtee
chancen	võimalus
chancen	võimaluse
chancen	võimalused
gastgeber	peremees
gastgeber	võõrustaja
gastgeber	vastuvõtva
gastgeber	saatejuht
gastgeber	korraldas
denkt	mõtleb
denkt	arvab
kämpfer	võitlejad
kämpfer	sõdalased
kämpfer	hävitajad
kämpfer	võitlejad
kämpfer	võitleja
kämpfer	sõdalane
blumen	lilli
blumen	lilled
blumen	lill
blumen	õis
blumen	lilleke
wünschen	sooviks
wünschen	soov
wünschen	soovi
wünschen	soovib
wünschen	soove
wünschen	soovides
venus	veenus
schema	skeem
schema	kava
schema	skeem
alexandra	alexandra
split	pooleks
unruhen	rahutused
unruhen	rahutused
unruhen	mäss
unruhen	mässu
rosen	roosid
rosen	rosen
rosen	rose
rosen	roos
rosen	roosi
keith	keith
statistische	statistika
statistische	statistilised
statistische	statistiline
statistische	statistika
renommierten	prestiižne
tante	tädi
tante	tädi
einstellungen	värbamine
einstellungen	suhtumist
einstellungen	soodustused
einstellungen	eelistused
einstellungen	seadistused
erwiesen	tõestas
erwiesen	tõestasid
selbständig	sõltumatud
selbständig	iseseisev
selbständig	sõltumatu
selbständig	self
selbständig	sõltumatult
selbständig	iseseisvalt
wohn	elamu
meisterin	armuke
meisterin	perenaine
hudson	hudsoni
hudson	hudson
