ツチ	tutsi
モルタル	ครก
イボ	หูด
イボ	หูด
プディング	พุดดิ้ง
入れ墨	tattoo
裏通り	ซอย
裏通り	ตรอก
ドルフ	dolph
けん引	พ่วง
ノックスビル	knoxville
サベージ	เถื่อน
アントニヌス	antoninus
冠詞	บทความ
冠詞	ข่าว
冠詞	บทความ
ビュッフェ	บุฟเฟ่ต์
ビュッフェ	บุฟเฟต์
クエーサー	quasar
播種	ปลูก
播種	ปลูก
しびれ	ชา
傷口	แผล
傷口	บาดแผล
安治	yasuharu
アオスタ	aosta
吠える	เห่า
ジェルジ	györgy
マーロウ	marlowe
久和	kuwari
ヤロスラヴリ	yaroslavl
サンドウィッチ	แซนด์วิช
ヘアー	ขน
ヘアー	เส้นผม
リアーゼ	lyase
ヒキガエル	คางคก
ザクロ	ทับทิม
恩寵	พระคุณ
コンテキスト	บริบท
ペンシル	ดินสอ
堆肥	ปุ๋ย
ヒスイ	หยก
ヒスイ	เจด
ベイズ	bayes
トッカータ	toccata
泰雄	yasuo
シガー	ซิการ์
アンジー	angie
アトミック	อะตอม
アトミック	ปรมาณู
ラグ	ล่าช้า
ラグ	lag
ラグ	ชักช้า
ラグ	พรม
フォワ	foix
アナキズム	อนาธิปไตย
アグリッパ	agrippa
遠回り	อ้อม
富士夫	fujio
ジッダ	jeddah
ゲオルゲ	gheorghe
胡麻	งา
お花	ดอกไม้
チュメニ	tyumen
供物	เสนอ
アルガルヴェ	algarve
コミット	ก่อ
幸広	yukihiro
マリオット	marriott
サウル	โซล
サウル	ซอล
スラローム	slalom
イリ	ili
あくび	หาว
テート	เทท
テート	เทต
テート	เท็ท
テート	เท็ต
ジョヴァンナ	giovanna
腫れ	บวม
腫れ	บวม
腫れ	บวมๆ
ニシキヘビ	ไพธอน
オクテット	octet
滅びる	พินาศ
ゴリツィア	gorizia
脳幹	brainstem
かわいそう	คนจน
かわいそう	ยากจน
チェリャビンスク	chelyabinsk
ダイアグラム	แผนภาพ
ダイアグラム	ไดอะแกรม
イチジク	ฟิก
イチジク	ฟิค
ファンデーション	รากฐาน
ファンデーション	foundation
ファンデーション	มูลนิธิ
コンセプシオン	concepción
メイス	เมส
メイス	เมซ
ロープウェー	ropeway
マーキー	marquee
ルシヨン	roussillon
マウン	หม่อง
腹筋	abs
ダス	das
ひび割れ	ร่อง
ひび割れ	ร้าว
リュミエール	lumière
グルタチオン	glutathione
シロアリ	ปลวก
シロアリ	ปลวก
イマジネーション	จินตนาการ
シヴァージー	shivaji
即興曲	กะทันหัน
スワンナプーム	สุวรรณภูมิ
イグレシアス	iglesias
ピュイ	puy
ブランケット	ผ้าห่ม
滑車	รอก
アジャ	aja
チップス	ชิป
エイムズ	เอม
トリーア	trier
ヴャチェスラフ	vyacheslav
ザップ	เอื้อง
ザップ	เอื้อย
ザップ	เอื้อ
ザップ	เอื้อน
ザップ	zap
家路	มาตุภูมิ
暖炉	ผิง
暖炉	เตาผิง
グウェン	กวน
ウェッジ	สลิ่ม
ウェッジ	ลิ่ม
黄疸	ดีซ่าน
プロテアーゼ	protease
和らげる	บรรเทา
キアラ	chiara
スリッパ	รองเท้า
有珠	usu
ブリッグス	บริกส์
ギグ	กิ๊ก
バルトロメオ	bartolomeo
メキシカン	เม็กซิโก
孝允	takayoshi
オリョール	oryol
イットリウム	yttrium
ブガッティ	bugatti
ネイバー	naver
マウリツィオ	maurizio
ヌーシャテル	neuchâtel
レイシ	ลิ้นจี่
レーズン	ลูกเกด
ウォルマート	walmart
アバ	abba
ホークアイ	hawkeye
ボイシ	บอยซี
麺類	ก๋วยเตี๋ยว
麺類	บะหมี่
麺類	ก๋วยเตี๋ยว
麺類	บะหมี่
コシツェ	košice
アニマ	anima
ぼかし	เบลอ
聖天	shoten
シーツ	ผ้าปูที่นอน
口髭	หนวด
口髭	หนวด
プーマ	puma
蛇口	แตะ
蛇口	แท็ป
前足	อุ้งเท้า
前足	อุ้งมือ
玉ねぎ	หอม
ヘルム	นำร่อง
オストラヴァ	ostrava
デュバル	duval
アストラハン	astrakhan
ニャ	nha
アムル	amr
ローディング	โหลด
ヴァールブルク	warburg
牧羊	ชุลมุน
ジェネリック	ทั่วไป
インジェクション	ฉีด
シュルーズベリー	shrewsbury
アウン	ออง
ユーティリティー	เอนกประสงค์
ユーティリティー	อรรถประโยชน์
ユーティリティー	สาธารณูปโภค
ユーティリティー	อรรถประโยชน์
ユーティリティー	สาธารณูปโภค
シマウマ	ม้าลาย
タクシン	ทักษิณ
長春市	changchun
やけど	เบิร์น
やけど	ไหม้
やけど	burn
やけど	เผา
生姜	ขิง
露頭	outcrop
いかだ	แพ
ウロコ	เกล็ด
ウロコ	ตาชั่ง
クルガン	kurgan
リエカ	rijeka
マルティ	martí
フローティング	ลอย
ウィーナー	ไส้กรอก
愚か者	โง่
愚か者	หลอก
金剛力士	nio
オロモウツ	olomouc
ネフスキー	nevsky
アブラムシ	aphid
ミケル	mikel
カワウソ	นาก
マヌ	มานู
マヌ	manu
ボロディン	borodin
滑り台	เลื่อน
滑り台	สไลด์
バッシュ	bash
バッシュ	ทุบ
ロックス	หิน
ハールレム	haarlem
トキメキ	tokimeki
ファック	fuck
三奈	aoe
ターフ	ถิ่น
チュン	ชุน
リベレツ	liberec
手製	handmade
モンマルトル	montmartre
たんぱく質	โปรตีน
ヴェンツェル	wenzel
ヤナ	yana
テス	เทส
マージン	ขอบ
蝶番	บานพับ
オリエンテーション	ปฐมนิเทศ
アセット	สินทรัพย์
アセット	ทรัพย์สิน
アセット	สินทรัพย์
攪拌	ผัด
フアレス	juárez
胸壁	เสมา
ヤム	แยม
ヤム	เทศน์
ヤム	มันเทศ
ヤム	เทศ
ワカメ	สาหร่าย
トーア	toa
コマース	พาณิชย์
チロシン	tyrosine
ヴォロネジ	voronezh
借受	debtors
プライマリ	หลัก
コルセア	corsair
グラード	บัณฑิต
ハネウェル	honeywell
シルヴァン	sylvain
コロニア	colonia
パーマネント	ถาวร
挫傷	ฟกช้ำ
ゴンゾ	gonzo
じゅうたん	พรม
アモルファス	amorphous
スヴォーロフ	suvorov
ゾディアック	ราศี
ゾディアック	จักรราศี
クリスタ	christa
グッチ	gucci
セレーナ	selena
ハマグリ	หอย
ハマグリ	หอย
イメージング	ภาพถ่าย
ズヴェズダ	zvezda
ハウスドルフ	hausdorff
アモール	amor
ヴェルチェッリ	vercelli
エイリアス	นามแฝง
エイリアス	นามแฝง
ベグ	bey
エミュレーション	จำลอง
ギャツビー	gatsby
パラフィン	พาราฟิน
求む	ต้องการ
コッド	คอด
コッド	cod
ミュール	ล่อ
ヒーリー	healey
ジャッキ	แจ๊ค
ジャッキ	แจ๊ก
ジャッキ	แจ็ค
ジャッキ	jack
ジャッキ	แจ็ก
トスカ	tosca
ポリフォニー	polyphony
ヒアルロン	hyaluronic
かき氷	โกน
プロモ	โปรโมชัน
アルビノ	albino
ベジタリアン	มังสวิรัติ
軽石	pumice
オービタ	orbiter
アントニン	antonin
緑内障	ต้อหิน
ギザギザ	ขรุขระ
ボーズ	bose
ヴァレンティン	valentin
干ばつ	แล้ง
ヤウンデ	yaoundé
フラグメント	เศษ
エクスペリエンス	ประสบการณ์
エクスペリエンス	ประสบการณ์
ルーラー	ไม้บรรทัด
スレブレニツァ	srebrenica
ホノリウス	honorius
みにくい	ขี้เหร่
クロッシング	ข้าม
キア	เกียด
キア	เกีย
ウェルギリウス	เฝอ
ガリラヤ	galilee
排尿	ปัสสาวะ
ニュートラル	ฉนวน
グラディス	gladys
マグリブ	maghreb
レニウム	rhenium
アスピリン	แอสไพริน
けいれん	ตะคริว
けいれん	ตะคริว
先入観	อคติ
ブラウザー	บราวเซอร์
ブラウザー	เบราว์เซอร์
ケレス	ceres
レオニダス	leonidas
扁桃	ทอนซิล
アディ	แอด
ゆるい	หลุด
ゆるい	หลวม
バッテリ	แบตเตอรี่
ヒステリー	ฮิสทีเรีย
アリゲーター	จระเข้
リレーション	สัมพันธ์
ヴィルト	wirth
減数	haploid
ウィルトシャー	wiltshire
ほくろ	ไฝ
アジャクシオ	ajaccio
リブート	reboot
パレンバン	palembang
じゃがいも	potato
羨望	อิจฉา
羨望	ริษยา
デュアン	ดวน
痛風	เก๊าท์
切り取り	ตัด
切り取り	กรีด
切り取り	คัท
切り取り	ตัด
切り取り	พืช
ヴァルデマー	waldemar
スウィンドン	swindon
しっとり	ชื้น
しっとり	เปียก
脾臓	ม้าม
根気	อดทน
安息日	บาธ
デコーダ	ถอดรหัส
更正	reassessment
ジローラモ	girolamo
オクトパス	ปลาหมึก
ゴッサム	กอธ
ウインチ	กว้าน
にんにく	กระเทียม
アルハンゲリスク	arkhangelsk
エレーラ	herrera
青白い	ซีด
重荷	ภาระ
対流圏	troposphere
ナーセル	nasser
マーチャント	พ่อค้า
ディーバ	diva
七面鳥	ตุรกี
仁子	jinshi
ディプロマ	ประกาศนียบัตร
バルタザール	balthasar
ヴッパータール	wuppertal
イギー	iggy
白目	ขาว
当惑	งงงวย
セキュア	ปลอดภัย
ダンナ	สามี
ダンナ	ผัว
ダンナ	สามี
マッコール	คอล
歯ブラシ	แปรงสีฟัน
歯ブラシ	แปรงสีฟัน
白内障	ต้อกระจก
ルアー	ล่อ
エスペランサ	esperanza
マディーナ	medina
タイニー	จิ๋ว
スラヴォニア	slavonia
恵山	esan
リアーナ	rihanna
血腫	hematoma
フエゴ	fuego
腓骨	น่อง
チャージャー	ชาร์จ
ガーリック	กระเทียม
テルメ	terme
シクストゥス	sixtus
イーガン	egan
ペンチ	คีม
コンロ	เตา
アウトライン	ย่อ
ライ麦	ไรย์
プリマヴェーラ	primavera
ジェル	เจล
タツノコ	tatsunoko
ダイナミズム	dynamism
ルジャンドル	legendre
メーガン	megan
ファクス	โทรสาร
コンスタンツ	konstanz
ホウ	บัง
ホウ	pang
ニキビ	สิว
シャドウズ	เงามืด
シャドウズ	เงา
イシス	isis
ジョス	จอส
トルドー	trudeau
取り外す	ปลด
スカボロー	scarborough
ユーリイ	yuriy
バイブ	บรรยากาศ
ゴドゥノフ	godunov
ブロウ	เป่า
空っぽ	ว่างๆ
空っぽ	ว่าง
レスナー	lesnar
サワー	เปรี้ยว
ヘルムホルツ	helmholtz
飲み込む	กลืน
タデウシュ	tadeusz
サマリウム	samarium
アサリ	หอย
フェローシップ	สาวก
フェローシップ	สัมพันธภาพ
ジラール	girard
アンタルヤ	antalya
プラダ	prada
チューインガム	เคี้ยว
チューインガム	แทะ
ハーケン	haken
タルトゥ	tartu
バリャドリッド	valladolid
スカーフェイス	scarface
アンドラーデ	andrade
ラップランド	lapland
友則	tomonori
錠前	ล็อก
錠前	ล็อค
つるぎ	tsurugi
コルグ	korg
インヴィンシブル	คงกระพัน
マイクロメートル	micrometers
配車	ขี่
配車	ขี่
バヤン	bayan
平手打ち	ตบ
ピジョン	พิราบ
ダーティー	สกปรก
ティミショアラ	timișoara
マイカ	ไมก้า
フィリッパ	philippa
セッションズ	เซสชั่น
セッションズ	เซสชัน
レッコ	lecco
ベネデット	benedetto
デポジット	มัดจำ
ザラ	zara
とうもろこし	ข้าวโพด
ドイッチュラント	deutschland
バム	แบม
バム	bam
圧巻	งดงาม
モボ	mobo
クロロホルム	คลอโรฟอร์ม
楽々	ง่ายดาย
エバーグリーン	evergreen
チェリッシュ	ทะนุถนอม
チェリッシュ	หวงแหน
モーゼ	โมเสส
グルタミン	glutamine
イタロ	italo
カシム	qasim
ルテニウム	ruthenium
ピクルス	ดอง
ブリスコ	brisco
ユッカ	jukka
用事	ธุระ
ヤクーツク	yakutsk
ロセッティ	rossetti
コロッサス	colossus
トップス	รำ
トップス	ท็อปส์
サリチル酸	salicylate
アルマニャック	armagnac
アメンホテプ	amenhotep
幇間	hokan
サラトフ	saratov
ユストゥス	justus
フローズン	frozen
フローズン	อายัด
フローズン	แข็ง
オッパイ	นม
オッパイ	หัวนม
オッパイ	เต้า
オッパイ	หน้าอก
リゴレット	rigoletto
ちっちゃい	จิ๋ว
クラッキング	ร่อง
クラッキング	ร้าว
パティオ	ระเบียง
パティオ	ลาน
パティオ	นอกชาน
ヘッズ	หัว
ヘッズ	head
カッコイイ	สบายๆ
信ずる	เชื่อ
信ずる	ศรัทธา
贈収賄	สินบน
身振り	น้ำใจ
マクトゥーム	maktoum
オラ	ola
オラ	ora
ブリュネ	brunet
ウェルネス	สุขภาพ
ドゥオーモ	duomo
ボンヌ	bonne
ささやく	กระซิบ
ホイップ	วิป
フィニアス	phineas
レンゾ	renzo
膿瘍	ฝี
メスト	mesto
ポリプロピレン	polypropylene
ソレント	sorrento
カリプソ	calypso
イニシアチブ	ริเริ่ม
イニシアチブ	initiative
プロシージャ	กระบวนการ
編み物	ถัก
オキシダーゼ	oxidase
ポワトゥー	poitou
スタイルズ	สไตล์
イノー	hinault
ムートン	mouton
コンデンサー	condenser
大鎌	scythe
スネル	snell
サイアム	สยาม
ケルナー	kellner
破傷風	บาดทะยัก
ラスティ	สนิม
ぜんそく	หอบ
ダーマ	ธรรมะ
ラール	lal
バオ	เปา
バオ	bao
ソコロフ	sokolov
オナラ	ผายลม
シフォン	ชีฟอง
利回り	ยอม
口ひげ	หนวด
タックス	ทักซิโด
トマシュ	tomasz
アラート	เตือน
アラート	แจง
ブリーフィング	สรุป
フェリシアーノ	feliciano
ソウルキャリバー	soulcalibur
ジマーマン	zimmermann
静けさ	เงียบ
薦める	แนะนำ
歯医者	ทันตแพทย์
オッド	แปลก
日差し	แดด
日差し	แสงแดด
不潔	สกปรก
ハグ	hug
ハグ	กอด
ハグ	กอด
きゅうり	แตงกวา
敷物	พรม
フェニルアラニン	phenylalanine
ベロ	เบลโล
発泡スチロール	โฟม
ホスファターゼ	phosphatase
シャベル	พลั่ว
アルマーニ	armani
ウェヌス	วีนัส
モノグラム	monogram
モノマー	monomers
ファジー	ฝอย
キンギョ	ปลาทอง
トンマーゾ	tommaso
惨め	ทุกข์
惨め	นาถ
リナルド	rinaldo
アーカム	อาร์คัม
割礼	ขลิบ
おかゆ	โจ๊ก
おかゆ	ข้าวต้ม
ブロッキング	บล็อก
エムス	เอ็ม
エムス	ems
ウィッグ	วิก
ハシゴ	บันได
カスタマー	ลูกค้า
カスタマー	ลูกค้า
ヴェイル	เวลล์
プリミティブ	primitives
アウストラロピテクス	australopithecus
ビズ	วงการ
ビズ	biz
ブチル	butyl
ニエト	nieto
居心地	อบอุ่น
居心地	สบาย
ヴォルコフ	volkov
