ধমনী	arteries
ডোমিনিকা	dominica
মৌলবাদী	fundamentalist
দৌলা	daula
ঘুমিয়ে	ngủ
ঘুমিয়ে	ngự
আনন্দিত	phúc
আনন্দিত	vui
সমকামীদের	gays
স্যান্ডি	sandy
ফররুখ	farrukh
বাটন	nút
বাটন	button
বাটন	nút
পিয়ার্স	pierce
শিন	shin
শিন	sheen
অব্যবহৃত	rảnh
অব্যবহৃত	free
অব্যবহৃত	rảnh
মার্চেন্ট	buôn
পায়ু	anal
ইথাইন	acetylene
ক্রুশ	chinh
ক্রুশ	chon
আনসারি	ansari
মেরা	mera
মেরা	meera
আলেকজান্দ্রিয়া	alexandria
ফার্গুসন	ferguson
নায়ার	nair
ইটন	eaton
দারুন	tuyệt
দারুন	awesome
দারুন	ngầu
দারুন	tuyệt
দারুন	mát
দারুন	cool
শিট	cứt
ভঙ্গুর	sệt
প্ল্যান	plan
প্রতিটা	mỗi
প্রতিটা	hằng
আমিনা	amina
সোহরাব	sohrab
নাদিয়া	nadia
এড়ানো	tránh
এড়ানো	chừa
ভাইকিং	viking
ভাইকিং	viking
ভাইকিং	vikings
দেখ	xem
দেখ	nhìn
পরী	fairy
পরী	fee
পরী	tiên
টাচ	touch
টাচ	ống
টাচ	sờ
টাচ	chạm
নেভাডা	nevada
নিক্সন	nixon
অগ্নিসংযোগ	bắn
অগ্নিসংযোগ	mạo
নিশি	nishi
ইউরিক	uric
বালুচ	baloch
রুসো	roseau
টাইপিং	gõ
ভাইপো	cháu
রবিচন্দ্রন	ravichandran
চৌহান	chauhan
আইরিন	irene
দূর্ঘটনা	nạn
ফরেনসিক	forensic
অ্যালেক	alec
কাটিং	cutting
কাটিং	cắt
ইরিত্রিয়া	eritrea
লুধিয়ানা	ludhiana
দেশাই	desai
নীচু	low
নীচু	thấp
বর্ণে	globe
অদম্য	indomitable
গাউদি	gaudí
ভ্রূণ	fetus
বেঞ্চ	ghế
দারিদ্র্যের	nghèo
ক্রিস্টি	christi
ক্রিস্টি	christie
ক্রিস্টি	christy
ফিরোজা	turquoise
মনরো	monroe
ইউনিটি	unity
দরং	darrang
ডিকি	dicky
গাও	gao
গাও	cao
গাও	ca
গাও	hát
আদর	hug
আদর	ôm
আদর	kẹp
আদর	siết
আদর	kiem
আদর	ôm
মহিমা	vinh
চ্যাপম্যান	chapman
লাইবেরিয়া	tuyến
লাইবেরিয়া	liberia
চন্দ্রপুর	chandrapur
মোটামুটিভাবে	khoảng
হোস্টিং	hosting
গোলাঘাট	golaghat
নিকো	nico
নিকো	niko
এরিস্টটল	aristotle
নারাইন	narain
আইটিএফ	itf
কাটরা	katra
বলুন	nói
বলুন	tràng
বলুন	nói
বলুন	bảo
জাভি	javi
ভারতীয়রা	indians
জাংশন	junction
বানি	bani
বানি	thỏ
বানি	bunny
কম্পাইলার	compiler
জ্যাম	jam
জ্যাম	mứt
হিঙ্গিস	hingis
কাডাপা	cuddapah
নোয়া	noir
নোয়া	noah
শেক্সপিয়ার	shakespeare
কোল্ড	lạnh
জেন্ডার	xander
মায়ামি	miami
বলপূর্বক	buộc
ফ্লোর	tầng
ফ্লোর	sàn
সামিট	summit
প্রোপেন	propane
মুমতাজ	mumtaz
ক্যাটালগ	catalog
ক্যাটালগ	catalogue
নিশ্চল	dính
নিশ্চল	fast
নিশ্চল	kẹt
ভাল্লুক	gấu
শূকর	lợn
শূকর	thối
শূকর	heo
শূকর	đẻ
ডাডলি	dudley
কর্মস্থল	nghề
কর্মস্থল	việc
সর্বাগ্রে	foremost
প্লুটো	pluto
ক্যাটরিনা	katrina
গোমেজ	gomez
গোমেজ	gómez
দ্রুজ	druze
কুকি	cookies
কুকি	cookie
কুকি	cookie
রজব	rajab
ঠোঁটে	môi
আর্মেনিয়ান	armenia
পিঁপড়া	kiến
ফ্রেমওয়ার্ক	framework
কাঁধের	vai
ডুম	doom
মারিয়ানা	mariana
পাদ	foot
পাদ	bộ
পাদ	pad
ব্লেয়ার	blair
ভূষণ	bhushan
কিন্ডার	kinder
টয়োটা	toyota
দূরবীন	telescope
মাউন্টেনিয়ারিং	mountaineering
তোতা	parrot
তোতা	vẹt
চেং	trịnh
চেং	thành
চেং	cheng
জুমলা	jumla
বান্দা	banda
সাবা	saba
চ্যালেঞ্জার	challenger
জিবুতি	djibouti
আচেহ	aceh
বলো	nói
বলো	tràng
বলো	nói
বলো	bảo
উকুন	rận
রোমাঞ্চ	adventures
রোমাঞ্চ	thrill
রাবি	rabi
এডিথ	edith
দ্বীন	den
স্যাক্সন	saxon
আউটলুক	outlook
জাভাস্ক্রিপ্ট	javascript
চতুর্ভূজ	đc
চতুর্ভূজ	square
চতুর্ভূজ	vuông
সিলভিয়া	sylvia
জেইন	zayn
জেইন	zain
গাম	gum
জিনতত্ত্ব	genetics
মরিনহো	mourinho
গিগাবাইট	gigabyte
জুভেন্টাস	juventus
বেজে	nhẫn
বার্মায়	burma
বার্মায়	miến
মেশ	lưới
মেশ	mesh
শিপ	tàu
শিপ	ship
লেয়ার	layer
লেয়ার	lớp
ভীতি	dọa
ভীতি	scare
বিদ্যালয়,	trường,
অ্যামোনিয়া	ammonia
অ্যামোনিয়া	ammoniac
আরসালান	arslan
ভেগা	vega
রিমা	rima
হ্যালোইন	halloween
ক্যাসিনো	casino
এরিকসন	ericson
এরিকসন	ericsson
ডেস	des
পেন্টহাউস	penthouse
প্রাইস	price
প্রাইস	giá
ডাব	dub
ফাতাহ	fatah
বেয়ার	bayer
সনেট	sonnet
কুরোসাওয়া	kurosawa
মাফিয়া	mafia
মিগুয়েল	miguel
মশাল	torch
মশাল	đuốc
সায়মন	symon
দীঘল	longitudinal
চমকে	sốc
ভিজিয়ে	trơn
ভিজিয়ে	vat
ভিজিয়ে	ướt
ভোজ	feast
ভোজ	tiệc
ভোজ	yến
ধর্মনিরপেক্ষতা	secularism
মদ্যপান	nhậu
মদ্যপান	uống
মদ্যপান	rượu
মদ্যপান	cồn
ক্রেস্ট	crest
তেজ	tej
দাসত্ব	âu
দাসত্ব	bondage
ভেরা	vera
পিএসসি	psc
ব্রেমেন	bremen
ভাস	bát
ডেভন	devon
দেরীতে	sen
দেরীতে	trễ
দেরীতে	khuya
দেরীতে	muộn
কেচুয়া	quechua
নিসা	nisa
এলকোহল	rượu
এলকোহল	cồn
তাহা	taha
গ্যাং	manh
গ্যাং	đảng
গ্যাং	đám
গ্যাং	lũ
শেষকৃত্য	tang
শেষকৃত্য	lễ
সুনান	sunan
মইন	moin
নায়িকার	heroine
গিয়ার	gear
গিয়ার	ten
চুনাপাথর	limestone
ব্রাজিলিয়ান	brazil
ব্রাজিলিয়ান	brazilian
পাব	pub
কোডেক্স	codex
ফলস	ngã
ফলস	falls
ফলস	thác
ফলস	rơi
ফলস	sút
বুল	ngưu
বুল	bò
বুল	bull
শাকিরা	shakira
কম্বোজ	kamboja
অনুঘটক	catalyst
কন	kon
কার্নিভাল	carnival
লাটভিয়া	latvia
মাশরুম	nấm
মাশরুম	nấm
আর্নস্ট	ernst
সুদ	vốn
সুদ	lãi
বক্সা	buxa
ইলোরা	ellora
ব্যাটম্যান	batman
কাপড়ে	vải
জার্নি	tý
নবায়ন	update
কিন	keene
কম্বল	chăn
কম্বল	thảm
কম্বল	chăn
কম্বল	mền
কম্বল	thảm
ধ্বনিতত্ত্ব	phonology
এডভোকেট	advocate
সমাধিতে	samadhi
লোন	lone
লোন	vay
ধারণকৃত	chụp
কোপেনহেগেন	copenhagen
লরি	lori
লরি	lorry
ইনার	nội
নিস্ক্রিয়	tắt
টায়ার	tires
টায়ার	lốp
টায়ার	lốp
টায়ার	lốp
কর্নার	góc
স্টেফান	stefan
হর্ন	sừng
হর্ন	kèn
হর্ন	horn
বার্গার	burger
স্কন্দ	skanda
অলিম্পিয়ান	olympian
দর্শকরা	khách
রুমী	rumi
শায়খ	shaykh
অপহৃত	cóc
রোচ	roach
জেরার্ড	gerrard
জেরার্ড	gerard
জেরার্ড	gerard
ফয়সালাবাদ	faisalabad
কনমেবল	conmebol
খেমার	khmer
জনন	genesis
অগ্রগণ্য	ưu
অযৌক্তিক	irrational
আলবার্তো	alberto
বাঁদিকে	trái
হাশেমি	hashemi
ইথাইল	ethylene
এনটিভি	ntv
স্টলম্যান	stallman
ফোয়ারা	fountain
শাটল	shuttle
গোরখপুর	gorakhpur
গঙ্গোত্রী	gangotri
অন্ত্রের	ruột
অন্ত্রের	ruột
জেভিয়ার	xavier
এলোমেলো	khùng
এলোমেলো	điên
এলোমেলো	cuốc
এলোমেলো	nét
ব্রাসেলস	bruxelles
ব্রাসেলস	brussels
স্টল	stall
অসবর্ন	osbourne
অন্তর্দৃষ্টি	insight
ভ্যানিলা	vani
ভ্যানিলা	sấm
ভ্যানিলা	vanilla
ফুলার	fuller
গোখলে	gokhale
যোধপুর	jodhpur
তানিয়া	tanya
তানিয়া	tania
এক্সট্রিম	xtreme
গেমিং	gaming
ইদানীং	lately
ন্যায্য	fair
খুঁজুন	tìm
লিভিং	sống
লিভিং	living
ব্যাবিলনীয়	babylon
ডাইরেক্ট	direct
ডাইরেক্ট	trực
ডেমি	demi
কার্লো	carlo
বুথ	booth
হাশিমি	hashimi
রেঞ্জার	ranger
শুর	sur
শুর	tức
জেরাল্ড	gerald
ভাতিজা	cháu
হিউস্টন	houston
ক্যানারি	serinus
ক্যানারি	canary
পেশি	muscle
ম্যাক্সিম	maksim
ম্যাক্সিম	maxim
নরোদম	norodom
কয়লার	than
উইক	wick
সুগন্ধ	mùi
কিডনি	thận
কিডনি	cật
কিডনি	thận
যুবতী	younger
যুবতী	trẻ
যুবতী	young
গার্ডনার	gardener
গার্ডনার	gardner
টালি	lát
টালি	ngói
গ্রেনাডা	grenada
পাইপলাইন	ống
খাইয়ে	fed
হজ্জ্ব	haj
ইথারনেট	ethernet
হুড	mui
হুড	hood
আর্চ	arch
আর্চ	vòm
লিবিয়ান	libyan
মন্ত্রিসভার	tủ
ফালাফেল	falafel
চড়ুই	passer
চড়ুই	sparrow
ব্যাপ্টিস্ট	baptist
মোটরসাইকেল	môtô
যোশী	joshi
কান্না	khốc
কান্না	cry
কান্না	khóc
কান্না	khóc
আসগর	asghar
অপ্সরা	apsara
বার্তাবাহক	messenger
কাঠবিড়ালি	sóc
উরাল	ural
পাইক	pike
গঞ্জাম	ganjam
কাঁদতে	khóc
ট্রিবিউন	tribune
সালাদ	salad
অ্যাংকর	angkor
জোকো	joko
অষ্টক	octave
অগ্ন্যুৎপাত	eruption
কসম	kasam
কসম	thề
ছাঁচ	nạ
ছাঁচ	mask
করুণা	mercy
করুণা	karuna
হগ	hog
বহির্গ্রহ	exoplanet
স্কাউটস	scouts
হাতুড়ি	búa
ঝরা	đổ
ঝরা	tràn
গ্লেজার	glazer
কাইফ	kaif
কোরাস	chorus
বনবিদ্যা	silviculture
সাবরি	sabri
ওয়েসলি	wesley
ডোয়াইন	dwayne
নিকায়	nikāya
কাকে	ai
কাকে	who
পেড্রো	pedro
বাজবি	busby
জুমা	zuma
জুমা	juma
শুকনা	mỏng
শুকনা	skinny
শুকনা	gầy
শুকনা	nhẹ
পরশ	paras
হোপ	mong
হোপ	xoa
সৌজন্যে	courtesy
খাদিম	khadim
এশা	isha
রুডি	rudy
থাকুন	stay
পকেটে	giỏ
পকেটে	túi
পকেটে	pocket
আশার	asha
ভোঁদড়	tủi
সূর্যালোক	nắng
সাদী	sadi
সাদী	sadie
সিমুলেশন	mô
ডেক	boong
ডেক	deck
বস্টন	boston
মুভার	mover
বেলো	bello
সেল্টিক	celtic
উদ্দীপক	stimulus
হাভেলি	haveli
আস্তরণ	phủ
ন্যাশ	nash
সাজ	makeover
রাতারাতি	overnight
গোর	gore
গোর	ghor
ক্লেটন	clayton
দেরী	sen
দেরী	trễ
দেরী	khuya
দেরী	muộn
প্লেসিস	plessis
ম্যাক্রো	vĩ
ম্যাক্রো	macros
ম্যাক্রো	macro
অর্নিথিস্কিয়া	ornithischia
মাহাথির	mahathir
কোডিং	coding
হার্ডকোর	hardcore
বেটে	bethe
গুরগাঁও	gurgaon
এলেনা	elena
সাইকেডেলিক	psychedelic
আত্মিক	psychic
চেয়েছিল	wanted
ভেলা	bè
উপলক্ষ	dịp
সেলুলোজ	cellulose
অলস	lat
অলস	biếng
অলস	lazy
অলস	lười
বেহালার	fiddle
হান্নান	hannan
পবন	pawan
জ্যোতিষশাস্ত্র	astrological
বোনদের	ruột
লিজ	liz
লিজ	thuê
খোঁজা	ferret
খোঁজা	finding
খোঁজা	discovery
রাশ	rush
স্প্যান	span
আগার	agar
কিংস্টন	kingstown
কিংস্টন	kingston
ক্লারা	clara
কোয়েটা	quetta
বহিস্কার	thải
বহিস্কার	đuổi
তানোর	tano
দিনগুলি	ngày
বাতিস্তা	batista
উইলো	willow
হথর্ন	hawthorne
কুশলী	handy
মিথুন	gemini
বায়রন	byron
ক্লাইড	clyde
বরদলৈ	bordoloi
কুলম্ব	coulomb
গারফিল্ড	garfield
পেনরোজ	stairs
পেনরোজ	penrose
ভেজে	rán
স্প্রে	phun
অনাবৃত	lộ
পাউলিং	pauling
অমরাবতী	amravati
সিসকো	cisco
বাডেন	baden
ঝুড়ি	giỏ
ঝুড়ি	rổ
ঝুড়ি	giỏ
ঝুড়ি	baskets
খ্রীষ্টান	nguyen
খ্রীষ্টান	christian
টিপ	mẹo
শফি	shafi
রোলার	roller
আয়নার	gương
আয়নার	mirror
বেতের	hèo
বেতের	kho
মিরাজ	miraj
লুইসা	louisa
হরিহর	harihar
শেরপা	sherpa
ওয়ালার	waller
আতাতুর্ক	atatürk
স্টুটগার্ট	stuttgart
জিহ্বা	lưỡi
জিমেইল	gmail
কোলার	kolar
ডিরাক	dirac
ক্ষারীয়	alkali
ক্ষারীয়	alkaline
ক্ষারীয়	kiềm
ক্ষারীয়	dóng
ক্ষারীয়	align
প্রাণঘাতী	lethal
ঝোল	canh
তেনেরিফে	tenerife
ব্যারেল	gẫy
ব্যারেল	nòng
ব্যারেল	thùng
ব্যারেল	nóc
ব্যারেল	nòng
কুর্দিস্তান	kurdistan
জিল	jill
জর্জীয়	georgian
ভাইরাল	viral
ভাইরাল	virus
হুক	hook
হুক	móc
হুক	hooks
হোসনি	hosni
ধ্যানে	thiền
শেঠি	sethi
শেঠি	shetty
জস	jaws
জস	hàm
জস	jos
পরি	angel
ছেলেটি	boy
ছেলেটি	trai
ছেলেটি	bé
ফেইসবুক	facebook
গ্রানাইট	granite
এন্ড্রয়েড	android
ফিস	phí
নাদিম	nadim
ভ্যালেন্টাইন	valentine
নবি	nobby
এন্ট্রি	entry
এন্ট্রি	mục
এন্ট্রি	mục
ফুসতাত	fustat
কোনান	conan
গ্যাংস্টার	gangster
লজ্জা	nhục
আয়াতুল্লাহ	ayatollah
জিলানী	gilani
মিক	mic
মিক	mick
নৃশংস	brutal
জামি	jamie
প্যাক	gói
প্যাক	packs
প্যাক	pac
প্যাক	gói
প্যাক	quấn
প্যাক	pack
এমিলিও	emilio
নরফোক	norfolk
স্মৃতিচারণ	buon
বার্ক	sủa
বার্ক	bark
দোলা	dola
ধুয়ে	giặt
বেনেডিক্ট	benedict
ক্যাট	kat
অরুন	arun
ভেন	vane
কিট	kit
ফড়িং	dragonfly
ইউরেশিয়া	eurasia
পেট্রোল	xăng
সুন্নাহ	sunnah
মস	mos
মস	mose
মস	rêu
মীনা	meena
দূর্নীতি	nhũng
কিয়োটো	kyoto
নীরবতা	tiet
হুন	hun
ওগো	ogo
চিংড়ির	tôm
বুলেটিন	bulletin
অলোক	alok
হাসিনার	hasina
চন্দ্রিকা	chandrika
বেলুচি	balochi
পিথাগোরাস	pythagoras
গোয়ালপাড়া	goalpara
নিজামী	nizami
হ্যাকিং	hacking
হ্যাকিং	hack
ফী	phí
কও	koo
বালেশ্বর	baleshwar
স্যান্ডউইচ	sandwich
প্যাড	pad
বনী	isra
বনী	israelites
অ্যাটাক	công
ব্রক	brock
বুরুন্ডি	burundi
স্থিতি	status
ফারিয়া	faria
বুলস	bò
বুলস	bulls
অবাঞ্ছিত	junk
অবাঞ্ছিত	phế
অবাঞ্ছিত	chấy
অবাঞ্ছিত	june
কেন্টাকি	kentucky
কেশ	tóc
কেশ	kesh
শ্লোগান	slogan
চাকরী	nghề
চাকরী	việc
দোলক	lắc
দোলক	pendulum
মেরিনার	mariner
গালা	gala
মেগান	megan
মুক্তার	mukhtar
ফোটা	guốc
ফোটা	giọt
