partnerství	associacions
izolace	aïllament
kyslík	oxigen
nápisy	inscripcions
riga	riga
money	diners
money	diner
colin	colin
sochu	estàtua
modifikace	modificació
modifikace	modificacions
indonésie	indonèsia
synagogy	sinagoga
umožnit	habilita
umožnit	permetre
umožnit	permet
kriminální	criminal
kriminální	penals
kriminální	penal
předávání	transmissió
slovinské	eslovena
slovinské	eslovè
loďstvo	flota
koupit	compra
koupit	buy
koupit	comprar
standardy	estàndards
nečekaně	inesperadament
had	serp
had	serpent
štíty	escuts
využívané	explotat
využívané	explotada
nemožné	impossible
domény	dominis
domény	domini
infrastruktury	infraestructures
infrastruktury	infraestructura
infrastruktury	infraestructures
zřetelně	clarament
šedá	gray
šedá	gris
šedá	grey
glasgow	glasgow
muslimové	musulmans
učitelka	mestra
vzdálená	llunyà
vzdálená	distant
vzdálená	remot
vzdálená	remota
vzdálená	remots
argo	argo
prototypy	prototips
pochopit	entendre
bonus	bonus
bonus	gratificació
bonus	bonificació
ryba	peixos
ryba	peix
rádio	ràdio
rádio	radio
samantha	samantha
jeskyni	cova
tenor	tenor
eugen	eugen
polskem	polònia
měny	divisa
měny	moneda
měny	divises
měny	monedes
guillaume	guillaume
ich	ich
indiáni	indians
indiáni	indis
verdasco	verdasco
maxe	max
maxe	màx
modernizaci	modernització
synonymum	sinònim
geografické	geogràfic
melodie	tunes
melodie	melodies
melodie	melodia
melodie	melody
melodie	sintonia
kostýmy	vestuari
kostýmy	disfresses
kostýmy	disfressa
auguste	auguste
břišní	abdominal
dinosaurů	dinosaures
police	prestatge
police	prestatgeria
police	prestatges
police	lleixes
police	prestatgeries
sultán	sultà
sultán	sultan
fra	fra
gravitační	gravitatòria
gravitační	gravitació
gravitační	gravetat
likvidace	liquidació
parker	parker
dinosaura	dinosaure
schumacher	schumacher
bezpečí	seguretat
řízené	gestionades
řízené	gestionat
řízené	controlat
řízené	controlada
řízené	controlats
účty	factures
účty	comptes
toma	toma
elektřiny	electricitat
brigáda	brigada
vrtulníků	helicòpters
watson	watson
venkovské	rurals
mach	mach
otroctví	esclavitud
otroctví	servitud
registrace	matriculació
registrace	inscripció
nalezeno	trobat
becker	becker
přilehlé	adjacents
přilehlé	adjacent
trhy	mercats
novinářka	periodista
návštěvníci	visitants
pracovníci	obrers
pracovníci	treballadors
rovná	iguals
chorvatska	croàcia
skládají	consten
pravidelný	regulars
pravidelný	regular
munice	municions
munice	munició
komisař	comissionat
komisař	comissari
zábradlí	baranes
zábradlí	baranes
zábradlí	rails
zábradlí	barana
značná	substancial
značná	considerable
značná	significatives
značná	significatius
čtyřicet	quaranta
justice	justicia
justice	justícia
zdobí	adornen
podrobnosti	detalls
ruda	mineral
ruda	rud
výměnu	intercanvi
průběžně	ininterrompudament
bojovníků	combatents
bojovníků	warriors
bojovníků	guerrers
bojovníků	lluitadors
anonymní	anònim
anonymní	anonymous
anonymní	anònims
osmé	vuitè
osmé	vuitena
africké	africà
africké	african
dary	regals
dary	donatius
dary	donacions
greg	greg
malajsie	malàisia
malajsie	malaisi
biolib	biolib
pacific	pacífic
pacific	pacific
frederik	frederik
odznak	distintiu
shodné	idèntiques
shodné	idèntic
klienta	client
biskupové	bisbes
příjezdu	arribada
kompaktní	compacte
kompaktní	compacta
úlohy	tasques
úlohy	rols
rakovinu	càncer
magdalena	magdalena
xinglong	xinglong
platformy	plataformes
platformy	plataforma
dramatický	dramàtica
vektor	vector
kritérium	criteri
molekul	molècules
morris	morris
walker	walker
pokoje	habitacions
pokoje	sales
fasáda	façana
popisující	descrivint
monumentální	monumental
mléko	llet
malíři	pintors
malíři	pintor
otvory	obertures
otvory	forats
kvantové	quàntica
oblíbená	popular
oblíbená	populars
oblíbená	favourite
oblíbená	preferit
oblíbená	favorit
baptiste	baptiste
kamery	càmeres
příloha	adjunt
příloha	annex
giv	giv
helsinkách	hèlsinki
helsinkách	helsinki
jupiter	júpiter
kazachstán	kazakhstan
dobývání	conquesta
dobývání	conquerint
vyhlášky	decrets
turbo	turbo
pomohla	ajudat
negativně	negativament
android	android
sůl	salt
sůl	sal
abstraktní	abstracte
okrasné	ornamentals
okrasné	ornamental
maxima	maksim
maxima	maxim
maxima	maxima
krvi	sang
mozart	mozart
laurent	laurent
mini	mini
happy	feliç
vinci	vince
vinci	vinci
christoph	christoph
sigmund	sigmund
kin	kin
kin	cinemes
hunter	caçador
hunter	hunter
postupné	gradual
postupné	progressiu
postupné	progressiva
postupné	progressista
termíny	dates
termíny	termes
termíny	condicions
termíny	terminis
jezdce	genet
jezdce	rider
jezdce	riders
jezdce	genets
bordeaux	bordeus
tbilisi	tbilisi
loďstva	flotes
putování	trajecte
nacional	nacional
kapitál	capital
navigační	nav
stack	pila
okamžik	moment
dědeček	avi
dědeček	avi
ivanovič	ivànovitx
zločiny	crims
zločiny	delictes
střechu	teulada
střechu	sostre
pen	bolígraf
pen	ploma
pen	pen
pen	llapis
sodný	sodi
prázdné	buit
prázdné	buida
etapy	etapes
abú	abu
nepřetržitě	ininterrompudament
nepřetržitě	constantment
nepřetržitě	contínuament
nikolajevič	nikolàievitx
vzdušné	airy
dominika	dominic
dominika	domènec
dominika	dominica
dominika	dominika
dutiny	cavitat
dutiny	cavitats
ponožky	mitjons
ponožky	socks
nahrazení	substitució
rozsudek	fallada
rozsudek	veredicte
rozsudek	sentència
rozsudek	frase
pokoj	room
pokoj	sala
pokoj	habitació
soc	soc
bush	bush
sofia	sofia
roz	roz
náhrobek	làpida
geologické	geològiques
geologické	geològics
nepřítel	enemic
odmítnutí	negativa
odmítnutí	rebuig
přijímat	rebre
stalin	stalin
babička	àvia
trénoval	entrenat
trénoval	entrenats
evoluce	evolució
schopná	capaç
schopná	capaces
schopná	capaços
přítelkyně	xicota
přítelkyně	nòvia
přítelkyně	xicotes
costa	costa
astronaut	astronauta
účinné	eficient
účinné	eficients
účinné	efectiu
buffalo	buffalo
zachrání	salvaments
doložit	fonamentar
houba	esponja
houba	fong
houba	bolet
byty	apartaments
byty	pisos
zneužití	maltractament
zneužití	abús
kapitol	capitol
kapitol	capítols
prachu	pols
havárie	accident
havárie	crash
havárie	fallades
havárie	accidents
kennedy	kennedy
paes	paes
miles	milles
miles	kilòmetres
miles	quilòmetres
vlhké	humits
vlhké	humitats
lès	lès
poslání	missió
křížek	creu
křížek	cross
rozměr	dimensió
spojence	aliats
spojence	aliat
kotle	calderes
vězeň	presoner
mléka	llet
lloyd	lloyd
oslo	oslo
cohen	cohen
homer	homer
proměnných	variables
maxim	maksim
maxim	maxim
kláštery	monestirs
rovné	recta
rovné	rectes
sekvence	seqüències
sekvence	seqüència
prohlížeč	visor
prohlížeč	visualitzador
prohlížeč	navegador
marion	marion
zažil	experimentat
ekonomicky	econòmicament
propagační	promocionals
propagační	promocional
binární	binària
binární	binari
meče	espases
jeskyní	coves
seznamů	llistes
utekl	escapat
seminář	curset
seminář	taller
seminář	seminari
fanoušky	fans
fanoušky	admiradors
fanoušky	ventiladors
výkonný	executiu
výkonný	executiva
požadované	requerit
požadované	requerida
požadované	requerits
oltáři	altar
politici	polítics
natrvalo	permanentment
problematické	problemàtic
uzavřený	tancat
hlaváčková	hlaváčková
rozchod	ruptura
terminál	terminal
vodopád	cascada
hansen	hansen
ffa	ffa
lockheed	lockheed
jede	jed
čaj	tea
čaj	te
lovci	caçadors
operátor	operador
operátor	operari
torpédoborec	destructor
životy	vides
železnic	ferrocarrils
připomínky	comentaris
připomínky	observacions
námitky	objecció
námitky	objeccions
odpovědnosti	responsabilitats
blanka	blanka
čištění	neteja
originál	original
irc	irc
mirnyj	mirni
minulost	passat
nos	nas
vinice	vinya
vinice	viñas
vinice	vinyes
haute	haute
přispěla	contribuït
mírné	lleus
mírné	lleu
mírné	moderat
závislý	addicte
závislý	addicta
závislý	dependent
závislý	friki
závislý	addicta
strážce	guardià
strážce	tutor
strážce	guardià
strážce	guardian
arcivévoda	arxiduc
rozlišit	distingir
pravopis	ortografia
bílí	blancs
slavoj	slavoj
past	trampa
past	trap
konkurence	competidors
konkurence	competició
konkurence	competència
přesvědčil	persuadir
přesvědčil	convençut
přesvědčil	convençuts
nákup	compra
nákup	compres
nákup	shopping
nákup	comprant
peklo	infern
peklo	hell
objevení	descobrint
honda	honda
napadl	atacat
bach	bach
une	une
vězni	presos
vězni	presoners
fish	peixos
fish	peix
haly	hall
haly	salons
haly	sales
roztok	solució
susan	susan
rozum	raó
rozum	motiu
produkuje	produeix
nepřátelské	hostil
cukru	sucre
rotace	rotació
rotace	girar
rotace	gira
blogu	blog
blogu	bloc
beat	beat
sdílení	compartint
sdílení	compartir
sdílení	compartició
sdílení	comparteix
sdílení	participacions
předpoklady	supòsits
kresba	dibuix
propagace	ascensos
propagace	promocions
propagace	promoció
postižení	handicap
postižení	desavantatge
postižení	discapacitat
postižení	invalidesa
postižení	angoixa
občanský	civil
číslice	dígits
číslice	dígit
předchází	precedeixen
nájezdy	raids
etiopie	etiòpia
divoká	wild
divoká	salvatge
pavilon	pavelló
sny	somnis
čez	čez
api	api
api	apis
křižáci	crusaders
orientované	orientat
luxusní	deluxe
luxusní	luxe
luxusní	luxós
tch	tch
gilbert	gilbert
bristol	bristol
magie	màgia
komerčně	comercialment
étienne	étienne
simone	simone
simone	simó
simone	simon
simone	simón
čistý	neteja
čistý	clars
čistý	purs
čistý	pura
čistý	pur
vládci	regles
vládci	governants
keř	bush
keř	arbustiva
senica	senica
hus	oques
pokračovalo	continuat
pokračovalo	continuada
nicholas	nicholas
nicholas	nicolau
terénní	terreny
sean	sean
nikola	nikola
pákistánu	pakistan
maine	maine
dell	dell
ovzduší	atmosfera
ovzduší	aire
ovzduší	air
craig	craig
boty	sabates
boty	botes
karoserie	carrosseria
modlitby	precs
modlitby	preguem
upravený	modificats
upravený	modificades
upravený	modificat
plavidlo	embarcació
plavidlo	ofici
podrobný	detallat
podrobný	detallats
skvrny	taques
náhradník	suplent
náhradník	alternatiu
puška	fusell
puška	rifle
orchestrální	orquestral
dcer	filles
schody	passes
schody	passos
schody	escales
výčet	enumeració
pochybnosti	dubte
pochybnosti	dubtes
salzburg	salzburg
jezdit	ride
pec	forn
pec	pec
sezení	assegut
sezení	session
sezení	sessió
sezení	sessions
hladké	suau
nastavit	configuració
nastavit	estableix
nastavit	conjunt
nastavit	configura
mluvící	talking
mluvící	parlant
přistál	aterrar
fan	fan
archeologie	arqueologia
vyráběné	fabricat
vyráběné	fabricats
rezidence	residència
rezidence	residències
klasifikaci	classificació
zvyšování	augmentant
zvyšování	veina
sada	estableix
sada	conjunt
parkoviště	pàrquing
parkoviště	aparcament
výzvu	challenge
výzvu	repte
výzvu	desafiament
zneužívání	maltractament
zneužívání	abús
château	château
pánev	pelvis
pánev	cassoleta
pánev	pan
atomů	àtoms
tung	tung
přenáší	transmet
konceptu	concepte
zlepšit	milloren
zlepšit	millorar
vlnu	llana
poprad	poprad
wawrinka	wawrinka
bitev	batalles
vyrobit	make
míjí	erra
hostitele	màquina
soupeři	opositors
battle	batalla
kouření	fumar
kouření	fumant
ward	ward
inspirace	inspiracions
inspirace	inspiració
jáma	pou
vln	ones
vln	onades
doporučuji	recomanar
doporučuji	recomana
doporučuji	recomanen
návštěvu	visiteu
návštěvu	visita
lidstvo	humanitat
komponenty	components
předcházející	anterior
dokumentaci	documentació
otevřít	oberta
otevřít	oberts
otevřít	open
otevřít	obre
otevřít	obert
atributy	atributs
kirjat	qiryat
baru	barra
baru	bar
svátky	holiday
svátky	festiu
svátky	festes
svátky	festius
svátky	vacances
progresivní	progressiu
progresivní	progressiva
progresivní	progressista
fauna	fauna
lan	lan
lan	ian
opakovat	repeteix
opakovat	repetició
montana	montana
filtr	filtre
nba	nba
knight	cavaller
atomy	àtoms
romance	romanç
ring	anell
ras	ras
nádoby	receptacles
nádoby	contenidors
nádoby	recipients
mika	mika
elena	elena
laboratoře	laboratoris
laboratoře	laboratori
laboratoře	laboratoris
večerní	vespre
lincoln	lincoln
abraham	abraham
barevný	colorit
barevný	multicolor
američan	american
američan	americà
tlačítko	botó
jelení	cérvol
humor	humor
pacient	pacient
jednotlivce	particulars
mošav	moixav
tokiu	tòquio
tokiu	tokyo
zacházení	tramitació
zacházení	maneig
zacházení	tractament
sedmá	setena
sedmá	setè
flétnu	flauta
turecký	turc
bruins	bruins
příručka	manual
příručka	guia
poskytovat	proveir
poskytovat	aportar
poskytovat	proporcionar
uesac	uesac
jemné	suaus
jemné	soft
jemné	suau
jemné	subtil
poušť	desert
calgary	calgary
michelle	michelle
sotva	difícilment
iucn	uicn
rám	fotograma
rám	marc
dávky	dosi
dávky	prestacions
dávky	beneficis
dávky	dosificació
židům	jueus
strategii	estratègia
pevná	sòlid
pevná	ferm
pevná	corregit
pevná	fix
pevná	fixes
pevná	arreglat
norbert	norbert
plemen	races
antropologie	antropologia
poušti	desert
pravomoc	autoritat
otvor	forat
kroků	passes
kroků	passos
seattle	seattle
atlantic	atlantic
atlantic	atlàntic
rally	reagrupament
přidělen	assignat
armstrong	armstrong
předpoklad	presumpció
předpoklad	assumpció
předpoklad	premissa
stavebnictví	construcció
lana	corda
lana	cordes
dusík	nitrogen
turner	turner
ladění	depurar
ladění	depuració
ladění	depuració
končetin	apèndixs
končetin	extremitats
uživatelem	usuari
psy	gossos
plochý	plànols
plochý	bemoll
plochý	plana
forum	fòrum
forum	forum
zadání	cessió
zadání	premi
zadání	adjudicació
zadání	guardó
prohlížeče	navegadors
remíza	empat
remíza	corbata
remíza	dibuixa
připojeno	adjuntat
připojeno	connectat
soupravy	conjunts
architekti	arquitectes
pokémon	pokémon
tenisové	tennis
psychologii	psicologia
sběratel	cobrador
lars	lars
uděleno	atorgades
uděleno	atorgat
uděleno	concedit
uděleno	concedides
uděleno	concedida
dohledem	supervisada
vrstvu	capa
hosty	convidats
přátele	amics
přátele	amistats
jedle	avet
