五つ	ஐந்து
裁縫	தையல்
スプーン	கரண்டி
加法	கூட்டல்
ハサン	ஹஸன்
ハサン	ஹாசன்
ハサン	ஹசன்
ハサン	ஹசன்
陝西省	ஷான்சி
トンガ	டோங்கா
暗示	பரிந்துரை
ヨアヒム	ஜோக்கிம்
塗料	பெயிண்ட்
塗料	தீட்டு
塗料	வர்ணங்கள்
村民	villagers
ワイヤレス	வயர்லெஸ்
注記	குறிப்புகள்
ノートン	நார்டன்
献身	அர்ப்பணிப்பு
献身	பக்தி
献身	மெய்யியல்
献身	மோட்சம்
対数	மடக்கை
宝くじ	லாட்டரி
無意識	மானபங்கம்
進捗	முன்னேற்றம்
進捗	முன்னேற்றத்தை
進捗	முன்னேற்ற
ウィザード	வழிகாட்டி
ウィザード	சூனியக்காரர்கள்
バッタ	வெட்டுக்கிளி
中性	தெரியவில்லை
中性	நடுநிலை
中性	சார்பற்ற
盗難	திருட்டு
サケ	சால்மன்
カリブ	கரீபியன்
デービス	டேவிஸ்
ピアス	துளைத்து
ピアス	பியர்ஸ்
ピアス	குத்திக்
ネイチャー	இயற்கை
ネイチャー	இயல்பை
バビロニア	பபிலோனியா
バビロニア	பபிலோனிய
エディタ	திருத்தி
エディタ	ஆசிரியர்
エディタ	எடிட்டர்
エディタ	தொகுப்பி
エディタ	தொகுப்பான்
コンペ	போட்டி
ネクタイ	டை
幻覚	பிரமைகள்
幻覚	மாயத்தோற்றம்
アトランティス	அட்லாண்டிஸ்
君主制	முடியாட்சி
便器	கழிவறை
便器	கழிப்பறை
群衆	கூட்டம்
群衆	கூட்டமும்
群衆	கூட்டத்தை
修二	சுச்சி
スウィート	இனிமை
スウィート	இனிமையான
スウィート	இனிப்பு
スウィート	இனிமையாக
求人	ஆட்சேர்ப்பு
求人	வேலைகள்
求人	தொழில்கள்
求人	வேலைவாய்ப்புகள்
求人	பணிகள்
求人	careers
ローレン	லாரன்
リーダーシップ	தலைமையை
リーダーシップ	தலைமை
騒乱	இடையூறு
顔料	pigments
顔料	வர்ணம்
顔料	வர்ண
贅沢	சொகுசு
贅沢	ஆடம்பர
贅沢	ஆடம்பரம்
ミイラ	மம்மி
たぶん	இருக்கலாம்
たぶん	ஒருவேளை
たぶん	வரலாம்
アレッサンドロ	alessandro
トリニダード	டிரினிடாட்
ドナー	கொடை
ぶどう	திராட்சை
ぶどう	திராட்சை
実例	மேற்கோள்கள்
実例	எடுத்துக்காட்டுகள்
実例	உதாரணங்கள்
孔子	கன்பூசியஸ்
ブランドン	பிராண்டன்
ラング	லாங்
衰弱	பலவீனம்
アンモニア	அமோனியா
やり直し	சிவப்பு
グラフィティ	graffiti
取り除く	நீக்குக
取り除く	நீக்கு
オースチン	ஆஸ்டின்
リベリア	லைபீரியா
靴下	காலுறை
靴下	துளைகள்
ヒーローズ	ஹீரோக்கள்
ヒーローズ	நாயகர்கள்
飢餓	பட்டினி
ジョイス	ஜாய்ஸ்
インペリアル	இம்பீரியல்
ピレネー	pyrenees
クラクフ	கிராக்கோவ்
悲惨	சோகம்
パートナーシップ	partnership
道教	தாவோயிசம்
財宝	புதையல்
財宝	பொக்கிஷம்
コットン	பஞ்சு
コットン	காட்டன்
コットン	பருத்தி
散策	உலா
プログラマー	நிரலாளர்
ゴンサレス	gonzález
ナッツ	நட்டு
ナッツ	பருப்பு
ナッツ	கொட்டைகள்
カウンセラー	ஆலோசகர்
カウンセラー	ஆலோசகர்கள்
ヴァージニア	வர்ஜீனியா
ブルック	புரூக்
円錐	கூம்பு
ゼリー	ஜெல்லி
スタント	ஸ்டண்ட்
饅頭	மஞ்சு
クロフォード	கிராஃபோர்ட்
プロダクト	தயாரிப்பை
プロダクト	தயாரிப்பு
プロダクト	தயாரிப்பைப்
プロダクト	பொருள்
プロダクト	பொருட்கள்
プロダクト	தயாரிப்புகள்
美味	ருசி
美味	சுவையான
書き込む	எழுத
書き込む	எழுது
書き込む	எழுதவும்
お祭り	பண்டிகை
お祭り	திருவிழா
お祭り	விழா
サンゴ	பவளம்
サンゴ	பவள
サンゴ	கோரல்
良心	மனசாட்சி
水星	புதன்
エキスパート	நிபுணர்கள்
エキスパート	வல்லுநர்
エキスパート	வல்லுனர்
エキスパート	நிபுணர்
不運	துன்பம்
プランテーション	plantation
ジー	ஜீ
落書き	graffiti
キャッスル	கோட்டை
六月	ஜூன்
ウォード	வார்ட்
ウォード	வார்டு
ジュネーブ	ஜெனீவா
錯体	வளாகம்
長文	நீளமானது
親切	கனிவான
親切	கருணை
ヌイ	நூயி
アルティメット	அல்டிமேட்
アルティメット	இறுதியான
ナイツ	மாவீரர்கள்
ナイツ	இரவுகள்
アイリッシュ	ஐரிஷ்
コミッション	கமிசன்
コミッション	கமிஷன்
オリヴィエ	olivier
執着	அன்போடு
どうやら	வெளிப்படையாகவே
どうやら	வெளிப்படையாக
国庫	கருவூல
ロース	இடுப்பு
シュテファン	ஸ்டீபன்
インナー	உள்
彫像	சிலைகள்
彫像	சிலை
ミキサー	கலவை
ミキサー	பிளெண்டர்
返信	பதில்
返信	மறுமொழி
返信	பதில்கள்
焼く	பேக்கிங்
消化器	கொத்து
エチル	எதில்
オデッサ	ஒடிசா
ボルボ	வோல்வோ
引き出す	நீக்கி
四月	ஏப்ரல்
メアリ	மரியே
メアリ	மேரி
メアリ	மரியா
甘粛	gansu
雑草	பேதை
雑草	களை
ボーダー	எல்லை
ボーダー	விளிம்பு
ボーダー	கரை
ボーダー	ஓரம்
ユン	யூன்
ユン	யுன்
ハバナ	ஹவானா
相楽	சலங்கை
アナル	anal
ニューマン	நியூமன்
典礼	liturgical
典礼	செபம்
エジソン	எடிசன்
ドミンゴ	டொமிங்கோ
シャッフル	குலுக்கல்
チェチェン	செச்சினியா
プロファイル	சுயவிவரத்தை
プロファイル	சுயவிவரம்
プロファイル	சுயவிவரங்கள்
マゼラン	மகலன்
後見人	கார்டியன்
フリオ	ஜூலியோ
射精	தள்ளல்
点滅	மினுக்கும்
点滅	இமை
点滅	இமைக்கும்
ヴァル	வால்
司書	நூலகர்
整合性	சீர்மை
情事	காரியத்தை
ジーンズ	ஜீன்ஸ்
シビック	சிவிக்
横領	கையாடல்
ジョーイ	ஜோய்
積み重ね	அடுக்கப்பட்ட
アムトラック	amtrak
エマーソン	எமர்சன்
ヨガ	யோகம்
ヨガ	யோகா
マトリックス	அணி
マトリックス	மேட்ரிக்ஸ்
ジョーン	ஜோன்
葛藤	சிக்கலில்
簿記	bookkeeping
フーリエ	ஃபூரியே
慎也	சின்யா
パイナップル	அன்னாசி
旦那	கணவர்
旦那	கணவன்
デュラン	தூரன்
夕食	டின்னர்
夕食	supper
フリップ	திருப்பு
デレク	டெரெக்
疑似	pseudo
憎しみ	வெறுப்பு
憎しみ	வெறுக்கிறேன்
引越し	நகரும்
マッピング	மேப்பிங்
インディペンデント	சுதந்திர
モルドバ	மால்டோவா
アムール	அமுர்
パイル	குவியல்
キャロライン	கரோலின்
ジェローム	ஜெரோம்
ビースト	மிருகம்
恥ずかしい	சங்கடம்
恥ずかしい	அவமானம்
ビショップ	பிஷப்
レア	ரியா
レア	அரிய
レア	அரிதான
再考	மறுபரிசீலனை
パトリシア	பாட்ரிசியா
ボトム	கீழே
ボトム	கீழ்
ボトム	கீழ
ブータン	பொத்தான்
ブータン	பூட்டான்
クラシカル	பாரம்பரிய
髪の毛	கூந்தல்
髪の毛	முடி
髪の毛	கூந்தலில்
髪の毛	தலைமுடி
髪の毛	தலைமுடியை
教会堂	தேவாலயம்
教会堂	சர்ச்
プリマス	பிளைமவுத்
線量	டோஸ்
エンパイア	பேரரசு
靭帯	ligament
キュリー	கியூரி
儒教	கன்பூசியம்
ジェンダー	பாலினம்
ペニー	பென்னி
新生児	newborn
プログレッシブ	முற்போக்கு
チラシ	பிளையர்
結び目	முடிச்சு
ヘイ	ஏய்
ヘイ	ஹே
ユダ	யூதாசு
ネジ	முறுக்கு
アンデス	andes
イタリアン	இத்தாலிய
イタリアン	இத்தாலியன்
アダプタ	தகவி
アウクスブルク	augsburg
共犯	உடந்தையாக
斑点	காணப்பட்டது
斑点	வெள்ளத்தை
領事館	consulate
洋服	ஆடைகள்
洋服	உடைகள்
洋服	துணிகளை
洋服	உடைகளை
洋服	ஆடைகளை
カルマ	கர்மா
パープル	ஊதா
シルビア	சில்வியா
エレクトロニック	எலக்ட்ரானிக்
エレクトロニック	மின்னணு
ギュンター	gunther
ビキニ	பிகினி
ウルス	ulus
プログレス	முன்னேற்றம்
プログレス	முன்னேற்றத்தை
プログレス	முன்னேற்ற
塩酸	ஐதரோகுளோரிக்
はやぶさ	ஹயபுசா
リチャーズ	ரிச்சர்ட்ஸ்
モンク	துறவி
ハンサム	கம்பீரம்
バイキング	வைக்கிங்
黒板	கரும்பலகை
貯水池	நீர்த்தேக்கம்
オタワ	ஒட்டாவா
エロス	ஈரோஸ்
ダンシング	ஆடும்
ミケランジェロ	மைக்கலாஞ்சலோ
コメディー	நகைச்சுவை
コメディー	காமெடி
正確性	நுட்பம்
ときどき	சிலநேரங்களில்
ときどき	சிலநேரம்
エキスポ	எக்ஸ்போ
マネージャ	மேலாளர்
マネージャ	மேலாளராக
マネージャ	நிர்வாகி
マネージャ	மேலாளர்கள்
祈る	பிரார்த்தனை
ヒース	ஹீத்
バウンド	பிணைப்பு
チャンドラー	சாண்ட்லர்
ブラインド	குருட்டு
ブラインド	தடித்த
ザンビア	சாம்பியா
きのこ	காளான்கள்
梗塞	infarction
腕時計	பார்க்கவும்
腕時計	காணுங்கள்
腕時計	காணவும்
腕時計	கைக்கடிகாரம்
腕時計	கவனி
腕時計	கடிகாரங்கள்
フィードバック	பின்னூட்டம்
フィードバック	கருத்து
宜しく	அன்புடன்
フィッシュ	மீன்
フィッシュ	மீன்கள்
整形外科	எலும்பியல்
バンカー	பதுங்கு
タイタニック	டைட்டானிக்
ボニー	போனி
敬語	honorific
手袋	கையுறை
ヘルムート	helmut
アクア	அக்வா
フェノール	பீனால்
スピリッツ	மதுபானங்கள்
ジュエリー	நகைகள்
ジュエリー	நகை
ジュエリー	நகைகள்
エグゼクティブ	செயற்குழு
バッキンガム	பக்கிங்காம்
パシャ	பாஷா
カナディアン	கனடிய
カナディアン	கனேடிய
十代	டீன்
頭蓋骨	மண்டையோடு
頭蓋骨	மண்டை
マルコス	மார்கோஸ்
バースデー	பிறந்தநாளை
バースデー	பிறந்தநாள்
ダマスカス	டமாஸ்கஸ்
非対称	சமச்சீரற்ற
イニシャル	துவக்கங்கள்
ケージ	கூண்டு
スクーター	ஸ்கூட்டர்
フレスコ	fresco
ミセス	திருமதி
総和	கூட்டல்
総和	கூட்டு
二月	பெப்ரவரி
二月	பிப்ரவரி
エタノール	எத்தனால்
ソーシャル	சமூகங்கள்
ソーシャル	சோஷியல்
ソーシャル	சமூகம்
ソーシャル	சமூக
タジキスタン	தஜிகிஸ்தான்
ゲイツ	கேட்ஸ்
争点	பிரச்சனை
争点	சிக்கல்
争点	விவகாரம்
減衰	சிதைவு
音量	ஒலியளவு
乗法	பெருக்கல்
禁酒	மதுவிலக்கு
バイナリ	இருநிலை
リフォーム	திருத்திக்
リフォーム	சீரமைப்பு
ダンプ	திணிப்பு
ストライプ	stripe
ストライプ	தடித்த
待ち伏せ	கொண்டிருக்கின்றது
引き金	விசைகள்
アブドゥル	abdul
アブドゥル	அப்துல்
モニタ	நோட்டம்
モニタ	திரைகள்
カフカ	காஃப்கா
ダイアン	டயான்
キル	கொன்றுவிடும்
キル	கொன்று
ブレーク	பிரிய
ブレーク	இடைவேளை
ブレーク	இடைவெளி
マラリア	மலேரியா
複写	நகலெடுத்தல்
バニラ	வெனிலா
バニラ	வெண்ணிலா
リバティ	லிபர்டி
換気	காற்றோட்ட
座る	அமரும்
ライジング	உதயசூரியன்
ライジング	உதய
ライジング	எழுகிறது
任用	அனுமதி
任用	சந்திப்பு
トゥール	சுற்றுலா
ビニール	வினைல்
ビニール	பிளாஸ்டிக்
クリムゾン	கிரிம்சன்
テコンドー	taekwondo
護送	எஸ்கார்ட்
シンク	பூசிக்
シンク	நினை
シンク	நினைக்கும்
シンク	யோசி
シンク	நினைக்கிறேன்
ディクソン	டிக்சன்
ディクソン	டிக்சன்
プログラマ	நிரலாளர்
ローレル	லாரல்
小麦粉	மாவு
ボウイ	போவி
小冊子	சிற்றேடு
乳児	குழந்தை
受難	மோகம்
ロイター	ராய்ட்டர்ஸ்
エコール	இக்கோல்
大須	osu
ローマン	ருமேனியா
ヒラリー	ஹில்லாரி
ヒラリー	ஹிலாரி
モンティ	மான்டி
キラ	கிரா
エレメント	உறுப்புகள்
エレメント	உறுப்பு
ポーカー	போக்கர்
ブレス	சுவாசம்
ブレス	மூச்சை
ブレス	மூச்சு
ブレス	வாசம்
歳入	வருவாய்
アルプ	alp
別居	பிரிவினையை
別居	பிரித்தல்
無知	அறியாமையை
無知	அறியாமை
ネガ	எதிர்மறை
ネガ	கெட்டது
恩赦	amnesty
血清	சீரம்
入園	சேர்க்கை
ふけ	பொடுகு
アスレチックス	athletics
ハーディ	ஹார்டி
オーウェン	ஓவன்
可逆	மீள்
アラム	அறம்
ウェーブ	அலை
ウェーブ	வேவ்
毛髪	கூந்தல்
毛髪	முடி
毛髪	கூந்தலில்
毛髪	தலைமுடி
毛髪	தலைமுடியை
アヒル	வாத்து
おすすめ	பரிந்துரைக்கப்பட்டவை
おすすめ	பரிந்துரைக்கப்பட்ட
おすすめ	பரிந்துரைக்கப்பட்டது
おすすめ	பரிந்துரைகள்
おすすめ	ஆலோசனைகள்
おすすめ	பரிந்துரைகள்
おすすめ	பரிந்துரைக்கப்பட்டவை
おすすめ	பரிந்துரைக்கப்படுகிறது
おすすめ	பரிந்துரைக்கப்பட்டது
おすすめ	பரிந்துரையை
おすすめ	பரிந்துரை
おすすめ	பரிந்துரை
おすすめ	பரிந்துரைக்கவும்
セーフ	பாதுகாப்பான
セーフ	பாதுகாப்பாக
セーフ	பாதுகாப்பானது
セーフ	பத்திரமாக
セーフ	பாதுகாப்பு
イーゴリ	இகோர்
浮動	மிதவை
浮動	நடமாடும்
浮動	மிதக்கும்
キャシー	கேத்தி
振幅	வீச்சுப்
フェイ	ஃபே
グリニッジ	கிரீன்விச்
アベンジャーズ	அவெஞ்சர்ஸ்
スマトラ島	சுமத்ரா
リバース	மறுபிறப்பு
リバース	reverse
生贄	தியாகங்கள்
生贄	தியாகத்தை
生贄	தியாகம்
ベッカー	becker
ジェミニ	ஜெமினி
ジェミニ	மிதுனம்
ジョブ	பணியை
ジョブ	வேலை
ジョブ	பணி
ジョブ	வேலைகள்
ジョブ	தொழில்கள்
ジョブ	வேலைவாய்ப்புகள்
ジョブ	பணிகள்
グルーヴ	பள்ளம்
アレキサンダー	அலெக்சாண்டர்
シルバ	சில்வா
バレット	பாரெட்
奥行き	ஆழம்
ユトレヒト	utrecht
イースター	ஈஸ்டர்
エベレスト	எவரெஸ்ட்
バックグラウンド	பின்னணி
バックグラウンド	பின்புலம்
エディター	திருத்தி
エディター	ஆசிரியர்
エディター	எடிட்டர்
エディター	தொகுப்பி
エディター	தொகுப்பான்
におい	நாற்றம்
におい	வாசனை
におい	மணம்
フクロウ	ஆந்தை
アドレナリン	அட்ரினலின்
アドレナリン	எபிநெப்ரின்
ルイジ	luigi
ステュアート	ஸ்டுவர்ட்
ピリオド	காலத்தில்
ピリオド	காலம்
ピリオド	காலகட்டங்கள்
皇太后	டோவாகர்
チュートリアル	tutorials
チュートリアル	பயிற்சி
チュートリアル	பாடம்
リモート	ரிமோட்
リモート	தொலை
リモート	தொலைநிலை
リモート	புற
助っ人	உதவியாளர்கள்
助っ人	உதவியாளர்களாக
カンヌ	கேன்ஸ்
不正確	பொருத்தமில்லை
ピール	பீல்
キャンバス	கேன்வாஸ்
琥珀	அம்பர்
フレミング	ஃபிளெமிங்
ライトニング	மின்னல்
守屋	மோரியா
サラゴサ	zaragoza
スイカ	தர்பூசணி
宇陀	uda
チャップマン	சேப்மன்
ゴキブリ	கரப்பான்
パスタ	பாஸ்தா
スパム	ஸ்பேம்
スパム	ஸ்பாம்
ガロン	கேலன்
オゾン	ஓசோன்
発芽	முளைத்தல்
マテリアル	பொருள்
オーブ	உருண்டை
網膜	விழித்திரை
ハジ	ஹாஜி
紆余曲折	திருப்பங்கள்
ハッカー	ஹேக்கர்
キャッツ	பூனைகள்
キャッツ	கேட்ஸ்
再帰	சுழல்
遊牧民	நாடோடி
傲慢	கர்வம்
傲慢	பெருமை
傲慢	ஆணவம்
傲慢	ஆணவம்
エゴ	அகங்காரம்
エゴ	ஈகோ
ひざ	முழங்கால்
ひざ	முட்டி
ディア	அன்புள்ள
ディア	அன்பே
キャベツ	முட்டைக்கோஸ்
カサブランカ	காசாபிளாங்கா
熱意	உற்சாகத்துடன்
熱意	உற்சாகத்தை
受刑者	தீர்ப்பளித்து
セレン	செலினியம்
セビリア	செவீயா
ジープ	ஜீப்
偏差	விலகல்
甘味	இனிப்பான
甘味	இனிமை
甘味	இனிப்பு
痙攣	தசைப்பிடிப்பு
オイラー	ஆய்லர்
模写	இனப்பெருக்கம்
泳ぐ	நீந்தி
泳ぐ	நீச்சல்
泳ぐ	நீந்த
フェデラー	பெடரர்
アブドゥッラー	அப்துல்லா
アブドゥッラー	அப்துல்லாஹ்
ケーブルカー	funicular
飢え	பசி
ボカ	பார்க்கின்றேன்
ビター	கசப்பான
ビター	கசப்பு
コンバート	மாற்று
アクリル	அக்ரிலிக்
ノーム	குநோம்
ハンバーガー	பர்கர்
ハンバーガー	பர்கர்
家賃	வாடகை
オバケ	பயமாக
オバケ	பயமுறுத்தும்
アフガン	ஆப்கான்
テューリンゲン	thuringia
アウグストゥス	அகஸ்டஸ்
ハムスター	வெள்ளெலி
ロレンソ	லாரென்சோ
フリードマン	ஃபிரீடுமேன்
フリードマン	ஃப்ரீட்மன்
スリラー	திரில்லர்
アウトドア	வெளிப்புற
ピープル	மக்களே
ピープル	நபர்கள்
ピープル	மக்களின்
ピープル	மக்கள்
ブロス	சகோதரர்களே
ビュー	பார்வை
ビュー	காட்சி
ビュー	காட்டு
ビュー	பார்வைகள்
クローム	chrome
グレイス	கருணை
グレイス	கிரேஸ்
グレイス	அருளும்
アルル	arles
プレゼンテーション	முன்வைப்பு
ネオン	நியான்
電話機	பேசி
電話機	தொலைபேசியை
電話機	தொலைபேசி
電話機	ஃபோன்
電話機	தொலைபேசி
スイーツ	இனிப்புகள்
利息	வட்டி
利息	ஆர்வம்
リバプール	லிவர்பூல்
インサイド	உள்ளே
宇多	uda
サーモン	சால்மன்
バルーン	பலூன்கள்
ファール	பவுல்
ゲルハルト	கெரார்டு
ひじ	முழங்கை
突然変異	mutation
髑髏	மண்டை
トゥナイト	இன்றி
トゥナイト	இன்றிரவு
数式	சூத்திரம்
数式	சூத்திரங்கள்
数式	formulae
超音波	அல்ட்ராசவுண்ட்
ロックフェラー	ராக்ஃபெல்லர்
リヒテンシュタイン	லீக்டன்ஸ்டைன்
寺井	தெராய்
加速器	முடுக்கு
加速器	முடுக்கி
メシア	மெசியா
威嚇	அச்சுறுத்தல்கள்
カミーユ	காமில்
ルソン島	லூசோன்
アイリーン	ஐரீன்
雪崩	பனிச்சரிவு
ルピー	ரூபாய்
ルピー	ரூபாய்
幼生	குடம்பி
ネヴィル	நெவில்
小道具	முட்டுகள்
花びら	இதழும்
花びら	இதழ்கள்
ライフスタイル	வாழ்வியல்
ライフスタイル	வாழ்க்கைமுறை
アイズ	கண்களும்
アイズ	கண்களின்
アイズ	கண்கள்
アイズ	கண்களால்
アイズ	கண்களை
寝室	படுக்கையறைகள்
寝室	படுக்கையறை
セルジオ	செர்ஜியோ
悪事	அநியாயம்
シュワルツ	schwartz
コンパニオン	தோழர்
算定	calculation
ハゲ	வழுக்கை
イサベル	இசபெல்லா
織機	தறி
ディリ	dili
渦巻	சுழல்
渦巻	சுழற்சி
渦巻	சுழல்
浅利	அசாரி
摂氏	செல்சியஸ்
摂氏	கால்சியம்
詩篇	சங்கீதம்
センサ	உணரிகள்
センサ	உணரி
無限大	infinity
フラップ	flap
割る	ஊர
サリバン	சல்லிவன்
発散	divergence
カキ	சிப்பிகள்
カキ	சிப்பி
石灰	எலுமிச்சை
石灰	சுண்ணாம்பு
コンパス	காம்பஸ்
シミ	கறை
フィジカル	பூத
ハーヴェイ	ஹார்வி
刺繍	எம்பிராய்டரி
アベル	ஏபெல்
モダニズム	modernism
シェルター	தங்குமிடம்
ワイヤ	வயர்
ワイヤ	கம்பி
辛うじて	அதிகமாக
ジェルマン	ஜெர்மைன்
ダミー	போலி
ダミー	ஒப்பு
ドワイト	dwight
被服	ஆடைகள்
被服	ஆடை
被服	ஆடைகள்
被服	உடைகள்
被服	துணிகளை
被服	உடைகளை
被服	ஆடைகளை
ロレンツォ	லாரென்சோ
さくらんぼ	செர்ரி
縮尺	அளவுகோல்
縮尺	அளவு
電卓	கணி
電卓	கணக்கிடுகிறது
電卓	கணிப்பான்
シェリル	செரில்
マーティ	மார்டி
キャピトル	கேபிடல்
あいさつ	போக்
あいさつ	வாழ்த்துக்கள்
あいさつ	வாழ்த்துக்களும்
あいさつ	வாழ்த்து
ジェダイ	ஜெடி
事業主	நிறுவனம்
ジャスミン	மல்லிகை
ユーティリティ	உபயோகம்
不気味	பயமாக
不気味	பயமுறுத்தும்
不気味	தவழும்
タケシ	ப்ராக்
ガンマ	காமா
フローレンス	புளோரன்ஸ்
ブルーム	மலர
アコーディオン	அக்கார்டியன்
マリアン	மரியான்
ムーブメント	இயக்கம்
ストーブ	அடுப்பு
言い訳	புகழ்
言い訳	மன்னியுங்கள்
聖杯	grail
痛い	அய்யோ
オロ	oro
群集	கூட்டம்
群集	கூட்டமும்
群集	கூட்டத்தை
流星群	meteor
木綿	பஞ்சு
木綿	காட்டன்
木綿	பருத்தி
パリス	பாரிஸ்
メッカ	மக்கா
メッカ	மெக்கா
ツナ	சூரை
ビジネスマン	தொழிலதிபர்
ヘッダ	தலைப்புகள்
ブロンド	பொன்னிற
ベルゲン	பேர்கன்
アヘン	அபினிப்
藻類	பாசி
血小板	platelets
下痢	வயிற்றுப்போக்கு
ラクダ	ஒட்டகம்
レニー	லென்னி
ウェンディ	வெண்டி
夕暮れ	மயங்கும்
モリー	மோலி
朝貢	அஞ்சலி
海王星	நெப்டியூன்
アライアンス	கூட்டணி
熟語	மரபு
アンハルト	anhalt
クリティカル	சிக்கலான
クリティカル	சிக்கலானது
クリティカル	முக்கியமான
オリヴァー	ஆலிவர்
ナデシコ	இளஞ்சிவப்பு
ナデシコ	பிங்க்
シャルロット	சார்லோட்
砂岩	மணற்கல்
散文	உரைநடை
ココナッツ	தேங்காய்
ココナッツ	தென்னை
ココナッツ	தேங்காய்கள்
ワッツ	வாட்ஸ்
ブラシ	தூரிகை
忌避	தவிர்க்க
セッティング	அமைப்பு
セッティング	அமைப்புகள்
セッティング	அமைப்புகளில்
殉教	தியாகிகளின்
殉教	தியாகி
殉教	தியாகிகள்
クリフ	கிளிஃப்
荷台	பேலட்
野生動物	வனவிலங்குகள்
飲み物	குடிக்க
飲み物	குடி
飲み物	பானம்
飲み物	பானங்கள்
飲み物	பானங்கள்
マイクロプロセッサ	நுண்செயலி
レリーフ	நிவாரணம்
ハマー	சுத்தியல்
ハマー	சுத்தி
クロエ	சோலி
ハチドリ	hummingbird
瑠美	ரூமி
バクテリア	பாக்டீரியா
ツーリスト	சுற்றுலா
フィールズ	புலங்கள்
トルストイ	டால்ஸ்டாய்
ウェブスター	வெப்ஸ்டர்
エクストリーム	அதீத
コニー	கோனி
一晩	இரவில்
リアクション	உணர்ச்சிகள்
リアクション	பதில்கள்
リアクション	உணர்ச்சி
リアクション	பதிலளிப்பு
リアクション	வினை
指紋	கைரேகைகள்
指紋	கைரேகை
不発	விட்டோம்
利得	ஆதாயம்
利得	பெருக்கம்
利得	பெருக்க
ナイジェル	நைஜல்
アルジェ	அல்ஜியர்ஸ்
ナイロン	நைலான்
論拠	rationale
アミール	அமீர்
喘息	ஆஸ்துமா
概略	சுருக்கம்
ブライトン	பிரைட்டன்
ヌードル	நூடுல்ஸ்
ヌードル	சேமியா
嘔吐	வாந்தி
リアリズム	நிஜம்
カートゥーン	கார்ட்டூன்
リージョン	பகுதிகள்
リージョン	மண்டலங்கள்
リージョン	பிராந்தியம்
リージョン	மண்டலம்
リージョン	பகுதி
アイル	ஐல்
鍛冶屋	கொல்லர்
軟骨	குருத்தெலும்பு
ザンクト	சாண்ட்
柔軟性	flexibility
柔軟性	வளம்
ブライアント	பிரையன்ட்
アバディーン	அபர்தீன்
製造業者	உற்பத்தியாளர்கள்
製造業者	manufacturers
製造業者	உற்பத்தியாளர்
製造業者	தயாரிப்பாளர்
フォーブス	ஃபோர்ப்ஸ்
演者	கலைஞர்கள்
宿屋	சத்திரம்
オフセット	ஆஃப்செட்
オフセット	தள்ளிய
演奏者	performer
パント	பந்த்
サマンサ	சமந்தா
鼓動	துடிக்கும்
コミ	கோமி
そり	sled
形而上学	மீவியற்பியல்
ポテト	உருளைக்கிழங்குகள்
ポテト	உருளைக்கிழங்கு
ポテト	உருளைக்கிழங்கு
ポテト	கிழங்கு
カンニング	ஏமாற்ற
カンニング	ஏமாற்றும்
カンニング	ஏமாற்று
カンニング	ஏமாற்றுதல்
カンニング	ஏமாற்றும்
カンニング	ஏமாற்றி
カンニング	ஏமாற்றிய
カンニング	தந்திரமான
ストロー	வைக்கோல்
ナイキ	நைக்
パラ	பாரா
余震	aftershocks
地下室	அடித்தள
ディストリクト	மாவட்டங்கள்
ディストリクト	மாவட்ட
ディストリクト	மாவட்டம்
ノッティンガム	nottingham
セッター	செட்டர்
乳首	சிற்றலை
乳首	காம்பு
事務員	clerk
事務員	கிளார்க்
オルガ	ஓல்கா
ヘルツ	ஏர்ட்சு
香辛料	மசாலாக்கள்
香辛料	ஸ்பைஸ்
ニワトリ	சிக்கன்
ニワトリ	கோழி
レビ	லேவி
テディ	டெட்டி
てんかん	வலிப்பு
ヨーグルト	தயிர்
スポーク	பேசினார்
スポーク	பேசினார்கள்
円柱	சிலிண்டர்
ナンセンス	முட்டாள்தனம்
マクスウェル	மேக்ஸ்வெல்
ヴィリニュス	வில்னியஸ்
ティナ	டினா
ムンバイ	மும்பை
貧血	சோகை
友だち	நண்பர்கள்
友だち	நண்பர்களே
友だち	நண்பன்
友だち	நண்பர்
友だち	நண்பனும்
友だち	தோழி
友だち	நண்பரே
サファリ	safari
ナミビア	நமிபியா
アンモニウム	அமோனியம்
グローリー	மகிமை
ナディア	நதியா
アザラシ	முத்திரை
キャンディー	மிட்டாய்
聖域	சரணாலயம்
割り当てる	ஒதுக்கு
尋ねる	கேள்
尋ねる	கேட்க
セシウム	cesium
セシウム	சீசியம்
尊厳	கண்ணியம்
尊厳	கண்ணியத்தை
執念	பிரமை
デイジー	டெய்சி
監事	தணிக்கையாளர்
割り込み	நுழை
割り込み	தடை
割り込み	குறுக்கீடு
割り込み	குறுக்கீடுகள்
ダイオード	இருமுனையம்
エントロピー	சிதறம்
ドリュー	ட்ரூ
アキノ	அக்கினோ
モレノ	மொரேனோ
リキュール	மது
分別	விவேகமான
ケラー	கெல்லர்
アナリスト	ஆய்வாளர்
アナリスト	ஆய்வாளர்கள்
リミット	எல்லை
リミット	வரம்பு
リミット	வரம்புகள்
リミット	எல்லைகள்
パイパー	பைபர்
ヴォーン	வாகன்
ベス	பெத்
メッシュ	வலை
スモレンスク	smolensk
クリーニング	சுத்தம்
メリル	மெர்ரில்
ガーネット	கோமேதகம்
ガーネット	கார்னெட்
混合物	கலவை
ツイスト	திருப்பம்
ツイスト	ட்விஸ்ட்
ツイスト	முறுக்கி
