और	and
संदेश	messages
मार	slay
मार	kill
परिचय	introduction
परिचय	about
परिचय	intro
उत्पत्ति	origin
उत्पत्ति	genesis
उत्पत्ति	buoy
मांग	demand
देवता	deity
सोवियत	soviet
दौर	round
संचालन	operations
संचालन	operation
भौगोलिक	geographic
भौगोलिक	geographical
उपस्थित	attending
उपस्थित	attendees
उपस्थित	present
अस्पताल	hospital
अस्पताल	hospitals
परिवर्तित	changed
परिवर्तित	modified
परिवर्तित	converted
पेश	presenting
स्वर	vowels
स्वर	vocal
स्वर	vowel
लघु	logarithm
लघु	succinct
लघु	minor
लाइन	line
प्रश्न	query
प्रश्न	question
प्रश्न	questions
आलोचना	criticism
पहाड़ी	hill
जालस्थल	website
पुरानी	old
पुरानी	older
पसंद	bookmark
पसंद	choice
पसंद	likes
पसंद	bookmarks
सुझाव	suggestions
सुझाव	aggregation
सुझाव	suggestion
सुझाव	recommendations
सुझाव	tips
खेती	farming
खेती	harvest
खेती	tillage
लिखने	writing
वर्णित	described
विभाजन	division
विभाजन	divisions
विभाजन	partition
प्रशासनिक	administrative
विशेषता	attribute
विशेषता	quality
विशेषता	feature
कठिन	arduous
कठिन	hard
कठिन	tough
कठिन	difficult
कड़ी	link
कड़ी	links
कड़ी	chain
एकमात्र	sole
ईरान	iran
क्षेत्रीय	regional
जान	sweethearts
जान	know
लड़ाई	battle
लड़ाई	fight
परिभाषित	defined
अंश	fraction
ग्रामीण	rural
रोड	road
प्रस्तावित	proposed
गायक	singer
इस्लाम	islam
समुद्री	marine
समझा	understood
उनको	them
उपयोगी	useful
उपयोगी	helpful
उपयोगी	utility
कोशिका	cell
केंद्रीय	central
सत्र	session
सत्र	sessions
नारायण	narayana
नारायण	narayan
मिश्र	egypt
मिश्र	mishra
मिश्र	egyptian
पहुँच	access
पहुँच	reach
पहुँच	accessibility
पहुँच	reaches
मेरा	mine
मिस्र	egypt
मिस्र	egyptian
गणराज्य	republic
छात्रों	students
पुराना	old
पुराना	older
जम्मू	jammu
तेज	fast
सम्राट	emperor
नवंबर	november
नवंबर	nov
कारणों	reasons
सर	sir
प्रवाह	flow
अपराध	offence
अपराध	confession
अपराध	crime
अमेरिकन	american
व्यक्तित्व	personality
जन	jan
यूनाइटेड	united
जापानी	japan
जापानी	japanese
रॉक	rock
लंबी	tall
लंबी	long
गेम	gaming
गेम	game
गेम	games
अन्दर	within
अन्दर	inside
शास्त्र	shastra
संपत्ति	property
संपत्ति	assets
संक्षिप्त	abbreviation
संक्षिप्त	brief
संक्षिप्त	concise
क्यों	why
गलत	incorrect
गलत	wrong
गलत	false
गलत	misunderstand
संपूर्ण	entire
वर्मा	varma
वर्मा	verma
सर्वोच्च	supreme
लेना	lena
भौतिकी	physics
वाहन	vehicles
वाहन	vehicle
फ़िल्में	movies
सैनिक	soldier
सैनिक	military
डेटा	data
स्थिर	static
स्थिर	steady
दूध	milk
विद्वानों	scholars
अशोक	ashoka
मानना	believe
रखना	keep
बाह्य	external
उपस्थिति	attendance
उपस्थिति	presence
समूहों	groups
आये	came
चूंकि	since
होटल	hotel
होटल	hotels
उच्चारण	pronunciation
साहित्यिक	literary
पुरुषों	men
पुरुषों	mens
वृक्ष	tree
वृक्ष	trees
निवेश	investing
निवेश	investor
निवेश	investment
निवेश	investments
तत्वों	elements
सत्य	satya
सत्य	truth
सत्य	substantive
दार्शनिक	philosopher
पुराण	purana
पुराण	puranas
सौ	hundred
आंतरिक	interior
आंतरिक	internal
निकल	nickel
प्रत्यक्ष	obvious
प्रत्यक्ष	direct
मित्र	friends
मित्र	friend
दर्द	pain
बिजली	electricity
बिजली	thunderbolt
बिजली	lightning
कार्ड	cards
कार्ड	chord
कार्ड	card
बिंदु	points
बिंदु	dot
बिंदु	point
बुद्ध	buddha
स्टेडियम	stadiums
स्टेडियम	stadium
हजार	thousand
अभाव	absence
अभाव	dearth
रिलीज़	release
रिलीज़	releases
शांति	peace
वितरण	delivery
वितरण	distribution
आय	revenue
आय	earnings
आय	income
रन	runs
फाइनल	final
फाइनल	finals
टेलीविजन	television
दैनिक	daily
न्याय	justice
फूल	flowers
फूल	flower
कल्पना	visualization
कल्पना	kalpana
कल्पना	imagination
प्राप्ति	retrieval
प्राप्ति	acquisition
प्रसार	spread
दिल	dil
दिल	heart
दिल	hearts
गाने	songs
सुंदर	beautiful
सुंदर	pretty
सुंदर	handsome
यानि	means
हाउस	house
अफ़्रीका	africa
इच्छा	desire
इच्छा	cravings
भार	weight
खंड	section
खंड	block
मिश्रण	mix
मिश्रण	mixture
मिश्रण	blend
समर्पित	dedicated
पहुंच	access
स्मारक	monuments
स्मारक	monument
व्यास	diameter
प्यार	love
प्यार	loving
लखनऊ	lucknow
आन्दोलन	movement
मंत्रालय	ministry
आत्मा	soul
आत्मा	spirit
हे	hey
पक्षी	bird
निवासी	inhabitants
निवासी	resident
निवासी	residents
अंततः	eventually
डेविड	david
कह	say
जंक्शन	junction
खास	special
जलवायु	climate
बांग्लादेश	bangladesh
तय	fixed
धारावाहिक	serial
धारावाहिक	episodes
तारे	star
तारे	stars
बनाना	making
बनाना	creating
पौराणिक	mythological
बाकी	residual
बाकी	rest
बाकी	remaining
संत	sant
संत	saints
संत	saint
ऊंचाई	elevation
ऊंचाई	height
उपग्रह	satellite
तुर्की	turkey
तुर्की	turkish
संस्कार	funeral
संस्कार	rituals
संस्कार	rites
शंकर	shankar
अर्थव्यवस्था	economy
बीमारी	illness
बीमारी	disease
बीमारी	sickness
वार्षिक	yearly
वार्षिक	annual
परिसर	premises
परिसर	complex
अधिकतम	max
अधिकतम	maximum
अधिकतम	maximize
अधिकतम	maximise
सदर	sadar
वैश्विक	global
तभी	only
अनिवार्य	mandatory
अनिवार्य	essentials
अनिवार्य	obligatory
अनिवार्य	compulsory
अनिवार्य	essential
उपाधि	degree
सामान्यतः	normally
हरियाणा	haryana
तारा	star
द्वार	gate
द्वार	door
द्वार	doors
मुख्यतः	mainly
आनंद	enjoy
आनंद	anand
आनंद	ananda
कम्पनी	company
रे	ray
जिनकी	whose
स्थायी	permanent
स्थायी	lasting
लकड़ी	wooden
लकड़ी	wood
गोल	rand
गोल	goal
गोल	round
तल	floor
तल	bottom
पू	poo
ऋण	loan
ऋण	debt
ऋण	loans
ऋण	minus
दास	das
नंबर	number
त्वचा	skin
नोबेल	nobel
अधिकारियों	authorities
अधिकारियों	officers
अधिकारियों	executives
जटिल	elaborate
जटिल	complex
जटिल	complicated
हमला	attack
आपूर्ति	supplies
आपूर्ति	supply
अर्थशास्त्र	economics
दर्ज	recorded
हस्ताक्षर	signing
हस्ताक्षर	signatures
हस्ताक्षर	signature
कानूनी	legit
कानूनी	legal
टिप्पणी	comment
टिप्पणी	notes
टिप्पणी	comments
डे	dey
स्मृति	smriti
स्मृति	memory
वेद	vedas
वेद	veda
राजनैतिक	political
तीव्र	vehemently
तीव्र	fast
तीव्र	tropical
तीव्र	expeditious
तीव्र	intense
सम्बन्धित	corresponding
सम्बन्धित	related
हाइड्रोजन	hydrogen
चयन	selection
चयन	selections
राजनीतिज्ञ	politician
यूनानी	greek
यूनानी	greece
जॉर्ज	george
डीवीडी	dvd
स्वर्ण	gold
ठोस	solid
ठोस	tangible
सभ्यता	civilization
मशीन	machine
विदेश	abroad
विदेश	foreign
दवा	medicine
दवा	medication
ऋषि	rishi
ऋषि	rishikesh
ऋषि	sage
शेयर	shares
गर्म	hot
सौर	solar
पंथ	creed
एशियाई	asian
अपेक्षाकृत	relatively
परिभाषा	definition
पति	husband
सफेद	white
संधि	pact
संधि	treaty
वैकल्पिक	alternative
वैकल्पिक	alternate
वैकल्पिक	optional
जयपुर	jaipur
हार	necklace
हार	defeat
समाधान	resolution
समाधान	solution
समाधान	solutions
जेल	jail
जेल	prison
जोड़ा	couple
हिमालय	himalayas
राजमार्ग	highways
राजमार्ग	highway
पेड़	tree
पेड़	trees
कैरियर	career
कैरियर	carrier
कैरियर	careers
इंच	inch
इंच	inches
डिजिटल	digital
श्रेष्ठ	superior
निगम	nigam
निगम	corporation
आग	fire
चैम्पियनशिप	championship
शराब	alcohol
शराब	wine
पौधे	plants
पौधे	plant
जमीन	land
जमीन	ground
खाने	dine
खाने	eating
हाथों	hands
बाज़ार	bazaar
बाज़ार	markets
बाज़ार	market
आदमी	man
मस्जिद	mosque
किरदार	characters
निर्धारण	fixtures
नुकसान	loss
नुकसान	losses
नुकसान	damage
आकर्षित	attracted
आकर्षित	attract
महाराज	maharaj
रस	juices
रस	juice
ऑनलाइन	online
सेट	set
सेट	sets
भेद	distinction
भेद	secret
भेद	distinctions
फोन	phone
फोन	phones
मनोविज्ञान	psychology
मगध	magadha
शक्तिशाली	powerful
व्याकरण	grammar
अवार्ड	award
कौन	who
चिह्न	symbol
चिह्न	symbols
चिह्न	sign
चिह्न	icon
वर्गीकरण	classification
जोड़	addition
आरोप	charges
उड़ान	flight
महासागर	oceans
महासागर	ocean
माल	wealth
एयर	air
महसूस	feel
अध्याय	chapter
अध्याय	chapters
कराया	armored
विमानक्षेत्र	airport
दान	donated
दान	donation
दान	donate
दान	donations
दान	charity
करे	kare
अनुपात	gradient
अनुपात	gradients
अनुपात	ratio
विद्रोह	insurrection
विद्रोह	revolt
विद्रोह	rebellion
विद्रोह	sedition
कक्षा	classroom
कक्षा	class
कक्षा	orbit
स्नातक	graduated
स्नातक	bachelor
स्नातक	graduation
स्नातक	graduate
इंजीनियरिंग	engineering
मूर्ति	statues
मूर्ति	idol
मराठी	marathi
माइकल	michael
संस्थापक	founder
इलाज	cure
इलाज	treat
इलाज	treatment
अवधारणा	concept
अभ्यास	practice
शाही	royal
शाही	shahi
पाकिस्तानी	pakistan
पाकिस्तानी	pakistani
ब्लैक	black
भेजा	sent
संसाधन	resource
संसाधन	resources
देवनागरी	devanagari
जीन	gene
मजबूत	robust
मजबूत	strong
बढ़ाने	enhance
प्रोग्राम	program
प्रोग्राम	programs
मिश्रित	mixed
मिश्रित	mixer
निरंतर	continuous
निरंतर	constant
प्रबंध	managing
प्रबंध	manage
पदक	medal
व्यंजन	consonants
व्यंजन	cuisine
परिस्थितियों	situations
जमा	deposit
जमा	deposits
स्त्री	woman
स्त्री	female
चित्रण	draw
चित्रण	illustration
यातायात	traffic
यातायात	transport
यातायात	airways
सूक्ष्म	subtle
सूक्ष्म	imperceptible
सूक्ष्म	micro
लंबाई	length
हेनरी	henry
डाला	entered
समीक्षा	reviews
समीक्षा	review
मोटर	motor
कर्मचारियों	employees
हमले	attacks
हमले	attack
अक्षर	syllable
अक्षर	letters
अक्षर	character
अक्षर	letter
अक्षर	characters
कारक	factors
कारक	factor
किंगडम	kingdom
शीघ्र	expedite
हिन्द	indo
हिन्द	hind
बीज	seed
बीज	seeds
जल्दी	quick
जल्दी	early
जल्दी	quickly
घाट	ghat
घाट	ford
यंत्र	device
यंत्र	instrument
यंत्र	machine
यंत्र	instruments
कर्म	karma
कदम	step
कदम	steps
साथी	companion
साथी	accomplice
साथी	partner
ऊपरी	uppercase
पुस्तकों	books
आशा	hope
नौ	nine
रचित	composed
शिक्षण	teaching
ऊँचाई	altitude
ऊँचाई	elevation
ऊँचाई	height
आकर्षण	attraction
आकर्षण	charisma
आकर्षण	charm
आकर्षण	charms
आकर्षण	attractions
सर्वेक्षण	surveys
सर्वेक्षण	survey
सर्वेक्षण	surveying
हद	extravagant
हद	limits
मुहम्मद	muhammad
मुहम्मद	muhammed
स्टूडियो	studio
राज्यपाल	governor
रोगियों	patients
गेंद	ball
राजाओं	kings
पुस्तकालय	libraries
पुस्तकालय	library
बॉलीवुड	bollywood
सिनेमा	cinema
प्राणी	animal
प्राणी	creature
अंग्रेजों	british
कर्मचारी	employee
कर्मचारी	employees
कर्मचारी	worker
काले	black
मंच	platform
मंच	forum
प्रेरणा	motivation
प्रेरणा	inspirations
प्रेरणा	inspiration
मारे	killed
तीसरा	third
चलती	moving
हिमाचल	himachal
तुरंत	immediately
अकबर	akbar
शुरूआत	beginning
शुरूआत	launches
कृत्रिम	artificial
फिल्में	movies
यात्री	passengers
यात्री	passenger
यात्री	traveller
चार्ल्स	charles
अड्डा	adda
रामायण	ramayana
प्रगति	progress
विद्वान	erudite
विद्वान	scholar
जहाज	ship
जहाज	ships
बचपन	childhood
बातचीत	conversations
बातचीत	interaction
केंद्रित	centred
केंद्रित	centered
केंद्रित	focused
तारीख़	date
नर	male
जाये	jaye
संकट	menace
संकट	crisis
असम	assam
रोगों	diseases
संगठनों	organisations
जानी	jani
बाबा	baba
फ्रेंच	french
पंजाबी	punjabi
वीर	vir
वीर	brave
वीर	heroic
वीर	veer
उपयोगकर्ता	user
उपयोगकर्ता	users
बिल	bill
ग्रैंड	grand
निर्देशित	directed
निर्देशित	guided
प्रोटीन	protein
प्रोटीन	proteins
महाराजा	maharaja
हास्य	humor
हास्य	comedy
हास्य	comedian
ग्राहक	customer
ग्राहक	customers
ग्राहक	client
तृतीय	iii
तृतीय	third
हैदराबाद	hyderabad
तिथि	date
खाते	accounts
देवताओं	gods
नवीन	naveen
नवीन	innovative
खाड़ी	gulf
खाड़ी	bay
अर्जुन	arjun
अर्जुन	arjuna
तरल	fluid
तरल	liquid
संबद्ध	affiliation
संबद्ध	affiliate
संबद्ध	affiliated
संबद्ध	associated
संबद्ध	associate
दौरे	tour
संयोजन	conjunction
संयोजन	composition
संयोजन	combination
संयोजन	integration
निदेशक	director
सामान	stuff
सामान	luggage
किला	castle
किला	fortress
किला	fort
मंगल	mangala
मंगल	mars
अन्तर्राष्ट्रीय	international
थोड़ा	slightly
शुल्क	fee
शुल्क	fees
लोगो	logo
लोगो	logos
माह	months
माह	month
काशी	kashi
सलाह	advice
सलाह	salah
सलाह	advise
आहार	diet
स्वामित्व	ownership
गिरजाघर	cathedral
गिरजाघर	church
पीढ़ी	generation
गृह	home
छवि	images
छवि	image
पुष्टि	confirmed
पुष्टि	confirmation
कलाकारों	artists
यूनिवर्सिटी	university
औपचारिक	formal
जातियों	races
वित्त	finance
तीर्थ	pilgrimage
मध्यम	medium
मध्यम	moderately
द्रव	fluid
द्रव	liquid
अनुरोध	requests
अनुरोध	request
जोर	loud
जोर	emphasis
संभावित	likely
संभावित	potential
संभावित	possible
हमारी	our
विपणन	marketing
मनाया	celebrated
मूल्यांकन	evaluation
मूल्यांकन	assessment
मूल्यांकन	measurement
वाक्य	sentence
वाक्य	sentences
डाटा	data
अनुरूप	consonant
अनुरूप	fit
ध्वज	banner
ध्वज	flag
ध्वज	flags
ध्वज	banners
ध्वज	luxembourg
पुल	bridges
पुल	bridge
मोहन	mohan
विद्या	vidya
डाल	cast
निकाल	expel
देखकर	seeing
फीट	feet
पुस्तकें	books
बहन	sis
बहन	sister
हल	plow
हल	hull
हल	solution
हल	plough
हल	solved
मास	mas
मास	mass
पॉल	paul
तारों	star
तारों	stars
करेगा	will
अधिकारों	rights
साक्षात्कार	interview
साक्षात्कार	interviews
सेवाएं	services
काउंटी	county
काउंटी	counties
काउंटी	cowboy
बीमा	insurance
सुबह	morning
मानचित्र	map
मानचित्र	maps
संस्थाओं	institutions
खर्च	spent
खर्च	expenses
खर्च	spend
खर्च	spends
जातियाँ	community
हाई	high
विख्यात	noted
मालिक	owner
फैला	spread
जंगल	jungle
जंगल	forest
पैर	feet
पैर	foot
पैर	legs
पैर	leg
कोरिया	korea
बालक	lad
बालक	child
चुनावों	elections
बीबीसी	bbc
सैनिकों	soldiers
सैनिकों	troops
मुगल	mughal
सेवन	intake
मौलिक	original
मौलिक	basic
अमरीकी	american
बेटे	sons
बेटे	son
कोर्ट	court
निर्देश	directions
निर्देश	instruction
निर्देश	instructions
ओपन	open
आवाज	volume
आवाज	voice
रोम	rome
मनोरंजन	recreation
मनोरंजन	entertainment
मनोरंजन	amusement
विलय	merger
विलय	merge
विलय	merging
दीवार	wall
उत्कृष्ट	excellent
उत्कृष्ट	outstanding
सकारात्मक	positive
काली	kali
संभवतः	maybe
संभवतः	probably
संभवतः	possibly
महात्मा	mahayana
महात्मा	mahatma
संशोधन	modifications
संशोधन	revision
कैलिफोर्निया	california
चिकित्सक	physician
चिकित्सक	therapist
चिकित्सक	therapy
चिकित्सक	therapists
सरस्वती	sarasvati
सरस्वती	saraswati
रॉबर्ट	robert
वर्ण	varma
वर्ण	hue
वर्ण	character
वर्ण	characters
किताब	book
आपकी	your
रचनाओं	creations
जय	jaya
जय	jay
वनस्पति	botanical
वनस्पति	vegetation
नायक	heroes
नायक	hero
प्रतिनिधि	delegate
प्रतिनिधि	representative
प्रतिनिधि	representatives
आपका	your
आपका	yours
भारती	bharati
शब्दावली	glossary
शब्दावली	terminology
शब्दावली	vocabulary
रास्ते	way
लेखकों	writers
फैसला	judge
फैसला	decision
फैसला	faisalabad
कीमत	price
संघीय	federal
निदान	diagnostic
निदान	diagnosis
निदान	diagnostics
प्रतिमा	statue
बेटी	daughter
ज्योतिष	astrology
मुश्किल	barely
मुश्किल	tough
मुश्किल	hard
मुश्किल	difficult
परस्पर	mutual
अनुकूल	favorable
अनुकूल	propitious
पंडित	pandit
ईंधन	fuel
तनाव	tensions
तनाव	stress
योग्यता	qualifications
योग्यता	qualification
योग्यता	aptitude
बैठक	meetings
बैठक	meeting
कम्प्यूटर	computer
वाराणसी	varanasi
जल्द	soon
मुम्बई	mumbai
हॉल	hall
हॉल	halls
किंग	king
पेरिस	paris
टाइम्स	times
जवाब	answer
जवाब	reply
जवाब	response
जवाब	answers
जवाब	replies
संपादक	editor
संपादक	editors
बंदरगाह	port
ग्रुप	group
शून्य	zero
जैविक	organic
कौशल	skills
कौशल	skill
कौशल	finesse
भक्ति	bhakti
भक्ति	devotion
गहराई	depth
आश्रम	hospice
आश्रम	ashram
आरंभिक	initial
आरंभिक	beginner
कण	particles
कण	particle
वाणिज्यिक	commercial
नैतिक	ethical
नैतिक	moral
रॉयल	royal
पुरी	puri
शिखर	pinnacle
शिखर	peak
धरती	earth
नेहरू	nehru
पेशेवर	professional
पेशेवर	professionals
लैटिन	latin
परंपरागत	traditional
परंपरागत	orthodox
समीकरण	equation
समीकरण	elevation
जाँच	test
जाँच	tests
जाँच	check
जीवों	organisms
मापन	measurement
सुन्दर	pretty
प्रथा	practice
प्रथा	praetor
दोनो	both
संपादित	edited
देखी	seen
देखी	saw
देखी	watched
देर	late
आंशिक	proportional
आंशिक	partial
परम्परा	tradition
एसोसिएशन	associations
एसोसिएशन	association
आध्यात्मिक	spiritual
साइट	site
साइट	sites
यहूदी	jewish
यहूदी	hebrew
यहूदी	jews
यहूदी	yiddish
विशेषकर	particularly
विशेषकर	specially
विशेषकर	especially
महाद्वीप	continent
महाद्वीप	continents
तरीका	way
मुक्ति	liberation
मुक्ति	salvation
प्रजनन	breeding
प्रजनन	fertility
बॉक्स	box
बॉक्स	boxes
श्रेय	credit
श्रेय	credentials
श्रेय	credits
स्टेट	state
स्टेट	stat
ठाकुर	thakur
वेल्स	wales
समकालीन	contemporary
निभाई	played
शुक्ल	shukla
गुना	fold
गुना	guna
प्रारूप	draft
प्रारूप	format
एक्सप्रेस	express
वजन	weight
प्रक्रियाओं	processes
प्रक्रियाओं	procedures
अभिव्यक्ति	utterance
अभिव्यक्ति	expression
मंदिरों	temples
चोट	injury
चोट	hurt
मौजूदा	current
मौजूदा	present
मौजूदा	existing
हरा	greens
हरा	green
हरा	grenada
संगीतकार	musician
संगीतकार	musicians
प्रवृत्ति	trend
प्रवृत्ति	penchant
रुचि	penchant
रुचि	interested
रुचि	interest
आर्य	aryan
परत	layer
पर्यटक	tourists
पर्यटक	tourist
मछली	fishes
मछली	fibres
मछली	fish
मछली	fibers
उपभोक्ता	consumer
उपभोक्ता	consumers
वैज्ञानिकों	scientists
आविष्कार	invention
आसान	easy
यान	yan
कक्ष	room
कक्ष	cells
कक्ष	cell
कक्ष	chamber
कक्ष	rooms
यौन	sexual
मशहूर	famous
विकेट	wicket
अनुबंध	pact
अनुबंध	contracts
अनुबंध	agreement
अनुबंध	contract
राव	rao
पाठ्यक्रम	course
पाठ्यक्रम	courses
वेस्ट	west
प्रतिष्ठित	noble
प्रतिष्ठित	eminent
प्रतिष्ठित	honoured
गवर्नर	governor
न्यूनतम	minimise
न्यूनतम	minimum
न्यूनतम	min
प्रतिभा	genius
प्रतिभा	talent
प्रशंसा	praises
प्रशंसा	praise
सीट	seat
व्यावहारिक	practical
व्यावहारिक	insightful
उत्सव	festival
उत्सव	jamboree
उत्सव	celebration
कपड़े	apparel
कपड़े	clothing
कपड़े	clothes
पुणे	pune
सालों	years
हजारों	thousands
खनिज	mineral
खनिज	fossil
खनिज	minerals
लम्बी	long
बुद्धि	intelligence
विषाणु	virus
फ्रांसीसी	french
कठोर	hard
कठोर	severe
कठोर	rigorous
प्रणालियों	systems
विकार	disorder
विकार	disease
विकार	disorders
घटक	composite
घटक	component
ऑस्ट्रेलियाई	aussie
ऑस्ट्रेलियाई	australian
घनत्व	density
वर्गों	squares
वर्गों	sections
संहिता	code
संहिता	samhita
काल्पनिक	fantasy
काल्पनिक	imaginary
काल्पनिक	unreal
काल्पनिक	hypothetical
प्रयत्न	efforts
प्रयत्न	effort
तारामंडल	constellation
प्रजाति	species
विविधता	diversity
इस्लामी	islamic
शहरी	urbanization
शहरी	urban
बातें	things
बातें	sayings
नदियाँ	rivers
शास्त्रीय	classical
सैन	san
अग्नि	fire
अग्नि	agni
ग्रेट	great
कोश	kosh
श्रम	labour
श्रम	labor
आयरलैंड	iceland
आयरलैंड	ireland
उसको	him
दर्जा	rating
दर्जा	rank
असफल	fail
असफल	failed
असफल	failure
चन्द्र	chandra
चन्द्र	moon
गाँधी	gandhinagar
गाँधी	gandhi
अनुप्रयोग	application
अनुप्रयोग	syndication
अनुप्रयोग	applications
बचने	avoiding
सोने	gold
बेहद	extremely
सचिव	secretary
ब्रांड	brands
ब्रांड	brand
डिज़ाइन	design
आवास	habitat
आवास	residence
आवास	housing
आवास	lodging
आवास	lodge
आवास	accommodation
ज़िला	district
यांत्रिक	mechanical
धारणा	conception
द्रव्यमान	mass
न्यायाधीश	judge
लाइव	live
कवियों	poets
आकृति	shape
आकृति	figure
प्रभावशाली	impressive
स्थितियों	situations
करेंगे	will
मलयालम	malayalam
जाय	nutmeg
हालाँकि	although
पीटर	peter
खराब	bad
एलबम	album
एलबम	albums
संवाद	dialogues
संवाद	dialogue
संवाद	dialogs
संवाद	dialog
प्रीमियर	premiere
प्रीमियर	premier
चित्रित	painted
चित्रित	depicted
पेट	stomach
पेट	belly
मोहम्मद	mohamed
फसल	crop
दोस्त	buddy
दोस्त	friend
वापसी	return
वापसी	withdrawal
वापसी	comeback
प्रोत्साहित	encourage
प्रोत्साहित	encouraging
प्रोत्साहित	encouraged
क्रमशः	respectively
सूरज	sun
लाइसेंस	licenses
लाइसेंस	license
लाइसेंस	licence
सेन	sen
छः	six
मिशन	mission
मिशन	missions
लंबा	tall
लंबा	long
विशेषज्ञ	specialist
विशेषज्ञ	experts
विशेषज्ञ	expert
विशेषज्ञ	specialities
नौकरी	job
उपाय	measures
उपाय	remedy
आकाश	firmament
आकाश	heavens
आकाश	sky
शासकों	rulers
तिब्बत	tibet
स्थानांतरित	moved
खो	kho
बचाव	defend
बचाव	hedge
बचाव	rescue
बचाव	prevention
देखभाल	caring
पर्यटकों	tourists
ईरानी	irani
ईरानी	iran
ईरानी	iranian
सिंगापुर	singapore
मादा	female
खरीद	purchase
खरीद	procurement
उत्सर्जन	excretion
उत्सर्जन	emission
निवासियों	inhabitants
निवासियों	residents
क्षति	damage
दोष	blame
दोष	flaw
अवतार	incarnation
अवतार	avatar
हाथी	elephant
शैक्षिक	academic
शैक्षिक	educational
युगल	couples
युगल	doubles
युगल	couple
ग्रीक	greek
टीका	tika
टीका	vaccine
सुविधाओं	amenities
पोषण	nutrition
रिलीज	release
रिलीज	releases
अदालत	court
इस्पात	steel
अकार्बनिक	inorganic
झारखंड	jharkhand
सुपर	super
दाब	pressure
समझौता	pact
समझौता	compromise
आवासीय	residential
जंगली	wild
जंगली	savage
जंगली	haggard
जरूरी	required
आर्ट	art
शनि	saturn
शनि	sat
श्वेत	white
नमक	salt
बातों	things
बिलियन	billion
एकीकृत	unified
एकीकृत	integrated
पत्रकार	journalist
पत्रकार	journalists
वस्त्र	textile
वस्त्र	apparel
वस्त्र	clothing
वस्त्र	textiles
जानवरों	animals
आपस	usurp
आगमन	arrival
आगमन	arrives
आगमन	advent
कन्या	virgo
शास्त्री	shastri
लम्बे	lambe
मनुष्यों	humans
पर्व	festival
पर्व	fiesta
निष्कर्ष	outcome
निष्कर्ष	conclusion
साफ	clear
साफ	cleared
साफ	clean
गरम	warm
आवश्यकताओं	requirements
प्रतिरोध	resistance
सदा	always
डिस्क	disc
डिस्क	disk
डिस्क	disks
खड़ा	vertically
खड़ा	vertical
पोस्ट	post
पोस्ट	posts
मेला	mela
मेला	fair
लिंग	gender
वायरस	virus
रिचर्ड	richard
सिख	sikh
मगर	except
मगर	but
महीनों	months
सेल	cell
मुख	mouth
सीज़न	seasons
पाठक	readers
पाठक	reader
अग्रणी	leading
नाथ	nath
आनन्द	joy
आनन्द	joyful
उन्नत	enhanced
उन्नत	advanced
सर्वर	servers
सर्वर	observer
सर्वर	server
विचारधारा	ideology
पीड़ित	suffering
पीड़ित	suffers
पीड़ित	victims
पीड़ित	victim
श्रेणियों	guild
राजकुमार	prince
उम्मीद	hoping
उम्मीद	hopeful
उम्मीद	hope
कार्यकारी	executive
मास्टर्स	masters
वरिष्ठ	seniors
वरिष्ठ	senior
शिष्य	disciple
प्रोफेसर	professor
स्कॉटलैंड	scotland
विकिरण	radiation
फारसी	faroese
फारसी	persian
करवाया	bred
संरक्षित	protected
सहज	intuitive
सहज	comfortable
बदला	changed
बदला	revenge
बदला	reward
बदला	replacement
कलकत्ता	calcutta
काला	black
पंक्ति	line
पंक्ति	rows
पंक्ति	row
लोकप्रियता	popularity
गतिविधि	activity
ओलंपिक	olympics
मथुरा	mathura
अनुनाद	resonance
बर्फ	snow
बर्फ	ice
कार्रवाई	action
शिशु	infant
शिशु	babies
साक्षरता	literacy
मार्क	mark
मार्क	marc
ब्रह्म	brahman
ब्रह्म	brahma
ट्रैक	track
ट्रैक	tracks
मनोवैज्ञानिक	psychological
मनोवैज्ञानिक	psychologist
गर्मी	summer
गर्मी	heat
मैन	man
जिम्मेदार	responsible
गीतों	lyricist
गीतों	songs
आवृत्ति	recurrence
आवृत्ति	frequency
आवृत्ति	recurring
आवृत्ति	occurrences
स्रोतों	springs
स्रोतों	fountains
कोण	angle
कोण	angles
ईस्ट	east
अफ्रीकी	afrikaans
अफ्रीकी	african
रंगों	colors
संज्ञा	noun
खतरा	danger
टूर्नामेंट	tournament
चिंता	anxiety
चिंता	worry
चिंता	concern
सहमत	agreed
सहमत	agree
मोटे	obese
मोटे	fat
घरों	homes
घरों	houses
मार्शल	marshall
मार्शल	marshal
हिसाब	accounting
उदय	rise
उदय	uday
पहुंचा	reached
फ़ारसी	persian
प्रयोगशाला	laboratory
मेक्सिको	mexico
बिग	big
संस्थानों	institutions
प्रार्थना	praying
प्रार्थना	prayers
प्रार्थना	prayer
लाहौर	lahore
रुपये	quid
गद्य	prose
समानता	parity
समानता	resemblance
समानता	equality
समानता	similarity
बम	bam
बम	bomb
बम	bombs
आदिवासी	tribal
हैरी	harry
कैथोलिक	catholic
देहरादून	dehradun
लम्बाई	length
दुर्घटना	accident
उपनाम	nick
उपनाम	surname
उपनाम	nickname
बंगाली	bengali
घायल	injured
सहारा	sahara
चेतना	consciousness
सारा	sarah
सारा	sara
इलेक्ट्रॉनिक	electronic
तंत्रिका	nerve
पट्टी	bar
पट्टी	patti
गोवा	goa
रास्ता	way
रास्ता	rasta
सोच	thinking
टाटा	tata
