точное	precise
катера	boats
кен	ken
подтверждена	confirmed
координации	coordinate
рождество	christmas
рождество	xmas
ральф	ralf
ральф	ralph
стандартный	standard
отделений	offices
отделений	branches
сул	sul
поло	polo
чистый	purified
чистый	net
чистый	clean
чистый	pure
тепло	heat
тепло	warm
тепло	warmth
мартинес	martinez
мартинес	martínez
таджикистан	tajikistan
погода	weather
удаляется	removed
суды	courts
герцогства	duchy
бака	baka
приобрел	acquired
джейми	jamie
предпочитает	prefers
банкноты	banknotes
демонстрирует	demonstrates
раннее	early
днепропетровск	dnipropetrovsk
днепропетровск	dnepropetrovsk
орды	hordes
болота	swamp
болота	marshes
болота	swamps
избегать	avoiding
избегать	avoid
магистр	magister
окружности	circles
окружности	circumference
соединяет	connects
пригороде	suburb
пригороде	suburbia
пригороде	suburbs
празднование	celebrating
празднование	celebrations
празднование	commemoration
празднование	celebration
туркменистана	turkmen
спорных	contentious
спорных	disputed
спорных	controversial
римлян	romans
длинная	long
дождь	raining
дождь	rain
рено	renaud
рено	reno
рено	renault
мкф	icf
уменьшается	decreases
уменьшается	decreasing
продать	sell
колесо	wheel
коренные	indigenous
федеральное	federal
заготовки	harvesting
клиент	customer
клиент	client
таллин	tallinn
прибыла	arrived
быков	bulls
сохранять	preserve
сохранять	save
коллективов	collectives
ударных	percussion
лингвист	linguist
шум	noise
сталь	steel
говард	howard
скот	scott
скот	livestock
скот	cattle
выделил	highlighted
кусок	piece
органических	organic
серп	sickle
кальция	calcium
робот	robot
ева	eva
ева	eve
паркер	parker
бурбон	bourbon
вызова	summoning
филиппины	philippines
восстановлено	restored
заболевание	illness
заболевание	disease
ствол	barrel
ствол	gun
шер	cher
справедливо	fair
тренеров	coaches
мирза	mirza
запрещены	banned
братства	brotherhood
разрушена	ruined
цифра	digit
цифра	figure
отражения	reflections
кэти	kathy
кэти	cathy
кэти	katy
кэти	katie
либертадорес	libertadores
сосудов	receptacles
водителя	driver
лиссабон	lisbon
металлургии	metallurgy
серого	gray
осуществление	implementation
величайших	greatest
творческих	creative
джорджия	georgia
спектра	spectrum
норт	north
домохозяйства	households
домохозяйства	household
нести	carry
побег	escaping
побег	escape
визита	visit
ввод	input
ввод	typing
ввод	entering
ввод	enter
атомов	atoms
измерений	measurements
документация	documentation
бордо	bordeaux
спора	dispute
производительность	performance
производительность	productivity
верди	verdi
заняты	busy
существенные	substantial
существенные	significant
регент	regent
двигаться	move
двигаться	moving
лена	lena
уважение	respect
эскадрилья	squadron
подтверждаю	confirmed
капитаны	captains
воздушная	aerial
самоубийство	suicide
томпсон	thompson
определены	defined
определены	determined
голландский	dutch
снаряда	projectile
мемуары	memoirs
блокады	blockades
блокады	blockade
подземный	underground
живые	living
живые	lively
живые	alive
фбр	fbi
винсент	vincent
варвара	varvara
мар	mar
обитатели	inhabitants
рикардо	ricardo
противостоять	confront
противостоять	oppose
ходил	walked
змей	snake
змей	serpent
змей	snakes
авария	accident
авария	crash
вождь	chief
миграции	migration
предприниматели	entrepreneurs
квартале	quarter
включено	included
включено	enabled
костюмы	costumes
костюмы	suits
бан	ban
бан	bun
повстанцы	insurgents
повстанцы	rebels
ромео	romeo
доводы	arguments
бронза	bronze
невозможности	impossibility
редактировать	edit
шаги	steps
шаги	footsteps
вставить	insert
вставить	paste
квартет	quartet
вину	guilt
алжира	algerian
алжира	algeria
филип	philip
филип	filip
николя	nicolas
николя	nicola
квалификация	qualifying
квалификация	qualifications
квалификация	qualification
сантос	santos
организаторы	organizers
организаторы	organisers
организаторы	hosts
переводить	translate
интеллигенции	intelligentsia
грамотности	literacy
коллегами	colleagues
свод	redd
походы	camping
походы	hiking
моряков	sailors
моряков	seamen
потеря	losing
потеря	loss
профессионально	professionally
кентукки	kentucky
получен	received
французское	french
имеющихся	available
секрет	secret
электрические	electrical
иерархии	hierarchy
иерархии	hierarchies
камеру	camera
сопровождал	accompanied
этнических	ethnic
зимы	winters
гомель	gomel
чужой	alien
чужой	stranger
излучение	radiation
принести	bring
методика	methodology
семян	seed
прекращено	discontinued
электрический	electrical
электрический	electric
комплект	set
комплект	kit
чэнь	chen
лоуренс	laurence
лоуренс	lawrence
полицейские	cops
полицейские	policemen
полицейские	police
бутана	bhutanese
утвержден	approved
префектуре	prefecture
сухопутные	terrestrial
собственная	own
богиня	goddess
проход	aisle
проход	passage
рид	reid
рид	reed
аппараты	machines
созыв	convening
отпуск	vacation
мэттью	mathew
мэттью	matthew
медицинское	medical
замки	castles
замки	locks
эрнест	ernest
уверены	confident
треугольник	triangle
дональд	donald
