ルクセンブルク	luxembourg
脂肪	gemuk
脂肪	lemak
回顧	retrospective
アーネスト	ernest
眠る	tidur
天台宗	tiantai
植村	uemura
成美	narumi
アスレチック	athletic
アスレチック	atlit
彼氏	boyfriend
エミー	amy
迫害	fitnah
迫害	penyeksaan
良一	ryoichi
左近	sakon
勧誘	berunsur
手数料	komisen
手数料	suruhanjaya
手数料	commission
手数料	yuran
手数料	yuran
バドミントン	badminton
ザック	zac
陶器	tembikar
スクリプト	skrip
スクリプト	skrip
拓郎	takuro
トライアングル	triangle
溶岩	lava
フィニッシュ	selesaikan
フィニッシュ	finish
高見	takami
真似	meniru
真似	tiru
真似	mimic
フン	hun
ハス	lotus
ハス	teratai
メグ	meg
ボールド	bold
ボールド	tebal
トッド	todd
入浴	bathing
入浴	mandi
入浴	mandian
入浴	mandi
入浴	bath
ハング	hung
ハング	hang
流体	cecair
流体	bendalir
流体	bendalir
ジュネーヴ	geneva
ハーバート	herbert
お菓子	sweets
お菓子	manisan
秀行	hideyuki
圭介	keisuke
オシ	osh
ブレーメン	bremen
共生	symbiotic
六角	rokkaku
チューブ	tiub
チューブ	tabung
チューブ	tube
ヒゲ	jambang
林業	perhutanan
浄土宗	jodo
変装	menyamar
変装	penyamaran
祐介	yusuke
軍需	armament
シグナル	isyarat
シグナル	signal
シグナル	isyarat
オリーブ	zaitun
オリーブ	zaitun
面接	interview
面接	otai
面接	temuduga
ダイエット	diet
ダブリン	dublin
信念	iman
信念	kepercayaan
信念	kepercayaan
信念	keyakinan
スチュアート	stuart
ワイヤー	wayar
ワイヤー	wayar
アルブレヒト	albrecht
バレル	barrel
バレル	tong
サンティアゴ	santiago
雅人	masato
碑文	bersurat
碑文	prasasti
一樹	kazuki
ブルターニュ	bretagne
審判員	pengadil
審判員	referees
さゆり	sayuri
スレッド	perbualan
スレッド	bebenang
スレッド	jaluran
スレッド	bebenang
スレッド	perbualan
正和	shōwa
麻布	azabu
ドラキュラ	dracula
ルネ	rené
ルネ	rene
桟橋	jeti
桟橋	dermaga
亜鉛	zinc
グラハム	graham
正博	masahiro
デューク	duke
語彙	tatabahasa
コーディネーター	coordinator
ソナー	sonar
大滝	otaki
充電	cas
充電	caj
充電	charge
充電	libas
充電	mengecas
充電	pengisian
外野	outfield
グラブ	grab
バーミンガム	birmingham
マイヤー	meyer
鍋島	nabeshima
リリー	lily
大工	carpenter
隠岐	oki
チャイ	chai
ワクチン	vaksin
ワクチン	vaksin
監獄	penjara
監獄	penjara
デラウェア	delaware
売る	sell
売る	jual
夜叉	yasha
筑前	chikuzen
スポーツカー	sportscar
桃園	taoyuan
ペーター	peter
買い物	belanja
買い物	shopping
既婚	berkahwin
陽性	positive
陽性	positif
チョーク	kapur
チョーク	cekik
エコー	gema
エコー	echo
同調	kesesuaian
スイング	ayunan
スイング	swing
クランク	crank
コミュニティー	komuniti
施策	dasar
トラクター	traktor
トラクター	traktor
カリスマ	karisma
カリスマ	berkarisma
吹く	pukulan
下着	undergarment
真宗	shinshu
分泌	perembesan
和光	wako
高井	takai
克彦	katsuhiko
驚き	surprise
ジェフリー	jeffrey
ジェフリー	jeffery
廃墟	merosakkan
廃墟	runtuhan
深度	kedalaman
配当	dividen
配当	agihan
配当	pengagihan
配当	pengedaran
配当	dividen
故意	disengajakan
故意	disengaja
故意	sengaja
故意	sengaja
ニコ	nico
ニコ	niko
クロム	chrome
クロム	kromium
生き方	lifestyle
預言	ramalan
掲示	pengeposan
掲示	menyiarkan
掲示	buletin
パスポート	pasport
パスポート	pasport
カロリー	kalori
カロリー	kalori
消化	pencernaan
消化	penghadaman
ヘビ	snake
ヘビ	ular
ヘビ	ular
膨張	perluasan
膨張	pengembangan
バッジ	lencana
バッジ	lencana
残酷	kejam
ペナルティ	penalti
フェンス	pagar
浪速	naniwa
船員	sailor
船員	pelaut
船員	kelasi
フォレスト	forrest
フォレスト	hutan
クラッチ	clutch
クラッチ	klac
見習い	magang
黙示録	kiamat
枢機卿	kardinal
メソッド	kaedah
メソッド	kaedah
スランプ	slump
スギ	cedar
賭博	judi
コップ	piala
コップ	cup
コップ	cawan
和歌集	wakashū
視界	kebolehlihatan
ニッケル	nikel
反響	bergema
反響	bergema
反響	gema
反響	echo
川本	kawamoto
プラットホーム	platform
プラットホーム	pelantar
カルチョ	calcio
スーザン	susan
ハイチ	haiti
ハイチ	haiti
洗浄	cuci
洗浄	basuh
洗浄	mencuci
洗浄	washing
洗浄	pembersih
洗浄	pembersihan
洗浄	pencuci
洗浄	membersih
不祥事	scandal
不祥事	skandal
不祥事	skandal
チエ	chie
委任	delegasi
委任	mandat
祭壇	altar
スライダー	gelangsar
シエラ	sierra
新一	shinichi
帰化	naturalisasi
手当	elaun
ボローニャ	bologna
ヤギ	kambing
ワークショップ	bengkel
ワークショップ	workshop
ワークショップ	bengkel
ワーグナー	wagner
金庫	aman
消耗	atrisi
充当	appropriation
被告人	dituduh
被告人	tertuduh
被告人	tergugat
バトン	baton
睡眠	tidur
モノクロ	monokrom
洗濯	cuci
洗濯	basuh
洗濯	mencuci
洗濯	washing
洗濯	dobi
洗濯	cucian
天童	tendo
ツル	bangau
ツル	crane
ツル	kren
リヒャルト	richard
裏側	belakang
裏側	punggung
レズビアン	lesbian
レズビアン	lesbian
芸者	geisha
チャップリン	chaplin
吸気	tersedut
祝福	blessing
祝福	restu
祝福	berkat
祝福	keberkatan
祝福	berkat
祝福	dirahmati
林檎	epal
林檎	apple
星空	berbintang
ケット	ket
ロナルド	ronald
ランニング	running
ランニング	larian
高尾	takao
古谷	furuya
届出	notification
届出	makluman
届出	pemberitahuan
届出	pemakluman
レスキュー	menyelamat
土居	doi
委嘱	delegasi
委嘱	komisen
委嘱	suruhanjaya
委嘱	commission
アンドレア	andrea
パンダ	panda
ハク	haq
冗談	lawak
冗談	bergurau
冗談	gurau
お気に入り	favourite
お気に入り	kegemaran
お気に入り	fave
お気に入り	kegemaran
お気に入り	kegemaran
お気に入り	kesayangan
お気に入り	kesukaan
お気に入り	kegemaran
ロッカー	rocker
ロッカー	loker
トゥルー	benar
トゥルー	true
シェーン	shane
ダイナミック	dinamik
ラバウル	rabaul
飛行船	airship
陶芸	tembikar
安西	anzai
エリオット	elliott
エリオット	elliot
まみ	mami
フットサル	futsal
消去	memadam
消去	memadam
ストライカー	striker
神輿	mikoshi
真木	maki
バイザー	visor
ハンプシャー	hampshire
テント	khemah
リソース	sumber
リソース	resources
リソース	sumber
粛清	singkir
粛清	penyingkiran
粛清	pembersihan
粛清	disingkir
セリ	seri
崇拝	beribadah
崇拝	sembah
崇拝	beribadat
崇拝	beribadah
ワトソン	watson
値段	harga
値段	price
藤森	fujimori
快適	selesa
快適	selesa
ロベール	robert
バスケ	basket
バスケ	basketball
ケロロ	keroro
獣医	vet
房総	boso
ヴァージン	virgin
ヴァージン	perawan
石黒	ishiguro
松野	matsuno
和音	perentas
帝政	empire
帝政	kerajaan
帝政	empayar
動揺	marah
動揺	gusar
タブレット	tablet
神学校	seminary
麻酔	anesthesia
阿弥陀如来	amitabha
人魚	duyung
人魚	mermaid
ジュエル	jewel
ジュエル	permata
サンチェス	sanchez
サンチェス	sánchez
文字通り	literally
目的地	destinasi
マルチメディア	multimedia
オーラ	aura
ディープ	deep
中里	nakazato
マリアナ	mariana
アマゾン	amazon
義雄	yoshio
年数	tahun
サイコロ	dadu
気仙沼	kesennuma
コロナ	corona
切符	tiket
切符	ticket
切符	tiket
ちひろ	chihiro
氷川	hikawa
教義	dogma
教義	ikrar
教義	ugama
教義	doktrin
オメガ	omega
富豪	jutawan
両面	dupleks
地雷	lombong
地雷	mines
ホッケー	hoki
マダガスカル	madagascar
事績	pencapaian
事績	pencapaian
事績	achievement
キタ	kita
上告	banding
上告	rayuan
カートリッジ	kartrij
カートリッジ	kartrij
カートリッジ	katrij
トレイル	setapak
臓器	organ
臓器	organ
コロンボ	colombo
水銀	mercury
ニース	nice
ホモ	homo
ユニーク	unik
ユニーク	unique
ステアリング	kemudi
ステアリング	steering
ステアリング	stereng
敏郎	toshiro
アドリア	adria
浄化	pemurnian
縁起	engi
シダ	pakis
曽根	sone
大洲	ozu
炎症	radang
炎症	keradangan
ダンカン	duncan
カッパ	kapa
長江	yangtze
摩擦	geseran
ドーン	subuh
ドーン	fajar
山岸	yamagishi
芝生	rumput
芝生	lawn
エヴァンゲリオン	evangelion
小柳	koyanagi
悪役	penjahat
実効	keberkesanan
実効	berkesan
実効	efektif
セナ	sena
セナ	senna
アルマ	alma
矢田	yada
ルナ	luna
オリオン	orion
謙信	kenshin
ルーシー	lucy
ウィリー	willy
ステータス	status
アロン	harun
アロン	aaron
アロン	aron
四川省	sichuan
柔軟	fleksibiliti
イングリッシュ	inggeris
浮気	kekufuran
浮気	affair
みのり	minori
マッサージ	massage
マッサージ	urut
工具	radas
工具	tool
工具	alat
上海市	shanghai
オナニー	masturbation
クイック	cepat
リニア	linear
ワタ	petai
ラーマ	lama
ラーマ	rama
浄土真宗	jodo
吉備	kibi
卓也	takuya
サカ	saka
接着	lekatan
サンプリング	sample
サンプリング	sampel
サンプリング	contoh
サンプリング	persampelan
サンプリング	pensampelan
茂樹	shigeki
必死	terdesak
必死	desperate
御前	gozen
失効	expired
ねずみ	mouse
ねずみ	tetikus
経典	sutras
経典	sutra
オセアニア	oceania
書体	typefaces
書体	typeface
大気圏	atmosfera
大気圏	suasana
不審	curiga
不審	mencurigakan
きらら	kirara
チェン	cheng
隠す	sorok
隠す	sembunyi
グラフィックス	grafik
マニ	mani
カモ	itik
カモ	itik
カモ	duck
ビーズ	manik
ビーズ	beads
精製	memperhalus
精製	menapis
責め	blame
責め	menyalahkan
責め	disalahkan
責め	salahkan
カンパ	campa
スナック	kudapan
スナック	snek
グリップ	grip
グリップ	genggaman
ペダル	kayuh
アレクサンドロス	alexander
ビザ	visa
紀子	noriko
矢吹	yabuki
トレス	tres
スタック	timbunan
スタック	tindan
ヴァルター	walther
ヴァルター	walter
悪性	hipertermia
満期	matang
満期	baligh
満期	kematangan
強要	paksaan
隙間	sela
ギャンブル	judi
ギャンブル	judi
ギャンブル	berjudi
握手	bersalam
オリバー	oliver
長谷	hase
ハリソン	harrison
フリート	armada
風力	gale
強姦	rogol
山科	yamashina
センチュリー	abad
センチュリー	century
リカルド	ricardo
スルタン	sultan
我孫子	abiko
バッグ	bag
バッグ	beg
バッグ	beg
画質	kualiti
画質	quality
画質	berkualiti
飽和	kepekatan
飽和	ketepuan
飽和	tepu
飽和	jenuh
シャア	sha
カヤ	kaya
福音書	injil
侮辱	penghinaan
さとみ	satomi
ロブ	rompak
ロブ	rob
ロブ	robb
平衡	keseimbangan
ダーウィン	darwin
乗馬	riding
乗馬	berkuda
乗馬	menunggang
粘土	clay
幸一	koichi
占有	pemilikan
モナ	mona
文彦	fumihiko
追及	mengejar
信雄	nobuo
肝臓	hati
アンゴラ	angola
アンゴラ	angolan
味噌	miso
ノック	katok
ノック	tok
ノック	nok
ジェシカ	jess
ジェシカ	jessica
克己	katsumi
尊氏	takauji
停戦	ceasefire
真ん中	middle
真ん中	tengah
ペイント	cat
ピーチ	peach
滑らか	licin
ハイランド	highland
クッパ	bowser
完備	complete
完備	lengkap
白血病	leukemia
アングル	sudut
アングル	angles
冷たい	sejukkan
冷たい	sejuk
ホノルル	honolulu
ハンプトン	hampton
ラウンジ	lounge
高杉	takasugi
ディーラー	peniaga
ディーラー	pengedar
デーモン	daemon
除隊	discharge
戊辰戦争	boshin
ナイス	nice
ケヴィン	kevin
信条	ikrar
信条	ugama
入札	bid
入札	bidaan
入札	membida
入札	pembidaan
入札	bidaan
台帳	ledger
シルエット	silhouette
良平	ryohei
エディンバラ	edinburgh
中性子	neutron
処方	prescribe
パノラマ	panorama
パノラマ	panorama
クルト	kurt
反復	lelaran
ネイティブ	tabii
祐子	yuko
修道士	friars
ヴィレッジ	kampung
大道	daido
ロジャース	rodgers
ロジャース	rogers
バレンタイン	valentine
パチ	pati
ボルドー	bordeaux
ヴァンパイア	puntianak
ヴァンパイア	vampire
受け取り	diterima
風刺	sindiran
顕微鏡	mikroskop
検察官	penuntut
検察官	pendakwa
ボトル	botol
ボトル	bottle
ボトル	botol
ダイハツ	daihatsu
神風	kamikaze
グリッド	grid
リチウム	litium
わがまま	selfish
ラバー	getah
便所	wc
便所	tandas
便所	toilet
インタラクティブ	interaktif
セール	sale
アグネス	agnes
フェス	kopiah
フェルナンデス	fernández
フェルナンデス	fernandez
フェルナンデス	fernandes
用紙	kertas
パラオ	palau
ミナ	mina
快楽	keseronokan
快楽	kesenangan
ヒール	heal
ヒール	sembuh
ヒール	menyembuhkan
ヒール	tumit
しみ	noda
均衡	keseimbangan
きれい	bersih
気球	belon
百合子	yuriko
イケメン	handsome
ディラン	dylan
杉村	sugimura
リンパ	lymphatic
リンパ	limfa
メンフィス	memphis
越智	ochi
須賀	suga
フィルタ	penapis
フィルタ	tapisan
フィルタ	penapis
フィルタ	tapisan
小栗	oguri
ヴォルフガング	wolfgang
蒸発	penyejatan
ココ	coco
ココ	koko
スクリュー	skru
祈祷	sembahyang
祈祷	doa
竹本	takemoto
募金	derma
募金	derma
募金	derma
募金	pendermaan
智之	tomoyuki
オリエント	orient
オーランド	åland
オーランド	orlando
作物	tanaman
パウンド	pon
パウンド	paun
シャーロック	sherlock
スタッド	stade
スタッド	stud
ギガ	giga
リッター	ritter
夏子	natsuko
逸脱	menyimpang
福本	fukumoto
トカゲ	cicak
トカゲ	biawak
トカゲ	cicak
参道	pendekatan
参道	approach
飢饉	kebuluran
ピストル	pistol
紳助	shinsuke
和久	kazuhisa
ブランチ	cawangan
別館	annex
聖歌	bertasbih
漁師	pemancing
漁師	nelayan
ガーナ	ghana
