preguntarnos	問
guitarra	吉他
sela	馬鞍
sela	鞍
americanas	美式
sheila	sheila
foguete	火箭
serpentes	蛇
enganado	錯誤
enganado	錯
dong	東
dong	董
dong	洞
gatiño	kitty
dien	dien
empezas	你
agulla	針
lyon	里昂
lyon	里昂
esgotado	磨損
esgotado	出局
acento	口音
dezaoito	十八
bólas	丸子
orgasmo	高潮
lewis	lewis
fición	虛構
fición	小說
samp	samp
narigudo	big
narigudo	大
narigudo	鼻
narigudo	鼻子
crego	祭司
electos	當選
yang	楊
yang	yang
peaches	桃子
maiordomo	管家
gregor	gregor
rexente	攝政
obedecer	服從
centros	中心
actualidade	今日
actualidade	今天
veterinario	獸醫
veterinario	獸醫
excepción	例外
abandonada	廢棄
abandonada	遺棄
síndrome	症候群
relevante	相關
sinalar	角
sinalar	點
sinalar	出局
curación	治癒
continuo	持續
continuo	連續
sentirme	感受
sentirme	感覺
melodía	旋律
orgánico	有機
orgánico	有機物
vides	你
inventou	發明
rápidos	快速
barata	廉價
barata	便宜
garantir	保障
garantir	擔保
garantir	保證
tribunais	法庭
tribunais	法院
manual	手冊
manual	手動
violenta	暴力
agradezo	欣賞
fórmula	公式
fórmula	方程式
fórmula	配方
máxima	最大值
máxima	最大限度
complexa	複雜
rol	作用
rol	角色
calquer	任何
incluír	包括
versións	版本
versións	玩
versións	播放
investigacións	研究
bancarrota	破產
invento	發明
usalo	利用
usalo	使用
aparello	裝置
noción	概念
invisible	隱身
invisible	無形
invisible	隱形
abstracto	摘要
abstracto	抽象
íntimo	親密
intervención	干預
intervención	干涉
sintas	你
sintas	感受
sintas	感覺
incremento	增加
incremento	提高
saneamento	衛生
climática	氣候
climática	改變
climática	更改
climática	變更
climática	變
discusións	討論
fixeramos	完成
pásao	交付
pásao	這
pásao	這個
brócoli	花椰菜
démoslles	鼠
coidando	護理
coidando	關心
coidando	尋找
coidando	後
coidando	之後
cálculos	計算
preguntamos	問
efectiva	有效
desesperación	絕望
quinta	第五
quinta	第五次
fontes	來源
desfacerse	獲取
desfacerse	獲得
desfacerse	得到
afeitos	使用
tuberculose	肺結核
tuberculose	結核
tuberculose	結核病
tratado	條約
equipamento	裝備
utilizando	使用
utilizando	只是
utilizando	只要
camiñaba	步行
camiñaba	散步
camiñaba	行走
camiñaba	走路
vólvense	她們
vólvense	他們
vólvense	它們
vólvense	成為
vólvense	獲取
vólvense	獲得
vólvense	得到
sans	健康
investimento	投資
receita	藥方
receita	處方
chineses	中文
chineses	漢語
chineses	華人
trazo	特質
ancho	廣
ancho	寬
prisioneira	俘虜
prisioneira	囚犯
prisioneira	犯人
prisioneira	囚徒
facebook	facebook
distinción	區分
distinción	區別
acababa	只是
acababa	只要
hall	廳
hall	霍爾
hall	大廳
hall	hall
louza	菜
láser	雷射
láser	鐳射
pechan	關閉
escolar	學校
escolar	上學
usada	使用
bay	灣
bay	海灣
nadando	游泳
nadando	游
fuxindo	奔跑
fuxindo	跑步
fuxindo	運行
repugnante	惡心
tivestes	你
sabémolo	那個
adiviñar	猜猜
adiviñar	猜
napalm	汽油彈
etapa	舞台
etapa	階段
etapa	當
obama	obama
alimento	糧食
alimento	食品
alimento	食物
vivirá	活
vivirá	直播
vivirá	live
impide	來自
impide	從
lectores	讀者
aceptas	你
presentimento	感受
presentimento	感覺
jones	jones
bailando	舞蹈
bailando	舞動
bailando	跳舞
bailando	舞
funcionarios	官員
razoable	合理
abandonado	廢棄
abandonado	遺棄
datas	日期
oculto	隱藏
organismo	有機體
organismo	機體
incómodo	尷尬
atopeino	找到
atopeino	發現
xeografía	地理學
xeografía	地理
xeografía	地域
xeografía	地理位置
praga	布拉格
deportes	體育
deportes	運動
sucios	髒
sucios	臟
amosando	顯示
sorrindo	微笑
violentos	暴力
conduzo	開車
conduzo	駕駛
polares	極
polares	極地
aceptalo	接受
relixiosa	宗教
reparar	修復
reparar	維修
reparar	修理
reparar	修繕
meniños	兒童
eric	eric
arrefriado	冷冷
arrefriado	寒冷
arrefriado	冷
fagámolo	讓
intercambio	兌換
intercambio	交換
intercambio	交易所
intercambio	交流
cambie	改變
cambie	更改
cambie	變更
cambie	變
manifestacións	示威
marfil	象牙
marfil	沿海
marfil	沿岸
marfil	海岸線
marfil	海岸
bando	一面
bando	側
calidades	素質
calidades	品質
documentación	論文
documentación	身分
documentación	身份
xordo	聾人
xordo	耳聾
xordo	聾
extraordinaria	非凡
achegar	觸及
davis	davis
importe	企業
importe	業務
importe	商業
importe	商務
galletas	餅乾
galletas	cookie
atractivo	吸引力
abandono	遺棄
abandono	廢棄
dalgúns	一些
dalgúns	有些
senda	路徑
senda	靈性
senda	精神
interna	內部
rango	山脈
rango	範圍
rango	射程
rango	排名
escribía	書寫
escribía	寫入
escribía	寫
escribía	撰寫
escribía	寫作
guerreiros	勇士
cabalaría	騎兵
combates	作戰
combates	格鬥
combates	打架
combates	戰鬥
famosos	著名
famosos	有名
recorrer	度假勝地
pinga	滴
pinga	下降
queirades	你
queirades	想要
queirades	讚
queirades	就像
queirades	像
queirades	喜歡
arxentina	阿根廷
novelas	小說
máxica	神奇
máxica	魔神
máxica	魔法
máxica	魔術
máxica	神奇
máxica	魔力
artístico	藝術
fósforo	磷
percorrido	路線
percorrido	課程
burocracia	官僚
burocracia	官僚主義
separado	分離
apetito	胃口
apetito	食慾
dirías	你
dirías	說
ledo	開心
ledo	快樂
ledo	高興
ledo	幸福
ledo	happy
sona	名譽
sona	聲譽
sona	名聲
sona	信譽
sona	聲望
pingüín	企鵝
publicar	刊登
publicar	發表
tentaba	嘗試
mito	神話
okinawa	沖繩
okinawa	琉球
dormen	睡
dormen	睡眠
dormen	睡覺
naciches	生於
naciches	誕生
naciches	出生
naciches	天生
naciches	你
verso	詩句
africano	非洲
ribeira	銀行
intente	嘗試
intente	試試
galería	畫廊
abres	開
abres	營業
abres	開啟
abres	開放
deran	她們
deran	他們
deran	它們
españa	西班牙
dúbidas	疑問
dúbidas	懷疑
dúbidas	疑慮
dúbidas	疑慮
aforro	節省
aforro	儲蓄
aforro	儲蓄
aforro	節省
aforro	節約
severo	嚴重
severo	重度
gripe	感冒
gripe	流感
beirarrúa	人行道
veas	血管
veas	靜脈
turner	turner
quixeron	她們
quixeron	他們
quixeron	它們
quixeron	通緝
lembren	記住
eternidade	永恆
cordeiro	羔羊
cordeiro	羊肉
mineiro	採礦業
mineiro	礦業
mineiro	採礦
mineiro	礦工
baseado	基於
capataz	工頭
preñada	懷孕
preñada	孕婦
selección	挑選
selección	選取
selección	選擇
selección	甄選
lenda	傳說
lenda	傳奇
transmisión	流
transmisión	流程
transmisión	流通
transmisión	流動
transmisión	流量
kilómetros	公里
kilómetros	萬里
kilómetros	miles
kilómetros	英里
enxeñeiros	工程師
éstas	這些
polgar	拇指
polgar	大拇指
pesares	雖然
separada	分離
separada	分居
separada	來自
separada	從
lembre	記住
quedarse	留
quedarse	留下
quedarse	留下來
homosexuais	同性戀
homosexuais	gay
fachenda	自尊
fachenda	自豪
fachenda	驕傲
suxestión	建議
ficción	虛構
ficción	小說
penas	勉強
derramamentos	溢位
derramamentos	油
derramamentos	石油
derramamentos	機油
diploma	度
diploma	程度
diploma	學位
vodas	蜜月
vodas	婚禮
visitantes	遊客
visitantes	訪客
sálvate	跑
sálvate	跑步
sálvate	運行
barón	男爵
vindeiros	下一步
prometer	承諾
prometer	許諾
prometer	你
acampamento	露營
acampamento	難民營
acampamento	營
acampamento	營地
campesiño	農民
fariña	麵粉
moscova	莫斯科
matareite	殺
matareite	你
devólveme	背
devólveme	回
divertirse	好玩
divertirse	樂趣
trama	密謀
trama	陰謀
trama	劇情
deixaremos	元
deixaremos	讓
empregado	僱員
empregado	員工
empregado	職工
esqueciches	你
esqueciches	遺忘
esqueciches	忘記
morriña	思鄉
sentade	往下
sentade	向下
clemencia	慈悲
clemencia	憐憫
clemencia	仁慈
reformatorio	改革
reformatorio	學校
reformatorio	上學
beba	喝
beba	喝酒
precise	需求
precise	需要
prométoo	承諾
prométoo	許諾
gustas	你
gustas	讚
gustas	就像
gustas	像
gustas	喜歡
pasaches	你
carcereiro	嘿
traian	帶
afeito	使用
deixarte	你
deixarte	休假
deixarte	離開
deixarte	讓
deixase	讓
banquete	宴會
banquete	宴會
banquete	盛宴
mosca	飛
mosca	蒼蠅
mosca	飛翔
mosca	penny
mosca	便士
cacahuetes	花生
divertir	好玩
divertir	樂趣
falará	聊
falará	將
falará	威爾
linchamento	私刑
pota	鍋
pota	壺
philippe	philippe
granxeiro	農民
granxeiro	農夫
vago	懶惰
vago	懶
pensabas	你
pensabas	思想
combatentes	戰鬥機
combatentes	鬥士
berra	哭
berra	哭泣
berra	唐
berra	don
fríos	冷冷
fríos	寒冷
fríos	冷
sucia	髒
sucia	臟
conseguiron	她們
conseguiron	他們
conseguiron	它們
gañe	贏了
gañe	勝利
gañe	贏
gañe	win
rancho	牧場
rancho	往下
rancho	向下
miolos	腦子
miolos	頭腦
miolos	腦
miolos	大腦
miolos	腦袋
miolos	出局
ruínas	廢墟
ruínas	遺址
ruínas	遺跡
vendeu	賣
vendeu	售出
vendeu	賣
vendeu	出售
lóstrego	閃電
lóstrego	電光
puros	純潔
puros	純純
puros	純
puros	純粹
soubeses	你
tardarei	元
tardarei	久
tardarei	長
tardarei	背
tardarei	回
ocúpome	護理
ocúpome	關心
asine	簽名
asine	簽字
asine	簽
luís	louis
luís	路易
luís	路易斯
mickey	mickey
quítame	獲取
quítame	獲得
quítame	得到
quítame	關
quítame	關閉
quérete	你
sangrando	流血
sangrando	出血
deberon	她們
deberon	他們
deberon	它們
deberon	必須
quédache	西裝
axudo	幫助
axudo	幫忙
durmiches	你
durmiches	睡
durmiches	睡眠
durmiches	睡覺
conducía	駕駛
jordan	約旦
tardar	久
tardar	長
saquei	出局
ann	ann
colchón	床墊
colchón	往下
colchón	向下
custe	費用
custe	成本
queixar	抱怨
saltar	出局
saltar	跳
saltar	跳躍
pasadas	過往
pasadas	過去
confesou	坦白
dicías	你
monxas	尼姑
monxas	姐妹
monxas	姊妹
michele	michele
autos	車
autos	汽車
levades	你
ombreiros	肩
ombreiros	肩膀
ouviches	你
alianza	婚禮
alianza	響鈴
alianza	環
alianza	戒指
alianza	聯盟
alianza	同盟
alianza	結盟
gaño	贏了
gaño	勝利
gaño	贏
gaño	win
súper	super
súper	超
súper	超級
aliados	盟友
aliados	盟軍
aliados	盟國
aliados	同盟
ordenou	訂購
vendendo	銷售
vendendo	賣
permítame	允許
permítame	容許
permítame	讓
tu	你
inxusto	公平
inxusto	不公
falado	口語
2ª	第二
2ª	秒
dio	說
fraternidade	友愛
fraternidade	互助會
fraternidade	博愛
fraternidade	義氣
coitelos	刀具
coitelos	刀
coitelos	刀子
coitelos	小刀
páramo	荒原
protestante	新教
metralla	彈片
pólvora	粉
pólvora	粉末
pólvora	火藥
cavar	挖
signos	跡象
signos	標誌
disme	你
bombardeos	轟炸
cazador	獵人
folk	民謠
folk	民間
folk	民俗
time	時光
time	時間
time	雜誌
masturbación	手淫
masturbación	自慰
paralelo	並行
paralelo	平行
esconder	隱藏
cómprenos	必須
ali	阿里
ali	ali
cú	屁股
ferrocarril	鐵路
ferrocarril	鐵道
ferrocarril	鐵路
ferrocarril	鐵道
prace	請
homiño	人
homiño	男人
homiño	man
homiño	小
ventas	銷售
ventas	銷售量
ventas	銷售額
vogel	vogel
santi	你
gaiolas	籠子
oficialmente	官方
oficialmente	正式
levouna	她的
irreversible	不可逆
enigma	謎
enigma	謎語
heroína	海洛因
charly	charlie
charly	查理
laurent	laurent
white	white
white	白
white	白色
bordel	妓院
amin	amin
dex	dex
cat	貓咪
cat	貓
cat	cat
casterly	岩
casterly	岩石
casterly	石頭
casterly	rock
casterly	搖滾
zoo	動物園
diagnóstico	診斷
monos	猴
monos	猴子
parto	出生
residentes	居民
creativo	創作
creativo	創意
creativo	創造性
christian	基督教
christian	基督徒
ouvido	耳
ouvido	耳朵
sincera	誠實
temor	恐懼
exclusiva	排他性
exclusiva	排他
exclusiva	獨家
exclusiva	專屬
ambigüidade	含糊
pico	spike
series	系列
específica	具體
complexas	複雜
complexas	複雜
terrorista	恐怖主義
revelar	揭露
revelar	揭示
tecer	織
tecer	編織
privadas	隱私
privadas	私人
privadas	私營
dixéronnos	那個
probabilidades	幾率
fibra	纖維
bbc	bbc
simpatía	同情
candidatos	候選人
negociación	談判
prexuízos	偏見
sentan	她們
sentan	他們
sentan	它們
sentan	往下
sentan	向下
póñome	自己
mosquitos	蚊子
mosquitos	蚊蟲
prevención	預防
caixón	抽屜
empregamos	使用
árabes	阿拉伯文
árabes	阿拉伯語
árabes	阿拉伯人
probabilidade	概率
probabilidade	可能性
probabilidade	機會
cepillo	牙刷
cepillo	刷刷
cepillo	刷
termina	末端
sinxelas	簡單
contraste	對比
contraste	對照
coidados	護理
coidados	關心
vacinas	疫苗
utilizamos	使用
utilizamos	使用
apropiada	適當
faltan	缺少
faltan	失蹤
faltan	遺失
equivalente	等效
equivalente	相當於
pediron	她們
pediron	他們
pediron	它們
baixando	往下
baixando	向下
neto	孫子
neto	外孫
neto	孫子
guapos	帥哥
guapos	英俊
guapos	帥
pensemos	讓
cavernas	山洞
cavernas	洞穴
cavernas	洞
cavernas	洞穴
cavernas	山洞
aprobación	核准
aprobación	核可
aprobación	批准
autobuses	公車
autobuses	巴士
transformación	轉換
transformación	變換
transformación	轉化
transformación	轉型
transformación	轉變
transformación	變形
salas	客房
salas	房間
secuencia	序列
secuencia	數列
secuencia	順序
lembran	記住
lumes	火災
consideremos	讓
consideremos	考慮
polar	極
polar	極地
tocan	玩
tocan	彈
tocan	播放
esquizofrenia	精神分裂症
auditorio	觀眾
auditorio	禮堂
comprendín	理解
invisíbel	隱身
invisíbel	無形
invisíbel	隱形
escape	用盡
escape	排氣
graciñas	你
audio	音訊
menciña	藥品
menciña	藥物
menciña	醫學
menciña	藥
menciña	醫藥
menciña	藥品
menciña	藥物
menciña	醫藥
axudaría	幫助
axudaría	幫忙
usuario	使用者
furacán	颶風
algas	海帶
algas	海藻
algas	海藻
algas	藻類
sucesión	繼承
sucesión	繼任
pagaba	付費
mariño	大海
mariño	海上
mariño	海
crítico	危急
crítico	批判
crítico	臨界
tóxicos	有毒
tóxicos	毒性
tóxicos	毒素
nube	雲
nube	雲端
mariñeiros	水兵
regularmente	定期
regularmente	經常
noruega	挪威
pagaches	付費
pagaches	付款
pagaches	支付
pagaches	你
mesturar	搭配
mesturar	組合
mesturar	混合
fluxo	流
fluxo	流程
fluxo	流通
fluxo	流動
fluxo	流量
timbre	門鈴
extraordinarios	非凡
negativa	負面
negativa	負
negativa	否定
negativa	陰性
negativa	消極
sexto	第六
comunicarnos	溝通
fronteiras	邊疆
fronteiras	邊界
fronteiras	界線
fronteiras	界限
asociacións	社團
traducir	翻譯
traducir	翻譯
promesas	諾言
promesas	承諾
promesas	允諾
promesas	許諾
miserábel	悲慘
envellecer	年紀
envellecer	年齡
envellecer	衰老
envellecer	老化
moscas	蒼蠅
sucesos	事件
sucesos	活動
intentamos	嘗試
eiquí	這裡
foras	你
usaban	使用
usaban	她們
usaban	他們
usaban	它們
usaban	使用
bombeiros	消防
bombeiros	火
bombeiros	火焰
bombeiros	火災
compañeira	室友
usarse	使用
dependencia	依賴
dependencia	依賴性
pata	腿
pata	leg
salsa	醬
modernas	摩登
modernas	現代
modernas	近代
modernas	現代化
pasaban	她們
pasaban	他們
pasaban	它們
sensatez	智慧
residuos	廢棄物
residuos	廢物
residuos	浪費
socios	夥伴
débese	因為
ensinarlles	教
ensinarlles	展示
ensinarlles	顯示
ensinarlles	show
respostar	回答
respostar	答
respostar	答案
odiar	憎恨
odiar	恨
odiar	討厭
odiar	仇恨
buda	菩薩
buda	佛
buda	佛祖
adaptarse	適應
recta	直直
recta	直
axúdanos	幫助
axúdanos	幫忙
suburbios	郊區
tiñades	你
factura	bill
factura	法案
fuxida	越獄
fuxida	逃離
medrando	生長
medrando	成長
aprenda	教
reflexión	反射
reflexión	反省
reflexión	思考
práctico	實用
deseguida	不久
deseguida	很快
deseguida	一次
deseguida	一旦
pilas	電池
mercamos	購買
mercamos	買
construído	建
construído	內建
lesión	損傷
humidade	濕
erades	你
asombroso	驚人
asombroso	神奇
construín	建
construín	內建
solomon	所羅門
froitas	果實
froitas	水果
froitas	果
comezas	你
consigue	獲取
consigue	獲得
consigue	得到
chispa	火花
chispa	火種
complicada	複雜
suxeitos	科目
usei	使用
usei	利用
usei	使用
voluntaria	自願
voluntaria	自願性
estimado	dear
oportuno	及時
forzado	被迫
forzado	強迫
escaseza	短缺
expresan	快車
expresan	明示
expresan	express
expresan	特快
placa	牌匾
placa	徽章
placa	警徽
cuncas	杯子
mama	胸
mama	胸部
mama	乳房
unirse	加入
culpar	責怪
lincoln	林肯
ignorar	忽略
ignorar	忽視
ignorar	無視
ironía	諷刺
artes	藝術
artes	美術
artes	art
artes	藝術品
artes	藝術
sentas	往下
sentas	向下
revisión	檢查
revisión	支票
acotío	時常
acotío	常常
acotío	經常
occidentais	西方
occidentais	西部
recén	只是
recén	只要
opinan	你
comidas	餐
comidas	膳食
conflitos	衝突
conflitos	衝突
chaira	平原
dividir	分裂
dividir	分水嶺
dividir	鴻溝
dividir	分化
leóns	獅子
correu	背
correu	回
carros	車
carros	汽車
escritos	書寫
escritos	撰寫
escritos	著作
distancias	距離
distancias	距離
laura	laura
atopemos	找到
atopemos	尋找
limón	檸檬
bebes	喝
bebes	喝酒
estannos	她們
estannos	他們
estannos	它們
hawai	夏威夷
brutal	野蠻
brutal	殘酷
brutal	殘暴
regato	流
regato	溪流
cálculo	演算
cálculo	微積分
encerado	黑板
encerado	董事會
canles	頻道
canles	渠道
traballe	工作
vaga	揮手
vaga	浪潮
vaga	波
vaga	浪
vaga	波浪
deprimido	抑鬱
deprimido	鬱悶
nerviosos	緊張
nerviosos	關於
durmiu	睡
durmiu	睡眠
durmiu	睡覺
querendo	仍然
querendo	依然
bolas	丸子
horta	園
horta	園林
horta	花園
horta	園藝
revelación	啓示
arterias	動脈
illada	隔離
illada	孤立
illada	與世隔絕
marcial	武術
zapatillas	拖鞋
dia	日
dia	一天
dia	白天
dia	day
crocodilo	鰐
crocodilo	鱷魚
crocodilo	鱷
póla	分行
póla	分支
acompañar	伴隨
art	美術
art	art
art	藝術品
art	藝術
cameron	cameron
culpables	有罪
revisa	檢查
revisa	支票
fracasar	失敗
caderno	筆記本
caderno	筆記簿
humildes	謙卑
humildes	謙虛
humildes	謙遜
humildes	卑微
humildes	溫順
tarxetas	信用
tarxetas	信貸
tarxetas	卡
tarxetas	紙牌
tarxetas	卡片
tarxetas	牌
chegues	你
chegues	獲取
chegues	獲得
chegues	得到
capturados	被俘
picos	峰
picos	孿生
picos	雙胞胎
picos	雙胞
seredes	你
máxico	魔神
máxico	魔法
máxico	魔術
máxico	神奇
máxico	魔力
máxico	神奇
obrigas	職責
galaxias	星系
sento	感受
sento	感覺
granada	手雷
granada	榴彈
invitado	邀請
invitado	受邀
invitado	賓客
invitado	來賓
invitado	客人
máscaras	口罩
máscaras	面具
máscaras	面罩
beneficencia	慈善
adaptación	適應
adaptación	適應性
obxección	反對
obxección	異議
khan	可汗
khan	大汗
khan	khan
khan	汗
cicatrices	傷痕
cicatrices	疤痕
cicatrices	傷疤
cativas	girls
cativas	女孩
cativas	女生
cativas	女童
nacen	生於
nacen	誕生
nacen	出生
nacen	天生
cantan	唱
cantan	唱歌
cantan	歌唱
cantan	她們
cantan	他們
cantan	它們
acta	報告
acta	檢舉
ésta	這
ésta	這個
utopía	烏托邦
utopía	空想
asemade	相同
asemade	時光
asemade	時間
tensión	張力
sácao	出局
postais	明信片
cumpre	生日
agochado	隱藏
atopámonos	遇見
fino	薄
fino	瘦
quedarme	留
quedarme	留下
quedarme	留下來
liberados	獲釋
inspector	督察
inspector	sir
inspector	先生
xubilado	退休
xubilado	退役
tormenta	暴風
tormenta	風暴
tormenta	暴風雨
reverencia	崇敬
presentarlle	首頁
presentarlle	家
presentarlle	home
presentarlle	住家
respectos	付費
respectos	付款
respectos	支付
encargar	護理
encargar	關心
pesadelos	夢魘
traerei	獲取
traerei	獲得
traerei	得到
traerei	帶
london	倫敦
barca	船
barca	船隻
barca	艇
santos	聖人
santos	聖徒
veciña	鄰居
veciña	下一步
industrias	工業
industrias	產業
industrias	行業
recuncho	角落
recuncho	轉角
recuncho	角
saíra	她
formal	正規
formal	正式
marchando	行軍
marchando	行進
déixamo	休假
déixamo	離開
déixamo	這
déixamo	這個
pódoche	你
poñerte	你
desfile	遊行
prégolle	請
mudo	啞
mudo	啞巴
mudo	靜音
mudo	啞
mudo	沈默
mudo	無聲
frauta	笛
frauta	笛子
frauta	錄音機
toleou	瘋狂
toleou	瘋
toleou	瘋了
coñézoo	已知
mude	改變
mude	更改
mude	變更
mude	變
burgués	中產階級
burgués	資產階級
interromper	中斷
móvanse	動
móvanse	移動
red	紅
red	red
red	紅色
toalla	浴巾
toalla	毛巾
razoábel	合理
alugar	房租
alugar	租
alugar	租金
alugar	獲取
alugar	獲得
alugar	得到
paces	平安
paces	和平
repartir	共用
repartir	共享
repartir	分享
repartir	share
ecos	回聲
ecos	回響
loitade	打架
loitade	打
loitade	戰鬥
mansión	屋
mansión	房屋
mansión	房子
cansazo	疲憊
cansazo	疲勞
compensación	補償
compensación	賠償
cravos	釘子
cravos	指甲
matárono	被殺
lisquemos	讓
lisquemos	出局
bandullo	肚子
bandullo	肚皮
erga	獲取
erga	獲得
erga	得到
xura	你
matara	被殺
chairas	平原
año	羔羊
año	羊肉
ensalada	沙拉
choran	哭了
choran	哭
choran	哭泣
choran	哭
choran	哭泣
pacto	協約
pacto	約定
sindical	聯盟
sindical	工會
xogaba	玩
xogaba	播放
ficará	留
ficará	留下
ficará	留下來
ficará	將
ficará	威爾
rolda	會議
vinos	鋸
vinos	鋸子
fareiche	你
donald	donald
dave	dave
corno	牛角
corno	喇叭
corno	號角
trabucado	錯誤
trabucado	錯
mataría	殺
crueldade	殘酷
atentado	攻擊
atentado	襲擊
atentado	進攻
consigna	儲存
consigna	貯存
consigna	公眾
consigna	公開
consigna	訂單
consigna	命令
consigna	秩序
consigna	訂購
consigna	順序
comando	命令
comando	指揮
allo	大蒜
allo	蒜
dose	劑量
dose	用量
dose	劑量
escopeta	獵槍
entraches	你
gracia	搞笑
gracia	好笑
xerente	管理者
xerente	經理人
xerente	經理
escudo	盾牌
torneo	錦標賽
capela	禮拜堂
carteirista	扒手
levabas	你
lápida	stone
lápida	石
lápida	斯通
lápida	石頭
lápida	墓碑
mandíbula	顎
mandíbula	頜
póñense	獲取
póñense	獲得
póñense	得到
póñense	她們
póñense	他們
póñense	它們
clem	clem
chamareite	致電
chamareite	電話
chamareite	打電話
chamareite	通話
chamareite	呼叫
chamareite	你
