口服	வாய்வழி
孫女	பேத்தி
男朋友	காதலன்
護送	எஸ்கார்ட்
橘色	ஆரஞ்சு
戈壁	gobi
下雨	மழை
撒哈拉	சஹாரா
畸形	உருக்குலைந்த
墳墓	கல்லறை
墳墓	விட்டனர்
墳墓	கல்லறை
接吻	முத்தமிடும்
格陵蘭	கிரீன்லாந்து
江河	நதி
江河	நதிநீர்
江河	ஆறு
發酵	நொதித்தல்
石灰	எலுமிச்சை
石灰	சுண்ணாம்பு
有效率	சிக்கனம்
製圖	மேப்பிங்
手錶	பார்க்கவும்
手錶	காணுங்கள்
手錶	காணவும்
手錶	கைக்கடிகாரம்
手錶	கவனி
手錶	கடிகாரங்கள்
本能	உள்ளுணர்வு
冷凍	உறைந்த
冷凍	உறைகிறது
冷凍	உறைந்து
分居	பிரிந்து
分居	பிரிக்கப்பட்ட
分居	பிரிவினையை
分居	பிரித்தல்
堅固	பரு
堅固	திடமான
堅固	திடம்
堅固	சாலிட்
賺取	சம்பாதித்த
罪惡	பாவம்
罪惡	பாவத்தை
罪惡	பாவங்களை
罪惡	பாவங்கள்
催眠	தூங்க
自動化	ஆட்டோமேஷன்
品味	ரசனை
品味	சுவை
品味	சுவைத்து
洗手間	கழிவறை
洗手間	கழிப்பறை
洗手間	குளியலறை
爬升	ஏறு
漂浮	மிதவை
漂浮	நடமாடும்
漂浮	மிதக்கும்
漂浮	நடமாடும்
身後	பின்னால்
笑容	புன்னகை
年長	பழைய
遊說	பரப்புரை
遊說	வரவேற்பறை
內在	உள்ளே
內在	உள்
槭	ஏசர்
侏儒	குள்ள
通話	அழை
通話	அழைக்கவும்
通話	அழைப்பு
人行道	நடைபாதையில்
老公	கணவர்
老公	கணவனை
老公	கணவனின்
搶劫	கொள்ளை
遊記	டிராவல்ஸ்
飢餓	பட்டினி
飢餓	பசி
飢餓	பசியோடு
飢餓	பசி
人魚	தேவதை
水文	நீரியல்
批次	batch
錯過	தவறவிட்ட
錯過	தவறியது
極地	துருவ
極地	துருவங்கள்
舒服	வசதியாக
舒服	வசதி
殺戮	கொன்று
殺戮	கொல்லும்
體現	உருவகமாக
靜止	அசையாத
停戰	எதிரணியை
負載	ஏற்று
負載	உள்வாங்கு
負載	சுமை
門戶	போர்டல்
門戶	நுழைவாயில்
集群	குழுமங்கள்
兌換	பரிமாற்றம்
無論如何	எப்படியோ
裝載	ஏற்று
裝載	உள்வாங்கு
裝載	சுமை
裝載	ஏற்றப்படுகிறது
阿爾卑斯山	ஆல்ப்ஸ்
假的	பொய்யான
假的	போலி
假的	போலியான
婁	லூ
西班牙文	ஸ்பானிஷ்
清醒	நிதானமாக
清醒	நிதானமான
浸信會	பாப்டிஸ்ட்
煙草	புகையிலை
獎盃	கோப்பை
獎盃	கோப்பைகளும்
酵母	ஈஸ்ட்
農夫	விவசாயிகள்
農夫	உழவர்
農夫	விவசாயி
泰晤士河	தேம்ஸ்
稠密	அடர்ந்த
傷口	புண்
傷口	காயத்தை
傷口	காயம்
傷口	காயங்கள்
傷口	காயங்களை
門徒	சீடன்
門徒	சீடர்
門徒	சீடர்கள்
冬至	அயனம்
槳	துடுப்பு
轉運	trans
馬克思主義	மார்க்சியம்
馬克思主義	மார்க்சிஸ்ட்
異端	heresy
相識	தெரிந்தவர்கள்
相識	தெரிந்தவர்கள்
濾波器	அலங்காரம்
濾波器	வடிகட்டி
濾波器	வடிகட்டு
對流	வெப்பச்சலனம்
精子	விந்து
青銅	வெண்கல
賓州	பென்சில்வேனியா
誹謗	அவதூறு
誹謗	அவதூறு
大雅	தயா
負傷	காயமடைந்த
烏鴉	காகங்கள்
烏鴉	காகம்
烏鴉	ரேவன்
牆壁	சுவர்
牆壁	சுவர்களில்
牆壁	சுவர்கள்
淨化	சுத்திகரிக்கும்
香味	நறுமணம்
香味	வாசனை
今後	எதிர்காலம்
今後	எதிர்கால
今後	வருங்கால
無盡	எல்லையற்ற
無盡	முடிவில்லாத
無盡	முடிவில்லா
洛基	ராக்கி
白血病	leukemia
器械	உபகரணம்
仙境	wonderland
雞蛋	முட்டைகள்
雞蛋	முட்டை
激勵	inspire
激勵	ஊக்க
激勵	தூண்டல்
激勵	உத்வேகம்
等效	equivalents
處女	கன்னித்
孟買	பாம்பே
孟買	பம்பாய்
孟買	மும்பை
大米	நெல்
大米	சாதம்
大米	அரிசி
大米	சோறு
代詞	pronoun
翻修	சீரமைப்பு
舊的	பழைய
舊的	பழையது
一切都	அனைத்தும்
一切都	எல்லாவற்றிலும்
一切都	எல்லாம்
一切都	எல்லாமும்
一切都	எல்லாமே
中級	இடைநிலை
圍牆	சுவர்
圍牆	வேலி
調解	ஒழுங்கமைவு
資歷	தகுதிகள்
泡泡	குமிழிகள்
泡泡	குமிழி
擔憂	கவலைகள்
擔憂	கவலைகளை
擔憂	கவலை
擔憂	கவலையாக
通緝	தேவை
園林	தோட்டத்தில்
園林	தோட்டம்
眼鏡蛇	நாகம்
眼鏡蛇	கோப்ரா
潮濕	ஈரப்பதத்தை
老鷹	கழுகுகள்
老鷹	ஹாக்ஸ்
老鷹	கழுகு
腳踏車	பைக்
腳踏車	மிதிவண்டி
腳踏車	சைக்கிள்
鞋子	காலணி
鞋子	காலணிகள்
鞋子	ஷூ
視角	முப்பரிமாண
視角	கண்ணோட்டங்கள்
憎恨	வெறுப்பு
憎恨	வெறுக்கிறேன்
林業	காடுகள்
露營	முகாம்
露營	முகாம்
陌生	அந்நியன்
抗拒	மறுக்க
素食	சைவம்
素食	சைவம்
包容	உள்ளடக்கிய
包容	பரப்பிக்
海藻	பாசி
胡蜂	குளவி
考古學	தொல்லியல்
考古學	தொல்லியல்
嵌入式	உட்பொதிந்த
宴會	விருந்து
宴會	கொண்டாட்டம்
宴會	கட்சி
宴會	பார்ட்டி
宴會	கல்யாண
打電話	அழை
打電話	அழைக்கவும்
打電話	அழைப்பு
飄	மிதவை
飄	நடமாடும்
飄	மிதக்கும்
彩票	லாட்டரி
雙眼	கண்களும்
雙眼	கண்களின்
雙眼	கண்கள்
雙眼	கண்களால்
雙眼	கண்களை
車輪	வீல்
車輪	சக்கர
車輪	சக்கரம்
車輪	சக்கரங்கள்
悲痛	துயரம்
悲痛	வருத்தத்தை
頭腦	மனது
頭腦	மனதைக்
頭腦	மனதில்
頭腦	மனம்
頭腦	மனதை
頭腦	மனதிற்கு
頭腦	மூளை
嚴肅	தீவிர
嚴肅	சீரியஸ்
石膏	எறிந்து
石膏	பூச்சு
偏離	விலகல்
笑話	ஜோக்
笑話	ஜோக்ஸ்
吸煙	புகை
吸煙	புகை
控訴	புகார்கள்
仁慈	கருணை
仁慈	ரஹ்மத்
仁慈	மிக்க
愚蠢	முட்டாள்தனமாக
愚蠢	முட்டாள்
科長	தலைவன்
科長	தலைமை
無情	இரக்கமற்ற
緊湊	குறுவட்டு
緊湊	காம்பேக்ட்
村子	கிராம
村子	கிராமத்து
村子	கிராமம்
村子	கிராமத்தில்
村子	கிராமத்திற்கு
束縛	விடுவித்தார்
字串	சரம்
字串	தொடர்ச்சி
海浪	அலைகள்
海浪	அலை
趨向	trend
性愛	செக்ஸ்
性愛	காமம்
性愛	பாலுறவு
性愛	உடலுறவு
拘禁	தடுத்து
拘禁	தடுப்பு
餅乾	பிஸ்கட்
餅乾	குக்கீ
餅乾	குக்கிகள்
餅乾	குக்கீகள்
焊	வெல்டிங்
劑量	மருந்தளவு
劑量	டோஸ்
觸控	தொடுதல்
觸控	டச்
觸控	தொடு
壽司	சுஷி
壽司	சுசி
田地	புலங்கள்
骷髏	எலும்புக்கூடு
骷髏	மண்டை
船尾	aft
寶藏	புதையல்
寶藏	பொக்கிஷம்
鷸	snipe
加西亞	கார்சியா
加西亞	கார்சியா
單軌	மோனோரயில்
麥加	மக்கா
麥加	மெக்கா
不公	அநீதி
不公	அநீதிக்கு
蜻蜓	தும்பி
里拉	லிரா
散步	நடந்து
散步	நடத்தல்
散步	நடக்கிறார்
散步	வாக்கிங்
散步	நடைப்பயிற்சி
散步	நடைபயணம்
散步	நட
散步	நடை
散步	நடக்க
木板	பிளாங்
稅收	வரிவிதிப்பு
稅收	வரி
稅收	வரிகள்
稅收	வருவாய்
肩膀	தோள்பட்டை
肩膀	தோள்
肩膀	தோள்கள்
電容	கொண்மம்
搬家	நகரும்
謠言	வதந்திகள்
謠言	வதந்தி
橄欖	ஆலிவ்
價錢	விலை
價錢	கட்டணம்
毛皮	ஃபர்
感冒	காய்ச்சல்
借款	கடன்கள்
借款	கடன்
借款	கடன்
位數	இலக்கங்கள்
失業率	வேலைவாய்ப்பின்மை
軍火	கைகள்
備用	காப்பு
線條	வரிகள்
線條	கோடுகள்
無形	கண்ணுக்குத்
尊稱	honorific
珍寶	ஜம்போ
珍寶	விலைமதிப்பற்ற
珍寶	பொன்னான
珍寶	புதையல்
珍寶	பொக்கிஷம்
椰子	தேங்காய்
椰子	தென்னை
椰子	தேங்காய்கள்
蜈蚣	பூரான்
復活節	ஈஸ்டர்
床上	படுக்கையில்
床上	படுக்கை
床上	கட்டில்
胸罩	பிரா
賄賂	லஞ்சம்
教員	பயிற்றுவிப்பாளர்
座談會	கருத்தரங்கில்
肝臟	கல்லீரல்
醜	அசிங்கமாக
醜	அசிங்கமான
槌	சுத்தியல்
槌	சுத்தி
腰帶	பெல்ட்
咖啡廳	கஃபே
咖啡廳	அருந்தகம்
咖啡廳	கபே
大赦	amnesty
張貼	இடுகையில்
張貼	இடுகை
張貼	பதிவு
傳球	பாஸ்
傳球	pass
受洗	ஸ்நானம்
受洗	ஞானஸ்நானம்
受洗	தொழிற்சங்கத்தில்
套裝	சூட்
足跡	சுருங்க
尿液	சிறுநீர்
洗衣	சலவை
半數	அரை
半數	பாதி
安培	அம்பர்
花粉	மகரந்தம்
芒果	மாம்பழங்கள்
芒果	மா
芒果	மாம்பழம்
反面	வால்கள்
假裝	பாசாங்கு
假裝	பாசாங்கு
救護車	ஆம்புலன்ஸ்
學術界	academia
動脈	தமனி
動脈	அடைப்பு
好玩	வேடிக்கை
好玩	வேடிக்கையானது
頻譜	ஸ்பெக்ட்ரம்
尊嚴	கண்ணியம்
尊嚴	கண்ணியத்தை
洩漏	கசிவு
浮動	மிதவை
浮動	நடமாடும்
浮動	மிதக்கும்
浮動	நடமாடும்
拼寫	எழுத்து
拼寫	எழுத்துப்பிழை
拼寫	உச்சரிப்பு
驚奇	ஆச்சரியம்
驚奇	ஆச்சர்யம்
驚奇	ஆச்சரியத்தில்
驚奇	ஆச்சரியமாக
歐亞	ஐரோவாசியா
毀壞	அழிவு
轉世	மறுபிறப்பு
惠美	எமி
惠美	emi
墊	பேட்
開端	தொடக்கங்கள்
演算	நுண்கணிதம்
危急	சிக்கலான
危急	சிக்கலானது
危急	முக்கியமான
蕭條	ஆளாகின்றனர்
單數	ஒற்றைப்படை
單數	ஒருமை
無辜	அப்பாவி
共鳴	அதிர்வுகள்
圓頂	டோம்
終端	முனையம்
終端	முனையங்கள்
聲譽	புகழை
汽水	சோடா
相思	acacia
檢舉	அறிக்கை
木乃伊	மம்மி
外流	outflow
傳真	தொலைநகல்
情人節	வேலண்டைன்
私營	தனியார்
私營	தனிப்பட்ட
私營	தனிப்பட்டது
私營	தனி
私營	தனிப்பட்டதாக
阿拉伯文	அரபு
阿拉伯文	அரபி
推遲	தாமதம்
突擊隊	கமாண்டோ
並行	இணையான
並行	இணையாக
驕傲	கர்வம்
驕傲	பெருமை
驕傲	பெருமை
驕傲	பெருமையாக
盜賊	திருடர்கள்
光圈	நுண்துளை
暈	தலைசுற்றல்
肺部	நுரையீரல்
弦樂	தொடர்கள்
弦樂	சரம்
弦樂	தொடர்ச்சி
樂手	இசைக்கலைஞர்கள்
難得	அரிய
難得	அரிதான
折衷	சமரசம்
蒸發	ஆவியாதல்
餐館	உணவகங்கள்
餐館	உணவகம்
驚喜	ஆச்சரியம்
驚喜	ஆச்சர்யம்
聲望	புகழை
完整性	சீர்மை
墮落	சீர்கேடு
有意義	அர்த்தமுள்ள
定量	quantification
強壯	வலிமையானது
強壯	வலுவானது
強壯	வலுவான
強壯	வலிமை
偏見	பாரபட்சம்
騎馬	சவாரி
芭蕾	ballet
芭蕾	பாலே
裸體	நிர்வாண
裸體	நிர்வாணமாக
裸體	நிர்வாணம்
裸體	நிர்வாண
裸體	நிர்வாணமாக
介質	மையமாக
介質	நடுத்தரம்
介質	நடுத்தர
捨棄	காட்டப்பட்டது
禮貌	உபயம்
禮貌	courtesy
禮貌	உபசாரம்
大腿	திக்
齒輪	கியர்
大汗	கானும்
大汗	கான்
平靜	அமைதி
命題	proposition
命題	ஆய்வறிக்கை
高尚	நோபல்
高尚	nobility
乾旱	வறட்சி
不等式	ஏற்றத்தாழ்வு
窗戶	சாளரம்
每星期	வாராந்திர
每星期	வாரத்திற்கு
每星期	வாரந்தோறும்
疏忽	அலட்சியம்
套用	விண்ணப்பித்த
天賦	திறமை
天賦	பரிசு
天賦	அன்பளிப்பு
負債	பொறுப்பு
尼羅河	நைல்
橋梁	பாலம்
橋梁	பாலங்கள்
刑期	வாக்கியத்தை
刑期	வாக்கியம்
補習	பாடம்
補習	பயிற்சியளித்தல்
王宮	அரண்மனை
店鋪	ஷாப்
店鋪	கடையை
店鋪	கடை
店鋪	கடைகள்
肘	முழங்கை
膀胱	சிறுநீர்ப்பை
農作物	பயிர்
農作物	பயிர்கள்
農作物	வெட்டு
農作物	பயிர்
農作物	செதுக்கு
隱形	கண்ணுக்குத்
隱形	திருட்டுத்தனமாக
隱形	மறைவு
半球	அரைக்கோளம்
蒙特婁	montreal
封包	பாக்கெட்
硝基	நைட்ரோ
跑步	இயங்கும்
跑步	ஓட்டம்
跑步	ஓடும்
跑步	இயங்குகிறது
跑步	ரன்னிங்
跑步	ஓட்டம்
立方體	கட்டிகள்
立方體	கியூப்
模範	மாடல்
模範	மாதிரி
開局	திறக்கப்படுகிறது
開局	திறக்கும்
開局	திறப்பு
青春期	பூப்பு
青春期	இளமை
剪刀	கத்தரிக்கோல்
風味	சுவைகள்
振動	அதிர்வுகள்
振動	அதிர்வு
電晶體	திரிதடையம்
路邊	சாலையோரம்
竹子	மூங்கில்
閃亮	பளபளக்கும்
海葵	சாமந்தி
地理學	புவியியல்
微粒	துணுக்குகள்
微粒	துகள்
面試	நேர்காணல்
面試	பேட்டி
回饋	பின்னூட்டம்
回饋	கருத்து
節慶	பண்டிகை
節慶	திருவிழா
節慶	விழா
作文	கட்டுரை
太空梭	ஷட்டில்
頭骨	மண்டையோடு
頭骨	மண்டை
搖	ஷேக்
多樣化	வேற்றுமை
陌生人	அந்நியர்கள்
陌生人	அந்நியன்
拉麵	ரேமன்
煙霧	புகை
最大值	அதிகபட்சம்
最大值	அதிகபட்ச
聯想	லெனோவா
名氣	புகழ்
子宮	கருப்பை
子宮	கருப்பை
簡短	குறுகிய
簡短	குறுகியது
簡短	குட்டை
簡短	short
簡短	சுருக்கமான
水底	நீருக்கடியில்
昨日	நேற்று
昨日	நேற்றைய
拇指	பெருவிரல்
千禧年	ஆயிரமாண்டு
管線	பைப்லைன்
振幅	வீச்சுப்
感官	புலன்கள்
棺材	சவப்பெட்டி
往下	கீழே
往下	கீழ்
往下	டவுன்
往下	குறைந்து
走路	நடந்து
走路	நடத்தல்
走路	நடக்கிறார்
走路	வாக்கிங்
走路	நடைப்பயிற்சி
走路	நடைபயணம்
走路	நட
走路	நடை
走路	நடக்க
幫派	கும்பல்
臭氧	ஓசோன்
納米比亞	நமிபியா
叮	டிங்
慈悲	கருணை
慈悲	இரக்கம்
慈悲	கருணை
慈悲	ரஹ்மத்
薪金	சம்பளம்
羈押	பாதுகாப்பில்
乳糖	lactose
傷殘	இயலாமை
圍困	முற்றுகை
後悔	வருத்தமும்
古董	பழங்கால
古董	விண்டேஜ்
古董	பழைமை
繼母	சிற்றன்னை
打架	போராடும்
打架	சண்டையிடும்
打架	சண்டை
打架	போராடுகிறது
打架	சண்டை
奇跡	அற்புதங்கள்
奇跡	அதிசயம்
奇跡	அற்புதங்கள்
奇跡	அதிசயங்கள்
精緻	நுட்பமான
比值	விகிதம்
比值	ஓரம்
浣熊	ரக்கூன்
蕾絲	லேஸ்
半夜	நள்ளிரவு
阿嬤	பாட்டியின்
阿嬤	பாட்டியை
阿嬤	பாட்டி
臨近	நெருங்கி
滑坡	நிலச்சரிவு
滑坡	வழுக்கும்
發燒	காய்ச்சல்
物價	விலைகள்
平裝	பேப்பர்பேக்
病床	படுக்கைகள்
斯文	ஸ்வென்
小麥	கோதுமை
導覽	சுற்றுப்பயணம்
導覽	சுற்றுலா
導覽	டூர்
導覽	உலா
經營者	ஆபரேட்டர்
經營者	ஆப்பரேட்டர்கள்
天狼星	சிரியஸ்
提琴	வயலின்
引文	மேற்கோள்
引文	மேற்கோள்கள்
引文	மேற்கோள்கள்
恐怖主義	தீவிரவாதம்
恐怖主義	பயங்கரவாதம்
恐怖主義	தீவிரவாத
恐怖主義	தீவிரவாதி
恐怖份子	பயங்கரவாதிகள்
恐怖份子	தீவிரவாதிகள்
謀殺案	கொலை
散播	பரப்புகிறது
散播	பரவியது
散播	பரவ
陰莖	ஆண்குறி
陰莖	டிக்ஸ்
舞會	ப்ராம்
照相機	காமிரா
照相機	கேமரா
照相機	கேமராக்கள்
青色	சியான்
優雅	நேர்த்தியான
優雅	நேர்த்தி
肋骨	விலா
蚊子	கொசு
蚊子	கொசுக்கள்
臀部	இடுப்பு
深層	ஆழமான
深層	ஆழ்ந்த
深層	ஆழமானது
深層	ஆழமாக
隱私	தனியார்
隱私	தனிப்பட்ட
隱私	தனிப்பட்டது
隱私	தனி
隱私	தனிப்பட்டதாக
隱私	அந்தரங்கம்
隱私	தனியுரிமை
專制	சர்வாதிகாரம்
救世主	மீட்பர்
取樣	மாதிரி
簡潔	எளிமை
簡潔	சுருக்கமாகவும்
床位	படுக்கைகள்
魔法師	வழிகாட்டி
腎臟	சிறுநீரகங்கள்
腎臟	சிறுநீரகம்
淡化	கலப்பினம்
奴役	அடிமைத்தனம்
奴役	விடுவித்தார்
職工	பணியாளர்
工程學	பொறியியல்
大豆	சோயா
大豆	சோயாபீன்ஸ்
嗆	அடைக்கிறது
轉速	rpm
萊茵河	ரைன்
補貼	மானியங்கள்
難忘	மறக்கமுடியாத
難忘	மறக்கமுடியாத
肥皂	சோப்பு
肥皂	சோப்
衍射	diffraction
盧比	ரூபாய்
盧比	ரூபாய்
臉部	முகம்
臉部	முக
英畝	ஏக்கர்
奢侈	சொகுசு
奢侈	ஆடம்பர
奢侈	ஆடம்பரம்
火柴	பொருத்தங்கள்
才華	திறமை
才華	திறமையான
才華	திறமை
渥太華	ஒட்டாவா
筷子	குச்சிகள்
污染物	pollutant
外套	ஜாக்கெட்
外套	கோட்
外套	கவசங்கள்
分娩	பிரசவ
閱兵	அணிவகுப்பு
閱兵	அணிவகுப்பில்
極光	அரோரா
輪廓	outlines
因數	காரணி
戳	போக்
鉻	குரோமியம்
撒旦	சாத்தான்
密謀	சதி
密謀	சூழ்ச்சி
幼稚	அப்பாவி
幼稚	குழந்தைத்தனமான
退休金	ஓய்வூதியம்
益智	புதிர்களின்
益智	புதிர்
技藝	திறன்
技藝	திறமை
作弊	ஏமாற்ற
作弊	ஏமாற்றும்
作弊	ஏமாற்று
作弊	ஏமாற்றுதல்
作弊	ஏமாற்றும்
作弊	ஏமாற்றி
預告片	டிரெய்லர்
蟾蜍	தேரை
儲蓄	சேமிப்பு
儲蓄	சேமிப்பு
儲蓄	சேமிக்கப்படுகிறது
儲蓄	சேமிக்கிறது
儲蓄	சேமிக்கும்
篇章	சுரா
咖哩	குழம்பு
咖哩	கறி
口頭	வாய்வழி
倡導	வழக்கறிஞர்
論證	வாதம்
論證	துணையலகு
沙龍	ஷரோன்
沙龍	சலூன்
果汁	பழச்சாறு
果汁	ஜூஸ்
慷慨	பெருந்தன்மை
慷慨	தாராள
慷慨	தாராளமான
靜脈	நரம்புகள்
靜脈	நரம்பு
單詞	வார்த்தை
單詞	சொல்
單詞	வார்த்தையே
金髮	பொன்னிற
總之	எப்படியோ
正午	மதியம்
正午	நண்பகல்
地質學家	புவியியலாளர்
笨蛋	முட்டாள்தனமாக
笨蛋	முட்டாள்
凱旋	வெற்றியாகும்
試鏡	ஒத்திகை
油漆	பெயிண்ட்
油漆	தீட்டு
油漆	வர்ணங்கள்
扭轉	reverse
奧斯陸	ஒஸ்லோ
犯規	பவுல்
木瓜	பப்பாளி
茶葉	தேநீர்
茶葉	தேயிலை
茶葉	டீ
櫟	quercus
主旨	அழுத்தம்
雷電	இடி
雷電	தண்டர்
鎮長	மேயர்
下一步	அடுத்தது
下一步	அடுத்து
下一步	அடுத்த
豌豆	பட்டாணி
豌豆	பட்டாணி
怒火	கோபம்
怒火	ஆத்திரம்
縱向	செங்குத்து
氣味	செண்ட்
氣味	சென்ட்
透視	முப்பரிமாண
搶奪	அபகரித்து
釐米	சென்டிமீட்டர்
政體	polity
餘額	சமநிலை
餘額	மீதம்
餘額	balance
餘額	மீதி
餘額	இருப்பு
清真	ஹலால்
演戲	நடிப்பு
腦袋	மூளை
腦袋	மூளை
英俊	கம்பீரம்
木制	மர
主機板	தாய்ப்பலகை
可笑	அபத்தமானது
粘土	களிமண்
粘土	ஆரம்பித்தான்
綠地	கிரீன்
綠地	பசுமை
綠地	பச்சை
桃色	பீச்சி
看中	பிரம்மாண்டமாக
配對	ஜோடி
配對	twinning
配對	பொருத்துதல்
配對	பொருந்தும்
鐮刀	அரிவாள்
氮化	நைட்ரைடு
椰	தேங்காய்
椰	தென்னை
保齡球	பந்துவீச்சு
螃蟹	நண்டுகள்
螃蟹	நண்டு
懸崖	கிளிஃப்
拆毀	தகர்ப்பு
師兄	சகோதரன்
師兄	சகோதரர்
賓館	விடுதி
賓館	ஓட்டல்
賓館	ஹோட்டல்
地殼	மேலோடு
孕婦	கர்ப்பிணிகள்
孕婦	கர்ப்பிணி
孕婦	கர்ப்பமான
報刊	செய்தித்தாள்
報刊	செய்தித்தாள்கள்
密西西比	மிசிசிப்பி
火器	சுடுகலன்
今晚	இன்றி
今晚	இன்றிரவு
營業額	turnover
盟國	நேச
漫步	அலைந்து
漫步	உலா
花紋	பளிங்குப்
技工	மெக்கானிக்
留下來	இருக்கவும்
甜點	இனிப்புகள்
甜點	இனிப்பு
甜點	இனிப்புகள்
有效性	validity
有效性	முறையான
虛假	பொய்
虛假	பொய்யான
虛假	தவறு
虛假	பொய்யான
虛假	போலி
虛假	போலியான
快遞	கூரியர்
快遞	கொரியர்
高貴	நோபல்
球體	கோளம்
球體	கோலம்
球體	உருளை
球體	கோளங்கள்
盲目	குருட்டு
盲目	கண்மூடித்தனமாக
浦東	புடோங்
刺青	டாட்டூ
攤位	பூத்
攤位	பூத்து
帝國主義	பேரரசுவாதம்
洞口	துளை
洞口	ஓட்டை
傲慢	ஆணவம்
傲慢	ஆணவம்
匕首	கத்தி
圍繞著	சுற்றிப்
圍繞著	சுற்றி
方丈	abbot
尖叫	அலறல்
通貨膨脹	பணவீக்கம்
顯微鏡	நுண்ணோக்கி
顯微鏡	microscopic
怪異	வித்தியாசமான
熱量	வெப்பம்
熱量	வெப்பத்தை
熱量	வெயிலின்
熱量	கலோரிகள்
舞弊	மோசடி
引誘	தூண்டுதல்
引誘	சலனம்
直布羅陀	ஜிப்ரால்டர்
指甲	நகம்
指甲	ஆணி
指甲	நகங்கள்
滑鼠	சுட்டி
滑鼠	எலி
滑鼠	சொடுக்கி
苳	mucronata
阿拉巴馬州	அலபாமா
預約	அனுமதி
預約	சந்திப்பு
預約	முன்பதிவு
傅立葉	ஃபூரியே
害羞	வெட்கம்
害羞	வெட்கம்
飲酒	குடித்தல்
飲酒	குடி
飲酒	குடிக்கும்
飲酒	குடிப்பது
懶	சோம்பல்
馬鈴薯	உருளைக்கிழங்குகள்
馬鈴薯	உருளைக்கிழங்கு
馬鈴薯	உருளைக்கிழங்கு
馬鈴薯	கிழங்கு
按鍵	விசைகள்
按鍵	சாவிகள்
按鍵	பொத்தான்
按鍵	பட்டன்
圈子	வட்டங்கள்
獸醫	vet
暴風雨	புயல்
奈及利亞	நைஜீரியா
日冕	corona
流行病	கொள்ளைநோய்
現實主義	நிஜம்
調停	ஒழுங்கமைவு
制動	பிரேக்
單簧管	கிளாரினெட்
合伙人	துணை
合伙人	பங்குதாரர்
合伙人	கூட்டாளர்
合伙人	துணைவர்
下士	கசையடி
評語	விமர்சனங்கள்
評語	மதிப்பீடுகள்
評語	மதிப்புரைகள்
象限	quadrant
雪橇	sled
過量	அதிகப்படியான
磨坊	மில்
先天性	குறை
錢幣	நாணயங்கள்
錢幣	coins
錢幣	காசுகள்
悲慘	பரிதாபமாக
悲慘	சோகம்
寬容	சகிப்புத்தன்மை
感應器	உணரிகள்
感應器	உணரி
列寧	லெனின்
店主	கடைக்காரர்
海綿	பஞ்சு
安理會	மன்றம்
安理會	கவுன்சில்
安理會	சபை
情婦	ஆசிரியை
流言	வதந்தி
選取	தேர்வு
選取	தேர்வுகள்
選取	தேர்ந்தெடுக்கப்பட்ட
選取	தேர்ந்தெடுக்கப்பட்டது
選取	தேர்வு
選取	தேர்ந்தெடுக்கவும்
醉酒	குடித்து
醉酒	குடித்துவிட்டு
聆聽	கேட்டு
聆聽	கவனித்தல்
聆聽	கேட்டுக்
海島	தீவு
訂閱	சந்தா
訂閱	subscribe
訂閱	சந்தா
過敏	ஒவ்வாமை
過敏	ஒவ்வாமை
氛圍	அதிர்வு
氛圍	வளிமண்டலம்
氛圍	சுற்றுப்புற
自私	சுயநல
擷取	பிடிப்பு
木匠	தச்சர்
木匠	தச்சர்கள்
丙烷	புரொப்பேன்
贏家	வெற்றியாளர்
鋅	துத்தநாக
恩典	கருணை
恩典	கிரேஸ்
恩典	அருளும்
黏土	களிமண்
黏土	ஆரம்பித்தான்
專業人士	வல்லுநர்கள்
專業人士	வல்லுனர்கள்
頭頂	overhead
游擊	கரந்தடி
支票	காசோலை
支票	சரிபார்
支票	சோதி
支票	வட்டில்
獵犬	ஹவுண்ட்
炎症	வீக்கம்
炎症	தீரா
炎症	அழற்சி
訂婚	நிச்சயதார்த்தம்
訂婚	ஈடுபாடு
訂婚	ஈடுபட்டுள்ள
萌芽	நாற்று
貓頭鷹	ஆந்தை
水兵	மாலுமிகள்
水兵	மாலுமி
頭痛	தலைவலி
使館	தூதரகம்
肥料	உரம்
肥料	உரங்கள்
終生	ஆயுட்காலம்
終生	வாழ்நாள்
漏斗	புனல்
神通	அவதாரம்
神通	அவதார்
圖表	வரைபடம்
圖表	விளக்கப்படம்
圖表	தட்டிகள்
圖表	வரைப்படம்
憂慮	கவலைகள்
憂慮	கவலைகளை
小偷	திருடர்கள்
常態	இயல்பான
常態	சாதாரணம்
常態	இயல்பு
常態	இயல்பாக
常態	சாதாரண
馬戲團	சர்க்கஸ்
禱告	பிரார்த்தனை
禱告	பிரார்த்தனைகள்
禱告	தொழுகையை
禱告	ஜெபம்
禱告	பிரார்த்தனை
拼圖	புதிர்களின்
拼圖	புதிர்
掙扎	போராட்டம்
串聯	அடுக்கடுக்கான
沐浴	குளிப்பது
沐浴	குளித்தல்
電線	வயர்
電線	கம்பி
電線	கேபிள்கள்
產出	வெளியீடு
火山灰	ஆஷ்
份量	எடையை
份量	எடை
精液	cum
富人	பணக்காரன்
臨界	சிக்கலான
臨界	சிக்கலானது
臨界	முக்கியமான
環形	சுற்றறிக்கை
殘障	ஊனமுற்ற
殘障	இயலாமை
錫蘭	இலங்கை
法理	சட்டவியல்
比基尼	பிகினி
編譯器	தொகுப்பான்
索馬利亞	சோமாலி
索馬利亞	சோமாலியா
誠實	நேர்மை
誠實	நேர்மையான
懷舊	ஏக்கம்
