هرمی	piramidės
فلور	flor
نصاب	montuotojas
بردلی	bradley
آپارتاید	apartheido
مدلسازی	modeliavimas
مدلسازی	modeliavimo
مدلسازی	modeliavimas
پوری	puri
باروت	parako
باروت	milteliai
باروت	miltai
ترانسفورماتور	transformatorių
تثلیث	trinity
توافقنامه	susitarimai
اوری	uri
مصدوم	sužeista
سرنشینان	įgula
سرنشینان	įgulos
قراردادها	įsipareigojimai
تریستان	tristan
کوئینز	karalienes
شرودینگر	šriodingerio
کوتایک	abowyan
لخت	nuoga
لخت	nude
روبات	robotas
فروم	fromas
ادم	adamas
پاشنه	kulnas
کاترینا	katrina
طلائی	auksinis
چوگان	lakroso
چوگان	polo
مبین	šviesos
آبل	abel
زردآلو	abrikosai
جرات	dare
کلیف	uolos
سموم	toksinų
سموم	toksinai
تاراج	laimikis
دیسکاوری	atradimas
کامیابی	sėkmė
کامیابی	sėkmės
مردها	vyrai
عمیقاً	giliai
شسته	tvarkingas
شسته	plauti
شسته	išplauti
آلباسته	albacete
میخ	nagų
میخ	nagus
میخ	nagai
خصومت	priešiškumas
دمیتری	dmitrijus
سمور	kiaunė
سمور	ūdra
خاصه	specialių
چری	vyšnių
چری	vyšnios
بلکپول	blackpool
کازابلانکا	kasablankos
غضروف	kremzlių
محبوبه	dažniausi
هراکلیتوس	heraklitas
جواهری	pupa
جنگجوی	karys
راکون	meškėnas
غارها	olas
بنتون	benton
آرمین	armin
ایزابلا	izabelė
ایزابلا	isabela
سسنا	cessna
معابر	žymėjimas
معابر	ženklinimas
ترنت	trent
تمدنی	civilizaciją
تمدنی	civilizacija
رین	rin
گغارکونیک	gegarkuniko
کانبرا	kanbera
بشقاب	plokštė
بشقاب	plokštės
بشقاب	lėkštė
جامو	džamu
استیناف	skundai
استیناف	apeliacijos
بنوا	benoît
اخلاقیات	etika
اخلاقیات	etikos
اخلاقیات	dėsnis
پارتیزان	partizanas
بافندگی	mezgimo
اشتعال	uždegimas
اشتعال	uždegimo
کاسنیان	asteraceae
اودین	odinas
نبوغ	genijus
نبوغ	išradingumą
کلارکسون	clarkson
ند	nedas
اسپانیول	espanyol
اموری	emory
فضازمان	erdvėlaikis
رجینا	regina
ازدحام	minia
ازدحام	perkrovos
مطلقه	išsiskyrė
لابی	lobistų
سیلی	slap
تمثیل	alegorija
لاما	lama
ژوهانسبورگ	johanesburgo
نگرو	negros
نگرو	paneigti
منفعت	pelnas
منفعت	pelno
منفعت	naudos
مشروبات	gėrimus
کورا	kora
فدرالیست	federalistų
بلیت	bilietai
بلیت	bilietus
بلیت	bilietų
بلیت	bilietas
بلیت	bilietų
بلیت	bilieto
زاپا	zappa
لوب	įvykdys
اژدر	torpeda
فلکه	sankryža
گئورگی	georgijus
چامسکی	chomsky
آرگون	argono
باریتون	baritonas
جگر	kepenys
جگر	jagger
انگ	ang
انگ	ganykla
انگ	eng
یاغی	sukilėlių
بیطرف	nešališkas
بیطرف	neutralus
موزیلا	mozilla
کرامت	dosnus
عبده	abdo
عبده	abdou
فرمانروا	imperator
کونکاکاف	concacaf
خواری	pažeminimą
بیشماری	begalę
شهوت	aistrą
شهوت	aistra
خزان	rudenį
خزان	ruduo
آنجلینا	angelina
آرتساخ	arcachas
منازعه	konfliktas
جیزه	gizos
سیاهان	negrai
انصاف	sąžiningą
انصاف	nuosavybė
ماتیاس	matias
دوشس	hercogienė
شستشوی	plauti
شستشوی	plovimas
شستشوی	skalbimo
انتیوکیا	antiokijos
سلما	selma
برگرداندن	atšaukti
برگرداندن	atstatyti
شکوفا	klestinti
شکوفا	klesti
شکوفا	veislinių
شکوفا	veisimas
کون	kun
کویین	quinn
میکروب	mikrobus
متالیکا	metallica
سندروم	sindromas
راکفلر	rokfeleris
بیطرفی	nešališkumas
بیطرفی	nešališkumo
تهدیدات	grėsmes
برنار	bernard
اشتراوس	strauss
نقدینگی	likvidumą
نقدینگی	likvidumas
کراسنودار	krasnodar
دمکراسی	demokratija
دمکراسی	demokratijos
رپر	reperis
بخود	save
بزغاله	ožkų
بزغاله	ožys
مقدسات	šventieji
عاطفه	emocija
عاطفه	emocijos
بزرگسالی	pilnametystės
بندرگاه	uosto
بندرگاه	harbour
عادات	įpročiai
عادات	įpročius
کانتور	cantor
شغال	šakalas
جسور	drąsių
ونتورا	ventura
حجیم	masiškai
حجیم	didžiulis
یوان	yuan
فوکوشیما	fukušimos
هلیوم	helis
آدرین	adrian
ایستادن	nuolatinio
تاما	tama
یاور	šalininkas
یاور	padėjėjas
یاور	pagalbininkas
عرفات	arafat
آندرومدا	andromeda
شاهراه	karakorumo
چندلر	chandler
کوبی	kobe
خرنا	girona
دانشمندی	mokslininkas
پالو	palo
جیبی	kišenės
مجذوب	traukia
کیشوت	kichotas
لیکس	ežerai
لیکس	ežerų
قصاص	keršto
کافمن	kaufmanas
متحدین	sąjungininkų
متحدین	sąjungininkai
مونه	monetas
ویسکی	viskis
ویسکی	viskio
ویسکی	viskis
رویاهای	svajones
رویاهای	sapnai
رویاهای	svajonės
متابولیک	metabolizmo
متابولیک	metabolizmą
جده	džida
نسوان	moteris
نسوان	patelės
نسوان	moterys
نسوان	moterų
نسوان	patelė
پاینده	nuolat
پاینده	amžina
بینهایت	begalinė
بینهایت	begalybės
اجناس	prekės
نرمی	minkštas
نرمی	minkšta
نرمی	švelniai
جاشوا	joshua
فلاش	flash
تپش	pulsas
تپش	impulso
هیز	dis
ولادت	nativity
ولادت	gimimas
اریکا	erica
اریکا	erika
آرگوس	argus
سودمندی	produktyvus
سودمندی	naudingumo
سودمندی	naudingumas
قایقرانی	plaukia
کرین	kranas
مازراتی	maserati
کمپرسور	kompresorius
آلکسیوس	aleksijus
هرمن	herman
نزدک	nasdaq
دیزی	deizė
پایونیر	pioneer
مرغی	višta
مرغی	vištiena
مرغی	vištos
مرغی	vištienos
بوتو	bhutto
فهد	fahd
فهد	fahad
آبخاز	abchazijos
پوپ	popiežius
کرنش	padermė
برناردو	bernardo
کاهن	kunigas
چنای	čenajus
خویشاوند	gimine
ایپسویچ	ipswich
اشتاینر	steiner
فانک	funk
گاوی	karvės
گاوی	karvė
گاوی	ku
کالیمانتان	kalimantanas
آبه	eigai
خشخاش	aguonų
مارها	gyvatės
مارها	gyvates
مارها	gyvačių
کینز	keynes
سرن	cern
کامن	kamen
والابی	valabė
استفانو	stefano
گهگاه	kartais
گهگاه	retkarčiais
گایا	gaja
هابسبورگ	habsburg
چاپگر	įrašoma
صربی	serbų
فرانکی	frenki
رنگها	spalvos
رنگها	dažai
رنگها	dažikliai
رنگها	spalvų
رنگها	spalva
زردی	gelta
ایرونی	dialektas
مورای	murray
منوط	vyrių
مورس	morzės
ساکی	sakis
شرکای	associates
توخالی	tuščiaviduriai
برگن	bergeno
افزودنی	priedų
میانجیگری	tarpininkavimo
منجم	astrologas
زنا	neištikimybė
ایمانی	tikėjimą
کوکی	cookie
کارلایل	carlisle
کتابدار	bibliotekininkas
کمکهای	pagalbos
کمکهای	pagalba
اقاقیا	akacijų
تظاهرکنندگان	demonstrantus
سرژ	serge
جروم	jerome
عفت	kuklumas
عفت	skaistybės
متوازن	subalansuotas
متوازن	subalansuota
هولدن	holden
آتیک	atika
رحمتی	pasigailėjimo
مصائب	aistra
سردرگمی	sutrikimą
سردرگمی	sumišimas
سردرگمی	dezorientacija
ینا	jena
یکدست	kietu
یکدست	tvirtas
یکدست	šviesus
یکدست	šviesi
هیلتون	hilton
اسپارتاک	spartak
مهبل	vagina
مهبل	makšties
مهبل	makšties
کولو	colo
سجده	lanko
سجده	padovanojo
اغتشاش	sutrikimą
اغتشاش	sumišimas
یهودیه	judėją
هاری	pasiutligės
سویس	dešros
ترت	trt
کروگر	kruger
معرق	mozaikos
مونتگومری	montgomery
گلم	glam
گندمیان	poaceae
دوئل	dvikova
مودی	modi
مصالحه	susitaikymo
مصالحه	susitaikymas
مصالحه	suderinimas
مصالحه	derinimas
مصالحه	taikinimo
مصالحه	kompromisas
نوشابه	kokso
نوشابه	koksas
متقاضیان	traukiniai
ناسازگار	konfliktų
ناسازگار	nesuderinama
گیوم	guillaume
یوگا	jogos
یارد	kiemas
یارد	kiemo
لولا	vyrių
توم	tum
همجنسگرایی	homoseksualumas
همجنسگرایی	gėjai
همجنسگرایی	gėjų
همجنسگرایی	gėjus
راشل	reičel
امرسون	emerson
نازیسم	nacizmas
پلو	polo
پلو	ryžiai
پلو	ryžių
پلو	plovas
بورسیه	stipendiją
بورسیه	stipendija
مجادله	nesutarimų
مجادله	ginčai
موشه	moshe
نافرمانی	nepaklusnumas
ویگ	vigai
فشارخون	hipertenzija
کشفیات	atradimų
پاین	pušų
آهنگری	smi
آهنگری	kalvis
مارهای	gyvatės
مارهای	gyvates
مارهای	gyvačių
درز	nuotėkis
درز	nutekėjimas
درز	nuotėkio
درز	nutekėjimas
کالایی	prekė
چابک	judrus
نیشکر	cukranendrių
دینو	dino
نیکلسون	nicholson
نئوکلاسیک	klasicizmo
بالون	balionas
بالون	baliono
زیتونی	alyvuogių
زیتونی	alyvuogės
زیتونی	alyvuoges
ذهنیت	mentaliteto
لیره	lira
همجوشی	sintezės
گونی	sak
شبدر	kryžių
همانی	tapatybę
همانی	tapatybė
همانی	tapatybės
همانی	tapatumas
ژار	jarre
هالک	halkas
فطر	fitr
سامسون	samsunas
آفات	kenkėjų
مشک	muskuso
اندرسن	andersen
مونو	mono
شادمانی	džiaugsmas
شادمانی	džiaugsmo
شادمانی	džiaugtis
الماسی	deimantas
خریده	nusipirko
استین	stein
تمپل	šventyklą
مدون	kodifikuota
برگر	burger
برگر	berger
کومو	como
آزمودن	bandymai
آشکارسازی	aptikimas
آشکارسازی	aptikimo
کشک	varškė
کشک	varškės
کورتیس	kurtas
کورتیس	kurtis
کورتیس	kurti
مسینا	mesina
سبیل	ūsus
سبیل	ūsai
کارولینا	karolina
پرشور	aistringas
حقیر	kuklus
تارانتینو	tarantino
اینکا	inka
ترنتینو	trentino
تیتان	titan
لاپلاس	laplaso
فاشیست	fašistų
فاشیست	fašistai
کودکانه	vaikiškas
استعفاء	atsistatydinimo
مارلون	marlon
داف	daf
داف	duff
چوسان	joseon
لیلیان	liliana
سینوسی	sine
چرخان	rotacijos
چرخان	verpimo
رسلمانیا	wrestlemania
آپارتمانی	buto
آپارتمانی	butas
آپارتمانی	bute
گرهارد	gerhard
غیرمنتظره	netikėta
شورلت	chevrolet
چیدن	skinti
خالکوبی	tatuiruotė
خالکوبی	tatuiruotę
خالکوبی	tatuiruotės
خالکوبی	tatuiruotės
ناامیدی	neviltį
میازاکی	miyazaki
کوئینسی	quincy
پرونوس	prunus
انسانیت	žmoniją
انسانیت	žmonija
اسکیزوفرنی	minimi
مانچینی	mancini
ماژلان	magelanas
دوار	spin
قوری	arbatinukas
شکیبایی	kantrybės
یارانه	subsidija
گلاسکو	glasgow
حلوا	chalva
سفرها	keliones
عصبانیت	pyktis
سرگیجه	vertigo
میناژ	minaj
زیگلر	ziegler
باوجود	nepaisant
ماکرو	makro
شیپور	trimitas
شیپور	ragas
جیپ	jeep
شکننده	trapi
وزرا	ministrai
وزرا	ministrų
تروتسکی	trockis
اولاف	olaf
توقع	lūkesčius
وس	wes
وس	ves
پارسونز	parsons
بلغاری	bulgarų
اطلاعیه	pranešimo
اطلاعیه	pranešimas
ضیافت	šventė
ناکس	noksas
کازینو	kazino
گاگارین	gagarinas
ژانگ	zhang
آلما	alma
اسپرینگ	pavasario
اسپرینگ	pavasaris
اهرام	piramidės
اهرام	piramides
گوشتخوار	carnivore
شوپن	šopeno
آلدو	aldo
پیگرد	prokuratūra
پیگرد	prokuroras
بنیتو	benito
فره	orkaitėje
فره	krosnis
بریزبن	brisbane
آدنوزین	adenozino
اسپارتاکوس	spartakas
فتوسنتز	fotosintezė
اولیویا	olivija
نشاسته	krakmolas
نشاسته	krakmolo
آنجل	angelas
پسرها	berniukai
معما	mįslė
معما	molekulių
گزینشی	konkrečioms
شینتو	šintoizmas
لمبرت	lambert
کداک	kodak
استعاره	metafora
رایزنی	patariamosios
ناهنجاری	anomalija
نکوهش	kaltino
بنزینی	benzino
بنزینی	benzinas
آمپول	injekcijos
آمپول	injekcija
ثروتمندان	turtingas
لوسیفر	liuciferis
آذوقه	atsargų
گوارانی	gvaranių
وایلدر	wilder
کاشیما	kashima
رهگیری	maršrutą
ولدمورت	voldemortas
فوکو	foucault
ریاضیدانان	matematikai
کارناوال	karnavalas
اینا	šių
فیلدز	laukai
بداهه	improvizuoti
بداهه	improvizacija
مارکت	marquette
مارکت	rinka
سنایی	sanai
بیماریها	ligų
لوسین	lucien
عدی	lpd
پیشاتاریخ	priešistorinis
کارو	caro
هایدن	hayden
روانشناس	psichologas
روانشناس	psichologė
کرملین	kremliaus
شنل	žaliojo
شنل	apsiaustas
شنل	chanel
ناسازگاری	konfliktų
ناسازگاری	prieštaringų
ناسازگاری	paradoksas
ناسازگاری	konfliktas
مصوت	balses
کوارتت	ketverto
جاودانگی	amžinybę
جاودانگی	nemirtingumas
مایو	majas
مارماهی	ungurių
یهوه	jahvė
زنبورهای	bitės
زنبورهای	bičių
زنجیری	grandinės
زنجیری	grandinė
پراش	difrakcijos
کپور	karpiai
کیث	keith
فورتالزا	fortaleza
گدانسک	gdansko
استرداد	ekstradicijos
فلینی	fellini
دوگان	duggan
ادمونتون	edmonton
هلاس	hellas
ویزا	vizos
ویزا	viza
ویزا	vizų
نینو	nino
نیازها	reikalavimai
اوباش	mafija
اوباش	mob
دنگ	deng
منجی	gelbėtojas
احشام	gyvuliai
احشام	gyvulininkystė
احشام	gyvūnai
نوتس	notts
دورانت	durant
رابینز	robbins
سوپاپ	vožtuvas
سوپاپ	vožtuvų
نوش	cheers
صادقانه	atvirai
ترومپت	trimitai
ترومپت	trimitas
ایوانز	evans
آونگ	ong
آونگ	švytuoklės
شانگ	zhang
فول	ful
فول	pilnas
فول	visu
کلیفورد	clifford
چونگ	cheung
چونگ	chong
ربودن	grobimo
ربودن	pagrobimas
ربودن	panų
اشتون	ashton
چوی	ču
والس	vals
مدارا	toleruojamas
مدارا	toleruojama
مدارا	toleruoti
مدارا	tolerancija
مدارا	tolerancijos
لخته	krešėjimo
تراکیه	trakijos
متاسفم	gaila
دنیپروپتروفسک	dniepropetrovsko
پیانوی	pianino
کانگ	kang
دندانی	dantų
گفتگوها	dialogai
گفتگوها	dialogus
اندیشیدن	įžvalgomis
مامان	mama
تبر	kirvis
موسمی	musonas
روسری	šalikas
مالمو	malmė
سینماها	teatras
سینماها	teatro
سینماها	teatre
حیثیت	prestige
پادوا	padua
فریدا	frida
کنجد	sezamo
آزبورن	osbourne
صبور	kantrybės
صبور	pacientas
