catalão	catalan
olavo	olav
olavo	olaf
chapman	chapman
renome	renown
conversar	nói
conversar	chát
conversar	chat
covers	covers
ass	đít
ass	mông
caminhão	trailer
caminhão	lorry
especulação	speculative
otan	nato
filial	affiliate
cássio	cassio
cássio	cassius
mans	mans
liderar	dẫn
liderar	chì
cascavel	rattlesnake
herrera	herrera
mergulho	lặn
afélio	aphelion
anchieta	anchieta
thrash	thrash
novidades	tin
cell	cell
lázaro	lazarus
lázaro	lazar
amsterdã	amsterdam
danúbio	danube
danúbio	donau
gavião	hawkeye
gavião	hawk
attack	công
épico	huyền
liberalismo	liberalism
serras	cưa
juros	vốn
juros	lãi
drew	lê
drew	drew
roménia	romania
roménia	românia
forno	furnace
forno	lò
vitamina	vitamin
saudável	healthy
insultos	xúc
cache	cache
denver	denver
kingston	kingston
energias	thụ
energias	lượng
spl	spl
lágrimas	lăn
continue	giữ
marxista	marxist
potássio	kali
mercosul	mercosur
remanescente	tàn
comandar	lệnh
comandar	huy
comandar	lềnh
seriamente	hen
respiração	thở
respiração	thở
sao	sò
sao	re
sao	đang
sao	là
bilhão	tỷ
bilhão	tỉ
conduzido	driven
pódio	bục
pódio	podium
strauss	strauss
churchill	churchill
gordura	fats
gordura	grease
gordura	mỡ
gordura	béo
gordura	mập
gordura	fat
vocação	gọi
dirty	bẩn
dirty	hủ
dirty	dơ
loucura	madness
loucura	insanity
#ff	#ff
hanna	hanna
bailey	bailey
severa	nặng
transilvânia	transylvania
alcaide	sếp
camila	camilla
camila	camila
jesuíta	jesuit
mesopotâmia	mesopotamia
isolados	isolated
auf	auf
candy	kẹo
candy	candy
estímulo	stimulus
amsterdam	amsterdam
drop	giọt
drop	bỏ
drop	thả
forbes	forbes
shannon	shannon
corpus	corpus
escocesa	scottish
piper	piper
partilha	chia
partilha	share
ahmed	ahmed
filmagem	footage
walsh	walsh
col	col
casco	hull
linz	linz
cancelamento	hủy
habitam	bebo
verona	verona
jena	jena
dissertação	dissertation
quadras	chặn
anais	anal
orléans	orleans
orléans	orléans
everton	everton
cabine	booth
cabine	chòi
cabine	cabin
bafta	bafta
garrett	garrett
jobim	jobim
batizada	christened
draft	nháp
portalegre	portalegre
alegação	nhận
aristocracia	aristocracy
gordo	gordo
gordo	phệ
gordo	béo
gordo	mập
gordo	fat
stella	stella
nwa	nwa
raven	quạ
raven	raven
amparo	amparo
sally	sally
mecklemburgo	mecklenburg
mecklemburgo	ludwigslust
marcello	marcello
faltando	thiếu
zumbi	zombie
clayton	clayton
ingressos	vé
maiden	maiden
canhoto	lefty
evita	evita
evita	tránh
sophia	sofia
sophia	sophia
filo	phylum
filo	philo
mach	mach
doc	doc
pain	đau
avn	avn
noivo	bridegroom
faca	đao
faca	dao
compositae	compositae
titulares	holders
strange	lạ
biográfico	biographical
pac	cap
pac	pac
amplitude	magnitude
palermo	palermo
trilhos	vết
trilhos	vệt
trilhos	trails
trilhos	vết
trilhos	rãnh
trilhos	rails
luisiana	louisiana
patas	paws
dióxido	dioxide
dióxido	điôxít
kuwait	kuwait
romantismo	romanticism
pacaembu	pacaembu
crónica	chronicle
sepultura	mộ
sepultura	mồ
whitney	whitney
drummond	drummond
fracos	yếu
fracos	nhược
aposta	cược
aposta	cược
bacias	basins
poesias	thơ
anão	lùn
anão	phơ
auguste	auguste
muniz	muniz
orgânico	organic
clone	clone
orleães	orleans
orleães	orléans
lanterna	toulouse
lanterna	lantern
diane	diane
solitário	lonesome
solitário	solitaire
desejar	ước
anfíbios	amphibious
anfíbios	amphibians
humorista	comedian
serena	serena
mutante	mutant
heidelberg	heidelberg
derby	derby
satisfazer	satisfy
desfiles	diễu
chaplin	chaplin
moinhos	mills
seth	seth
jenny	jenny
lingua	lưỡi
lingua	lingua
idol	idol
triplo	ba
triplo	triple
ayrton	ayrton
servo	servo
trocas	exchanges
ong	ngo
ong	ong
ong	ngos
valorização	valuation
valorização	recovery
mack	mack
murilo	murilo
shirley	shirley
running	chạy
soco	đấm
soco	punch
sylvia	sylvia
dobro	double
dobro	đôi
sopa	soup
sopa	súp
sopa	cháo
adm	adm
adm	wmd
ricky	ricky
matias	mathias
matias	matias
matias	matthias
oeiras	oeiras
complemento	supplement
antuérpia	antwerp
oponentes	opponents
destruídos	hỏng
destruídos	hư
destruídos	xì
batidas	hê
batidas	sọc
teófilo	theophilos
vândalo	vandal
commonwealth	commonwealth
lira	lira
lira	lire
eugen	eugen
exportações	xuất
abrangendo	spanning
caminhada	trek
caminhada	hiking
chang	chang
trevor	trevor
ciro	ciro
ciro	cyrus
estudando	học
levy	levy
macaé	macaé
bloch	bloch
abelhas	ong
abelhas	ong
abelhas	bee
colombiana	colombia
inocente	tội
amarante	amarante
manuela	manuela
preencher	tô
preencher	điền
vingadores	avengers
baseball	chày
antão	antão
fat	béo
fat	mập
fat	fat
espalhadas	loãng
hector	hector
supressão	suppression
morava	kiêng
noah	noah
concha	concha
concha	vảy
concha	shell
sebastián	sebastian
adicionando	thêm
viajantes	travellers
palha	rơm
afc	afc
touro	taurus
touro	ngưu
touro	bò
touro	bull
capacete	mũ
colúmbia	columbia
nam	nam
morcego	bat
morcego	dơi
confederações	confederations
confissão	confession
confissão	confessional
ajax	ajax
python	python
python	trăn
roth	roth
digno	worthy
sainte	sainte
