hopes	esperances
shi	shi
instant	instant
falcon	falcon
falcon	falcó
loses	perd
planted	plantada
nordic	nòrdic
nordic	nordic
hannah	hannah
coordination	coordinació
hammond	hammond
dances	danses
dances	balls
barracks	caserna
barracks	barracons
qualifier	qualificador
saves	salvaments
hardcore	hardcore
precipitation	precipitació
bucharest	dosrius
bucharest	bucarest
lily	lily
surveys	enquestes
peterson	peterson
albion	albió
wicket	wicket
destinations	destinacions
destinations	destins
calm	calma
photographic	fotogràfics
photographic	fotogràfica
schmidt	schmidt
subtropical	subtropicals
contacts	contactes
asylum	asil
deserves	mereix
hyderabad	hyderabad
visa	visat
twelfth	dotzè
twelfth	dotzena
contacted	contactat
pregnancy	embaràs
blatant	flagrant
commit	cometre
commit	publica
stale	ranci
expectations	expectatives
carmen	carmen
harvest	collita
flies	mosques
kashmir	caixmir
theft	robatori
theft	furt
occupy	ocupar
occupy	ocupen
flames	flames
wesley	wesley
pga	pga
beats	batecs
beats	batega
arlington	arlington
sterling	sterling
donna	donna
petty	petty
sonic	sonic
transparent	transparent
transparent	transparents
dedication	dedicatòria
dedication	dedicació
clarence	clarence
katherine	katherine
nervous	nerviós
excluding	excloent
sunset	capvespre
anthropology	antropologia
