流派	escoles
アレクセイ	aleksei
アレクセイ	aleksei
アレクサンドリア	alexandria
ファゴット	fagot
誠実	sinceritat
コンポーネント	component
コンポーネント	components
簡潔	concisa
むつ	mutsu
トリガー	activador
トリガー	gallet
イベリア	iberia
イベリア	ibèria
武内	takeuchi
古事記	kojiki
イーグルス	eagles
イーグルス	àguiles
刻印	estampació
チューリップ	tulipes
チューリップ	tulipa
舞子	maiko
ガッツ	budells
レニングラード	leningrad
吉見	yoshimi
リップ	rip
コルト	colt
プランニング	planificació
プランニング	planejament
曲面	superfície
煉瓦	maons
煉瓦	rajoles
煉瓦	maó
ペイン	paine
ペイン	payne
ペイン	dolor
薬剤師	farmacèutic
自律	autònoma
ポツダム	potsdam
ニコル	nicol
ニコル	nicole
名字	cognoms
愛美	manami
ハーグ	haia
プロヴァンス	provença
ミーティング	reunions
ミーティング	sessió
ミーティング	reunió
ミーティング	trobada
カーペット	catifes
カーペット	catifa
モンタナ	montana
カビ	motllo
カビ	motlle
カビ	motlles
ギャップ	llacunes
ギャップ	buits
ギャップ	gap
地層	estrat
アルス	ars
シェリー	cherie
シェリー	jerez
シェリー	shelly
乗り物	vehicles
乗り物	vehicle
ダニ	paparra
ダニ	dani
暖房	calefacció
イネ	ine
数量	quantitats
数量	quantitat
倍率	escalat
江蘇省	jiangsu
中級	intermèdia
中級	intermedi
パンドラ	pandora
チャイコフスキー	txaikovski
カナリア	canaries
カナリア	canàries
カナリア	canari
テンプル	temple
偽造	falsificació
偽造	falsificacions
エメラルド	maragda
テレサ	teresa
マッカートニー	mccartney
パタゴニア	patagònia
パタゴニア	patagonia
太い	gruix
太い	gruixut
アニー	annie
ベルン	berna
コックピット	cabina
匂い	olor
精神病	psicosi
ゴメス	gomes
ゴメス	gomez
ゴメス	gómez
ゴメス	gómez
ナラ	nala
ゲーテ	goethe
無条件	incondicionalment
無条件	incondicional
オスカル	òscar
オスカル	oscar
リハーサル	assajant
ケニー	kenny
アスファルト	asfalt
祝う	celebrar
サラダ	amanides
サラダ	amanida
エクアドル	ecuatoriana
エクアドル	equador
エクアドル	ecuador
制動	frenada
和尚	osho
河北省	hebei
ルワンダ	rwanda
シューマン	schumann
シューマン	schuman
島嶼	illeta
レナード	leonard
グライダー	abid
グライダー	planejadors
ベルナール	bernard
ベルナール	bernat
エンリケ	enrique
ひどい	terrible
ひどい	terribles
ババ	baba
ババ	bubba
ポーツマス	portsmouth
オスロ	oslo
ヴァンガード	vanguardia
モニカ	mònica
モニカ	monica
モニカ	monika
スペシャリスト	especialista
リガ	riga
パワフル	poderós
パワフル	poderosos
パワフル	potent
パワフル	poderosa
パワフル	poderoses
ジョシュ	josh
スカーレット	escarlata
スカーレット	scarlett
放射能	radioactivitat
ギニー	guinees
ペレス	matamala
ペレス	perez
ペレス	pérez
泣く	ploren
泣く	cry
泣く	plorar
泣く	plorant
泣く	plor
インディー	indie
田尻	tajiri
ディエゴ	diego
観念	idea
ケネス	kenneth
バタ	bata
シャドウ	ombra
シャドウ	shadow
マンガン	manganès
教訓	lliçó
ポッター	potter
ハト	coloms
ハト	colom
スモール	petita
スモール	petites
給料	salari
給料	sou
打楽器	percussió
伝播	propagació
エドワーズ	edwards
スズ	tin
スズ	llauna
ベネット	bennett
ミミ	mimi
肩書	títol
忠雄	tadao
ダライ	dalai
コンペティション	competició
コンペティション	competència
役立つ	útils
世俗	laic
世俗	laica
成虫	imago
ドリンク	beguda
ドリンク	begudes
子宮	úter
子宮	ventre
慶喜	yoshinobu
グラスゴー	glasgow
ワタナベ	watanabe
航法	navegació
みやこ	miyako
下水道	clavegueres
カザン	kazan
シアン	cian
シェパード	shepard
贈り物	regals
贈り物	regal
退位	abdicació
ラグナ	laguna
ノヴゴロド	nóvgorod
オビ	obi
ベネディクト	benedict
エッチ	ecchi
検閲	censor
検閲	censurar
検閲	censurat
検閲	censura
オペレーション	operacions
オペレーション	funcionament
オペレーション	operació
ガーディアン	tutor
ガーディアン	guardià
ガーディアン	guardian
小麦	blat
物事	coses
ブイ	boia
描画	dibuix
ノンストップ	nonstop
パレット	palet
パレット	paleta
マギー	maggie
フューチャー	futur
狂気	bogeria
狂気	madness
狂気	bogeria
リマ	lima
懸賞	sortejos
懸賞	premis
ストーカー	perseguidor
ストーカー	assetjador
ロバ	rucs
ロバ	ase
ジュリー	julie
大麻	cannabis
大麻	cànnabis
村落	viles
村落	poble
村落	aldea
生態系	ecosistema
生態系	ecosistemes
穂積	hozumi
モニュメント	monuments
モニュメント	monument
ジャッジ	jutge
ジャッジ	jutjar
注入	infusió
ローラン	laurent
ザグレブ	zagreb
ニューカッスル	newcastle
サクラメント	sagrament
マジカル	màgic
ソート	ordena
ソート	ordenació
覚書	memoràndum
サンダー	tro
紅茶	tea
紅茶	te
デア	der
ノーラン	nolan
信じる	creure
ピッコロ	flabiol
ガマ	gama
夏樹	natsuki
ヴィンセント	vincent
ヴィンセント	vicent
ハイライト	destaca
ハイライト	destacats
ハイライト	ressaltats
ハイライト	ressalta
ハイライト	ressaltat
マシーン	màquina
ポーラ	paula
船首	proa
暗闇	foscor
暗闇	tenebres
マーチン	martín
マーチン	martí
マーチン	martin
八田	hatta
リラ	lira
リラ	rila
刺し	punyent
せり	subhastes
リベラル	liberal
プロローグ	pròleg
明美	akemi
果物	fruit
果物	fruita
果物	fruites
果物	fruits
おじ	oncle
おじ	tiet
おじ	oncles
爬虫類	rèptil
爬虫類	rèptils
芭蕉	basho
共感	empatia
五つ	five
五つ	cinc
小津	ozu
税金	impost
税金	impostos
登る	trepa
登る	escalar
隔離	aïllament
バーレーン	bahrain
球体	esfera
領事	cònsol
未熟	immadur
不便	inconvenient
ブラームス	brahms
ベルマーレ	bellmare
伸一	shinichi
キャメロン	cameron
染め	tenyit
マーキュリー	mercuri
マーキュリー	mercury
談話	discurs
砲艦	canonera
ウェディング	casaments
ウェディング	bodes
ウェディング	boda
ウェディング	casament
義昭	yoshiaki
着物	kimono
救急車	ambulància
神保	jimbo
花弁	pètals
残党	romanents
セグメント	segments
セグメント	segment
ノエル	noël
ナタリー	natalie
武井	takei
在庫	inventaris
在庫	inventari
トミ	tomi
カーティス	curtis
セブ	cebu
スプリンター	sprinter
加瀬	kase
ドミニク	dominic
ドミニク	domènec
ビルバオ	bilbao
原子核	nucli
軍縮	desarmament
軍縮	desarmada
ジングル	jingle
スプレー	esprai
ガリレオ	galileu
ポテンシャル	potencials
ポテンシャル	potencial
宮脇	miyawaki
生化学	bioquímica
スピーチ	discurs
ジャスティン	justin
シング	singh
デュッセルドルフ	düsseldorf
デュッセルドルフ	dusseldorf
タスク	tasques
タスク	tasca
ジュピター	júpiter
鞍馬	kurama
プレイオフ	eliminatòries
ユヴェントス	juventus
物品	mercaderies
物品	béns
サイレン	sirena
ルーレット	ruleta
リビング	vivint
チャド	txad
重信	shigenobu
バイオリン	violí
ジャカルタ	jakarta
直交	ortogonal
光秀	mitsuhide
インターフェース	interfície
インターフェース	interfícies
キノ	kino
即興	improvisació
コーダ	coda
ドロー	dibuixa
済州	jeju
賞品	premis
公判	judici
便宜	conveniència
収縮	contracció
カスタマイズ	personalitza
カスタマイズ	personalitza
カスタマイズ	personalització
康弘	yasuhiro
バングラデシュ	bangladesh
ペルシャ	persa
浪士	roshi
変種	varietat
リハビリテーション	rehabilitació
屈折	refracció
アクセサリー	accessoris
アクセサリー	accessori
肥料	adob
肥料	fertilitzant
フォーチュン	fortuna
ラッパー	raper
ラッパー	embolcall
検知	detecció
検知	detectats
検知	detectat
検知	detectar
検知	detecta
義弘	yoshihiro
野獣	bèstia
サメ	taurons
サメ	tauró
フレディ	freddy
湖沼	llacs
ソチ	sotxi
オペレーター	operador
オペレーター	operari
レクイエム	rèquiem
南陽	nanyo
ゲット	aconsegueix
ゲット	aconseguir
レイチェル	rachel
バンクス	banks
バンクス	bancs
ナット	nut
ナット	nat
三成	mitsunari
陽気	alegre
陽気	jolly
陽気	lúdic
ホルヘ	jorge
概説	esquema
概説	contorn
概説	resum
マグロ	tonyina
ジョイ	alegria
クッキング	cuinar
クッキング	cocció
リーク	filtracions
プッシュ	push
プッシュ	empeny
ファンク	funk
キープ	mantén
グアテマラ	guatemala
フライデー	divendres
ダイバー	bussejador
ダイバー	diver
ダイバー	bussejadors
可視	visible
可視	visibles
メタン	metà
長方形	rectangles
長方形	rectangle
長方形	rectangular
パイプライン	gasoducte
有益	beneficioses
有益	beneficiós
有益	beneficiosa
河南省	henan
疾病	malaltia
迷路	laberint
コントローラー	interventors
コントローラー	controlador
形容詞	adjectiu
形容詞	adjectius
アスリート	atleta
アスリート	esportista
アスリート	esportistes
アスリート	atletes
キャラバン	caravana
ユーリ	iuri
ホルシュタイン	holstein
手足	extremitats
丸い	ronda
ジェラルド	gerald
変奏曲	variacions
ライデン	leiden
秀忠	hidetada
カーテン	cortina
カーテン	cortinatges
カーテン	cortines
嫌悪	fastiguejat
嫌悪	fàstic
嫌悪	disgust
豆腐	tofu
美馬	mima
ペレ	pele
昨日	ahir
ブルネイ	brunei
コンベンション	conveni
コンベンション	convenció
人道	humanitària
人道	humanitari
昌平	changping
引き出し	calaix
引き出し	calaixos
ロジェ	roger
課金	càrrec
我慢	paciència
レクリエーション	recreació
レクリエーション	esbarjo
レクリエーション	oci
コンパイル	compilar
コンパイル	compilació
コンパイル	recopilatori
トスカーナ	toscana
はるみ	harumi
史記	shiji
カルメン	carmen
超新星	supernova
蕎麦	soba
命題	proposició
林田	hayashida
ファイターズ	lluitadors
蔵王	zao
サーベル	sabre
ファウスト	faust
ファシズム	feixista
ファシズム	feixisme
ファシズム	feixistes
テナー	tenor
ハルビン	harbin
曼荼羅	mandala
組み込み	incrustat
組み込み	encastat
ズボン	pantaló
ズボン	pantalons
マインツ	magúncia
日の出	albada
カリキュラム	currículums
カリキュラム	curriculum
カリキュラム	currículum
プラトン	plató
タップ	aixetes
タップ	aixeta
タップ	toca
タップ	tap
欠如	manca
欠如	falta
ロミオ	romeu
合理化	racionalització
定量	quantitatiu
定量	quantitatius
ヒデ	oculta
ヒデ	amaga
ブルックス	brooks
遼寧省	liaoning
ピエトロ	pietro
触手	tentacle
触手	tentacles
ドク	doc
雅也	masaya
チタン	titani
和睦	conciliació
生計	subsistència
姶良	aira
悲しい	trista
悲しい	sad
悲しい	trist
真司	shinji
長政	nagamasa
ステロイド	esteroides
ハガキ	postal
アトレティコ	atlético
取り出し	expulsa
高座	koza
ダイス	daus
アレクサンドラ	alexandra
変調	modulació
宴会	banquet
スニーカー	bambes
ノミ	puça
ノミ	puces
ファイナンス	finances
アニメイト	anima
偏見	prejudici
因みに	circumstancialment
和義	kazuyoshi
ファルコン	falcon
ファルコン	falcó
ウガンダ	uganda
許す	perdó
許す	perdonar
カメルーン	camerun
牡丹	peònia
コンプリート	completa
コンプリート	complet
スーパースター	superstar
ホステス	amfitriona
ダイビング	busseig
ダイビング	salts
ダイビング	immersió
ジャニ	jani
リンチ	lynch
バビロン	babilònia
カーネギー	carnegie
ウェリントン	wellington
リザ	liza
マーラー	mahler
カストロ	castro
