অবাধ	rebel
মার্কস	značiek
মার্কস	označenia
মার্কস	značky
পকেট	vreckové
পকেট	vrecko
পকেট	vrecka
পকেট	vrecku
পকেট	vrecká
বোর	bohrov
আনুষঙ্গিক	doplnky
আনুষঙ্গিক	príslušenstvo
কাঁধ	plece
কাঁধ	rameno
কাঁধ	ramena
কাঁধ	plecia
কাঁধ	ramená
স্পিরিট	liehoviny
স্পিরিট	duchovia
স্পিরিট	destiláty
স্পিরিট	duchov
স্পিরিট	duše
স্পিরিট	duchu
স্পিরিট	ducha
স্পিরিট	duša
স্পিরিট	duch
স্পিরিট	spirit
টিকেট	lístok
ডিজেল	naftu
ডিজেল	diesel
ডিজেল	dieselové
ডিজেল	nafta
মোস্ট	najviac
মোস্ট	väčšina
স্নেহ	náklonnosti
স্নেহ	náklonnosť
শান	shan
মার্ক্স	marx
ছোঁয়া	dotýkať
ছোঁয়া	dotyk
ছোঁয়া	dotykom
ছোঁয়া	dotknúť
অঙ্গীকার	sľubujem
অঙ্গীকার	sľub
অঙ্গীকার	odhodlanie
অঙ্গীকার	záväzok
অঙ্গীকার	angažovanosť
অঙ্গীকার	prísľub
হোস্ট	hosť
হোস্ট	hostiteľskej
হোস্ট	hostiteľa
হোস্ট	host
হোস্ট	hostiteľ
হোস্ট	hostiteľov
ইভা	eva
ইভা	predvečer
ইভা	eve
বিস্ফোরিত	vybuchnúť
বিস্ফোরিত	vybuchol
বিস্ফোরিত	vybuchlo
সরানো	presunuté
ড্রাম	bubon
ড্রাম	bicie
ড্রাম	bubna
দড়ি	lano
দড়ি	povraz
দড়ি	lana
টিউটোরিয়াল	návody
টিউটোরিয়াল	výučba
টিউটোরিয়াল	tutorial
টিউটোরিয়াল	návod
পাসপোর্ট	pas
পাসপোর্ট	pasy
ফেরি	feri
ফেরি	trajekt
উল্লম্ব	vertikálna
উল্লম্ব	vertikálne
উল্লম্ব	vertikálny
সমাবর্তন	zvolaní
সমাবর্তন	zvolanie
অগ্রগামী	pionier
ফিকে	nudné
প্রিন্টার	tlačiareň
প্রিন্টার	tlačiarne
প্রিন্টার	tlačiarní
প্রিন্টার	tlačiarne
জাস্টিস	spravodlivosť
জাস্টিস	justice
জাস্টিস	spravodlivosti
মার্টিনেজ	martinez
ফুসফুসের	pľúca
ফুসফুসের	pľúcne
ফুসফুসের	pľúc
গেজেট	vestník
রেসিং	preteky
রেসিং	závodná
রেসিং	pretekať
রেসিং	dostihy
যাদু	magické
যাদু	magic
যাদু	čary
যাদু	mágia
যাদু	kúzlo
এয়ারওয়েজ	airways
শার	shar
আইভি	ivy
সাম	súčet
সাম	suma
পিস্তল	pištoľ
কেরি	kerry
দুধের	mlieka
দুধের	mlieko
পরজীবী	parazitické
পরজীবী	parazit
কাঁটার	tŕne
জ্যাজ	jazz
পাজ	paz
আর্সেনিক	arzénu
আর্সেনিক	arzén
আর্সেনিক	francúzske
আর্সেনিক	francúzština
আর্সেনিক	francúzsky
আর্সেনিক	francúz
আর্সেনিক	francúzska
বিস্মিত	prekvapilo
বিস্মিত	prekvapený
বিস্মিত	prekvapená
বিস্মিত	prekvapil
বিস্মিত	prekvapení
বিস্মিত	šokovaný
বিস্মিত	šokovaná
আয়না	zrkadlá
আয়না	zrkadiel
আয়না	zrkadla
আয়না	zrkadlo
অঞ্চলগুলি	regióny
পয়সা	minca
পয়সা	mince
পয়সা	mincu
পার্কিং	parkovisko
পার্কিং	parkovanie
ক্ষুব্ধ	pobúrený
ক্ষুব্ধ	nahneval
মাম্বা	mamba
কম্পটন	compton
সর্বোত্তম	najvyššia
সর্বোত্তম	najvyššie
সর্বোত্তম	najvyššej
সর্বোত্তম	najvyšší
সর্বোত্তম	najlepsie
সর্বোত্তম	najlepšie
সর্বোত্তম	najlepší
সর্বোত্তম	najlepšia
সর্বোত্তম	najlepsi
সর্বোত্তম	výborná
সর্বোত্তম	vynikajúca
সর্বোত্তম	vynikajúce
বাক্যে	rozsudok
বাক্যে	vetu
বাক্যে	vety
বাক্যে	veta
পরিকাঠামো	infraštruktúra
পরিকাঠামো	infraštruktúru
ভিজুয়াল	vizuálne
ভিজুয়াল	vizuálna
ভিজুয়াল	vizuálny
অপর্যাপ্ত	nedostatočné
অপর্যাপ্ত	nedostatočný
অপর্যাপ্ত	nedostatočná
অপর্যাপ্ত	nedostatočná
অপর্যাপ্ত	neprimerané
অপর্যাপ্ত	nedostatočný
অপর্যাপ্ত	neprimeraná
অপর্যাপ্ত	nedostatočné
হি	hee
অবজেক্ট	namietať
অবজেক্ট	predmet
অবজেক্ট	objekt
অবজেক্ট	objektu
অবজেক্ট	objekty
অবজেক্ট	objektov
অবজেক্ট	predmety
পোলার	polárne
মনস্তাত্ত্বিক	psychologický
মনস্তাত্ত্বিক	psychické
মনস্তাত্ত্বিক	psychologické
সিল্ক	hodvábu
সিল্ক	hodváb
অনুকরণ	simulácia
অনুকরণ	simulácie
অনুকরণ	simuláciu
অনুকরণ	simulované
রুডলফ	rudolph
রুডলফ	rudolf
কেলি	kelly
তীক্ষ্ণ	ostrý
তীক্ষ্ণ	ostré
তীক্ষ্ণ	ostro
তীক্ষ্ণ	ostrá
থিওডোর	theodore
ব্র্যাড	brad
রোভার	rover
টার্নার	turner
খরা	sucha
খরা	sucho
জোরে	nahlas
জোরে	hlasné
জোরে	hlasno
বক	odchýlky
বক	odchýlka
বক	heron
বেলারুশ	bielorusko
কঙ্কাল	kostra
কঙ্কাল	kostry
কঙ্কাল	kostru
পাত্রের	koše
পাত্রের	hrnce
ফিদে	fide
ডেরেক	derek
নুর	noor
শোষিত	využité
শোষিত	využívaná
শোষিত	absorbovaný
শোষিত	absorbuje
টিয়া	tia
টিয়া	papagáj
টিয়া	papagáj
রূপালী	strieborný
রূপালী	striebro
রূপালী	strieborná
রূপালী	silver
ঘুড়ি	haja
ক্যাবিনেট	skriňa
ক্যাবিনেট	kabinetu
ক্যাবিনেট	skrinka
উইন্ডসর	windsor
ডকুমেন্ট	doklad
ডকুমেন্ট	dokument
ডকুমেন্ট	písomnosť
ডকুমেন্ট	dokumentu
ডকুমেন্ট	dokumenty
ডকুমেন্ট	doklady
ডকুমেন্ট	dokumentov
ডকুমেন্ট	písomnosti
কর্মসংস্থান	zamestnanie
কর্মসংস্থান	zamestnanosť
ঘাসের	tráva
ঘাসের	tráve
ঘাসের	trávu
ঘাসের	trávy
বলছে	hovorí
বলছে	vraví
লাফ	skočiť
লাফ	skok
লাফ	skákať
লাফ	preskočiť
লাফ	skočila
লাফ	skočil
লাফ	vyskočil
লাফ	skočili
তৃণভূমি	medovina
গানগুলি	pesničky
গানগুলি	piesne
গানগুলি	skladby
গানগুলি	piesní
আইওএস	ios
উজ্জ্বলতা	jasu
উজ্জ্বলতা	jas
ডেবিয়ান	debianu
ডেবিয়ান	debian
যাজক	pastor
যাজক	farár
যাজক	duchovenstvo
অনুভূতির	pocity
অনুভূতির	city
অনুভূতির	citov
যোগফল	súčet
যোগফল	suma
পাখা	ventilátor
পাখা	fanúšik
পাখা	fan
পাখা	fanúšika
মাংসের	mäsa
মাংসের	mäso
ফাটল	praskliny
ফাটল	trhliny
ফাটল	trhlina
ফাটল	crack
সন্ত্রাসবাদী	teroristu
সন্ত্রাসবাদী	terorista
সন্ত্রাসবাদী	teroristom
সন্ত্রাসবাদী	teroristami
সন্ত্রাসবাদী	teroristi
সন্ত্রাসবাদী	teroristov
মতবিরোধ	nezhody
মতবিরোধ	nesúhlas
গ্লাসগো	glasgow
ফোটন	fotón
নির্ভুল	perfektný
নির্ভুল	perfektné
নির্ভুল	dokonalá
নির্ভুল	perfektne
নির্ভুল	perfektná
একরকম	podobní
ইসিবি	ecb
গিল	gill
গিল	gil
সজীব	čerstvé
সজীব	čerstvú
সজীব	čerstvá
সজীব	čerstvý
সজীব	fresh
প্রাইম	prime
রোপণ	výsadbu
রোপণ	pestovanie
রোপণ	vysadené
উত্তরপশ্চিম	severozápadnom
শহরতলি	prímestskej
কেনেথ	kenneth
অ্যালগোরিদম	algoritmus
অ্যালগোরিদম	algoritmu
নিছক	čírou
নিছক	holá
হোমো	homo
সন্নিবেশিত	vložené
সন্নিবেশিত	vložená
সন্নিবেশিত	vložený
প্যাকেট	balíčkov
প্যাকেট	balíčky
কাছিম	korytnačka
আল্প	alpes
আল্প	alpsko
বর্গাকার	štvorcový
বর্গাকার	námestie
বর্গাকার	štvorec
বর্গাকার	square
বর্গাকার	štvorcových
কাঁচা	surový
কাঁচা	surové
কাঁচা	raw
জিব্রাল্টার	gibraltár
নিরো	niro
নিরো	nero
রাসূল	messenger
রাসূল	posol
রাসূল	apoštol
অস্থির	nepokojných
উড়োজাহাজ	lietadlo
উড়োজাহাজ	lietadlom
কালেক্টর	zberateľských
কালেক্টর	zberateľ
সালমা	salma
নবাগত	nováčik
সংক্রামক	infekčnej
সংক্রামক	infekčných
সংক্রামক	infekčné
গণ্ডার	nosorožec
বর্ম	pancier
বর্ম	výzbroj
বর্ম	brnenie
ব্যস্ততম	najrušnejších
ফ্লোরেন্স	florence
সরিষা	horčica
ভোরের	dawn
ভোরের	úsvitu
ভোরের	úsvit
স্লোভেনিয়া	slovinsko
চিতা	gepard
চিতা	leopard
সমৃদ্ধির	prosperita
সমৃদ্ধির	blahobyt
সমৃদ্ধির	prosperitu
সমৃদ্ধির	prosperity
যাচ্ছেন	ideme
যাচ্ছেন	ide
যাচ্ছেন	ideš
প্লেটো	plato
খোসা	kôry
খোসা	kôra
মালি	mali
ডাকাত	lupičov
ডাকাত	banditov
নেইমার	neymar
গ্রামার	gymnázium
গ্রামার	gramatiku
ফ্রান্সিস্কো	francisco
ফ্রান্সিস্কো	francisca
অন্যান্যরা	iný
অন্যান্যরা	ostatný
অন্যান্যরা	iní
অন্যান্যরা	iné
অন্যান্যরা	ostatné
বিচ	pláže
বিচ	pláž
বিচ	pláži
বিচ	beach
ফেলিক্স	felix
ভ্রমন	výjazd
ভ্রমন	výlet
ভ্রমন	trip
ওবামা	obamu
ওবামা	obama
জাগ্রত	prebudiť
জাগ্রত	hore
জাগ্রত	prebral
বান্ধবী	priateľka
ইসলামাবাদ	islamabad
ছোটখাটো	miniatúrne
ধারালো	ostrý
ধারালো	ostré
ধারালো	ostro
ধারালো	ostrá
ভিটা	vita
পেঁয়াজ	cibuľa
পেঁয়াজ	cibule
পেঁয়াজ	cibuľu
পেঁয়াজ	cibuľa
পেঁয়াজ	cibule
পেঁয়াজ	cibuľu
সুসজ্জিত	zariadený
সুসজ্জিত	zariadené
অসহায়	chudobných
অসহায়	chudák
অসহায়	chudobní
অসহায়	bezmocný
অসহায়	úbohý
হসপিটাল	nemocnice
হসপিটাল	nemocnici
হসপিটাল	nemocnica
হিরোশিমা	hirošime
হর	har
হর	menovateľ
ট্রি	strom
ট্রি	stromček
ট্রি	strome
কানের	ucha
কানের	uchu
কানের	ucho
রোদ	slniečko
রোদ	slniečka
দেখলাম	marťan
দেখলাম	pílu
দেখলাম	videli
দেখলাম	videla
দেখলাম	videl
প্রামাণ্যচিত্র	dokument
ফরওয়ার্ড	dopredu
ফরওয়ার্ড	vpred
স্টেফি	steffi
রেবেকা	rebeka
রেবেকা	rebecca
হিপ	hip
হিপ	bok
হিপ	boky
চাও	chao
চাও	chcieť
চাও	chceš
চাও	chcu
চাও	chces
চাও	chcem
ম্যাথিউ	matthew
ম্যাথিউ	matúš
ম্যাথিউ	mathieu
পাম্প	čerpadlo
পাম্প	pumpa
পাম্প	čerpadiel
পাম্প	pumpy
পাম্প	čerpadlá
নিষ্পত্তি	vyrovnať
নিষ্পত্তি	usadiť
এভিয়েশন	letecká
এভিয়েশন	letectvo
কাস্পিয়ান	kaspického
নিকোলা	nicolas
নিকোলা	nicola
নিকোলা	nikola
নিন	brať
নিন	vziať
নিন	zober
নিন	zoberte
মিং	ming
দৈত্য	obor
দৈত্য	obrovský
দৈত্য	obrie
পোর্টল্যান্ড	portlande
এক্সপ্লোরার	explorer
ঝর্ণা	prameň
ঝর্ণা	jar
ঝর্ণা	jarná
ঝর্ণা	jaro
ঝর্ণা	jarné
ঝর্ণা	vodopád
ঝর্ণা	fontána
ঝর্ণা	fontáne
ঝর্ণা	fontány
ঝর্ণা	vodopády
প্রদাহ	zápal
অনুভূমিক	horizontálny
অনুভূমিক	horizontálne
অনুভূমিক	horizontálna
স্বশাসিত	autonómna
স্বশাসিত	samostatná
স্বশাসিত	autonómne
ব্যাধি	porucha
দামি	draho
দামি	drahý
দামি	drahé
টেকসই	udržateľný
টেকসই	udržateľné
টেকসই	trvalý
টেকসই	trvalé
ইন্টেলিজেন্স	inteligencia
ইন্টেলিজেন্স	spravodajstvo
ইন্টেলিজেন্স	inteligenciu
ইন্টেলিজেন্স	spravodajská
নিশ্চয়	vskutku
নিশ্চয়	veru
নিশ্চয়	skutočne
নিশ্চয়	určite
নিশ্চয়	isto
মিনেসোটা	minnesote
হাডসন	hudson
স্পট	mieste
স্পট	miesto
স্পট	spot
গোলাবর্ষণ	bombardovanie
ব্যর্থতা	zlyhanie
ব্যর্থতা	neúspech
সমাধিস্থ	spopolnený
রিকো	rico
নাক্ষত্রিক	hviezdna
নাক্ষত্রিক	hviezdny
জোরালো	nahlas
জোরালো	hlasné
জোরালো	hlasno
আবশ্যক	vyžadované
আবশ্যক	požadované
আবশ্যক	vyžaduje
আবশ্যক	požadovaná
হোবার্ট	hobart
আপেল	jablko
আপেল	jablkový
আপেল	apple
আপেল	jablká
বারান্দা	balkón
বারান্দা	balkóne
বন্ধুরা	priatelia
বন্ধুরা	priateľov
বন্ধুরা	kamaráti
নিরীহ	hlúpe
নিরীহ	nevinné
নিরীহ	nevinne
নিরীহ	nevinná
নিরীহ	nevinný
নিরীহ	nevinní
দুনিয়া	sveta
দুনিয়া	svetová
দুনিয়া	svete
দুনিয়া	svet
দুনিয়া	svetom
দুনিয়া	world
স্বেচ্ছাসেবী	dobrovoľníci
স্বেচ্ছাসেবী	dobrovoľník
স্বেচ্ছাসেবী	dobrovoľníkov
স্বেচ্ছাসেবী	dobrovoľníkom
স্বেচ্ছাসেবী	dobrovoľníctvo
স্বেচ্ছাসেবী	dobrovoľník
ভেড়ার	jahňacie
ভেড়ার	baránok
সুস্বাদু	chutná
সুস্বাদু	chutné
সুস্বাদু	chutný
সুস্বাদু	vynikajúca
সুস্বাদু	chutné
সুস্বাদু	vynikajúce
ইনডোর	vnútri
ইনডোর	vnútorná
ইনডোর	domáca
ইনডোর	vnútorné
ইরাকী	irackých
ইরাকী	iračania
তুর্কমেনিস্তান	turkménsko
ভারোত্তোলন	vzpieranie
শিকল	putá
শিকল	okovy
শিকল	reťaze
শিকল	reťazce
শারীরিকভাবে	fyzicky
শারীরিকভাবে	fyzikálne
বোল	misku
বোল	miska
বোল	misa
বোল	bol
বিভ্রান্তি	zmätenosť
বিভ্রান্তি	nejasnosti
বিভ্রান্তি	zmätok
বিশ্লেষন	analytická
বিশ্লেষন	analytické
বিশ্লেষন	analytický
এক্সিকিউটিভ	výkonná
এক্সিকিউটিভ	výkonný
ভিউ	výhľad
ভিউ	zobraziť
ভিউ	pohľad
ভিউ	zobrazenie
আর্ক	arche
আর্ক	archy
আর্ক	oblúk
পোকার	poker
হুইল	koleso
হুইল	kolesa
হুইল	kolieska
হুইল	kolesá
দ্রৌপদী	draupadí
লাগবে	treba
লাগবে	potrebné
লাগবে	potreba
লাগবে	potrebovať
দেখেছেন	videli
দেখেছেন	videla
দেখেছেন	videl
দেখেছেন	sledovaní
দেখেছেন	pozerali
দেখেছেন	sledované
দেখেছেন	sledoval
দেখেছেন	pozeral
বাড়ে	rastie
ঈমান	verím
ঈমান	veriť
ঈমান	ver
ঈমান	veria
ঈমান	presvedčený
খুচরা	maloobchod
খুচরা	maloobchodných
খুচরা	maloobchodné
উইলি	willy
উইলি	willie
ব্রীজ	most
ব্রীজ	mostík
ব্রীজ	mosta
ব্রীজ	bridge
প্রিজম	hranol
ডালে	dale
মেগা	mega
প্রান্তবিন্দু	vrcholom
জুয়েল	jewel
জুয়েল	klenot
উদ্বেগ	starosti
উদ্বেগ	obavy
উদ্বেগ	obáv
উদ্বেগ	znepokojenie
উদ্বেগ	úzkosť
উদ্বেগ	obavy
উদ্বেগ	znepokojenie
সমাজকে	spolok
সমাজকে	spoločnosť
নিঃশ্বাস	dych
নিঃশ্বাস	dychom
নিঃশ্বাস	nádych
গালে	líce
গালে	líca
মানমন্দির	observatórium
সন্ধ্যার	večer
সন্ধ্যার	večerný
সন্ধ্যার	večerné
সন্ধ্যার	večerná
হেনরিক	henrik
প্যারাগুয়ে	paraguaj
আইল	isle
রামোন	ramon
বৈধতা	platnosť
কার্টুনিস্ট	karikaturista
দক্ষিণাঞ্চলীয়	južný
দক্ষিণাঞ্চলীয়	juhu
দক্ষিণাঞ্চলীয়	južná
দক্ষিণাঞ্চলীয়	južné
দক্ষিণাঞ্চলীয়	južnej
রাজকন্যা	princezná
রাজকন্যা	princezna
ক্রুশ্চেভ	chruščov
হান্টার	hunter
হান্টার	lovec
হ্যাকার	hacker
চক্ষু	oka
চক্ষু	eye
চক্ষু	oku
চক্ষু	okom
চক্ষু	oko
লজিক	logika
লজিক	logiky
লজিক	logiku
লজিক	logické
হার্ভে	harvey
বহুবচন	plurál
লক	lock
লক	zámok
লক	zamknúť
পাসওয়ার্ড	heslo
পাসওয়ার্ড	heslá
চুন	chun
হাইব্রিড	hybridné
হাইব্রিড	kríženec
হাইব্রিড	hybrid
বার্ন	bern
নটর	notre
তাইপেই	taipei
নর্তকী	tanečnica
নর্তকী	tanečník
নর্তকী	tanečníci
ছোপ	odtieň
তিব্বতীদের	tibeťanov
আলোকচিত্রী	fotografa
আলোকচিত্রী	fotograf
আলোকচিত্রী	fotografka
মাল্টা	malta
শপিং	nakupovať
শপিং	nákupy
শপিং	nákupný
শপিং	nakupovanie
শপিং	nákupné
মিথেন	metánu
মিথেন	metán
সংযুক্তি	prílohu
সংযুক্তি	dodatok
সংযুক্তি	upevnenie
সংযুক্তি	príloha
সংযুক্তি	príloh
সংযুক্তি	prílohy
টিস্যু	tkanivo
টিস্যু	tkaniva
অরোরা	aurora
পাওলো	paulo
আলেপ্পো	aleppo
সন্ন্যাসীদের	mníchov
সন্ন্যাসীদের	mnísi
গতানুগতিক	typický
গতানুগতিক	typická
গতানুগতিক	typické
গতানুগতিক	typicky
শক	šoku
শক	šok
বোধগম্য	pochopil
বোধগম্য	rozumel
বোধগম্য	pochopili
বোধগম্য	rozumela
বোধগম্য	pochopila
বোধগম্য	zrozumiteľné
বোধগম্য	pochopiteľné
ফ্লাইং	lietania
ফ্লাইং	lietanie
ফ্লাইং	lietajúce
জামাইকার	jamajského
জোনস	jones
জোনস	jonesa
জোনস	jonesová
ফ্লেচার	fletcher
চশমা	okuliare
চশমা	okuliare
চশমা	sklá
চশমা	poháre
ভোল্টেজ	napätia
ভোল্টেজ	napätie
উন্মোচিত	odhalený
উন্মোচিত	odhalený
উন্মোচিত	vystavená
উন্মোচিত	odhalené
উন্মোচিত	vystavený
উন্মোচিত	vystavené
এডগার	edgar
এলিয়ট	elliott
এলিয়ট	eliot
এলিয়ট	elliot
সমকক্ষ	rovesníkov
সত্তর	sedemdesiat
সামি	sami
চামচ	lyžička
চামচ	lyžičku
চামচ	lyžice
লেকচার	prednáška
লেকচার	prednášky
লেকচার	prednášku
লেকচার	lekcia
ইসরাইল	izraela
ইসরাইল	izrael
ইসরাইল	izraelom
দেখেছি	videli
দেখেছি	videla
দেখেছি	videl
হটে	haute
যুদ্ধবিরতি	prímerie
তিমি	veľryby
তিমি	veľryba
তিমি	veľryby
অ্যালকোহল	lieh
অ্যালকোহল	alkoholu
অ্যালকোহল	alkohol
অ্যালকোহল	alkoholom
অবরুদ্ধ	zablokovaný
অবরুদ্ধ	blokované
অবরুদ্ধ	zablokované
তত্ত্বাবধান	dohľad
তত্ত্বাবধান	dozor
বুকার	booker
কট	kot
ফিতা	stuhy
ফ্যাক্টরি	továreň
চকচকে	lesklý
বিস্ময়	prekvapenie
বিস্ময়	prekvapiť
বিস্ময়	zázraky
বিস্ময়	divy
বাধার	prekážok
বাধার	prekážky
লেস	les
লেস	lace
মেটে	pečeň
মেটে	pečene
বাতিঘর	majáku
বাতিঘর	maják
জারণ	korózii
মিষ্টান্ন	dezert
মিষ্টান্ন	zákusok
কান্দাহার	kandahár
নিক্ষিপ্ত	cast
নিক্ষিপ্ত	obsadenie
রেস্টুরেন্ট	reštaurácie
রেস্টুরেন্ট	reštaurácia
হল্যান্ড	holland
কিটস	zostavy
কিটস	súpravy
কিটস	keats
বেলুন	balón
বেলুন	balóny
বেলুন	balónov
নাস	nas
পরিসর	rozsah
পরিসর	rozpätie
পরিসর	rozsahu
রিডার	čitateľov
রিডার	čitatelia
রিডার	čitateľ
রিডার	reader
ট্যাক্সি	taxi
ট্যাক্সি	taxíkom
ট্যাক্সি	taxík
করুণ	úbohé
গিলবার্ট	gilbert
অধ্যয়নরত	štúdium
অধ্যয়নরত	študuje
লাফিয়ে	skočiť
লাফিয়ে	skok
লাফিয়ে	skákať
লাফিয়ে	preskočiť
ছুড়ে	hod
ছুড়ে	hoď
ছুড়ে	hodiť
ছুড়ে	hádzať
অ্যাটলেটিকো	atlético
সাদ্দাম	saddáma
গাড়ী	auto
গাড়ী	auta
গাড়ী	car
গাড়ী	autom
জ্বলে	svieti
জ্বলে	svietiť
জ্বলে	žiariť
জ্বলে	lesk
নাইরোবি	nairobi
ডিসকভারি	objavenie
ডিসকভারি	objav
হীরা	diamond
হীরা	diamant
অপব্যবহার	zneužitie
অপব্যবহার	týranie
অপব্যবহার	zneužitia
অপব্যবহার	zneužívanie
নিকারাগুয়া	nikarague
নিকারাগুয়া	ruska
নিকারাগুয়া	rusko
আপিল	odvolanie
আপিল	odvolania
চিয়াং	chiang
সিন্ধ	sindh
লোকে	ludia
লোকে	ludi
লোকে	ľudia
লোকে	ľudí
লোকে	people
প্যালেস্টাইন	palestíny
প্যালেস্টাইন	palestíne
কেনো	preco
কেনো	prečo
কেনো	načo
হাজি	haji
উপকারী	prospešné
উপকারী	užitočný
উপকারী	užitočné
উপকারী	užitočná
ডো	doe
সুখের	štastie
সুখের	šťastie
আর্দ্রতা	vlhkosť
আর্দ্রতা	vlhkosti
আর্দ্রতা	vlhkosť
নির্জন	opustená
নির্জন	opustený
নির্জন	osamelá
নির্জন	osamelo
নির্জন	osamelý
সোমালিয়া	somálsko
সোমালিয়া	somálsku
সোমালিয়া	sýria
সোমালিয়া	somálska
বিক্ষিপ্ত	rozptýlené
বিক্ষিপ্ত	rozptýliť
মহৎ	mocná
মহৎ	mocný
মহৎ	mocné
মহৎ	veľkolepá
মহৎ	veľkolepý
ধারণকারী	obsahujúce
ধারণকারী	obsahujúca
ধারণকারী	obsahujúci
ধারণকারী	nádoba
ধারণকারী	kontajner
ধারণকারী	kontajnery
তীরন্দাজ	lukostrelci
মজা	fun
মজা	zábava
মজা	sranda
মজা	srandy
পশম	kožušiny
পশম	kožušín
পশম	kožuch
পশম	srsť
সতর্কতা	výstraha
সতর্কতা	varuje
সতর্কতা	varovanie
সতর্কতা	upozornenie
সতর্কতা	opatrnosť
সতর্কতা	opatrne
সতর্কতা	opatrnosti
সতর্কতা	upozornenia
সতর্কতা	zápisy
সতর্কতা	upozorniť
সতর্কতা	zápis
সতর্কতা	upozornenie
কেক	koláč
কেক	torta
কেক	koláče
পান্না	emerald
সাফারি	safari
ক্রোমোজোম	chromozómové
কোরে	corey
মনোবল	výdrž
মনোবল	vytrvalosť
অবিস্মরণীয়	nezabudnuteľný
অবিস্মরণীয়	nezabudnuteľné
নরম্যান	norman
কনরাড	conrad
কনরাড	konrad
নিকোলাই	nikolaj
জয়েন্ট	kĺb
জয়েন্ট	joint
জয়েন্ট	spoločné
জয়েন্ট	spoločná
জয়েন্ট	spoločný
বহিষ্কৃত	vylúčený
বহিষ্কৃত	vyhodený
কলি	kali
কলি	kólia
কলি	bud
রেজিস্টার	registre
রেজিস্টার	evidencie
রেজিস্টার	registrov
রেজিস্টার	evidencia
রেজিস্টার	registrovať
রেজিস্টার	register
রেজিস্টার	zaregistrovať
রেজিস্টার	registrácia
ফিদেল	fidel
স্ট্রোক	mŕtvicu
স্ট্রোক	zdvih
ব্যাথা	bolesti
ব্যাথা	bolesť
ব্যাথা	bolí
ফ্রাই	fry
কীটনাশক	pesticídy
কীটনাশক	pesticídov
কীটনাশক	pesticídy
কীটনাশক	pesticídov
বক্ররেখা	krivku
বক্ররেখা	krivky
বক্ররেখা	krivka
বক্ররেখা	krivky
গেটস	gates
গেটস	brány
বর্মন	barman
এক্সটেনশন	predĺženie
এক্সটেনশন	rozšírení
এক্সটেনশন	predĺženia
এক্সটেনশন	rozšírenia
এক্সটেনশন	predĺženie
এক্সটেনশন	rozšírenie
এক্সটেনশন	rozšírenia
ব্রাউনের	brown
ব্রাউনের	hnedé
ব্রাউনের	hnedý
ব্রাউনের	hnedá
ব্রাউনের	braun
সুজা	souza
সুজা	suja
ক্রাইস্টচার্চ	christchurch
ধূমপান	fajčiť
ধূমপান	fajčenie
লুইজ	luiz
ধ্বংসাত্মক	deštruktívne
সমানভাবে	rovnako
ভূগোলবিদ	geograf
গোবর	hnoj
মেহতা	mehta
ইয়োহানেস	johannes
প্রমিত	štandardný
প্রমিত	štandard
প্রমিত	norma
প্রমিত	štandardné
দই	jogurt
দই	tvaroh
লিওনার্ড	leonard
বর্ণহীন	bezfarebná
বর্ণহীন	bezfarebné
বর্ণহীন	bezfarebný
অপমান	hanba
অপমান	poníženie
অপমান	urážlivé
অপমান	uraziť
অপমান	urážka
অপমান	urážať
অপমান	urážku
নেত্রী	vodca
নেত্রী	leader
নেত্রী	líder
বিচলিত	nervózna
বিচলিত	nervózny
বিচলিত	nahnevaný
বিচলিত	rozrušená
বিচলিত	nahnevaná
রাইডার	raider
রাইডার	ryder
রাইডার	jazdec
প্রশিক্ষিত	trénovaný
প্রশিক্ষিত	vyškolení
প্রশিক্ষিত	trénoval
পূর্বাভাস	predpoveď
পূর্বাভাস	prognóza
ল্যান্স	lance
সোয়ান	labuť
কুকুরের	psíka
কুকুরের	psa
কুকুরের	psík
কুকুরের	psie
কুকুরের	pes
মাছরাঙা	rybárik
মেয়ার	meyer
কুসংস্কার	predsudky
কুসংস্কার	predsudkov
দাসী	slúžka
সূচী	obsahu
সূচী	obsah
সূচী	obsahom
টিনের	tin
টিনের	cínu
বাব	bab
ম্যাট্রিক্স	matrix
নির্যাতিত	zneužil
নির্যাতিত	zneužívané
বিন্যাসে	tvarované
এফবিআই	fbi
ড্রামার	bubeník
ম্যাডিসন	madison
প্রাপ্তবয়স্কদের	dospelí
প্রাপ্তবয়স্কদের	dospelé
প্রাপ্তবয়স্কদের	dospelý
টমেটো	paradajky
প্রতিলিপি	kópie
ক্লায়েন্ট	klienta
ক্লায়েন্ট	klient
হাঁটা	kráčať
হাঁটা	chôdza
হাঁটা	chodenie
হাঁটা	chôdzu
হাঁটা	prechádzka
হাঁটা	kráčať
হাঁটা	peši
হাঁটা	chôdza
হাঁটা	prechádzka
টানেল	tunela
টানেল	tunel
পটাশিয়াম	draslík
পটাশিয়াম	draselný
পটাশিয়াম	draslíka
পিয়ার	móle
পিয়ার	mólo
পিয়ার	pier
পরামর্শক	konzultant
পরামর্শক	poradcu
পরামর্শক	poradca
জিনিসপত্র	veci
পুরুষেরা	mužov
পুরুষেরা	men
পুরুষেরা	muži
পুরুষেরা	pánske
এক্সবক্স	xbox
পাড়ার	štvrť
পাড়ার	susedstvo
পাড়ার	okolie
পাড়ার	okolia
পাড়ার	štvrti
ম্যানিলা	manile
জ্যামাইকা	jamajka
মুরগির	kurča
মুরগির	sliepka
