न्यायाधीशों	நீதிபதிகள்
बिज़नेस	வியாபாரம்
प्रतिबद्ध	செய்து
कॉलोनी	காலனி
आवंटन	ஒதுக்கீடு
बाला	பால
बाला	பாலா
बद्रीनाथ	பத்ரிநாத்
कार्लोस	கார்லோஸ்
अनीता	ஆலிஸ்
अनीता	அனிதா
अनोखा	தள்ளியிருக்கும்
अनोखा	தனித்துவம்
अनोखा	தனிப்பட்ட
अनोखा	புதினம்
अनोखा	நாவல்
करीना	கரினா
कपाल	மண்டை
श्रोता	கேட்பவர்கள்
श्रोता	ரசிகர்கள்
श्रोता	பார்வையாளர்கள்
श्रोता	பார்வையாளர்
दीपिका	தீபிகா
कॉमन	பொதுவான
कॉमन	பொது
लेम्बोर्गिनी	லம்போர்கினி
प्याज	வெங்காயம்
प्याज	வெங்காயம்
असीमित	எல்லையற்ற
असीमित	முடிவில்லாத
असीमित	வரம்
असीमित	அளவில்லா
असीमित	அளவில்லாத
असीमित	எண்ணிலடங்கா
बग	வழு
बग	பக்
बग	பிழைகள்
मॉस्को	மாஸ்கோ
बूटी	பூட்டி
सोम	சோமா
सोम	சோம்
सोम	mon
पानीपत	பானிபட்
चन्द्रशेखर	சந்திரசேகர்
टर्नर	டர்னர்
हिमानी	பனியாறு
हिमानी	இமயமலை
ट्रांस	trans
मेहमान	விருந்தினர்கள்
मेहमान	விருந்தினர்
मेहमान	விருந்தினர்
मेहमान	விருந்தாளி
मेहमान	விருந்தினராக
जहर	நஞ்சு
जहर	விஷம்
मगरमच्छ	முதலை
तन	tan
यूटीसी	utc
वेनिस	வெனிஸ்
खांसी	இருமல்
आईएसओ	iso
युगांडा	உகாண்டா
संख्याएँ	எண்கள்
विभूषण	விபூஷண்
सुगंध	வாசனை
जस्टिन	ஜஸ்டின்
जस्टिन	justin
सरकारें	அரசுகள்
सरकारें	அரசுகளும்
अहंकार	அகங்காரம்
अहंकार	ஈகோ
अंबेडकर	அம்பேத்கர்
योजन	யோஜனா
फ़ोर्स	படை
फ़ोर्स	படைகள்
फ़ोर्स	வற்புறுத்தி
उलट	தலைகீழ்
मोरक्को	மொராக்கோ
सुमात्रा	சுமத்ரா
छड़ी	ஸ்டிக்
छड़ी	குச்சி
सीरम	சீரம்
दाम	விலை
दाम	கட்டணம்
नहरें	வாய்க்கால்
नहरें	கால்வாய்
नहरें	நதிகள்
नहरें	ஆறுகள்
नॉर्मन	நார்மன்
सराहा	பாராட்டப்பட
लैंडिंग	இறங்கும்
माँगा	மாங்கா
नाविक	மாலுமி
कावेरी	காவேரி
कावेरी	காவிரி
कावेरी	காவிரி
इन्दौर	இந்தூர்
हावर्ड	ஹோவர்ட்
साम्यवाद	பொதுவுடைமை
साम्यवाद	கம்யூனிசம்
पैमाना	கருவி
पैमाना	அளவுகோல்
पैमाना	அளவு
तंबाकू	புகையிலை
चिड़िया	பறவை
पराग	மகரந்தம்
उमा	உமா
प्री	முன்
मैथुन	செக்ஸ்
मैथुन	காமம்
मैथुन	பாலுறவு
मैथुन	உடலுறவு
ग्राफिक्स	வரைகலை
ग्राफिक्स	கிராபிக்ஸ்
ताम्र	செம்பு
ताम्र	தாமிரம்
ताम्र	காப்பர்
ताम्र	செப்பு
केल्विन	கெல்வின்
अनुपस्थित	ஆகி
अनुपस्थित	வரவில்லை
अनुपस्थित	காணாமல்
अनुपस्थित	காணவில்லை
अनुपस्थित	இல்லாமை
फाई	ஃபை
फाई	phi
मर्सिडीज	மெர்சிடிஸ்
कीटनाशक	பூச்சிக்கொல்லி
सुनहरे	பொன்னிற
फ़ॉर्मूला	சூத்திரம்
चीज़ें	விஷயங்கள்
चीज़ें	பொருள்கள்
ग्राफिक	கிராபிக்
ग्राफिक	கிராஃபிக்
लूप	சுழற்சி
लूप	கண்ணி
लूप	மடக்கு
लूप	லூப்
पेरी	பெரி
पेरी	பெர்ரி
सम्मिश्रण	அரைத்து
चम्मच	டிப்பர்
चम्मच	கரண்டி
ग्रा	கிறாஸ்
दुकानें	கடைகள்
दुकानें	கடைகள்
अनुपयुक्त	பயன்படுத்தாத
अनुपयुक्त	பயன்படுத்தப்படாத
नरेंद्र	நரேந்திர
नरेंद्र	நரேன்
विरोधाभास	தோற்றமுரண்
जैम	zam
जैम	ஜம்
जैम	ஜாம்
चेयरमैन	சேர்மன்
रिश्तेदार	உறவினர்
रिश्तेदार	சார்ந்த
रिश्तेदार	உறவினர்கள்
कचरा	குப்பை
कचरा	தூசு
प्रतियोगियों	போட்டியாளர்கள்
असिमोव	அசிமோவ்
स्प्रिंग	ஸ்பிரிங்
स्प्रिंग	வசந்தம்
स्प्रिंग	வசந்தகால
स्प्रिंग	வசந்த
पिज़्ज़ा	பீசா
पिज़्ज़ा	பீட்சா
हेमंत	ஹேமந்த்
कुलकर्णी	குல்கர்னி
दैवी	தெய்வீகம்
दैवी	தெய்வீக
साइबर	சைபர்
ग़रीब	ஏழை
ग़रीब	பாவம்
ग़रीब	மோசம்
छात्रवृत्ति	உதவித்தொகை
लिखें	எழுத
लिखें	எழுது
लिखें	எழுதவும்
लिखें	எழுது
लिखें	பழுப்பு
लिखें	எழுது
देवों	டெவோன்
सोडा	சோடா
हुकूमत	ஆட்சி
हुकूमत	கிங்டம்
विला	வீடுகள்
विला	வில்லா
सटीकता	நுட்பம்
कोला	கொழும்பு
कोला	கோலா
धमनियों	அடைப்பு
अदालतों	நீதிமன்றங்கள்
ग्राहम	கிரகாம்
सर्वोपरि	பாராமவுண்ட்
देशमुख	தேஷ்முக்
प्लेटों	தட்டுகள்
प्लेटों	தகடுகள்
खरीदी	வாங்கியது
खरीदी	வாங்கியுள்ளார்
खरीदी	வாங்கிய
खरीदी	வாங்கியது
खरीदी	வாங்கினேன்
मिटा	பொறிகள்
दुखी	பரிதாபமாக
दुखी	சோகம்
दुखी	வருத்தமளிக்கிறது
न्यूट्रॉन	நொதுமி
इमरान	இம்ரான்
निरीक्षक	சர்வேயர்
अल्फ़ा	ஆல்ஃபா
अल्फ़ा	ஆல்பா
विनोबा	வினோபா
हैरिस	ஹாரிஸ்
गियर	கியர்
राजतंत्र	முடியாட்சி
सर्कस	சர்க்கஸ்
नवरात्रि	நவராத்திரி
नवरात्रि	நவராத்திரி
अल्बानिया	அல்பேனியா
हीलियम	ஹீலியம்
बादाम	பாதாம்
बादाम	பாதாம்
नागा	நாக
नागा	நாகா
मिनेसोटा	மினசோட்டா
अंडा	முட்டை
परवेज़	பர்வீஸ்
परवेज़	பர்வேஸ்
एलर्जी	ஒவ்வாமை
माइक्रो	மைக்ரோ
वर्दी	சீருடைகள்
वर्दी	சீருடை
वर्दी	சீரான
ताँबा	செம்பு
ताँबा	தாமிரம்
ताँबा	காப்பர்
ताँबा	செப்பு
ऐश	ஆஷ்
कैलोरी	எரிசக்தி
कैलोरी	கலோரி
कैलोरी	கலோரிகள்
ईमानदारी	நேர்மை
वृत्ताकार	சுற்றறிக்கை
स्ट्रिंग	சரம்
स्ट्रिंग	தொடர்ச்சி
स्फटिक	குவார்ட்ஸ்
बुनाई	நெசவு
विवाहित	திருமணம்
आभा	ஆரா
ईद	ஈத்
मांसाहारी	ஊனுண்ணித்
बॉन	பான்
बॉन	பாண்
पाँव	பாதங்கள்
पाँव	அடி
पाँव	பாதம்
पाँव	பாதங்களை
पाँव	கால்களும்
द्वेष	வெறுப்பை
द्वेष	வெறுப்பு
रेखांकित	அடிக்கோடு
कॉलम	தூண்
कॉलम	நெடுவரிசை
कॉलम	நெடுவரிசை
समस्थानिक	ஐசோடோப்பு
चट्टोपाध्याय	சாட்டர்ஜி
कहावत	தத்துவம்
कहावत	பழமொழி
कहावत	மாக்சிம்
टेड	டெட்
समष्टि	வெளி
समष्टि	இடம்
समष्टि	விண்வெளி
समष्टि	இடைவெளி
अनूप	அனூப்
अनूप	அனுப்
दुर्घटनाओं	விபத்துக்கள்
नोएडा	நொய்டா
शायरी	கவிதை
टेलीग्राफ	telegraph
प्रत्याशी	வேட்பாளர்
मुंडा	முண்டா
नक्षत्रों	பஞ்சாங்கம்
नक्षत्रों	nakshatra
बर्नार्ड	பெர்னார்ட்
बर्नार्ड	பர்னாட்
अध्यात्म	ஆன்மிகம்
सचेत	கவனமான
एमिनेम	எமினெம்
धर्मार्थ	தர்மங்களை
धर्मार्थ	தொண்டு
डेव	டேவ்
पारा	புதன்
पारा	பாரா
धोखे	ஏமாந்த
धोखे	ஏமாற்றி
हार्ले	ஹார்லி
पेंट	பெயிண்ட்
पेंट	தீட்டு
निदेशालय	இயக்குனரகம்
सोन	மகனும்
सोन	மகனுடன்
सोन	மகனே
सोन	மகன்
नीलामी	ஏலம்
पट्टे	குத்தகை
नाटो	nato
नाटो	நேட்டோ
ब्रह्मचर्य	கற்பு
ग्लेन	கிளென்
ग्लेन	கிளென்
विरल	அரிய
विरल	அரிதான
पोर्टफोलियो	போர்ட்ஃபோலியோ
नवाचार	கண்டுபிடிப்பு
डायमंड	வைரம்
डायमंड	டயமண்ட்
फ्रायड	பிராய்ட்
पीना	குடித்தல்
पीना	குடி
पीना	குடிக்கும்
पीना	குடிப்பது
पीना	குடிக்க
पीना	குடி
पीना	பானம்
अब्दुल्ला	அப்துல்லா
अब्दुल्ला	அப்துல்லாஹ்
वर्जिन	கன்னித்
अय्यर	ஐயர்
चक्रों	சக்ரா
चक्रों	சக்கரம்
सिन्धी	சிந்தி
प्रोसेसिंग	செயல்படுத்துகிறது
प्रोसेसिंग	செயலாக்கம்
अवस्थिति	இடம்
अवस्थिति	இருப்பிடம்
अवस्थिति	அமைவிடம்
अवस्थिति	இருப்பிடங்கள்
अवस्थिति	இடங்கள்
वार्मिंग	வெப்பமடைதல்
मार्गदर्शक	வழிகாட்டி
ढोल	ட்ரம்
राजसी	கம்பீரமான
राजसी	ரீகல்
टिकाऊ	sustainable
टिकाऊ	நீடித்த
क्रोमियम	குரோமியம்
ओझा	ஓஜா
स्टेनली	ஸ்டான்லி
सिन्ध	சிந்த்
साहेब	சாஹேப்
लेखनी	எழுதுகோல்
लेखनी	பேனா
सोमनाथ	சோம்நாத்
अखबारों	செய்தித்தாள்
अखबारों	செய்தித்தாள்கள்
मध्यस्थता	arbitration
मध्यस्थता	ஒழுங்கமைவு
किक	கிக்
किक	உதைத்து
किक	உதை
आयोडाइड	அயோடைடு
धड़कन	துடிப்பு
धड़कन	இதயத்துடிப்பு
धड़कन	துடிக்கும்
छल्ले	வளையங்கள்
छल्ले	மோதிரங்கள்
क्रेन	கொக்கு
आखरी	கடைசி
आखरी	கடைசியாக
आखरी	கடந்த
क्षेत्ररक्षण	கேப்டன்
लिली	லில்லி
लिली	லில்லி
बेली	பெய்லி
बेली	வயிறு
बेली	தொப்பை
मॉनिटर	நோட்டம்
नायडू	நாயுடு
कोक	கோக்
मेलबोर्न	மெல்போர்ன்
करुणा	கருணை
मुठभेड़	பூசல்
मुठभेड़	சந்திப்பை
जप	ஜபம்
अकसर	எப்போதாவது
अकसर	பெரும்பாலும்
अकसर	அடிக்கடி
मशरूम	காளான்கள்
मशरूम	காளான்
सेबी	செபிக்கும்
शांतिपूर्ण	அமைதியான
गरुड़	கருட
फ्लू	காய்ச்சல்
नरक	நரகம்
ट्री	மரம்
ट्री	கிளை
बेलन	சிலிண்டர்
बोलना	பேசும்
बोलना	பேசுகிறது
अवरोधित	தடை
अवरोधित	தடுக்கப்பட்டது
अवरोधित	தடுக்கப்பட்டுள்ளது
अवरोधित	தடைசெய்யப்பட்டது
खत्री	கத்ரி
आत्मविश्वास	தன்னம்பிக்கை
आत्मविश्वास	தன்னம்பிக்கையை
आत्मविश्वास	தன்னம்பிக்கை
आत्मविश्वास	நம்பிக்கை
लापता	காணாமல்
लापता	காணவில்லை
लापता	இல்லாமை
नूर	நூர்
कंटेनर	கொள்கலன்
कंटेनर	பெட்டகம்
दुश्मनों	பகைவர்கள்
दुश्मनों	எதிரிகள்
वाइड	விரிந்த
वाइड	அகல
भार्गव	பார்கவா
वारिस	வாரிசுகள்
वारिस	வாரிசுகள்
परिवर्तनशील	மாறி
परिवर्तनशील	மாறிகள்
मच्छर	கொசு
अनजान	தெரியாதவர்
अनजान	தெரியாத
अनजान	தெரியாதது
ग्रांट	கிரான்ட்
मैग्नीशियम	மக்னீசியம்
मैग्नीशियम	மெக்னீசியம்
मैग्नीशियम	கால்சியம்
गंगोत्री	கங்கோத்ரி
सनी	சன்னி
सनी	வெயில்
सनी	வெய்யில்
प्लेटफॉर्म	பிளாட்பார்ம்
प्लेटफॉर्म	தளம்
घुस	நுழைதல்
भावुक	உணர்ச்சி
कैन	கெய்ன்
कैन	கேன்ஸ்
घोटाला	ஊழல்
घोटाला	விவகாரம்
घोटाला	ஊழல்
रक्षात्मक	தற்காப்பு
रामगढ़	ராம்கர்
मिस्री	எகிப்திய
ईर्ष्या	பொறாமை
ईर्ष्या	பொறாமை
ईर्ष्या	பொறாமை
अमल	அமல்
अमरावती	அமராவதி
विनायक	விநாயக
विनायक	விநாயகா
विनायक	விநாயக்
गायों	மாடுகள்
जैज़	ஜேஸ்
जैज़	ஜாஸ்
गायकों	பாடகர்கள்
गायकों	பாடும்
गायकों	பாடுகிறார்
बैच	batch
उड़ा	ஊதி
किनारा	எல்லைகள்
किनारा	ஓரங்கள்
किनारा	விளிம்பு
किनारा	முனை
किनारा	எட்ஜ்
किनारा	எல்லை
किनारा	விளிம்பு
किनारा	கரை
किनारा	ஓரம்
कौल	கவுல்
फ्रेड	பிரெட்
बुर्ज	டவர்
बुर्ज	கோபுரம்
पियरे	பியரி
वुड	மரம்
बंदरगाहों	துறைமுகம்
बंदरगाहों	முனையம்
बंदरगाहों	துறை
अलेक्जेंडर	அலெக்சாண்டர்
गाजियाबाद	காசியாபாத்
परिमित	தீர்ந்த
वर्षगांठ	ஆண்டுவிழா
क्योटो	கியோட்டோ
मटर	பட்டாணி
मटर	பட்டாணி
आर्किटेक्चर	கட்டிடக்கலை
आर्किटेक्चर	கட்டடக்கலை
फैक्ट्री	தொழிற்சாலையில்
फैक्ट्री	தொழிற்சாலை
सुधा	சுதா
वॉर्स	போர்கள்
ओंटारियो	ஒண்டாரியோ
वायरल	வைரல்
एडवेंचर	சாகசம்
अनुग्रह	கருணை
अनुग्रह	கிரேஸ்
अनुग्रह	அருளும்
स्टीवर्ट	ஸ்டீவர்ட்
गिल्ड	கில்ட்
डेविडसन	டேவிட்சன்
घंटी	பெல்
घंटी	மணி
कूपर	கூப்பர்
कैरोलिना	கரோலினா
तनु	தாணு
प्लान	திட்டம்
प्लान	பிளான்
मिर्जा	மிர்சா
माफी	மன்னிப்பு
माफी	மன்னிப்பை
माफी	மன்னிப்பு
अबुल	அபுல்
व्लादिमीर	விளாடிமிர்
प्रणाम	அன்புடன்
दंगों	கலவரங்கள்
दंगों	கலவரம்
दौलत	செல்வம்
दौलत	செல்வமும்
दौलत	வளம்
कोचीन	கொச்சி
बर्गर	பர்கர்
बेहोश	மானபங்கம்
वर्ड	வார்த்தை
वर्ड	சொல்
वर्ड	வார்த்தையே
प्रभार	சார்ஜ்
प्रभार	கட்டணம்
म्यांमार	மியான்மர்
मार्गरेट	மார்கரெட்
निजामुद्दीन	நிசாமுதீன்
जुलूस	ஊர்வலம்
बांसुरी	புல்லாங்குழல்
तुगलक	துக்ளக்
दिशानिर्देश	திசைகள்
दिशानिर्देश	வழிகள்
दिशानिर्देश	வழிகாட்டுதல்கள்
बधाई	வாழ்த்துக்கள்
बधाई	வாழ்த்துகள்
बधाई	வாழ்த்துக்கள்
बधाई	வாழ்த்துக்களும்
बधाई	வாழ்த்துக்கள்
बधाई	வாழ்த்துகள்
सत्तर	எழுபது
हॉस्पिटल	மருத்துவமனை
त्यागपत्र	ராஜினாமா
फास्फेट	பாசுபேட்டு
जलसन्धि	நீரிணை
उठी	வளர்த்தது
पोर्टेबल	போர்ட்டபிள்
स्विंग	ஊஞ்சல்
स्विंग	மூச்சில்
मर्फी	மர்பி
जेड	ஜேட்
हार्बर	துறைமுகம்
टिप्पणियाँ	கருத்துகளில்
टिप्पणियाँ	கருத்துக்களில்
टिप्पणियाँ	கருத்துகள்
टिप्पणियाँ	கருத்துக்கள்
प्रिंटर	அச்சுப்பொறி
प्रिंटर	அச்சுப்பொறிகள்
सिनसिनाटी	சின்சினாட்டி
गिरी	விழுந்தது
फुल	நிறைந்த
फुल	முழுமை
फुल	முழுவதும்
फुल	முழு
फैजाबाद	பைசாபாத்
जागरूक	நன்றே
अनिश्चितता	நிச்சயமற்ற
अस्सी	எண்பது
आंद्रे	ஆண்ட்ரே
अनोखी	வினோதமான
अनोखी	வினோத
पापुआ	பப்புவா
सीआईडी	சிஐடி
वंदना	வந்தனா
विषयवस्तु	உள்ளடக்கம்
विषयवस्तु	கொள்கலன்
विषयवस्तु	பொருள்கள்
विषयवस्तु	உள்ளடக்கங்கள்
विषयवस्तु	குறிப்புரை
विषयवस्तु	உள்ளடக்கம்
सूरीनाम	சுரினாம்
गिरि	கிரி
आज़मी	அஸ்மி
फोर्ब्स	ஃபோர்ப்ஸ்
एजेंटों	முகவர்கள்
प्रेमियों	காதலர்கள்
आनुवंशिकी	மரபியல்
हथेली	உள்ளங்கை
हथेली	பாம்
हथेली	பனை
दाग	கறை
अज़ाब	வேதனையை
बटालियन	படையணி
प्रियंका	பிரியங்கா
खिलजी	கில்ஜி
रिक	ரிக்
बर्मिंघम	birmingham
गुस्से	கோபம்
मिर्जापुर	மிர்சாபூர்
आर्यन	ஆரிய
आर्यन	ஆரியன்
आर्यन	ஆரியர்
लगन	அர்ப்பணிப்பு
चाकू	கத்தி
परिवर्तनीय	மாறி
परिवर्तनीय	மாறிகள்
परिवर्तनीय	மாறிகள்
निर्दोष	அப்பழுக்கற்ற
निर्दोष	அப்பாவி
लीबिया	லிபியா
उज़बेक	உஸ்பெக்
पिछला	முன்னைய
पिछला	முந்தையது
पिछला	முந்தைய
पिछला	கடைசி
पिछला	கடைசியாக
पिछला	கடந்த
पिछला	முந்தையது
पिछला	முந்தைய
प्रसाधन	கழிவறை
प्रसाधन	கழிப்பறை
प्रसाधन	மூலங்கள்
प्रसाधन	ஆதாரங்கள்
प्रसाधन	வளங்கள்
प्रसाधन	வளம்
ईमानदार	நேர்மையான
ईमानदार	நேர்மையான
वसुदेव	வாசுதேவ்
जोस	ஜோஸ்
जोस	ஜோஸ்
मल्टी	மல்டி
अंकीय	இலக்க
अंकीय	எண்வகை
मसूरी	முசோரி
असेम्बली	சபை
भिक्षुओं	துறவிகள்
कानों	காதுகளில்
कानों	காதுகள்
चांसलर	வேந்தர்
विवेकानंद	விவேகானந்தர்
अहसास	உணர்வு
अहसास	உணர்கிறார்
अहसास	உற்சாக
अहसास	உணர்கிறேன்
किपलिंग	கிப்ளிங்
अस्थाई	தற்காலிக
तैमूर	தைமூர்
कलाकृति	எண்ணமும்
नाइजीरिया	நைஜீரியா
मिसिसिपी	மிசிசிப்பி
थ्रिलर	திரில்லர்
बेलनाकार	உருளையான
संयोजक	அமைப்பாளராக
अंतरजाल	இணையம்
अंतरजाल	இணைய
रहो	இருக்கவும்
ट्रैकिंग	கண்காணிப்பு
ट्रैकिंग	தடமறிதல்
अब्बास	அப்பாஸ்
पोस्टर	சுவரொட்டி
पोस्टर	போஸ்டர்
पोस्टर	சுவரொட்டிகள்
रंजक	வர்ணம்
रंजक	வர்ண
उंगलियों	விரல்கள்
उंगलियों	விரல்களால்
उंगलियों	விரல்களை
चॉकलेट	சாக்லேட்
चॉकलेट	சாக்கலேட்
चॉकलेट	சாக்லெட்
चॉकलेट	சாக்லேட்
मेक	செய்ய
बल्ले	மட்டை
बल्ले	வௌவால்
उछाल	குதிக்கும்
सुन्दरता	அழகை
सुन्दरता	அழகு
सुन्दरता	அழகி
सर्वनाम	pronoun
नंदा	நந்தா
शेल	ஓடு
सू	சூ
सू	சூ
रसोई	சமையலறை
वाक	சொற்பொழிவு
वाक	பேச்சு
चिकित्सालय	மருத்துவமனை
दशहरा	தசரா
दशहरा	விஜயதசமி
चट्टानें	ராக்ஸ்
चट्टानें	பாறைகள்
चतुर	புத்திசாலி
खानपान	கேட்டரிங்
अस्वीकृत	மறுக்கப்பட்டது
अस्वीकृत	நிராகரிக்கப்பட்டது
अस्वीकृत	நிராகரிக்கப்பட்டது
अस्वीकृत	மறு
गुलज़ार	குல்சார்
कसम	கசம்
किराया	வாடகை
खिलौने	பொம்மைகள்
महीना	மாதம்
महीना	மாசம்
मंगेशकर	மங்கேஷ்கர்
नैनो	நானோ
महेंद्र	மகேந்திர
पंद्रहवीं	fifteenth
चटनी	சட்னி
अज्ञान	அறியாமையை
अज्ञान	அறியாமை
नबी	தீர்க்கதரிசி
नबी	நபி
नबी	நபியின்
नबी	நபி
परी	பாரி
परी	ஏஞ்சல்
परी	தேவதை
परी	தேவதையே
कीचड़	சேற்றில்
कीचड़	சேறு
स्नायु	ligament
ममता	மமதா
ममता	மம்தா
छुपा	மறைத்த
छुपा	மறைந்த
छुपा	மறைக்கப்பட்ட
छुपा	மறைந்துள்ள
छुपा	மறைக்கப்பட்டது
छुपा	மறைந்து
छुपा	மறையும்
छुपा	மறை
छुपा	மறைக்கவும்
डिफ़ॉल्ट	முன்னிருப்பு
डिफ़ॉल्ट	இயல்பிருப்பு
डिफ़ॉल्ट	முன்னிருந்த
डिफ़ॉल्ट	இயல்புநிலை
ड्राफ्ट	வரைவு
राइस	நெல்
राइस	சாதம்
राइस	அரிசி
राइस	சோறு
रेफरी	நடுவர்
ताज़ा	புதிதாக
ताज़ा	புதிய
ताज़ा	புத்துணர்ச்சி
उपेक्षित	புறக்கணிக்கப்பட்ட
उपेक्षित	தவிர்க்கப்பட்டது
ज़िंदगी	வாழ்க்கை
ज़िंदगी	உயிர்
ज़िंदगी	ஆயுள்
खादी	காதி
दरें	விலைகள்
दरें	விகிதங்கள்
अवशिष्ट	எச்ச
पेशेवरों	வல்லுநர்கள்
पेशेवरों	வல்லுனர்கள்
धूमकेतु	comet
चाँदनी	சாந்தினி
कॉनकॉर्ड	கான்கோர்டு
आइटम	உருப்படிகள்
आइटम	பொருட்கள்
आइटम	பொருள்கள்
आइटम	உருப்படி
जीमेल	ஜிமெயில்
फॉर्मेट	வடிவமைப்பு
फॉर्मेट	வடிவம்
फेस	முகம்
फेस	முக
पांव	பாதங்கள்
पांव	அடி
पांव	பாதம்
पांव	பாதங்களை
पांव	கால்களும்
मीट्रिक	மெட்ரிக்
बांग्लादेशी	பங்களாதேஷ்
बांग्लादेशी	வங்கதேச
डिज़ाइनर	வடிவமைப்பாளர்
डिज़ाइनर	டிசைனர்
क्रीड़ा	விளையாட்டுகள்
क्रीड़ा	விளையாட்டு
क्रीड़ा	விளையாட்டுக்கள்
एकाग्रता	கவனம்
एकाग्रता	செறிவு
ईकाई	அலகு
भतीजे	மருமகன்
भतीजे	தாலாட்டு
कुंभ	கும்பம்
संभाव्यता	சாத்தியக்கூறு
दंगे	கலவரங்கள்
दंगे	கலவரம்
प्रमोद	பிரமோத்
अपर	மேல்புறம்
अपर	அப்பர்
अपर	மேல்நிலை
मेरिल	மெர்ரில்
स्तनधारियों	பாலூட்டி
ठाकरे	தாக்கரே
स्पष्टता	தெளிவு
बेंज	பென்ஸ்
तंजानिया	தான்சானியா
गोल्डबर्ग	கோல்ட்பெர்க்
केदार	தலங்கள்
एडी	எட்டி
एडी	எடி
खुदा	குதா
गांगुली	கங்குலி
मिज़ोरम	மிசோரம்
नहरों	வாய்க்கால்
नहरों	கால்வாய்
पिस्तौल	துப்பாக்கி
विभेदन	தெளிவுத்திறன்
विभेदन	தீர்மானம்
वेल्लोर	வேலூர்
गुफाएं	குகைகள்
सूक्ष्मजैविकी	நுண்ணுயிரியல்
उज़्बेकिस्तान	உஸ்பெக்கிஸ்தான்
सीरियल	நைஜீரியா
सीरियल	சீரியல்
सीरियल	வரிசை
सीरियल	தொடர்
सीरियल	அல்ஜீரியா
रिवर्स	reverse
कार्यपालिका	செயற்குழு
कलिंग	கலிங்க
कास्ट	எறிந்து
सुषमा	சுஷ்மா
झटका	அதிர்ச்சி
परमहंस	பரமஹம்ச
कैदी	கைதி
कैदी	கைதி
कैदी	கைதிகள்
गृहस्थ	வீட்டு
साओ	சாவோ
विंडो	சாளரம்
खोने	இழப்பது
कैश	தற்காலிக
केंट	கென்ட்
लोधी	லோதி
लोधी	லோடி
इराकी	ஈராக்கிய
इराकी	ஈராக்
अराजकता	குழப்பம்
अराजकता	குழப்பமான
मेटा	மெட்டா
सिग्मा	சிக்மா
आजीविका	தொழிலாக
फायदे	பலன்கள்
फायदे	நன்மைகள்
गिरवी	சிப்பாய்
अनुशीलन	அனுசீலன்
नवीकरण	சீரமைப்பு
मल्टीमीडिया	மல்டிமீடியா
ग्लेशियर	பனியாறு
निरोध	ஆணுறை
मैराथन	மாரத்தான்
पोटेशियम	பொட்டாசியம்
लारा	லாரா
थर्मल	அனல்
डेविल	பிசாசு
डेविल	பேய்
डेविल	சைத்தான்
राघव	ராகவ்
अधूरा	முடிவற்ற
अधूरा	முழுமையற்ற
स्क्रीनिंग	திரையிடல்
टर्बाइन	சுழலி
हरीश	ஹரிஷ்
हाजीपुर	ஹாஜிப்பூர்
कार्यशील	இயங்கும்
कार्यशील	ஓட்டம்
कार्यशील	ஓடும்
कार्यशील	இயங்குகிறது
कार्यशील	ரன்னிங்
बजाज	பஜாஜ்
किंवदंती	புராணம்
किंवदंती	மேதை
किंवदंती	பழமையான
लाओस	லாவோஸ்
मीनाक्षी	மீனாட்சி
साइप्रस	சைப்ரஸ்
गाढ़ा	தடிமன்
गाढ़ा	தடித்த
पित्ताशय	பித்தப்பை
एंथोनी	அந்தோனியார்
एंथोनी	ஆண்டனி
एंथोनी	அந்தோனி
एंथोनी	அந்தோணி
चंपारण	சம்பாரண்
कुण्डली	ஜாதகம்
बीयर	பியர்
बीयर	பீர்
ड्राइविंग	ஓட்டும்
वेनेजुएला	வெனிசுலா
जीनों	மரபணுக்கள்
बोनस	போனஸ்
बोनस	போனஸ்
ज्या	சைன்
थाना	தானா
थाना	கைதி
थाना	சிறைச்சாலை
थाना	சிறை
झूठे	பொய்யன்
अस्थियों	எலும்புகள்
पिक्सेल	பிக்சல்கள்
पिक्सेल	பிக்செல்
पिक्सेल	பிக்ஸல்
पिक्सेल	பிக்சல்
लॉयड	லாயிட்
ब्रेट	பிரெட்
हीट	வெப்பம்
हीट	வெப்பத்தை
हीट	வெயிலின்
सुनहरा	கோல்டன்
सुनहरा	பொன்
सुनहरा	தங்கப்
सुनहरा	தங்கம்
सुनहरा	தங்க
नमाज़	சலா
नमाज़	தொழுகை
नमाज़	தொழுகையை
नमाज़	ஜெபம்
नमाज़	பிரார்த்தனை
कर्कट	கடகம்
कर्कट	புற்றுநோய்
शौचालय	கழிவறை
शौचालय	கழிப்பறை
पर्सनल	சொந்தமான
पर्सनल	சொந்த
पर्सनल	தனிப்பட்ட
पर्सनल	தனிப்பட்டது
पहिया	வீல்
पहिया	சக்கர
पहिया	சக்கரம்
पहिया	டயர்
मेगाडेथ	மெகாடெத்
लोकल	உள்ளார்ந்த
लोकल	வட்டார
लोकल	உள்ளூர்
लोकल	உள்
पुनरुद्धार	மறுசீரமைப்பு
मस्जिदों	பள்ளிவாசல்
मस्जिदों	மசூதி
प्रतिरूपण	குளோனிங்
पुनरुत्थान	பிரவேச
बाय	பை
बाय	வருகிறேன்
जावास्क्रिप्ट	javascript
जावास्क्रिप्ट	ஜாவாஸ்கிரிப்ட்
गेल	கெயில்
गेल	கெயில்
छू	தொடுதல்
छू	டச்
छू	தொடு
छू	தொடுகிறார்
पंक्तियाँ	வரிகள்
पंक्तियाँ	வரிகள்
पंक्तियाँ	கோடுகள்
पंक्तियाँ	கோடுகள்
